,id,state,year,mrdrte,exec,unem,d90,d93,cmrdrte,cexec,cunem,cexec_1,cunem_1
46,16,IA,90,1.9,0,4.2,1,0,-0.19999993,0.0,-1.3000002,,
47,16,IA,93,2.3,0,4.0,0,1,0.39999998,0.0,-0.19999981,0.0,-1.3000002
48,17,KS,87,4.4,0,4.9,0,0,,,,,
49,17,KS,90,4.0,0,4.4,1,0,-0.4000001,0.0,-0.5,,
50,17,KS,93,6.4,0,5.0,0,1,2.4,0.0,0.5999999,0.0,-0.5
51,18,KY,87,7.5,0,8.8,0,0,,,,,
52,18,KY,90,7.2,0,5.8,1,0,-0.3000002,0.0,-3.0,,
53,18,KY,93,6.6,0,6.2,0,1,-0.5999999,0.0,0.39999962,0.0,-3.0
54,19,LA,87,11.1,9,12.0,0,0,,,,,
55,19,LA,90,17.2,4,6.2,1,0,6.1000004,-5.0,-5.8,,
56,19,LA,93,20.3,2,7.4,0,1,3.0999985,-2.0,1.2000003,-5.0,-5.8
57,20,ME,87,2.5,0,4.4,0,0,,,,,
58,20,ME,90,2.4,0,5.1,1,0,-0.099999905,0.0,0.6999998,,
59,20,ME,93,1.6,0,7.9,0,1,-0.8000001,0.0,2.8000002,0.0,0.6999998
60,21,MD,87,9.6,0,4.2,0,0,,,,,
61,21,MD,90,11.5,0,4.6,1,0,1.8999996,0.0,0.4000001,,
62,21,MD,93,12.7,0,6.2,0,1,1.1999998,0.0,1.5999999,0.0,0.4000001
63,22,MA,87,3.0,0,3.2,0,0,,,,,
64,22,MA,90,4.0,0,6.0,1,0,1.0,0.0,2.8,,
65,22,MA,93,3.9,0,6.9,0,1,-0.099999905,0.0,0.9000001,0.0,2.8
66,23,MI,87,12.2,0,8.2,0,0,,,,,
67,23,MI,90,10.4,0,7.1,1,0,-1.8000002,0.0,-1.0999999,,
68,23,MI,93,9.8,0,7.0,0,1,-0.5999994,0.0,-0.099999905,0.0,-1.0999999
69,24,MN,87,2.6,0,5.4,0,0,,,,,
70,24,MN,90,2.7,0,4.8,1,0,0.10000014,0.0,-0.5999999,,
71,24,MN,93,3.4,0,5.1,0,1,0.70000005,0.0,0.2999997,0.0,-0.5999999
72,25,MS,87,10.2,2,10.2,0,0,,,,,
73,25,MS,90,12.2,1,7.5,1,0,2.0,-1.0,-2.6999998,,
74,25,MS,93,13.5,0,6.3,0,1,1.3000002,-1.0,-1.1999998,-1.0,-2.6999998
75,26,MO,87,8.3,0,6.3,0,0,,,,,
76,26,MO,90,8.8,5,5.7,1,0,0.5,5.0,-0.6000004,,
77,26,MO,93,11.3,6,6.4,0,1,2.5,1.0,0.7000003,5.0,-0.6000004
78,27,MT,87,4.1,0,7.4,0,0,,,,,
79,27,MT,90,4.9,0,5.8,1,0,0.8000002,0.0,-1.5999999,,
80,27,MT,93,3.0,0,6.0,0,1,-1.9000001,0.0,0.19999981,0.0,-1.5999999
81,28,NE,87,3.5,0,4.9,0,0,,,,,
82,28,NE,90,2.7,0,2.2,1,0,-0.79999995,0.0,-2.7,,
83,28,NE,93,3.9,0,2.6,0,1,1.2,0.0,0.39999986,0.0,-2.7
84,29,NV,87,8.4,1,6.3,0,0,,,,,
85,29,NV,90,9.7,3,4.9,1,0,1.3000002,2.0,-1.4000001,,
86,29,NV,93,10.4,0,6.2,0,1,0.6999998,-3.0,1.2999997,2.0,-1.4000001
87,30,NH,87,3.0,0,2.5,0,0,,,,,
88,30,NH,90,1.9,0,5.6,1,0,-1.1,0.0,3.1,,
89,30,NH,93,2.0,0,6.6,0,1,0.100000024,0.0,1.0,0.0,3.1
90,31,NJ,87,4.6,0,4.0,0,0,,,,,
91,31,NJ,90,5.6,0,5.0,1,0,1.0,0.0,1.0,,
92,31,NJ,93,5.3,0,7.4,0,1,-0.2999997,0.0,2.4,0.0,1.0
93,32,NM,87,10.1,0,8.9,0,0,,,,,
94,32,NM,90,9.2,0,6.3,1,0,-0.9000006,0.0,-2.5999994,,
95,32,NM,93,8.0,0,7.5,0,1,-1.1999998,0.0,1.1999998,0.0,-2.5999994
96,33,NY,87,11.3,0,4.9,0,0,,,,,
97,33,NY,90,14.5,0,5.2,1,0,3.1999998,0.0,0.2999997,,
98,33,NY,93,13.3,0,7.7,0,1,-1.1999998,0.0,2.5,0.0,0.2999997
99,34,NC,87,8.1,1,4.5,0,0,,,,,
100,34,NC,90,10.7,0,4.1,1,0,2.5999994,-1.0,-0.4000001,,
101,34,NC,93,11.3,2,4.9,0,1,0.6000004,2.0,0.8000002,-1.0,-0.4000001
102,35,ND,87,1.5,0,5.2,0,0,,,,,
103,35,ND,90,0.8,0,3.9,1,0,-0.7,0.0,-1.2999997,,
104,35,ND,93,1.7,0,4.3,0,1,0.90000004,0.0,0.4000001,0.0,-1.2999997
105,36,OH,87,5.8,0,7.0,0,0,,,,,
106,36,OH,90,6.1,0,5.7,1,0,0.2999997,0.0,-1.3000002,,
107,36,OH,93,6.0,0,6.5,0,1,-0.099999905,0.0,0.8000002,0.0,-1.3000002
108,37,OK,87,7.5,0,7.4,0,0,,,,,
109,37,OK,90,8.0,1,5.6,1,0,0.5,1.0,-1.8000002,,
110,37,OK,93,8.4,2,6.0,0,1,0.39999962,1.0,0.4000001,1.0,-1.8000002
111,38,OR,87,5.6,0,6.2,0,0,,,,,
112,38,OR,90,3.8,0,5.5,1,0,-1.8,0.0,-0.6999998,,
113,38,OR,93,4.6,0,7.2,0,1,0.79999995,0.0,1.6999998,0.0,-0.6999998
114,39,PA,87,5.4,0,5.7,0,0,,,,,
115,39,PA,90,6.7,0,5.4,1,0,1.2999997,0.0,-0.2999997,,
116,39,PA,93,6.8,0,7.0,0,1,0.10000038,0.0,1.5999999,0.0,-0.2999997
117,40,RI,87,3.5,0,3.8,0,0,,,,,
118,40,RI,90,4.8,0,6.7,1,0,1.3000002,0.0,2.8999999,,
119,40,RI,93,3.9,0,7.7,0,1,-0.9000001,0.0,1.0,0.0,2.8999999
120,41,SC,87,9.3,2,5.6,0,0,,,,,
121,41,SC,90,11.2,1,4.7,1,0,1.8999996,-1.0,-0.9000001,,
122,41,SC,93,10.3,1,7.5,0,1,-0.8999996,0.0,2.8000002,-1.0,-0.9000001
123,42,SD,87,1.8,0,4.2,0,0,,,,,
124,42,SD,90,2.0,0,3.7,1,0,0.20000005,0.0,-0.49999976,,
125,42,SD,93,3.4,0,3.5,0,1,1.4000001,0.0,-0.20000005,0.0,-0.49999976
126,43,TN,87,9.1,0,6.6,0,0,,,,,
127,43,TN,90,10.5,0,5.2,1,0,1.3999996,0.0,-1.4000001,,
128,43,TN,93,10.2,0,5.7,0,1,-0.3000002,0.0,0.5,0.0,-1.4000001
129,44,TX,87,11.7,22,8.4,0,0,,,,,
130,44,TX,90,14.1,11,6.2,1,0,2.4000006,-11.0,-2.1999998,,
131,44,TX,93,11.9,34,7.0,0,1,-2.2000008,23.0,0.8000002,-11.0,-2.1999998
132,45,UT,87,3.3,1,6.4,0,0,,,,,
133,45,UT,90,3.0,1,4.3,1,0,-0.29999995,0.0,-2.1,,
134,45,UT,93,3.1,1,3.9,0,1,0.099999905,0.0,-0.4000001,0.0,-2.1
135,46,VT,87,2.7,0,3.6,0,0,,,,,
136,46,VT,90,2.3,0,5.0,1,0,-0.4000001,0.0,1.4000001,,
137,46,VT,93,3.6,0,5.4,0,1,1.3,0.0,0.4000001,0.0,1.4000001
138,47,VA,87,7.4,4,4.2,0,0,,,,,
139,47,VA,90,8.8,3,4.3,1,0,1.4000001,-1.0,0.10000038,,
140,47,VA,93,8.3,11,5.0,0,1,-0.5,8.0,0.6999998,-1.0,0.10000038
141,48,WA,87,5.6,0,7.6,0,0,,,,,
142,48,WA,90,4.9,0,4.9,1,0,-0.6999998,0.0,-2.6999998,,
143,48,WA,93,5.2,1,7.5,0,1,0.2999997,1.0,2.6,0.0,-2.6999998
144,49,WV,87,4.8,0,10.8,0,0,,,,,
145,49,WV,90,5.7,0,8.3,1,0,0.8999996,0.0,-2.5,,
146,49,WV,93,6.9,0,10.8,0,1,1.2000003,0.0,2.5,0.0,-2.5
147,50,WI,87,3.5,0,6.1,0,0,,,,,
148,50,WI,90,4.6,0,4.4,1,0,1.0999999,0.0,-1.6999998,,
149,50,WI,93,4.4,0,4.7,0,1,-0.19999981,0.0,0.2999997,0.0,-1.6999998
150,51,WY,87,2.0,0,8.6,0,0,,,,,
151,51,WY,90,4.9,0,5.4,1,0,2.9,0.0,-3.2000003,,
152,51,WY,93,3.4,1,5.4,0,1,-1.5,1.0,0.0,0.0,-3.2000003
