,enroll,priv,police,crime,lcrime,lenroll,lpolice
82,16798.0,0,15,252,5.529429,9.729015,2.7080503
83,15759.0,0,14,169,5.1298985,9.665167,2.6390574
84,10654.0,0,9,233,5.4510384,9.27369,2.1972246
85,5861.0,0,1,55,4.0073333,8.676076,0.0
86,9034.0,0,7,113,4.727388,9.10875,1.9459101
87,43030.0,0,41,1228,7.113142,10.669653,3.713572
88,26040.0,0,32,347,5.8493247,10.167389,3.465736
89,11790.0,0,12,170,5.1357985,9.375007,2.4849067
90,5141.0,0,10,114,4.7361984,8.545003,2.3025851
91,5601.0,0,7,90,4.4998097,8.6307,1.9459101
92,3176.0,0,4,56,4.0253515,8.063377,1.3862944
93,10992.0,0,9,187,5.2311087,9.304923,2.1972246
94,5034.0,1,7,15,2.7080503,8.523971,1.9459101
95,7710.0,1,5,426,6.0544395,8.9502735,1.609438
96,20693.0,0,32,616,6.423247,9.937551,3.465736
