,narr86,nfarr86,nparr86,pcnv,avgsen,tottime,ptime86,qemp86,inc86,durat,black,hispan,born60,pcnvsq,pt86sq,inc86sq
38,2,2,2,0.0,0.0,0.0,1,2.0,52.6,0.0,0,0,0,0.0,1,2766.7598
39,1,1,1,0.43,0.0,0.0,0,1.0,15.9,1.0,0,1,1,0.1849,0,252.80998
40,0,0,0,0.5,0.0,0.0,0,0.0,0.0,6.0,0,0,1,0.25,0,0.0
41,0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0.0,0,0.0
42,3,0,0,0.39,11.3,11.3,0,3.0,29.7,0.0,0,1,0,0.15209998,0,882.09
43,0,0,0,0.5,0.0,0.0,0,0.0,0.0,1.0,1,0,1,0.25,0,0.0
44,3,2,2,0.44,0.0,0.0,0,1.0,3.8,0.0,0,1,1,0.1936,0,14.44
45,0,0,0,0.0,0.0,0.0,0,0.0,0.0,8.0,0,0,1,0.0,0,0.0
46,0,0,0,0.0,0.0,0.0,0,0.0,0.0,9.0,0,1,1,0.0,0,0.0
47,2,1,1,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0.0,0,0.0
48,0,0,0,0.57,0.0,0.0,0,4.0,91.5,0.0,0,0,1,0.3249,0,8372.25
49,2,1,1,0.41,0.0,0.0,0,1.0,1.8,13.0,0,1,0,0.1681,0,3.2399998
50,1,1,1,0.0,0.0,0.0,0,4.0,144.0,0.0,1,0,0,0.0,0,20736.0
51,0,0,0,0.1,0.0,0.0,0,4.0,45.6,0.0,0,1,0,0.010000001,0,2079.3599
52,0,0,0,1.0,0.0,0.0,0,4.0,66.5,0.0,0,0,1,1.0,0,4422.25
53,1,1,0,0.83,0.0,0.0,0,1.0,6.2,0.0,0,1,1,0.6889,0,38.44
54,1,1,0,0.0,0.0,0.0,0,4.0,90.1,0.0,0,0,1,0.0,0,8118.01
55,0,0,0,0.33,0.0,0.0,8,0.0,0.0,2.0,1,0,1,0.10890001,64,0.0
56,0,0,0,0.0,0.0,0.0,0,4.0,169.3,0.0,0,0,0,0.0,0,28662.49
57,0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0.0,0,0.0
58,0,0,0,0.5,0.0,0.0,0,0.0,0.0,11.0,0,0,0,0.25,0,0.0
59,0,0,0,0.33,0.0,0.0,12,0.0,0.0,0.0,0,1,1,0.10890001,144,0.0
60,1,0,0,0.33,0.0,0.0,0,0.0,0.0,1.0,1,0,1,0.10890001,0,0.0
61,0,0,0,0.6,6.2,6.2,0,0.0,0.0,5.0,0,0,1,0.36,0,0.0
62,1,0,1,0.0,0.0,0.0,0,1.0,17.2,13.0,0,0,1,0.0,0,295.84003
63,0,0,0,1.0,0.0,0.0,0,2.0,3.3,12.0,0,0,0,1.0,0,10.889999
64,1,0,0,0.0,0.0,0.0,0,0.0,0.0,9.0,0,0,0,0.0,0,0.0
65,1,1,0,0.33,12.9,25.8,6,0.0,0.0,1.0,1,0,1,0.10890001,36,0.0
66,0,0,0,0.0,0.0,0.0,0,4.0,103.7,0.0,0,0,1,0.0,0,10753.689
67,0,0,0,1.0,11.8,35.4,12,0.0,0.0,0.0,1,0,0,1.0,144,0.0
68,0,0,0,0.5,5.6,5.6,0,4.0,60.7,0.0,0,0,1,0.25,0,3684.49
69,1,1,0,0.5,0.0,0.0,0,4.0,51.8,0.0,0,1,0,0.25,0,2683.24
70,3,2,0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,0,1,0.0,0,0.0
71,3,2,1,0.5,0.0,0.0,0,0.0,0.0,8.0,0,1,0,0.25,0,0.0
72,0,0,0,1.0,0.0,0.0,0,2.0,46.2,15.0,0,0,1,1.0,0,2134.4402
73,0,0,0,0.25,0.0,0.0,0,1.0,3.8,0.0,0,0,0,0.0625,0,14.44
74,1,1,0,1.0,0.0,0.0,0,2.0,14.3,3.0,0,0,1,1.0,0,204.49
75,1,0,0,0.33,0.0,0.0,0,1.0,0.9,0.0,0,1,1,0.10890001,0,0.80999994
76,0,0,0,0.43,0.0,0.0,0,0.0,0.0,12.0,0,1,0,0.1849,0,0.0
77,0,0,0,0.25,0.0,0.0,0,4.0,58.2,0.0,0,1,0,0.0625,0,3387.24
78,0,0,0,0.2,0.0,0.0,0,0.0,0.0,9.0,0,0,0,0.040000003,0,0.0
79,0,0,0,0.0,0.0,0.0,0,4.0,50.4,0.0,1,0,0,0.0,0,2540.1602
80,2,2,2,0.54,5.5,11.0,0,3.0,37.6,1.0,1,0,1,0.29160002,0,1413.7599
81,1,0,1,0.5,0.0,0.0,0,1.0,0.5,7.0,0,0,1,0.25,0,0.25
82,0,0,0,0.75,0.0,0.0,0,0.0,0.0,3.0,1,0,1,0.5625,0,0.0
83,2,2,1,0.09,0.0,0.0,0,0.0,0.0,6.0,1,0,0,0.0081,0,0.0
84,0,0,0,0.17,0.0,0.0,0,4.0,263.8,0.0,1,0,1,0.028900001,0,69590.43
85,1,1,0,0.2,0.0,0.0,0,3.0,41.0,0.0,1,0,1,0.040000003,0,1681.0
86,0,0,0,0.43,0.0,0.0,0,2.0,7.6,0.0,0,0,1,0.1849,0,57.76
87,0,0,0,0.25,0.0,0.0,0,4.0,108.3,0.0,0,0,1,0.0625,0,11728.891
88,0,0,0,0.0,20.3,20.3,0,3.0,82.5,0.0,0,0,1,0.0,0,6806.25
89,2,1,0,0.33,0.0,0.0,0,1.0,28.4,19.0,1,0,1,0.10890001,0,806.56
90,2,1,1,0.45,9.5,9.5,0,4.0,80.3,0.0,1,0,1,0.20249999,0,6448.0903
91,1,0,0,0.29,0.0,0.0,0,4.0,138.9,0.0,0,1,0,0.08409999,0,19293.209
92,0,0,0,0.4,0.0,0.0,12,0.0,0.0,0.0,0,1,0,0.16000001,144,0.0
93,0,0,0,0.67,0.0,0.0,0,0.0,0.0,6.0,1,0,0,0.4489,0,0.0
94,0,0,0,0.0,0.0,0.0,0,4.0,90.7,0.0,0,0,1,0.0,0,8226.489
95,2,1,1,0.0,0.0,0.0,0,1.0,8.6,0.0,0,0,0,0.0,0,73.96001
96,5,3,4,0.0,0.0,0.0,0,3.0,22.4,0.0,0,1,0,0.0,0,501.75998
97,1,1,1,0.38,0.0,0.0,0,4.0,53.0,0.0,0,0,0,0.1444,0,2809.0
98,5,2,2,0.27,0.0,0.0,0,1.0,0.7,2.0,0,1,0,0.072900005,0,0.48999998
99,0,0,0,0.4,0.0,0.0,0,0.0,0.0,9.0,1,0,0,0.16000001,0,0.0
100,2,2,1,0.5,0.0,0.0,0,4.0,24.8,0.0,0,1,0,0.25,0,615.04
101,1,1,1,0.6,0.0,0.0,0,0.0,0.0,19.0,0,0,0,0.36,0,0.0
102,0,0,0,1.0,0.0,0.0,0,4.0,131.2,0.0,0,0,1,1.0,0,17213.44
103,0,0,0,0.0,0.0,0.0,0,4.0,144.6,0.0,0,0,0,0.0,0,20909.162
104,0,0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0,0,0.0,0,0.0
105,1,1,0,0.0,0.0,0.0,0,2.0,6.2,0.0,1,0,1,0.0,0,38.44
106,0,0,0,0.57,18.4,36.8,2,1.8,5.6,10.9,0,1,0,0.3249,4,31.359999
107,0,0,0,1.0,0.0,0.0,0,1.0,3.4,17.0,0,0,0,1.0,0,11.56
108,0,0,0,0.5,0.0,0.0,0,3.0,37.5,6.0,0,0,0,0.25,0,1406.25
109,0,0,0,0.5,0.0,0.0,0,0.0,0.0,10.0,0,0,0,0.25,0,0.0
110,0,0,0,0.33,18.4,18.4,0,0.0,0.0,2.0,0,0,0,0.10890001,0,0.0
111,0,0,0,0.33,0.0,0.0,0,0.0,0.0,3.0,0,1,1,0.10890001,0,0.0
112,0,0,0,0.5,0.0,0.0,0,4.0,89.9,0.0,0,0,1,0.25,0,8082.0103
113,0,0,0,0.5,11.0,11.0,0,0.0,0.0,7.0,0,1,1,0.25,0,0.0
114,0,0,0,0.2,0.0,0.0,0,4.0,21.5,0.0,0,1,1,0.040000003,0,462.25
115,0,0,0,0.0,0.0,0.0,0,4.0,164.9,0.0,0,1,0,0.0,0,27192.008
116,1,1,1,0.63,8.9,8.9,7,0.0,0.0,1.9,0,0,1,0.3969,49,0.0
117,0,0,0,0.0,0.0,0.0,0,0.0,0.0,11.0,1,0,0,0.0,0,0.0
118,1,1,1,0.0,0.0,0.0,2,2.0,9.7,0.0,0,1,0,0.0,4,94.09
119,2,1,0,0.29,21.7,21.7,0,2.0,18.9,0.0,0,1,1,0.08409999,0,357.21
120,0,0,0,0.25,24.6,49.2,0,1.0,9.6,12.9,0,0,0,0.0625,0,92.16
121,0,0,0,1.0,0.0,0.0,0,1.0,0.7,17.0,0,0,1,1.0,0,0.48999998
122,2,2,0,0.0,0.0,0.0,0,1.0,29.3,1.0,0,0,1,0.0,0,858.4899
123,2,2,0,0.14,13.4,13.4,0,1.0,1.0,0.0,1,0,1,0.0196,0,1.0
124,0,0,0,0.0,18.4,18.4,0,1.0,21.3,3.0,0,0,0,0.0,0,453.68997
125,0,0,0,0.5,0.0,0.0,0,4.0,33.4,0.0,0,1,0,0.25,0,1115.56
126,0,0,0,0.0,0.0,0.0,0,4.0,117.8,0.0,0,0,1,0.0,0,13876.841
127,0,0,0,0.33,0.0,0.0,0,2.0,29.1,0.0,0,0,1,0.10890001,0,846.81
128,0,0,0,1.0,0.0,0.0,0,4.0,240.8,0.0,0,0,1,1.0,0,57984.64
129,0,0,0,0.0,0.0,0.0,0,4.0,140.6,0.0,0,0,1,0.0,0,19768.361
130,0,0,0,1.0,0.0,0.0,0,4.0,148.3,0.0,0,0,1,1.0,0,21992.89
131,0,0,0,0.75,0.0,0.0,0,4.0,14.7,0.0,0,0,1,0.5625,0,216.09
132,0,0,0,0.83,7.8,31.2,0,2.0,10.5,0.0,0,0,1,0.6889,0,110.25
133,0,0,0,0.0,0.0,0.0,0,1.0,7.9,7.0,0,0,0,0.0,0,62.41
134,1,0,0,0.31,0.0,0.0,0,0.0,0.0,23.0,0,0,1,0.0961,0,0.0
135,2,1,0,0.5,0.0,0.0,0,1.0,6.2,0.0,0,1,1,0.25,0,38.44
136,1,0,0,0.5,0.0,0.0,0,0.0,0.0,2.0,0,1,1,0.25,0,0.0
137,0,0,0,0.5,0.0,0.0,0,0.0,0.0,3.0,1,0,0,0.25,0,0.0
138,1,1,1,1.0,0.0,0.0,0,2.0,2.9,1.0,0,0,0,1.0,0,8.410001
139,0,0,0,0.25,18.5,18.5,11,0.0,0.0,1.0,1,0,0,0.0625,121,0.0
140,0,0,0,0.67,0.0,0.0,0,2.0,2.9,0.0,0,0,1,0.4489,0,8.410001
141,0,0,0,0.67,0.0,0.0,0,1.0,4.1,0.0,0,0,1,0.4489,0,16.81
142,3,3,0,0.33,11.9,11.9,0,0.0,0.0,1.0,0,0,0,0.10890001,0,0.0
143,0,0,0,0.17,10.9,10.9,9,0.0,0.0,4.0,0,1,1,0.028900001,81,0.0
144,0,0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0,1,0.0,0,0.0
145,1,1,0,0.33,0.0,0.0,0,0.0,0.0,20.0,1,0,0,0.10890001,0,0.0
146,0,0,0,0.5,0.0,0.0,0,0.0,0.0,4.0,0,0,1,0.25,0,0.0
147,0,0,0,0.33,0.0,0.0,0,1.0,0.2,0.0,0,0,1,0.10890001,0,0.040000003
148,0,0,0,0.0,0.0,0.0,0,3.0,61.3,0.0,0,0,0,0.0,0,3757.69
149,0,0,0,0.0,0.0,0.0,0,4.0,276.2,0.0,0,1,1,0.0,0,76286.445
150,0,0,0,0.25,9.1,9.1,12,0.0,0.0,0.0,1,0,0,0.0625,144,0.0
151,0,0,0,0.5,0.0,0.0,0,4.0,52.4,0.0,0,0,0,0.25,0,2745.7603
152,2,2,1,0.42,6.7,6.7,3,0.0,0.0,22.0,0,0,1,0.17639999,9,0.0
153,0,0,0,0.57,14.4,14.4,0,4.0,34.5,0.0,0,0,1,0.3249,0,1190.25
154,0,0,0,1.0,0.0,0.0,0,4.0,80.9,0.0,0,0,1,1.0,0,6544.81
155,0,0,0,0.4,10.6,21.2,12,0.0,0.0,0.0,0,0,0,0.16000001,144,0.0
156,0,0,0,0.5,0.0,0.0,0,4.0,121.1,0.0,0,1,1,0.25,0,14665.21
157,0,0,0,1.0,0.0,0.0,0,4.0,182.6,0.0,0,0,1,1.0,0,33342.76
158,0,0,0,1.0,0.0,0.0,0,0.0,0.0,6.0,0,1,1,1.0,0,0.0
159,0,0,0,0.33,0.0,0.0,0,0.0,0.0,1.0,0,0,1,0.10890001,0,0.0
160,0,0,0,0.5,0.0,0.0,0,3.0,44.6,0.0,0,0,1,0.25,0,1989.1599
161,2,0,0,0.83,0.0,0.0,0,2.0,26.1,5.0,0,1,1,0.6889,0,681.21
162,0,0,0,0.25,0.0,0.0,0,1.0,0.8,1.0,0,0,1,0.0625,0,0.64000005
163,0,0,0,0.5,0.0,0.0,12,0.0,0.0,0.0,0,0,1,0.25,144,0.0
164,0,0,0,0.0,0.0,0.0,0,4.0,185.5,0.0,0,0,0,0.0,0,34410.25
165,0,0,0,0.8,0.0,0.0,0,0.0,0.0,6.0,0,0,1,0.64000005,0,0.0
166,0,0,0,0.67,0.0,0.0,0,4.0,97.7,0.0,0,1,1,0.4489,0,9545.289
167,4,2,2,1.0,21.8,43.6,0,2.0,25.8,0.0,0,1,0,1.0,0,665.63995
168,1,0,0,0.5,0.0,0.0,0,2.0,1.8,5.0,1,0,0,0.25,0,3.2399998
169,0,0,0,0.0,0.0,0.0,0,4.0,166.5,0.0,0,0,1,0.0,0,27722.25
170,2,2,2,0.0,0.0,0.0,0,0.0,0.0,1.0,1,0,1,0.0,0,0.0
171,1,1,1,1.0,0.0,0.0,0,3.0,71.1,1.0,1,0,0,1.0,0,5055.21
172,0,0,0,0.33,0.0,0.0,0,3.0,9.2,0.0,1,0,1,0.10890001,0,84.64
173,0,0,0,0.67,11.4,11.4,0,4.0,210.6,0.0,0,0,1,0.4489,0,44352.363
174,1,1,0,0.0,0.0,0.0,0,4.0,282.4,0.0,0,1,0,0.0,0,79749.76
175,0,0,0,0.67,0.0,0.0,0,0.0,0.0,3.0,0,0,1,0.4489,0,0.0
176,1,0,0,0.0,0.0,0.0,0,4.0,25.7,0.0,1,0,0,0.0,0,660.49005
177,2,2,2,0.4,0.0,0.0,0,2.0,34.9,0.0,0,0,1,0.16000001,0,1218.0101
178,0,0,0,0.33,0.0,0.0,0,4.0,58.7,0.0,0,0,1,0.10890001,0,3445.6902
179,0,0,0,0.5,0.0,0.0,0,4.0,108.3,0.0,1,0,1,0.25,0,11728.891
180,0,0,0,0.5,0.0,0.0,0,0.0,0.0,9.0,0,0,1,0.25,0,0.0
181,0,0,0,0.0,0.0,0.0,0,3.0,15.7,4.0,0,0,1,0.0,0,246.48999
182,1,1,0,0.29,0.0,0.0,0,0.0,0.0,2.0,1,0,1,0.08409999,0,0.0
183,3,2,0,0.5,0.0,0.0,0,3.0,37.2,0.0,0,1,0,0.25,0,1383.8401
184,0,0,0,0.22,0.0,0.0,0,3.0,84.8,0.0,0,0,0,0.0484,0,7191.0405
185,0,0,0,0.13,12.7,38.1,12,0.0,0.0,0.0,0,1,0,0.0169,144,0.0
186,0,0,0,0.33,0.0,0.0,0,2.0,9.5,1.0,0,1,1,0.10890001,0,90.25
187,0,0,0,0.4,0.0,0.0,0,4.0,54.8,0.0,0,1,1,0.16000001,0,3003.0398
188,0,0,0,0.2,0.0,0.0,0,1.0,2.0,22.0,0,0,1,0.040000003,0,4.0
189,0,0,0,0.33,14.2,14.2,0,4.0,76.3,0.0,0,1,0,0.10890001,0,5821.6904
190,1,0,1,1.0,0.0,0.0,0,0.0,0.0,4.0,0,0,1,1.0,0,0.0
191,1,1,0,0.5,0.0,0.0,0,4.0,103.7,0.0,0,0,1,0.25,0,10753.689
192,0,0,0,1.0,0.0,0.0,0,4.0,148.2,0.0,0,0,1,1.0,0,21963.238
193,0,0,0,1.0,0.0,0.0,0,0.0,0.0,3.0,0,0,1,1.0,0,0.0
194,0,0,0,0.5,0.0,0.0,0,4.0,183.4,0.0,0,0,1,0.25,0,33635.56
195,0,0,0,0.67,10.7,21.4,0,4.0,117.6,0.0,0,1,1,0.4489,0,13829.76
196,1,1,1,0.71,0.0,0.0,0,4.0,24.8,0.0,0,1,0,0.50409997,0,615.04
197,0,0,0,1.0,0.0,0.0,0,0.0,0.0,1.0,0,0,1,1.0,0,0.0
198,0,0,0,0.0,0.0,0.0,0,0.0,0.0,3.0,0,0,1,0.0,0,0.0
199,0,0,0,0.33,0.0,0.0,0,1.0,0.8,15.0,0,1,1,0.10890001,0,0.64000005
200,0,0,0,0.4,0.0,0.0,0,4.0,108.8,0.0,0,1,1,0.16000001,0,11837.44
201,0,0,0,1.0,0.0,0.0,0,4.0,220.3,0.0,0,0,1,1.0,0,48532.09
202,1,0,0,0.0,0.0,0.0,0,3.0,56.3,0.0,0,0,1,0.0,0,3169.69
203,0,0,0,1.0,0.0,0.0,0,4.0,176.4,0.0,0,0,1,1.0,0,31116.957
204,0,0,0,0.0,0.0,0.0,0,2.0,28.3,0.0,0,0,1,0.0,0,800.88995
205,1,0,0,0.8,0.0,0.0,0,3.0,51.8,1.0,0,1,1,0.64000005,0,2683.24
206,0,0,0,1.0,0.0,0.0,0,4.0,178.2,0.0,0,0,1,1.0,0,31755.238
207,1,0,0,0.0,0.0,0.0,0,4.0,176.1,0.0,1,0,1,0.0,0,31011.213
208,1,1,1,1.0,0.0,0.0,0,4.0,142.4,0.0,0,0,1,1.0,0,20277.758
209,0,0,0,1.0,0.0,0.0,0,2.0,23.8,8.0,0,0,1,1.0,0,566.43994
210,3,0,0,0.33,0.0,0.0,0,4.0,176.5,0.0,1,0,1,0.10890001,0,31152.25
211,0,0,0,0.0,0.0,0.0,0,4.0,75.2,0.0,0,0,1,0.0,0,5655.0396
212,0,0,0,0.5,0.0,0.0,0,0.0,0.0,3.0,0,1,1,0.25,0,0.0
213,0,0,0,0.6,0.0,0.0,12,0.0,0.0,0.0,0,1,0,0.36,144,0.0
214,2,1,0,0.33,0.0,0.0,0,4.0,145.4,0.0,0,1,0,0.10890001,0,21141.158
215,1,1,1,0.0,0.0,0.0,0,0.0,0.0,9.0,1,0,1,0.0,0,0.0
216,1,1,0,0.33,0.0,0.0,0,0.0,0.0,19.0,1,0,1,0.10890001,0,0.0
217,0,0,0,1.0,0.0,0.0,0,4.0,237.7,0.0,0,0,1,1.0,0,56501.29
218,0,0,0,0.0,0.0,0.0,0,4.0,195.7,0.0,0,0,1,0.0,0,38298.49
219,1,1,0,0.0,0.0,0.0,0,4.0,53.8,0.0,0,0,1,0.0,0,2894.44
220,1,0,0,0.4,0.0,0.0,0,2.0,33.2,2.0,0,0,0,0.16000001,0,1102.24
221,2,1,0,0.0,19.3,19.3,0,3.0,10.1,9.0,1,0,0,0.0,0,102.01001
222,0,0,0,0.44,10.0,20.0,0,4.0,262.7,0.0,0,0,1,0.1936,0,69011.3
223,0,0,0,0.0,0.0,0.0,0,4.0,81.3,0.0,0,0,1,0.0,0,6609.6904
224,0,0,0,0.43,22.0,22.0,0,3.0,5.7,5.5,1,0,1,0.1849,0,32.489998
225,0,0,0,1.0,0.0,0.0,0,2.0,25.9,0.0,0,0,1,1.0,0,670.81
226,1,0,0,0.33,9.7,19.4,0,2.0,21.0,0.0,1,0,1,0.10890001,0,441.0
227,0,0,0,0.0,0.0,0.0,0,2.0,16.4,1.0,0,0,1,0.0,0,268.96
228,1,0,0,0.44,0.0,0.0,0,4.0,35.7,0.0,1,0,1,0.1936,0,1274.4901
229,0,0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0,1,0.0,0,0.0
230,0,0,0,1.0,0.0,0.0,0,4.0,263.6,0.0,0,0,1,1.0,0,69484.96
231,0,0,0,0.2,0.0,0.0,0,4.0,133.8,0.0,0,1,1,0.040000003,0,17902.441
232,0,0,0,1.0,0.0,0.0,0,0.0,0.0,1.0,0,1,1,1.0,0,0.0
233,0,0,0,0.17,0.0,0.0,0,0.0,0.0,2.0,0,1,1,0.028900001,0,0.0
234,1,1,0,0.33,6.1,12.2,0,1.0,6.1,0.0,0,1,1,0.10890001,0,37.21
235,2,2,0,0.0,0.0,0.0,0,3.0,20.7,0.0,0,1,1,0.0,0,428.49002
236,1,1,0,0.33,0.0,0.0,0,2.0,10.0,1.0,0,0,1,0.10890001,0,100.0
237,2,1,0,1.0,0.0,0.0,0,4.0,80.0,0.0,0,0,1,1.0,0,6400.0
238,0,0,0,0.0,0.0,0.0,0,1.0,21.9,22.0,0,0,1,0.0,0,479.61
239,0,0,0,0.43,0.0,0.0,12,0.0,0.0,0.0,0,1,0,0.1849,144,0.0
240,0,0,0,0.62,0.0,0.0,0,0.0,0.0,13.0,0,0,1,0.3844,0,0.0
241,3,1,1,1.0,0.0,0.0,0,2.0,23.3,0.0,0,0,1,1.0,0,542.88995
242,0,0,0,1.0,0.0,0.0,0,4.0,64.1,0.0,0,0,1,1.0,0,4108.8096
243,0,0,0,0.5,0.0,0.0,0,3.0,21.6,0.0,0,1,1,0.25,0,466.56003
244,0,0,0,0.4,14.8,29.6,0,4.0,32.6,0.0,0,1,0,0.16000001,0,1062.7599
245,0,0,0,0.5,0.0,0.0,0,3.0,51.2,0.0,0,1,1,0.25,0,2621.4402
246,0,0,0,0.57,0.0,0.0,0,3.0,123.1,0.0,0,1,1,0.3249,0,15153.609
247,0,0,0,0.33,0.0,0.0,0,0.0,0.0,4.0,0,0,1,0.10890001,0,0.0
248,1,1,1,0.0,0.0,0.0,0,0.0,0.0,9.0,1,0,0,0.0,0,0.0
249,0,0,0,0.33,0.0,0.0,0,3.0,29.5,3.0,0,0,1,0.10890001,0,870.25
250,0,0,0,1.0,0.0,0.0,0,0.0,0.0,3.0,1,0,1,1.0,0,0.0
251,0,0,0,0.0,0.0,0.0,0,1.0,45.8,3.0,0,0,1,0.0,0,2097.64
252,0,0,0,1.0,0.0,0.0,0,0.0,0.0,1.0,0,0,1,1.0,0,0.0
253,0,0,0,1.0,0.0,0.0,0,1.0,1.0,1.0,0,0,1,1.0,0,1.0
254,0,0,0,0.57,0.0,0.0,0,0.0,0.0,22.0,0,0,1,0.3249,0,0.0
255,0,0,0,0.33,0.0,0.0,0,1.0,1.9,5.0,0,0,1,0.10890001,0,3.61
256,0,0,0,0.5,0.0,0.0,0,4.0,230.1,0.0,0,0,1,0.25,0,52946.01
257,1,1,0,0.0,0.0,0.0,0,3.0,31.4,0.0,1,0,1,0.0,0,985.95996
258,1,0,0,0.22,13.7,13.7,0,0.0,0.0,11.0,0,1,1,0.0484,0,0.0
259,0,0,0,0.6,0.0,0.0,12,0.0,0.0,0.0,0,0,1,0.36,144,0.0
260,2,1,2,0.5,0.0,0.0,0,2.0,11.6,0.0,0,1,0,0.25,0,134.56001
261,0,0,0,0.8,15.0,30.0,7,0.0,0.0,11.4,0,0,0,0.64000005,49,0.0
262,1,0,0,0.0,0.0,0.0,0,3.0,28.3,0.0,0,0,1,0.0,0,800.88995
263,3,3,2,0.5,0.0,0.0,0,1.0,3.8,5.0,0,0,1,0.25,0,14.44
264,0,0,0,0.29,0.0,0.0,0,4.0,285.2,0.0,0,0,1,0.08409999,0,81339.05
265,0,0,0,0.5,0.0,0.0,0,2.0,18.0,0.0,0,0,1,0.25,0,324.0
266,1,0,0,0.44,12.4,12.4,2,1.0,0.2,5.0,0,1,1,0.1936,4,0.040000003
267,0,0,0,0.0,0.0,0.0,0,4.0,155.6,0.0,0,0,1,0.0,0,24211.361
268,0,0,0,0.5,0.0,0.0,0,3.0,114.0,0.0,0,1,1,0.25,0,12996.0
