,husage,husunion,husearns,huseduc,husblck,hushisp,hushrs,kidge6,earns,age,black,educ,hispanic,union,faminc,husexp,exper,kidlt6,hours,expersq,nwifeinc,inlf,hrwage,lwage
50,37,0.0,465,12,0,0,50,0,687.0,32,0,17,0,1.0,45000.0,19,9,1,40.0,81,9.276,1,17.175,2.8434548
51,57,,0,12,0,0,0,1,0.0,47,0,12,0,,22500.0,39,29,0,0.0,841,22.5,0,,
52,54,0.0,300,18,0,0,60,0,400.0,52,0,18,0,1.0,112500.0,30,28,0,50.0,784,91.7,1,8.0,2.0794415
53,57,,0,13,0,0,0,0,575.0,57,0,14,0,0.0,55000.0,38,37,0,40.0,1369,25.1,1,14.375,2.6654906
54,53,,0,12,0,0,60,1,0.0,49,0,12,0,,17500.0,35,31,0,0.0,961,17.5,0,,
55,29,0.0,600,16,0,0,50,0,460.0,27,0,14,0,0.0,55000.0,7,7,1,40.0,49,31.08,1,11.5,2.442347
56,35,0.0,600,16,0,0,42,0,600.0,31,0,12,0,0.0,55000.0,13,13,0,40.0,169,23.8,1,15.0,2.7080503
57,33,1.0,1478,14,0,0,74,0,0.0,30,0,16,0,,55000.0,13,8,1,0.0,64,55.0,0,,
58,38,0.0,240,18,0,0,48,1,400.0,36,0,16,0,0.0,32500.0,14,14,0,40.0,196,11.7,1,10.0,2.3025851
59,24,,0,13,0,1,35,0,0.0,35,0,0,1,,6250.0,5,29,1,0.0,841,6.25,0,,
60,49,1.0,760,12,1,0,48,0,0.0,46,1,11,0,,112500.0,31,29,0,0.0,841,112.5,0,,
61,34,0.0,1000,16,0,0,40,0,0.0,34,0,16,0,,55000.0,12,12,1,0.0,144,55.0,0,,
62,49,0.0,1000,16,0,0,40,1,0.0,46,0,12,0,,45000.0,27,28,0,0.0,784,45.0,0,,
63,34,,0,16,0,0,40,0,173.0,29,0,16,0,0.0,3000.0,12,7,1,24.0,49,0.0,1,7.2083335,1.9752377
64,44,0.0,1450,18,0,0,40,1,1100.0,45,0,18,0,0.0,3000.0,20,21,0,40.0,441,0.0,1,27.5,3.314186
65,32,0.0,326,16,0,0,40,0,0.0,28,0,14,0,,0.0,10,8,1,0.0,64,0.0,0,,
66,31,0.0,675,16,0,0,40,0,434.0,32,0,14,0,0.0,67500.0,9,12,1,24.0,144,44.932,1,18.083334,2.8949907
67,40,0.0,865,18,0,0,48,0,100.0,38,0,18,0,0.0,3000.0,16,14,1,10.0,196,0.0,1,10.0,2.3025851
68,47,0.0,1000,16,0,0,40,0,0.0,32,0,16,0,,45000.0,25,10,1,0.0,100,45.0,0,,
69,33,0.0,600,12,0,0,35,1,308.0,31,0,12,0,0.0,3000.0,15,13,0,30.0,169,0.0,1,10.266666,2.3289025
70,54,,0,10,0,1,40,0,327.0,48,0,12,1,1.0,37500.0,38,30,0,35.0,900,20.496,1,9.342857,2.2346122
71,47,0.0,90,7,0,1,24,1,0.0,49,0,7,1,,3000.0,34,36,0,0.0,1296,3.0,0,,
72,45,0.0,387,4,0,0,45,0,240.0,45,0,4,0,0.0,27500.0,35,35,1,0.0,1225,15.02,0,,
73,47,,0,12,0,1,0,1,360.0,44,0,16,0,0.0,22500.0,29,22,0,40.0,484,3.78,1,9.0,2.1972246
74,41,,0,16,0,0,50,0,150.0,33,0,16,0,0.0,112500.0,19,11,1,25.0,121,104.7,1,6.0,1.7917595
75,59,,0,15,0,0,0,0,0.0,49,0,12,0,,67500.0,38,31,0,0.0,961,67.5,0,,
76,42,1.0,650,4,0,1,52,1,0.0,39,0,12,1,,55000.0,32,21,0,0.0,441,55.0,0,,
77,59,1.0,400,12,0,0,40,0,0.0,57,0,12,0,,45000.0,41,39,0,0.0,1521,45.0,0,,
78,49,1.0,340,12,0,0,40,0,195.0,48,0,12,0,0.0,112500.0,31,30,0,0.0,900,102.36,0,,
79,34,0.0,1923,18,0,0,60,0,962.0,33,0,18,1,0.0,112500.0,10,9,1,27.0,81,62.476,1,35.62963,3.5731776
80,66,,0,13,0,0,0,0,0.0,57,0,12,0,,32500.0,47,39,0,0.0,1521,32.5,0,,
81,53,0.0,385,12,0,0,0,0,576.0,45,0,12,0,0.0,55000.0,35,27,0,40.0,729,25.048,1,14.4,2.6672282
82,25,0.0,350,11,1,0,40,0,141.0,33,1,10,0,0.0,13750.0,8,17,0,35.0,289,6.418,1,4.0285716,1.3934119
83,51,0.0,1100,18,0,0,55,0,0.0,47,0,16,0,,112500.0,27,25,0,0.0,625,112.5,0,,
84,26,0.0,250,15,1,0,40,0,500.0,24,1,12,0,0.0,0.0,5,6,0,40.0,36,0.0,1,12.5,2.5257287
85,53,0.0,1157,17,0,0,91,0,1000.0,52,0,18,0,1.0,55000.0,30,28,0,35.0,784,3.0,1,28.571428,3.3524072
86,30,0.0,570,8,0,1,50,0,0.0,21,0,12,1,,55000.0,16,3,1,0.0,9,55.0,0,,
87,43,0.0,730,16,0,0,40,0,0.0,37,0,14,0,,3000.0,21,17,1,0.0,289,3.0,0,,
88,44,,0,11,0,0,0,1,0.0,37,0,12,0,,0.0,27,19,0,0.0,361,0.0,0,,
89,39,0.0,200,12,0,0,50,0,300.0,28,0,12,0,0.0,8750.0,21,10,0,40.0,100,0.0,1,7.5,2.014903
90,24,0.0,390,12,1,0,0,0,205.0,22,1,12,0,0.0,17500.0,6,4,1,25.0,16,6.84,1,8.2,2.104134
91,29,0.0,450,18,0,0,0,0,0.0,26,0,16,0,,17500.0,5,4,1,0.0,16,17.5,0,,
92,46,0.0,1000,12,0,0,24,0,992.0,33,0,12,0,1.0,112500.0,28,15,0,40.0,225,60.916,1,24.8,3.2108436
93,32,0.0,25,12,0,0,7,0,0.0,33,0,13,0,,11500.0,14,14,1,0.0,196,11.5,0,,
94,38,1.0,720,12,0,0,40,1,0.0,36,0,12,0,,32500.0,20,18,0,0.0,324,32.5,0,,
95,35,0.0,300,9,0,0,40,1,88.0,37,0,12,0,0.0,13750.0,20,19,0,20.0,361,9.174,1,4.4,1.4816046
96,39,0.0,611,12,0,0,40,1,5.0,38,0,14,0,0.0,32500.0,21,18,0,1.0,324,32.24,1,5.0,1.609438
97,36,1.0,800,12,0,0,60,1,0.0,37,0,12,0,,22500.0,18,19,0,0.0,361,22.5,0,,
98,30,0.0,825,16,0,0,50,0,500.0,28,0,18,0,0.0,45000.0,8,4,0,84.0,16,19.0,1,5.952381,1.7837913
99,31,0.0,266,13,0,1,38,0,200.0,27,0,12,1,0.0,22500.0,12,9,1,40.0,81,12.1,1,5.0,1.609438
100,41,1.0,520,12,0,0,40,1,240.0,37,0,13,0,0.0,37500.0,23,18,0,40.0,324,25.02,1,6.0,1.7917595
101,47,,0,11,0,0,60,1,280.0,47,0,13,0,0.0,45000.0,30,28,0,32.0,784,30.44,1,8.75,2.1690538
102,24,0.0,360,12,0,0,50,0,184.0,22,0,16,0,0.0,55000.0,6,0,0,0.0,0,45.432,0,,
103,55,,0,11,0,0,0,0,782.0,50,0,12,0,0.0,27500.0,38,32,0,40.0,1024,0.0,1,19.55,2.9729753
104,34,0.0,450,14,0,0,50,1,0.0,38,0,12,0,,22500.0,14,20,0,0.0,400,22.5,0,,
105,56,0.0,1442,16,0,0,72,0,0.0,56,0,15,0,,112500.0,34,35,0,0.0,1225,112.5,0,,
106,24,0.0,484,10,0,0,40,0,0.0,21,0,9,0,,27500.0,8,6,1,0.0,36,27.5,0,,
107,31,0.0,650,13,0,0,45,1,0.0,30,0,13,0,,55000.0,12,11,0,0.0,121,55.0,0,,
108,44,0.0,401,6,0,0,40,0,220.0,45,0,12,0,0.0,37500.0,32,27,0,40.0,729,26.06,1,5.5,1.704748
109,43,,0,12,0,0,0,1,200.0,44,0,12,0,0.0,17500.0,25,26,0,18.0,676,7.1,1,11.111111,2.4079456
110,24,0.0,478,15,0,1,45,0,0.0,23,0,13,1,,32500.0,3,4,1,0.0,16,32.5,0,,
111,37,,0,12,0,0,60,1,0.0,35,0,12,0,,0.0,19,17,0,0.0,289,0.0,0,,
112,62,,0,6,0,0,0,1,0.0,43,0,12,0,,17500.0,50,25,0,0.0,625,17.5,0,,
113,54,0.0,1000,13,0,0,50,0,0.0,50,0,13,0,,45000.0,35,31,1,0.0,961,45.0,0,,
114,38,0.0,780,14,0,0,40,1,95.0,40,0,14,0,0.0,45000.0,18,20,0,15.0,400,40.06,1,6.3333335,1.8458267
115,46,0.0,950,11,0,0,45,0,150.0,46,0,11,0,0.0,67500.0,29,29,0,24.0,841,59.7,1,6.25,1.8325815
116,46,0.0,450,16,0,0,50,1,681.0,46,0,17,0,0.0,112500.0,24,23,0,0.0,529,77.088,0,,
117,31,0.0,550,12,0,0,40,0,670.0,30,0,12,0,0.0,45000.0,13,12,0,60.0,144,10.16,1,11.166667,2.412933
118,33,0.0,790,12,0,0,24,0,312.0,34,0,16,0,0.0,55000.0,15,12,1,0.0,144,38.776,0,,
119,37,0.0,200,12,0,0,40,1,286.0,47,0,12,0,0.0,17500.0,19,29,0,40.0,841,2.628,1,7.15,1.9671124
120,27,0.0,338,12,0,0,25,0,333.0,28,0,16,0,0.0,37500.0,9,6,1,40.0,36,20.184,1,8.325,2.119263
121,46,,0,12,0,1,0,1,75.0,41,0,7,1,0.0,6250.0,28,28,0,32.0,784,2.35,1,2.34375,0.8517522
122,33,1.0,480,13,1,0,40,0,360.0,32,1,14,0,0.0,45000.0,14,12,1,40.0,144,26.28,1,9.0,2.1972246
123,33,0.0,850,18,0,0,40,0,646.0,34,0,16,0,0.0,67500.0,9,12,0,40.0,144,33.908,1,16.15,2.78192
124,57,0.0,500,12,0,0,40,0,0.0,58,0,12,0,,27500.0,39,40,0,0.0,1600,27.5,0,,
125,42,0.0,1250,18,0,0,50,1,769.0,42,0,16,0,0.0,112500.0,18,20,0,77.0,400,72.512,1,9.987013,2.3012855
126,69,,0,5,0,1,0,0,0.0,42,0,1,1,,13750.0,58,35,0,0.0,1225,13.75,0,,
127,46,0.0,800,18,0,0,40,0,400.0,44,0,18,0,0.0,0.0,22,20,1,24.0,400,0.0,1,16.666666,2.8134108
128,60,0.0,450,10,0,0,54,0,543.0,57,0,12,0,1.0,55000.0,44,39,0,40.0,1521,26.764,1,13.575,2.6082299
129,51,0.0,500,12,1,0,70,0,80.0,46,1,10,0,0.0,17500.0,33,30,0,10.0,900,13.34,1,8.0,2.0794415
130,54,0.0,400,12,0,0,40,0,325.0,54,0,12,0,0.0,37500.0,36,36,0,40.0,1296,20.6,1,8.125,2.0949457
131,50,0.0,220,6,0,1,40,1,260.0,43,0,3,1,1.0,27500.0,38,34,0,40.0,1156,13.98,1,6.5,1.8718022
132,33,0.0,450,10,0,0,50,0,0.0,23,0,11,0,,22500.0,17,6,1,0.0,36,22.5,0,,
133,28,,0,10,0,0,20,1,750.0,28,0,12,0,0.0,22500.0,12,10,0,40.0,100,0.0,1,18.75,2.9311938
134,36,,0,13,0,0,70,0,300.0,24,0,12,0,0.0,37500.0,17,6,1,40.0,36,21.9,1,7.5,2.014903
135,44,0.0,337,14,0,0,70,1,332.0,42,0,12,0,0.0,27500.0,24,24,0,40.0,576,10.236,1,8.3,2.1162555
136,54,,0,12,0,0,0,0,300.0,53,0,12,0,0.0,22500.0,36,35,0,0.0,1225,6.9,0,,
137,41,0.0,769,12,0,0,0,0,0.0,34,0,13,0,,37500.0,23,15,1,0.0,225,37.5,0,,
138,37,,0,12,0,0,0,1,163.0,31,0,12,0,0.0,32500.0,19,13,0,0.0,169,24.024,0,,
139,32,,0,14,0,0,30,0,0.0,31,0,16,0,,3000.0,12,9,1,0.0,81,3.0,0,,
140,46,,0,16,0,0,40,1,0.0,42,0,12,0,,32500.0,24,24,0,0.0,576,32.5,0,,
141,35,,0,12,0,0,50,0,395.0,30,0,14,0,0.0,17500.0,17,10,1,40.0,100,0.0,1,9.875,2.2900064
142,60,,0,14,0,0,40,1,260.0,56,0,14,0,0.0,45000.0,40,36,0,40.0,1296,31.48,1,6.5,1.8718022
143,48,1.0,600,12,0,0,40,0,235.0,50,0,13,0,0.0,45000.0,30,31,0,35.0,961,32.78,1,6.714286,1.9042375
144,58,0.0,1923,16,0,0,20,0,0.0,57,0,16,0,,3000.0,36,35,0,0.0,1225,3.0,0,,
145,37,0.0,600,18,0,0,38,0,230.0,26,0,13,0,0.0,45000.0,13,7,1,25.0,49,33.04,1,9.2,2.2192035
146,37,0.0,1000,12,0,0,50,0,0.0,25,0,6,1,,37500.0,19,13,1,0.0,169,37.5,0,,
147,40,0.0,700,18,0,0,32,1,35.0,40,0,16,0,0.0,32500.0,16,18,0,2.0,324,30.68,1,17.5,2.862201
148,57,0.0,1058,18,0,0,40,0,500.0,52,0,15,0,0.0,67500.0,33,31,0,0.0,961,41.5,0,,
149,44,0.0,400,12,0,0,50,1,540.0,44,0,13,0,1.0,45000.0,26,25,0,0.0,625,16.92,0,,
150,39,0.0,1115,16,0,0,40,1,0.0,37,0,13,0,,55000.0,17,18,0,0.0,324,55.0,0,,
151,45,,0,9,0,0,42,0,315.0,53,0,12,0,0.0,32500.0,30,35,0,40.0,1225,16.12,1,7.875,2.0636933
152,46,1.0,648,12,0,0,48,1,0.0,46,0,12,0,,32500.0,28,28,0,0.0,784,32.5,0,,
153,24,0.0,280,12,1,0,40,0,200.0,29,1,12,0,0.0,22500.0,6,11,1,30.0,121,12.1,1,6.6666665,1.89712
154,32,,0,14,0,0,0,0,0.0,28,0,14,0,,45000.0,12,8,1,0.0,64,45.0,0,,
155,40,0.0,1000,15,0,0,40,0,0.0,40,0,12,0,,55000.0,19,22,1,0.0,484,55.0,0,,
156,39,,0,12,0,0,60,1,880.0,39,0,12,0,0.0,55000.0,21,21,0,0.0,441,9.24,0,,
157,54,0.0,500,12,0,0,55,0,100.0,51,0,12,0,0.0,45000.0,36,33,0,21.0,1089,39.8,1,4.7619047,1.5606477
158,48,0.0,200,12,1,0,40,0,240.0,46,1,12,0,0.0,13750.0,30,28,0,0.0,784,1.27,0,,
159,28,,0,12,0,0,65,0,196.0,31,0,14,0,0.0,27500.0,10,11,1,30.0,121,17.308,1,6.5333333,1.8769172
160,30,,0,13,0,0,55,0,0.0,33,0,13,0,,112500.0,11,14,1,0.0,196,112.5,0,,
161,44,,0,15,0,0,60,1,224.0,42,0,17,0,0.0,45000.0,23,19,0,40.0,361,33.352,1,5.6,1.7227666
162,50,0.0,780,12,0,0,40,0,600.0,42,0,16,0,1.0,67500.0,32,20,0,40.0,400,36.3,1,15.0,2.7080503
163,61,,0,17,0,0,0,0,0.0,54,0,14,0,,45000.0,38,34,0,0.0,1156,45.0,0,,
164,49,1.0,606,12,0,0,57,0,126.0,50,0,12,0,0.0,45000.0,31,32,0,28.0,1024,38.448,1,4.5,1.5040774
165,37,1.0,600,16,0,0,38,1,450.0,36,0,16,0,1.0,45000.0,15,14,0,35.0,196,21.6,1,12.857142,2.5538995
166,56,0.0,1200,12,0,0,40,0,450.0,54,0,15,0,0.0,32500.0,38,33,0,24.0,1089,9.1,1,18.75,2.9311938
167,22,,0,8,0,0,0,0,0.0,22,0,11,0,,3000.0,8,5,1,0.0,25,3.0,0,,
168,24,0.0,430,16,0,0,40,0,153.0,23,0,16,0,0.0,27500.0,2,1,0,30.0,1,19.544,1,5.1,1.6292405
169,29,1.0,550,13,0,0,40,0,220.0,28,0,12,0,0.0,37500.0,10,10,1,0.0,100,26.06,0,,
170,26,0.0,277,18,0,0,40,0,140.0,26,1,12,0,0.0,13750.0,2,8,1,35.0,64,6.47,1,4.0,1.3862944
171,38,0.0,800,12,0,0,45,0,0.0,37,0,12,0,,37500.0,20,19,1,0.0,361,37.5,0,,
172,51,0.0,1600,18,0,0,50,0,275.0,51,0,12,0,0.0,67500.0,27,33,0,27.0,1089,53.2,1,10.185185,2.3209343
173,32,,0,12,0,0,0,1,0.0,30,0,12,0,,3000.0,14,12,0,0.0,144,3.0,0,,
174,44,,0,18,0,0,50,1,0.0,37,0,16,0,,55000.0,20,15,0,0.0,225,55.0,0,,
175,51,,0,12,1,0,40,0,0.0,44,1,12,0,,17500.0,33,26,0,0.0,676,17.5,0,,
176,34,0.0,368,10,0,0,32,1,231.0,33,0,12,0,0.0,45000.0,18,15,0,40.0,225,32.988,1,5.775,1.7535383
177,29,0.0,1092,12,0,0,84,0,300.0,30,0,16,0,0.0,55000.0,11,8,1,35.0,64,39.4,1,8.571428,2.1484344
178,35,0.0,175,18,0,0,20,0,400.0,27,0,16,0,0.0,32500.0,11,5,1,40.0,25,11.7,1,10.0,2.3025851
179,37,0.0,400,12,0,0,40,1,400.0,38,0,14,0,0.0,37500.0,19,18,0,40.0,324,16.7,1,10.0,2.3025851
180,53,0.0,425,12,0,0,40,0,490.0,45,0,12,0,0.0,0.0,35,27,0,40.0,729,0.0,1,12.25,2.5055258
181,27,0.0,625,13,0,0,40,0,396.0,26,0,12,0,0.0,45000.0,8,8,0,35.0,64,24.408,1,11.314285,2.4260662
182,53,,0,9,1,0,0,1,170.0,52,1,10,0,1.0,27500.0,38,36,0,20.0,1296,18.66,1,8.5,2.1400661
183,46,0.0,280,12,0,0,40,0,0.0,46,0,12,0,,0.0,28,28,0,0.0,784,0.0,0,,
184,32,0.0,320,12,0,0,40,0,0.0,29,0,10,0,,17500.0,14,13,1,0.0,169,17.5,0,,
185,24,0.0,300,12,0,0,40,0,500.0,22,0,16,0,0.0,17500.0,6,0,0,48.0,0,0.0,1,10.416667,2.3434072
186,39,0.0,360,14,0,0,40,0,500.0,33,0,14,0,1.0,45000.0,19,13,1,40.0,169,19.0,1,12.5,2.5257287
187,35,,0,12,0,0,40,1,72.0,36,0,12,0,0.0,55000.0,17,18,0,10.0,324,51.256,1,7.2,1.974081
188,43,0.0,940,10,0,0,45,1,0.0,39,0,13,0,,55000.0,27,20,0,0.0,400,55.0,0,,
189,61,,0,10,1,0,0,0,180.0,37,0,8,0,0.0,0.0,45,23,0,35.0,529,0.0,1,5.142857,1.6376088
190,41,0.0,400,12,0,0,46,0,0.0,40,0,12,0,,17500.0,23,22,0,0.0,484,17.5,0,,
191,26,0.0,1200,13,0,0,40,0,500.0,25,0,16,0,0.0,45000.0,7,3,0,45.0,9,19.0,1,11.111111,2.4079456
192,56,,0,12,0,0,65,0,0.0,54,0,12,0,,27500.0,38,36,0,0.0,1296,27.5,0,,
193,38,1.0,1000,14,0,0,46,0,700.0,38,0,14,0,1.0,55000.0,18,18,1,35.0,324,18.6,1,20.0,2.9957323
194,38,0.0,770,14,0,0,32,1,414.0,38,0,14,0,0.0,55000.0,18,18,0,24.0,324,33.472,1,17.25,2.8478122
195,33,0.0,400,12,0,0,40,0,105.0,28,0,12,0,0.0,22500.0,15,10,0,30.0,100,17.04,1,3.5,1.2527629
196,27,0.0,200,12,0,0,40,0,326.0,22,0,12,0,0.0,22500.0,9,4,0,40.0,16,5.548,1,8.15,2.098018
197,39,0.0,1500,16,0,0,40,0,500.0,38,0,12,0,1.0,55000.0,17,20,0,40.0,400,29.0,1,12.5,2.5257287
198,32,0.0,650,13,0,0,50,1,425.0,33,0,14,0,0.0,45000.0,13,13,0,40.0,169,22.9,1,10.625,2.3632097
199,43,0.0,1000,17,0,0,45,0,0.0,44,0,16,0,,67500.0,20,22,0,0.0,484,67.5,0,,
200,45,,0,12,1,0,0,1,450.0,40,1,14,0,0.0,32500.0,27,20,0,40.0,400,9.1,1,11.25,2.4203682
201,52,0.0,440,10,0,0,40,1,126.0,37,0,12,0,0.0,32500.0,36,19,0,32.0,361,25.948,1,3.9375,1.370546
202,64,0.0,71,14,0,0,16,1,230.0,54,0,15,0,0.0,17500.0,44,33,0,40.0,1089,5.54,1,5.75,1.7491999
203,54,0.0,770,18,0,0,40,0,475.0,56,0,14,0,0.0,55000.0,30,36,0,40.0,1296,30.3,1,11.875,2.4744353
204,44,,0,14,0,0,40,1,399.0,38,0,15,0,1.0,112500.0,24,17,0,24.0,289,91.752,1,16.625,2.8109076
205,32,0.0,495,12,0,0,45,0,0.0,23,0,14,0,,37500.0,14,3,1,0.0,9,37.5,0,,
206,34,0.0,230,10,0,0,40,1,0.0,37,0,12,0,,27500.0,18,19,0,0.0,361,27.5,0,,
207,25,0.0,230,13,0,0,40,0,650.0,24,0,14,1,0.0,27500.0,6,4,1,40.0,16,0.0,1,16.25,2.7880929
208,40,,0,14,0,0,80,0,312.0,38,0,14,0,0.0,17500.0,20,18,1,40.0,324,1.276,1,7.8,2.0541236
209,54,,0,18,0,0,50,0,0.0,50,0,16,0,,0.0,30,28,0,0.0,784,0.0,0,,
210,33,,0,12,0,0,0,0,0.0,27,0,11,0,,8750.0,15,10,1,0.0,100,8.75,0,,
211,50,,0,13,0,0,40,0,290.0,48,0,12,0,0.0,0.0,31,30,0,35.0,900,0.0,1,8.285714,2.114533
212,52,,0,12,0,0,0,1,0.0,38,0,12,0,,11500.0,34,20,0,0.0,400,11.5,0,,
213,30,,0,12,0,0,60,0,90.0,44,0,16,0,0.0,37500.0,12,22,0,15.0,484,32.82,1,6.0,1.7917595
214,34,0.0,400,12,0,0,48,0,200.0,34,0,10,0,0.0,32500.0,16,18,1,30.0,324,22.1,1,6.6666665,1.89712
215,42,0.0,486,12,0,0,48,0,136.0,39,0,12,0,0.0,32500.0,24,21,0,24.0,441,25.428,1,5.6666665,1.734601
216,29,1.0,520,12,0,0,32,0,0.0,27,0,12,0,,37500.0,11,9,1,0.0,81,37.5,0,,
