,e401k,inc,marr,male,age,fsize,nettfa,p401k,pira,incsq,agesq
124,0,17.136,0,1,34,3,0.015,0,0,293.6425,1156
125,0,16.956,1,0,47,2,0.826,0,0,287.50592,2209
126,1,56.7,1,0,63,2,94.399,1,1,3214.8901,3969
127,0,70.275,1,0,41,4,-2.157,0,0,4938.5757,1681
128,0,13.464,0,0,27,2,0.4,0,0,181.27928,729
129,0,74.649,1,0,39,4,-8.005,0,0,5572.4736,1521
130,0,24.012,0,0,41,3,-9.456,0,0,576.5761,1681
131,0,20.559,0,0,30,3,2.9,0,0,422.6725,900
132,0,39.528,1,1,55,2,-15.718,0,1,1562.4628,3025
133,0,39.303,0,0,34,1,-12.188,0,0,1544.726,1156
134,0,17.715,0,1,31,1,4.05,0,0,313.82123,961
135,1,55.08,1,0,54,2,44.043,1,0,3033.8066,2916
136,1,20.76,0,1,55,1,7.955,0,0,430.9776,3025
137,0,14.283,0,1,40,1,0.028,0,0,204.00409,1600
138,0,20.436,1,0,31,4,-0.2,0,0,417.63013,961
139,0,26.388,1,0,26,4,0.866,0,0,696.3266,676
140,0,46.104,1,0,39,3,4.35,0,0,2125.5789,1521
141,1,49.71,1,0,42,3,27.097,0,1,2471.084,1764
142,1,76.806,1,0,52,2,80.049,1,0,5899.1616,2704
143,1,39.705,1,0,39,4,71.569,0,1,1576.4872,1521
144,0,11.22,0,0,30,3,0.0,0,0,125.888405,900
145,0,18.348,0,0,50,4,0.3,0,0,336.64908,2500
146,0,13.95,0,0,49,6,0.0,0,0,194.6025,2401
147,0,15.216,1,0,32,10,0.2,0,0,231.52664,1024
148,0,36.15,1,0,32,4,-2.2,0,0,1306.8226,1024
149,0,47.34,0,1,27,2,-10.43,0,0,2241.0757,729
150,0,63.225,1,0,40,6,10.571,0,1,3997.4004,1600
151,1,26.031,0,0,49,2,0.5,0,0,677.613,2401
152,0,20.4,1,0,36,5,0.0,0,0,416.15997,1296
153,0,17.928,0,0,36,3,0.0,0,0,321.41318,1296
154,1,31.8,1,0,38,5,12.51,1,0,1011.2399,1444
155,0,30.0,1,1,42,2,-15.1,0,0,900.0,1764
156,0,26.463,0,0,43,1,10.011,0,1,700.29034,1849
157,1,73.722,1,0,42,5,3.2,1,0,5434.933,1764
158,0,33.414,1,0,32,4,-4.7,0,0,1116.4955,1024
159,1,34.08,1,0,35,6,5.1,0,0,1161.4465,1225
160,1,48.9,0,0,61,1,28.08,1,1,2391.2102,3721
161,1,21.0,0,1,41,1,-2.347,0,0,441.0,1681
162,1,39.609,1,0,59,2,48.684,0,1,1568.8729,3481
163,1,80.85,1,0,45,5,132.425,1,1,6536.722,2025
164,1,91.761,1,0,35,4,-3.45,0,0,8420.081,1225
165,0,46.719,1,0,41,5,4.0,0,0,2182.665,1681
166,0,19.2,0,1,25,1,0.0,0,0,368.64,625
167,1,102.705,1,0,35,2,56.6,1,0,10548.317,1225
168,0,54.966,1,0,33,3,1.4,0,0,3021.2612,1089
169,0,12.75,0,1,38,2,0.0,0,0,162.5625,1444
170,1,52.836,1,0,50,2,37.65,1,0,2791.6428,2500
171,0,12.72,1,0,32,3,0.0,0,0,161.7984,1024
172,1,26.646,0,0,28,1,62.679,1,0,710.00934,784
173,0,59.664,1,0,44,5,11.4,0,1,3559.793,1936
174,0,39.15,1,0,58,2,189.4,0,1,1532.7227,3364
175,0,21.3,1,0,47,6,-0.986,0,0,453.68997,2209
176,0,30.87,0,0,48,3,10.95,0,1,952.957,2304
177,0,16.5,1,0,57,2,23.0,0,0,272.25,3249
178,0,32.592,1,0,57,4,-2.1,0,0,1062.2384,3249
179,0,27.345,1,0,34,5,0.409,0,0,747.74896,1156
180,0,35.418,1,0,57,5,-5.75,0,0,1254.4347,3249
181,0,24.3,0,0,45,1,0.05,0,0,590.49,2025
182,1,52.365,1,0,46,2,6.0,0,0,2742.0935,2116
183,0,26.865,1,1,29,4,-1.945,0,0,721.7282,841
184,0,39.48,1,0,35,3,40.2,0,1,1558.6704,1225
185,1,45.693,1,0,40,2,18.576,1,1,2087.8503,1600
186,0,39.3,1,0,42,5,-4.9,0,0,1544.49,1764
187,0,14.244,0,0,60,1,120.0,0,1,202.89156,3600
188,0,43.518,1,0,27,3,-7.5,0,0,1893.8164,729
189,0,10.857,0,1,27,1,1.046,0,0,117.87446,729
190,0,51.222,0,0,33,3,1.6,0,0,2623.6934,1089
191,0,34.764,1,1,63,2,3.0,0,0,1208.5356,3969
192,0,16.959,1,0,43,7,-0.5,0,0,287.60767,1849
193,0,23.64,1,0,26,5,-6.001,0,0,558.84955,676
194,1,56.304,1,0,45,4,29.4,1,0,3170.1406,2025
195,1,107.097,1,0,54,2,47.922,0,0,11469.768,2916
196,1,46.818,1,0,39,4,1.8,1,1,2191.9253,1521
197,0,13.11,0,0,30,3,0.0,0,0,171.87209,900
198,0,29.16,0,0,36,3,4.245,0,0,850.3056,1296
199,1,42.54,1,0,52,2,30.1,1,0,1809.6517,2704
200,0,74.31,1,0,49,6,-5.5,0,0,5521.9756,2401
201,0,27.729,1,0,31,6,-4.88,0,0,768.89746,961
202,0,15.0,0,0,42,3,49.538,0,0,225.0,1764
203,1,54.723,1,0,57,2,21.948,1,0,2994.6067,3249
204,0,61.581,1,0,44,4,61.366,0,1,3792.2197,1936
205,1,72.03,1,0,43,2,21.998,0,1,5188.321,1849
206,1,37.338,1,0,48,7,-18.89,0,1,1394.1263,2304
207,0,27.354,0,0,39,3,2.6,0,1,748.24133,1521
208,1,92.898,0,1,27,1,30.957,1,1,8630.039,729
209,0,42.942,1,0,33,4,-2.205,0,0,1844.0155,1089
210,1,31.017,1,0,31,5,1.209,0,1,962.0543,961
211,1,23.892,0,0,35,1,5.249,1,0,570.8277,1225
212,1,44.46,1,0,39,2,38.307,1,1,1976.6915,1521
213,0,33.72,1,1,30,2,-2.552,0,0,1137.0385,900
214,0,52.821,1,0,37,5,3.3,0,1,2790.0579,1369
215,1,86.4,1,0,43,4,45.1,0,1,7464.9604,1849
216,0,14.763,1,0,31,4,-5.007,0,0,217.94615,961
217,1,107.301,1,0,50,3,371.901,1,1,11513.505,2500
218,0,20.385,0,0,27,1,-0.8,0,0,415.54825,729
219,1,41.526,1,0,35,2,-1.5,0,0,1724.4088,1225
220,0,27.375,1,0,41,4,-1.2,0,0,749.3906,1681
221,0,24.336,1,0,42,4,-0.3,0,0,592.2409,1764
222,1,34.425,1,0,40,4,-6.46,1,0,1185.0806,1600
223,0,43.131,1,0,45,2,59.16,0,1,1860.2832,2025
224,1,57.063,1,0,54,4,138.999,1,1,3256.186,2916
225,1,41.535,0,1,30,1,83.7,0,1,1725.1562,900
226,0,61.722,1,1,32,3,-2.48,0,0,3809.6052,1024
227,0,99.153,1,0,43,2,80.802,0,1,9831.317,1849
228,0,37.296,1,0,28,3,-2.0,0,0,1390.9917,784
229,1,27.06,0,0,38,3,37.1,1,0,732.2436,1444
230,0,32.46,0,0,26,1,-4.49,0,0,1053.6515,676
231,1,28.491,0,1,46,3,4.02,1,0,811.73706,2116
232,1,19.596,0,1,41,2,-1.2,1,0,384.00323,1681
233,1,18.54,0,0,37,5,0.964,1,0,343.73163,1369
234,1,102.435,1,0,54,2,139.629,1,1,10492.929,2916
235,0,26.7,1,0,39,4,46.0,0,0,712.89,1521
236,1,43.788,0,0,43,3,46.85,1,1,1917.3888,1849
237,1,45.87,1,0,47,2,38.8,1,1,2104.057,2209
238,0,38.88,0,1,61,2,-17.7,0,0,1511.6545,3721
239,0,17.706,0,0,43,3,3.399,0,0,313.5024,1849
240,0,21.63,0,0,63,2,-0.74,0,0,467.85687,3969
241,1,43.437,1,0,36,3,12.818,1,1,1886.773,1296
242,1,57.15,1,0,34,4,2.2,1,0,3266.1226,1156
243,1,22.902,0,1,51,1,61.749,1,1,524.50165,2601
244,0,40.74,1,0,42,5,3.6,0,1,1659.7477,1764
245,0,13.182,1,0,32,4,-2.373,0,0,173.76512,1024
246,0,11.61,0,0,44,1,0.05,0,0,134.7921,1936
247,1,108.588,1,0,62,2,84.196,0,0,11791.354,3844
248,1,29.772,1,0,53,2,1.198,0,0,886.37195,2809
249,1,67.32,1,0,45,3,36.199,1,0,4531.9824,2025
250,1,46.236,1,0,57,3,22.398,0,1,2137.7678,3249
251,0,32.589,1,0,31,4,1.3,0,0,1062.043,961
252,0,60.498,1,0,40,2,10.05,0,1,3660.008,1600
253,0,30.21,0,1,30,2,3.1,0,1,912.64404,900
254,1,55.125,1,0,35,4,23.969,1,1,3038.7656,1225
255,1,56.676,1,0,56,2,-6.239,0,0,3212.169,3136
256,1,70.845,1,0,57,2,200.0,1,1,5019.014,3249
257,0,46.815,0,0,44,3,30.902,0,1,2191.644,1936
258,1,14.43,0,0,27,1,-4.5,0,0,208.22491,729
259,1,58.173,1,0,31,2,22.45,0,0,3384.098,961
260,1,50.646,0,0,40,2,45.584,1,1,2565.0173,1600
261,0,12.207,0,1,32,1,-0.843,0,0,149.01085,1024
262,0,62.526,1,0,52,2,69.1,0,1,3909.5007,2704
263,1,44.703,1,1,32,5,-14.0,0,0,1998.3582,1024
264,0,85.38,1,0,25,4,-30.24,0,0,7289.744,625
265,0,34.647,0,1,35,1,4.999,0,0,1200.4146,1225
266,1,27.786,1,1,41,3,-0.001,0,0,772.06177,1681
267,1,54.45,1,0,63,2,94.599,1,1,2964.8025,3969
268,1,19.638,0,1,52,1,8.5,1,0,385.65106,2704
269,1,33.312,0,0,36,2,77.2,1,0,1109.6893,1296
270,0,24.534,1,0,25,3,5.15,0,0,601.9172,625
271,0,18.36,0,1,28,1,0.015,0,0,337.08963,784
272,0,28.74,0,1,27,1,-1.2,0,0,825.9876,729
273,0,36.168,1,0,25,3,-1.501,0,0,1308.1241,625
274,0,17.01,1,0,47,3,4.15,0,0,289.34012,2209
275,0,17.412,0,0,39,3,0.0,0,0,303.17776,1521
276,0,32.427,1,0,37,2,0.1,0,0,1051.5103,1369
277,0,38.058,0,1,28,1,5.2,0,0,1448.4113,784
278,1,58.317,1,0,46,3,36.5,0,1,3400.8726,2116
279,0,15.822,1,0,26,2,11.4,0,0,250.33566,676
280,0,43.275,1,0,26,2,-3.073,0,0,1872.7257,676
281,0,17.445,1,0,34,4,-7.0,0,0,304.328,1156
282,1,21.639,1,0,42,4,0.249,0,0,468.2463,1764
283,0,48.033,0,0,61,2,32.055,0,1,2307.1692,3721
284,0,49.08,1,0,54,2,45.7,0,1,2408.8467,2916
285,1,35.292,0,1,61,1,3.0,0,0,1245.5253,3721
286,0,28.575,0,0,27,1,1.249,0,0,816.53064,729
287,0,33.366,0,1,43,1,12.599,0,0,1113.29,1849
288,1,35.472,0,1,51,2,60.398,1,0,1258.2628,2601
289,0,42.93,1,1,35,3,-18.88,0,0,1842.985,1225
290,0,17.58,1,0,32,2,12.2,0,1,309.0564,1024
291,0,77.01,1,0,36,4,26.0,0,1,5930.5405,1296
292,0,37.662,1,0,37,11,-2.382,0,0,1418.4261,1369
293,1,20.43,1,0,57,1,-1.94,1,0,417.38492,3249
294,0,27.84,0,0,40,2,0.0,0,0,775.0656,1600
295,0,49.806,0,0,37,1,110.103,0,1,2480.6377,1369
296,0,24.678,1,0,34,3,-0.312,0,0,609.00366,1156
297,0,15.81,1,1,60,3,-3.2,0,0,249.95612,3600
298,1,17.628,1,0,27,4,12.34,1,0,310.7464,729
299,0,20.406,1,0,37,4,-10.515,0,1,416.40485,1369
300,0,37.644,1,1,44,3,-6.656,0,0,1417.0708,1936
301,0,89.175,1,1,43,3,-0.2,0,0,7952.181,1849
302,0,30.165,1,1,56,3,-0.101,0,0,909.9273,3136
303,0,27.294,0,0,34,2,-2.5,0,0,744.96246,1156
304,0,34.509,0,1,39,1,13.3,0,0,1190.871,1521
305,0,28.716,1,0,30,4,-19.175,0,0,824.60864,900
306,1,15.0,0,1,38,1,2.85,1,0,225.0,1444
307,1,29.325,1,0,33,4,5.513,1,0,859.9557,1089
308,0,56.913,1,1,39,3,35.883,0,1,3239.0894,1521
309,1,51.051,1,0,29,4,16.6,1,0,2606.2043,841
310,1,169.2,1,0,49,2,484.198,1,1,28628.639,2401
311,0,25.704,0,0,49,1,-0.369,0,0,660.6956,2401
312,0,25.8,0,0,37,1,13.5,0,1,665.63995,1369
313,1,110.985,1,0,36,4,10.8,1,0,12317.67,1296
314,0,35.625,1,0,34,5,-8.0,0,0,1269.1406,1156
315,0,45.762,1,0,39,4,16.069,0,1,2094.1606,1521
316,1,46.911,1,0,56,4,9.02,0,1,2200.6418,3136
317,0,15.906,0,0,26,4,0.1,0,0,253.00084,676
318,1,50.433,1,0,29,2,14.126,1,0,2543.4873,841
319,1,53.844,1,0,44,4,4.73,0,1,2899.1765,1936
320,0,28.356,1,0,26,2,4.591,0,0,804.0628,676
321,1,50.4,0,1,39,2,5.8,1,0,2540.1602,1521
322,1,33.15,0,0,43,2,24.68,1,0,1098.9226,1849
323,0,16.488,1,0,27,6,-1.422,0,0,271.8542,729
324,0,41.775,0,1,50,1,9.499,0,1,1745.1508,2500
325,1,36.147,1,0,34,4,-0.071,1,1,1306.6056,1156
326,0,34.95,0,0,41,3,0.5,0,0,1221.5026,1681
327,1,31.005,0,1,27,1,0.0,0,0,961.31,729
328,1,48.528,1,0,46,3,3.22,0,0,2354.9668,2116
329,0,34.68,1,1,45,4,-57.0,0,0,1202.7024,2025
330,0,12.6,0,0,42,1,-9.55,0,0,158.76001,1764
331,0,20.07,1,1,52,2,-4.0,0,0,402.8049,2704
332,0,38.319,1,0,31,3,0.09,0,0,1468.3458,961
333,0,20.73,1,0,28,4,1.9,0,0,429.73288,784
334,0,28.248,0,1,31,1,15.15,0,0,797.94946,961
335,0,31.098,0,0,55,1,20.299,0,0,967.0856,3025
336,1,24.996,0,1,44,1,1.4,0,0,624.80005,1936
337,0,22.338,0,1,26,1,0.892,0,0,498.9862,676
338,0,86.79,1,1,27,4,1.4,0,0,7532.5044,729
339,0,14.655,0,0,27,3,0.0,0,0,214.76901,729
340,1,16.224,0,0,42,6,-1.5,0,0,263.2182,1764
341,0,25.185,0,0,59,1,237.95,0,1,634.2842,3481
342,0,24.0,0,1,40,1,0.0,0,0,576.0,1600
343,0,48.027,0,1,39,1,1.9,0,1,2306.5928,1521
344,0,17.4,0,0,35,1,-10.1,0,0,302.75998,1225
345,0,18.75,1,0,35,7,0.0,0,0,351.5625,1225
346,1,30.576,0,0,31,1,13.5,1,0,934.8918,961
347,1,91.776,1,1,42,5,12.0,1,0,8422.834,1764
348,0,17.85,0,1,25,1,0.0,0,0,318.62253,625
349,1,29.31,0,0,54,1,4.8,0,0,859.07605,2916
350,1,66.852,1,0,42,3,10.901,1,0,4469.1895,1764
351,1,23.07,0,0,30,1,2.16,1,0,532.2249,900
352,1,66.15,1,1,28,4,-1.29,1,0,4375.8228,784
353,1,81.711,1,0,54,5,249.6,1,1,6676.6875,2916
354,0,31.587,1,0,54,2,22.998,0,0,997.7386,2916
355,1,64.878,0,1,33,1,27.343,1,0,4209.155,1089
356,0,36.06,0,0,28,1,-5.0,0,0,1300.3237,784
357,0,33.6,1,0,39,2,-9.0,0,0,1128.9598,1521
358,0,60.03,1,0,39,5,-3.3,0,0,3603.6008,1521
359,0,60.225,0,1,37,1,-15.8,0,0,3627.0505,1369
360,1,65.7,1,0,43,5,53.948,1,0,4316.4897,1849
361,1,32.49,0,0,61,3,20.6,1,0,1055.6002,3721
362,0,109.608,1,1,33,4,-9.0,0,0,12013.914,1089
363,1,97.887,1,0,44,4,60.196,1,1,9581.865,1936
364,1,50.268,0,1,41,1,20.1,1,0,2526.872,1681
365,0,55.5,1,0,63,2,55.0,0,1,3080.25,3969
366,1,50.484,1,0,36,4,8.6,0,0,2548.6343,1296
367,0,70.905,1,0,41,6,1.0,0,0,5027.519,1681
368,0,16.14,0,1,35,1,12.999,0,0,260.49957,1225
369,0,17.967,0,0,30,4,-2.0,0,0,322.81305,900
370,1,24.48,1,0,44,3,3.4,1,0,599.2704,1936
371,0,25.005,1,0,60,3,-1.829,0,0,625.25,3600
372,0,31.47,1,0,31,2,-0.75,0,1,990.36084,961
373,0,26.61,0,0,25,1,-5.8,0,0,708.0921,625
374,0,22.011,1,0,31,7,-1.9,0,0,484.4841,961
375,0,42.459,1,0,37,5,48.599,0,0,1802.7666,1369
376,0,27.0,1,0,48,5,47.5,0,0,729.0,2304
377,0,101.949,1,0,53,3,32.5,0,1,10393.598,2809
378,0,22.74,1,1,55,7,15.999,0,0,517.1076,3025
379,0,20.58,1,0,63,2,2.999,0,0,423.5364,3969
380,1,96.864,1,0,42,3,-9.38,1,0,9382.634,1764
381,0,47.403,0,0,46,3,-0.301,0,0,2247.0444,2116
382,0,11.094,1,0,51,3,-0.3,0,0,123.076836,2601
383,1,51.051,1,0,55,2,62.0,1,0,2606.2043,3025
384,1,34.743,1,0,56,4,36.5,1,1,1207.076,3136
385,0,54.621,0,0,37,4,5.3,0,1,2983.4534,1369
386,0,47.385,1,0,36,6,-0.9,0,0,2245.3381,1296
387,0,46.746,1,0,51,3,0.899,0,0,2185.1885,2601
388,0,103.455,0,1,44,1,68.248,0,0,10702.9375,1936
389,1,24.21,1,0,44,6,5.59,1,0,586.1241,1936
390,0,34.89,1,0,44,5,-1.184,0,0,1217.312,1936
391,0,63.432,1,0,26,2,23.397,0,1,4023.6184,676
392,0,44.268,1,0,44,3,-2.0,0,0,1959.656,1936
393,0,44.508,1,0,27,3,-4.199,0,0,1980.962,729
394,1,26.19,1,0,50,2,63.249,0,1,685.91614,2500
395,0,38.949,1,0,60,2,0.599,0,0,1517.0247,3600
396,0,12.87,0,1,31,1,2.8,0,0,165.6369,961
397,1,17.484,0,0,57,3,27.999,1,0,305.69022,3249
398,0,36.873,1,0,29,2,-4.9,0,0,1359.6182,841
399,0,17.04,1,0,27,3,-0.275,0,0,290.36163,729
400,0,22.137,0,0,50,1,0.16,0,0,490.04672,2500
401,0,25.02,0,1,36,1,0.1,0,0,626.0004,1296
402,1,39.288,0,1,27,1,6.6,0,0,1543.5468,729
403,0,26.925,1,0,39,5,-2.4,0,0,724.95557,1521
404,0,23.661,0,0,33,1,4.1,0,0,559.8429,1089
405,0,28.8,1,0,42,4,-1.5,0,0,829.43994,1764
406,1,23.661,1,0,41,4,-3.452,0,0,559.8429,1681
407,0,44.775,1,0,34,4,-26.28,0,0,2004.8008,1156
408,0,68.04,1,1,31,5,44.75,0,1,4629.442,961
409,0,29.526,0,0,44,4,18.449,0,1,871.7846,1936
410,0,32.022,1,0,35,3,0.449,0,0,1025.4084,1225
411,0,52.2,1,0,32,4,15.0,0,0,2724.84,1024
412,0,53.04,1,0,30,4,-4.0,0,0,2813.2417,900
413,1,43.47,1,0,41,5,-0.7,1,0,1889.641,1681
414,1,42.84,1,0,47,2,89.664,1,0,1835.2656,2209
415,1,43.26,1,0,38,4,10.2,1,1,1871.4275,1444
416,1,68.676,1,0,39,4,1.05,1,0,4716.3936,1521
417,0,23.748,0,1,31,1,-1.55,0,0,563.96747,961
418,0,19.68,1,0,48,4,0.08,0,0,387.3024,2304
419,0,29.604,0,0,28,3,-15.9,0,0,876.39685,784
420,1,24.06,0,0,43,1,18.5,1,1,578.88354,1849
421,0,15.54,0,1,46,1,-2.0,0,0,241.4916,2116
422,1,49.38,1,0,56,4,37.4,1,0,2438.3845,3136
423,1,54.597,1,0,42,4,1.7,1,0,2980.8325,1764
424,0,18.468,0,0,55,1,-0.5,0,0,341.06705,3025
425,0,39.681,0,0,49,3,11.899,0,0,1574.5818,2401
426,0,89.118,1,0,35,3,-315.701,0,0,7942.017,1225
427,0,10.797,0,1,57,2,0.0,0,0,116.57521,3249
428,0,42.024,1,0,44,4,-1.2,0,0,1766.0165,1936
