,gfr,pe,year,t,tsq,pe_1,pe_2,pe_3,pe_4,pill,ww2,tcu,cgfr,cpe,cpe_1,cpe_2,cpe_3,cpe_4,gfr_1,cgfr_1,cgfr_2,cgfr_3,cgfr_4,gfr_2
18,84.6,14.91,1931,19,361,18.4,27.29,31.96,24.61,0,0,6859.0,-4.5999985,-3.4899998,-8.890001,-4.669998,7.3499985,3.4800014,89.2,0.0,-4.600006,-6.0,-2.7999954,89.2
19,81.7,28.36,1932,20,400,14.91,18.4,27.29,31.96,0,0,8000.0,-2.9000015,13.450001,-3.4899998,-8.890001,-4.669998,7.3499985,84.6,-4.5999985,0.0,-4.600006,-6.0,89.2
20,76.3,31.95,1933,21,441,28.36,14.91,18.4,27.29,0,0,9261.0,-5.399994,3.5900002,13.450001,-3.4899998,-8.890001,-4.669998,81.7,-2.9000015,-4.5999985,0.0,-4.600006,84.6
21,78.5,33.91,1934,22,484,31.95,28.36,14.91,18.4,0,0,10648.0,2.199997,1.9599991,3.5900002,13.450001,-3.4899998,-8.890001,76.3,-5.399994,-2.9000015,-4.5999985,0.0,81.7
22,77.2,36.98,1935,23,529,33.91,31.95,28.36,14.91,0,0,12167.0,-1.300003,3.0699997,1.9599991,3.5900002,13.450001,-3.4899998,78.5,2.199997,-5.399994,-2.9000015,-4.5999985,76.3
23,75.8,50.12,1936,24,576,36.98,33.91,31.95,28.36,0,0,13824.0,-1.3999939,13.139999,3.0699997,1.9599991,3.5900002,13.450001,77.2,-1.300003,2.199997,-5.399994,-2.9000015,78.5
24,77.1,42.79,1937,25,625,50.12,36.98,33.91,31.95,0,0,15625.0,1.2999954,-7.329998,13.139999,3.0699997,1.9599991,3.5900002,75.8,-1.3999939,-1.300003,2.199997,-5.399994,77.2
25,79.1,32.22,1938,26,676,42.79,50.12,36.98,33.91,0,0,17576.0,2.0,-10.57,-7.329998,13.139999,3.0699997,1.9599991,77.1,1.2999954,-1.3999939,-1.300003,2.199997,75.8
26,77.6,36.53,1939,27,729,32.22,42.79,50.12,36.98,0,0,19683.0,-1.5,4.3099976,-10.57,-7.329998,13.139999,3.0699997,79.1,2.0,1.2999954,-1.3999939,-1.300003,77.1
27,79.9,53.33,1940,28,784,36.53,32.22,42.79,50.12,0,0,21952.0,2.300003,16.800003,4.3099976,-10.57,-7.329998,13.139999,77.6,-1.5,2.0,1.2999954,-1.3999939,79.1
28,83.4,102.49,1941,29,841,53.33,36.53,32.22,42.79,0,1,24389.0,3.5,49.159996,16.800003,4.3099976,-10.57,-7.329998,79.9,2.300003,-1.5,2.0,1.2999954,77.6
29,91.5,137.7,1942,30,900,102.49,53.33,36.53,32.22,0,1,27000.0,8.099998,35.21,49.159996,16.800003,4.3099976,-10.57,83.4,3.5,2.300003,-1.5,2.0,79.9
30,94.3,141.2,1943,31,961,137.7,102.49,53.33,36.53,0,1,29791.0,2.800003,3.5,35.21,49.159996,16.800003,4.3099976,91.5,8.099998,3.5,2.300003,-1.5,83.4
31,88.4,243.83,1944,32,1024,141.2,137.7,102.49,53.33,0,1,32768.0,-5.9000015,102.630005,3.5,35.21,49.159996,16.800003,94.3,2.800003,8.099998,3.5,2.300003,91.5
32,85.9,238.4,1945,33,1089,243.83,141.2,137.7,102.49,0,1,35937.0,-2.5,-5.430008,102.630005,3.5,35.21,49.159996,88.4,-5.9000015,2.800003,8.099998,3.5,94.3
33,101.9,193.16,1946,34,1156,238.4,243.83,141.2,137.7,0,0,39304.0,16.0,-45.23999,-5.430008,102.630005,3.5,35.21,85.9,-2.5,-5.9000015,2.800003,8.099998,88.4
34,113.3,168.9,1947,35,1225,193.16,238.4,243.83,141.2,0,0,42875.0,11.400002,-24.26001,-45.23999,-5.430008,102.630005,3.5,101.9,16.0,-2.5,-5.9000015,2.800003,85.9
35,107.3,149.79,1948,36,1296,168.9,193.16,238.4,243.83,0,0,46656.0,-6.0,-19.11,-24.26001,-45.23999,-5.430008,102.630005,113.3,11.400002,16.0,-2.5,-5.9000015,101.9
36,107.1,147.05,1949,37,1369,149.79,168.9,193.16,238.4,0,0,50653.0,-0.20000458,-2.7399902,-19.11,-24.26001,-45.23999,-5.430008,107.3,-6.0,11.400002,16.0,-2.5,113.3
37,106.2,163.1,1950,38,1444,147.05,149.79,168.9,193.16,0,0,54872.0,-0.9000015,16.050003,-2.7399902,-19.11,-24.26001,-45.23999,107.1,-0.20000458,-6.0,11.400002,16.0,107.3
38,111.5,178.14,1951,39,1521,163.1,147.05,149.79,168.9,0,0,59319.0,5.300003,15.039993,16.050003,-2.7399902,-19.11,-24.26001,106.2,-0.9000015,-0.20000458,-6.0,11.400002,107.1
39,113.9,189.43,1952,40,1600,178.14,163.1,147.05,149.79,0,0,64000.0,2.4000015,11.289993,15.039993,16.050003,-2.7399902,-19.11,111.5,5.300003,-0.9000015,-0.20000458,-6.0,106.2
40,115.2,186.51,1953,41,1681,189.43,178.14,163.1,147.05,0,0,68921.0,1.2999954,-2.9199982,11.289993,15.039993,16.050003,-2.7399902,113.9,2.4000015,5.300003,-0.9000015,-0.20000458,111.5
41,118.1,165.46,1954,42,1764,186.51,189.43,178.14,163.1,0,0,74088.0,2.9000015,-21.049988,-2.9199982,11.289993,15.039993,16.050003,115.2,1.2999954,2.4000015,5.300003,-0.9000015,113.9
42,118.5,170.57,1955,43,1849,165.46,186.51,189.43,178.14,0,0,79507.0,0.40000153,5.1100006,-21.049988,-2.9199982,11.289993,15.039993,118.1,2.9000015,1.2999954,2.4000015,5.300003,115.2
43,121.2,171.0,1956,44,1936,170.57,165.46,186.51,189.43,0,0,85184.0,2.699997,0.42999268,5.1100006,-21.049988,-2.9199982,11.289993,118.5,0.40000153,2.9000015,1.2999954,2.4000015,118.1
44,122.9,165.12,1957,45,2025,171.0,170.57,165.46,186.51,0,0,91125.0,1.7000046,-5.880005,0.42999268,5.1100006,-21.049988,-2.9199982,121.2,2.699997,0.40000153,2.9000015,1.2999954,118.5
45,120.2,158.66,1958,46,2116,165.12,171.0,170.57,165.46,0,0,97336.0,-2.7000046,-6.4599915,-5.880005,0.42999268,5.1100006,-21.049988,122.9,1.7000046,2.699997,0.40000153,2.9000015,121.2
46,118.8,162.19,1959,47,2209,158.66,165.12,171.0,170.57,0,0,103823.0,-1.3999939,3.5299988,-6.4599915,-5.880005,0.42999268,5.1100006,120.2,-2.7000046,1.7000046,2.699997,0.40000153,122.9
47,118.0,158.28,1960,48,2304,162.19,158.66,165.12,171.0,0,0,110592.0,-0.80000305,-3.9100037,3.5299988,-6.4599915,-5.880005,0.42999268,118.8,-1.3999939,-2.7000046,1.7000046,2.699997,120.2
48,117.2,160.71,1961,49,2401,158.28,162.19,158.66,165.12,0,0,117649.0,-0.80000305,2.430008,-3.9100037,3.5299988,-6.4599915,-5.880005,118.0,-0.80000305,-1.3999939,-2.7000046,1.7000046,118.8
49,112.2,161.58,1962,50,2500,160.71,158.28,162.19,158.66,0,0,125000.0,-5.0,0.8699951,2.430008,-3.9100037,3.5299988,-6.4599915,117.2,-0.80000305,-0.80000305,-1.3999939,-2.7000046,118.0
50,108.5,161.61,1963,51,2601,161.58,160.71,158.28,162.19,1,0,132651.0,-3.699997,0.02999878,0.8699951,2.430008,-3.9100037,3.5299988,112.2,-5.0,-0.80000305,-0.80000305,-1.3999939,117.2
51,105.0,142.73,1964,52,2704,161.61,161.58,160.71,158.28,1,0,140608.0,-3.5,-18.880005,0.02999878,0.8699951,2.430008,-3.9100037,108.5,-3.699997,-5.0,-0.80000305,-0.80000305,112.2
52,96.6,134.6,1965,53,2809,142.73,161.61,161.58,160.71,1,0,148877.0,-8.400002,-8.12999,-18.880005,0.02999878,0.8699951,2.430008,105.0,-3.5,-3.699997,-5.0,-0.80000305,108.5
53,91.3,133.94,1966,54,2916,134.6,142.73,161.61,161.58,1,0,157464.0,-5.2999954,-0.66000366,-8.12999,-18.880005,0.02999878,0.8699951,96.6,-8.400002,-3.5,-3.699997,-5.0,105.0
54,87.6,133.8,1967,55,3025,133.94,134.6,142.73,161.61,1,0,166375.0,-3.7000046,-0.13999939,-0.66000366,-8.12999,-18.880005,0.02999878,91.3,-5.2999954,-8.400002,-3.5,-3.699997,96.6
55,85.7,145.1,1968,56,3136,133.8,133.94,134.6,142.73,1,0,175616.0,-1.9000015,11.300003,-0.13999939,-0.66000366,-8.12999,-18.880005,87.6,-3.7000046,-5.2999954,-8.400002,-3.5,91.3
56,86.5,142.62,1969,57,3249,145.1,133.8,133.94,134.6,1,0,185193.0,0.80000305,-2.480011,11.300003,-0.13999939,-0.66000366,-8.12999,85.7,-1.9000015,-3.7000046,-5.2999954,-8.400002,87.6
57,87.9,130.58,1970,58,3364,142.62,145.1,133.8,133.94,1,0,195112.0,1.4000015,-12.039993,-2.480011,11.300003,-0.13999939,-0.66000366,86.5,0.80000305,-1.9000015,-3.7000046,-5.2999954,85.7
58,81.8,132.99,1971,59,3481,130.58,142.62,145.1,133.8,1,0,205379.0,-6.0999985,2.4100037,-12.039993,-2.480011,11.300003,-0.13999939,87.9,1.4000015,0.80000305,-1.9000015,-3.7000046,86.5
59,73.4,144.85,1972,60,3600,132.99,130.58,142.62,145.1,1,0,216000.0,-8.400002,11.860001,2.4100037,-12.039993,-2.480011,11.300003,81.8,-6.0999985,1.4000015,0.80000305,-1.9000015,87.9
60,69.2,140.87,1973,61,3721,144.85,132.99,130.58,142.62,1,0,226981.0,-4.2000046,-3.980011,11.860001,2.4100037,-12.039993,-2.480011,73.4,-8.400002,-6.0999985,1.4000015,0.80000305,81.8
61,68.4,130.49,1974,62,3844,140.87,144.85,132.99,130.58,1,0,238328.0,-0.7999954,-10.37999,-3.980011,11.860001,2.4100037,-12.039993,69.2,-4.2000046,-8.400002,-6.0999985,1.4000015,73.4
62,66.0,122.36,1975,63,3969,130.49,140.87,144.85,132.99,1,0,250047.0,-2.4000015,-8.130005,-10.37999,-3.980011,11.860001,2.4100037,68.4,-0.7999954,-4.2000046,-8.400002,-6.0999985,69.2
63,65.8,120.08,1976,64,4096,122.36,130.49,140.87,144.85,1,0,262144.0,-0.19999695,-2.2799988,-8.130005,-10.37999,-3.980011,11.860001,66.0,-2.4000015,-0.7999954,-4.2000046,-8.400002,68.4
64,66.8,116.11,1977,65,4225,120.08,122.36,130.49,140.87,1,0,274625.0,1.0,-3.9700012,-2.2799988,-8.130005,-10.37999,-3.980011,65.8,-0.19999695,-2.4000015,-0.7999954,-4.2000046,66.0
65,65.5,118.98,1978,66,4356,116.11,120.08,122.36,130.49,1,0,287496.0,-1.300003,2.8700027,-3.9700012,-2.2799988,-8.130005,-10.37999,66.8,1.0,-0.19999695,-2.4000015,-0.7999954,65.8
66,67.2,132.93,1979,67,4489,118.98,116.11,120.08,122.36,1,0,300763.0,1.699997,13.949989,2.8700027,-3.9700012,-2.2799988,-8.130005,65.5,-1.300003,1.0,-0.19999695,-2.4000015,66.8
67,68.4,123.17,1980,68,4624,132.93,118.98,116.11,120.08,1,0,314432.0,1.2000046,-9.7599945,13.949989,2.8700027,-3.9700012,-2.2799988,67.2,1.699997,-1.300003,1.0,-0.19999695,65.5
68,67.4,119.31,1981,69,4761,123.17,132.93,118.98,116.11,1,0,328509.0,-1.0,-3.8600006,-9.7599945,13.949989,2.8700027,-3.9700012,68.4,1.2000046,1.699997,-1.300003,1.0,67.2
69,67.3,102.04,1982,70,4900,119.31,123.17,132.93,118.98,1,0,343000.0,-0.099998474,-17.269997,-3.8600006,-9.7599945,13.949989,2.8700027,67.4,-1.0,1.2000046,1.699997,-1.300003,68.4
70,65.8,92.49,1983,71,5041,102.04,119.31,123.17,132.93,1,0,357911.0,-1.5,-9.550003,-17.269997,-3.8600006,-9.7599945,13.949989,67.3,-0.099998474,-1.0,1.2000046,1.699997,67.4
71,65.4,83.9,1984,72,5184,92.49,102.04,119.31,123.17,1,0,373248.0,-0.40000153,-8.589996,-9.550003,-17.269997,-3.8600006,-9.7599945,65.8,-1.5,-0.099998474,-1.0,1.2000046,67.3
