,nr,year,agric,black,bus,construc,ent,exper,fin,hisp,poorhlth,hours,manuf,married,min,nrthcen,nrtheast,occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8,occ9,per,pro,pub,rur,south,educ,tra,trad,union,lwage,d81,d82,d83,d84,d85,d86,d87,expersq
10,17,1982,0,0,0,0,0,6,0,0,0,2530,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.5591905,0,1,0,0,0,0,0,36
11,17,1983,0,0,0,0,0,7,0,0,0,2340,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.7254101,0,0,1,0,0,0,0,49
12,17,1984,0,0,0,0,0,8,0,0,0,2486,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.6220223,0,0,0,1,0,0,0,64
13,17,1985,0,0,0,1,0,9,0,0,0,2164,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1.6085882,0,0,0,0,1,0,0,81
14,17,1986,0,0,0,1,0,10,0,0,0,2749,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1.5723854,0,0,0,0,0,1,0,100
15,17,1987,0,0,0,1,0,11,0,0,0,2476,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,1.8203338,0,0,0,0,0,0,1,121
16,18,1980,0,0,0,0,0,4,0,0,0,2332,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.5159627,0,0,0,0,0,0,0,16
17,18,1981,0,0,0,0,0,5,0,0,0,2116,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.7353791,1,0,0,0,0,0,0,25
18,18,1982,0,0,0,0,0,6,0,0,0,2500,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1.6317437,0,1,0,0,0,0,0,36
19,18,1983,0,0,0,0,0,7,0,0,0,2474,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1.9982288,0,0,1,0,0,0,0,49
20,18,1984,0,0,0,0,0,8,0,0,0,2362,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.1840143,0,0,0,1,0,0,0,64
21,18,1985,0,0,0,0,0,9,0,0,0,2340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.2666621,0,0,0,0,1,0,0,81
22,18,1986,0,0,0,0,0,10,0,0,0,2340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.069944,0,0,0,0,0,1,0,100
23,18,1987,0,0,0,0,0,11,0,0,0,2340,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.8731608,0,0,0,0,0,0,1,121
24,45,1980,0,0,0,0,0,2,0,0,0,1864,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,1,1.894115,0,0,0,0,0,0,0,4
25,45,1981,0,0,0,0,0,3,0,0,0,2021,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,1,1.4711593,1,0,0,0,0,0,0,9
26,45,1982,0,0,0,0,0,4,0,0,0,2274,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.4734975,0,1,0,0,0,0,0,16
27,45,1983,0,0,0,0,0,5,0,0,0,2112,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.7409142,0,0,1,0,0,0,0,25
28,45,1984,0,0,1,0,0,6,0,0,0,1920,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.8232137,0,0,0,1,0,0,0,36
29,45,1985,0,0,0,0,0,7,0,0,0,2205,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.9082729,0,0,0,0,1,0,0,49
30,45,1986,0,0,0,0,0,8,0,0,0,2551,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1.7424474,0,0,0,0,0,1,0,64
31,45,1987,0,0,0,1,0,9,0,0,0,2860,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.135689,0,0,0,0,0,0,1,81
32,110,1980,0,0,0,0,0,5,0,0,0,2080,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,1,1.9487748,0,0,0,0,0,0,0,25
33,110,1981,0,0,0,0,0,6,0,0,0,2080,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1.9622593,1,0,0,0,0,0,0,36
34,110,1982,0,0,0,0,0,7,0,0,0,2639,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1.9632968,0,1,0,0,0,0,0,49
35,110,1983,0,0,0,0,0,8,0,0,0,2223,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,2.2025156,0,0,1,0,0,0,0,64
36,110,1984,0,0,0,0,0,9,0,0,0,2150,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,2.1349542,0,0,0,1,0,0,0,81
37,110,1985,0,0,1,0,0,10,0,0,0,1532,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.1258228,0,0,0,0,1,0,0,100
38,110,1986,0,0,0,0,0,11,1,0,0,2080,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1.9910166,0,0,0,0,0,1,0,121
39,110,1987,0,0,0,0,0,12,1,0,0,2080,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2.1123934,0,0,0,0,0,0,1,144
40,120,1980,0,0,0,0,0,2,0,0,0,1025,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,0.25855488,0,0,0,0,0,0,0,4
41,120,1981,0,0,0,0,0,3,0,0,0,1496,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.3199717,1,0,0,0,0,0,0,9
42,120,1982,0,0,0,0,0,4,0,0,0,1394,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.4620852,0,1,0,0,0,0,0,16
43,120,1983,0,0,0,0,0,5,0,0,0,2924,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.3202869,0,0,1,0,0,0,0,25
44,120,1984,0,0,0,0,1,6,0,0,0,3564,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,1.7036465,0,0,0,1,0,0,0,36
45,120,1985,0,0,0,0,0,7,0,0,0,3979,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1.4458032,0,0,0,0,1,0,0,49
46,120,1986,0,0,0,0,0,8,1,0,0,4351,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1.806364,0,0,0,0,0,1,0,64
47,120,1987,0,0,1,0,0,9,0,0,0,3568,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2.1481202,0,0,0,0,0,0,1,81
48,126,1980,0,0,0,0,0,2,0,0,0,3115,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.7372855,0,0,0,0,0,0,0,4
49,126,1981,0,0,0,0,0,3,0,0,0,2735,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.9896009,1,0,0,0,0,0,0,9
50,126,1982,0,0,0,0,0,4,0,0,0,2390,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.1899168,0,1,0,0,0,0,0,16
51,126,1983,0,0,0,0,0,5,0,0,0,2340,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.8554633,0,0,1,0,0,0,0,25
52,126,1984,0,0,0,0,0,6,0,0,0,2250,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.9224378,0,0,0,1,0,0,0,36
53,126,1985,0,0,0,0,0,7,0,0,0,2340,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.061024,0,0,0,0,1,0,0,49
54,126,1986,0,0,0,0,0,8,0,0,0,2941,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1.7822016,0,0,0,0,0,1,0,64
55,126,1987,0,0,0,0,0,9,0,0,0,2847,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,2.4146817,0,0,0,0,0,0,1,81
56,150,1980,0,0,1,0,0,2,0,0,0,1876,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.2087353,0,0,0,0,0,0,0,4
57,150,1981,0,0,1,0,0,3,0,0,0,2327,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.1940397,1,0,0,0,0,0,0,9
58,150,1982,0,0,1,0,0,4,0,0,0,2006,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.1704406,0,1,0,0,0,0,0,16
59,150,1983,0,0,1,0,0,5,0,0,0,1826,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.0979645,0,0,1,0,0,0,0,25
60,150,1984,0,0,1,0,0,6,0,0,0,3414,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0.7658162,0,0,0,1,0,0,0,36
61,150,1985,0,0,1,0,0,7,0,0,0,3928,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,1.119026,0,0,0,0,1,0,0,49
62,150,1986,0,0,1,0,0,8,0,0,0,4000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.1193668,0,0,0,0,0,1,0,64
63,150,1987,0,0,1,0,0,9,0,0,0,4992,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,1,0.8314595,0,0,0,0,0,0,1,81
64,162,1980,0,0,0,0,0,2,0,0,0,1874,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0.50247014,0,0,0,0,0,0,0,4
65,162,1981,0,0,0,0,0,3,0,0,0,1710,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1.0649123,1,0,0,0,0,0,0,9
66,162,1982,0,0,0,0,0,4,0,0,0,1488,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1.189498,0,1,0,0,0,0,0,16
67,162,1983,0,0,0,0,0,5,0,0,0,939,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,0,1.5398885,0,0,1,0,0,0,0,25
68,162,1984,0,0,0,0,0,6,0,0,0,1980,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1.598286,0,0,0,1,0,0,0,36
69,162,1985,0,0,0,0,0,7,0,0,0,2735,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.7373207,0,0,0,0,1,0,0,49
70,162,1986,0,0,0,0,0,8,0,0,0,2720,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.9884559,0,0,0,0,0,1,0,64
71,162,1987,0,0,0,0,0,9,0,0,0,2795,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,2.1586785,0,0,0,0,0,0,1,81
72,166,1980,0,0,0,0,0,2,0,0,0,1296,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,1.005294,0,0,0,0,0,0,0,4
73,166,1981,0,0,0,0,0,3,0,0,0,1942,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,0.9376874,1,0,0,0,0,0,0,9
74,166,1982,0,0,0,0,0,4,0,0,0,1245,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,1.3674877,0,1,0,0,0,0,0,16
75,166,1983,0,0,0,0,0,5,0,0,0,1196,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1.3780087,0,0,1,0,0,0,0,25
76,166,1984,0,0,0,0,0,6,0,0,0,2387,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1.1701835,0,0,0,1,0,0,0,36
77,166,1985,0,0,0,0,0,7,0,0,0,2160,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,1,0,1.7282214,0,0,0,0,1,0,0,49
78,166,1986,0,0,0,0,0,8,0,0,0,2336,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1.7098647,0,0,0,0,0,1,0,64
79,166,1987,0,0,0,0,0,9,0,0,0,2301,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,1,0,1.8510748,0,0,0,0,0,0,1,81
80,189,1980,0,0,0,0,0,2,0,0,0,520,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.1305454,0,0,0,0,0,0,0,4
81,189,1981,0,0,0,0,0,3,0,0,0,520,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0.83624804,1,0,0,0,0,0,0,9
82,189,1982,0,0,0,0,0,4,0,0,0,520,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.4673598,0,1,0,0,0,0,0,16
83,189,1983,0,0,0,0,0,5,0,0,0,520,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.0714836,0,0,1,0,0,0,0,25
84,189,1984,0,0,0,0,0,6,0,0,0,1400,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.4459195,0,0,0,1,0,0,0,36
85,189,1985,0,0,0,0,0,7,0,0,0,1754,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1.6851163,0,0,0,0,1,0,0,49
86,189,1986,0,0,0,0,0,8,0,0,0,1840,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.686175,0,0,0,0,0,1,0,64
87,189,1987,0,0,0,0,0,9,0,0,0,1872,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.7551303,0,0,0,0,0,0,1,81
88,193,1980,0,0,0,0,0,2,0,0,0,980,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.565692,0,0,0,0,0,0,0,4
89,193,1981,0,0,0,0,0,3,0,0,0,925,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.4938753,1,0,0,0,0,0,0,9
90,193,1982,0,0,0,0,0,4,0,0,0,2187,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.8226621,0,1,0,0,0,0,0,16
91,193,1983,0,0,0,0,0,5,0,0,0,2080,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.380336,0,0,1,0,0,0,0,25
92,193,1984,0,0,0,0,0,6,0,0,0,2346,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.2171285,0,0,0,1,0,0,0,36
93,193,1985,0,0,0,0,0,7,0,0,0,2487,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.2720315,0,0,0,0,1,0,0,49
94,193,1986,0,0,0,0,0,8,0,0,0,2328,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.3537986,0,0,0,0,0,1,0,64
95,193,1987,0,0,0,0,0,9,0,0,0,2132,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2.42945,0,0,0,0,0,0,1,81
96,209,1980,0,0,0,0,0,3,0,0,0,2340,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,1.9180032,0,0,0,0,0,0,0,9
97,209,1981,0,0,0,0,0,4,0,0,0,1935,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,0.76540774,1,0,0,0,0,0,0,16
98,209,1982,0,0,0,0,0,5,0,0,0,2080,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,1.9781854,0,1,0,0,0,0,0,25
99,209,1983,0,0,0,0,0,6,0,0,0,2080,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,1.9485537,0,0,1,0,0,0,0,36
100,209,1984,0,0,0,0,1,7,0,0,0,2280,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,2.037026,0,0,0,1,0,0,0,49
101,209,1985,0,0,0,0,0,8,0,0,0,2520,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.9025748,0,0,0,0,1,0,0,64
102,209,1986,0,0,0,0,0,9,0,0,0,2395,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1.9726037,0,0,0,0,0,1,0,81
103,209,1987,0,0,0,0,1,10,0,0,0,2145,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2.1869822,0,0,0,0,0,0,1,100
104,212,1980,0,0,0,0,0,2,0,0,0,2080,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1.7844718,0,0,0,0,0,0,0,4
105,212,1981,0,0,0,0,0,3,0,0,0,2080,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.1799827,1,0,0,0,0,0,0,9
106,212,1982,0,0,0,0,0,4,0,0,0,2110,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,1,1.9638654,0,1,0,0,0,0,0,16
107,212,1983,0,0,0,0,0,5,0,0,0,2550,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.0449328,0,0,1,0,0,0,0,25
108,212,1984,0,0,0,0,0,6,0,0,0,2560,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2.0128613,0,0,0,1,0,0,0,36
109,212,1985,0,0,0,0,0,7,0,0,0,2704,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.0969858,0,0,0,0,1,0,0,49
110,212,1986,0,0,0,0,0,8,0,0,0,2856,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2.1439662,0,0,0,0,0,1,0,64
111,212,1987,0,0,0,0,0,9,0,0,0,2912,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,1,2.2412844,0,0,0,0,0,0,1,81
112,218,1980,0,0,0,0,0,2,0,0,0,2080,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2.0133133,0,0,0,0,0,0,0,4
113,218,1981,0,0,0,0,0,3,0,0,0,2530,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,1.9621525,1,0,0,0,0,0,0,9
114,218,1982,0,0,0,0,0,4,0,0,0,2240,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2.275641,0,1,0,0,0,0,0,16
115,218,1983,0,0,1,0,0,5,0,0,0,2520,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2.1949177,0,0,1,0,0,0,0,25
116,218,1984,0,0,0,0,0,6,0,0,0,2405,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2.4283373,0,0,0,1,0,0,0,36
117,218,1985,0,0,1,0,0,7,0,0,0,2130,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2.723037,0,0,0,0,1,0,0,49
118,218,1986,0,0,1,0,0,8,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2.9663963,0,0,0,0,0,1,0,64
119,218,1987,0,0,1,0,0,9,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.0650518,0,0,0,0,0,0,1,81
120,243,1980,0,0,0,0,0,4,0,0,0,2000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,0,0,1.5641813,0,0,0,0,0,0,0,16
121,243,1981,0,0,0,0,0,5,0,0,0,2080,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1.6835458,1,0,0,0,0,0,0,25
122,243,1982,0,0,0,0,0,6,0,0,1,2080,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.6905034,0,1,0,0,0,0,0,36
123,243,1983,0,0,0,0,0,7,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.6608716,0,0,1,0,0,0,0,49
124,243,1984,0,0,0,0,0,8,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.6980506,0,0,0,1,0,0,0,64
125,243,1985,0,0,0,0,0,9,0,0,0,2168,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.6717682,0,0,0,0,1,0,0,81
126,243,1986,0,0,0,0,0,10,0,0,0,2161,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1.6357175,0,0,0,0,0,1,0,100
127,243,1987,0,0,0,0,0,11,0,0,0,2080,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1.786971,0,0,0,0,0,0,1,121
128,259,1980,0,0,0,0,0,3,0,0,0,1984,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,2.1071897,0,0,0,0,0,0,0,9
129,259,1981,0,0,0,0,0,4,0,0,0,2080,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,2.089011,1,0,0,0,0,0,0,16
130,259,1982,0,0,0,0,0,5,0,0,0,1755,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,2.042724,0,1,0,0,0,0,0,25
131,259,1983,0,0,0,0,0,6,0,0,0,3157,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,1.3081558,0,0,1,0,0,0,0,36
132,259,1984,0,0,0,0,0,7,0,0,0,2100,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.4881523,0,0,0,1,0,0,0,49
133,259,1985,0,0,0,1,0,8,0,0,0,2080,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1.5428182,0,0,0,0,1,0,0,64
134,259,1986,0,0,0,0,0,9,0,0,0,2996,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,1,0,1.5351347,0,0,0,0,0,1,0,81
135,259,1987,0,0,0,0,0,10,0,0,0,3243,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,1,0,1.4543356,0,0,0,0,0,0,1,100
136,260,1980,0,0,0,0,0,2,0,0,0,815,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,1,1.629912,0,0,0,0,0,0,0,4
137,260,1981,0,0,0,0,0,3,0,0,0,1898,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,1,1.7751131,1,0,0,0,0,0,0,9
138,260,1982,0,0,0,0,0,4,0,0,0,2208,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,1.9672563,0,1,0,0,0,0,0,16
139,260,1983,0,0,0,0,0,5,0,0,0,2080,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2.0751863,0,0,1,0,0,0,0,25
140,260,1984,0,0,0,0,0,6,0,0,0,2080,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2.1288335,0,0,0,1,0,0,0,36
141,260,1985,0,0,0,0,0,7,0,0,0,2080,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2.2684193,0,0,0,0,1,0,0,49
142,260,1986,0,0,0,0,0,8,0,0,0,2710,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,1.9921391,0,0,0,0,0,1,0,64
