,year,id,dist,passen,fare,bmktshr,ldist,y98,y99,y00,lfare,ldistsq,concen,lpassen
52,1997,14,223,278,68,0.792,5.4071717,0,0,0,4.2195077,29.237507,0.792,5.627621
53,1998,14,223,255,71,0.77870005,5.4071717,1,0,0,4.26268,29.237507,0.77870005,5.5412636
54,1999,14,223,255,72,0.8664,5.4071717,0,1,0,4.276666,29.237507,0.8664,5.5412636
55,2000,14,223,241,75,0.84650004,5.4071717,0,0,1,4.317488,29.237507,0.84650004,5.484797
56,1997,15,745,437,132,0.4942,6.6133842,0,0,0,4.882802,43.73685,0.4942,6.079933
57,1998,15,745,385,148,0.4745,6.6133842,1,0,0,4.9972124,43.73685,0.4745,5.9532433
58,1999,15,745,440,137,0.4952,6.6133842,0,1,0,4.919981,43.73685,0.4952,6.086775
59,2000,15,745,443,151,0.49310002,6.6133842,0,0,1,5.0172796,43.73685,0.49310002,6.0935698
60,1997,16,719,197,127,0.5813,6.5778613,0,0,0,4.8441873,43.26826,0.5813,5.2832036
61,1998,16,719,184,146,0.66980004,6.5778613,1,0,0,4.983607,43.26826,0.66980004,5.214936
62,1999,16,719,187,135,0.7471,6.5778613,0,1,0,4.905275,43.26826,0.7471,5.2311087
63,2000,16,719,178,149,0.8061,6.5778613,0,0,1,5.0039463,43.26826,0.8061,5.1817837
64,1997,17,487,761,83,0.71169996,6.188264,0,0,0,4.4188404,38.29461,0.71169996,6.6346335
65,1998,17,487,602,110,0.9228,6.188264,1,0,0,4.7004805,38.29461,0.9228,6.4002576
66,1999,17,487,597,111,0.9234,6.188264,0,1,0,4.7095304,38.29461,0.9234,6.391917
67,2000,17,487,678,105,0.9279,6.188264,0,0,1,4.65396,38.29461,0.9279,6.5191474
68,1997,18,677,935,103,0.815,6.517671,0,0,0,4.634729,42.480038,0.815,6.8405466
69,1998,18,677,886,112,0.8047,6.517671,1,0,0,4.7184987,42.480038,0.8047,6.786717
70,1999,18,677,842,120,0.8728,6.517671,0,1,0,4.787492,42.480038,0.8728,6.7357802
71,2000,18,677,806,131,0.8754,6.517671,0,0,1,4.8751974,42.480038,0.8754,6.692084
72,1997,19,982,189,190,0.68410003,6.889591,0,0,0,5.247024,47.46647,0.68410003,5.241747
73,1998,19,982,183,186,0.65,6.889591,1,0,0,5.2257466,47.46647,0.65,5.209486
74,1999,19,982,182,202,0.5695,6.889591,0,1,0,5.3082676,47.46647,0.5695,5.2040067
75,2000,19,982,181,193,0.6575,6.889591,0,0,1,5.26269,47.46647,0.6575,5.198497
76,1997,20,1817,441,224,0.2793,7.504942,0,0,0,5.411646,56.324154,0.2793,6.089045
77,1998,20,1817,363,240,0.24700001,7.504942,1,0,0,5.480639,56.324154,0.24700001,5.894403
78,1999,20,1817,317,265,0.2345,7.504942,0,1,0,5.57973,56.324154,0.2345,5.7589016
79,2000,20,1817,355,250,0.29479998,7.504942,0,0,1,5.521461,56.324154,0.29479998,5.872118
80,1997,21,889,207,128,0.6642,6.790097,0,0,0,4.8520303,46.10542,0.6642,5.332719
81,1998,21,889,300,143,0.8355,6.790097,1,0,0,4.962845,46.10542,0.8355,5.7037826
82,1999,21,889,379,145,0.88019997,6.790097,0,1,0,4.9767337,46.10542,0.88019997,5.9375362
83,2000,21,889,372,154,0.875,6.790097,0,0,1,5.0369525,46.10542,0.875,5.918894
84,1997,22,632,194,108,0.7625,6.4488893,0,0,0,4.6821313,41.588173,0.7625,5.267858
85,1998,22,632,201,113,0.6856,6.4488893,1,0,0,4.727388,41.588173,0.6856,5.3033047
86,1999,22,632,194,124,0.6518,6.4488893,0,1,0,4.8202815,41.588173,0.6518,5.267858
87,2000,22,632,178,131,0.65830004,6.4488893,0,0,1,4.8751974,41.588173,0.65830004,5.1817837
88,1997,23,1554,200,134,0.552,7.3485875,0,0,0,4.89784,54.00174,0.552,5.2983174
89,1998,23,1554,198,164,0.4992,7.3485875,1,0,0,5.0998664,54.00174,0.4992,5.288267
90,1999,23,1554,194,158,0.4723,7.3485875,0,1,0,5.062595,54.00174,0.4723,5.267858
91,2000,23,1554,197,169,0.5633,7.3485875,0,0,1,5.1298985,54.00174,0.5633,5.2832036
92,1997,24,328,1492,66,0.8163,5.7930136,0,0,0,4.189655,33.559006,0.8163,7.307873
93,1998,24,328,1362,65,0.83349997,5.7930136,1,0,0,4.1743875,33.559006,0.83349997,7.2167096
94,1999,24,328,1449,64,0.82769996,5.7930136,0,1,0,4.158883,33.559006,0.82769996,7.278629
95,2000,24,328,1454,68,0.8254,5.7930136,0,0,1,4.2195077,33.559006,0.8254,7.2820735
96,1997,25,1113,189,144,0.3193,7.0148144,0,0,0,4.9698133,49.207623,0.3193,5.241747
97,1998,25,1113,170,151,0.2922,7.0148144,1,0,0,5.0172796,49.207623,0.2922,5.1357985
98,1999,25,1113,187,153,0.3057,7.0148144,0,1,0,5.030438,49.207623,0.3057,5.2311087
99,2000,25,1113,208,156,0.3159,7.0148144,0,0,1,5.049856,49.207623,0.3159,5.3375382
100,1997,26,494,209,112,0.65309995,6.2025356,0,0,0,4.7184987,38.471447,0.65309995,5.3423343
101,1998,26,494,193,120,0.7086,6.2025356,1,0,0,4.787492,38.471447,0.7086,5.26269
102,1999,26,494,176,124,0.5034,6.2025356,0,1,0,4.8202815,38.471447,0.5034,5.170484
103,2000,26,494,167,124,0.5098,6.2025356,0,0,1,4.8202815,38.471447,0.5098,5.117994
104,1997,27,610,183,137,0.73730004,6.413459,0,0,0,4.919981,41.132454,0.73730004,5.209486
105,1998,27,610,167,150,0.75,6.413459,1,0,0,5.0106354,41.132454,0.75,5.117994
106,1999,27,610,177,144,0.606,6.413459,0,1,0,4.9698133,41.132454,0.606,5.17615
107,2000,27,610,182,158,0.75339997,6.413459,0,0,1,5.062595,41.132454,0.75339997,5.2040067
108,1997,28,628,368,109,0.84449995,6.44254,0,0,0,4.691348,41.506325,0.84449995,5.908083
109,1998,28,628,374,113,0.7525,6.44254,1,0,0,4.727388,41.506325,0.7525,5.924256
110,1999,28,628,369,124,0.8114,6.44254,0,1,0,4.8202815,41.506325,0.8114,5.9107966
111,2000,28,628,370,133,0.839,6.44254,0,0,1,4.890349,41.506325,0.839,5.913503
112,1997,29,897,456,133,0.6877,6.799056,0,0,0,4.890349,46.22716,0.6877,6.122493
113,1998,29,897,315,133,0.4232,6.799056,1,0,0,4.890349,46.22716,0.4232,5.7525725
114,1999,29,897,212,143,0.3455,6.799056,0,1,0,4.962845,46.22716,0.3455,5.3565865
115,2000,29,897,202,146,0.345,6.799056,0,0,1,4.983607,46.22716,0.345,5.3082676
116,1997,30,871,224,136,0.5468,6.769642,0,0,0,4.912655,45.828053,0.5468,5.411646
117,1998,30,871,199,149,0.5647,6.769642,1,0,0,5.0039463,45.828053,0.5647,5.293305
118,1999,30,871,206,151,0.5769,6.769642,0,1,0,5.0172796,45.828053,0.5769,5.327876
119,2000,30,871,205,155,0.6163,6.769642,0,0,1,5.043425,45.828053,0.6163,5.32301
120,1997,31,1181,252,149,0.29639998,7.0741167,0,0,0,5.0039463,50.04313,0.29639998,5.529429
121,1998,31,1181,261,146,0.3508,7.0741167,1,0,0,4.983607,50.04313,0.3508,5.5645204
122,1999,31,1181,284,150,0.48389998,7.0741167,0,1,0,5.0106354,50.04313,0.48389998,5.6489744
123,2000,31,1181,288,156,0.4917,7.0741167,0,0,1,5.049856,50.04313,0.4917,5.6629605
124,1997,32,935,150,132,0.6216,6.8405466,0,0,0,4.882802,46.79308,0.6216,5.0106354
125,1998,32,935,164,149,0.6753,6.8405466,1,0,0,5.0039463,46.79308,0.6753,5.0998664
126,1999,32,935,158,150,0.5912,6.8405466,0,1,0,5.0106354,46.79308,0.5912,5.062595
127,2000,32,935,165,156,0.5687,6.8405466,0,0,1,5.049856,46.79308,0.5687,5.1059456
128,1997,33,1648,411,183,0.3682,7.4073176,0,0,0,5.209486,54.868355,0.3682,6.0185933
129,1998,33,1648,395,173,0.35830003,7.4073176,1,0,0,5.1532917,54.868355,0.35830003,5.9788857
130,1999,33,1648,390,196,0.2932,7.4073176,0,1,0,5.278115,54.868355,0.2932,5.966147
131,2000,33,1648,337,226,0.4041,7.4073176,0,0,1,5.420535,54.868355,0.4041,5.820083
132,1997,34,655,157,274,0.8678,6.4846354,0,0,0,5.613128,42.050495,0.8678,5.056246
133,1998,34,655,156,245,0.891,6.4846354,1,0,0,5.5012584,42.050495,0.891,5.049856
134,1999,34,655,131,270,0.84559995,6.4846354,0,1,0,5.598422,42.050495,0.84559995,4.8751974
135,2000,34,655,138,295,0.83489996,6.4846354,0,0,1,5.6869755,42.050495,0.83489996,4.9272537
136,1997,35,907,346,111,0.52529997,6.8101425,0,0,0,4.7095304,46.37804,0.52529997,5.846439
137,1998,35,907,222,115,0.6242,6.8101425,1,0,0,4.744932,46.37804,0.6242,5.4026775
138,1999,35,907,407,114,0.48529997,6.8101425,0,1,0,4.7361984,46.37804,0.48529997,6.0088134
139,2000,35,907,490,118,0.5708,6.8101425,0,0,1,4.7706847,46.37804,0.5708,6.1944056
140,1997,36,412,151,109,0.899,6.0210233,0,0,0,4.691348,36.25272,0.899,5.0172796
141,1998,36,412,141,119,0.8879,6.0210233,1,0,0,4.7791233,36.25272,0.8879,4.94876
142,1999,36,412,148,118,0.8875,6.0210233,0,1,0,4.7706847,36.25272,0.8875,4.9972124
143,2000,36,412,147,122,0.8835,6.0210233,0,0,1,4.804021,36.25272,0.8835,4.9904327
144,1997,37,324,816,67,0.73,5.7807436,0,0,0,4.204693,33.416996,0.73,6.7044144
145,1998,37,324,785,70,0.71760005,5.7807436,1,0,0,4.248495,33.416996,0.71760005,6.6656837
146,1999,37,324,776,70,0.77309996,5.7807436,0,1,0,4.248495,33.416996,0.77309996,6.6541524
147,2000,37,324,729,72,0.7715,5.7807436,0,0,1,4.276666,33.416996,0.7715,6.591674
148,1997,38,535,242,110,0.88769996,6.2822666,0,0,0,4.7004805,39.466873,0.88769996,5.488938
149,1998,38,535,244,117,0.665,6.2822666,1,0,0,4.762174,39.466873,0.665,5.497168
150,1999,38,535,256,115,0.6664,6.2822666,0,1,0,4.744932,39.466873,0.6664,5.5451775
151,2000,38,535,272,121,0.5918,6.2822666,0,0,1,4.7957907,39.466873,0.5918,5.605802
152,1997,39,759,157,98,0.97290003,6.632002,0,0,0,4.5849676,43.983448,0.97290003,5.056246
153,1998,39,759,159,117,0.96709996,6.632002,1,0,0,4.762174,43.983448,0.96709996,5.0689044
154,1999,39,759,169,117,0.9807,6.632002,0,1,0,4.762174,43.983448,0.9807,5.1298985
155,2000,39,759,161,124,0.9561,6.632002,0,0,1,4.8202815,43.983448,0.9561,5.081404
156,1997,40,125,102,123,0.9107,4.828314,0,0,0,4.8121843,23.312614,0.9107,4.624973
157,1998,40,125,101,127,0.90550005,4.828314,1,0,0,4.8441873,23.312614,0.90550005,4.6151204
158,1999,40,125,101,130,0.9989,4.828314,0,1,0,4.8675346,23.312614,0.9989,4.6151204
159,2000,40,125,87,158,0.9962,4.828314,0,0,1,5.062595,23.312614,0.9962,4.465908
160,1997,41,812,318,207,0.7507,6.6995006,0,0,0,5.332719,44.88331,0.7507,5.7620516
161,1998,41,812,349,207,0.7481,6.6995006,1,0,0,5.332719,44.88331,0.7481,5.855072
162,1999,41,812,375,224,0.7374,6.6995006,0,1,0,5.411646,44.88331,0.7374,5.926926
163,2000,41,812,415,248,0.6897,6.6995006,0,0,1,5.5134287,44.88331,0.6897,6.0282784
164,1997,42,576,1065,167,0.6135,6.3561077,0,0,0,5.117994,40.400105,0.6135,6.9707303
165,1998,42,576,837,189,0.9011,6.3561077,1,0,0,5.241747,40.400105,0.9011,6.729824
166,1999,42,576,1187,132,0.7122,6.3561077,0,1,0,4.882802,40.400105,0.7122,7.0791845
167,2000,42,576,1268,173,0.6162,6.3561077,0,0,1,5.1532917,40.400105,0.6162,7.145196
168,1997,43,449,155,173,0.9008,6.107023,0,0,0,5.1532917,37.295727,0.9008,5.043425
169,1998,43,449,178,152,0.90580004,6.107023,1,0,0,5.0238805,37.295727,0.90580004,5.1817837
170,1999,43,449,183,143,0.9331,6.107023,0,1,0,4.962845,37.295727,0.9331,5.209486
171,2000,43,449,156,185,0.921,6.107023,0,0,1,5.220356,37.295727,0.921,5.049856
172,1997,44,946,1622,237,0.71730006,6.8522425,0,0,0,5.46806,46.953228,0.71730006,7.391415
173,1998,44,946,1981,163,0.7888,6.8522425,1,0,0,5.09375,46.953228,0.7888,7.591357
174,1999,44,946,2421,134,0.7076,6.8522425,0,1,0,4.89784,46.953228,0.7076,7.791936
175,2000,44,946,2188,177,0.7487,6.8522425,0,0,1,5.17615,46.953228,0.7487,7.690743
176,1997,45,712,252,185,0.82949996,6.568078,0,0,0,5.220356,43.13965,0.82949996,5.529429
177,1998,45,712,410,119,0.5845,6.568078,1,0,0,4.7791233,43.13965,0.5845,6.016157
178,1999,45,712,561,100,0.54330003,6.568078,0,1,0,4.6051702,43.13965,0.54330003,6.329721
179,2000,45,712,547,115,0.5087,6.568078,0,0,1,4.744932,43.13965,0.5087,6.3044486
180,1997,46,259,241,178,0.9526,5.556828,0,0,0,5.1817837,30.878338,0.9526,5.484797
181,1998,46,259,250,178,0.9591,5.556828,1,0,0,5.1817837,30.878338,0.9591,5.521461
182,1999,46,259,232,205,0.9654,5.556828,0,1,0,5.32301,30.878338,0.9654,5.4467373
183,2000,46,259,206,218,0.9614,5.556828,0,0,1,5.3844953,30.878338,0.9614,5.327876
184,1997,47,227,783,123,0.5523,5.42495,0,0,0,4.8121843,29.430084,0.5523,6.6631327
185,1998,47,227,633,183,0.6853,5.42495,1,0,0,5.209486,29.430084,0.6853,6.4504704
186,1999,47,227,554,211,0.70239997,5.42495,0,1,0,5.351858,29.430084,0.70239997,6.317165
187,2000,47,227,513,250,0.6904,5.42495,0,0,1,5.521461,29.430084,0.6904,6.240276
188,1997,48,605,3369,125,0.45669997,6.4052286,0,0,0,4.828314,41.026955,0.45669997,8.122372
189,1998,48,605,3826,123,0.46080002,6.4052286,1,0,0,4.8121843,41.026955,0.46080002,8.249576
190,1999,48,605,3599,133,0.49150002,6.4052286,0,1,0,4.890349,41.026955,0.49150002,8.188412
191,2000,48,605,3415,173,0.4592,6.4052286,0,0,1,5.1532917,41.026955,0.4592,8.135933
192,1997,49,373,400,269,0.95519996,5.9215784,0,0,0,5.5947113,35.06509,0.95519996,5.9914646
193,1998,49,373,454,229,0.96769994,5.9215784,1,0,0,5.433722,35.06509,0.96769994,6.1180973
194,1999,49,373,410,252,0.95949996,5.9215784,0,1,0,5.529429,35.06509,0.95949996,6.016157
195,2000,49,373,508,216,0.9568,5.9215784,0,0,1,5.3752785,35.06509,0.9568,6.2304816
196,1997,50,554,857,121,0.5072,6.317165,0,0,0,4.7957907,39.906574,0.5072,6.753438
197,1998,50,554,714,153,0.5195,6.317165,1,0,0,5.030438,39.906574,0.5195,6.570883
198,1999,50,554,683,184,0.48630002,6.317165,0,1,0,5.214936,39.906574,0.48630002,6.526495
199,2000,50,554,616,197,0.5367,6.317165,0,0,1,5.2832036,39.906574,0.5367,6.423247
200,1997,51,1186,186,174,0.7235,7.0783415,0,0,0,5.159055,50.102917,0.7235,5.2257466
201,1998,51,1186,132,237,0.66800004,7.0783415,1,0,0,5.46806,50.102917,0.66800004,4.882802
202,1999,51,1186,151,210,0.61439997,7.0783415,0,1,0,5.3471074,50.102917,0.61439997,5.0172796
203,2000,51,1186,170,205,0.7328,7.0783415,0,0,1,5.32301,50.102917,0.7328,5.1357985
204,1997,52,191,129,209,0.9806,5.2522736,0,0,0,5.3423343,27.586378,0.9806,4.8598123
205,1998,52,191,110,221,0.9763,5.2522736,1,0,0,5.398163,27.586378,0.9763,4.7004805
206,1999,52,191,94,231,0.9804,5.2522736,0,1,0,5.4424176,27.586378,0.9804,4.543295
207,2000,52,191,78,259,0.96769994,5.2522736,0,0,1,5.556828,27.586378,0.96769994,4.356709
208,1997,53,446,582,165,0.89,6.100319,0,0,0,5.1059456,37.21389,0.89,6.3664703
209,1998,53,446,523,179,0.9399,6.100319,1,0,0,5.187386,37.21389,0.9399,6.2595816
210,1999,53,446,483,200,0.91120005,6.100319,0,1,0,5.2983174,37.21389,0.91120005,6.1800165
211,2000,53,446,450,206,0.8647,6.100319,0,0,1,5.327876,37.21389,0.8647,6.1092477
212,1997,54,732,2621,133,0.5136,6.5957804,0,0,0,4.890349,43.50432,0.5136,7.871311
213,1998,54,732,2683,144,0.4758,6.5957804,1,0,0,4.9698133,43.50432,0.4758,7.894691
214,1999,54,732,2709,143,0.48529997,6.5957804,0,1,0,4.962845,43.50432,0.48529997,7.904335
215,2000,54,732,2644,189,0.4768,6.5957804,0,0,1,5.241747,43.50432,0.4768,7.8800483
216,1997,55,432,280,190,0.91110003,6.0684257,0,0,0,5.247024,36.82579,0.91110003,5.6347895
217,1998,55,432,521,112,0.6831,6.0684257,1,0,0,4.7184987,36.82579,0.6831,6.25575
218,1999,55,432,584,119,0.65940005,6.0684257,0,1,0,4.7791233,36.82579,0.65940005,6.369901
219,2000,55,432,642,116,0.6275,6.0684257,0,0,1,4.75359,36.82579,0.6275,6.464588
220,1997,56,1199,1154,168,0.4066,7.089243,0,0,0,5.123964,50.257366,0.4066,7.0509896
221,1998,56,1199,1059,254,0.4096,7.089243,1,0,0,5.5373344,50.257366,0.4096,6.9650803
222,1999,56,1199,1158,215,0.40330002,7.089243,0,1,0,5.370638,50.257366,0.40330002,7.0544496
223,2000,56,1199,1303,221,0.49130002,7.089243,0,0,1,5.398163,50.257366,0.49130002,7.172425
224,1997,57,594,1252,120,0.5216,6.3868794,0,0,0,4.787492,40.79223,0.5216,7.132498
225,1998,57,594,1421,109,0.4788,6.3868794,1,0,0,4.691348,40.79223,0.4788,7.259116
226,1999,57,594,1549,115,0.4759,6.3868794,0,1,0,4.744932,40.79223,0.4759,7.345365
227,2000,57,594,1415,132,0.4909,6.3868794,0,0,1,4.882802,40.79223,0.4909,7.2548847
228,1997,58,644,115,110,0.7566,6.4676986,0,0,0,4.7004805,41.831123,0.7566,4.744932
229,1998,58,644,188,102,0.8543,6.4676986,1,0,0,4.624973,41.831123,0.8543,5.236442
230,1999,58,644,174,110,0.8734,6.4676986,0,1,0,4.7004805,41.831123,0.8734,5.159055
231,2000,58,644,184,124,0.83589995,6.4676986,0,0,1,4.8202815,41.831123,0.83589995,5.214936
232,1997,59,581,1694,120,0.78290004,6.364751,0,0,0,4.787492,40.51005,0.78290004,7.434848
233,1998,59,581,1644,114,0.7339,6.364751,1,0,0,4.7361984,40.51005,0.7339,7.4048877
234,1999,59,581,1588,126,0.7434,6.364751,0,1,0,4.836282,40.51005,0.7434,7.3702307
235,2000,59,581,1653,137,0.71720004,6.364751,0,0,1,4.919981,40.51005,0.71720004,7.410347
236,1997,60,515,376,121,0.8081,6.244167,0,0,0,4.7957907,38.98962,0.8081,5.9295893
237,1998,60,515,425,112,0.725,6.244167,1,0,0,4.7184987,38.98962,0.725,6.052089
238,1999,60,515,420,127,0.6824,6.244167,0,1,0,4.8441873,38.98962,0.6824,6.0402546
239,2000,60,515,460,127,0.72540003,6.244167,0,0,1,4.8441873,38.98962,0.72540003,6.1312265
240,1997,61,306,325,224,0.91470003,5.723585,0,0,0,5.411646,32.759426,0.91470003,5.7838254
241,1998,61,306,551,128,0.7516,5.723585,1,0,0,4.8520303,32.759426,0.7516,6.3117347
242,1999,61,306,682,101,0.71300006,5.723585,0,1,0,4.6151204,32.759426,0.71300006,6.5250297
243,2000,61,306,710,110,0.665,5.723585,0,0,1,4.7004805,32.759426,0.665,6.565265
244,1997,62,859,533,249,0.8214,6.755769,0,0,0,5.5174527,45.64041,0.8214,6.2785215
245,1998,62,859,874,129,0.7509,6.755769,1,0,0,4.8598123,45.64041,0.7509,6.7730803
246,1999,62,859,918,131,0.8211,6.755769,0,1,0,4.8751974,45.64041,0.8211,6.8221974
247,2000,62,859,759,197,0.8162,6.755769,0,0,1,5.2832036,45.64041,0.8162,6.632002
248,1997,63,692,1352,123,0.4811,6.539586,0,0,0,4.8121843,42.766186,0.4811,7.20934
249,1998,63,692,1441,126,0.4239,6.539586,1,0,0,4.836282,42.766186,0.4239,7.2730927
250,1999,63,692,1518,133,0.4878,6.539586,0,1,0,4.890349,42.766186,0.4878,7.325149
251,2000,63,692,1554,151,0.45279998,6.539586,0,0,1,5.0172796,42.766186,0.45279998,7.3485875
252,1997,64,432,442,206,0.821,6.0684257,0,0,0,5.327876,36.82579,0.821,6.09131
253,1998,64,432,491,199,0.85580003,6.0684257,1,0,0,5.293305,36.82579,0.85580003,6.196444
254,1999,64,432,456,214,0.84489995,6.0684257,0,1,0,5.365976,36.82579,0.84489995,6.122493
255,2000,64,432,434,235,0.8269,6.0684257,0,0,1,5.4595857,36.82579,0.8269,6.0730443
256,1997,65,341,198,237,0.9435,5.8318825,0,0,0,5.46806,34.010853,0.9435,5.288267
257,1998,65,341,194,234,0.9619,5.8318825,1,0,0,5.4553213,34.010853,0.9619,5.267858
258,1999,65,341,201,247,0.97029996,5.8318825,0,1,0,5.5093884,34.010853,0.97029996,5.3033047
259,2000,65,341,176,269,0.9568,5.8318825,0,0,1,5.5947113,34.010853,0.9568,5.170484
260,1997,66,270,885,98,0.85120004,5.598422,0,0,0,4.5849676,31.342329,0.85120004,6.785588
261,1998,66,270,1027,93,0.7278,5.598422,1,0,0,4.5325994,31.342329,0.7278,6.934397
262,1999,66,270,1032,94,0.7643,5.598422,0,1,0,4.543295,31.342329,0.7643,6.939254
263,2000,66,270,955,119,0.7078,5.598422,0,0,1,4.7791233,31.342329,0.7078,6.8617115
264,1997,67,693,887,114,0.7467,6.54103,0,0,0,4.7361984,42.785072,0.7467,6.787845
265,1998,67,693,799,162,0.67800003,6.54103,1,0,0,5.0875964,42.785072,0.67800003,6.683361
266,1999,67,693,930,135,0.7504,6.54103,0,1,0,4.905275,42.785072,0.7504,6.8351846
267,2000,67,693,808,168,0.6367,6.54103,0,0,1,5.123964,42.785072,0.6367,6.694562
268,1997,68,1747,721,181,0.6806,7.4656553,0,0,0,5.198497,55.736008,0.6806,6.5806394
269,1998,68,1747,688,217,0.6765,7.4656553,1,0,0,5.379897,55.736008,0.6765,6.5337887
270,1999,68,1747,715,237,0.5985,7.4656553,0,1,0,5.46806,55.736008,0.5985,6.5722823
