,state,puma,educ,lweekinc,exper,expersq
71,45,1000,12,6.645391,13,169
72,71,8109,12,8.612503,12,144
73,37,600,13,6.8200164,22,484
74,23,2601,16,7.050856,6,36
75,49,2509,12,7.034049,31,961
76,71,6500,16,7.7440033,14,196
77,62,805,12,6.357709,18,324
78,23,2800,12,5.789725,16,256
79,40,2200,12,6.694181,16,256
80,61,111,12,6.357709,25,625
81,14,2900,12,6.6071696,27,729
82,3,4200,12,6.0744615,12,144
83,34,902,13,6.963845,19,361
84,43,3608,12,6.9077554,44,1936
85,34,2700,12,6.963845,12,144
86,54,1200,11,5.8468833,13,169
87,40,1300,16,6.963845,27,729
88,66,500,13,6.8277125,30,900
89,40,1900,12,6.564723,22,484
90,49,4612,12,6.6200733,34,1156
91,22,3100,13,5.7291,24,576
92,40,3400,12,6.173786,22,484
93,21,400,16,5.8468833,25,625
94,6,100,12,6.357709,36,1296
95,41,1600,13,6.214608,10,100
96,14,1100,12,6.367659,18,324
97,73,1402,16,7.034049,17,289
98,43,3606,13,7.130899,29,841
99,41,100,12,6.3238072,36,1296
100,14,4303,16,5.2590966,19,361
101,44,1303,12,6.453019,9,81
102,71,3402,12,5.441418,12,144
103,33,1203,12,7.1954374,24,576
104,13,2601,12,5.952244,17,289
105,32,1500,12,5.789725,25,625
106,49,2311,9,6.1345654,39,1521
107,52,504,16,6.8685346,8,64
108,66,800,16,7.190618,14,196
109,14,902,12,6.047554,10,100
110,23,4102,12,6.785153,32,1024
111,72,500,12,7.130899,42,1764
112,24,201,16,7.7440033,27,729
113,73,2004,13,6.7177114,11,121
114,41,2300,14,6.2523484,16,256
115,63,500,12,5.967367,17,289
116,44,2700,16,6.5674295,14,196
117,43,600,13,7.2050066,36,1296
118,65,504,12,6.645391,32,1024
119,13,2202,16,6.5118594,21,441
120,13,1100,13,6.357709,24,576
121,35,801,12,6.070027,35,1225
122,33,1700,12,6.2523484,20,400
123,71,3701,16,5.768321,8,64
124,23,4000,13,6.3099184,10,100
125,42,800,13,6.3969297,43,1849
126,21,2700,14,6.357709,23,529
127,81,200,12,5.7291,15,225
128,6,400,12,6.193102,27,729
129,43,3604,16,7.067385,21,441
130,43,2503,12,6.694181,15,225
131,34,1200,12,5.9203687,30,900
132,21,1102,12,6.357709,33,1089
133,71,5410,16,6.482872,10,100
134,43,2601,12,5.952244,15,225
135,71,2409,14,6.7177114,28,784
136,23,2100,14,6.5400305,23,529
137,67,506,12,6.763174,27,729
138,43,2503,16,7.130899,18,324
139,47,4500,13,6.763174,21,441
140,43,2702,16,7.7440033,20,400
141,34,800,12,7.467371,34,1156
142,14,3203,12,6.214608,34,1156
143,71,5407,13,7.130899,40,1600
144,33,1800,12,6.25543,38,1444
145,47,3300,16,6.944045,23,529
146,13,4015,12,4.748271,17,289
147,54,1200,12,5.236442,30,900
148,44,900,12,6.963845,16,256
149,14,3201,12,7.050856,39,1521
150,56,200,16,7.130899,29,841
151,61,112,13,5.86073,27,729
152,21,3404,12,7.2050066,14,196
153,32,1500,12,5.789725,32,1024
154,34,1803,12,6.848332,20,400
155,1,800,16,7.130899,13,169
156,43,2104,12,6.5400305,35,1225
157,22,3800,12,6.963845,46,2116
158,43,3300,14,6.1753874,10,100
159,24,2800,12,6.70366,42,1764
160,47,905,16,7.7014437,12,144
161,40,1300,16,7.630461,30,900
162,23,300,14,5.48224,7,49
163,47,4100,12,6.5118594,23,529
164,13,4304,16,6.645391,33,1089
165,33,100,14,6.3904986,14,196
166,24,902,12,5.7291,25,625
167,14,1801,13,6.963845,33,1089
168,62,816,12,6.214608,17,289
169,44,1502,14,6.288716,11,121
170,21,3502,16,7.2050066,8,64
171,71,1103,12,6.6274533,30,900
172,40,3000,13,6.357709,10,100
173,51,1901,12,6.357709,20,400
174,43,2704,14,6.357709,16,256
175,22,1901,11,5.3974085,20,400
176,49,4622,13,6.8277125,24,576
177,71,200,12,6.320353,9,81
178,40,3300,14,6.234026,7,49
179,36,200,13,6.645391,34,1156
180,44,4100,12,6.8685346,22,484
181,14,4301,12,5.8468833,15,225
182,43,3903,16,9.581903,15,225
183,14,2802,12,6.7070847,44,1936
184,14,4201,16,7.050856,15,225
185,41,904,16,7.050856,8,64
186,56,1200,13,5.9009504,13,169
187,33,1402,13,7.287245,28,784
188,47,2900,16,5.2763386,3,9
189,14,600,12,5.63066,24,576
190,31,400,12,6.9077554,42,1764
191,23,2700,14,6.214608,31,961
192,43,2205,16,6.5118594,24,576
193,5,500,13,6.3340993,19,361
194,25,700,13,6.7873244,28,784
195,31,300,13,6.2107544,35,1225
196,13,1800,12,5.115996,41,1681
197,44,1501,13,6.214608,27,729
198,13,4012,16,6.357709,25,625
199,40,2100,16,6.5118594,8,64
200,47,3700,16,6.5400305,4,16
201,71,2302,16,6.963845,20,400
202,23,3805,12,6.888337,14,196
203,49,2304,12,5.3936276,42,1764
204,24,3102,16,5.354407,10,100
205,44,2100,12,6.963845,40,1600
206,49,4300,16,6.645391,26,676
207,24,4404,12,7.050856,26,676
208,44,1401,9,6.7177114,22,484
209,54,3000,12,6.8645267,39,1521
210,47,201,12,5.6645617,19,361
211,51,1702,13,6.4769726,42,1764
212,40,1700,16,7.666042,17,289
213,82,303,12,7.960458,37,1369
214,72,600,16,5.521461,12,144
215,31,400,12,5.67909,9,81
216,46,1700,12,6.126869,21,441
217,23,3300,12,6.3238072,10,100
218,23,1500,12,6.677374,35,1225
219,47,901,16,6.214608,6,36
220,22,3800,12,6.1753874,27,729
221,21,3206,16,6.963845,22,484
222,54,1000,16,6.357709,19,361
223,14,3203,12,6.357709,21,441
224,23,1200,13,6.763174,31,961
225,54,802,12,5.567981,34,1156
226,45,1600,12,5.6237397,45,2025
227,71,4600,14,7.338538,39,1521
228,14,400,12,5.789725,24,576
229,46,1500,16,7.541479,16,256
230,25,2400,12,6.963845,23,529
231,54,300,12,6.6200733,42,1764
232,14,3302,16,5.6578727,4,16
233,72,1311,16,6.2523484,17,289
234,47,3000,16,7.099646,14,196
235,71,8002,12,6.1753874,40,1600
236,71,7605,13,7.6104717,24,576
237,25,400,12,6.802395,40,1600
238,44,1305,16,7.287245,26,676
239,13,4302,13,8.8858795,22,484
240,24,4404,12,7.399163,27,729
241,24,702,12,6.5940976,29,841
242,66,500,12,6.829794,23,529
243,71,6122,12,7.4783,35,1225
244,41,600,12,7.0329185,35,1225
245,24,3500,13,6.357709,12,144
246,62,815,14,6.214608,21,441
247,43,1106,16,7.7356353,37,1369
248,49,1000,12,5.944062,30,900
249,62,808,12,7.130899,21,441
250,53,1302,16,7.495542,7,49
251,44,1103,16,8.7090845,21,441
252,34,2000,11,6.4222474,32,1024
253,24,4301,14,6.8277125,16,256
254,14,2102,12,5.9914646,22,484
255,21,3504,16,6.1345654,5,25
256,71,6802,16,7.4224195,24,576
257,71,2105,16,7.993464,25,625
258,13,3202,16,7.7493224,32,1024
259,68,200,16,6.684612,19,361
260,1,2500,12,9.3758545,12,144
261,24,4402,12,6.453019,21,441
262,71,3701,16,5.952244,16,256
263,51,2400,12,6.5940976,37,1369
264,47,3900,16,7.399163,14,196
265,34,1003,13,6.1345654,9,81
266,47,1300,12,6.5118594,11,121
267,65,300,16,6.7786098,12,144
268,46,100,16,7.5103884,26,676
269,33,1001,16,7.2739997,9,81
270,49,4400,12,6.645391,19,361
271,21,3002,12,6.8685346,17,289
272,3,4100,12,6.645391,23,529
273,1,600,10,5.789725,14,196
274,49,3802,12,5.830076,40,1600
275,43,300,14,6.2523484,9,81
276,52,601,13,6.694181,14,196
277,13,3805,13,7.050856,7,49
278,49,4300,16,6.1551847,28,784
279,54,2300,16,6.8277125,21,441
280,32,700,16,6.3904986,21,441
281,98,102,13,6.963845,24,576
282,71,6701,13,6.779922,26,676
283,25,1300,10,6.3099184,37,1369
284,51,800,12,6.694181,31,961
285,22,800,12,6.5118594,34,1156
286,71,6702,16,5.5781565,10,100
287,42,1100,12,4.1408644,9,81
288,1,1000,12,6.8243737,28,784
289,49,4625,12,6.6280413,12,144
290,71,2303,12,7.0278997,14,196
291,33,800,12,6.1387234,14,196
292,13,4013,12,6.694181,27,729
293,14,2101,13,6.8685346,36,1296
294,44,700,12,7.300317,39,1521
295,24,400,14,7.050856,23,529
296,48,1300,16,6.288716,37,1369
297,14,3500,12,6.9454956,46,2116
298,71,2001,12,7.067385,32,1024
299,14,1804,13,6.763174,26,676
300,47,1000,12,6.4209447,13,169
301,13,2100,14,6.3969297,29,841
302,21,2000,13,7.541479,42,1764
303,47,2000,13,6.357709,28,784
304,1,200,14,6.357709,9,81
305,48,1700,12,6.713599,21,441
306,22,2001,13,6.993933,41,1681
307,44,1700,12,6.5592885,9,81
308,23,3600,13,7.445148,41,1681
309,14,3002,13,6.0245643,14,196
310,44,300,12,6.173786,10,100
311,51,500,12,5.474208,9,81
312,22,3200,12,6.302619,41,1681
313,4,600,12,6.785153,27,729
314,14,3302,11,6.7679935,27,729
315,52,1600,9,6.357709,17,289
316,47,600,12,6.1345654,15,225
317,3,4300,12,6.5118594,35,1225
318,40,1500,11,6.694181,15,225
319,25,2202,12,6.8685346,23,529
320,61,114,14,5.962194,33,1089
321,45,1000,12,6.4590616,17,289
322,44,1302,12,6.288716,19,361
323,48,1700,16,6.6564407,17,289
324,62,300,12,7.9110575,35,1225
325,3,400,13,7.050856,16,256
326,49,4619,13,8.737255,36,1296
327,49,2503,16,5.441418,4,16
328,54,2201,12,7.130899,26,676
329,13,4308,12,7.2964134,25,625
330,71,2801,16,5.9914646,38,1444
331,40,303,12,6.8235373,37,1369
332,49,5700,12,6.453019,40,1600
333,62,808,12,8.712254,25,625
334,47,1700,13,7.5103884,27,729
335,23,3400,16,7.5616817,20,400
336,54,600,12,7.1153946,42,1764
337,12,301,13,7.7848253,33,1089
338,13,3903,12,6.932448,28,784
339,71,2103,12,7.0702744,21,441
340,44,1301,16,7.2050066,13,169
341,3,4500,16,6.6700835,4,16
342,51,1800,12,7.050856,28,784
343,42,900,16,8.727953,31,961
344,48,2102,13,6.7979403,25,625
345,54,802,12,7.099646,27,729
346,13,1004,16,6.214608,8,64
347,67,301,14,6.001034,11,121
348,42,300,12,6.047554,12,144
349,14,4101,12,6.6200733,35,1225
350,40,1100,12,6.1345654,42,1764
351,72,1313,16,7.2050066,7,49
352,42,300,12,6.5674295,36,1296
353,24,202,12,6.214608,29,841
354,21,3303,16,7.5616817,20,400
355,24,3500,12,6.648719,14,196
356,53,1100,16,8.121298,18,324
357,49,4801,13,7.338538,33,1089
358,14,3101,12,7.1623974,41,1681
359,46,1000,13,6.5620093,24,576
360,24,3900,13,2.2225423,7,49
361,44,3700,12,7.006846,21,441
362,49,2000,16,6.357709,15,225
363,44,2300,13,7.7848253,34,1156
364,47,1100,13,7.050856,36,1296
365,13,1605,13,6.701141,24,576
366,67,505,12,6.4222474,43,1849
367,67,504,16,6.453019,16,256
368,13,4307,16,6.763174,31,961
369,33,2400,12,6.357709,21,441
370,24,1103,13,6.806659,22,484
371,31,1500,12,6.357709,14,196
372,33,1002,12,7.050856,15,225
373,71,600,12,6.820744,9,81
374,71,700,12,6.363028,32,1024
375,13,4108,12,5.9421935,30,900
376,40,1800,16,5.952244,7,49
377,21,3001,12,7.109992,32,1024
378,5,500,16,6.8685346,31,961
379,71,8004,16,7.176019,22,484
380,21,1900,14,6.291569,5,25
381,40,3100,16,7.246971,6,36
382,66,602,12,6.5260444,41,1681
383,44,300,12,6.798028,35,1225
384,36,300,12,5.961005,20,400
385,40,1000,12,6.1345654,23,529
386,21,1600,12,5.354407,9,81
387,12,902,16,6.963845,16,256
388,13,3808,16,7.9543114,26,676
389,13,802,16,7.541479,11,121
390,34,1004,14,5.952244,19,361
391,25,2102,12,6.8277125,18,324
392,49,2900,16,6.5808525,34,1156
393,24,4301,12,4.873434,17,289
394,24,1300,16,6.8685346,12,144
395,73,1500,12,4.787492,32,1024
396,1,1700,14,6.1092477,6,36
397,62,903,9,6.1345654,34,1156
398,71,1902,13,7.2050066,24,576
399,54,1600,12,6.531849,45,2025
400,62,809,16,6.3889613,11,121
401,21,2000,13,6.1551847,6,36
402,23,4000,12,7.5616817,27,729
403,40,3000,16,7.2331777,41,1681
404,51,1100,12,6.1753874,46,2116
405,13,803,12,5.952244,30,900
406,23,1500,12,6.963845,30,900
407,43,2703,16,7.69271,36,1296
408,73,300,16,6.214608,35,1225
409,12,1101,16,7.399163,30,900
410,41,1400,16,8.790486,27,729
411,71,4100,13,6.944123,28,784
412,62,501,12,6.9995627,23,529
413,45,1904,13,6.645391,21,441
414,53,1700,12,5.952244,18,324
415,71,3800,12,7.1612043,24,576
416,13,2000,10,6.357709,14,196
417,24,4401,16,7.656992,10,100
418,14,2801,12,6.2523484,10,100
419,14,902,13,6.001034,31,961
420,23,700,12,6.806659,23,529
421,49,4618,12,6.694181,12,144
422,41,2300,14,6.528857,9,81
423,14,2600,16,7.9999366,14,196
424,46,400,12,6.8685346,40,1600
425,13,1501,14,7.067385,23,529
426,54,200,12,6.409917,15,225
427,47,1200,13,6.2461066,19,361
428,3,4800,16,7.2050066,22,484
429,49,4618,12,5.452468,27,729
430,53,1301,13,7.9869494,10,100
431,23,4104,12,6.5940976,22,484
432,22,1100,12,6.001034,20,400
433,43,2703,12,6.694181,12,144
434,22,1500,12,5.886104,30,900
435,22,1700,16,7.067385,16,256
436,23,4000,12,6.645391,16,256
437,62,501,16,6.645391,15,225
438,4,200,14,6.5940976,20,400
439,62,802,16,6.357709,10,100
440,22,2400,12,6.7200346,12,144
441,49,2600,13,6.5118594,10,100
442,49,2305,12,7.5616817,32,1024
443,43,3400,16,4.744932,34,1156
444,3,2200,12,6.963845,37,1369
445,48,1300,12,6.5022902,11,121
446,13,803,14,6.244461,30,900
447,47,2701,16,4.8128095,39,1521
448,44,1103,16,6.8685346,9,81
449,34,1001,12,6.740701,24,576
450,54,1000,16,7.399163,24,576
451,71,2701,16,6.763174,5,25
452,71,7605,12,5.562283,26,676
453,51,1703,12,7.0030656,11,121
454,21,3411,12,5.926926,9,81
455,22,1600,16,6.5118594,17,289
456,14,3903,16,7.967147,29,841
457,23,3801,13,6.5620093,34,1156
458,23,2503,14,6.5118594,24,576
459,42,300,13,6.4650674,28,784
460,73,1002,16,7.338538,34,1156
461,3,1500,14,6.632812,30,900
462,71,6109,12,7.246971,40,1600
463,71,6107,16,6.5118594,18,324
464,33,1002,12,6.645391,31,961
465,12,703,12,6.6870127,19,361
466,43,2401,12,5.971262,12,144
467,3,2100,12,6.8277125,11,121
468,23,400,12,6.357709,18,324
469,13,4303,16,6.263398,29,841
470,3,1900,12,6.4222474,27,729
471,61,107,12,5.5859995,32,1024
472,52,803,12,6.694181,26,676
473,22,2200,12,5.9009504,19,361
474,1,100,16,7.090077,26,676
475,61,205,12,6.9268036,34,1156
476,4,500,12,5.4293456,11,121
477,13,3810,16,6.8685346,4,16
478,43,3605,10,5.6268215,48,2304
479,33,1100,10,7.638643,42,1764
480,21,2800,16,6.8685346,6,36
481,21,3503,12,7.399163,23,529
482,54,1100,12,6.8082256,21,441
483,24,1102,12,6.8336473,18,324
484,35,802,16,7.5616817,40,1600
485,49,4604,12,6.763174,15,225
486,47,1700,12,6.214608,11,121
487,12,1101,13,6.437752,22,484
488,54,100,12,6.357709,21,441
489,14,1200,12,6.001034,31,961
490,61,114,13,7.050856,23,529
491,13,4101,13,7.2050066,13,169
492,45,1300,14,7.967147,30,900
493,45,700,12,6.1833553,20,400
494,11,300,13,6.1753874,27,729
495,53,600,14,6.632812,38,1444
496,13,4018,16,6.645391,7,49
497,13,4303,16,7.2605767,14,196
498,61,115,13,5.8468833,42,1764
499,41,905,12,7.050856,25,625
500,47,4500,12,6.645391,20,400
501,71,7602,16,7.5616817,11,121
502,47,2200,14,5.8663015,13,169
503,54,2300,12,7.5208597,42,1764
504,43,2607,12,6.8685346,28,784
505,49,900,13,5.926926,34,1156
506,21,1201,12,5.3879294,28,784
507,67,302,14,6.104184,6,36
508,45,1803,13,6.575505,28,784
509,14,200,14,7.898154,36,1296
510,1,1700,12,8.033767,33,1089
511,13,1300,16,6.553824,18,324
512,51,1500,12,5.646624,25,625
513,33,1404,16,7.5616817,12,144
514,3,4200,9,6.677374,25,625
515,1,300,12,6.453019,32,1024
516,1,1800,12,6.6700835,18,324
517,21,2600,12,6.9454956,34,1156
518,13,3501,12,7.138867,19,361
519,52,1106,9,6.645391,32,1024
520,4,200,16,6.4222474,10,100
521,49,700,12,5.789725,9,81
522,71,8111,16,6.5674295,16,256
523,49,4617,12,7.1461663,23,529
524,54,2100,16,6.763174,29,841
525,71,2703,12,6.645391,34,1156
526,22,2500,13,7.4783,22,484
527,14,1200,10,7.0169544,25,625
528,61,101,13,6.357709,10,100
529,71,2703,16,7.2050066,20,400
530,25,600,12,5.8468833,18,324
531,43,102,14,6.653521,28,784
532,22,1902,13,7.8764925,30,900
533,37,700,12,6.3664703,37,1369
534,1,400,12,7.808542,18,324
535,23,1600,12,6.645391,27,729
536,71,7700,12,7.083646,32,1024
537,40,1400,12,6.763174,32,1024
538,53,1200,13,6.9077554,41,1681
539,21,300,12,5.710172,25,625
540,24,3001,12,6.6700835,27,729
541,44,1201,16,7.5616817,15,225
542,52,501,12,6.4222474,23,529
543,14,3101,14,6.763174,18,324
544,14,3500,11,6.1753874,27,729
545,22,2500,13,6.5400305,38,1444
546,71,2712,16,8.740336,26,676
547,54,2400,16,8.743409,29,841
548,21,3002,16,6.5118594,21,441
549,53,600,16,6.8685346,31,961
550,44,2800,12,5.2590966,16,256
551,14,4201,13,6.514713,10,100
552,49,4100,13,5.43305,36,1296
553,23,1300,13,5.5884004,32,1024
554,45,1200,12,6.3904986,35,1225
555,62,803,16,6.44694,7,49
556,35,600,12,6.453019,22,484
557,23,3900,16,6.5400305,30,900
558,32,900,12,6.888337,31,961
559,71,3800,13,6.471038,26,676
560,52,1102,14,6.645391,32,1024
561,25,800,12,6.2523484,24,576
562,13,1002,13,5.7037826,34,1156
563,24,2202,13,6.9995627,17,289
564,34,2400,12,6.357709,33,1089
565,47,1300,12,6.0655727,34,1156
566,40,1300,16,6.8685346,13,169
567,43,3509,12,6.302901,31,961
568,22,300,14,7.2331777,44,1936
569,13,4101,12,6.7048144,46,2116
570,47,1000,16,6.453019,8,64
571,49,4701,13,7.006846,25,625
572,14,3702,12,6.612351,31,961
573,73,1402,14,6.645391,33,1089
574,49,6200,13,6.5940976,26,676
575,2,900,13,7.1153946,29,841
576,31,1200,12,6.288716,9,81
577,42,900,12,6.8685346,35,1225
578,44,1101,12,7.050856,15,225
579,67,302,13,6.8277125,24,576
580,24,4700,12,6.6700835,26,676
581,35,902,16,6.214608,25,625
582,2,200,16,6.8685346,30,900
583,71,7502,13,5.9472313,19,361
584,73,1600,16,6.888337,20,400
585,44,2000,12,6.5400305,23,529
586,24,3104,12,7.2331777,34,1156
587,3,3301,16,6.888337,12,144
588,13,2900,16,7.4563212,15,225
589,21,3006,13,6.8685346,38,1444
590,44,1202,12,7.536364,21,441
591,72,300,12,6.645391,37,1369
592,71,8109,16,5.9123273,24,576
593,24,612,12,5.63066,43,1849
594,43,3604,13,5.857933,24,576
595,14,2900,12,6.9077554,26,676
596,14,3701,14,6.285138,16,256
597,1,500,13,6.070027,9,81
598,52,700,13,6.8685346,30,900
599,13,1700,12,6.214608,43,1849
600,43,2604,13,5.7291,6,36
601,35,902,14,6.774224,9,81
602,62,822,12,5.8663015,13,169
603,49,200,13,4.5626106,20,400
604,71,2106,14,7.083646,20,400
605,13,402,16,6.9077554,28,784
606,61,103,14,7.1153946,32,1024
607,65,400,12,7.229839,25,625
608,36,400,13,6.694181,8,64
609,66,700,12,6.8685346,38,1444
610,3,4300,12,6.983263,20,400
611,13,803,12,6.587055,39,1521
612,24,3500,12,7.287245,21,441
613,12,1101,12,6.2523484,24,576
614,71,2104,16,5.9166164,37,1369
615,64,500,16,6.4222474,12,144
616,43,2300,12,5.9009504,30,900
617,71,2103,13,7.338538,9,81
618,52,505,12,6.384026,10,100
619,32,1300,12,6.384026,8,64
620,42,200,12,6.3272495,16,256
621,21,2100,12,6.5674295,29,841
622,35,200,12,7.7440033,40,1600
623,56,400,16,6.1753874,20,400
624,14,3801,13,7.4783,43,1849
625,14,802,12,6.7177114,32,1024
626,1,2100,16,7.050856,6,36
627,44,500,12,6.0152187,32,1024
628,43,2207,12,6.453019,12,144
629,24,2100,12,6.4222474,30,900
630,56,500,12,6.1753874,14,196
631,21,1202,12,7.3132205,44,1936
632,22,400,12,6.645391,13,169
633,36,200,12,6.645391,23,529
634,21,101,12,6.8277125,33,1089
635,65,200,13,7.050856,27,729
636,72,1101,12,5.7578497,29,841
637,49,4619,12,6.963845,38,1444
638,42,1100,12,6.0920057,15,225
639,44,200,12,5.7165213,24,576
640,24,400,13,6.963845,18,324
641,2,700,13,6.2336564,31,961
642,47,4500,12,6.288716,18,324
643,25,1700,13,6.7829766,22,484
644,72,600,12,6.7060156,29,841
645,31,1900,12,6.9268036,28,784
646,31,1600,16,6.5400305,20,400
647,3,500,12,7.130899,37,1369
648,23,2602,14,6.6700835,33,1089
649,3,1800,14,6.8685346,26,676
650,53,600,12,5.846439,26,676
651,71,8002,13,6.5118594,23,529
652,25,1700,12,6.5861716,22,484
653,73,1004,12,7.1954374,31,961
654,21,1700,10,6.9077554,34,1156
655,42,900,16,6.774224,25,625
656,13,2300,14,3.912023,10,100
657,21,900,12,6.357709,11,121
658,24,1900,12,6.740701,38,1444
659,40,2700,13,5.9814143,35,1225
660,47,2702,16,7.338538,20,400
661,61,105,14,6.3397713,10,100
662,48,500,13,7.130899,12,144
663,14,4101,12,6.0748463,29,841
664,44,3900,12,5.789725,8,64
665,43,2701,13,5.7037826,28,784
666,53,400,12,6.3323913,12,144
667,53,600,12,7.399163,30,900
668,71,7601,16,5.441418,8,64
669,49,2304,16,6.963845,21,441
670,25,300,14,5.952244,5,25
671,14,300,12,6.263398,43,1849
672,21,3002,12,6.8503704,40,1600
673,2,300,12,6.6503787,13,169
674,24,2000,12,6.7825923,22,484
675,54,3201,12,6.3064156,28,784
676,22,1200,12,7.034049,36,1296
677,51,1500,16,7.338538,31,961
678,51,2500,12,5.8468833,26,676
679,13,1005,12,6.645391,38,1444
680,31,200,13,7.067385,26,676
681,71,6112,10,8.987197,46,2116
682,13,4017,12,7.130899,22,484
683,22,3000,11,7.287245,44,1936
684,47,4100,12,7.7014437,32,1024
685,13,4016,16,7.399163,24,576
686,21,3505,16,7.176019,23,529
687,66,603,16,6.357709,21,441
688,42,1000,12,6.5674295,28,784
689,3,4200,12,6.9454956,17,289
690,61,204,13,7.130899,24,576
691,12,1902,16,7.3132205,17,289
692,51,1200,12,6.7177114,7,49
693,73,1803,16,7.0030656,17,289
694,44,1107,12,6.694181,38,1444
695,49,2101,13,6.9077554,19,361
696,24,1000,12,5.926926,15,225
697,43,2104,14,6.0952616,34,1156
698,71,1102,14,7.5616817,20,400
699,33,1100,16,7.7014437,13,169
700,71,8101,12,6.222271,12,144
701,49,5610,13,5.952244,6,36
702,23,1300,13,5.441418,13,169
703,49,2102,16,7.130899,19,361
704,49,6701,12,6.0245643,26,676
705,51,1300,12,5.115996,23,529
706,14,4302,13,6.8685346,36,1296
707,71,2802,13,8.254828,33,1089
708,13,3202,13,7.399163,24,576
709,43,2001,16,7.5103884,23,529
710,23,1403,14,6.5398126,22,484
711,14,4203,12,6.357709,11,121
712,24,702,16,7.387328,31,961
713,44,3600,16,5.789725,28,784
714,31,600,12,6.2490096,30,900
715,43,2300,12,6.357709,43,1849
716,61,121,12,6.806659,23,529
717,32,400,12,6.522093,10,100
718,22,2400,12,6.482872,21,441
719,68,300,16,6.9995627,11,121
720,23,1500,12,6.6602798,22,484
721,14,3402,16,7.5103884,14,196
722,25,600,12,6.471038,30,900
723,14,2400,14,4.888033,22,484
724,67,200,13,6.1753874,8,64
725,13,200,13,5.7838254,26,676
726,54,3000,12,6.357709,22,484
727,65,506,13,6.694181,10,100
728,71,2106,13,6.5400305,19,361
729,34,1708,13,7.4563212,42,1764
730,13,4301,16,7.2739997,37,1369
731,12,200,13,6.1753874,30,900
732,71,8116,14,5.075174,11,121
733,12,1700,12,6.806659,9,81
734,21,2500,12,6.491657,27,729
735,21,900,12,6.9160542,27,729
736,40,700,11,6.191261,35,1225
737,51,700,12,6.684612,12,144
738,47,1300,12,7.1153946,31,961
739,72,1000,12,7.034049,25,625
740,25,2004,16,6.694181,25,625
741,62,901,12,7.246971,36,1296
742,24,3107,14,6.786717,30,900
743,64,300,16,6.340902,10,100
744,67,501,12,6.8421907,38,1444
745,25,1800,12,6.746487,40,1600
746,4,900,16,7.3632307,32,1024
747,24,901,12,6.645391,20,400
748,25,2101,14,6.5940976,29,841
749,23,2800,12,6.946976,19,361
750,31,1800,12,6.785153,23,529
751,61,203,16,5.075174,42,1764
752,22,1400,12,3.5553482,43,1849
753,47,202,13,5.952244,17,289
754,73,1801,13,6.645391,15,225
755,1,2100,16,6.7177114,20,400
756,31,500,16,6.9077554,35,1225
757,43,3702,12,6.1753874,37,1369
758,49,2700,12,5.8468833,24,576
