,age,work,study,econhs,colgpa,hsgpa,acteng,actmth,act,mathscr,male,calculus,attexc,attgood,fathcoll,mothcoll,score
32,21,0.0,25.0,0,3.7651,3.75,27.0,30.0,28.0,10,1,1,1,0,0,1,86.89
33,20,10.0,30.0,1,2.8245,3.694,21.0,24.0,24.0,9,0,1,0,1,1,1,89.34
34,21,10.0,15.0,0,3.0743,3.257,26.0,23.0,23.0,5,0,0,1,0,0,0,54.1
35,21,12.0,15.0,0,2.5281,3.21,13.0,12.0,15.0,7,0,0,0,1,0,0,62.3
36,21,20.0,30.0,1,2.1126,3.405,12.0,18.0,15.0,7,0,1,0,1,0,0,60.66
37,21,12.0,13.5,0,3.1046,2.861,20.0,18.0,19.0,8,0,1,0,1,1,1,60.66
38,21,4.0,8.0,0,2.1323,3.263,24.0,22.0,24.0,9,0,1,0,1,0,0,62.3
39,21,18.0,15.0,1,2.7635,3.359,24.0,22.0,25.0,7,1,1,0,1,1,0,73.77
40,22,0.0,7.0,0,1.7222,2.92,20.0,22.0,22.0,5,1,0,0,1,0,1,76.23
41,21,35.0,5.0,0,2.0283,3.367,21.0,25.0,23.0,9,1,1,0,0,0,0,82.79
42,21,14.0,17.5,0,2.4303,3.18,15.0,23.0,18.0,9,1,1,0,1,0,0,77.05
43,20,10.0,12.5,1,2.3145,3.49,23.0,28.0,23.0,7,0,1,1,0,1,1,63.11
44,21,0.0,2.0,0,3.7867,4.08,21.0,26.0,25.0,10,0,1,0,1,1,1,86.07
45,21,17.0,12.0,0,3.0922,3.436,21.0,25.0,23.0,10,1,1,0,1,1,0,85.25
46,21,25.0,10.0,1,2.1171,3.275,15.0,20.0,18.0,9,1,1,0,1,0,0,59.84
47,20,15.0,15.0,0,2.5727,3.166,26.0,25.0,27.0,9,0,1,0,1,1,1,67.21
48,22,25.0,20.0,0,2.5,3.21,22.0,23.0,19.0,9,1,0,0,1,0,0,28.69
49,20,20.0,5.0,1,2.5833,3.263,25.0,25.0,26.0,7,0,0,1,0,1,0,77.05
50,21,10.0,20.0,1,2.8461,3.75,24.0,27.0,28.0,10,1,1,0,1,0,0,85.25
51,21,14.0,25.0,0,3.3709,3.162,19.0,20.0,21.0,3,1,1,0,1,1,1,76.23
52,21,16.0,2.0,0,3.4943,3.984,29.0,36.0,31.0,10,1,1,1,0,1,1,97.54
53,20,13.0,10.0,1,2.9444,3.38,25.0,18.0,23.0,9,0,1,1,0,0,1,70.49
54,20,13.5,7.5,0,2.5326,3.19,24.0,29.0,25.0,9,1,1,0,1,1,1,60.66
55,21,0.0,9.0,0,2.3125,2.658,16.0,20.0,19.0,7,1,1,0,1,0,0,41.8
56,19,0.0,15.0,0,2.3928,3.129,17.0,25.0,21.0,8,1,1,0,1,0,0,68.85
57,21,13.5,50.0,1,2.1811,3.583,12.0,15.0,13.0,4,1,1,1,0,1,1,41.8
58,20,20.0,17.5,0,2.2666,3.077,29.0,25.0,28.0,8,0,0,0,1,1,1,62.3
59,20,0.0,12.5,0,3.2857,3.456,21.0,18.0,20.0,8,1,1,1,0,0,1,85.25
60,20,5.0,6.0,0,2.677,3.388,19.0,19.0,18.0,5,0,0,1,0,1,0,49.18
61,20,12.5,12.0,0,2.7234,2.74,25.0,20.0,22.0,7,0,1,0,1,0,0,71.31
62,20,6.0,10.0,0,3.4019,3.289,19.0,19.0,20.0,6,1,0,1,0,0,0,90.16
63,20,19.5,20.0,0,2.6491,3.571,20.0,28.0,24.0,9,0,1,0,1,0,1,73.77
64,21,15.0,20.0,1,2.25,3.18,16.0,17.0,17.0,1,0,1,0,1,1,1,53.28
65,20,5.0,10.0,0,2.0,2.776,21.0,22.0,24.0,7,1,1,0,1,0,1,63.93
66,20,15.0,20.0,0,2.051,3.937,27.0,29.0,28.0,10,0,1,0,1,1,1,92.62
67,19,18.0,7.5,1,2.6176,3.07,16.0,23.0,18.0,10,1,1,1,0,0,0,78.69
68,19,17.0,16.0,0,3.1458,3.514,23.0,24.0,22.0,8,0,1,1,0,0,0,62.3
69,19,0.0,22.0,0,3.4285,3.533,23.0,24.0,25.0,10,1,1,0,1,1,1,94.26
70,19,10.0,8.0,1,2.862,3.5,23.0,24.0,25.0,10,1,1,0,1,0,0,71.31
71,19,8.0,6.0,1,3.0535,3.743,25.0,29.0,25.0,9,1,1,0,1,1,1,88.52
72,20,0.0,8.0,0,2.7636,2.989,17.0,21.0,20.0,4,1,1,0,1,1,0,88.52
73,20,0.0,2.0,0,1.9732,3.69,18.0,25.0,20.0,5,1,1,0,1,0,0,65.57
74,20,12.0,7.0,0,2.4622,3.0,22.0,20.0,20.0,3,1,0,0,1,1,1,54.92
75,20,15.0,5.0,0,2.0106,3.207,26.0,21.0,25.0,7,1,1,0,1,1,0,59.02
76,20,8.0,10.0,1,2.7169,3.22,21.0,22.0,21.0,9,1,1,0,1,0,1,73.77
77,21,0.0,7.5,0,2.8939,3.648,25.0,29.0,27.0,10,0,1,0,1,1,1,66.39
78,19,25.0,10.0,1,2.5208,3.53,27.0,25.0,27.0,9,0,0,1,0,1,1,68.85
79,20,0.0,10.0,0,2.4038,3.49,22.0,29.0,25.0,10,1,1,0,1,1,1,81.15
80,19,14.0,30.0,0,2.3666,2.886,23.0,20.0,20.0,8,0,1,1,0,0,1,79.51
81,20,8.0,11.0,1,2.2454,3.058,20.0,23.0,20.0,8,0,1,0,1,1,1,63.93
82,20,22.5,14.0,0,2.7796,3.206,25.0,27.0,25.0,9,0,1,0,0,0,0,58.2
83,20,25.0,12.5,1,3.009,3.514,26.0,17.0,24.0,5,0,1,1,0,1,0,66.39
84,20,7.0,15.0,0,2.525,2.834,24.0,23.0,22.0,10,1,1,0,1,1,1,63.93
85,19,10.0,35.0,1,3.4347,3.65,24.0,20.0,22.0,9,0,0,0,1,1,1,80.33
86,21,8.0,10.0,1,2.5964,3.178,14.0,19.0,17.0,8,1,1,1,0,1,1,58.2
87,20,23.5,12.5,0,2.2325,2.87,25.0,17.0,25.0,5,0,0,0,0,0,1,54.1
88,20,0.0,15.0,0,2.2,2.738,19.0,19.0,21.0,8,0,0,0,1,1,1,86.07
89,20,0.0,12.5,0,2.2916,3.222,19.0,21.0,21.0,3,1,0,1,0,0,1,60.66
90,20,0.0,15.0,0,3.0517,3.256,24.0,19.0,23.0,8,0,1,1,0,1,1,72.95
91,20,0.0,1.0,0,2.6785,3.555,29.0,31.0,30.0,8,1,1,0,0,0,0,78.69
92,20,11.0,6.0,1,3.0689,3.86,22.0,26.0,25.0,10,1,1,1,0,1,1,84.43
93,18,0.0,20.0,0,4.0,4.012,32.0,30.0,31.0,9,0,1,1,0,1,1,86.89
94,19,10.0,6.0,1,3.3076,3.67,23.0,20.0,20.0,6,0,1,1,0,1,1,74.59
95,20,20.0,25.0,0,3.2395,2.908,22.0,24.0,20.0,8,0,1,1,0,0,0,68.85
96,19,0.0,8.0,1,2.3148,2.944,26.0,26.0,26.0,9,1,1,0,1,0,0,68.85
97,20,18.0,12.5,1,2.9215,3.277,22.0,22.0,25.0,8,1,1,1,0,0,0,84.43
98,20,25.0,14.0,0,2.3367,3.111,20.0,20.0,20.0,7,1,0,1,0,0,0,44.26
99,20,27.5,6.0,1,2.241,3.028,23.0,23.0,23.0,9,1,1,0,0,1,1,63.11
100,19,0.0,12.0,1,2.7118,3.0,16.0,18.0,19.0,9,0,0,0,1,0,1,70.49
101,21,0.0,15.0,1,2.25,2.861,19.0,20.0,19.0,5,1,1,0,1,0,1,82.79
102,20,30.0,10.0,0,2.5118,3.469,25.0,19.0,24.0,7,0,1,0,0,0,1,65.57
103,20,0.0,15.0,0,2.4534,3.305,26.0,25.0,25.0,9,1,0,0,0,1,1,63.11
104,19,17.5,27.5,0,3.1071,3.571,23.0,25.0,24.0,5,0,1,0,1,1,1,75.41
105,19,0.0,15.0,0,3.3437,3.444,25.0,24.0,24.0,7,0,0,1,0,0,1,74.59
106,21,20.0,16.0,1,2.65,3.139,20.0,23.0,20.0,9,1,1,1,0,0,0,67.21
107,20,15.0,12.0,0,2.5423,3.341,29.0,22.0,25.0,8,0,0,0,1,0,0,65.57
108,20,37.5,14.0,1,2.7549,3.85,28.0,26.0,26.0,7,0,1,1,0,1,1,48.36
109,20,0.0,25.0,0,2.2586,3.33,16.0,21.0,18.0,8,1,1,1,0,0,1,55.74
110,20,15.0,40.0,1,2.3725,3.019,25.0,18.0,23.0,7,1,1,0,1,0,1,54.1
111,19,0.0,6.0,0,2.173,3.2,24.0,24.0,25.0,9,1,1,0,1,1,1,79.51
112,19,0.0,20.0,0,2.8571,3.155,19.0,17.0,18.0,5,0,0,0,1,1,1,65.57
113,20,13.0,10.0,0,2.2058,2.768,23.0,20.0,23.0,5,1,1,0,1,0,0,77.05
114,19,20.0,8.0,0,2.4537,3.23,24.0,27.0,25.0,8,0,1,0,1,1,0,61.48
115,20,15.0,7.0,0,2.5729,3.787,29.0,30.0,30.0,10,1,1,0,0,1,0,74.59
116,20,15.0,10.0,0,2.9827,3.35,24.0,26.0,24.0,8,1,1,0,1,0,1,88.52
117,20,3.0,12.0,1,2.836,2.967,23.0,23.0,23.0,9,0,0,0,1,1,1,68.85
118,20,20.0,8.0,1,2.7539,3.076,,,,5,1,1,0,1,1,1,71.31
119,21,10.0,15.0,0,2.7193,2.94,19.0,21.0,21.0,7,1,1,1,0,1,1,62.3
120,20,15.0,10.0,1,2.7916,3.24,26.0,27.0,27.0,8,1,1,0,1,0,1,79.51
121,21,0.0,2.5,0,2.1304,3.211,26.0,27.0,28.0,9,1,1,0,1,0,0,69.67
122,20,10.0,7.0,0,2.88,3.474,22.0,24.0,22.0,10,1,1,1,0,1,1,67.21
123,20,15.0,20.0,0,1.9326,3.499,27.0,30.0,29.0,10,1,1,0,0,0,1,64.75
124,20,0.0,10.0,0,3.758,3.361,20.0,22.0,23.0,7,0,0,1,0,1,1,82.79
125,21,15.0,40.0,0,2.6057,2.65,23.0,29.0,25.0,7,1,1,0,1,1,1,74.59
126,20,0.0,10.0,0,3.0192,3.083,20.0,25.0,24.0,8,1,1,1,0,1,1,85.25
127,20,0.0,6.5,0,2.2282,2.861,16.0,18.0,18.0,6,1,0,0,0,1,0,64.75
128,20,0.0,20.0,0,2.4722,3.305,20.0,19.0,22.0,6,0,0,1,0,0,1,64.75
129,20,0.0,7.5,0,1.8039,3.245,13.0,18.0,17.0,8,0,0,0,1,0,0,65.57
130,20,0.0,12.5,0,2.8,3.382,24.0,29.0,28.0,5,1,1,1,0,1,1,73.77
131,20,0.0,10.0,1,2.4326,3.25,21.0,23.0,24.0,10,1,1,0,1,1,1,86.89
132,20,12.5,20.0,1,1.9803,3.158,31.0,33.0,30.0,9,1,1,0,0,0,0,78.69
133,19,10.0,10.0,0,3.1964,3.87,15.0,19.0,17.0,6,0,0,1,0,0,1,59.84
134,19,15.0,10.0,0,3.1666,3.0,26.0,26.0,25.0,8,0,1,1,0,1,1,86.07
135,20,10.0,7.0,0,1.9594,3.523,16.0,17.0,17.0,4,1,0,0,1,0,0,79.51
136,21,0.0,15.0,0,2.9426,3.436,22.0,24.0,24.0,7,1,1,0,1,1,0,70.49
137,20,10.0,20.0,1,3.5089,3.639,19.0,28.0,24.0,8,1,1,1,0,1,1,94.26
138,19,0.0,10.0,0,3.5645,3.633,25.0,20.0,24.0,6,0,0,1,0,1,1,77.87
139,19,0.0,10.0,0,3.5178,3.944,29.0,24.0,28.0,10,0,1,0,1,1,1,77.05
140,19,0.0,25.0,0,2.6551,3.229,24.0,20.0,21.0,1,0,1,0,1,0,0,77.05
141,18,0.0,12.5,0,3.6428,3.78,28.0,23.0,28.0,9,0,1,0,1,1,1,89.34
142,19,19.0,20.0,1,2.931,3.5,22.0,24.0,24.0,9,0,0,1,0,1,1,45.08
143,19,8.0,20.0,0,2.5517,3.0,23.0,25.0,26.0,9,1,1,0,1,0,1,81.15
144,19,0.0,6.0,1,2.3103,3.21,21.0,22.0,21.0,9,1,1,1,0,0,1,79.51
145,20,7.5,12.5,1,2.3673,2.943,17.0,14.0,17.0,4,0,0,0,0,0,0,49.18
146,20,13.0,5.0,1,3.2954,4.021,24.0,24.0,24.0,8,0,1,1,0,0,0,79.51
147,20,8.0,10.0,0,2.0118,3.315,20.0,24.0,22.0,10,1,1,0,1,1,0,71.31
148,20,0.0,20.0,0,3.5131,3.62,22.0,18.0,21.0,5,0,0,0,1,0,1,72.13
149,20,20.0,3.0,1,2.3979,3.476,21.0,23.0,24.0,9,1,1,0,1,0,0,59.84
150,20,0.0,25.0,0,2.4519,2.928,20.0,20.0,18.0,7,1,1,0,1,0,0,54.92
151,19,0.0,15.0,1,3.8653,3.786,24.0,24.0,24.0,7,0,1,1,0,0,0,79.51
152,19,20.0,6.0,0,3.6666,3.707,23.0,27.0,26.0,7,1,1,1,0,1,1,92.62
153,20,37.5,35.0,0,2.3272,2.963,17.0,18.0,17.0,6,0,1,0,1,0,1,42.62
154,20,0.0,23.0,0,2.6406,2.88,19.0,18.0,19.0,8,0,0,1,0,0,0,41.8
155,20,0.0,10.0,1,2.4824,2.631,19.0,17.0,18.0,8,0,1,0,1,0,0,61.48
156,20,10.0,20.0,1,3.29,3.078,,,,9,1,1,0,1,1,1,85.25
157,20,0.0,20.0,1,2.9482,3.839,25.0,27.0,26.0,9,1,0,0,1,1,1,81.97
158,19,20.0,5.0,1,2.9375,3.165,23.0,28.0,23.0,6,1,1,1,0,0,0,66.39
159,18,10.0,7.5,1,1.6296,3.13,18.0,19.0,17.0,8,0,0,0,1,0,0,36.89
160,19,0.0,15.0,1,2.75,3.972,28.0,29.0,26.0,9,1,1,0,1,0,1,88.52
161,20,17.0,10.0,1,2.6964,2.98,,,,9,1,1,0,1,1,1,86.07
162,19,15.0,4.0,1,2.0609,2.866,12.0,17.0,17.0,7,1,1,0,1,0,0,37.7
163,21,22.5,4.0,1,2.5731,2.678,20.0,23.0,21.0,10,1,1,0,1,1,1,69.67
164,19,0.0,20.0,0,3.0,3.085,,,,9,0,0,0,1,1,1,61.48
165,19,0.0,12.0,0,1.6458,3.135,24.0,25.0,24.0,9,0,1,0,1,1,1,68.03
166,19,15.0,10.0,0,2.5625,3.18,19.0,22.0,19.0,6,0,0,0,1,0,0,66.39
167,19,8.0,10.0,0,2.9107,3.376,23.0,22.0,23.0,8,0,1,1,0,0,1,61.48
168,19,30.0,6.0,0,1.8953,2.945,30.0,24.0,29.0,9,0,0,0,1,1,1,74.59
169,20,27.5,17.5,0,2.4038,3.451,24.0,31.0,28.0,9,1,1,0,1,0,0,59.02
170,19,30.0,12.5,1,2.7857,3.68,18.0,23.0,21.0,5,0,0,0,1,0,1,77.05
171,19,6.0,7.0,0,2.75,2.4,29.0,20.0,25.0,5,0,1,0,1,1,1,66.39
172,20,30.0,15.0,0,2.5254,3.527,20.0,25.0,22.0,8,0,1,0,0,0,0,80.33
173,19,10.0,16.0,1,2.413,2.9,20.0,19.0,19.0,8,0,0,0,1,1,0,71.31
174,19,0.0,16.0,1,2.075,3.038,13.0,19.0,16.0,8,1,1,1,0,1,1,68.85
175,19,20.0,17.5,0,1.7708,3.086,18.0,19.0,17.0,6,0,0,1,0,0,0,22.13
176,20,10.0,10.0,0,2.1153,3.649,25.0,29.0,26.0,9,1,1,0,1,1,1,68.03
177,19,0.0,8.0,1,3.1071,3.272,19.0,24.0,23.0,10,1,1,1,0,1,1,86.89
178,19,0.0,10.0,1,2.8275,3.783,26.0,23.0,26.0,9,1,1,1,0,0,0,78.69
179,19,8.0,10.0,1,3.1774,3.443,22.0,22.0,21.0,8,0,1,0,1,0,1,80.33
180,18,0.0,12.0,0,2.74,3.137,21.0,25.0,25.0,6,1,1,0,1,1,1,68.03
181,19,0.0,10.0,0,3.5,3.84,26.0,23.0,26.0,8,0,1,0,1,0,1,79.51
182,20,14.0,15.0,0,2.862,3.31,27.0,23.0,26.0,10,1,1,0,1,1,1,72.95
183,19,0.0,20.0,1,3.2903,3.131,18.0,22.0,20.0,8,1,1,1,0,0,0,93.44
184,20,0.0,8.0,0,2.75,2.355,18.0,16.0,19.0,8,1,1,0,0,1,0,72.13
185,19,0.0,25.0,1,1.9523,3.4,15.0,23.0,17.0,7,0,0,1,0,1,0,46.72
186,18,8.0,8.0,0,2.8571,3.209,26.0,23.0,25.0,10,1,1,0,1,1,1,81.15
187,19,0.0,20.0,0,3.537,3.794,27.0,24.0,22.0,9,0,0,0,1,1,1,71.31
188,19,15.0,20.0,1,2.8214,3.357,20.0,18.0,19.0,7,0,0,0,1,0,0,44.26
189,19,12.5,4.0,1,3.3275,3.68,18.0,24.0,21.0,10,1,1,0,1,0,0,84.43
190,19,0.0,20.0,1,2.9642,3.518,20.0,23.0,20.0,10,1,1,0,1,1,1,75.41
191,19,25.0,3.5,1,3.3035,3.306,24.0,25.0,25.0,9,1,0,0,1,1,0,71.31
192,18,10.0,16.0,0,2.1785,2.943,19.0,19.0,21.0,6,0,1,1,0,1,1,53.28
193,18,0.0,10.0,1,3.125,3.211,21.0,23.0,21.0,8,0,1,0,1,1,1,68.03
194,19,0.0,30.0,0,2.75,3.616,17.0,19.0,17.0,7,1,1,1,0,1,1,68.85
195,19,0.0,5.0,0,3.3064,3.925,25.0,22.0,23.0,8,0,1,1,0,1,0,88.52
196,20,0.0,17.5,0,2.9642,3.479,23.0,25.0,25.0,8,1,1,0,1,0,1,72.95
197,19,0.0,16.5,0,2.6935,3.583,21.0,23.0,19.0,9,0,1,1,0,1,1,77.05
198,19,15.0,17.5,0,1.8269,3.088,18.0,18.0,17.0,7,1,0,0,1,0,0,52.46
199,19,0.0,15.0,0,3.897,3.97,26.0,21.0,23.0,5,0,1,0,1,1,1,90.16
200,19,11.0,15.0,0,3.1296,3.62,19.0,20.0,19.0,4,0,0,0,1,0,1,77.05
201,19,12.5,15.0,0,2.1964,3.51,25.0,20.0,25.0,4,0,0,0,1,1,1,70.49
202,19,11.0,10.0,1,3.5312,3.263,23.0,25.0,26.0,1,0,0,0,1,1,1,68.85
203,19,0.0,6.0,0,2.6785,2.857,21.0,27.0,23.0,8,0,1,0,1,0,0,71.31
204,19,12.0,5.0,1,1.1041,3.556,19.0,22.0,23.0,9,1,1,0,0,1,1,58.2
205,19,12.0,12.5,1,2.9166,3.72,24.0,22.0,25.0,7,0,0,0,1,1,1,73.77
206,19,10.0,15.0,0,3.125,3.666,26.0,23.0,23.0,7,1,1,0,1,0,1,86.89
207,19,15.0,6.0,1,2.2,2.864,21.0,25.0,23.0,8,1,1,0,1,1,1,82.79
208,19,0.0,3.0,0,3.625,3.191,24.0,20.0,22.0,7,1,1,0,1,1,1,80.33
209,20,0.0,10.0,0,3.3833,3.355,18.0,22.0,20.0,8,0,1,0,1,1,1,80.33
210,19,30.0,10.0,0,2.25,2.936,21.0,24.0,20.0,9,1,1,0,1,1,1,63.11
211,19,20.0,12.0,1,2.8571,3.298,23.0,20.0,21.0,6,1,1,1,0,1,1,79.51
212,19,7.5,7.0,0,2.9375,3.029,22.0,20.0,20.0,10,0,0,0,1,1,1,39.34
213,20,15.0,40.0,0,3.1296,3.597,15.0,25.0,20.0,10,1,1,1,0,0,1,85.25
214,19,0.0,13.5,0,3.4827,3.269,26.0,20.0,23.0,5,1,1,0,1,1,1,60.66
215,20,15.0,20.0,0,3.375,3.694,24.0,24.0,23.0,9,1,1,1,0,1,0,72.95
216,19,0.0,20.0,0,2.96,3.108,25.0,24.0,24.0,10,1,1,0,1,1,1,85.25
217,19,5.0,10.0,1,3.3703,3.222,23.0,24.0,23.0,8,0,1,0,1,0,1,79.51
218,19,0.0,8.5,1,3.1551,3.213,22.0,25.0,23.0,9,1,1,0,1,0,0,76.23
219,19,10.0,20.0,1,3.1964,3.587,26.0,27.0,27.0,8,0,0,0,1,0,1,81.15
220,19,20.0,30.0,0,2.2241,3.42,26.0,20.0,26.0,7,1,0,1,0,0,1,68.85
221,19,0.0,2.0,0,2.3214,2.911,27.0,28.0,29.0,6,1,1,0,1,1,1,63.11
222,19,0.0,17.5,0,2.6785,3.017,21.0,23.0,22.0,7,0,1,0,1,1,0,75.41
223,19,0.0,17.5,0,2.7656,3.015,24.0,24.0,23.0,9,1,1,0,1,1,1,59.84
224,19,11.0,15.0,0,2.8666,4.0,27.0,29.0,27.0,10,0,1,0,1,0,1,91.8
225,20,16.0,15.0,0,2.7083,2.738,23.0,19.0,22.0,6,1,1,0,1,1,1,59.84
226,19,11.5,10.0,0,3.5208,3.472,19.0,27.0,22.0,9,1,1,0,1,0,1,82.79
227,18,5.0,5.0,1,2.3043,3.0,22.0,21.0,23.0,6,1,0,1,0,0,1,74.59
228,19,20.0,9.0,1,2.7173,3.574,26.0,26.0,24.0,10,1,1,1,0,0,0,60.66
229,19,20.0,25.0,1,3.375,3.486,19.0,24.0,20.0,6,1,1,1,0,1,1,75.41
230,19,18.0,9.0,0,2.7666,2.889,20.0,19.0,22.0,8,1,1,0,0,1,0,65.57
231,19,0.0,5.0,0,2.64,3.528,19.0,25.0,21.0,10,1,1,0,1,1,1,63.11
232,19,5.0,3.0,0,3.25,2.806,21.0,20.0,21.0,4,0,1,1,0,0,1,81.15
233,20,10.0,30.0,0,2.3035,3.216,20.0,19.0,18.0,6,0,0,1,0,1,0,70.49
234,18,0.0,12.5,1,2.7307,3.438,23.0,26.0,25.0,10,1,1,0,1,1,0,88.52
235,19,0.0,10.0,0,2.6128,3.446,22.0,21.0,22.0,8,0,1,0,1,1,1,73.77
236,19,0.0,20.0,1,2.9354,3.275,25.0,28.0,25.0,7,0,1,1,0,1,0,77.87
237,19,12.0,17.5,0,2.2285,3.75,24.0,23.0,24.0,9,0,1,0,1,1,1,61.48
238,19,0.0,10.0,0,3.1666,3.463,23.0,28.0,24.0,8,1,1,1,0,1,1,77.87
239,19,0.0,15.0,1,2.2727,3.028,17.0,17.0,18.0,5,0,0,1,0,1,1,78.69
240,19,22.5,15.0,0,2.4807,3.04,21.0,23.0,20.0,4,0,1,1,0,1,1,72.95
241,19,20.0,20.0,0,2.8833,3.43,15.0,25.0,22.0,9,1,1,1,0,0,1,77.05
242,19,13.0,20.0,0,2.2799,2.883,18.0,17.0,19.0,7,1,1,1,0,0,0,47.54
243,19,0.0,20.0,1,2.4827,3.129,22.0,17.0,23.0,10,1,1,0,1,0,1,60.66
244,19,0.0,9.0,0,3.6,3.529,24.0,28.0,24.0,9,1,0,1,0,0,0,89.34
245,19,10.0,15.0,0,3.4821,3.589,27.0,24.0,25.0,6,0,0,0,1,0,1,65.57
246,19,15.0,10.0,1,3.2758,4.198,21.0,27.0,24.0,9,0,1,0,1,0,1,86.07
247,19,0.0,20.0,1,3.6607,3.675,19.0,22.0,19.0,9,1,0,1,0,0,0,82.79
248,19,0.0,9.0,1,3.4827,3.319,23.0,22.0,24.0,8,1,0,0,1,1,1,77.87
249,19,0.0,15.0,1,2.32,2.838,25.0,21.0,24.0,8,0,1,0,1,1,0,59.84
250,19,0.0,27.5,1,3.3392,3.92,21.0,20.0,21.0,7,1,1,1,0,1,1,81.97
251,19,15.0,15.0,1,2.6896,3.5,21.0,21.0,22.0,6,0,0,1,0,1,1,60.66
252,19,20.0,20.0,0,1.8695,3.233,17.0,19.0,17.0,7,0,0,0,0,0,1,34.43
253,19,4.5,25.0,1,3.7857,3.281,19.0,21.0,21.0,6,1,0,1,0,0,0,86.89
254,19,0.0,6.0,0,2.8333,3.126,20.0,20.0,20.0,8,1,1,1,0,1,1,80.33
255,19,0.0,40.0,1,3.7069,3.993,25.0,25.0,26.0,9,0,1,1,0,0,1,89.34
256,18,0.0,10.0,0,2.6128,3.486,22.0,22.0,23.0,8,0,1,1,0,1,1,69.67
257,19,10.0,10.0,0,3.8653,3.537,21.0,24.0,22.0,6,0,0,1,0,0,0,89.34
258,19,10.0,2.0,0,2.02,2.861,15.0,20.0,20.0,8,1,0,0,1,0,1,61.48
259,19,0.0,10.0,0,2.6128,3.49,29.0,20.0,26.0,8,0,1,0,1,0,0,78.69
260,19,0.0,12.0,0,2.7777,3.171,19.0,22.0,20.0,10,1,0,0,1,0,0,73.77
261,19,18.0,20.0,0,2.1666,2.778,18.0,19.0,18.0,8,0,1,0,1,0,0,34.43
262,19,5.0,6.0,1,2.8392,2.944,22.0,20.0,21.0,8,1,1,1,0,0,0,68.03
