,district,year,crime,clrprc1,clrprc2,d78,avgclr,lcrime,clcrime,cavgclr,cclrprc1,cclrprc2
50,26,72,13.72,52,46,0,49.0,2.6188545,,,,
51,26,78,21.48,45,44,1,44.5,3.0671222,0.4482677,-4.5,-7.0,-2.0
52,27,72,30.07,36,34,0,35.0,3.403528,,,,
53,27,78,44.51,39,30,1,34.5,3.795714,0.39218593,-0.5,3.0,-4.0
54,28,72,3.69,48,54,0,51.0,1.3056265,,,,
55,28,78,8.08,37,28,1,32.5,2.089392,0.78376544,-18.5,-11.0,-26.0
56,29,72,10.77,62,60,0,61.0,2.3767645,,,,
57,29,78,15.19,44,48,1,46.0,2.7206373,0.3438728,-15.0,-18.0,-12.0
58,30,72,20.9,46,40,0,43.0,3.0397491,,,,
59,30,78,22.06,36,39,1,37.5,3.093766,0.05401683,-5.5,-10.0,-1.0
60,31,72,11.42,55,51,0,53.0,2.4353662,,,,
61,31,78,25.37,27,26,1,26.5,3.2335675,0.7982013,-26.5,-28.0,-25.0
62,32,72,15.39,51,69,0,60.0,2.733718,,,,
63,32,78,7.86,35,53,1,44.0,2.0617867,-0.67193127,-16.0,-16.0,-16.0
64,33,72,7.52,31,44,0,37.5,2.0175662,,,,
65,33,78,10.11,46,48,1,47.0,2.313525,0.29595876,9.5,15.0,4.0
66,34,72,31.46,28,34,0,31.0,3.4487169,,,,
67,34,78,34.79,21,24,1,22.5,3.54933,0.10061312,-8.5,-7.0,-10.0
68,35,72,1.65,67,62,0,64.5,0.5007753,,,,
69,35,78,6.41,25,27,1,26.0,1.8578593,1.357084,-38.5,-42.0,-35.0
70,36,72,2.99,58,53,0,55.5,1.0952734,,,,
71,36,78,10.02,53,32,1,42.5,2.304583,1.2093097,-13.0,-5.0,-21.0
72,37,72,8.52,49,54,0,51.5,2.1424165,,,,
73,37,78,6.24,50,53,1,51.5,1.8309802,-0.3114363,0.0,1.0,-1.0
74,38,72,8.61,57,48,0,52.5,2.1529243,,,,
75,38,78,8.93,46,43,1,44.5,2.1894164,0.03649211,-8.0,-11.0,-5.0
76,39,72,10.9,63,55,0,59.0,2.3887627,,,,
77,39,78,6.23,62,54,1,58.0,1.8293763,-0.5593864,-1.0,-1.0,-1.0
78,40,72,7.22,52,47,0,49.5,1.9768549,,,,
79,40,78,10.22,48,44,1,46.0,2.3243465,0.34749162,-3.5,-4.0,-3.0
80,41,72,31.9,39,36,0,37.5,3.462606,,,,
81,41,78,29.62,19,22,1,20.5,3.38845,-0.074156046,-17.0,-20.0,-14.0
82,42,72,8.49,52,63,0,57.5,2.138889,,,,
83,42,78,11.12,61,59,1,60.0,2.4087453,0.2698562,2.5,9.0,-4.0
84,43,72,6.57,68,57,0,62.5,1.8825139,,,,
85,43,78,6.49,51,49,1,50.0,1.8702625,-0.012251377,-12.5,-17.0,-8.0
86,44,72,11.38,48,56,0,52.0,2.4318573,,,,
87,44,78,11.5,36,50,1,43.0,2.442347,0.010489702,-9.0,-12.0,-6.0
88,45,72,17.48,54,58,0,56.0,2.8610573,,,,
89,45,78,15.91,47,35,1,41.0,2.7669477,-0.094109535,-15.0,-7.0,-23.0
90,46,72,13.71,52,49,0,50.5,2.6181254,,,,
91,46,78,13.29,35,35,1,35.0,2.5870118,-0.031113625,-15.5,-17.0,-14.0
92,47,72,8.11,51,54,0,52.5,2.093098,,,,
93,47,78,10.02,48,50,1,49.0,2.304583,0.21148515,-3.5,-3.0,-4.0
94,48,72,10.37,44,46,0,45.0,2.338917,,,,
95,48,78,14.31,53,45,1,49.0,2.6609585,0.3220415,4.0,9.0,-1.0
96,49,72,17.66,43,46,0,44.5,2.8713021,,,,
97,49,78,24.42,37,33,1,35.0,3.1954024,0.32410026,-9.5,-6.0,-13.0
98,50,72,6.3,78,62,0,70.0,1.8405497,,,,
99,50,78,11.13,42,35,1,38.5,2.4096441,0.5690944,-31.5,-36.0,-27.0
100,51,72,15.62,53,43,0,48.0,2.748552,,,,
101,51,78,10.54,47,41,1,44.0,2.3551776,-0.39337444,-4.0,-6.0,-2.0
102,52,72,6.77,53,56,0,54.5,1.9125011,,,,
103,52,78,6.25,40,69,1,54.5,1.8325815,-0.07991958,0.0,-13.0,13.0
104,53,72,14.29,43,59,0,51.0,2.65956,,,,
105,53,78,23.5,43,37,1,40.0,3.1570003,0.49744034,-11.0,0.0,-22.0
