,year,state,sl55,sl65,sl70,sl75,slnone,seatbelt,minage,zerotol,gdl,bac10,bac08,perse,totfat,nghtfat,wkndfat,totfatpvm,nghtfatpvm,wkndfatpvm,statepop,totfatrte,nghtfatrte,wkndfatrte,vehicmiles,unem,perc14_24,sl70plus,sbprim,sbsecon,d80,d81,d82,d83,d84,d85,d86,d87,d88,d89,d90,d91,d92,d93,d94,d95,d96,d97,d98,d99,d00,d01,d02,d03,d04,vehicmilespc
12,1992,1,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,0.0,1031,408,218,2.25,0.89,0.476,4154014,24.820002,9.82,5.25,45.82222,7.4,15.299999,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11030.829
13,1993,1,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,0.0,1044,441,235,2.21,0.934,0.497,4214202,24.77,10.46,5.5800004,47.23982,7.6,15.2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11209.671
14,1994,1,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,0.0,1083,451,267,2.21,0.92,0.545,4260229,25.42,10.59,6.2699995,49.00452,6.0,15.099999,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11502.791
15,1995,1,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,0.583,0.417,0.0,1114,463,260,2.2,0.914,0.513,4296800,25.93,10.78,6.05,50.63636,6.3,14.900001,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11784.668
16,1996,1,0.0,0.333,0.667,0.0,0.0,2,21.0,0.667,0.0,0.0,1.0,0.417,1146,512,268,2.23,0.996,0.522,4331102,26.46,11.820001,6.19,51.39013,5.1,14.7,0.667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11865.371
17,1997,1,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,1192,518,255,2.23,0.969,0.477,4367935,27.29,11.86,5.84,53.45291,5.1,14.5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12237.57
18,1998,1,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,1071,433,233,1.94,0.784,0.422,4404701,24.31,9.83,5.29,55.206192,4.2,14.4,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12533.471
19,1999,1,0.0,0.0,1.0,0.0,0.0,1,21.0,1.0,0.0,0.0,1.0,1.0,1138,486,257,2.03,0.867,0.458,4430141,25.69,10.97,5.7999997,56.05911,4.8,14.300001,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12654.023
20,2000,1,0.0,0.0,1.0,0.0,0.0,1,21.0,1.0,0.0,0.0,1.0,1.0,996,418,220,1.76,0.739,0.389,4447100,22.4,9.4,4.95,56.59091,4.5,14.1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12725.352
21,2001,1,0.0,0.0,1.0,0.0,0.0,1,21.0,1.0,0.0,0.0,1.0,1.0,991,398,198,1.75,0.703,0.35,4468912,22.18,8.91,4.43,56.62857,5.3,14.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12671.669
22,2002,1,0.0,0.0,1.0,0.0,0.0,1,21.0,1.0,0.75,0.0,1.0,1.0,1038,468,230,1.809,0.815,0.401,4478896,23.06,10.4,5.1099997,57.38889,5.9,13.9,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12813.178
23,2003,1,0.0,0.0,1.0,0.0,0.0,1,21.0,1.0,1.0,0.0,1.0,1.0,1004,440,242,1.715,0.752,0.413,4500752,22.24,9.75,5.36,58.538013,5.8,13.9,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13006.273
24,2004,1,0.0,0.0,1.0,0.0,0.0,1,21.0,1.0,1.0,0.0,1.0,1.0,1154,486,269,1.95,0.821,0.455,4530000,25.47,10.73,5.9399996,59.17949,5.3,13.9,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13063.904
25,1980,3,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0.0,0.0,0.0,947,503,259,5.3,2.815,1.45,2718215,34.84,18.5,9.53,17.86792,6.7,18.9,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6573.402
26,1981,3,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0.0,0.0,0.0,917,434,222,4.938,2.337,1.195,2810135,32.12,15.440001,7.9,18.57,6.1,18.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6608.2236
27,1982,3,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0.417,0.0,0.0,724,337,177,3.55,1.652,0.868,2889868,25.050001,11.66,6.12,20.39437,9.9,18.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7057.1973
28,1983,3,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,1.0,0.0,0.0,675,319,177,3.28,1.55,0.86,2968932,22.74,10.74,5.96,20.57927,9.1,17.5,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6931.5396
29,1984,3,1.0,0.0,0.0,0.0,0.0,0,18.0,0.0,0.0,1.0,0.0,0.0,869,386,171,4.15,1.843,0.817,3067144,28.33,12.58,5.5800004,20.93976,5.0,17.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6827.12
30,1985,3,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,893,444,215,4.14,2.058,0.997,3183541,28.050001,13.95,6.75,21.570051,6.5,16.599998,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6775.49
31,1986,3,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,1007,492,252,4.44,2.169,1.111,3308262,30.439999,14.87,7.6200004,22.68018,6.9,16.300001,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6855.6177
32,1987,3,0.25,0.75,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,939,428,196,2.96,1.349,0.618,3437101,27.320002,12.45,5.7,31.722971,6.2,15.9,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9229.572
33,1988,3,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,1.0,944,386,199,2.76,1.129,0.582,3535178,26.7,10.92,5.63,34.2029,6.3,15.5,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9675.015
34,1989,3,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,1.0,879,366,162,2.52,1.049,0.464,3622181,24.27,10.1,4.47,34.88095,5.2,15.099999,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9629.82
35,1990,3,0.0,1.0,0.0,0.0,0.0,0,21.0,0.25,0.0,1.0,0.0,1.0,869,389,195,2.45,1.097,0.55,3679056,23.619999,10.570001,5.2999997,35.46939,5.5,14.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9640.895
36,1991,3,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,816,353,177,2.34,1.012,0.508,3788576,21.54,9.32,4.67,34.871788,5.8,14.300001,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9204.457
37,1992,3,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,809,353,167,2.31,1.008,0.477,3915740,20.66,9.01,4.26,35.02165,7.6,14.1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8943.813
38,1993,3,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,801,368,188,2.13,0.979,0.5,4065440,19.7,9.049999,4.62,37.60563,6.3,14.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9250.076
39,1994,3,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,904,395,197,2.33,1.018,0.508,4245089,21.300001,9.3,4.64,38.798283,6.4,13.9,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9139.568
40,1995,3,0.0,0.917,0.083,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,1035,475,245,2.61,1.198,0.618,4432499,23.35,10.72,5.5299997,39.65517,5.1,13.799999,0.083,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8946.459
41,1996,3,0.0,0.0,0.0,1.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,994,469,249,2.36,1.114,0.591,4586940,21.67,10.219999,5.43,42.11864,5.5,13.7,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9182.296
42,1997,3,0.0,0.0,0.0,1.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,951,447,230,2.19,1.029,0.53,4736990,20.079998,9.440001,4.86,43.42466,4.6,13.799999,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9167.142
43,1998,3,0.0,0.0,0.0,1.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,980,419,220,2.17,0.928,0.487,4883342,20.07,8.58,4.51,45.16129,4.1,13.9,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9248.029
44,1999,3,0.0,0.0,0.0,1.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,1024,435,207,2.19,0.93,0.443,5023823,20.380001,8.66,4.12,46.757988,4.4,14.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9307.252
45,2000,3,0.0,0.0,0.0,1.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,1036,454,209,2.11,0.925,0.426,5130632,20.19,8.85,4.07,49.099533,4.0,14.200001,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9569.88
46,2001,3,0.0,0.0,0.0,1.0,0.0,2,21.0,1.0,0.0,0.667,0.333,1.0,1051,502,260,2.12,1.013,0.524,5306966,19.8,9.46,4.9,49.57547,4.7,14.5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9341.584
47,2002,3,0.0,0.0,0.0,1.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,1132,507,284,2.209,0.989,0.554,5441125,20.529999,9.190001,5.1499996,51.238533,6.2,14.599999,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9416.9
48,2003,3,0.0,0.0,0.0,1.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,1118,544,296,2.076,1.01,0.55,5580811,20.07,9.77,5.3100004,53.84615,5.6,14.7,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9648.445
49,2004,3,0.0,0.0,0.0,1.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,1150,527,250,2.01,0.921,0.437,5744000,20.02,9.17,4.35,57.21393,4.5,14.7,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9960.643
50,1980,4,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,588,315,166,3.6,1.929,1.016,2286435,25.720001,13.780001,7.26,16.33333,7.6,17.800001,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7143.579
51,1981,4,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,536,267,143,3.196,1.592,0.853,2293187,22.880001,11.64,6.2400002,16.77,9.1,17.6,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7312.967
52,1982,4,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,550,253,147,3.31,1.523,0.885,2294259,23.970001,11.030001,6.41,16.61631,9.8,17.3,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7242.5605
53,1983,4,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.75,0.0,0.0,557,232,122,3.34,1.391,0.732,2305755,24.16,10.06,5.29,16.676651,10.1,17.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7232.6206
54,1984,4,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,525,251,126,3.16,1.511,0.758,2319780,22.630001,10.82,5.43,16.61392,8.9,16.8,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7161.8516
55,1985,4,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,534,222,132,3.12,1.297,0.771,2327052,22.95,9.54,5.6699996,17.115381,8.7,16.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7354.9634
56,1986,4,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,603,286,157,3.43,1.627,0.893,2331995,25.86,12.259999,6.7299995,17.58017,8.7,16.2,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7538.6826
57,1987,4,0.25,0.75,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,639,264,163,3.49,1.442,0.89,2342366,27.279999,11.2699995,6.96,18.309462,8.1,15.800001,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7816.6533
58,1988,4,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,610,265,152,3.17,1.377,0.79,2342645,26.04,11.31,6.49,19.2429,7.7,15.299999,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214.177
59,1989,4,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,647,281,151,3.17,1.377,0.74,2346392,27.57,11.98,6.44,20.41009,7.2,14.900001,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8698.499
60,1990,4,0.0,1.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,604,270,163,2.87,1.283,0.775,2354343,25.650002,11.469999,6.9199996,21.045301,7.0,14.599999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8938.928
61,1991,4,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,0.0,608,252,143,2.77,1.148,0.651,2383144,25.510002,10.570001,6.0,21.949461,7.4,14.599999,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9210.296
62,1992,4,0.0,1.0,0.0,0.0,0.0,2,21.0,0.0,0.0,1.0,0.0,0.0,588,261,154,2.55,1.132,0.668,2415984,24.34,10.8,6.3700004,23.05882,7.3,14.599999,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9544.277
63,1993,4,0.0,1.0,0.0,0.0,0.0,2,21.0,0.583,0.0,1.0,0.0,0.0,583,225,124,2.43,0.938,0.517,2456303,23.73,9.16,5.05,23.99177,6.2,14.7,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9767.431
64,1994,4,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,0.0,609,228,113,2.44,0.913,0.453,2494019,24.419998,9.139999,4.53,24.959019,5.3,14.7,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10007.55
65,1995,4,0.0,1.0,0.0,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,0.0,631,278,131,2.37,1.044,0.492,2535399,24.890001,10.959999,5.17,26.62447,4.9,14.7,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10501.097
66,1996,4,0.0,0.583,0.417,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,0.5,615,268,124,2.21,0.963,0.446,2572109,23.91,10.42,4.8199997,27.82805,5.4,14.599999,0.417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10819.157
67,1997,4,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,660,237,135,2.35,0.844,0.481,2601090,25.369999,9.110001,5.19,28.08511,5.3,14.599999,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10797.438
68,1998,4,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,625,234,113,2.2,0.824,0.398,2626289,23.800001,8.91,4.3,28.40909,5.5,14.5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10817.199
69,1999,4,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,604,266,128,2.07,0.912,0.439,2651860,22.78,10.030001,4.83,29.17874,4.5,14.4,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11003.122
70,2000,4,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,1.0,0.0,1.0,652,239,118,2.24,0.821,0.405,2673400,24.39,8.94,4.4100003,29.107141,4.4,14.1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10887.687
71,2001,4,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.0,0.667,0.333,1.0,611,237,125,2.08,0.807,0.426,2694698,22.67,8.8,4.64,29.375,5.0,13.9,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10901.036
72,2002,4,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,0.5,0.0,1.0,1.0,640,258,127,2.13,0.859,0.423,2706268,23.65,9.53,4.69,30.04695,5.4,13.7,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11102.725
73,2003,4,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,1.0,0.0,1.0,1.0,640,268,145,2.093,0.876,0.474,2725714,23.0,9.63,5.21,30.58537,6.2,13.6,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11221.048
74,2004,4,0.0,0.0,1.0,0.0,0.0,2,21.0,1.0,1.0,0.0,1.0,1.0,704,295,177,2.22,0.93,0.558,2753000,25.57,10.72,6.4300003,31.711712,5.6,13.500001,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11518.965
75,1980,5,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,5496,2918,1499,3.5,1.858,0.955,23667902,23.220001,12.33,6.33,157.02856,6.8,18.9,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6634.6636
76,1981,5,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,5170,2751,1352,3.233,1.72,0.846,24286016,21.189999,11.33,5.5699997,159.9,7.4,18.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6584.0356
77,1982,5,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,0.833,0.0,0.0,4611,2419,1182,2.708,1.42,0.694,24820028,18.59,9.75,4.76,170.2952,9.9,18.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6861.2007
78,1983,5,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,4573,2298,1141,2.5,1.256,0.624,25360065,18.029999,9.06,4.5,182.92,9.7,17.5,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7212.915
79,1984,5,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,5020,2494,1237,2.55,1.267,0.628,25844407,19.42,9.65,4.79,196.86275,7.8,17.2,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7617.228
80,1985,5,1.0,0.0,0.0,0.0,0.0,0,21.0,0.0,0.0,1.0,0.0,0.0,4960,2339,1081,2.39,1.127,0.521,26441102,18.76,8.85,4.09,207.53137,7.2,16.9,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7848.8174
