,term,sat,tothrs,cumgpa,season,frstsem,crsgpa,verbmath,trmgpa,hssize,hsrank,id,spring,female,black,white,ctrmgpa,ctothrs,ccrsgpa,ccrspop,cseason,hsperc,football
49,2,810,42,2.64,0,0,3.2227,1.07692,2.85,227,56,744.0,1,1,0,1,0.3499999,12.0,0.71220016,-427.40002,-1.0,24.669603,0
50,1,820,31,2.22,1,0,2.7978,1.10256,2.33,571,344,759.0,0,0,0,0,,,,,,60.245182,0
51,2,820,40,2.25,0,0,2.8461,1.10256,3.0,571,344,759.0,1,0,0,0,0.6700001,9.0,0.048300028,447.07,-1.0,60.245182,0
52,1,970,23,2.86,0,0,2.5771,0.67241,1.75,566,83,771.0,0,0,0,1,,,,,,14.664311,0
53,2,970,39,2.41,1,0,2.8763,0.67241,2.0,566,83,771.0,1,0,0,1,0.25,16.0,0.29920006,93.150024,1.0,14.664311,0
54,1,790,0,0.0,1,1,2.7025,1.07895,2.82,597,72,792.0,0,0,0,1,,,,,,12.060302,1
55,2,790,17,2.82,0,0,2.6371,1.07895,1.75,597,72,792.0,1,0,0,1,-1.0699999,17.0,-0.06540012,-361.92004,-1.0,12.060302,1
56,1,800,0,0.0,1,1,2.6648,0.81818,2.13,310,95,798.0,0,1,0,1,,,,,,30.64516,0
57,2,800,13,2.15,1,0,2.7442,0.81818,2.64,310,95,798.0,1,1,0,1,0.51,13.0,0.07940006,-189.40002,0.0,30.64516,0
58,1,680,33,2.93,1,0,2.8994,0.74359,2.56,328,122,806.0,0,1,0,1,,,,,,37.19512,0
59,2,680,49,2.81,1,0,2.4809,0.74359,2.0,328,122,806.0,1,1,0,1,-0.55999994,16.0,-0.41849995,-267.42004,0.0,37.19512,0
60,1,850,0,0.0,1,1,2.8328,0.80851,2.71,73,5,809.0,0,1,0,1,,,,,,6.849315,0
61,2,850,15,2.66,1,0,2.7226,0.80851,3.07,73,5,809.0,1,1,0,1,0.3599999,15.0,-0.11019993,33.69995,0.0,6.849315,0
62,1,820,80,2.27,0,0,2.8979,0.70833,2.2,131,98,823.0,0,0,0,1,,,,,,74.80916,0
63,2,820,95,2.26,1,0,2.9492,0.70833,2.0,131,98,823.0,1,0,0,1,-0.20000005,15.0,0.05129981,-220.20001,1.0,74.80916,0
64,1,1120,0,0.0,1,1,2.1683,0.67164,2.33,488,20,828.0,0,0,0,1,,,,,,4.0983605,0
65,2,1120,12,2.33,1,0,2.5011,0.67164,2.25,488,20,828.0,1,0,0,1,-0.07999992,12.0,0.33280015,-30.329956,0.0,4.0983605,0
66,1,450,1,4.0,1,0,2.9188,0.8,1.43,118,46,831.0,0,0,1,0,,,,,,38.98305,1
67,2,450,13,1.69,0,0,2.7077,0.8,1.79,118,46,831.0,1,0,1,0,0.36,12.0,-0.2111001,-51.46997,-1.0,38.98305,1
68,1,880,26,2.34,1,0,3.172,1.09524,2.41,407,70,836.0,0,1,0,1,,,,,,17.199017,0
69,2,880,43,2.37,1,0,2.7853,1.09524,2.5,407,70,836.0,1,1,0,1,0.089999914,17.0,-0.38669991,-68.5,0.0,17.199017,0
70,1,1010,28,1.5,1,0,2.8047,1.14894,1.27,106,55,863.0,0,0,0,1,,,,,,51.88679,0
71,2,1010,42,1.33,0,0,2.6747,1.14894,2.5,106,55,863.0,1,0,0,1,1.23,14.0,-0.12999988,249.25,-1.0,51.88679,0
72,1,920,0,0.0,0,1,2.3373,1.04444,1.86,149,91,872.0,0,0,0,1,,,,,,61.073826,0
73,2,920,12,1.66,1,0,2.7925,1.04444,2.85,149,91,872.0,1,0,0,1,0.9899999,12.0,0.45519996,226.15002,1.0,61.073826,0
74,1,830,70,1.91,1,0,2.9047,0.84444,2.8,200,84,889.0,0,0,1,0,,,,,,42.0,0
75,2,830,83,1.95,1,0,3.0733,0.84444,1.6,200,84,889.0,1,0,1,0,-1.1999999,13.0,0.16859984,-344.0,0.0,42.0,0
76,1,590,37,2.18,1,0,2.5413,0.68571,0.5,480,337,910.0,0,0,1,0,,,,,,70.208336,1
77,2,590,49,1.77,0,0,2.683,0.68571,1.75,480,337,910.0,1,0,1,0,1.25,12.0,0.14170003,-174.5,-1.0,70.208336,1
78,1,500,0,0.0,1,1,2.865,1.27273,1.21,457,329,911.0,0,0,0,1,,,,,,71.99125,0
79,2,500,14,1.21,1,0,2.8875,1.27273,1.62,457,329,911.0,1,0,0,1,0.40999997,14.0,0.022500038,-5.160034,0.0,71.99125,0
80,1,1050,57,2.61,1,0,2.6249,1.05882,2.81,160,98,916.0,0,0,0,1,,,,,,61.25,0
81,2,1050,73,2.69,0,0,3.0854,1.05882,3.36,160,98,916.0,1,0,0,1,0.54999995,16.0,0.4605,-477.93002,-1.0,61.25,0
82,1,570,67,1.86,1,0,2.7455,0.96552,1.0,324,187,942.0,0,0,1,0,,,,,,57.71605,1
83,2,570,79,1.73,0,0,2.6283,0.96552,0.75,324,187,942.0,1,0,1,0,-0.25,12.0,-0.117200136,429.0,-1.0,57.71605,1
84,1,970,64,3.18,1,0,2.6096,0.76364,3.4,5,1,1077.0,0,1,0,1,,,,,,20.0,0
85,2,970,79,3.22,1,0,2.6845,0.76364,3.17,5,1,1077.0,1,1,0,1,-0.23000002,15.0,0.07489991,-189.82999,0.0,20.0,0
86,1,650,40,2.25,1,0,2.6315,0.80556,2.0,206,57,1094.0,0,0,0,1,,,,,,27.669903,1
87,2,650,52,2.19,0,0,2.8364,0.80556,2.25,206,57,1094.0,1,0,0,1,0.25,12.0,0.20490003,-502.75,-1.0,27.669903,1
88,1,1140,56,2.67,1,0,2.7851,0.58333,2.4,241,24,1128.0,0,0,0,1,,,,,,9.958507,0
89,2,1140,71,2.61,0,0,2.8528,0.58333,2.38,241,24,1128.0,1,0,0,1,-0.01999998,15.0,0.06769991,-80.399994,-1.0,9.958507,0
90,1,1180,69,2.98,1,0,2.922,1.18519,3.47,469,36,1141.0,0,0,0,1,,,,,,7.675906,0
91,2,1180,87,3.09,0,0,2.9457,1.18519,3.12,469,36,1141.0,1,0,0,1,-0.35000014,18.0,0.023699999,-194.00002,-1.0,7.675906,0
92,1,770,16,1.87,1,0,2.8987,0.83333,2.0,486,397,1157.0,0,0,0,1,,,,,,81.68724,0
93,2,770,25,1.92,0,0,3.0706,0.83333,2.0,486,397,1157.0,1,0,0,1,0.0,9.0,0.17190003,-125.999985,-1.0,81.68724,0
94,1,960,0,0.0,1,1,2.5202,0.88235,3.47,430,65,1185.0,0,1,0,1,,,,,,15.116279,0
95,2,960,16,3.56,1,0,2.6987,0.88235,3.81,430,65,1185.0,1,1,0,1,0.3399999,16.0,0.17849994,209.5,0.0,15.116279,0
96,1,720,0,0.0,0,1,2.6784,0.94595,2.0,430,230,1187.0,0,1,0,0,,,,,,53.488373,0
97,2,720,16,1.93,1,0,2.7374,0.94595,2.23,430,230,1187.0,1,1,0,0,0.23000002,16.0,0.059000015,95.5,1.0,53.488373,0
98,1,750,0,0.0,0,1,2.9692,1.08333,1.92,341,270,1204.0,0,0,0,1,,,,,,79.17889,0
99,2,750,12,1.91,1,0,2.7092,1.08333,2.0,341,270,1204.0,1,0,0,1,0.08000004,12.0,-0.26,452.16998,1.0,79.17889,0
100,1,960,32,2.9,1,0,2.7892,0.88235,3.31,10,3,1277.0,0,1,0,1,,,,,,30.0,0
101,2,960,45,3.02,1,0,3.0455,0.88235,3.77,10,3,1277.0,1,1,0,1,0.46000004,13.0,0.25629997,-540.6,0.0,30.0,0
102,1,970,67,2.04,1,0,2.6975,0.73214,2.0,10,3,1315.0,0,0,0,1,,,,,,30.0,1
103,2,970,79,2.03,0,0,2.7022,0.73214,2.29,10,3,1315.0,1,0,0,1,0.28999996,12.0,0.0046999454,-88.66998,-1.0,30.0,1
104,1,1070,62,2.12,1,0,2.9436,0.78333,1.85,288,65,1390.0,0,0,0,1,,,,,,22.569445,1
105,2,1070,74,2.06,0,0,2.9238,0.78333,2.0,288,65,1390.0,1,0,0,1,0.14999998,12.0,-0.019799948,-273.25,-1.0,22.569445,1
106,1,940,32,2.65,0,0,2.8248,0.70909,2.33,251,45,1485.0,0,0,0,1,,,,,,17.928288,0
107,2,940,50,2.54,1,0,2.8651,0.70909,2.13,251,45,1485.0,1,0,0,1,-0.19999981,18.0,0.040299892,40.330017,1.0,17.928288,0
108,1,1100,59,2.64,1,0,2.8895,0.80328,2.5,306,99,1640.0,0,0,0,1,,,,,,32.35294,0
109,2,1100,71,2.61,0,0,2.7331,0.80328,2.08,306,99,1640.0,1,0,0,1,-0.42000008,12.0,-0.15639997,-52.15,-1.0,32.35294,0
110,1,1110,52,2.05,1,0,2.745,0.94737,2.15,216,125,1736.0,0,0,0,1,,,,,,57.87037,0
111,2,1110,65,2.07,1,0,2.78,0.94737,2.69,216,125,1736.0,1,0,0,1,0.53999996,13.0,0.035000086,-42.350006,0.0,57.87037,0
112,1,860,78,1.94,1,0,3.1855,0.45763,3.14,274,110,1750.0,0,0,0,1,,,,,,40.145985,0
113,2,860,92,2.13,1,0,2.692,0.45763,2.75,274,110,1750.0,1,0,0,1,-0.3900001,14.0,-0.4935,-55.149994,0.0,40.145985,0
114,1,1110,29,3.86,1,0,3.0331,0.91379,3.63,48,20,1863.0,0,1,0,1,,,,,,41.666668,0
115,2,1110,45,3.77,1,0,2.6594,0.91379,3.69,48,20,1863.0,1,1,0,1,0.059999943,16.0,-0.3736999,-453.45,0.0,41.666668,0
116,1,850,87,2.01,1,0,3.2487,1.02381,1.94,244,146,1903.0,0,1,0,1,,,,,,59.836067,0
117,2,850,103,2.0,0,0,3.1378,1.02381,2.6,244,146,1903.0,1,1,0,1,0.65999985,16.0,-0.110899925,-190.87,-1.0,59.836067,0
118,1,750,0,0.0,1,1,2.4407,1.08333,1.27,48,26,1984.0,0,1,0,1,,,,,,54.166668,0
119,2,750,12,1.41,1,0,3.0332,1.08333,2.75,48,26,1984.0,1,1,0,1,1.48,12.0,0.5925,-64.5,0.0,54.166668,0
120,1,840,0,0.0,1,1,2.5065,0.78723,2.0,48,32,1986.0,0,1,0,1,,,,,,66.666664,0
121,2,840,16,2.12,1,0,2.8851,0.78723,2.31,48,32,1986.0,1,1,0,1,0.30999994,16.0,0.37859988,-104.46997,0.0,66.666664,0
122,1,1050,0,0.0,1,1,2.3848,0.75,1.8,620,266,2001.0,0,0,0,1,,,,,,42.903225,0
123,2,1050,15,1.8,1,0,2.539,0.75,1.23,620,266,2001.0,1,0,0,1,-0.56999993,15.0,0.15420008,-6.4000244,0.0,42.903225,0
124,1,890,29,2.17,1,0,2.8267,0.85417,2.5,550,114,2014.0,0,1,0,1,,,,,,20.727272,0
125,2,890,43,2.27,1,0,2.9847,0.85417,2.62,550,114,2014.0,1,1,0,1,0.119999886,14.0,0.15799999,150.46997,0.0,20.727272,0
126,1,890,63,1.93,1,0,2.9497,1.225,2.25,768,451,2046.0,0,1,0,1,,,,,,58.723957,0
127,2,890,75,1.98,1,0,2.9981,1.225,2.94,768,451,2046.0,1,1,0,1,0.69000006,12.0,0.048399925,-60.700012,0.0,58.723957,0
128,1,830,26,1.65,1,0,2.4387,0.93023,1.71,161,147,2101.0,0,0,0,1,,,,,,91.304344,0
129,2,830,40,1.67,0,0,2.8498,0.93023,2.71,161,147,2101.0,1,0,0,1,1.0,14.0,0.41110015,-333.0,-1.0,91.304344,0
130,1,850,0,0.0,1,1,2.7077,1.02381,2.4,179,153,2103.0,0,0,0,1,,,,,,85.47486,0
131,2,850,11,1.81,0,0,2.8881,1.02381,1.73,179,153,2103.0,1,0,0,1,-0.6700001,11.0,0.1803999,-486.75,-1.0,85.47486,0
132,1,770,0,0.0,1,1,2.7444,0.87805,2.31,620,461,2107.0,0,0,0,1,,,,,,74.354836,1
133,2,770,15,2.46,0,0,2.928,0.87805,2.31,620,461,2107.0,1,0,0,1,0.0,15.0,0.18359995,-254.42993,-1.0,74.354836,1
134,1,910,39,2.43,1,0,2.9027,0.89583,2.54,386,190,2333.0,0,0,1,0,,,,,,49.222797,1
135,2,910,52,2.46,0,0,2.461,0.89583,2.25,386,190,2333.0,1,0,1,0,-0.28999996,13.0,-0.44169998,-39.450012,-1.0,49.222797,1
136,1,910,0,0.0,1,1,2.7736,0.82,0.43,563,328,2395.0,0,0,0,1,,,,,,58.259327,0
137,2,910,15,0.6,1,0,2.4197,0.82,1.57,563,328,2395.0,1,0,0,1,1.1400001,15.0,-0.3539002,255.16998,0.0,58.259327,0
138,1,1110,30,2.66,1,0,2.7469,0.79032,2.69,4,2,2470.0,0,1,0,1,,,,,,50.0,0
139,2,1110,46,2.67,1,0,2.7751,0.79032,3.0,4,2,2470.0,1,1,0,1,0.30999994,16.0,0.028199911,-12.199982,0.0,50.0,0
140,1,1090,84,2.41,1,0,2.8599,0.84746,2.2,320,55,2487.0,0,1,0,1,,,,,,17.1875,0
141,2,1090,99,2.38,0,0,2.9807,0.84746,2.8,320,55,2487.0,1,1,0,1,0.5999999,15.0,0.12080002,-21.200005,-1.0,17.1875,0
142,1,1170,55,3.27,0,0,2.6994,0.74627,3.33,470,127,2532.0,0,0,0,1,,,,,,27.021276,0
143,2,1170,73,3.28,1,0,2.7627,0.74627,3.33,470,127,2532.0,1,0,0,1,0.0,18.0,0.06330013,-311.5,1.0,27.021276,0
144,1,760,28,2.75,1,0,2.9844,0.94872,3.44,670,71,2583.0,0,0,0,0,,,,,,10.597015,0
145,2,760,44,3.0,0,0,2.7734,0.94872,3.2,670,71,2583.0,1,0,0,0,-0.24000001,16.0,-0.21099997,101.20001,-1.0,10.597015,0
146,1,780,0,0.0,1,1,2.7576,0.90244,2.88,654,81,2586.0,0,1,0,0,,,,,,12.385321,0
147,2,780,14,2.85,0,0,2.8991,0.90244,2.64,654,81,2586.0,1,1,0,0,-0.24000001,14.0,0.1415,-287.99994,-1.0,12.385321,0
148,1,670,111,2.01,1,0,2.6453,0.81081,1.5,277,61,2736.0,0,0,1,0,,,,,,22.02166,1
149,2,670,123,1.96,0,0,2.5111,0.81081,0.0,277,61,2736.0,1,0,1,0,-1.5,12.0,-0.13419986,609.5,-1.0,22.02166,1
150,1,870,55,2.21,1,0,2.8318,0.8913,2.25,462,236,2765.0,0,0,0,1,,,,,,51.082253,0
151,2,870,67,2.22,0,0,2.7351,0.8913,1.75,462,236,2765.0,1,0,0,1,-0.5,12.0,-0.09669995,175.75,-1.0,51.082253,0
152,1,850,52,1.98,1,0,2.6799,0.77083,1.33,401,45,2902.0,0,0,0,1,,,,,,11.221945,1
153,2,850,61,1.88,0,0,2.7762,0.77083,1.64,401,45,2902.0,1,0,0,1,0.30999994,9.0,0.096300125,-191.79999,-1.0,11.221945,1
154,1,790,57,1.94,0,0,2.6514,0.68085,1.57,403,193,2931.0,0,0,0,1,,,,,,47.89082,0
155,2,790,71,1.87,1,0,3.0024,0.68085,2.75,403,193,2931.0,1,0,0,1,1.18,14.0,0.35099983,-347.59998,1.0,47.89082,0
156,1,1180,69,1.62,1,0,2.7128,0.87302,3.0,321,167,3047.0,0,0,0,1,,,,,,52.02492,1
157,2,1180,81,1.82,0,0,2.4061,0.87302,2.0,321,167,3047.0,1,0,0,1,-1.0,12.0,-0.3067,-86.79999,-1.0,52.02492,1
158,1,940,65,2.41,1,0,3.1423,0.64912,2.5,375,87,3177.0,0,0,0,1,,,,,,23.2,1
159,2,940,77,2.42,0,0,3.0954,0.64912,2.38,375,87,3177.0,1,0,0,1,-0.119999886,12.0,-0.046899796,-225.67001,-1.0,23.2,1
160,1,850,0,0.0,0,1,2.6787,0.80851,1.6,448,207,3181.0,0,1,0,1,,,,,,46.205357,0
161,2,850,14,1.57,1,0,2.7989,0.80851,2.23,448,207,3181.0,1,1,0,1,0.63,14.0,0.12019992,-161.17004,1.0,46.205357,0
162,1,540,80,1.93,1,0,2.7371,0.58824,1.75,577,402,3249.0,0,0,1,0,,,,,,69.67071,1
163,2,540,92,1.91,0,0,2.559,0.58824,0.75,577,402,3249.0,1,0,1,0,-1.0,12.0,-0.17809987,440.0,-1.0,69.67071,1
164,1,930,28,3.32,1,0,2.7199,1.02174,3.8,604,27,3321.0,0,1,0,1,,,,,,4.4701986,0
165,2,930,43,3.48,1,0,2.9337,1.02174,3.0,604,27,3321.0,1,1,0,1,-0.79999995,15.0,0.21380019,15.800049,0.0,4.4701986,0
166,1,810,30,2.16,1,0,2.7084,1.025,2.79,520,214,3438.0,0,0,0,1,,,,,,41.153847,0
167,2,810,44,2.36,1,0,2.793,1.025,2.81,520,214,3438.0,1,0,0,1,0.01999998,14.0,0.08459997,433.95,0.0,41.153847,0
168,1,1130,77,3.9,1,0,2.733,0.79365,4.0,450,1,3482.0,0,1,0,1,,,,,,0.22222222,0
169,2,1130,92,3.92,0,0,2.8489,0.79365,3.63,450,1,3482.0,1,1,0,1,-0.3699999,15.0,0.11590004,-130.23,-1.0,0.22222222,0
170,1,940,28,3.14,1,0,2.6767,0.46875,3.5,303,84,3665.0,0,0,0,1,,,,,,27.722773,0
171,2,940,40,3.25,1,0,3.1241,0.46875,3.08,303,84,3665.0,1,0,0,1,-0.42000008,12.0,0.44739985,-828.85,0.0,27.722773,0
172,1,1010,80,2.36,0,0,2.638,0.94231,3.0,457,123,3718.0,0,0,0,1,,,,,,26.914661,0
173,2,1010,95,2.46,1,0,2.9054,0.94231,3.4,457,123,3718.0,1,0,0,1,0.4000001,15.0,0.26740003,-105.399994,1.0,26.914661,0
174,1,930,38,2.07,1,0,2.6668,1.02174,1.25,288,197,3728.0,0,0,0,1,,,,,,68.40278,1
175,2,930,50,1.88,0,0,2.9916,1.02174,2.23,288,197,3728.0,1,0,0,1,0.98,12.0,0.3248,204.25,-1.0,68.40278,1
176,1,850,66,2.09,1,0,2.6588,0.93182,2.0,537,234,3758.0,0,0,0,1,,,,,,43.57542,0
177,2,850,78,2.07,1,0,2.8992,0.93182,1.94,537,234,3758.0,1,0,0,1,-0.059999943,12.0,0.24040008,75.83,0.0,43.57542,0
178,1,1160,83,3.49,1,0,2.9958,0.93333,3.4,637,101,3809.0,0,1,0,1,,,,,,15.855573,0
179,2,1160,98,3.47,1,0,3.0601,0.93333,3.3,637,101,3809.0,1,1,0,1,-0.10000014,15.0,0.06430006,69.53,0.0,15.855573,0
180,1,900,86,2.77,1,0,3.0089,0.91489,3.0,637,76,3847.0,0,1,0,1,,,,,,11.930926,0
181,2,900,101,2.81,1,0,3.0143,0.91489,2.6,637,76,3847.0,1,1,0,1,-0.4000001,15.0,0.005400181,138.6,0.0,11.930926,0
182,1,920,89,2.69,1,0,2.9401,0.87755,2.08,637,163,3861.0,0,1,0,1,,,,,,25.588697,0
183,2,920,102,2.61,1,0,3.0847,0.87755,2.46,637,163,3861.0,1,1,0,1,0.3800001,13.0,0.14460015,-130.05,0.0,25.588697,0
184,1,1020,0,0.0,1,1,2.3118,0.78947,1.43,330,160,3920.0,0,0,0,1,,,,,,48.484848,0
185,2,1020,12,1.16,0,0,2.8809,0.78947,0.75,330,160,3920.0,1,0,0,1,-0.67999995,12.0,0.5690999,227.0,-1.0,48.484848,0
186,1,660,80,1.92,1,0,2.7976,0.78378,1.5,251,130,3964.0,0,0,0,0,,,,,,51.792828,1
187,2,660,92,1.86,0,0,2.783,0.78378,0.75,251,130,3964.0,1,0,0,0,-0.75,12.0,-0.0146000385,299.5,-1.0,51.792828,1
188,1,870,0,0.0,1,1,2.8846,0.77551,3.44,10,2,4065.0,0,1,1,0,,,,,,20.0,0
189,2,870,14,3.5,1,0,2.6483,0.77551,2.62,10,2,4065.0,1,1,1,0,-0.8200002,14.0,-0.23629999,124.099976,0.0,20.0,0
190,1,1100,35,3.05,1,0,2.8672,0.86441,2.79,172,137,4105.0,0,0,0,1,,,,,,79.65116,1
191,2,1100,49,2.97,0,0,2.7198,0.86441,3.25,172,137,4105.0,1,0,0,1,0.46000004,14.0,-0.1473999,210.0,-1.0,79.65116,1
192,1,960,30,2.4,1,0,2.7009,0.68421,3.0,204,51,4247.0,0,0,0,1,,,,,,25.0,0
193,2,960,42,2.57,0,0,2.8026,0.68421,2.17,204,51,4247.0,1,0,0,1,-0.8299999,12.0,0.10169983,-273.66998,-1.0,25.0,0
194,1,540,100,2.2,1,0,2.6427,0.92857,2.0,240,151,4350.0,0,0,1,0,,,,,,62.916668,1
195,2,540,112,2.17,0,0,2.5512,0.92857,1.25,240,151,4350.0,1,0,1,0,-0.75,12.0,-0.091500044,-56.5,-1.0,62.916668,1
196,1,700,0,0.0,1,1,2.9404,0.79487,2.41,238,102,4368.0,0,0,1,0,,,,,,42.857143,1
197,2,700,15,2.6,0,0,2.7842,0.79487,1.92,238,102,4368.0,1,0,1,0,-0.49000013,15.0,-0.15619993,490.86,-1.0,42.857143,1
198,1,490,121,1.95,1,0,3.1275,0.68966,2.38,92,50,4396.0,0,0,1,0,,,,,,54.347828,0
199,2,490,134,1.99,1,0,2.3973,0.68966,0.0,92,50,4396.0,1,0,1,0,-2.38,13.0,-0.73020005,-177.09998,0.0,54.347828,0
