,id,month,year,sp500,cpi,cpifood,approve,gasprice,unemploy,katrina,rgasprice,lrgasprice,sep11,iraqinvade,lsp500,lcpifood
20,322,10,2002,885.76,191.8,177.1,63.0,144.9,5.3,0,75.54745,4.324761,0,0,6.786446,5.1767144
21,323,11,2002,936.31,191.8,177.4,65.89,144.8,5.6,0,75.49531,4.3240705,0,0,6.8419466,5.178407
22,324,12,2002,879.82,191.4,177.8,62.93,139.4,5.7,0,72.831764,4.288152,0,0,6.7797174,5.1806593
23,325,1,2003,855.7,191.8,178.1,59.9,147.3,6.5,0,76.79875,4.3411884,0,0,6.7519197,5.1823454
24,326,2,2003,841.15,192.5,178.9,59.09,164.1,6.4,0,85.24675,4.44555,0,0,6.73477,5.186827
25,327,3,2003,848.18,193.0,179.2,58.97,174.8,6.2,0,90.56995,4.5061226,0,1,6.743093,5.1885023
26,328,4,2003,916.92,193.1,179.0,70.3,165.9,5.8,0,85.91403,4.453347,0,1,6.82102,5.187386
27,329,5,2003,963.59,193.2,179.4,66.61,154.2,5.8,0,79.81367,4.379695,0,1,6.870666,5.189618
28,330,6,2003,974.5,193.0,180.2,62.43,151.4,6.5,0,78.445595,4.3624053,0,0,6.8819246,5.1940675
29,331,7,2003,990.31,193.2,180.3,59.48,152.4,6.3,0,78.88199,4.367953,0,0,6.898018,5.194622
30,332,8,2003,1008.01,193.5,180.9,59.27,162.8,6.0,0,84.13437,4.432415,0,0,6.9157333,5.197944
31,333,9,2003,995.97,193.6,181.3,51.48,172.8,5.8,0,89.256195,4.491511,0,0,6.903717,5.2001534
32,334,10,2003,1050.71,194.3,182.2,55.23,160.3,5.6,0,82.50129,4.412814,0,0,6.9572215,5.205105
33,335,11,2003,1058.2,193.9,182.9,50.66,153.5,5.6,0,79.16452,4.371528,0,0,6.9643245,5.2089396
34,336,12,2003,1111.92,193.6,184.1,61.17,149.4,5.4,0,77.16942,4.346003,0,0,7.0138435,5.215479
35,337,1,2004,1131.13,194.0,184.3,53.06,159.2,6.3,0,82.06186,4.4074736,0,0,7.0309725,5.2165647
36,338,2,2004,1144.94,194.9,184.5,51.0,167.2,6.0,0,85.78758,4.4518743,0,0,7.0431075,5.2176495
37,339,3,2004,1126.21,196.1,184.9,50.72,176.6,6.0,0,90.05609,4.5004325,0,0,7.026613,5.2198153
38,340,4,2004,1107.3,196.5,185.0,51.93,183.3,5.4,0,93.28244,4.5356317,0,0,7.00968,5.220356
39,341,5,2004,1120.68,196.5,186.5,46.69,200.9,5.3,0,102.23919,4.627315,0,0,7.021691,5.228431
40,342,6,2004,1140.84,196.6,186.8,48.6,204.1,5.8,0,103.81485,4.642609,0,0,7.0395203,5.2300386
41,343,7,2004,1101.72,196.6,187.2,48.09,193.9,5.7,0,98.626656,4.5913415,0,0,7.0046277,5.2321777
42,344,8,2004,1104.24,196.8,187.3,50.34,189.8,5.4,0,96.44309,4.568953,0,0,7.0069127,5.232712
43,345,9,2004,1114.58,197.4,187.2,52.19,189.1,5.1,0,95.79534,4.562214,0,0,7.016233,5.2321777
44,346,10,2004,1130.2,198.2,188.4,49.15,202.9,5.1,0,102.371346,4.628607,0,0,7.03015,5.2385674
45,347,11,2004,1173.82,198.1,188.6,52.87,201.0,5.2,0,101.463905,4.6197033,0,0,7.0680184,5.2396283
46,348,12,2004,1211.92,197.8,188.9,52.0,188.2,5.1,0,95.146614,4.555419,0,0,7.0999613,5.2412176
47,349,1,2005,1181.27,198.4,189.5,51.43,182.3,5.7,0,91.88508,4.520539,0,0,7.0743456,5.244389
48,350,2,2005,1203.6,199.5,189.3,50.51,191.8,5.8,0,96.14035,4.5658092,0,0,7.0930724,5.243333
49,351,3,2005,1180.59,200.7,189.6,51.52,206.5,5.4,0,102.889885,4.6336594,0,0,7.0737696,5.2449164
50,352,4,2005,1156.85,200.9,190.7,48.81,228.3,4.9,0,113.638626,4.7330236,0,0,7.0534563,5.2507014
51,353,5,2005,1191.5,200.8,191.1,47.92,221.6,4.9,0,110.35857,4.703735,0,0,7.082968,5.2527966
52,354,6,2005,1191.33,200.6,190.9,46.95,217.6,5.2,0,108.47458,4.686516,0,0,7.0828257,5.2517495
53,355,7,2005,1234.18,200.8,191.3,48.72,231.6,5.2,0,115.338646,4.7478724,0,0,7.118162,5.253843
54,356,8,2005,1220.33,201.0,191.3,43.67,250.6,4.9,0,124.67662,4.825723,0,0,7.1068764,5.253843
55,357,9,2005,1228.81,201.3,191.8,43.33,292.7,4.8,1,145.40486,4.979522,0,0,7.1138015,5.256453
56,358,10,2005,1207.01,202.3,192.5,39.63,278.5,4.6,0,137.66682,4.9248366,0,0,7.0959015,5.260096
57,359,11,2005,1249.48,202.3,192.8,37.64,234.3,4.8,0,115.81809,4.752021,0,0,7.1304827,5.2616534
58,360,12,2005,1248.29,202.1,193.2,41.6,218.6,4.6,0,108.164276,4.683651,0,0,7.12953,5.2637258
59,361,1,2006,1280.08,202.6,194.5,43.02,231.5,5.1,0,114.264565,4.7385163,0,0,7.154678,5.270432
60,362,2,2006,1280.66,203.6,194.4,39.15,231.0,5.1,0,113.45776,4.7314305,0,0,7.155131,5.269918
61,363,3,2006,1294.83,204.9,194.5,36.8,240.1,4.8,0,117.179115,4.763704,0,0,7.166135,5.270432
62,364,4,2006,1310.61,205.5,194.2,35.83,275.7,4.5,0,134.16058,4.8990374,0,0,7.178248,5.2688885
63,365,5,2006,1270.09,205.7,194.7,33.57,294.7,4.4,0,143.26689,4.9647093,0,0,7.146843,5.27146
64,366,6,2006,1270.2,205.9,195.1,37.72,291.7,4.8,0,141.67072,4.9535055,0,0,7.1469297,5.2735124
65,367,7,2006,1276.66,206.2,195.6,38.81,299.9,5.0,0,145.44131,4.9797726,0,0,7.1520023,5.2760715
66,368,8,2006,1303.82,206.7,196.0,40.3,298.5,4.6,0,144.41219,4.9726715,0,0,7.1730537,5.278115
67,369,9,2006,1335.85,207.2,196.7,42.97,258.9,4.4,0,124.95174,4.8279276,0,0,7.197323,5.2816796
68,370,10,2006,1377.94,207.8,197.5,37.08,227.2,4.1,0,109.3359,4.6944246,0,0,7.228345,5.2857385
69,371,11,2006,1400.63,207.6,197.2,34.2,224.1,4.3,0,107.947975,4.681649,0,0,7.2446775,5.2842183
70,372,12,2006,1418.3,207.3,197.4,37.76,233.4,4.3,0,112.59045,4.723757,0,0,7.257214,5.285232
71,373,1,2007,1438.24,208.009,199.198,34.67,227.4,5.0,0,109.32219,4.694299,0,0,7.2711754,5.294299
72,374,2,2007,1406.82,209.112,200.402,33.3,228.5,4.9,0,109.27158,4.693836,0,0,7.2490873,5.3003254
73,375,3,2007,1420.86,209.923,200.869,34.86,259.2,4.5,0,123.47385,4.8160295,0,0,7.2590175,5.302653
74,376,4,2007,1482.37,210.311,201.292,35.99,286.0,4.3,0,135.98909,4.912575,0,0,7.3013973,5.3047566
75,377,5,2007,1530.62,210.316,202.225,33.02,313.0,4.3,0,148.82367,5.0027623,0,0,7.3334284,5.309381
76,378,6,2007,1503.35,210.474,202.885,31.89,305.2,4.7,0,145.00603,4.976775,0,0,7.315451,5.312639
77,379,7,2007,1455.27,210.756,203.533,30.94,296.1,4.9,0,140.49422,4.945166,0,0,7.2829466,5.3158283
