,attend,termGPA,priGPA,ACT,final,atndrte,hwrte,frosh,soph,missed,stndfnl
54,27,1.36,1.79,21,22,84.375,62.5,1,0,5,-0.78781515
55,27,3.0,2.3,21,30,84.375,87.5,0,1,5,0.89285713
56,28,1.96,2.48,20,21,87.5,100.0,0,1,4,-0.9978992
57,30,2.86,2.87,22,35,93.75,100.0,1,0,2,1.9432774
58,30,2.61,2.02,25,24,93.75,87.5,1,0,2,-0.36764705
59,30,2.71,2.66,21,23,93.75,87.5,0,1,2,-0.5777311
60,31,2.89,2.81,25,23,96.875,100.0,0,1,1,-0.5777311
61,26,2.86,2.34,21,28,81.25,100.0,0,0,6,0.47268906
62,25,2.35,2.53,27,31,78.125,50.0,0,1,7,1.1029412
63,24,2.64,2.09,19,21,75.0,100.0,0,1,8,-0.9978992
64,19,3.29,2.67,21,35,59.375,87.5,0,1,13,1.9432774
65,22,1.54,1.9,25,18,68.75,87.5,0,1,10,-1.6281513
66,28,3.32,2.8,21,21,87.5,100.0,1,0,4,-0.9978992
67,32,4.0,3.93,25,35,100.0,100.0,0,1,0,1.9432774
68,29,2.63,2.55,26,25,90.625,100.0,0,1,3,-0.15756303
69,19,2.38,2.17,21,22,59.375,75.0,1,0,13,-0.78781515
70,20,1.3,1.58,18,21,62.5,62.5,0,1,12,-0.9978992
71,29,2.76,2.12,20,29,90.625,100.0,1,0,3,0.6827731
72,26,2.33,2.2,14,20,81.25,75.0,0,0,6,-1.2079831
73,26,2.64,2.02,27,29,81.25,12.5,1,0,6,0.6827731
74,23,2.31,3.45,23,25,71.875,62.5,0,1,9,-0.15756303
75,27,2.23,1.96,20,20,84.375,62.5,0,1,5,-1.2079831
76,31,2.31,2.78,23,24,96.875,100.0,0,1,1,-0.36764705
77,31,3.88,3.59,27,35,96.875,87.5,0,0,1,1.9432774
78,29,2.38,2.0,15,19,90.625,100.0,1,0,3,-1.4180672
79,31,3.22,3.59,27,25,96.875,100.0,0,1,1,-0.15756303
80,24,2.26,2.04,25,28,75.0,100.0,0,0,8,0.47268906
81,25,0.75,2.12,20,22,78.125,62.5,0,1,7,-0.78781515
82,30,2.85,3.35,20,28,93.75,75.0,0,1,2,0.47268906
83,32,1.65,2.41,19,25,100.0,62.5,1,0,0,-0.15756303
84,30,2.92,2.56,16,20,93.75,100.0,0,1,2,-1.2079831
85,23,2.5,2.36,20,26,71.875,75.0,0,1,9,0.05252101
86,24,2.14,2.59,25,25,75.0,62.5,0,1,8,-0.15756303
87,32,3.22,3.17,25,28,100.0,75.0,0,1,0,0.47268906
88,20,2.39,2.61,19,23,62.5,75.0,0,1,12,-0.5777311
89,26,3.15,2.95,18,27,81.25,100.0,0,1,6,0.26260504
90,27,1.75,2.2,20,26,84.375,87.5,0,1,5,0.05252101
91,24,1.75,2.52,28,25,75.0,75.0,0,0,8,-0.15756303
92,30,2.81,2.55,22,25,93.75,100.0,0,1,2,-0.15756303
93,31,3.05,2.9,25,27,96.875,100.0,0,1,1,0.26260504
94,23,2.27,2.53,26,21,71.875,75.0,0,1,9,-0.9978992
95,25,2.92,2.27,19,28,78.125,100.0,0,1,7,0.47268906
96,29,2.5,2.71,23,26,90.625,87.5,0,1,3,0.05252101
97,28,3.71,2.0,26,34,87.5,100.0,1,0,4,1.7331933
98,20,1.5,2.29,21,21,62.5,37.5,0,0,12,-0.9978992
99,31,2.11,1.96,24,22,96.875,100.0,0,1,1,-0.78781515
100,31,3.28,2.46,18,34,96.875,100.0,0,0,1,1.7331933
101,23,1.6,2.18,20,27,71.875,100.0,0,1,9,0.26260504
102,25,3.33,3.05,23,30,78.125,100.0,0,1,7,0.89285713
103,28,2.04,2.47,22,23,87.5,100.0,1,0,4,-0.5777311
104,29,2.86,2.76,25,27,90.625,100.0,0,1,3,0.26260504
105,17,0.821,1.75,17,22,53.125,12.5,1,0,15,-0.78781515
106,28,2.46,2.74,21,30,87.5,87.5,0,1,4,0.89285713
107,32,4.0,3.07,19,35,100.0,100.0,0,1,0,1.9432774
108,20,1.36,1.91,22,21,62.5,75.0,0,0,12,-0.9978992
109,2,0.0,2.25,25,20,6.25,37.5,0,1,30,-1.2079831
110,21,1.83,2.03,17,22,65.625,50.0,0,0,11,-0.78781515
111,28,3.75,3.06,30,33,87.5,100.0,0,0,4,1.5231092
112,26,1.65,2.26,17,30,81.25,75.0,1,0,6,0.89285713
113,24,3.0,3.19,28,20,75.0,100.0,0,1,8,-1.2079831
114,31,2.67,2.57,20,20,96.875,100.0,0,1,1,-1.2079831
115,29,2.87,2.74,17,30,90.625,100.0,0,0,3,0.89285713
116,21,2.31,2.17,22,23,65.625,100.0,1,0,11,-0.5777311
117,24,2.63,3.3,26,25,75.0,100.0,0,1,8,-0.15756303
118,20,1.83,2.53,27,27,62.5,62.5,0,1,12,0.26260504
119,30,2.0,2.07,23,19,93.75,87.5,0,1,2,-1.4180672
120,31,3.59,3.25,25,30,96.875,100.0,0,1,1,0.89285713
121,32,2.88,2.82,23,19,100.0,100.0,0,1,0,-1.4180672
122,23,1.93,2.45,20,31,71.875,87.5,0,1,9,1.1029412
123,30,2.7,3.02,20,28,93.75,100.0,0,1,2,0.47268906
124,28,2.69,2.84,23,21,87.5,87.5,0,1,4,-0.9978992
125,25,3.38,3.39,23,25,78.125,87.5,0,1,7,-0.15756303
126,28,2.5,0.857,18,30,87.5,100.0,0,1,4,0.89285713
127,24,3.53,2.31,32,32,75.0,100.0,0,0,8,1.3130252
128,26,2.15,2.96,16,20,81.25,100.0,0,1,6,-1.2079831
129,25,2.68,2.38,21,23,78.125,100.0,1,0,7,-0.5777311
130,27,2.71,2.15,20,24,84.375,100.0,0,1,5,-0.36764705
131,23,2.62,1.9,23,29,71.875,100.0,1,0,9,0.6827731
132,29,2.19,1.8,19,19,90.625,87.5,1,0,3,-1.4180672
133,22,2.68,1.74,21,29,68.75,100.0,0,1,10,0.6827731
134,28,2.75,2.22,21,26,87.5,62.5,0,1,4,0.05252101
135,25,1.6,2.49,21,19,78.125,50.0,0,0,7,-1.4180672
136,25,2.38,2.92,20,20,78.125,100.0,0,0,7,-1.2079831
137,27,2.3,1.98,22,27,84.375,87.5,0,0,5,0.26260504
138,23,3.36,1.83,17,30,71.875,100.0,1,0,9,0.89285713
139,32,3.25,3.28,21,26,100.0,100.0,0,1,0,0.05252101
140,27,1.5,1.98,16,23,84.375,62.5,1,0,5,-0.5777311
141,31,2.96,3.02,19,25,96.875,87.5,0,1,1,-0.15756303
142,25,3.1,2.87,26,20,78.125,62.5,0,1,7,-1.2079831
143,26,2.04,2.75,19,26,81.25,100.0,0,1,6,0.05252101
144,29,3.21,3.45,30,31,90.625,100.0,0,1,3,1.1029412
145,28,3.12,3.21,24,22,87.5,100.0,0,1,4,-0.78781515
146,30,1.5,2.43,18,32,93.75,100.0,0,0,2,1.3130252
147,29,1.96,2.56,23,16,90.625,75.0,1,0,3,-2.0483193
148,29,3.34,3.42,22,24,90.625,100.0,0,1,3,-0.36764705
149,28,2.9,2.43,21,22,87.5,100.0,0,1,4,-0.78781515
150,32,3.65,3.49,23,31,100.0,100.0,0,0,0,1.1029412
151,25,3.03,2.34,22,25,78.125,75.0,0,1,7,-0.15756303
152,28,2.68,2.48,28,27,87.5,62.5,1,0,4,0.26260504
153,28,2.43,3.21,23,26,87.5,75.0,1,0,4,0.05252101
154,24,1.5,2.1,17,24,75.0,100.0,0,1,8,-0.36764705
155,29,2.97,2.82,25,28,90.625,100.0,0,1,3,0.47268906
156,30,3.71,3.22,27,37,93.75,87.5,0,1,2,2.3634453
157,29,2.27,2.1,19,21,90.625,100.0,0,1,3,-0.9978992
158,28,2.68,1.67,22,31,87.5,87.5,1,0,4,1.1029412
159,25,3.63,3.64,26,32,78.125,100.0,0,1,7,1.3130252
160,30,2.59,2.45,25,29,93.75,100.0,0,1,2,0.6827731
161,32,2.77,2.53,20,29,100.0,100.0,0,0,0,0.6827731
162,29,3.3,2.39,16,27,90.625,100.0,1,0,3,0.26260504
163,28,2.13,2.63,20,23,87.5,87.5,1,0,4,-0.5777311
164,24,2.35,2.54,24,30,75.0,87.5,0,0,8,0.89285713
165,26,3.46,3.54,27,29,81.25,100.0,0,1,6,0.6827731
166,3,2.08,1.85,22,23,9.375,87.5,0,1,29,-0.5777311
167,15,3.05,2.44,24,32,46.875,75.0,0,0,17,1.3130252
168,31,3.55,3.31,22,28,96.875,100.0,0,1,1,0.47268906
169,25,2.13,2.35,20,30,78.125,50.0,0,1,7,0.89285713
170,27,2.38,2.22,20,22,84.375,100.0,0,0,5,-0.78781515
171,27,3.73,3.2,25,37,84.375,100.0,0,0,5,2.3634453
172,27,2.13,2.58,21,17,84.375,100.0,0,1,5,-1.8382353
173,29,3.71,3.61,26,31,90.625,100.0,0,1,3,1.1029412
174,32,2.55,2.46,18,24,100.0,75.0,1,0,0,-0.36764705
175,23,3.13,3.34,28,26,71.875,100.0,0,0,9,0.05252101
176,32,3.19,3.13,17,23,100.0,87.5,1,0,0,-0.5777311
177,28,2.59,2.79,26,28,87.5,100.0,0,1,4,0.47268906
178,31,2.79,2.36,23,27,96.875,100.0,1,0,1,0.26260504
179,25,3.0,3.29,28,30,78.125,100.0,0,1,7,0.89285713
180,30,2.75,2.37,20,24,93.75,87.5,1,0,2,-0.36764705
181,24,3.25,3.57,29,30,75.0,100.0,0,1,8,0.89285713
182,22,0.7,2.07,28,28,68.75,12.5,1,0,10,0.47268906
183,31,3.21,3.2,27,30,96.875,100.0,1,0,1,0.89285713
184,16,1.81,1.98,23,25,50.0,,1,0,16,-0.15756303
185,28,3.21,2.8,22,22,87.5,100.0,0,1,4,-0.78781515
186,31,3.0,2.98,18,22,96.875,100.0,0,1,1,-0.78781515
187,21,1.85,2.85,22,21,65.625,75.0,0,0,11,-0.9978992
188,9,2.0,1.95,20,26,28.125,37.5,1,0,23,0.05252101
189,24,1.35,1.89,21,22,75.0,75.0,1,0,8,-0.78781515
190,31,3.04,3.29,19,32,96.875,100.0,1,0,1,1.3130252
191,28,3.18,2.76,25,26,87.5,100.0,1,0,4,0.05252101
192,26,3.36,1.78,23,34,81.25,100.0,0,1,6,1.7331933
193,31,3.0,2.89,20,26,96.875,100.0,0,1,1,0.05252101
194,20,2.88,1.95,25,26,62.5,87.5,0,1,12,0.05252101
195,23,3.04,2.48,27,30,71.875,100.0,0,1,9,0.89285713
196,29,2.73,2.3,16,24,90.625,100.0,1,0,3,-0.36764705
197,32,2.78,1.86,21,34,100.0,87.5,1,0,0,1.7331933
198,32,2.96,2.7,24,30,100.0,87.5,0,1,0,0.89285713
199,29,2.25,2.28,15,26,90.625,87.5,1,0,3,0.05252101
200,28,2.11,2.69,19,19,87.5,87.5,0,1,4,-1.4180672
201,31,3.27,2.47,25,34,96.875,100.0,0,0,1,1.7331933
202,28,2.23,2.67,19,22,87.5,100.0,1,0,4,-0.78781515
203,31,2.94,2.4,22,22,96.875,100.0,1,0,1,-0.78781515
204,30,4.0,3.45,30,36,93.75,100.0,0,0,2,2.1533613
205,27,2.32,2.35,21,27,84.375,87.5,1,0,5,0.26260504
206,25,3.41,2.92,23,24,78.125,100.0,0,0,7,-0.36764705
207,27,2.29,2.73,18,26,84.375,100.0,0,1,5,0.05252101
208,25,1.54,2.68,19,22,78.125,87.5,0,1,7,-0.78781515
209,32,3.56,3.52,23,31,100.0,100.0,0,1,0,1.1029412
210,10,1.0,1.41,23,20,31.25,12.5,1,0,22,-1.2079831
211,25,2.94,2.94,20,30,78.125,100.0,0,0,7,0.89285713
212,31,3.14,3.32,23,22,96.875,100.0,0,1,1,-0.78781515
213,29,2.75,2.91,19,22,90.625,75.0,0,1,3,-0.78781515
214,27,2.23,2.13,24,26,84.375,100.0,1,0,5,0.05252101
215,30,3.8,3.11,24,29,93.75,100.0,0,1,2,0.6827731
216,32,3.54,2.94,16,22,100.0,100.0,1,0,0,-0.78781515
217,31,3.75,3.53,26,31,96.875,100.0,0,1,1,1.1029412
218,32,3.5,2.83,22,27,100.0,100.0,0,1,0,0.26260504
219,29,2.62,2.66,26,23,90.625,87.5,0,1,3,-0.5777311
220,24,1.76,2.12,23,26,75.0,50.0,0,1,8,0.05252101
221,21,2.36,2.2,19,22,65.625,87.5,0,1,11,-0.78781515
222,21,2.46,2.25,26,24,65.625,100.0,1,0,11,-0.36764705
223,32,3.73,3.22,28,32,100.0,100.0,0,1,0,1.3130252
224,28,3.23,2.95,21,26,87.5,100.0,0,1,4,0.05252101
225,32,2.61,2.66,17,31,100.0,87.5,0,1,0,1.1029412
226,28,2.63,2.41,20,25,87.5,100.0,0,1,4,-0.15756303
227,28,3.08,2.59,19,27,87.5,100.0,0,1,4,0.26260504
228,30,1.38,2.55,19,17,93.75,100.0,0,1,2,-1.8382353
229,30,3.54,3.48,28,29,93.75,100.0,0,1,2,0.6827731
230,28,3.15,2.91,23,26,87.5,87.5,1,0,4,0.05252101
231,29,2.21,2.28,18,26,90.625,100.0,0,1,3,0.05252101
232,17,2.18,2.49,30,24,53.125,62.5,0,0,15,-0.36764705
233,32,3.1,2.94,23,25,100.0,100.0,0,0,0,-0.15756303
234,26,2.62,3.11,27,24,81.25,100.0,0,1,6,-0.36764705
235,31,2.4,2.69,23,28,96.875,100.0,1,0,1,0.47268906
236,30,3.6,3.36,28,21,93.75,100.0,0,1,2,-0.9978992
237,26,2.04,2.12,22,32,81.25,100.0,0,1,6,1.3130252
238,29,3.12,2.41,23,28,90.625,100.0,0,0,3,0.47268906
239,28,3.19,2.3,19,22,87.5,100.0,0,1,4,-0.78781515
240,25,1.97,2.07,24,24,78.125,100.0,0,1,7,-0.36764705
241,32,3.0,3.18,25,33,100.0,100.0,0,1,0,1.5231092
242,31,3.36,2.62,27,28,96.875,100.0,1,0,1,0.47268906
243,24,1.79,1.74,24,25,75.0,100.0,1,0,8,-0.15756303
244,27,2.97,3.15,28,27,84.375,100.0,0,1,5,0.26260504
245,23,2.67,2.31,22,27,71.875,87.5,0,1,9,0.26260504
246,29,3.16,2.84,20,26,90.625,87.5,0,1,3,0.05252101
247,26,2.5,2.07,23,22,81.25,75.0,0,1,6,-0.78781515
248,22,1.71,2.13,20,21,68.75,87.5,0,1,10,-0.9978992
249,29,2.73,2.55,24,27,90.625,100.0,0,1,3,0.26260504
250,29,3.58,2.79,28,30,90.625,100.0,0,0,3,0.89285713
251,27,2.21,2.39,20,26,84.375,100.0,0,1,5,0.05252101
252,18,1.75,2.19,22,21,56.25,62.5,0,1,14,-0.9978992
253,27,2.11,2.14,20,23,84.375,100.0,0,1,5,-0.5777311
254,29,4.0,3.84,28,37,90.625,87.5,0,1,3,2.3634453
255,23,3.14,3.21,22,24,71.875,87.5,0,1,9,-0.36764705
256,25,2.92,2.68,20,27,78.125,75.0,0,1,7,0.26260504
257,28,2.29,2.46,19,19,87.5,100.0,0,1,4,-1.4180672
258,30,2.96,2.34,24,25,93.75,100.0,0,1,2,-0.15756303
259,24,2.07,2.62,25,21,75.0,100.0,1,0,8,-0.9978992
260,30,1.8,2.61,20,30,93.75,100.0,0,0,2,0.89285713
261,32,3.73,3.81,32,38,100.0,87.5,0,1,0,2.5735295
262,28,2.31,2.42,18,19,87.5,100.0,1,0,4,-1.4180672
263,29,2.39,2.45,20,25,90.625,100.0,0,1,3,-0.15756303
264,25,2.96,2.93,28,35,78.125,100.0,0,1,7,1.9432774
265,31,3.62,3.48,24,32,96.875,100.0,0,1,1,1.3130252
266,31,3.12,2.96,22,29,96.875,100.0,0,1,1,0.6827731
267,30,2.31,2.36,19,30,93.75,100.0,0,1,2,0.89285713
268,23,1.71,2.89,24,22,71.875,100.0,0,1,9,-0.78781515
269,31,2.69,3.02,26,29,96.875,75.0,0,0,1,0.6827731
270,32,2.43,2.59,16,21,100.0,87.5,0,1,0,-0.9978992
271,32,2.55,2.57,15,20,100.0,100.0,1,0,0,-1.2079831
272,30,2.77,2.53,24,29,93.75,100.0,0,1,2,0.6827731
273,28,3.4,3.66,29,26,87.5,100.0,0,1,4,0.05252101
274,26,2.5,2.1,17,21,81.25,87.5,0,0,6,-0.9978992
275,24,3.0,1.81,22,30,75.0,75.0,0,1,8,0.89285713
276,28,2.25,2.39,16,19,87.5,100.0,0,0,4,-1.4180672
277,15,2.5,2.03,26,24,46.875,50.0,0,1,17,-0.36764705
278,28,2.05,2.59,22,24,87.5,87.5,0,1,4,-0.36764705
279,29,1.38,1.92,16,16,90.625,100.0,1,0,3,-2.0483193
280,27,2.73,1.85,23,25,84.375,87.5,1,0,5,-0.15756303
281,28,3.3,3.54,26,33,87.5,25.0,0,0,4,1.5231092
282,31,2.79,2.57,19,31,96.875,100.0,0,1,1,1.1029412
283,29,3.31,3.27,26,27,90.625,100.0,0,1,3,0.26260504
284,30,1.79,2.44,20,14,93.75,75.0,0,1,2,-2.4684875
285,24,2.97,2.37,22,31,75.0,100.0,1,0,8,1.1029412
286,31,2.13,2.63,19,14,96.875,100.0,0,0,1,-2.4684875
287,28,3.04,2.68,25,24,87.5,100.0,0,0,4,-0.36764705
288,21,2.04,2.5,18,23,65.625,87.5,1,0,11,-0.5777311
289,26,2.75,2.95,21,25,81.25,100.0,0,1,6,-0.15756303
290,32,3.4,3.16,25,29,100.0,100.0,0,1,0,0.6827731
291,32,2.82,3.13,22,19,100.0,100.0,0,1,0,-1.4180672
292,21,0.545,1.98,18,23,65.625,37.5,1,0,11,-0.5777311
293,9,1.43,2.03,28,25,28.125,37.5,0,1,23,-0.15756303
294,26,2.15,1.93,16,27,81.25,87.5,1,0,6,0.26260504
295,24,2.54,1.88,23,24,75.0,75.0,1,0,8,-0.36764705
296,26,2.5,2.86,23,25,81.25,100.0,0,1,6,-0.15756303
297,31,2.38,2.3,17,25,96.875,100.0,0,1,1,-0.15756303
298,27,1.67,2.19,13,15,84.375,87.5,0,1,5,-2.2584033
299,28,3.21,2.54,23,25,87.5,100.0,1,0,4,-0.15756303
300,32,2.75,2.94,22,24,100.0,100.0,0,1,0,-0.36764705
301,25,2.5,2.93,25,29,78.125,87.5,0,1,7,0.6827731
302,26,2.9,2.6,19,24,81.25,100.0,1,0,6,-0.36764705
303,27,2.65,3.26,20,29,84.375,50.0,0,0,5,0.6827731
304,32,3.43,3.29,20,22,100.0,100.0,0,1,0,-0.78781515
305,21,2.85,2.19,24,31,65.625,75.0,1,0,11,1.1029412
306,32,3.21,3.02,27,18,100.0,100.0,0,1,0,-1.6281513
307,25,2.25,2.09,20,25,78.125,100.0,0,1,7,-0.15756303
308,28,2.44,2.11,24,22,87.5,100.0,0,0,4,-0.78781515
309,24,2.77,2.83,24,32,75.0,100.0,0,1,8,1.3130252
310,23,3.4,2.35,21,27,71.875,100.0,0,0,9,0.26260504
311,31,3.46,2.38,23,30,96.875,100.0,0,1,1,0.89285713
312,32,3.34,3.14,25,27,100.0,100.0,0,1,0,0.26260504
313,29,2.43,2.48,22,22,90.625,75.0,0,1,3,-0.78781515
314,29,2.71,2.52,21,22,90.625,62.5,1,0,3,-0.78781515
315,31,2.11,2.76,24,26,96.875,100.0,0,1,1,0.05252101
316,29,4.0,3.7,24,39,90.625,100.0,0,0,3,2.7836134
317,24,2.1,2.08,22,30,75.0,100.0,0,1,8,0.89285713
318,17,2.38,2.39,22,24,53.125,62.5,0,1,15,-0.36764705
319,29,2.12,2.46,21,18,90.625,100.0,0,1,3,-1.6281513
320,31,4.0,3.7,25,35,96.875,100.0,0,1,1,1.9432774
321,27,3.04,1.99,25,26,84.375,100.0,0,1,5,0.05252101
322,20,1.11,2.58,25,28,62.5,87.5,0,1,12,0.47268906
323,31,3.13,2.67,21,30,96.875,100.0,0,1,1,0.89285713
324,27,3.0,1.91,23,29,84.375,100.0,1,0,5,0.6827731
325,17,1.8,1.96,24,25,53.125,,0,1,15,-0.15756303
326,17,1.68,2.15,20,24,53.125,87.5,0,1,15,-0.36764705
327,29,3.0,2.94,22,24,90.625,100.0,1,0,3,-0.36764705
328,27,2.25,2.11,15,25,84.375,87.5,0,1,5,-0.15756303
329,31,3.25,3.5,25,30,96.875,100.0,0,1,1,0.89285713
330,12,1.14,1.84,22,17,37.5,37.5,0,1,20,-1.8382353
331,27,2.97,3.1,24,25,84.375,100.0,0,1,5,-0.15756303
332,25,1.89,2.8,23,25,78.125,100.0,0,1,7,-0.15756303
333,27,2.67,1.76,23,26,84.375,100.0,1,0,5,0.05252101
334,26,3.2,2.97,22,29,81.25,100.0,0,0,6,0.6827731
335,27,2.5,2.37,23,23,84.375,100.0,1,0,5,-0.5777311
336,23,1.79,1.68,21,19,71.875,100.0,0,1,9,-1.4180672
337,25,2.0,2.27,17,22,78.125,87.5,0,1,7,-0.78781515
338,27,3.62,3.1,28,32,84.375,87.5,0,1,5,1.3130252
339,28,2.5,2.38,16,28,87.5,87.5,0,0,4,0.47268906
340,32,3.05,2.84,15,24,100.0,100.0,0,1,0,-0.36764705
341,28,3.64,3.69,26,31,87.5,100.0,0,1,4,1.1029412
342,26,3.54,3.37,25,31,81.25,100.0,0,1,6,1.1029412
343,23,2.86,2.17,23,28,71.875,75.0,1,0,9,0.47268906
344,32,3.68,3.6,23,31,100.0,100.0,0,1,0,1.1029412
345,28,3.23,3.28,26,29,87.5,100.0,0,1,4,0.6827731
346,30,3.15,3.49,25,18,93.75,100.0,0,1,2,-1.6281513
347,27,3.11,2.84,21,31,84.375,100.0,0,1,5,1.1029412
348,25,2.59,2.92,24,28,78.125,62.5,0,1,7,0.47268906
349,32,2.79,2.75,24,25,100.0,100.0,0,1,0,-0.15756303
350,25,3.04,3.17,24,26,78.125,75.0,0,1,7,0.05252101
351,27,2.18,2.44,22,22,84.375,87.5,1,0,5,-0.78781515
352,28,2.81,2.35,22,22,87.5,100.0,0,0,4,-0.78781515
353,32,2.9,2.19,18,24,100.0,100.0,0,1,0,-0.36764705
354,30,3.5,3.28,28,33,93.75,100.0,0,1,2,1.5231092
355,18,2.17,2.25,25,36,56.25,87.5,0,1,14,2.1533613
356,15,1.35,1.59,31,21,46.875,50.0,0,1,17,-0.9978992
357,21,0.792,1.65,23,23,65.625,62.5,1,0,11,-0.5777311
358,24,3.19,2.62,19,34,75.0,100.0,1,0,8,1.7331933
359,32,3.38,3.29,23,29,100.0,100.0,0,1,0,0.6827731
360,18,1.85,1.43,25,27,56.25,75.0,0,0,14,0.26260504
361,24,2.63,3.39,24,27,75.0,75.0,0,0,8,0.26260504
362,25,2.04,2.39,21,22,78.125,100.0,0,1,7,-0.78781515
363,30,4.0,2.24,25,35,93.75,100.0,0,1,2,1.9432774
364,32,3.86,3.87,31,34,100.0,100.0,0,1,0,1.7331933
365,32,3.07,2.9,18,23,100.0,100.0,0,1,0,-0.5777311
366,29,2.65,2.64,23,19,90.625,100.0,0,1,3,-1.4180672
367,10,2.5,2.25,31,35,31.25,37.5,0,1,22,1.9432774
368,27,3.63,2.18,23,29,84.375,100.0,0,0,5,0.6827731
369,19,1.63,2.46,23,24,59.375,100.0,0,1,13,-0.36764705
370,17,2.65,2.67,28,26,53.125,87.5,0,1,15,0.05252101
371,29,2.81,3.25,22,30,90.625,100.0,0,1,3,0.89285713
372,26,2.38,2.43,23,26,81.25,100.0,1,0,6,0.05252101
373,16,1.65,2.23,20,22,50.0,50.0,1,0,16,-0.78781515
374,18,2.67,2.63,24,24,56.25,100.0,1,0,14,-0.36764705
375,17,1.68,1.98,22,13,53.125,75.0,0,1,15,-2.6785715
376,6,2.31,1.8,27,28,18.75,50.0,0,1,26,0.47268906
377,27,3.0,2.81,21,30,84.375,100.0,1,0,5,0.89285713
378,24,2.64,2.27,21,22,75.0,100.0,0,1,8,-0.78781515
379,26,2.0,2.77,22,19,81.25,100.0,0,0,6,-1.4180672
380,15,1.62,2.08,26,19,46.875,87.5,0,1,17,-1.4180672
