,state,district,democA,voteA,expendA,expendB,prtystrA,lexpendA,lexpendB,shareA
91,MN,8,0,25,7.743,157.802,40,2.0467892,5.0613413,4.6772766
92,MO,3,0,37,202.524,512.206,53,5.3108582,6.238727,28.335732
93,MO,6,1,41,198.617,341.344,50,5.2913785,5.832891,36.78358
94,MO,7,1,47,215.064,338.125,39,5.3709354,5.8234158,38.87713
95,MO,8,1,42,516.239,768.792,45,6.2465696,6.64482,40.17327
96,MO,9,0,32,9.565,210.841,55,2.2581105,5.3511043,4.3397217
97,MT,1,0,39,58.204,250.276,52,4.063954,5.5225644,18.867996
98,MT,2,1,45,394.102,380.928,46,5.9766097,5.9426103,50.849903
99,NE,1,1,33,96.278,221.53,44,4.5672398,5.400558,30.294388
100,NE,2,0,49,1158.294,858.762,58,7.054703,6.7554917,57.42498
101,NV,1,0,36,147.891,652.199,58,4.9964757,6.4803495,18.484299
102,NJ,3,0,48,981.865,678.647,63,6.889454,6.520101,59.130257
103,NJ,4,1,34,53.964,252.823,45,3.9883173,5.5326896,17.590057
104,NJ,6,0,38,38.919,123.632,54,3.6614826,4.8173094,23.942642
105,NJ,9,0,32,57.26,403.059,54,4.047602,5.999083,12.439201
106,NM,1,1,49,576.677,559.134,46,6.357282,6.3263893,50.772266
107,NM,3,0,27,41.669,267.633,46,3.7297573,5.589617,13.471947
108,NY,3,0,43,90.892,364.087,60,4.509672,5.8973927,19.977188
109,NY,5,1,35,35.627,337.792,44,3.5731037,5.82243,9.540756
110,NY,15,1,39,162.157,602.942,67,5.088565,6.401821,21.194252
111,NY,17,0,16,2.851,170.567,22,1.0476699,5.139128,1.6440048
112,NY,22,1,29,10.427,411.056,43,2.3443985,6.0187297,2.4738846
113,NY,23,0,38,174.79,273.505,44,5.163585,5.61132,38.989952
114,NY,24,1,28,15.936,151.276,42,2.7685807,5.019106,9.530418
115,NY,27,1,43,645.123,594.965,48,6.469441,6.3885026,52.022358
116,NY,30,0,43,310.704,802.886,55,5.7388406,6.688213,27.901115
117,NY,31,1,47,453.462,688.382,44,6.1169114,6.5343437,39.71313
118,NC,1,0,35,16.758,82.147,54,2.8188758,4.40851,16.943535
119,NC,4,0,42,745.726,1006.641,56,6.6143584,6.9143744,42.555355
120,NC,5,0,47,718.015,756.115,60,6.5764904,6.6281934,48.707714
121,NC,6,1,38,583.013,738.088,39,6.3682094,6.604063,44.130844
122,NC,8,0,48,242.782,581.888,62,5.492164,6.366278,29.439896
123,NC,10,1,39,44.329,302.215,35,3.791639,5.7111387,12.79174
124,ND,1,0,29,1.154,143.21,57,0.14323421,4.964312,0.7993698
125,OH,2,1,28,13.961,125.682,38,2.6362677,4.833755,9.997635
126,OH,6,1,26,43.485,884.754,36,3.772416,6.78531,4.684677
127,OH,9,0,19,47.945,244.03,47,3.8700545,5.497291,16.420929
128,OH,11,0,38,860.766,561.07,56,6.7578225,6.329846,60.53905
129,OH,14,0,25,13.244,419.005,48,2.5835447,6.037883,3.0639725
130,OH,15,1,25,6.682,211.963,38,1.8994174,5.356412,3.056099
131,OH,17,0,23,2.391,96.003,38,0.87171173,4.564379,2.4300232
132,OH,19,0,30,0.522,226.086,55,-0.65008765,5.4209156,0.23035431
133,OK,1,1,48,253.585,484.585,39,5.535699,6.183293,34.353195
134,OK,2,0,35,81.634,358.705,53,4.402246,5.8825,18.538895
135,OK,5,1,28,0.302,318.822,33,-1.1973283,5.7646327,0.09463501
136,OR,4,0,28,58.563,279.809,46,4.070103,5.634107,17.307281
137,PA,1,0,24,1.643,234.957,34,0.49652386,5.4594026,0.69441986
138,PA,3,0,37,23.101,250.48,52,3.139876,5.523379,8.443932
139,PA,6,0,37,12.002,121.435,62,2.4850733,4.7993793,8.994507
140,PA,7,1,32,203.582,507.36,40,5.3160686,6.229221,28.635529
141,PA,8,0,43,507.682,1089.612,62,6.229855,6.993577,31.783882
142,PA,13,1,33,60.672,225.412,44,4.105482,5.4179296,21.207756
143,PA,15,1,43,355.016,752.332,45,5.872163,6.6231775,32.06002
144,PA,23,1,38,106.463,336.675,44,4.6677976,5.819118,24.024796
145,RI,1,1,44,801.289,385.402,58,6.6862216,5.954287,67.522964
146,SC,1,1,36,82.035,118.702,39,4.407146,4.776616,40.866905
147,SC,3,0,46,354.575,641.429,67,5.8709197,6.4636984,35.599754
148,SC,4,0,48,630.913,1143.351,68,6.447168,7.0417185,35.559135
149,SD,1,0,28,199.42,632.105,53,5.295413,6.4490557,23.982445
150,TN,6,0,24,12.623,454.346,61,2.5355206,6.118859,2.7031784
151,TX,1,0,38,94.477,505.611,53,4.5483565,6.2257676,15.743858
152,TX,5,0,39,179.201,646.218,50,5.188508,6.471137,21.710304
153,TX,6,1,32,17.414,654.26,38,2.8572745,6.483505,2.5926285
154,TX,13,0,48,476.22,384.738,64,6.1658797,5.952563,55.3128
155,TX,14,0,47,645.988,600.114,58,6.470781,6.3971195,51.8407
156,TX,23,0,35,6.365,187.302,51,1.8508142,5.2327223,3.2865677
157,TX,26,1,31,189.78,314.903,32,5.2458653,5.7522645,37.6038
158,UT,1,1,40,391.928,426.902,28,5.9710784,6.0565543,47.86439
159,UT,2,0,43,254.823,676.472,60,5.5405693,6.516891,27.36222
160,VA,1,1,27,30.302,284.702,40,3.4112136,5.651443,9.61956
161,VA,10,1,32,241.445,758.365,43,5.486642,6.6311646,24.149086
162,WA,1,1,45,625.926,1321.021,51,6.4392323,7.18616,32.1491
163,WA,3,0,50,354.142,684.206,49,5.869698,6.528259,34.106293
164,WA,5,0,24,13.534,476.46,52,2.605205,6.1663837,2.7620773
165,WA,6,0,32,37.62,288.168,50,3.6275358,5.6635437,11.547386
166,WA,8,1,29,12.601,300.048,44,2.533776,5.7039423,4.0303955
167,WV,1,0,25,15.22,103.154,49,2.7226105,4.636223,12.857552
168,WV,4,0,39,32.039,152.271,42,3.466954,5.025662,17.383217
169,WI,3,1,32,22.626,359.801,53,3.1190996,5.885551,5.91642
170,WI,5,0,36,197.46,1278.526,36,5.2855363,7.1534634,13.378174
171,WI,7,0,38,202.591,450.716,46,5.311189,6.1108375,31.010078
172,WI,8,1,30,14.421,227.823,47,2.6686854,5.428569,5.953087
