,id,male,age,yrsmarr,kids,relig,educ,occup,ratemarr,naffairs,affair,vryhap,hapavg,avgmarr,unhap,vryrel,smerel,slghtrel,notrel
34,138,0,32.0,15.0,1,4,12,3,2,3,1,0,0,0,1,0,1,0,0
35,139,0,22.0,1.5,0,2,18,5,5,0,0,1,0,0,0,0,0,0,1
36,147,0,27.0,7.0,0,4,16,1,5,0,0,1,0,0,0,0,1,0,0
37,151,1,42.0,15.0,1,5,20,6,4,0,0,0,1,0,0,1,0,0,0
38,153,1,27.0,4.0,1,3,16,5,5,0,0,1,0,0,0,0,0,1,0
39,154,0,37.0,15.0,1,4,14,4,2,1,1,0,0,0,1,0,1,0,0
40,155,0,27.0,4.0,1,3,17,5,4,0,0,0,1,0,0,0,0,1,0
41,159,0,42.0,15.0,1,3,17,1,4,7,1,0,1,0,0,0,0,1,0
42,162,1,42.0,15.0,1,4,20,6,3,0,0,0,0,1,0,0,1,0,0
43,163,0,22.0,1.5,0,3,16,5,5,0,0,1,0,0,0,0,0,1,0
44,165,1,27.0,0.417,0,4,17,6,4,0,0,0,1,0,0,0,1,0,0
45,168,0,42.0,15.0,1,5,14,5,4,0,0,0,1,0,0,1,0,0,0
46,170,1,32.0,4.0,1,1,18,6,4,0,0,0,1,0,0,0,0,0,0
47,172,0,22.0,1.5,0,4,16,5,3,0,0,0,0,1,0,0,1,0,0
48,174,0,42.0,15.0,1,5,9,4,1,12,1,0,0,0,0,1,0,0,0
49,176,1,37.0,10.0,1,2,20,6,2,12,1,0,0,0,1,0,0,0,1
50,181,0,32.0,15.0,1,3,14,1,2,12,1,0,0,0,1,0,0,1,0
51,182,1,27.0,4.0,0,1,18,6,5,3,1,1,0,0,0,0,0,0,0
52,184,0,42.0,15.0,1,3,12,1,4,0,0,0,1,0,0,0,0,1,0
53,186,1,37.0,10.0,1,2,18,7,3,7,1,0,0,1,0,0,0,0,1
54,187,0,22.0,4.0,0,4,17,5,5,0,0,1,0,0,0,0,1,0,0
55,189,0,27.0,4.0,0,3,17,5,5,7,1,1,0,0,0,0,0,1,0
56,192,1,22.0,1.5,1,1,14,3,5,0,0,1,0,0,0,0,0,0,0
57,194,0,22.0,0.75,0,3,16,1,5,0,0,1,0,0,0,0,0,1,0
58,204,1,42.0,15.0,1,4,16,5,5,1,1,1,0,0,0,0,1,0,0
59,210,1,32.0,10.0,1,5,20,6,5,0,0,1,0,0,0,1,0,0,0
60,215,0,47.0,15.0,1,5,14,4,5,1,1,1,0,0,0,1,0,0,0
61,217,1,52.0,15.0,1,5,18,6,3,0,0,0,0,1,0,1,0,0,0
62,220,0,22.0,0.417,0,5,14,1,4,0,0,0,1,0,0,1,0,0,0
63,224,0,27.0,4.0,1,2,18,6,1,0,0,0,0,0,0,0,0,0,1
64,227,0,32.0,7.0,1,5,17,5,3,0,0,0,0,1,0,1,0,0,0
65,228,1,22.0,4.0,0,3,16,5,5,0,0,1,0,0,0,0,0,1,0
66,232,0,27.0,4.0,1,3,18,5,4,7,1,0,1,0,0,0,0,1,0
67,233,0,27.0,7.0,1,5,14,1,4,1,1,0,1,0,0,1,0,0,0
68,239,0,27.0,7.0,1,4,18,6,5,0,0,1,0,0,0,0,1,0,0
69,241,0,42.0,15.0,1,2,18,5,4,0,0,0,1,0,0,0,0,0,1
70,245,1,27.0,1.5,1,4,16,3,5,0,0,1,0,0,0,0,1,0,0
71,249,1,42.0,15.0,1,2,20,6,4,0,0,0,1,0,0,0,0,0,1
72,252,1,27.0,1.5,1,3,17,5,4,12,1,0,1,0,0,0,0,1,0
73,253,0,27.0,7.0,1,4,14,6,2,12,1,0,0,0,1,0,1,0,0
74,262,0,22.0,0.75,0,5,14,3,5,0,0,1,0,0,0,1,0,0,0
75,265,1,32.0,7.0,1,2,20,6,4,0,0,0,1,0,0,0,0,0,1
76,267,1,27.0,4.0,1,5,20,6,5,0,0,1,0,0,0,1,0,0,0
77,269,1,27.0,10.0,1,4,20,6,4,0,0,0,1,0,0,0,1,0,0
78,271,1,22.0,4.0,0,1,18,5,5,0,0,1,0,0,0,0,0,0,0
79,274,0,42.0,15.0,1,4,16,5,4,3,1,0,1,0,0,0,1,0,0
80,275,0,27.0,10.0,1,4,12,7,3,7,1,0,0,1,0,0,1,0,0
81,277,0,37.0,15.0,1,4,14,3,1,0,0,0,0,0,0,0,1,0,0
82,287,1,27.0,1.5,0,2,18,5,2,1,1,0,0,0,1,0,0,0,1
83,288,1,32.0,4.0,0,4,20,6,4,1,1,0,1,0,0,0,1,0,0
84,290,1,22.0,1.5,1,5,16,4,4,0,0,0,1,0,0,1,0,0,0
85,292,0,37.0,15.0,1,4,17,1,5,0,0,1,0,0,0,0,1,0,0
86,293,0,27.0,0.75,0,4,17,5,4,0,0,0,1,0,0,0,1,0,0
87,295,1,32.0,10.0,1,4,20,6,4,0,0,0,1,0,0,0,1,0,0
88,299,0,47.0,15.0,1,5,14,7,2,0,0,0,0,0,1,1,0,0,0
89,320,1,37.0,10.0,1,3,20,6,4,0,0,0,1,0,0,0,0,1,0
90,321,0,22.0,0.75,0,2,16,5,5,0,0,1,0,0,0,0,0,0,1
91,324,1,27.0,4.0,0,2,18,4,5,0,0,1,0,0,0,0,0,0,1
92,325,0,27.0,7.0,1,3,14,1,3,1,1,0,0,1,0,0,0,1,0
93,328,0,32.0,10.0,1,4,14,1,4,3,1,0,1,0,0,0,1,0,0
94,334,1,32.0,7.0,0,4,20,6,4,0,0,0,1,0,0,0,1,0,0
95,344,1,27.0,4.0,1,2,18,7,2,3,1,0,0,0,1,0,0,0,1
96,351,1,42.0,15.0,1,2,17,3,5,0,0,1,0,0,0,0,0,0,1
97,353,0,17.5,0.75,0,5,14,4,5,1,1,1,0,0,0,1,0,0,0
98,354,0,32.0,10.0,1,4,18,1,5,1,1,1,0,0,0,0,1,0,0
99,355,1,37.0,10.0,1,4,20,6,4,0,0,0,1,0,0,0,1,0,0
100,361,0,47.0,15.0,1,3,17,6,5,0,0,1,0,0,0,0,0,1,0
101,362,0,22.0,1.5,0,5,16,5,5,0,0,1,0,0,0,1,0,0,0
102,366,0,27.0,1.5,0,2,16,6,4,0,0,0,1,0,0,0,0,0,1
103,367,0,32.0,7.0,1,2,17,6,4,7,1,0,1,0,0,0,0,0,1
104,369,1,37.0,15.0,1,2,20,6,4,7,1,0,1,0,0,0,0,0,1
105,370,0,27.0,4.0,0,3,17,5,5,0,0,1,0,0,0,0,0,1,0
106,374,0,32.0,10.0,1,5,14,4,5,0,0,1,0,0,0,1,0,0,0
107,378,0,22.0,0.125,0,2,12,5,5,0,0,1,0,0,0,0,0,0,1
108,381,1,47.0,15.0,1,4,14,4,3,0,0,0,0,1,0,0,1,0,0
109,382,1,32.0,15.0,1,1,14,5,5,0,0,1,0,0,0,0,0,0,0
110,383,1,27.0,7.0,1,4,16,5,5,0,0,1,0,0,0,0,1,0,0
111,384,0,22.0,1.5,1,3,16,5,5,0,0,1,0,0,0,0,0,1,0
112,390,0,37.0,10.0,0,1,20,5,3,7,1,0,0,1,0,0,0,0,0
113,392,0,32.0,10.0,1,2,16,5,5,12,1,1,0,0,0,0,0,0,1
114,400,1,27.0,4.0,1,3,17,6,5,0,0,1,0,0,0,0,0,1,0
115,403,0,22.0,1.5,0,3,16,5,5,0,0,1,0,0,0,0,0,1,0
116,409,1,57.0,15.0,1,2,14,7,2,0,0,0,0,0,1,0,0,0,1
117,412,1,17.5,1.5,1,3,18,6,5,0,0,1,0,0,0,0,0,1,0
118,413,1,57.0,15.0,1,4,20,6,5,0,0,1,0,0,0,0,1,0,0
119,416,0,22.0,0.75,0,2,16,3,4,0,0,0,1,0,0,0,0,0,1
120,418,1,42.0,4.0,0,4,17,3,3,0,0,0,0,1,0,0,1,0,0
121,422,0,22.0,1.5,1,4,12,1,5,0,0,1,0,0,0,0,1,0,0
122,423,1,52.0,15.0,1,2,20,6,4,7,1,0,1,0,0,0,0,0,1
123,432,0,42.0,15.0,1,1,12,1,3,7,1,0,0,1,0,0,0,0,0
124,435,0,22.0,0.417,0,1,17,6,4,0,0,0,1,0,0,0,0,0,0
125,436,1,52.0,15.0,1,2,20,6,3,1,1,0,0,1,0,0,0,0,1
126,439,0,32.0,15.0,1,4,17,5,5,0,0,1,0,0,0,0,1,0,0
127,445,0,27.0,1.5,0,3,18,5,2,0,0,0,0,0,1,0,0,1,0
128,447,0,22.0,1.5,1,3,14,1,5,0,0,1,0,0,0,0,0,1,0
129,448,0,37.0,15.0,1,3,14,1,4,0,0,0,1,0,0,0,0,1,0
130,449,0,32.0,15.0,1,4,14,3,4,0,0,0,1,0,0,0,1,0,0
131,478,1,37.0,10.0,1,2,14,5,3,0,0,0,0,1,0,0,0,0,1
132,482,1,37.0,10.0,1,4,16,5,4,0,0,0,1,0,0,0,1,0,0
133,483,1,37.0,15.0,1,3,18,6,5,2,1,1,0,0,0,0,0,1,0
134,486,1,57.0,15.0,1,5,20,5,3,0,0,0,0,1,0,1,0,0,0
135,489,1,27.0,0.417,0,1,16,3,4,0,0,0,1,0,0,0,0,0,0
136,490,0,42.0,15.0,1,5,14,1,5,0,0,1,0,0,0,1,0,0,0
137,491,1,57.0,15.0,1,3,16,6,1,0,0,0,0,0,0,0,0,1,0
138,492,1,37.0,10.0,1,1,16,6,4,0,0,0,1,0,0,0,0,0,0
139,503,1,37.0,15.0,1,3,17,5,5,0,0,1,0,0,0,0,0,1,0
140,508,1,37.0,15.0,1,4,20,6,5,0,0,1,0,0,0,0,1,0,0
141,509,0,27.0,10.0,1,5,14,1,5,0,0,1,0,0,0,1,0,0,0
142,512,1,37.0,10.0,1,2,18,6,4,0,0,0,1,0,0,0,0,0,1
143,513,0,22.0,4.0,0,3,12,3,4,12,1,0,1,0,0,0,0,1,0
144,515,0,22.0,0.125,0,4,12,4,5,0,0,1,0,0,0,0,1,0,0
145,516,1,27.0,7.0,1,1,18,6,2,12,1,0,0,0,1,0,0,0,0
146,517,1,57.0,15.0,1,5,20,6,5,0,0,1,0,0,0,1,0,0,0
147,518,1,27.0,4.0,1,3,18,5,5,1,1,1,0,0,0,0,0,1,0
148,520,1,47.0,15.0,1,4,17,6,5,12,1,1,0,0,0,0,1,0,0
149,526,0,42.0,15.0,1,4,12,1,1,12,1,0,0,0,0,0,1,0,0
150,528,1,27.0,4.0,0,3,14,3,4,7,1,0,1,0,0,0,0,1,0
151,532,0,37.0,15.0,1,4,18,6,4,0,0,0,1,0,0,0,1,0,0
152,533,1,22.0,4.0,1,4,14,6,4,0,0,0,1,0,0,0,1,0,0
153,535,1,27.0,7.0,1,4,18,5,4,0,0,0,1,0,0,0,1,0,0
154,537,1,57.0,15.0,1,4,20,5,4,0,0,0,1,0,0,0,1,0,0
155,538,1,32.0,15.0,1,3,14,6,3,0,0,0,0,1,0,0,0,1,0
156,543,0,22.0,1.5,0,2,14,5,4,0,0,0,1,0,0,0,0,0,1
157,547,0,32.0,7.0,1,4,17,1,5,0,0,1,0,0,0,0,1,0,0
158,550,0,37.0,15.0,1,4,17,6,5,0,0,1,0,0,0,0,1,0,0
159,553,0,32.0,7.0,1,4,18,4,5,7,1,1,0,0,0,0,1,0,0
160,558,0,32.0,1.5,0,5,18,5,5,0,0,1,0,0,0,1,0,0,0
161,571,1,42.0,10.0,1,5,20,7,4,0,0,0,1,0,0,1,0,0,0
162,576,1,32.0,0.417,1,3,12,3,4,1,1,0,1,0,0,0,0,1,0
163,578,0,27.0,7.0,0,3,16,5,4,0,0,0,1,0,0,0,0,1,0
164,583,1,37.0,15.0,0,4,20,6,5,0,0,1,0,0,0,0,1,0,0
165,586,1,37.0,15.0,1,4,14,3,2,0,0,0,0,0,1,0,1,0,0
166,594,1,32.0,10.0,0,5,18,6,4,0,0,0,1,0,0,1,0,0,0
167,597,0,22.0,0.75,0,4,16,1,5,0,0,1,0,0,0,0,1,0,0
168,602,0,27.0,7.0,1,4,12,2,4,0,0,0,1,0,0,0,1,0,0
169,603,0,27.0,7.0,1,2,16,2,5,0,0,1,0,0,0,0,0,0,1
170,604,0,42.0,15.0,1,5,18,5,4,0,0,0,1,0,0,1,0,0,0
171,611,1,47.0,15.0,1,5,16,5,4,3,1,0,1,0,0,1,0,0,0
172,612,1,42.0,15.0,1,4,17,5,3,0,0,0,0,1,0,0,1,0,0
173,613,0,27.0,7.0,1,2,16,1,2,0,0,0,0,0,1,0,0,0,1
174,621,0,22.0,1.5,0,3,16,5,5,0,0,1,0,0,0,0,0,1,0
175,625,1,37.0,15.0,1,2,20,5,4,12,1,0,1,0,0,0,0,0,1
176,627,1,37.0,15.0,1,5,20,6,5,0,0,1,0,0,0,1,0,0,0
177,630,0,22.0,0.125,0,2,14,4,5,0,0,1,0,0,0,0,0,0,1
178,631,1,27.0,1.5,0,4,16,5,5,0,0,1,0,0,0,0,1,0,0
179,632,1,32.0,1.5,0,2,18,6,5,0,0,1,0,0,0,0,0,0,1
180,635,1,22.0,4.0,1,2,17,6,4,7,1,0,1,0,0,0,0,0,1
181,639,1,27.0,1.5,0,2,17,6,5,0,0,1,0,0,0,0,0,0,1
182,645,0,27.0,10.0,1,4,16,1,3,0,0,0,0,1,0,0,1,0,0
183,646,1,27.0,4.0,0,2,14,4,5,1,1,1,0,0,0,0,0,0,1
184,647,1,42.0,15.0,1,4,18,6,5,0,0,1,0,0,0,0,1,0,0
185,648,0,27.0,1.5,0,2,16,6,5,0,0,1,0,0,0,0,0,0,1
186,651,1,27.0,4.0,0,2,18,6,3,0,0,0,0,1,0,0,0,0,1
187,655,0,32.0,10.0,1,3,14,5,3,0,0,0,0,1,0,0,0,1,0
188,657,0,52.0,15.0,1,5,16,1,3,7,1,0,0,1,0,1,0,0,0
189,659,1,27.0,4.0,0,3,14,3,3,1,1,0,0,1,0,0,0,1,0
190,666,0,27.0,10.0,1,4,16,1,4,1,1,0,1,0,0,0,1,0,0
191,667,0,32.0,15.0,1,3,18,5,4,0,0,0,1,0,0,0,0,1,0
192,670,0,22.0,0.75,0,2,18,6,5,0,0,1,0,0,0,0,0,0,1
193,671,0,37.0,15.0,1,2,16,1,4,0,0,0,1,0,0,0,0,0,1
194,673,1,27.0,4.0,1,4,20,5,5,0,0,1,0,0,0,0,1,0,0
195,679,1,32.0,7.0,1,3,14,7,4,1,1,0,1,0,0,0,0,1,0
196,701,1,27.0,4.0,0,1,20,5,4,0,0,0,1,0,0,0,0,0,0
197,705,0,27.0,10.0,1,2,12,1,4,0,0,0,1,0,0,0,0,0,1
198,706,0,32.0,15.0,1,5,18,6,4,0,0,0,1,0,0,1,0,0,0
199,709,1,27.0,7.0,1,5,12,5,3,0,0,0,0,1,0,1,0,0,0
200,717,1,52.0,15.0,1,2,18,5,4,0,0,0,1,0,0,0,0,0,1
201,719,1,27.0,4.0,0,3,20,6,3,0,0,0,0,1,0,0,0,1,0
202,723,1,37.0,4.0,1,1,18,5,4,0,0,0,1,0,0,0,0,0,0
203,724,1,27.0,4.0,1,4,14,5,4,0,0,0,1,0,0,0,1,0,0
204,726,0,52.0,15.0,1,5,12,1,3,0,0,0,0,1,0,1,0,0,0
205,729,1,32.0,7.0,1,2,18,4,1,7,1,0,0,0,0,0,0,0,1
206,734,0,57.0,15.0,1,4,16,6,4,0,0,0,1,0,0,0,1,0,0
207,735,1,27.0,7.0,1,1,16,5,4,0,0,0,1,0,0,0,0,0,0
208,736,1,37.0,7.0,1,4,20,6,3,0,0,0,0,1,0,0,1,0,0
209,737,1,22.0,0.75,0,2,14,4,3,0,0,0,0,1,0,0,0,0,1
210,739,1,32.0,4.0,1,2,18,5,3,0,0,0,0,1,0,0,0,0,1
211,743,1,37.0,15.0,1,4,20,6,3,0,0,0,0,1,0,0,1,0,0
212,745,1,22.0,0.75,1,2,14,4,3,0,0,0,0,1,0,0,0,0,1
213,747,1,42.0,15.0,1,4,20,6,3,0,0,0,0,1,0,0,1,0,0
214,751,0,52.0,15.0,1,5,17,1,1,0,0,0,0,0,0,1,0,0,0
215,752,0,37.0,15.0,1,4,14,1,2,0,0,0,0,0,1,0,1,0,0
216,754,1,27.0,7.0,1,4,14,5,3,0,0,0,0,1,0,0,1,0,0
217,755,1,22.0,1.5,0,1,14,3,2,3,1,0,0,0,1,0,0,0,0
218,758,1,22.0,4.0,1,3,18,6,4,7,1,0,1,0,0,0,0,1,0
219,760,1,32.0,4.0,1,2,16,5,5,0,0,1,0,0,0,0,0,0,1
220,763,0,27.0,4.0,1,2,18,6,5,0,0,1,0,0,0,0,0,0,1
221,770,1,42.0,15.0,1,4,20,6,4,7,1,0,1,0,0,0,1,0,0
222,774,0,27.0,4.0,1,2,18,5,5,0,0,1,0,0,0,0,0,0,1
223,776,1,37.0,15.0,1,5,18,6,5,0,0,1,0,0,0,1,0,0,0
224,779,0,47.0,15.0,1,5,12,5,4,0,0,0,1,0,0,1,0,0,0
225,784,0,32.0,10.0,1,3,17,1,4,0,0,0,1,0,0,0,0,1,0
226,786,0,57.0,15.0,1,1,18,5,4,2,1,0,1,0,0,0,0,0,0
227,788,0,27.0,1.5,1,4,17,1,2,0,0,0,0,0,1,0,1,0,0
228,794,0,57.0,15.0,1,2,18,5,2,0,0,0,0,0,1,0,0,0,1
229,795,0,22.0,1.5,0,4,14,5,4,0,0,0,1,0,0,0,1,0,0
230,797,0,32.0,4.0,1,3,18,5,2,7,1,0,0,0,1,0,0,1,0
231,798,1,42.0,15.0,1,3,14,3,4,0,0,0,1,0,0,0,0,1,0
232,800,1,57.0,15.0,1,4,9,2,2,0,0,0,0,0,1,0,1,0,0
233,803,1,57.0,15.0,1,4,20,6,5,0,0,1,0,0,0,0,1,0,0
234,807,0,22.0,0.125,0,4,14,4,5,0,0,1,0,0,0,0,1,0,0
235,811,1,27.0,4.0,1,1,16,4,4,1,1,0,1,0,0,0,0,0,0
236,812,0,32.0,10.0,1,4,14,1,5,0,0,1,0,0,0,0,1,0,0
237,820,0,42.0,15.0,1,3,18,5,4,0,0,0,1,0,0,0,0,1,0
238,823,0,27.0,1.5,0,2,18,6,5,0,0,1,0,0,0,0,0,0,1
239,830,1,32.0,0.125,1,2,18,5,2,0,0,0,0,0,1,0,0,0,1
240,834,1,32.0,7.0,1,4,16,1,4,7,1,0,1,0,0,0,1,0,0
241,843,0,27.0,4.0,0,3,16,5,4,0,0,0,1,0,0,0,0,1,0
242,848,0,27.0,10.0,1,2,16,1,4,0,0,0,1,0,0,0,0,0,1
243,851,0,32.0,7.0,1,4,16,1,3,0,0,0,0,1,0,0,1,0,0
244,854,0,37.0,15.0,1,4,14,5,4,0,0,0,1,0,0,0,1,0,0
245,856,0,42.0,15.0,1,5,17,6,2,0,0,0,0,0,1,1,0,0,0
246,857,1,32.0,1.5,1,4,14,6,5,0,0,1,0,0,0,0,1,0,0
247,858,1,57.0,15.0,1,1,17,4,4,2,1,0,1,0,0,0,0,0,0
248,859,0,32.0,4.0,1,3,17,5,3,0,0,0,0,1,0,0,0,1,0
249,863,0,37.0,7.0,0,4,18,5,5,0,0,1,0,0,0,0,1,0,0
250,865,0,22.0,0.417,1,3,14,3,5,0,0,1,0,0,0,0,0,1,0
251,867,0,27.0,7.0,1,4,14,1,5,0,0,1,0,0,0,0,1,0,0
252,870,1,27.0,0.75,0,3,16,5,5,0,0,1,0,0,0,0,0,1,0
253,873,1,27.0,4.0,1,2,20,5,5,0,0,1,0,0,0,0,0,0,1
254,875,1,32.0,10.0,1,4,16,4,5,0,0,1,0,0,0,0,1,0,0
255,876,1,32.0,15.0,1,1,14,5,5,0,0,1,0,0,0,0,0,0,0
256,877,1,22.0,0.75,0,3,17,4,5,0,0,1,0,0,0,0,0,1,0
257,880,0,27.0,7.0,1,4,17,1,4,0,0,0,1,0,0,0,1,0,0
258,885,0,42.0,15.0,1,4,14,5,2,7,1,0,0,0,1,0,1,0,0
259,893,1,37.0,10.0,1,1,18,5,3,7,1,0,0,1,0,0,0,0,0
260,903,1,27.0,0.417,1,4,20,5,4,0,0,0,1,0,0,0,1,0,0
261,904,1,37.0,15.0,1,4,20,5,4,0,0,0,1,0,0,0,1,0,0
262,905,0,37.0,15.0,1,2,14,1,3,0,0,0,0,1,0,0,0,0,1
263,908,1,22.0,4.0,1,1,18,5,4,0,0,0,1,0,0,0,0,0,0
264,909,1,37.0,15.0,1,4,17,5,3,0,0,0,0,1,0,0,1,0,0
265,910,0,22.0,1.5,0,2,14,4,5,0,0,1,0,0,0,0,0,0,1
266,912,1,52.0,15.0,1,4,14,6,2,0,0,0,0,0,1,0,1,0,0
267,914,0,22.0,1.5,0,4,17,5,5,0,0,1,0,0,0,0,1,0,0
268,915,1,32.0,4.0,1,5,14,3,5,0,0,1,0,0,0,1,0,0,0
269,916,1,32.0,4.0,1,2,14,3,5,0,0,1,0,0,0,0,0,0,1
270,920,0,22.0,1.5,0,3,16,6,5,0,0,1,0,0,0,0,0,1,0
271,921,1,27.0,0.75,0,2,18,3,3,0,0,0,0,1,0,0,0,0,1
272,925,0,22.0,7.0,1,2,14,5,2,0,0,0,0,0,1,0,0,0,1
273,926,0,27.0,0.75,0,2,17,5,3,0,0,0,0,1,0,0,0,0,1
274,927,1,42.0,15.0,1,3,17,6,1,3,1,0,0,0,0,0,0,1,0
275,928,0,52.0,15.0,1,3,14,4,4,1,1,0,1,0,0,0,0,1,0
276,929,0,37.0,15.0,1,4,12,1,2,0,0,0,0,0,1,0,1,0,0
277,931,0,22.0,1.5,0,1,14,1,5,0,0,1,0,0,0,0,0,0,0
278,933,0,27.0,7.0,1,3,17,5,3,2,1,0,0,1,0,0,0,1,0
279,945,0,37.0,10.0,0,2,12,4,4,0,0,0,1,0,0,0,0,0,1
280,947,0,37.0,15.0,1,4,18,5,3,0,0,0,0,1,0,0,1,0,0
281,949,0,42.0,15.0,1,3,12,3,3,0,0,0,0,1,0,0,0,1,0
282,950,1,22.0,4.0,0,2,18,5,5,0,0,1,0,0,0,0,0,0,1
283,951,1,32.0,7.0,1,2,12,4,2,12,1,0,0,0,1,0,0,0,1
284,961,1,52.0,7.0,1,2,20,6,2,0,0,0,0,0,1,0,0,0,1
285,965,1,27.0,0.75,0,2,17,5,5,0,0,1,0,0,0,0,0,0,1
286,966,0,27.0,4.0,0,2,17,4,5,0,0,1,0,0,0,0,0,0,1
287,967,1,42.0,1.5,0,5,20,6,5,0,0,1,0,0,0,1,0,0,0
288,968,1,22.0,4.0,0,4,14,2,5,1,1,1,0,0,0,0,1,0,0
289,972,1,27.0,7.0,1,3,18,6,4,3,1,0,1,0,0,0,0,1,0
290,975,0,37.0,15.0,1,1,18,5,5,12,1,1,0,0,0,0,0,0,0
291,977,0,32.0,15.0,1,3,17,1,3,7,1,0,0,1,0,0,0,1,0
292,981,0,27.0,7.0,0,2,17,5,5,7,1,1,0,0,0,0,0,0,1
293,986,0,32.0,7.0,1,3,17,5,3,1,1,0,0,1,0,0,0,1,0
294,987,1,22.0,1.5,0,4,17,6,5,0,0,1,0,0,0,0,1,0,0
295,990,1,22.0,4.0,0,4,17,5,3,0,0,0,0,1,0,0,1,0,0
296,992,0,22.0,4.0,1,1,14,5,4,0,0,0,1,0,0,0,0,0,0
297,995,1,37.0,15.0,1,5,20,4,5,0,0,1,0,0,0,1,0,0,0
298,1002,1,32.0,1.5,1,2,14,2,4,1,1,0,1,0,0,0,0,0,1
299,1007,0,42.0,15.0,1,4,14,1,2,12,1,0,0,0,1,0,1,0,0
300,1009,0,37.0,10.0,1,3,16,6,3,0,0,0,0,1,0,0,0,1,0
301,1011,1,32.0,10.0,1,3,14,5,4,7,1,0,1,0,0,0,0,1,0
302,1021,1,42.0,15.0,1,4,17,6,5,0,0,1,0,0,0,0,1,0,0
303,1026,0,47.0,15.0,1,4,17,5,5,0,0,1,0,0,0,0,1,0,0
304,1027,1,22.0,1.5,0,4,16,5,4,0,0,0,1,0,0,0,1,0,0
305,1030,0,32.0,10.0,1,3,12,1,4,0,0,0,1,0,0,0,0,1,0
306,1031,0,22.0,7.0,1,1,14,3,5,0,0,1,0,0,0,0,0,0,0
307,1034,0,32.0,10.0,1,4,17,5,4,0,0,0,1,0,0,0,1,0,0
308,1035,1,37.0,4.0,1,1,20,6,3,7,1,0,0,1,0,0,0,0,0
309,1037,1,27.0,1.5,1,2,16,2,4,0,0,0,1,0,0,0,0,0,1
310,1038,1,37.0,15.0,1,4,14,5,5,0,0,1,0,0,0,0,1,0,0
311,1039,1,42.0,4.0,1,3,14,4,5,0,0,1,0,0,0,0,0,1,0
312,1045,0,37.0,15.0,1,5,14,5,4,0,0,0,1,0,0,1,0,0,0
313,1046,0,32.0,7.0,1,4,17,5,5,0,0,1,0,0,0,0,1,0,0
