,salary,teamsal,nl,years,games,atbats,runs,hits,doubles,triples,hruns,rbis,bavg,bb,so,sbases,fldperc,frstbase,scndbase,shrtstop,thrdbase,outfield,catcher,yrsallst,hispan,black,whitepop,blackpop,hisppop,pcinc,gamesyr,hrunsyr,atbatsyr,allstar,slugavg,rbisyr,sbasesyr,runsyr,percwhte,percblck,perchisp,blckpb,hispph,whtepw,blckph,hisppb,lsalary
10,212500.0,38407380.0,1,2,169,447,41,111,18,1,14,44,248.0,47,109,3,993,0,0,0,0,0,1,0,0,0,5772110.0,1547725.0,893422.0,18840,84.5,7.0,223.5,0.0,38.70246,22.0,1.5,20.5,70.27797,18.844229,10.877804,0.0,0.0,70.27797,0.0,0.0,12.266697
11,180000.0,38407380.0,1,2,87,278,25,70,14,3,1,21,252.0,14,20,2,977,0,0,1,0,0,0,0,1,0,5772110.0,1547725.0,893422.0,18840,43.5,0.5,139.0,0.0,33.453236,10.5,1.0,12.5,70.27797,18.844229,10.877804,0.0,10.877804,0.0,0.0,18.844229,12.100712
12,3400000.0,18297546.0,1,7,789,2872,312,758,124,15,85,375,264.0,139,516,62,980,0,0,0,0,0,1,4,1,0,2438598.0,591440.0,1061846.0,15682,112.71429,12.142858,410.2857,57.142857,40.633705,53.57143,8.857142,44.57143,59.59597,14.453978,25.950052,0.0,25.950052,0.0,0.0,14.453978,15.039286
13,2000000.0,18297546.0,1,2,45,66,7,12,1,0,1,4,182.0,10,22,0,1000,1,0,0,0,0,0,0,1,0,2438598.0,591440.0,1061846.0,15682,22.5,0.5,33.0,0.0,24.242424,2.0,0.0,3.5,59.59597,14.453978,25.950052,0.0,25.950052,0.0,0.0,14.453978,14.508657
14,1250000.0,18297546.0,1,4,442,1617,230,419,69,22,35,209,259.0,122,383,46,973,0,0,0,0,1,0,0,1,0,2438598.0,591440.0,1061846.0,15682,110.5,8.75,404.25,0.0,39.39394,52.25,11.5,57.5,59.59597,14.453978,25.950052,0.0,25.950052,0.0,0.0,14.453978,14.038654
15,825000.0,18297546.0,1,6,528,1608,178,395,60,7,8,130,246.0,159,203,32,970,0,0,1,0,0,0,2,0,0,2438598.0,591440.0,1061846.0,15682,88.0,1.3333334,268.0,33.333332,30.659204,21.666666,5.3333335,29.666666,59.59597,14.453978,25.950052,0.0,0.0,59.59597,0.0,0.0,13.623138
16,750000.0,18297546.0,1,7,701,2088,275,610,110,11,21,254,292.0,347,248,5,989,0,0,0,1,0,0,0,0,0,2438598.0,591440.0,1061846.0,15682,100.14286,3.0,298.2857,0.0,38.55364,36.285713,0.71428573,39.285713,59.59597,14.453978,25.950052,0.0,0.0,59.59597,0.0,0.0,13.527828
17,200000.0,18297546.0,1,5,478,1348,155,351,69,9,26,123,260.0,112,218,59,972,0,0,0,0,1,0,0,0,1,2438598.0,591440.0,1061846.0,15682,95.6,5.2,269.6,0.0,38.27893,24.6,11.8,31.0,59.59597,14.453978,25.950052,14.453978,0.0,0.0,25.950052,0.0,12.206073
18,190000.0,18297546.0,1,2,168,421,42,114,23,2,3,42,271.0,67,84,9,957,0,1,0,0,0,0,0,0,0,2438598.0,591440.0,1061846.0,15682,84.0,1.5,210.5,0.0,35.629456,21.0,4.5,21.0,59.59597,14.453978,25.950052,0.0,0.0,59.59597,0.0,0.0,12.154779
19,138000.0,18297546.0,1,3,109,330,19,71,10,1,8,33,215.0,23,61,0,987,0,0,0,0,0,1,0,0,0,2438598.0,591440.0,1061846.0,15682,36.333332,2.6666667,110.0,0.0,32.424244,11.0,0.0,6.3333335,59.59597,14.453978,25.950052,0.0,0.0,59.59597,0.0,0.0,11.835009
20,136000.0,18297546.0,1,2,86,197,19,44,8,1,4,27,223.0,24,62,0,1000,0,0,0,0,1,0,0,0,0,2438598.0,591440.0,1061846.0,15682,43.0,2.0,98.5,0.0,33.502537,13.5,0.0,9.5,59.59597,14.453978,25.950052,0.0,0.0,59.59597,0.0,0.0,11.82041
21,125000.0,18297546.0,1,2,37,111,13,28,7,2,0,11,252.0,10,28,0,992,0,0,0,0,1,0,0,0,0,2438598.0,591440.0,1061846.0,15682,18.5,0.0,55.5,0.0,35.135136,5.5,0.0,6.5,59.59597,14.453978,25.950052,0.0,0.0,59.59597,0.0,0.0,11.736069
22,123000.0,18297546.0,1,1,32,99,14,29,6,0,0,7,293.0,11,13,0,967,0,0,0,0,1,0,0,0,1,2438598.0,591440.0,1061846.0,15682,32.0,0.0,99.0,0.0,35.353535,7.0,0.0,14.0,59.59597,14.453978,25.950052,14.453978,0.0,0.0,25.950052,0.0,11.719939
23,123000.0,18297546.0,1,3,38,77,9,16,3,0,0,4,208.0,9,10,12,1000,0,0,0,0,1,0,0,0,1,2438598.0,591440.0,1061846.0,15682,12.666667,0.0,25.666666,0.0,24.675325,1.3333334,4.0,3.0,59.59597,14.453978,25.950052,14.453978,0.0,0.0,25.950052,0.0,11.719939
24,3000000.0,14671833.0,1,4,433,1481,207,409,79,9,58,212,276.0,137,324,54,990,0,0,0,0,1,0,1,0,0,,38645.0,,17889,108.25,14.5,370.25,25.0,45.91492,53.0,13.5,51.75,,,,,,,,,14.914123
25,1537500.0,14671833.0,1,3,415,1592,234,433,62,18,21,152,272.0,215,355,144,972,0,1,0,0,0,0,0,0,1,,38645.0,,17889,138.33333,7.0,530.6667,0.0,37.311558,50.666668,48.0,78.0,,,,,,,,,14.245668
26,1500000.0,14671833.0,1,4,431,1573,230,422,78,17,24,136,268.0,115,231,177,983,0,0,0,0,1,0,0,0,0,,38645.0,,17889,107.75,6.0,393.25,0.0,38.525112,34.0,44.25,57.5,,,,,,,,,14.220976
27,210000.0,14671833.0,1,2,131,361,57,100,28,3,9,56,277.0,25,49,16,979,0,0,0,0,1,0,0,0,1,,38645.0,,17889,65.5,4.5,180.5,0.0,44.59834,28.0,8.0,28.5,,,,,,,,,12.254863
28,170000.0,14671833.0,1,4,145,389,22,92,19,2,4,41,237.0,21,49,0,994,0,0,0,0,0,1,0,0,0,,38645.0,,17889,36.25,1.0,97.25,0.0,32.647816,10.25,0.0,5.5,,,,,,,,,12.043553
29,142500.0,14671833.0,1,2,126,274,25,64,12,3,5,28,234.0,25,54,3,987,0,0,0,0,1,0,0,0,0,,38645.0,,17889,63.0,2.5,137.0,0.0,35.40146,14.0,1.5,12.5,,,,,,,,,11.867097
30,126500.0,14671833.0,1,1,45,126,17,38,4,1,2,8,302.0,9,31,0,947,0,0,1,0,0,0,0,1,0,,38645.0,,17889,45.0,2.0,126.0,0.0,39.68254,8.0,0.0,17.0,,,,,,,,,11.747997
31,117500.0,14671833.0,1,2,34,83,5,15,2,0,1,4,181.0,8,26,0,957,0,0,0,0,1,0,0,0,0,,38645.0,,17889,17.0,0.5,41.5,0.0,24.096386,2.0,0.0,2.5,,,,,,,,,11.674193
32,115000.0,14671833.0,1,1,37,74,7,14,5,0,3,14,189.0,9,18,1,986,0,0,0,0,0,1,0,0,0,,38645.0,,17889,37.0,3.0,74.0,0.0,37.837837,14.0,1.0,7.0,,,,,,,,,11.652687
33,6200000.0,38553668.0,1,7,1046,3732,572,1040,224,37,135,596,279.0,463,570,32,958,0,0,0,0,1,0,4,0,1,12699119.0,3289465.0,2777951.0,19683,149.42857,19.285715,533.1429,57.142857,46.70418,85.14286,4.571429,81.71429,67.66896,17.528357,14.802685,17.528357,0.0,0.0,14.802685,0.0,15.640059
34,3375000.0,38553668.0,1,16,2444,9124,1343,2646,462,32,414,1562,290.0,1147,1224,90,993,1,0,0,0,0,0,8,0,1,12699119.0,3289465.0,2777951.0,19683,152.75,25.875,570.25,50.0,48.377903,97.625,5.625,83.9375,67.66896,17.528357,14.802685,17.528357,0.0,0.0,14.802685,0.0,15.031906
35,2312500.0,38553668.0,1,8,1021,4042,648,1071,124,62,18,255,265.0,380,716,610,974,0,0,0,0,1,0,2,0,1,12699119.0,3289465.0,2777951.0,19683,127.625,2.25,505.25,25.0,33.968334,31.875,76.25,81.0,67.66896,17.528357,14.802685,17.528357,0.0,0.0,14.802685,0.0,14.65384
36,2300000.0,38553668.0,1,10,1328,5132,675,1465,251,70,48,479,285.0,396,480,181,980,0,0,1,0,0,0,4,1,0,12699119.0,3289465.0,2777951.0,19683,132.8,4.8,513.2,40.0,38.97116,47.9,18.1,67.5,67.66896,17.528357,14.802685,0.0,14.802685,0.0,0.0,17.528357,14.648419
37,2150000.0,38553668.0,1,11,1279,4309,672,1092,225,17,204,672,252.99998,576,1891,213,939,0,0,0,1,0,0,2,0,0,12699119.0,3289465.0,2777951.0,19683,116.27273,18.545454,391.72726,18.181818,45.555813,61.090908,19.363636,61.090908,67.66896,17.528357,14.802685,0.0,0.0,67.66896,0.0,0.0,14.580978
38,650000.0,38553668.0,1,9,930,2935,384,817,131,29,37,265,278.0,221,266,82,985,0,0,0,0,1,0,0,0,0,12699119.0,3289465.0,2777951.0,19683,103.333336,4.111111,326.1111,0.0,38.057922,29.444445,9.111111,42.666668,67.66896,17.528357,14.802685,0.0,0.0,67.66896,0.0,0.0,13.3847275
39,635000.0,38553668.0,1,10,411,1004,133,251,30,6,12,96,250.0,95,183,60,959,0,0,0,1,0,0,0,0,1,12699119.0,3289465.0,2777951.0,19683,41.1,1.2,100.4,0.0,32.768925,9.6,6.0,13.3,67.66896,17.528357,14.802685,17.528357,0.0,0.0,14.802685,0.0,13.361381
40,500000.0,38553668.0,1,7,339,889,87,182,48,3,12,92,205.0,87,11,0,988,0,0,0,0,0,1,0,0,0,12699119.0,3289465.0,2777951.0,19683,48.42857,1.7142857,127.0,0.0,30.596176,13.142858,0.0,12.428572,67.66896,17.528357,14.802685,0.0,0.0,67.66896,0.0,0.0,13.122363
41,475000.0,38553668.0,1,6,533,1555,199,422,70,8,8,136,271.0,127,195,19,993,0,0,0,0,1,0,0,0,0,12699119.0,3289465.0,2777951.0,19683,88.833336,1.3333334,259.16666,0.0,34.21222,22.666666,3.1666667,33.166668,67.66896,17.528357,14.802685,0.0,0.0,67.66896,0.0,0.0,13.07107
42,195000.0,38553668.0,1,3,180,485,45,97,23,1,8,41,200.0,31,108,3,995,0,0,0,0,0,1,0,0,0,12699119.0,3289465.0,2777951.0,19683,60.0,2.6666667,161.66667,0.0,30.103092,13.666667,1.0,15.0,67.66896,17.528357,14.802685,0.0,0.0,67.66896,0.0,0.0,12.180755
43,109000.0,38553668.0,1,1,30,108,15,24,7,1,3,10,222.0,8,24,2,988,0,0,0,0,1,0,0,0,1,12699119.0,3289465.0,2777951.0,19683,30.0,3.0,108.0,0.0,38.88889,10.0,2.0,15.0,67.66896,17.528357,14.802685,17.528357,0.0,0.0,14.802685,0.0,11.599103
44,2466667.0,27037334.0,1,8,931,3219,533,916,190,28,52,283,285.0,384,342,220,989,0,0,0,0,1,0,1,0,0,4540541.0,1100347.0,225868.0,18431,116.375,6.5,402.375,12.5,40.944393,35.375,27.5,66.625,77.39441,18.755629,3.8499641,0.0,0.0,77.39441,0.0,0.0,14.718378
45,2450000.0,27037334.0,1,7,930,2946,434,875,142,29,79,446,297.0,473,530,48,994,1,0,0,0,0,0,2,0,0,4540541.0,1100347.0,225868.0,18431,132.85715,11.285714,420.85715,28.571428,44.53496,63.714287,6.857143,62.0,77.39441,18.755629,3.8499641,0.0,0.0,77.39441,0.0,0.0,14.711598
46,2416667.0,27037334.0,1,9,706,2114,263,492,105,9,75,309,233.0,341,441,32,986,0,0,0,0,0,1,1,0,0,4540541.0,1100347.0,225868.0,18431,78.44444,8.333333,234.88889,11.111111,39.7351,34.333332,3.5555556,29.222221,77.39441,18.755629,3.8499641,0.0,0.0,77.39441,0.0,0.0,14.6979
47,2000000.0,27037334.0,1,7,788,2830,368,722,123,27,53,253,255.0,146,536,147,959,0,0,0,0,1,0,0,1,0,4540541.0,1100347.0,225868.0,18431,112.57143,7.571429,404.2857,0.0,37.38516,36.142857,21.0,52.57143,77.39441,18.755629,3.8499641,0.0,3.8499641,0.0,0.0,18.755629,14.508657
48,1375000.0,27037334.0,1,9,980,2982,398,838,124,35,37,258,281.0,251,498,191,981,0,0,0,0,1,0,0,0,1,4540541.0,1100347.0,225868.0,18431,108.888885,4.111111,331.33334,0.0,38.32998,28.666666,21.222221,44.22222,77.39441,18.755629,3.8499641,18.755629,0.0,0.0,3.8499641,0.0,14.133965
49,1050000.0,27037334.0,1,7,904,3135,402,772,154,15,146,470,246.0,280,979,29,964,0,0,0,0,1,0,0,0,0,4540541.0,1100347.0,225868.0,18431,129.14285,20.857143,447.85715,0.0,44.46571,67.14286,4.142857,57.42857,77.39441,18.755629,3.8499641,0.0,0.0,77.39441,0.0,0.0,13.864301
50,1000000.0,27037334.0,1,5,500,1697,207,477,98,7,41,245,281.0,62,233,10,993,1,0,0,0,0,0,0,0,1,4540541.0,1100347.0,225868.0,18431,100.0,8.2,339.4,0.0,41.956394,49.0,2.0,41.4,77.39441,18.755629,3.8499641,18.755629,0.0,0.0,3.8499641,0.0,13.815511
51,600000.0,27037334.0,1,9,698,2144,251,594,121,23,25,237,277.0,150,228,67,987,0,0,0,0,1,0,0,0,0,4540541.0,1100347.0,225868.0,18431,77.55556,2.7777777,238.22223,0.0,38.99254,26.333334,7.4444447,27.88889,77.39441,18.755629,3.8499641,0.0,0.0,77.39441,0.0,0.0,13.304685
52,600000.0,27037334.0,1,3,284,851,136,224,38,6,38,129,263.0,103,164,10,950,0,0,0,1,0,0,0,0,0,4540541.0,1100347.0,225868.0,18431,94.666664,12.666667,283.66666,0.0,45.59342,43.0,3.3333333,45.333332,77.39441,18.755629,3.8499641,0.0,0.0,77.39441,0.0,0.0,13.304685
53,300000.0,27037334.0,1,3,250,826,94,212,23,12,5,53,257.0,60,128,24,988,0,1,0,0,0,0,0,0,0,4540541.0,1100347.0,225868.0,18431,83.333336,1.6666666,275.33334,0.0,33.171913,17.666666,8.0,31.333334,77.39441,18.755629,3.8499641,0.0,0.0,77.39441,0.0,0.0,12.611538
54,250000.0,27037334.0,1,3,195,704,86,176,37,3,24,95,250.0,42,137,17,978,0,0,0,0,1,0,0,0,1,4540541.0,1100347.0,225868.0,18431,65.0,8.0,234.66667,0.0,41.335228,31.666666,5.6666665,28.666666,77.39441,18.755629,3.8499641,18.755629,0.0,0.0,3.8499641,0.0,12.429216
55,150000.0,27037334.0,1,4,159,362,41,66,12,3,2,23,182.0,26,82,6,972,0,0,1,0,0,0,0,1,0,4540541.0,1100347.0,225868.0,18431,39.75,0.5,90.5,0.0,24.86188,5.75,1.5,10.25,77.39441,18.755629,3.8499641,0.0,3.8499641,0.0,0.0,18.755629,11.91839
56,122500.0,27037334.0,1,2,54,163,11,34,4,0,1,11,209.0,5,26,0,930,0,0,1,0,0,0,0,0,1,4540541.0,1100347.0,225868.0,18431,27.0,0.5,81.5,0.0,25.153374,5.5,0.0,5.5,77.39441,18.755629,3.8499641,18.755629,0.0,0.0,3.8499641,0.0,11.715866
57,4950000.0,22987668.0,1,10,1390,4737,720,1308,251,82,144,688,276.0,558,895,220,986,0,0,0,0,1,0,2,0,0,2041897.0,178857.0,12852.0,20207,139.0,14.4,473.7,20.0,45.492928,68.8,22.0,72.0,91.41706,8.0075445,0.5753924,0.0,0.0,91.41706,0.0,0.0,15.414898
58,2600000.0,22987668.0,1,7,669,2444,349,627,125,26,39,239,257.0,222,445,38,968,0,0,1,0,0,0,0,0,0,2041897.0,178857.0,12852.0,20207,95.57143,5.571429,349.14285,0.0,37.684124,34.142857,5.428571,49.857143,91.41706,8.0075445,0.5753924,0.0,0.0,91.41706,0.0,0.0,14.771022
59,2350000.0,22987668.0,1,9,736,2134,166,574,97,5,16,243,269.0,288,200,5,992,0,0,0,0,0,1,0,0,0,2041897.0,178857.0,12852.0,20207,81.77778,1.7777778,237.11111,0.0,34.1612,27.0,0.5555556,18.444445,91.41706,8.0075445,0.5753924,0.0,0.0,91.41706,0.0,0.0,14.669926
60,1066667.0,22987668.0,1,11,1004,3071,320,859,193,26,59,351,280.0,219,438,16,985,0,0,0,0,0,1,0,0,0,2041897.0,178857.0,12852.0,20207,91.27273,5.3636365,279.18182,0.0,41.712795,31.90909,1.4545455,29.09091,91.41706,8.0075445,0.5753924,0.0,0.0,91.41706,0.0,0.0,13.88005
61,1000000.0,22987668.0,1,15,1475,4888,853,1414,264,54,90,504,289.0,561,779,360,964,0,0,0,0,1,0,1,0,1,2041897.0,178857.0,12852.0,20207,98.333336,6.0,325.86667,6.6666665,42.062195,33.6,24.0,56.866665,91.41706,8.0075445,0.5753924,8.0075445,0.0,0.0,0.5753924,0.0,13.815511
62,675000.0,22987668.0,1,4,365,1175,149,270,52,7,37,155,230.0,82,155,14,975,0,0,0,1,0,0,0,0,0,2041897.0,178857.0,12852.0,20207,91.25,9.25,293.75,0.0,38.042553,38.75,3.5,37.25,91.41706,8.0075445,0.5753924,0.0,0.0,91.41706,0.0,0.0,13.422468
63,675000.0,22987668.0,1,6,431,931,120,232,39,2,29,123,249.0,116,137,15,983,0,0,0,0,1,0,0,0,1,2041897.0,178857.0,12852.0,20207,71.833336,4.8333335,155.16667,0.0,38.882923,20.5,2.5,20.0,91.41706,8.0075445,0.5753924,8.0075445,0.0,0.0,0.5753924,0.0,13.422468
64,360000.0,22987668.0,1,10,952,2367,215,578,114,19,26,224,244.0,206,339,31,976,0,0,1,0,0,0,0,0,0,2041897.0,178857.0,12852.0,20207,95.2,2.6,236.7,0.0,34.136036,22.4,3.1,21.5,91.41706,8.0075445,0.5753924,0.0,0.0,91.41706,0.0,0.0,12.7938595
65,305000.0,22987668.0,1,3,279,840,136,218,46,7,16,110,260.0,117,153,13,991,1,0,0,0,0,0,0,1,0,2041897.0,178857.0,12852.0,20207,93.0,5.3333335,280.0,0.0,38.809525,36.666668,4.3333335,45.333332,91.41706,8.0075445,0.5753924,0.0,0.5753924,0.0,0.0,8.0075445,12.628067
66,120000.0,22987668.0,1,3,38,67,7,16,1,2,0,5,239.0,1,19,0,969,0,0,1,0,0,0,0,1,0,2041897.0,178857.0,12852.0,20207,12.666667,0.0,22.333334,0.0,31.343283,1.6666666,0.0,2.3333333,91.41706,8.0075445,0.5753924,0.0,0.5753924,0.0,0.0,8.0075445,11.695247
67,112000.0,22987668.0,1,2,92,229,26,58,13,0,0,11,252.99998,19,39,6,961,0,0,0,1,0,0,0,0,0,2041897.0,178857.0,12852.0,20207,46.0,0.0,114.5,0.0,31.004366,5.5,3.0,13.0,91.41706,8.0075445,0.5753924,0.0,0.0,91.41706,0.0,0.0,11.626254
68,109000.0,22987668.0,1,1,12,12,1,2,0,1,0,2,167.0,0,5,0,1000,0,0,0,0,1,0,0,0,1,2041897.0,178857.0,12852.0,20207,12.0,0.0,12.0,0.0,33.333332,2.0,0.0,1.0,91.41706,8.0075445,0.5753924,8.0075445,0.0,0.0,0.5753924,0.0,11.599103
69,109000.0,22987668.0,1,1,10,7,2,4,0,0,0,4,571.0,2,0,1,800,0,0,0,1,0,0,0,0,1,2041897.0,178857.0,12852.0,20207,10.0,0.0,7.0,0.0,57.142857,4.0,1.0,2.0,91.41706,8.0075445,0.5753924,8.0075445,0.0,0.0,0.5753924,0.0,11.599103
70,3897184.0,23387518.0,1,15,2208,8087,1079,2108,347,57,22,681,261.0,949,524,542,979,0,0,1,0,0,0,12,0,1,1985500.0,423182.0,26014.0,18595,147.2,1.4666667,539.13336,80.0,32.583157,45.4,36.133335,71.933334,81.550224,17.381308,1.0684701,17.381308,0.0,0.0,1.0684701,0.0,15.175765
71,2650000.0,23387518.0,1,6,617,2317,312,644,132,12,52,280,278.0,183,163,82,964,0,0,0,1,0,0,0,0,0,1985500.0,423182.0,26014.0,18595,102.833336,8.666667,386.16666,0.0,41.26025,46.666668,13.666667,52.0,81.550224,17.381308,1.0684701,0.0,0.0,81.550224,0.0,0.0,14.790071
72,2575000.0,23387518.0,1,6,508,1487,119,379,77,8,13,151,255.0,99,228,13,993,0,0,0,0,0,1,1,0,0,1985500.0,423182.0,26014.0,18595,84.666664,2.1666667,247.83333,16.666666,34.36449,25.166666,2.1666667,19.833334,81.550224,17.381308,1.0684701,0.0,0.0,81.550224,0.0,0.0,14.76136
73,2050000.0,23387518.0,1,9,1001,2780,288,726,94,19,12,224,261.0,380,331,33,983,0,1,0,0,0,0,0,1,0,1985500.0,423182.0,26014.0,18595,111.22222,1.3333334,308.8889,0.0,32.15827,24.88889,3.6666667,32.0,81.550224,17.381308,1.0684701,0.0,1.0684701,0.0,0.0,17.381308,14.53335
74,1025000.0,23387518.0,1,4,453,1581,196,413,82,11,34,194,261.0,206,255,26,966,0,0,0,1,0,0,0,0,0,1985500.0,423182.0,26014.0,18595,113.25,8.5,395.25,0.0,39.152435,48.5,6.5,49.0,81.550224,17.381308,1.0684701,0.0,0.0,81.550224,0.0,0.0,13.840203
75,966667.0,23387518.0,1,10,972,2890,346,761,134,11,52,357,263.0,289,327,140,987,1,0,0,0,0,0,0,0,1,1985500.0,423182.0,26014.0,18595,97.2,5.2,289.0,0.0,37.12803,35.7,14.0,34.6,81.550224,17.381308,1.0684701,17.381308,0.0,0.0,1.0684701,0.0,13.78161
76,508333.0,23387518.0,1,3,297,1003,131,252,38,12,20,95,250.99998,139,259,34,979,0,0,0,0,1,0,0,0,1,1985500.0,423182.0,26014.0,18595,99.0,6.6666665,334.33334,0.0,37.288136,31.666666,11.333333,43.666668,81.550224,17.381308,1.0684701,17.381308,0.0,0.0,1.0684701,0.0,13.138892
77,290000.0,23387518.0,1,3,343,1290,182,353,73,22,32,167,274.0,126,288,94,990,0,0,0,0,1,0,0,0,1,1985500.0,423182.0,26014.0,18595,114.333336,10.666667,430.0,0.0,43.87597,55.666668,31.333334,60.666668,81.550224,17.381308,1.0684701,17.381308,0.0,0.0,1.0684701,0.0,12.577636
78,225000.0,23387518.0,1,3,174,418,46,101,20,2,22,63,242.0,36,81,1,983,0,0,0,0,0,1,0,1,0,1985500.0,423182.0,26014.0,18595,58.0,7.3333335,139.33333,0.0,45.69378,21.0,0.33333334,15.333333,81.550224,17.381308,1.0684701,0.0,1.0684701,0.0,0.0,17.381308,12.323855
79,175000.0,23387518.0,1,3,230,716,95,193,31,8,13,66,270.0,86,90,38,982,0,0,0,0,1,0,0,0,1,1985500.0,423182.0,26014.0,18595,76.666664,4.3333335,238.66667,0.0,38.96648,22.0,12.666667,31.666666,81.550224,17.381308,1.0684701,17.381308,0.0,0.0,1.0684701,0.0,12.072541
80,170000.0,23387518.0,1,3,184,433,74,118,22,4,12,50,273.0,46,96,29,981,0,1,0,0,0,0,0,1,0,1985500.0,423182.0,26014.0,18595,61.333332,4.0,144.33333,0.0,42.494225,16.666666,9.666667,24.666666,81.550224,17.381308,1.0684701,0.0,1.0684701,0.0,0.0,17.381308,12.043553
81,160000.0,23387518.0,1,3,234,630,51,141,22,15,3,56,224.0,60,91,3,976,0,1,0,0,0,0,0,1,0,1985500.0,423182.0,26014.0,18595,78.0,1.0,210.0,0.0,32.06349,18.666666,1.0,17.0,81.550224,17.381308,1.0684701,0.0,1.0684701,0.0,0.0,17.381308,11.982929
82,3700000.0,37792000.0,1,6,701,2586,402,670,131,23,111,363,259.0,233,483,131,967,0,0,0,0,1,0,1,0,1,202017.0,736153.0,57169.0,15559,116.833336,18.5,431.0,16.666666,45.630318,60.5,21.833334,67.0,20.2963,73.96003,5.7436714,73.96003,0.0,0.0,5.7436714,0.0,15.123843
83,2815000.0,37792000.0,1,10,869,1996,381,513,53,10,6,123,257.0,208,264,305,987,0,0,0,0,1,0,0,0,1,202017.0,736153.0,57169.0,15559,86.9,0.6,199.6,0.0,30.26052,12.3,30.5,38.1,20.2963,73.96003,5.7436714,73.96003,0.0,0.0,5.7436714,0.0,14.850472
84,2250000.0,37792000.0,1,9,1240,4659,596,1274,228,33,87,633,273.0,332,567,114,958,0,0,0,1,0,0,1,0,1,202017.0,736153.0,57169.0,15559,137.77777,9.666667,517.6667,11.111111,39.25735,70.333336,12.666667,66.22222,20.2963,73.96003,5.7436714,73.96003,0.0,0.0,5.7436714,0.0,14.626441
