,wage,lwage,belavg,abvavg,exper,looks,union,goodhlth,black,female,married,south,bigcity,smllcity,service,expersq,educ
70,9.62,2.2638443,0,0,16,3,0,1,0,0,1,0,0,1,0,256,16
71,8.36,2.1234584,0,0,15,3,0,1,0,1,1,0,1,0,0,225,16
72,21.63,3.0740812,0,0,11,3,0,1,0,0,1,0,0,1,1,121,17
73,15.9,2.766319,0,1,24,4,0,1,0,0,1,0,0,1,1,576,17
74,5.77,1.7526721,1,0,6,2,0,1,0,0,1,1,1,0,1,36,17
75,20.99,3.0440462,1,0,40,2,0,1,0,0,1,1,1,0,1,1600,17
76,23.32,3.1493113,0,1,15,5,0,1,0,0,1,1,0,0,1,225,17
77,4.97,1.6034198,0,1,9,4,0,1,0,0,1,0,0,1,1,81,17
78,6.89,1.9300711,1,0,16,2,0,1,0,0,1,1,0,0,0,256,17
79,5.73,1.7457155,1,0,12,2,0,1,0,1,0,1,1,0,1,144,13
80,5.19,1.6467338,0,0,8,3,0,1,0,0,1,0,0,1,1,64,17
81,7.79,2.052841,0,0,25,3,1,1,0,1,0,0,0,1,1,625,17
82,8.79,2.1736147,0,0,24,3,1,1,0,1,1,0,0,0,1,576,16
83,9.32,2.2321627,0,1,25,4,1,1,0,1,0,1,0,1,0,625,17
84,8.33,2.1198635,0,1,7,4,0,1,0,1,0,1,1,0,1,49,17
85,10.12,2.3145137,0,0,40,3,0,1,1,1,0,0,0,1,1,1600,10
86,1.98,0.6830968,0,0,29,3,0,0,0,1,0,0,0,0,1,841,8
87,8.24,2.1090002,0,1,13,4,0,1,0,1,1,0,1,0,1,169,17
88,5.05,1.6193882,0,1,5,4,0,1,0,1,0,0,0,0,1,25,14
89,6.55,1.8794651,0,0,10,3,0,1,0,1,1,0,0,0,0,100,16
90,4.47,1.4973884,0,0,25,3,1,1,0,0,1,0,0,0,1,625,13
91,7.96,2.074429,0,0,10,3,0,1,0,1,1,0,1,0,1,100,16
92,6.25,1.8325815,1,0,20,2,0,1,0,0,0,0,0,0,1,400,17
93,4.13,1.4182774,0,0,7,3,0,1,0,0,0,0,0,0,0,49,16
94,6.73,1.9065752,1,0,25,2,0,1,0,1,1,1,0,0,1,625,13
95,7.69,2.0399208,0,0,8,3,0,1,0,1,0,0,0,1,1,64,17
96,4.35,1.4701759,1,0,8,2,0,1,0,1,1,0,0,1,1,64,14
97,7.69,2.0399208,0,0,28,3,0,1,0,0,1,0,0,1,0,784,14
98,4.81,1.5706971,1,0,37,2,0,1,0,0,1,1,0,1,1,1369,16
99,5.24,1.6563214,0,0,31,3,0,1,0,0,1,0,0,0,1,961,17
100,2.14,0.7608059,0,1,24,4,0,1,0,0,1,0,0,0,1,576,16
101,4.49,1.5018526,0,1,33,4,0,1,0,0,1,0,0,0,1,1089,17
102,3.61,1.2837077,0,1,8,4,0,1,0,0,1,0,0,1,1,64,17
103,5.45,1.6956155,0,0,33,3,0,1,0,0,1,0,0,1,1,1089,17
104,5.0,1.609438,0,0,30,3,0,1,0,0,1,0,0,0,1,900,17
105,6.73,1.9065752,0,0,23,3,0,1,0,0,1,0,0,1,1,529,17
106,10.05,2.3075726,0,0,24,3,0,1,0,0,1,0,0,0,0,576,16
107,6.54,1.8779372,0,1,4,4,0,1,0,0,1,0,0,1,0,16,17
108,9.2,2.2192035,0,0,40,3,0,1,0,1,0,0,0,0,1,1600,17
109,4.62,1.5303947,0,0,1,3,0,1,0,1,0,0,0,1,1,1,16
110,3.37,1.2149127,0,0,36,3,0,1,1,1,0,0,1,0,1,1296,13
111,5.54,1.7119945,0,1,7,4,0,1,0,1,0,0,0,1,1,49,17
112,6.11,1.8099267,0,1,7,5,0,1,0,1,1,0,0,0,0,49,12
113,4.99,1.6074358,0,0,14,3,0,1,0,1,0,0,0,1,1,196,13
114,5.88,1.7715567,0,0,7,3,0,1,0,1,1,0,0,1,1,49,17
115,5.66,1.7334238,0,1,11,4,1,1,0,1,0,1,0,1,1,121,16
116,4.0,1.3862944,0,0,6,3,0,1,0,0,1,0,0,1,1,36,16
117,6.87,1.9271641,0,0,23,3,0,1,0,1,1,0,0,0,1,529,16
118,4.37,1.474763,1,0,19,2,0,1,0,1,0,0,0,0,1,361,17
119,5.77,1.7526721,0,0,30,3,0,1,0,0,1,1,0,1,0,900,13
120,5.77,1.7526721,0,1,21,4,0,1,0,0,1,1,0,0,1,441,17
121,12.31,2.510412,0,1,9,4,0,1,0,0,1,0,1,0,1,81,17
122,19.08,2.9486406,0,0,29,3,1,1,0,0,1,1,0,1,1,841,17
123,7.55,2.0215476,0,0,9,3,0,1,0,1,0,0,0,0,1,81,17
124,5.9,1.7749524,0,1,18,4,0,1,0,1,0,0,0,0,1,324,17
125,6.37,1.8515995,0,0,26,3,0,1,0,1,0,1,0,0,1,676,17
126,6.15,1.8164521,0,1,21,4,1,1,0,0,1,0,0,0,1,441,17
127,1.92,0.65232515,1,0,12,2,1,1,0,1,1,1,0,1,1,144,17
128,3.27,1.18479,0,0,11,3,0,1,0,0,0,0,0,1,1,121,17
129,2.18,0.7793249,0,1,18,4,0,1,0,0,0,0,0,1,1,324,17
130,5.62,1.7263316,0,0,22,3,0,1,0,0,1,0,0,1,1,484,17
131,9.29,2.2289386,0,1,38,4,0,1,0,1,0,0,0,0,1,1444,17
132,6.41,1.8578593,0,0,10,3,1,1,0,1,1,0,0,1,1,100,17
133,7.46,2.0095553,0,0,22,3,1,1,0,1,1,0,0,1,1,484,16
134,6.59,1.8855534,1,0,16,2,1,1,0,1,0,0,1,0,1,256,17
135,6.73,1.9065752,1,0,20,2,1,1,0,1,1,1,0,1,1,400,17
136,5.61,1.7245507,0,0,14,3,1,1,0,1,1,1,0,1,1,196,16
137,3.65,1.2947272,0,1,14,4,0,1,0,1,1,0,1,0,1,196,16
138,13.01,2.5657184,0,1,15,4,1,1,0,0,1,0,1,0,1,225,17
139,6.97,1.9416152,0,0,18,3,1,1,0,0,0,0,0,0,1,324,17
140,7.69,2.0399208,0,0,21,3,1,1,0,1,1,1,0,1,1,441,17
141,6.73,1.9065752,0,0,15,3,0,1,0,0,1,1,0,1,1,225,16
142,5.13,1.6351057,0,0,10,3,1,1,0,1,0,0,0,0,1,100,17
143,2.14,0.7608059,0,1,6,4,0,1,0,1,1,0,0,1,1,36,16
144,4.53,1.510722,1,0,8,2,1,1,0,1,1,0,0,1,1,64,14
145,9.1,2.2082744,1,0,18,2,0,1,0,1,0,1,1,0,1,324,17
146,9.78,2.2803395,0,0,15,3,1,1,0,1,0,0,0,1,1,225,17
147,3.63,1.2892327,0,1,11,4,0,1,0,1,1,0,1,0,1,121,13
148,7.21,1.975469,0,0,20,3,1,0,1,1,1,0,1,0,1,400,17
149,10.62,2.362739,0,0,18,3,1,1,0,1,1,0,0,1,1,324,17
150,4.62,1.5303947,0,0,10,3,1,1,0,1,1,0,0,1,1,100,17
151,6.54,1.8779372,0,0,26,3,1,1,0,1,0,1,0,0,1,676,14
152,12.12,2.494857,0,0,35,3,1,0,0,1,0,0,1,0,1,1225,17
153,7.21,1.975469,0,1,30,4,1,1,0,1,1,0,0,1,1,900,16
154,6.25,1.8325815,0,1,6,4,1,0,0,1,0,0,0,1,1,36,16
155,3.85,1.3480731,0,0,13,3,1,1,0,1,1,0,0,1,1,169,17
156,3.03,1.1085626,0,0,10,3,0,0,0,1,1,0,0,1,1,100,16
157,2.01,0.6981347,0,0,16,3,0,1,0,1,1,0,1,0,1,256,16
158,3.9,1.3609766,0,1,5,4,1,1,0,1,1,0,0,0,1,25,17
159,6.35,1.8484548,0,0,11,3,1,1,0,1,0,0,1,0,1,121,17
160,2.0,0.6931472,0,1,6,4,0,1,0,1,1,0,0,0,1,36,14
161,7.69,2.0399208,0,0,22,3,1,1,0,0,1,1,0,1,1,484,17
162,2.63,0.9669839,0,0,4,3,0,1,0,1,0,0,1,0,1,16,12
163,5.0,1.609438,0,1,15,4,1,1,0,1,1,1,1,0,1,225,17
164,6.54,1.8779372,0,0,7,3,0,1,0,1,0,0,1,0,1,49,17
165,5.19,1.6467338,0,0,10,3,0,1,0,1,1,0,0,1,1,100,16
166,9.75,2.2772672,0,0,8,3,1,1,0,1,1,0,1,0,1,64,16
167,2.81,1.0331844,0,0,14,3,0,1,1,1,1,0,1,0,0,196,13
168,4.62,1.5303947,0,0,11,3,1,1,0,0,1,0,0,1,1,121,17
169,7.33,1.9919755,0,0,34,3,1,1,0,0,1,0,0,1,1,1156,17
170,7.69,2.0399208,0,1,12,4,1,1,0,0,1,0,0,0,1,144,17
171,3.26,1.1817272,0,0,10,3,1,1,0,0,1,0,0,0,1,100,17
172,5.77,1.7526721,1,0,11,2,0,1,0,1,0,0,0,1,1,121,17
173,5.59,1.7209793,0,1,8,4,1,1,0,0,0,0,0,1,1,64,17
174,5.13,1.6351057,0,0,28,3,0,1,1,0,0,0,0,0,1,784,16
175,14.74,2.6905649,1,0,24,2,1,1,0,0,1,0,1,0,1,576,17
176,3.67,1.3001916,0,0,8,3,1,1,0,1,0,0,0,0,1,64,17
177,9.73,2.275214,0,1,13,4,0,1,0,0,1,0,0,0,1,169,17
178,3.46,1.2412686,0,0,4,3,1,1,0,0,1,0,0,0,1,16,13
179,6.37,1.8515995,0,1,43,4,1,1,0,0,1,0,0,1,1,1849,17
180,6.58,1.8840348,0,0,30,3,0,1,0,1,1,0,0,1,1,900,16
181,10.15,2.3174736,0,0,16,3,1,1,1,0,0,0,1,0,1,256,16
182,9.23,2.222459,0,0,19,3,1,1,0,0,1,1,0,0,1,361,17
183,6.75,1.9095426,0,0,21,3,0,0,0,0,1,1,0,1,1,441,17
184,10.22,2.3243465,0,0,26,3,0,1,0,1,0,0,1,0,1,676,17
185,4.76,1.5602477,0,0,8,3,1,1,0,0,1,0,0,1,1,64,16
186,1.76,0.5653138,0,0,24,3,0,1,0,1,0,0,1,0,1,576,17
187,12.73,2.5439613,0,1,15,4,1,1,0,0,1,0,0,1,1,225,17
188,5.85,1.7664417,0,0,26,3,1,1,0,0,1,0,0,0,0,676,12
189,3.17,1.1537316,0,0,6,3,0,0,0,0,1,0,0,0,0,36,16
190,5.99,1.7900914,1,0,19,2,0,1,0,0,1,0,0,1,0,361,12
191,4.62,1.5303947,0,0,4,3,0,1,0,0,1,0,1,0,0,16,12
192,1.8,0.5877866,0,1,23,4,0,1,0,0,1,1,0,0,1,529,13
193,5.95,1.7833912,0,1,25,4,0,1,0,0,1,0,0,1,1,625,13
194,7.46,2.0095553,0,0,18,3,0,1,0,0,1,0,1,0,0,324,12
195,8.7,2.163323,1,0,27,2,0,1,0,0,1,0,0,1,0,729,13
196,3.75,1.3217559,0,0,16,3,0,1,0,0,1,0,0,0,0,256,10
197,7.69,2.0399208,0,0,20,3,0,1,0,0,1,0,0,1,1,400,12
198,5.24,1.6563214,0,0,12,3,0,0,0,0,1,0,0,0,0,144,14
199,10.1,2.3125355,0,1,35,4,0,1,0,0,1,0,1,0,0,1225,12
200,3.75,1.3217559,1,0,36,1,0,1,0,0,0,0,0,1,0,1296,12
201,5.79,1.7561322,0,0,35,3,0,1,0,0,1,0,0,1,0,1225,13
202,5.06,1.6213665,0,0,5,3,0,1,0,0,1,0,0,1,1,25,17
203,7.96,2.074429,0,1,15,4,1,1,0,0,1,0,0,1,0,225,13
204,12.82,2.5510063,0,0,44,3,1,1,0,0,1,0,1,0,0,1936,12
205,8.46,2.1353493,0,0,28,3,0,1,0,0,1,1,0,1,0,784,13
206,3.76,1.3244189,0,1,2,4,1,1,0,1,0,1,1,0,1,4,13
207,2.86,1.0508215,0,0,43,3,0,1,0,0,1,0,0,1,1,1849,12
208,11.81,2.4689467,0,0,30,3,1,1,0,0,1,0,1,0,0,900,10
209,7.69,2.0399208,0,0,26,3,0,1,0,0,1,0,0,1,0,676,12
210,7.21,1.975469,0,0,40,3,1,0,0,0,1,0,1,0,0,1600,12
211,2.88,1.0577903,0,1,7,4,0,1,1,1,0,0,0,1,1,49,13
212,5.73,1.7457155,0,0,10,3,1,1,0,1,0,1,0,1,0,100,12
213,4.49,1.5018526,1,0,37,2,0,1,0,0,1,0,0,0,1,1369,12
214,9.57,2.2586331,0,1,27,4,1,1,0,0,1,0,0,1,1,729,17
215,3.61,1.2837077,0,0,5,3,0,1,0,0,1,0,1,0,1,25,17
216,7.77,2.05027,1,0,14,2,0,1,0,0,1,0,0,0,0,196,13
217,9.23,2.222459,1,0,16,2,0,1,0,0,0,0,1,0,0,256,16
218,5.58,1.7191888,0,0,4,3,0,1,0,0,1,0,0,1,0,16,17
219,5.34,1.6752257,0,0,39,3,0,1,0,0,1,0,1,0,1,1521,16
220,5.17,1.6428727,0,0,32,3,1,1,0,0,1,1,0,1,1,1024,12
221,6.41,1.8578593,0,1,16,4,0,1,0,0,1,1,0,0,1,256,17
222,7.4,2.00148,0,1,10,4,0,1,0,1,0,0,0,1,1,100,17
223,6.75,1.9095426,0,1,15,4,0,1,0,0,1,0,0,1,0,225,17
224,8.46,2.1353493,0,1,10,4,0,1,0,0,1,1,0,1,1,100,17
225,4.61,1.5282279,0,0,10,3,0,1,0,1,0,0,0,0,0,100,13
226,8.61,2.1529243,0,0,12,3,0,0,0,1,1,1,0,1,0,144,12
227,5.24,1.6563214,0,1,4,4,0,1,0,0,0,0,0,0,0,16,16
228,15.38,2.733068,0,0,12,3,0,1,0,0,0,1,1,0,0,144,17
229,2.37,0.8628899,0,1,15,4,0,1,0,1,1,0,0,1,0,225,12
230,6.72,1.9050881,0,1,37,4,0,1,0,1,0,1,1,0,0,1369,12
231,9.4,2.2407095,0,1,23,4,0,1,0,0,1,0,0,1,0,529,14
232,7.84,2.059239,0,0,15,3,0,1,0,0,1,0,0,1,0,225,16
233,15.0,2.7080503,0,1,10,4,0,1,0,0,0,0,1,0,0,100,17
234,4.7,1.5475625,0,1,14,4,0,1,0,1,1,0,0,1,0,196,12
235,11.28,2.4230313,0,0,17,3,0,1,0,0,0,1,1,0,0,289,13
236,11.97,2.4824035,0,0,24,3,0,1,0,0,1,0,0,1,0,576,16
237,13.99,2.6383429,0,1,13,4,0,1,0,0,1,1,0,0,0,169,17
238,3.0,1.0986123,0,0,5,3,0,1,0,1,1,1,0,1,0,25,13
239,3.41,1.2267123,0,0,20,3,0,1,0,1,1,0,0,1,0,400,12
240,9.62,2.2638443,0,1,29,4,0,1,0,0,1,0,0,1,0,841,14
241,6.73,1.9065752,0,1,10,4,0,1,0,0,0,0,1,0,0,100,16
242,9.62,2.2638443,0,0,36,3,0,1,0,0,1,1,1,0,1,1296,13
243,5.19,1.6467338,0,0,15,3,0,1,0,1,1,0,0,0,1,225,13
244,4.62,1.5303947,0,0,26,3,0,1,0,1,1,0,0,0,1,676,12
245,5.03,1.61542,0,1,13,4,0,1,0,1,1,0,0,0,1,169,14
246,9.84,2.2864556,0,0,26,3,0,1,0,0,1,0,0,1,0,676,14
247,5.29,1.6658182,0,0,9,3,1,1,0,0,1,0,0,1,0,81,12
248,10.99,2.3969858,1,0,40,1,0,1,0,0,1,0,0,1,0,1600,12
249,7.08,1.9572738,0,0,28,3,1,0,0,0,1,0,1,0,0,784,16
250,8.17,2.1004689,1,0,12,2,0,1,0,0,0,0,1,0,0,144,16
251,5.88,1.7715567,0,1,25,4,0,1,0,1,1,0,0,0,1,625,13
252,7.92,2.0693913,0,1,18,4,0,1,0,1,1,0,0,1,0,324,13
253,4.44,1.4906543,0,0,9,3,0,1,0,0,0,0,0,1,0,81,17
254,6.64,1.893112,0,0,9,3,1,1,0,0,1,0,0,0,0,81,13
255,15.8,2.76001,0,1,30,4,0,0,0,0,1,0,0,1,0,900,17
256,9.23,2.222459,0,0,40,3,0,1,0,1,0,0,1,0,0,1600,14
257,12.82,2.5510063,0,0,36,3,0,1,0,0,1,0,1,0,0,1296,17
258,14.18,2.6518326,0,1,30,4,0,1,0,0,1,0,0,1,0,900,16
259,11.54,2.4458191,0,0,27,3,1,1,0,0,1,0,1,0,1,729,12
260,9.4,2.2407095,0,0,22,3,1,1,0,0,1,0,0,1,1,484,12
261,10.39,2.340844,0,0,40,3,1,1,0,0,1,1,0,1,0,1600,13
262,5.54,1.7119945,0,0,40,3,0,1,1,0,1,0,1,0,1,1600,12
263,7.86,2.0617867,0,0,21,3,0,1,0,0,1,0,1,0,0,441,14
264,8.17,2.1004689,0,0,36,3,1,0,0,0,1,1,0,0,0,1296,13
265,4.05,1.3987169,0,1,16,4,0,1,0,1,1,0,0,1,1,256,12
266,7.81,2.055405,0,0,36,3,1,0,0,0,1,0,1,0,0,1296,10
267,2.56,0.9400072,0,0,18,3,0,1,0,0,1,0,0,0,0,324,13
268,12.98,2.5634096,0,1,11,4,0,1,0,0,0,1,0,0,0,121,16
269,41.67,3.7297814,0,1,16,4,0,0,0,0,1,0,0,1,0,256,13
270,4.81,1.5706971,0,1,12,4,0,1,0,1,1,0,0,0,0,144,13
271,1.32,0.2776318,0,0,2,3,1,1,0,0,1,0,0,1,0,4,10
272,3.71,1.3110319,0,0,4,3,0,1,0,0,0,0,1,0,0,16,16
273,4.81,1.5706971,0,0,21,3,1,1,0,0,1,0,1,0,1,441,16
274,4.68,1.5432981,0,0,4,3,0,1,0,0,0,0,1,0,0,16,12
275,8.21,2.1053529,1,0,32,2,1,1,0,1,0,1,0,0,1,1024,17
276,4.03,1.3937664,0,0,7,3,0,1,0,1,0,0,1,0,0,49,16
277,4.81,1.5706971,0,0,5,3,0,0,0,0,0,0,1,0,0,25,13
278,15.63,2.7491922,0,0,23,3,0,1,0,0,1,1,1,0,0,529,16
279,7.69,2.0399208,0,0,23,3,1,1,0,0,1,0,1,0,0,529,5
280,7.17,1.9699056,0,0,14,3,0,1,0,0,1,0,0,1,0,196,13
281,8.08,2.089392,0,1,13,4,0,1,0,0,1,0,0,1,0,169,16
282,9.03,2.2005522,0,0,28,3,0,1,0,0,1,0,0,1,0,784,13
283,6.75,1.9095426,0,1,35,4,0,1,0,0,1,0,1,0,0,1225,14
284,8.44,2.1329823,0,1,16,4,0,1,0,0,1,0,0,0,0,256,13
285,6.0,1.7917595,0,1,12,4,0,1,0,0,1,0,0,0,1,144,17
286,6.15,1.8164521,0,0,7,3,0,1,0,0,1,1,0,0,1,49,17
287,4.1,1.4109869,0,0,25,3,0,1,0,0,1,0,0,1,1,625,12
288,14.17,2.651127,0,0,22,3,1,1,0,0,1,1,0,1,0,484,13
289,6.41,1.8578593,0,0,22,3,0,1,0,0,1,0,0,1,1,484,17
290,31.09,3.4368863,0,0,32,3,0,0,0,0,1,0,0,1,0,1024,13
291,10.29,2.3311725,0,1,35,4,0,1,0,0,1,1,0,1,1,1225,13
292,5.06,1.6213665,0,0,28,3,0,1,0,0,1,0,1,0,0,784,12
293,6.37,1.8515995,0,0,18,3,0,1,0,0,1,1,0,1,0,324,13
294,2.98,1.0919234,0,0,11,3,0,1,0,1,0,0,0,1,0,121,17
295,13.28,2.5862591,0,0,40,3,0,1,0,0,1,0,1,0,0,1600,13
296,4.2,1.4350845,1,0,10,2,0,1,0,0,1,1,0,0,0,100,13
297,8.92,2.1882958,0,0,40,3,0,1,0,0,1,1,0,1,1,1600,12
298,2.63,0.9669839,0,0,7,3,0,1,0,1,1,0,0,0,0,49,16
299,26.24,3.2672849,0,0,24,3,0,1,0,0,1,0,1,0,0,576,12
300,7.54,2.0202222,0,1,36,4,0,1,0,0,0,0,0,0,0,1296,12
301,8.65,2.1575594,0,0,34,3,0,1,0,0,1,0,0,1,1,1156,13
302,20.99,3.0440462,0,0,44,3,0,1,0,0,1,1,1,0,0,1936,16
303,10.26,2.3282528,0,0,44,3,0,1,0,0,1,0,0,1,1,1936,13
304,8.55,2.1459312,0,0,30,3,0,1,0,0,1,0,1,0,0,900,16
305,2.08,0.7323679,0,1,23,4,0,1,0,0,1,0,1,0,0,529,12
306,3.0,1.0986123,0,0,5,3,0,0,0,0,0,1,0,0,0,25,13
307,6.01,1.7934248,0,1,25,4,0,1,0,0,1,1,0,1,1,625,16
308,10.05,2.3075726,0,1,14,4,0,1,0,0,0,1,0,1,0,196,13
309,5.73,1.7457155,0,0,5,3,0,1,0,0,1,0,0,1,0,25,12
310,5.93,1.7800242,0,0,20,3,0,1,0,0,1,0,0,0,0,400,12
311,4.49,1.5018526,1,0,1,2,0,1,0,0,0,0,0,1,0,1,10
312,5.66,1.7334238,0,1,13,4,0,1,0,0,0,0,1,0,0,169,16
313,10.19,2.3214068,0,1,15,4,0,1,0,0,1,1,0,0,0,225,12
314,20.99,3.0440462,0,0,35,3,0,1,0,0,1,0,0,0,0,1225,12
315,9.05,2.2027647,0,1,20,4,0,1,0,0,1,0,0,1,0,400,12
316,3.92,1.3660917,0,1,12,5,0,1,0,0,1,0,0,1,1,144,12
317,4.28,1.453953,0,1,7,4,0,1,0,1,0,0,0,0,1,49,16
318,2.75,1.011601,0,0,7,3,0,1,0,1,0,0,0,1,0,49,16
319,2.88,1.0577903,0,1,32,4,0,1,0,0,1,0,1,0,0,1024,12
320,6.41,1.8578593,0,0,13,3,0,1,0,0,1,1,0,1,0,169,13
321,7.69,2.0399208,0,0,15,3,0,1,0,0,1,0,0,1,1,225,13
322,3.75,1.3217559,0,0,33,3,0,0,0,1,0,0,0,0,1,1089,10
323,6.41,1.8578593,0,0,48,3,0,1,0,0,1,0,0,1,0,2304,8
324,11.54,2.4458191,0,1,38,4,0,1,0,0,1,0,0,1,0,1444,16
325,11.4,2.4336133,0,0,28,3,0,1,0,0,1,0,1,0,1,784,16
326,2.2,0.7884574,0,1,18,4,0,1,0,1,1,1,0,0,0,324,13
327,1.65,0.5007753,1,0,24,1,0,1,0,1,0,0,0,1,1,576,13
328,6.59,1.8855534,0,0,27,3,0,1,0,0,0,0,0,1,1,729,12
329,11.06,2.403335,0,0,24,3,0,1,0,0,1,0,0,0,0,576,5
