,wage,educ,exper,tenure,nonwhite,female,married,numdep,smsa,northcen,south,west,construc,ndurman,trcommpu,trade,services,profserv,profocc,clerocc,servocc,lwage,expersq,tenursq
90,5.91,12,14,6,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7766458,196,36
91,11.76,14,40,39,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2.464704,1600,1521
92,3.0,12,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1.0986123,1,0
93,4.81,12,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1.5706971,4,0
94,6.5,12,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.8718022,16,1
95,4.0,9,19,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1.3862944,361,1
96,3.5,13,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1.2527629,1,0
97,13.16,12,34,22,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2.5771818,1156,484
98,4.25,14,5,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1.446919,25,4
99,3.5,12,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.2527629,9,0
100,5.13,15,6,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1.6351057,36,36
101,3.75,12,14,0,0,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,1,1.3217559,196,0
102,4.5,12,35,12,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1.5040774,1225,144
103,7.63,12,8,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.0320878,64,16
104,15.0,14,7,7,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.7080503,49,49
105,6.85,15,11,3,0,1,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1.9242487,121,9
106,13.33,12,14,11,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,2.590017,196,121
107,6.67,12,35,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.8976198,1225,100
108,2.53,12,46,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.9282193,2116,0
109,9.8,17,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2.2823825,49,0
110,3.37,11,45,12,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.2149127,2025,144
111,24.98,18,29,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.2180755,841,625
112,5.4,12,6,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.686399,36,9
113,6.11,14,15,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1.8099267,225,0
114,4.2,14,33,16,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.4350845,1089,256
115,3.75,10,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.3217559,225,0
116,3.5,14,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1.2527629,25,0
117,3.64,12,7,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1.2919837,49,4
118,3.8,15,6,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.3350011,36,1
119,3.0,8,33,12,0,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0986123,1089,144
120,5.0,16,2,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1.609438,4,1
121,4.63,14,4,0,0,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,1,1.5325569,16,0
122,3.0,15,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1.0986123,1,0
123,3.2,12,29,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1.1631508,841,0
124,3.91,18,17,3,0,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1.3635374,289,9
125,6.43,16,17,3,0,1,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1.8609746,289,9
126,5.48,10,36,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.7011051,1296,9
127,1.5,8,31,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.4054651,961,900
128,2.9,10,23,2,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1.0647107,529,4
129,5.0,11,13,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.609438,169,1
130,8.92,18,3,3,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2.1882958,9,9
131,5.0,15,15,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1.609438,225,0
132,3.52,12,48,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.258461,2304,1
133,2.9,11,6,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0647107,36,0
134,4.5,12,12,0,0,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,1.5040774,144,0
135,2.25,12,5,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0.8109302,25,0
136,5.0,14,19,5,0,0,1,4,1,0,1,0,0,0,0,1,0,0,0,0,0,1.609438,361,25
137,10.0,16,9,3,1,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,2.3025851,81,9
138,3.75,2,39,13,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1.3217559,1521,169
139,10.0,14,28,11,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2.3025851,784,121
140,10.95,16,23,20,0,0,1,4,1,0,1,0,0,1,0,0,0,0,1,0,0,2.3933394,529,400
141,7.9,12,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2.0668628,4,0
142,4.72,12,15,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.5518087,225,1
143,5.84,13,5,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1.7647308,25,0
144,3.83,12,18,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1.3428648,324,4
145,3.2,15,2,2,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1.1631508,4,4
146,2.0,10,3,0,1,1,0,5,1,0,1,0,0,0,0,1,0,0,0,0,1,0.6931472,9,0
147,4.5,12,31,4,0,1,1,3,1,0,1,0,0,0,0,0,0,1,0,1,0,1.5040774,961,16
148,11.55,16,20,5,0,1,1,3,1,0,1,0,1,0,0,0,0,0,0,1,0,2.4466856,400,25
149,2.14,13,34,15,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.7608059,1156,225
150,2.38,9,5,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0.86710054,25,0
151,3.75,12,11,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.3217559,121,0
152,5.52,13,31,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.7083778,961,9
153,6.5,12,8,5,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1.8718022,64,25
154,3.1,12,2,2,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1.1314021,4,4
155,10.0,14,18,5,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,2.3025851,324,25
156,6.63,16,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1.8916048,9,0
157,10.0,16,3,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2.3025851,9,4
158,2.31,9,4,1,0,1,0,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0.8372475,16,1
159,6.88,18,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.9286187,16,16
160,2.83,10,1,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,1.0402766,1,0
161,3.13,10,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1.141033,1,0
162,8.0,13,28,5,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,2.0794415,784,25
163,4.5,12,47,4,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1.5040774,2209,16
164,8.65,18,13,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2.1575594,169,1
165,2.0,13,2,6,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0.6931472,4,36
166,4.75,12,48,2,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1.5581446,2304,4
167,6.25,13,6,5,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1.8325815,36,25
168,6.0,13,8,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,1.7917595,64,0
169,15.38,13,25,21,0,0,1,2,1,1,0,0,0,0,0,0,0,1,1,0,0,2.733068,625,441
170,14.58,18,13,7,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2.6796508,169,49
171,12.5,12,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2.5257287,64,1
172,5.25,12,19,10,0,1,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,1.658228,361,100
173,2.17,13,1,4,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0.7747272,1,16
174,7.14,12,43,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.9657128,1849,25
175,6.22,12,19,9,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1.8277699,361,81
176,9.0,12,11,5,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2.1972246,121,25
177,10.0,14,43,4,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2.3025851,1849,16
178,5.77,10,44,3,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.7526721,1936,9
179,4.0,12,22,11,0,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1.3862944,484,121
180,8.75,16,3,2,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,2.1690538,9,4
181,6.53,16,3,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.876407,9,4
182,7.6,12,41,11,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2.0281482,1681,121
183,5.0,14,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1.609438,25,0
184,5.0,12,14,11,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1.609438,196,121
185,21.86,12,24,16,0,0,1,3,1,1,0,0,0,0,0,1,0,0,1,0,0,3.0846586,576,256
186,8.64,12,28,8,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2.1564026,784,64
187,3.3,12,25,8,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1.1939224,625,64
188,4.44,12,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1.4906543,9,0
189,4.55,12,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5151273,121,0
190,3.5,12,7,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2527629,49,36
191,6.25,16,9,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1.8325815,81,4
192,3.85,16,5,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1.3480731,25,0
193,6.18,14,9,3,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.8213183,81,9
194,2.91,11,1,0,0,1,0,3,1,1,0,0,0,0,0,0,1,0,1,0,0,1.0681531,1,0
195,6.25,16,2,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1.8325815,4,1
196,6.25,12,13,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1.8325815,169,0
197,9.05,12,10,2,0,0,1,3,1,1,0,0,1,0,0,0,0,0,1,0,0,2.2027647,100,4
198,10.0,17,5,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2.3025851,25,9
199,11.11,12,30,8,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,2.4078455,900,64
200,6.88,12,31,19,0,0,1,3,1,1,0,0,0,0,0,0,0,1,0,0,1,1.9286187,961,361
201,8.75,16,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2.1690538,1,4
202,10.0,8,9,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2.3025851,81,0
203,3.05,12,10,0,0,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1.1151416,100,0
204,3.0,12,38,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1.0986123,1444,0
205,5.8,12,19,6,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1.7578579,361,36
206,4.1,16,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.4109869,25,0
207,8.0,12,26,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0794415,676,4
208,6.15,12,35,12,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1.8164521,1225,144
209,2.7,9,2,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0.9932518,4,0
210,2.75,13,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1.011601,1,4
211,3.0,16,19,10,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1.0986123,361,100
212,3.0,14,3,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1.0986123,9,4
213,7.36,8,36,24,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1.9960599,1296,576
214,7.5,14,29,24,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2.014903,841,576
215,3.5,13,1,2,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1.2527629,1,4
216,8.1,12,38,3,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,2.091864,1444,9
217,3.75,18,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1.3217559,1,4
218,3.25,9,29,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.178655,841,0
219,5.83,8,36,15,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.7630169,1296,225
220,3.5,8,4,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,1.2527629,16,0
221,3.33,12,45,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.2029723,2025,16
222,4.0,14,22,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1.3862944,484,9
223,3.5,12,20,4,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1.2527629,400,16
224,6.25,16,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1.8325815,25,0
225,2.95,8,15,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0818052,225,4
226,5.71,13,10,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.742219,100,4
227,3.0,9,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0986123,9,0
228,22.86,16,16,7,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,3.1293886,256,49
229,9.0,12,38,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.1972246,1444,1
230,8.33,15,33,26,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2.1198635,1089,676
231,3.0,11,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0986123,4,0
232,5.75,14,6,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.7491999,36,25
233,6.76,12,19,3,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1.9110229,361,9
234,10.0,12,29,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,2.3025851,841,0
235,3.0,12,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0986123,4,0
236,3.5,18,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1.2527629,9,1
237,3.25,12,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.178655,16,0
238,4.0,12,10,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1.3862944,100,1
239,2.92,12,4,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1.0715836,16,0
240,3.06,12,14,10,1,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1.1184149,196,100
241,3.2,12,15,5,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.1631508,225,25
242,4.75,12,19,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5581446,361,0
243,3.0,14,17,0,0,1,1,4,1,0,1,0,0,0,0,0,1,0,0,1,0,1.0986123,289,0
244,18.16,16,29,7,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,2.8992214,841,49
245,3.5,12,2,0,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,1.2527629,4,0
