,price,assess,bdrms,lotsize,sqrft,colonial,lprice,lassess,llotsize,lsqrft
67,380.0,515.1,4,15105.0,2589,1,5.9401712,6.244361,9.622781,7.859027
68,325.0,437.0,4,10859.0,2709,0,5.7838254,6.079933,9.292749,7.904335
69,220.0,263.4,3,6300.0,1587,1,5.3936276,5.5736737,8.748305,7.369601
70,215.0,300.4,3,11554.0,1694,0,5.370638,5.705115,9.354787,7.434848
71,240.0,250.7,3,6000.0,1536,1,5.480639,5.524257,8.699514,7.336937
72,725.0,708.6,5,31000.0,3662,0,6.5861716,6.563291,10.3417425,8.205765
73,230.0,276.3,3,4054.0,1736,1,5.4380794,5.621487,8.307459,7.4593387
74,306.0,388.6,2,20700.0,2205,0,5.723585,5.9625506,9.937889,7.698483
75,425.0,252.5,3,5525.0,1502,0,6.052089,5.531411,8.617039,7.314553
76,318.0,295.2,4,92681.0,1696,1,5.7620516,5.687653,11.436919,7.436028
77,330.0,359.5,3,8178.0,2186,1,5.799093,5.884714,9.009203,7.689829
78,246.0,276.2,4,5944.0,1928,1,5.5053315,5.621125,8.690138,7.5642385
79,225.0,249.8,3,18838.0,1294,0,5.4161005,5.5206604,9.843632,7.1654935
80,111.0,202.4,4,4315.0,1535,1,4.7095304,5.310246,8.369853,7.3362856
81,268.125,254.0,3,5167.0,1980,1,5.591453,5.5373344,8.550048,7.5908523
82,244.0,306.8,4,7893.0,2090,1,5.497168,5.726196,8.973732,7.6449194
83,295.0,318.3,3,6056.0,1837,1,5.6869755,5.7629943,8.708805,7.515889
84,236.0,259.4,3,5828.0,1715,0,5.463832,5.558371,8.670429,7.4471684
85,202.5,258.1,3,6341.0,1574,0,5.31074,5.553347,8.754792,7.3613753
86,219.0,232.0,2,6362.0,1185,0,5.389072,5.4467373,8.758098,7.077498
87,242.0,252.0,4,4950.0,1774,1,5.488938,5.529429,8.507143,7.4809923
