,psoda,pfries,pentree,wagest,nmgrs,nregs,hrsopen,emp,psoda2,pfries2,pentree2,wagest2,nmgrs2,nregs2,hrsopen2,emp2,compown,chain,density,crmrte,state,prpblck,prppov,prpncar,hseval,nstores,income,county,lpsoda,lpfries,lhseval,lincome,ldensity,NJ,BK,KFC,RR
10,1.06,1.02,2.34,4.75,3.0,5.0,12.0,11.0,1.05,1.05,2.32,5.05,5.0,5.0,12.0,32.5,1,2,18388.0,0.0945454,1,0.9210559,0.2036816,0.391949,103800.0,5,31314.0,10,0.058268853,0.01980261,11.550221,10.351821,9.819453,1,0,1,0
11,1.06,1.05,1.06,4.5,4.0,2.0,15.5,20.0,1.11,1.09,2.07,5.05,4.0,2.0,15.5,20.0,0,4,18388.0,0.0945454,1,0.9210559,0.2036816,0.391949,103800.0,5,31314.0,10,0.058268853,0.04879012,11.550221,10.351821,9.819453,1,0,0,0
12,1.05,0.95,2.74,4.25,3.0,5.0,13.5,17.0,1.05,0.84,2.32,5.05,2.0,5.0,12.5,9.5,0,2,11401.0,0.14823,1,0.9210559,0.2036816,0.391949,103800.0,5,31314.0,10,0.04879012,-0.051293306,11.550221,10.351821,9.341456,1,0,1,0
13,1.17,1.06,1.17,4.35,4.0,,15.0,7.5,,,,,0.0,,,0.0,1,1,12627.0,0.0304465,1,0.0139109,0.0845399,0.2272727,191300.0,1,38569.0,2,0.15700372,0.058268853,12.161598,10.5602045,9.443593,1,1,0,0
14,1.15,0.95,0.95,4.5,2.0,2.0,16.0,8.0,1.16,1.01,1.05,5.05,2.0,2.0,16.0,8.0,0,1,12799.0,0.0375348,1,0.0102124,0.0598162,0.1416858,282800.0,2,60657.0,2,0.13976192,-0.051293306,12.552495,11.01299,9.457122,1,1,0,0
15,1.27,1.17,1.1,5.0,4.0,4.0,16.5,20.0,1.37,1.16,1.16,5.05,5.0,4.0,16.5,22.5,0,1,12799.0,0.0375348,1,0.0102124,0.0598162,0.1416858,282800.0,2,60657.0,2,0.23901689,0.15700372,12.552495,11.01299,9.457122,1,1,0,0
16,1.06,0.91,0.98,5.56,4.0,5.0,16.0,37.5,1.01,0.94,0.94,5.05,4.0,5.0,16.0,20.0,0,1,6039.0,0.031701,1,0.0060904,0.0386507,0.0757396,167700.0,2,47891.0,28,0.058268853,-0.09431065,12.029932,10.776683,8.705994,1,1,0,0
17,1.06,0.98,1.06,4.62,3.0,2.0,12.5,16.5,1.05,0.89,2.11,5.14,3.0,2.0,12.5,22.0,0,4,11187.0,0.0508752,1,0.0035406,0.1118771,0.2258587,138000.0,1,36705.0,12,0.058268853,-0.020202687,11.835009,10.510668,9.322508,1,0,0,0
18,1.06,0.91,0.98,4.25,5.0,4.0,16.0,24.0,1.05,0.9,1.04,5.05,4.0,4.0,16.0,19.0,0,1,3750.0,0.0607903,1,0.0104519,0.0608489,0.1745955,166500.0,1,43022.0,12,0.058268853,-0.09431065,12.022751,10.669467,8.229511,1,1,0,0
19,1.2,1.02,1.02,5.5,3.0,5.0,13.5,19.0,1.11,1.11,1.05,5.05,4.0,5.0,13.0,14.0,0,3,1901.0,0.034011,1,0.0073866,0.0135908,0.0190736,245400.0,3,79025.0,10,0.1823216,0.01980261,12.410645,11.277519,7.550135,1,0,0,1
20,0.95,0.95,1.06,4.5,3.0,4.0,13.5,23.0,1.01,0.94,0.94,5.5,3.0,4.0,13.5,27.5,0,1,1901.0,0.034011,1,0.0073866,0.0135908,0.0190736,245400.0,3,79025.0,10,-0.051293306,-0.051293306,12.410645,11.277519,7.550135,1,1,0,0
21,1.11,0.95,1.01,4.25,4.0,2.0,16.0,17.5,0.94,0.94,1.0,5.05,4.0,2.0,15.5,17.5,0,1,5413.0,0.0518659,1,0.120063,0.0322987,0.0735369,198800.0,1,65296.0,10,0.10436003,-0.051293306,12.200054,11.086686,8.596559,1,1,0,0
22,1.02,1.02,0.95,,3.0,3.0,16.0,,0.9,0.95,0.95,5.05,4.0,3.0,16.0,19.0,0,1,6085.0,0.0554746,1,0.4336102,0.0765275,0.150848,245900.0,1,56893.0,10,0.01980261,0.01980261,12.412681,10.948928,8.713582,1,1,0,0
23,1.06,0.98,1.06,5.0,3.0,,14.0,17.0,1.11,1.09,2.07,5.05,6.0,,12.5,17.5,0,4,8966.0,0.0527327,1,0.022127,0.0927505,0.2365868,173500.0,3,40719.0,12,0.058268853,-0.020202687,12.063932,10.61445,9.101195,1,0,0,0
24,1.27,1.01,1.06,4.25,4.0,3.0,17.0,21.0,1.37,1.02,1.05,5.05,5.0,3.0,17.0,23.0,0,1,8966.0,0.0527327,1,0.022127,0.0927505,0.2365868,173500.0,3,40719.0,12,0.23901689,0.009950321,12.063932,10.61445,9.101195,1,1,0,0
25,1.17,0.95,0.85,4.75,6.0,2.0,16.0,16.0,1.37,0.95,2.03,5.05,6.0,2.0,16.0,17.0,0,4,13602.0,0.1087385,1,0.6963651,0.1611239,0.2604226,119300.0,1,33306.0,10,0.15700372,-0.051293306,11.689397,10.413493,9.517972,1,0,0,0
26,1.18,1.02,1.06,5.1,3.0,6.0,17.0,32.5,1.1,1.0,1.05,5.05,3.0,6.0,17.0,22.5,1,3,3232.0,0.0463903,1,0.0557306,0.0403421,0.0751378,201600.0,2,59266.0,10,0.1655144,0.01980261,12.214041,10.989791,8.080856,1,0,0,1
27,1.06,0.95,0.95,4.75,3.0,3.0,16.0,21.0,1.05,0.95,0.95,5.05,4.0,3.0,15.0,23.0,0,1,3232.0,0.0463903,1,0.0557306,0.0403421,0.0751378,201600.0,2,59266.0,10,0.058268853,-0.051293306,12.214041,10.989791,8.080856,1,1,0,0
28,1.17,0.95,1.02,5.12,4.0,3.0,15.0,42.5,1.16,0.94,0.94,5.05,5.0,3.0,15.0,18.75,0,1,1995.0,0.0288791,1,0.0323523,0.026696,0.0639248,218600.0,3,57424.0,21,0.15700372,-0.051293306,12.294999,10.958218,7.598399,1,1,0,0
29,1.06,0.89,1.06,5.0,3.0,2.0,12.5,25.0,1.05,0.98,1.05,5.05,4.0,2.0,12.5,18.5,0,4,1995.0,0.0288791,1,0.0323523,0.026696,0.0639248,218600.0,3,57424.0,21,0.058268853,-0.11653383,12.294999,10.958218,7.598399,1,0,0,0
30,1.12,1.02,1.06,5.0,4.0,7.0,17.0,20.5,1.11,1.06,1.05,5.05,4.0,7.0,17.0,32.0,1,3,1995.0,0.0288791,1,0.0323523,0.026696,0.0639248,218600.0,3,57424.0,21,0.11332869,0.01980261,12.294999,10.958218,7.598399,1,0,0,1
31,1.1,0.97,1.17,4.25,,4.0,18.0,29.0,1.11,1.01,1.09,5.05,4.0,4.0,18.0,20.0,1,1,18138.0,0.0672456,1,0.2046583,0.1691744,0.304244,163000.0,2,30877.0,24,0.095310204,-0.030459179,12.001506,10.337767,9.805764,1,1,0,0
32,1.1,1.02,1.06,5.25,3.0,6.0,17.0,30.0,1.11,1.06,1.05,5.05,3.0,6.0,16.0,17.0,1,3,822.0,0.0205128,1,0.0050961,0.0085349,0.0102362,292400.0,1,82797.0,21,0.095310204,0.01980261,12.585878,11.324147,6.7117405,1,0,0,1
33,1.06,1.01,2.56,4.5,2.0,3.0,11.0,3.5,1.05,1.05,2.64,5.05,3.0,3.0,11.0,6.5,0,2,7761.0,0.0759336,1,0.3598951,0.0931701,0.1330847,175600.0,5,47738.0,28,0.058268853,0.009950321,12.075964,10.773483,8.956866,1,0,1,0
34,1.06,1.17,2.56,4.5,1.0,3.0,10.0,7.0,,1.05,2.64,,3.0,3.0,10.0,7.0,0,2,6970.0,0.0730606,1,0.3598951,0.0931701,0.1330847,175600.0,5,47738.0,26,0.058268853,0.15700372,12.075964,10.773483,8.849371,1,0,1,0
35,1.12,1.02,1.06,4.95,3.0,5.0,11.5,12.5,1.22,1.11,0.73,5.05,3.0,5.0,11.5,14.5,1,3,6970.0,0.0730606,1,0.3598951,0.0931701,0.1330847,175600.0,5,47738.0,26,0.11332869,0.01980261,12.075964,10.773483,8.849371,1,0,0,1
36,0.96,0.95,2.13,4.5,4.0,2.0,11.5,28.25,1.03,,,5.05,3.0,2.0,11.5,22.0,0,4,7761.0,0.0759336,1,0.636803,0.0816689,0.1053588,142300.0,1,48209.0,28,-0.040822018,-0.051293306,11.865693,10.783301,8.956866,1,0,0,0
37,1.12,1.0,1.02,4.35,3.0,5.0,17.0,27.5,1.05,1.05,1.05,5.05,3.0,5.0,16.0,29.5,1,3,3229.0,0.0203021,1,0.0048807,0.0182062,0.0475192,196500.0,3,53961.0,28,0.11332869,0.0,12.188417,10.896017,8.079927,1,0,0,1
38,1.06,0.95,1.01,5.3,4.0,3.0,16.0,13.0,1.05,0.94,1.0,5.05,6.0,3.0,16.0,8.5,1,1,3229.0,0.0203021,1,0.0048807,0.0182062,0.0475192,196500.0,3,53961.0,28,0.058268853,-0.051293306,12.188417,10.896017,8.079927,1,1,0,0
39,1.1,0.96,1.1,5.0,4.0,6.0,18.5,14.0,1.05,0.99,1.03,5.05,4.0,6.0,19.0,27.5,1,1,6842.0,0.0252389,1,0.0319843,0.0367507,0.0947038,209100.0,2,55878.0,2,0.095310204,-0.040822018,12.250567,10.930926,8.830835,1,1,0,0
40,1.18,1.07,1.17,5.0,4.0,6.0,19.0,31.0,1.06,1.06,1.05,5.05,3.0,6.0,19.0,34.0,0,3,6842.0,0.0252389,1,0.0319843,0.0367507,0.0947038,209100.0,2,55878.0,2,0.1655144,0.0676587,12.250567,10.930926,8.830835,1,0,0,1
41,1.09,1.12,1.06,5.05,,4.0,18.0,28.5,1.11,1.06,1.05,5.05,3.0,4.0,16.0,22.5,1,3,3885.0,0.0450115,1,0.0046135,0.038405,0.1214642,174600.0,1,47113.0,2,0.08617773,0.11332869,12.070253,10.760304,8.264878,1,0,0,1
42,1.01,0.95,1.03,5.0,4.0,6.0,15.5,20.0,1.1,0.94,1.02,5.05,4.0,6.0,15.5,25.5,1,1,1687.0,0.0507632,1,0.0032339,0.023415,0.0392157,186800.0,1,41196.0,2,0.009950321,-0.051293306,12.137794,10.626097,7.430707,1,1,0,0
43,1.12,1.02,1.06,4.5,3.0,4.0,11.5,20.25,1.22,1.11,2.28,5.05,3.0,4.0,11.5,14.5,0,3,2300.0,0.0231569,1,0.131472,0.0182582,0.0390742,205000.0,2,62927.0,28,0.11332869,0.01980261,12.230765,11.04973,7.7406645,1,0,0,1
44,1.07,1.02,0.74,4.5,3.0,6.0,16.5,19.5,1.11,1.06,1.05,5.05,3.0,6.0,15.5,18.0,1,3,1863.0,0.0380032,1,0.0131481,0.0155316,0.0197224,473400.0,1,136529.0,10,0.0676587,0.01980261,13.067696,11.824292,7.5299435,1,0,0,1
45,1.06,0.95,0.95,4.5,3.0,3.0,16.0,12.5,1.05,0.94,0.94,5.05,3.0,3.0,16.5,21.0,0,1,2499.0,0.0536385,1,0.0668875,0.0278037,0.0266369,161300.0,3,54216.0,18,0.058268853,-0.051293306,11.991021,10.900731,7.823646,1,1,0,0
46,1.02,1.07,0.95,5.0,4.0,4.0,17.0,22.0,1.11,1.06,1.05,5.05,5.0,4.0,17.0,11.5,0,3,2499.0,0.0536385,1,0.0668875,0.0278037,0.0266369,161300.0,3,54216.0,18,0.01980261,0.0676587,11.991021,10.900731,7.823646,1,0,0,1
47,1.02,0.95,1.04,4.25,1.0,4.0,16.0,13.5,1.11,1.11,1.03,5.05,3.0,4.0,15.0,,0,1,2581.0,0.0302534,1,0.0318239,0.0257156,0.0709232,216500.0,1,58339.0,5,0.01980261,-0.051293306,12.285346,10.974026,7.855932,1,1,0,0
48,1.06,0.85,2.34,5.0,5.0,3.0,10.5,14.0,0.94,0.84,2.32,5.05,1.0,3.0,10.5,5.5,1,2,5558.0,0.0644691,1,0.0362969,0.0334931,0.1021236,176800.0,4,50968.0,12,0.058268853,-0.1625189,12.082774,10.838953,8.622993,1,0,1,0
49,1.02,,1.06,,3.0,,17.0,22.5,1.11,1.05,1.05,5.05,3.0,,18.0,16.0,1,3,5558.0,0.0644691,1,0.0362969,0.0334931,0.1021236,176800.0,4,50968.0,12,0.01980261,,12.082774,10.838953,8.622993,1,0,0,1
50,1.06,0.95,0.95,4.75,3.0,3.0,16.5,12.5,1.05,0.94,0.94,5.05,4.0,3.0,18.0,,0,1,5558.0,0.0644691,1,0.0362969,0.0334931,0.1021236,176800.0,4,50968.0,12,0.058268853,-0.051293306,12.082774,10.838953,8.622993,1,1,0,0
51,1.06,0.95,0.95,4.25,3.0,2.0,16.0,17.5,1.05,0.95,0.95,5.05,3.0,2.0,16.0,14.5,0,1,41437.0,0.060522,1,0.0485866,0.1676967,0.3827989,165400.0,3,29319.0,12,0.058268853,-0.051293306,12.016122,10.285991,10.631929,1,1,0,0
52,1.17,1.06,1.01,4.25,3.0,5.0,16.0,24.0,1.16,1.16,1.0,5.05,3.0,5.0,16.0,27.25,0,3,41437.0,0.060522,1,0.0485866,0.1676967,0.3827989,165400.0,3,29319.0,12,0.15700372,0.058268853,12.016122,10.285991,10.631929,1,0,0,1
53,1.06,1.06,2.53,5.0,2.0,2.0,10.0,8.0,0.94,0.92,2.69,5.05,2.0,2.0,10.0,5.5,0,2,4441.0,0.0250779,1,0.0424391,0.0165798,0.0401912,248500.0,1,76689.0,28,0.058268853,0.058268853,12.423198,11.247514,8.398635,1,0,1,0
54,0.96,1.0,1.03,4.25,4.0,4.0,16.5,20.0,1.05,0.99,1.16,5.05,4.0,4.0,16.5,22.5,0,1,41437.0,0.060522,1,0.0392887,0.1583852,0.39587,160300.0,3,30587.0,2,-0.040822018,0.0,11.984802,10.32833,10.631929,1,1,0,0
55,1.17,0.95,0.95,4.25,3.0,4.0,14.5,11.5,,1.01,1.0,5.05,2.0,4.0,14.0,18.5,1,1,2424.0,0.0879738,1,0.0235403,0.0518435,0.1062685,210800.0,2,59397.0,12,0.15700372,-0.051293306,12.258665,10.991999,7.7931743,1,1,0,0
56,1.12,1.07,1.06,,2.0,6.0,11.5,17.25,1.21,1.01,0.94,5.05,3.0,6.0,11.5,18.5,1,3,4030.0,0.0528866,1,0.0422394,0.0474361,0.0859714,155300.0,4,48350.0,18,0.11332869,0.0676587,11.953114,10.7862215,8.301521,1,0,0,1
57,,1.12,1.12,4.25,5.0,6.0,12.5,20.0,1.15,0.94,1.15,5.05,6.0,6.0,12.5,35.0,0,1,4030.0,0.0528866,1,0.0422394,0.0474361,0.0859714,155300.0,4,48350.0,18,,0.11332869,11.953114,10.7862215,8.301521,1,1,0,0
58,1.06,0.95,1.06,4.25,4.0,2.0,11.5,32.5,1.01,0.89,1.26,5.05,5.0,2.0,11.5,55.5,0,4,4030.0,0.0528866,1,0.0422394,0.0474361,0.0859714,155300.0,4,48350.0,18,0.058268853,-0.051293306,11.953114,10.7862215,8.301521,1,0,0,0
59,1.02,1.01,0.52,4.25,4.0,3.0,15.0,37.5,1.03,0.9,0.59,5.05,4.0,3.0,16.0,17.5,0,1,11401.0,0.14823,1,0.6599238,0.3292359,0.6272376,132300.0,3,20323.0,10,0.01980261,0.009950321,11.792828,9.919509,9.341456,1,1,0,0
60,1.06,0.85,2.34,4.75,3.0,5.0,11.0,6.75,1.05,0.94,2.32,5.25,4.0,5.0,14.0,13.5,1,2,11401.0,0.14823,1,0.8991615,0.4184797,0.6166425,71100.0,1,15919.0,10,0.058268853,-0.1625189,11.171843,9.675268,9.341456,1,0,1,0
61,1.06,0.85,2.34,4.25,4.0,4.0,11.0,8.0,1.05,0.84,2.53,5.05,2.0,4.0,11.0,7.5,1,2,11401.0,0.14823,1,0.214263,0.2703646,0.4311189,146800.0,3,24773.0,10,0.058268853,-0.1625189,11.896827,10.11751,9.341456,1,0,1,0
62,1.12,1.02,1.06,4.25,5.0,4.0,17.0,18.0,1.11,1.01,1.05,5.05,3.0,4.0,17.0,10.0,0,1,11401.0,0.14823,1,0.214263,0.2703646,0.4311189,146800.0,3,24773.0,10,0.11332869,0.01980261,11.896827,10.11751,9.341456,1,1,0,0
63,1.05,0.94,1.07,4.25,3.0,3.0,16.0,18.0,1.11,1.09,1.0,5.05,4.0,3.0,16.0,21.5,1,1,11401.0,0.14823,1,0.0627508,0.1446121,0.3051076,117600.0,2,32241.0,10,0.04879012,-0.061875407,11.675044,10.380994,9.341456,1,1,0,0
64,1.06,0.85,2.34,4.75,3.0,4.0,11.0,3.5,1.01,0.84,2.32,5.05,6.0,4.0,11.0,10.0,0,2,11401.0,0.14823,1,0.0627508,0.1446121,0.3051076,117600.0,2,32241.0,10,0.058268853,-0.1625189,11.675044,10.380994,9.341456,1,0,1,0
65,1.06,0.95,1.11,4.25,5.0,4.0,16.0,18.0,1.15,0.95,1.13,5.05,4.0,4.0,16.0,17.5,0,1,11401.0,0.14823,1,0.4554334,0.2722042,0.4581265,95400.0,3,24189.0,10,0.058268853,-0.051293306,11.465834,10.093654,9.341456,1,1,0,0
66,1.06,0.85,2.34,4.95,2.0,3.0,12.0,7.0,1.05,0.84,2.32,5.25,3.0,3.0,11.0,20.75,1,2,11401.0,0.14823,1,0.4554334,0.2722042,0.4581265,95400.0,3,24189.0,10,0.058268853,-0.1625189,11.465834,10.093654,9.341456,1,0,1,0
67,1.18,1.02,1.06,4.25,5.0,6.0,19.0,19.5,1.11,1.05,1.05,5.05,3.0,6.0,18.0,17.5,1,3,11401.0,0.14823,1,0.9624618,0.3279841,0.5172657,81300.0,1,21790.0,10,0.1655144,0.01980261,11.305902,9.989206,9.341456,1,0,0,1
68,1.12,1.02,1.02,4.25,4.0,6.0,17.0,24.0,1.11,1.06,1.05,5.05,6.0,6.0,16.5,32.5,1,3,6405.0,0.0419001,1,0.035449,0.0516433,0.1320658,161800.0,3,44883.0,24,0.11332869,0.01980261,11.994116,10.711814,8.764834,1,0,0,1
69,1.06,0.98,2.03,4.75,3.0,2.0,12.5,11.0,1.11,1.09,2.07,5.05,3.0,2.0,12.5,17.5,0,4,10368.0,0.0507702,1,0.035449,0.0516433,0.1320658,161800.0,3,44883.0,10,0.058268853,-0.020202687,11.994116,10.711814,9.246479,1,0,0,0
70,1.02,0.95,0.95,4.25,3.0,3.0,17.0,12.5,1.05,0.94,0.94,5.05,3.0,3.0,17.0,23.5,0,1,7970.0,0.0252408,1,0.0144769,0.049851,0.0874396,185300.0,1,51451.0,10,0.01980261,-0.051293306,12.129731,10.848385,8.983439,1,1,0,0
71,1.06,0.85,2.34,4.62,8.0,4.0,13.0,25.0,1.05,0.84,2.32,5.05,8.0,4.0,13.0,28.5,1,2,21792.0,0.1247829,1,0.6982505,0.1237119,0.2928742,116600.0,2,35832.0,10,0.058268853,-0.1625189,11.666505,10.486597,9.989298,1,0,1,0
72,1.06,0.85,2.34,5.0,2.0,3.0,11.5,7.0,1.05,0.84,2.32,5.05,2.0,3.0,11.5,12.0,1,2,9410.0,0.0881439,1,0.3724901,0.1934995,0.2507019,117300.0,3,28417.0,28,0.058268853,-0.1625189,11.67249,10.254743,9.1495285,1,0,1,0
73,1.19,1.19,1.06,4.25,4.0,5.0,18.0,26.25,1.26,,1.05,5.2,6.0,5.0,24.0,37.5,1,3,9410.0,0.0881439,1,0.3724901,0.1934995,0.2507019,117300.0,3,28417.0,28,0.17395335,0.17395335,11.67249,10.254743,9.1495285,1,0,0,1
74,0.91,0.91,1.94,4.25,4.0,2.0,11.5,14.0,0.97,0.9,2.06,5.05,3.0,2.0,11.5,14.5,0,4,9410.0,0.0881439,1,0.0881337,0.1346107,0.2439099,133700.0,2,31887.0,28,-0.09431065,-0.09431065,11.803353,10.369954,9.1495285,1,0,0,0
75,1.27,1.27,2.24,4.5,3.0,5.0,17.0,20.0,1.4,1.29,1.05,5.05,4.0,5.0,24.0,17.5,0,3,7524.0,0.0487349,1,0.3865509,0.0504637,0.1348285,139500.0,1,46803.0,28,0.23901689,0.23901689,11.845819,10.753702,8.925853,1,0,0,1
76,1.06,0.91,0.98,4.25,3.0,3.0,16.0,16.5,1.05,0.94,0.98,5.05,4.0,3.0,16.0,30.0,1,1,9850.0,0.0254588,1,0.0067308,0.0334977,0.0735323,159800.0,2,50665.0,28,0.058268853,-0.09431065,11.981678,10.832991,9.195227,1,1,0,0
77,1.06,0.95,0.95,,3.0,3.0,16.0,17.5,1.05,0.94,0.94,5.05,3.0,3.0,16.0,17.5,0,1,7794.0,0.0788823,1,0.4058144,0.0600893,0.0990379,138500.0,2,46966.0,28,0.058268853,-0.051293306,11.838626,10.757179,8.961109,1,1,0,0
78,1.27,1.27,1.06,4.39,3.0,5.0,17.0,10.0,1.37,1.31,1.05,5.05,4.0,5.0,18.0,16.0,1,3,9410.0,0.0881439,1,0.1115545,0.1091816,0.2028275,167200.0,2,37367.0,28,0.23901689,0.23901689,12.026946,10.528543,9.1495285,1,0,0,1
79,0.91,0.91,1.06,,4.0,2.0,11.5,15.0,1.01,0.95,1.05,5.05,3.0,2.0,11.5,50.0,0,4,9410.0,0.0881439,1,0.1115545,0.1091816,0.2028275,167200.0,2,37367.0,28,-0.09431065,-0.09431065,12.026946,10.528543,9.1495285,1,0,0,0
80,1.17,0.95,0.63,4.25,4.0,3.0,19.0,37.0,1.15,0.95,0.64,5.05,4.0,3.0,19.0,18.5,0,1,15600.0,0.0897754,1,0.4766138,0.2363158,0.4307489,123400.0,3,29740.0,12,0.15700372,-0.051293306,11.7231865,10.300248,9.655026,1,1,0,0
81,1.06,0.85,2.34,4.75,4.0,5.0,12.0,13.0,1.05,0.84,2.32,5.2,2.0,5.0,12.0,11.5,1,2,15600.0,0.0897754,1,0.4766138,0.2363158,0.4307489,123400.0,3,29740.0,12,0.058268853,-0.1625189,11.7231865,10.300248,9.655026,1,0,1,0
82,1.19,0.94,0.85,4.62,4.0,5.0,17.0,28.0,1.06,1.06,1.05,5.05,3.0,5.0,14.0,21.0,1,3,15600.0,0.0897754,1,0.5331899,0.1597511,0.3240626,124600.0,2,35731.0,12,0.17395335,-0.061875407,11.732863,10.483774,9.655026,1,0,0,1
83,1.17,0.95,0.95,4.25,4.0,5.0,18.0,22.0,1.11,1.06,1.05,5.05,4.0,5.0,16.0,24.5,1,3,15600.0,0.0897754,1,0.5331899,0.1597511,0.3240626,124600.0,2,35731.0,12,0.15700372,-0.051293306,11.732863,10.483774,9.655026,1,0,0,1
84,1.06,0.95,0.95,4.5,2.0,4.0,11.5,9.5,,,,5.05,3.0,4.0,11.0,7.0,1,4,15600.0,0.0897754,1,0.1520273,0.2041798,0.4508839,116000.0,3,30577.0,12,0.058268853,-0.051293306,11.6613455,10.328003,9.655026,1,0,0,0
85,1.06,0.95,0.95,4.25,2.0,3.0,17.0,15.0,1.05,0.95,0.95,5.05,3.0,3.0,17.0,21.0,0,1,15600.0,0.0897754,1,0.1520273,0.2041798,0.4508839,116000.0,3,30577.0,12,0.058268853,-0.051293306,11.6613455,10.328003,9.655026,1,1,0,0
86,1.06,1.0,1.06,4.25,4.0,3.0,17.5,14.25,1.05,0.99,1.05,5.05,3.0,3.0,17.5,18.75,0,1,15600.0,0.0897754,1,0.0462981,0.15092,0.371198,131800.0,2,34443.0,12,0.058268853,0.0,11.789041,10.447062,9.655026,1,1,0,0
87,1.06,1.02,0.95,4.5,3.0,3.0,17.0,16.5,1.05,0.95,0.95,5.05,3.0,3.0,17.0,27.0,0,1,15600.0,0.0897754,1,0.0462981,0.15092,0.371198,131800.0,2,34443.0,12,0.058268853,0.01980261,11.789041,10.447062,9.655026,1,1,0,0
88,1.06,0.95,1.02,4.5,5.0,3.0,16.0,45.0,1.05,0.95,1.01,5.05,5.0,3.0,16.0,25.0,0,1,3752.0,0.0273268,1,0.0039605,0.0262524,0.0316048,222500.0,1,64818.0,21,0.058268853,-0.051293306,12.312682,11.079339,8.230044,1,1,0,0
89,1.04,1.12,1.02,4.25,3.0,4.0,16.0,17.5,1.19,0.98,1.01,5.05,3.0,4.0,16.0,17.5,0,1,1131.0,0.0377738,1,0.000751,0.0639788,0.0733945,128200.0,2,42755.0,27,0.039220676,0.11332869,11.761347,10.663241,7.0308576,1,1,0,0
90,1.12,1.02,1.02,5.0,3.0,5.0,17.0,18.0,1.11,1.01,1.05,5.05,2.0,5.0,16.0,16.0,1,3,4034.0,0.0726935,1,0.0166947,0.0344314,0.0673256,190900.0,4,51848.0,24,0.11332869,0.01980261,12.159505,10.856071,8.302514,1,0,0,1
