,male,educ,wage,swage,exper,pexper,lwage,expersq,highgrad,college,grad,polytech,highdrop,lswage,pexpersq,mleeduc,mleeduc0
73,1,8,30000,15000,16,25,10.308952,256,0,0,0,0,1,9.615806,625,8,-6
74,0,12,22050,10950,16,1,10.001068,256,1,0,0,0,0,9.301095,1,0,0
75,1,15,57000,27000,17,25,10.950807,289,0,0,0,1,0,10.203592,625,15,1
76,1,16,40200,18750,17,6,10.601623,289,0,1,0,0,0,9.838949,36,16,2
77,0,8,21900,13200,17,33,9.994242,289,0,0,0,0,1,9.487972,1089,0,0
78,1,15,45000,21000,17,24,10.714417,289,0,0,0,1,0,9.952278,576,15,1
79,1,15,32100,13500,17,12,10.376612,289,0,0,0,1,0,9.510445,144,15,1
80,1,15,36000,18750,17,20,10.491274,289,0,0,0,1,0,9.838949,400,15,1
81,0,12,21900,9750,17,0,9.994242,289,1,0,0,0,0,9.185022,0,0,0
82,0,15,27900,12750,17,20,10.236382,289,0,0,0,1,0,9.453286,400,0,0
83,0,16,30300,16500,17,25,10.318903,289,0,1,0,0,0,9.711116,625,0,0
84,1,8,28350,12000,17,5,10.252382,289,0,0,0,0,1,9.392662,25,8,-6
85,1,15,27750,14250,17,6,10.230991,289,0,0,0,1,0,9.564512,36,15,1
86,0,15,35100,16800,17,24,10.465957,289,0,0,0,1,0,9.729135,576,0,0
87,1,12,27300,13500,17,11,10.214642,289,1,0,0,0,0,9.510445,121,12,-2
88,1,12,40800,15000,17,4,10.616437,289,1,0,0,0,0,9.615806,16,12,-2
89,1,15,46000,14250,17,8,10.736397,289,0,0,0,1,0,9.564512,64,15,1
90,1,16,103750,27510,17,12,11.54974,289,0,1,0,0,0,10.222305,144,16,2
91,1,12,42300,14250,17,18,10.652542,289,1,0,0,0,0,9.564512,324,12,-2
92,1,18,78250,27480,16,8,11.267664,256,0,0,1,0,0,10.221213,64,18,4
93,1,16,60625,22500,16,8,11.012463,256,0,1,0,0,0,10.021271,64,16,2
94,1,14,39900,15750,16,10,10.594131,256,0,0,0,1,0,9.664596,100,14,0
95,1,19,97000,35010,16,12,11.482467,256,0,0,1,0,0,10.463389,144,19,5
96,1,15,27450,15750,16,8,10.220121,256,0,0,0,1,0,9.664596,64,15,1
97,1,15,31650,13500,16,3,10.3624935,256,0,0,0,1,0,9.510445,9,15,1
98,1,19,91250,29490,16,4,11.421358,256,0,0,1,0,0,10.291806,16,19,5
99,0,12,25200,14400,16,14,10.1346,256,1,0,0,0,0,9.574984,196,0,0
100,0,12,21000,11550,16,19,9.952278,256,1,0,0,0,0,9.354441,361,0,0
101,1,12,30450,15000,16,9,10.323841,256,1,0,0,0,0,9.615806,81,12,-2
102,1,15,28350,18000,16,26,10.252382,256,0,0,0,1,0,9.798127,676,15,1
103,1,16,54875,27480,16,12,10.912813,256,0,1,0,0,0,10.221213,144,16,2
104,1,14,37800,16500,16,10,10.540065,256,0,0,0,1,0,9.711116,100,14,0
105,1,15,33450,14100,16,15,10.417807,256,0,0,0,1,0,9.55393,225,15,1
106,1,15,30300,16500,16,3,10.318903,256,0,0,0,1,0,9.711116,9,15,1
107,0,12,31500,18750,16,36,10.357743,256,1,0,0,0,0,9.838949,1296,0,0
108,0,12,31650,14250,16,8,10.3624935,256,1,0,0,0,0,9.564512,64,0,0
109,0,12,25200,14100,16,10,10.1346,256,1,0,0,0,0,9.55393,100,0,0
110,0,16,37800,15750,16,1,10.540065,256,0,1,0,0,0,9.664596,1,0,0
111,0,15,18750,10500,16,9,9.838949,256,0,0,0,1,0,9.2591305,81,0,0
112,0,15,32550,13500,16,4,10.3905325,256,0,0,0,1,0,9.510445,16,0,0
113,0,12,33300,15000,16,1,10.413313,256,1,0,0,0,0,9.615806,1,0,0
114,0,16,38550,16500,16,0,10.559711,256,0,1,0,0,0,9.711116,0,0,0
115,1,12,27450,15000,16,30,10.220121,256,1,0,0,0,0,9.615806,900,12,-2
116,1,15,24300,15000,16,33,10.098231,256,0,0,0,1,0,9.615806,1089,15,1
117,1,12,30750,15000,16,36,10.333645,256,1,0,0,0,0,9.615806,1296,12,-2
118,0,12,19650,9750,16,40,9.885833,256,1,0,0,0,0,9.185022,1600,0,0
119,1,17,68750,27510,15,7,11.138232,225,0,0,1,0,0,10.222305,49,17,3
120,1,20,59375,30000,15,1,10.991629,225,0,0,1,0,0,10.308952,1,20,6
121,1,15,31500,15750,15,4,10.357743,225,0,0,0,1,0,9.664596,16,15,1
122,1,12,27300,17250,15,30,10.214642,225,1,0,0,0,0,9.755568,900,12,-2
123,1,15,27000,15750,15,15,10.203592,225,0,0,0,1,0,9.664596,225,15,1
124,0,12,26250,10950,15,0,10.175422,225,1,0,0,0,0,9.301095,0,0,0
125,0,8,20100,13200,15,16,9.908475,225,0,0,0,0,1,9.487972,256,0,0
126,0,12,22350,13500,15,5,10.014582,225,1,0,0,0,0,9.510445,25,0,0
127,0,15,35550,13350,15,6,10.478696,225,0,0,0,1,0,9.499271,36,0,0
128,0,12,28500,13950,15,6,10.257659,225,1,0,0,0,0,9.543235,36,0,0
129,0,12,24450,13200,15,19,10.104385,225,1,0,0,0,0,9.487972,361,0,0
130,1,12,26700,13500,15,7,10.192419,225,1,0,0,0,0,9.510445,49,12,-2
131,1,18,43950,23250,15,32,10.690808,225,0,0,1,0,0,10.05406,1024,18,4
132,0,15,26550,14250,15,11,10.186785,225,0,0,0,1,0,9.564512,121,0,0
133,1,12,27600,15000,15,13,10.225571,225,1,0,0,0,0,9.615806,169,12,-2
134,1,12,25800,15000,15,25,10.15813,225,1,0,0,0,0,9.615806,625,12,-2
135,1,16,42300,26250,15,22,10.652542,225,0,1,0,0,0,10.175422,484,16,2
136,0,12,26700,12900,15,3,10.192419,225,1,0,0,0,0,9.464983,9,0,0
137,0,12,20850,12000,15,28,9.945109,225,1,0,0,0,0,9.392662,784,0,0
138,1,15,35250,15000,15,9,10.470221,225,0,0,0,1,0,9.615806,81,15,1
139,1,15,26700,15000,15,10,10.192419,225,0,0,0,1,0,9.615806,100,15,1
140,0,12,26550,13050,15,2,10.186785,225,1,0,0,0,0,9.476543,4,0,0
141,0,12,27750,12000,15,2,10.230991,225,1,0,0,0,0,9.392662,4,0,0
142,0,16,25050,12750,15,21,10.128629,225,0,1,0,0,0,9.453286,441,0,0
143,1,16,66000,47490,15,26,11.09741,225,0,1,0,0,0,10.768274,676,16,2
144,1,16,52650,19500,15,3,10.871422,225,0,1,0,0,0,9.87817,9,16,2
145,1,16,45625,23250,15,10,10.728211,225,0,1,0,0,0,10.05406,100,16,2
146,1,15,30900,15000,15,4,10.338511,225,0,0,0,1,0,9.615806,16,15,1
147,0,15,29400,16500,15,4,10.28875,225,0,0,0,1,0,9.711116,16,0,0
148,0,15,33300,13500,15,4,10.413313,225,0,0,0,1,0,9.510445,16,0,0
149,0,12,21900,9750,15,27,9.994242,225,1,0,0,0,0,9.185022,729,0,0
150,0,12,18150,9750,15,13,9.806426,225,1,0,0,0,0,9.185022,169,0,0
151,0,16,46875,17250,15,3,10.7552395,225,0,1,0,0,0,9.755568,9,0,0
152,1,12,25500,14400,15,6,10.146434,225,1,0,0,0,0,9.574984,36,12,-2
153,1,12,26550,15000,15,7,10.186785,225,1,0,0,0,0,9.615806,49,12,-2
154,0,15,29850,15000,15,14,10.30394,225,0,0,0,1,0,9.615806,196,0,0
155,1,20,69250,42480,15,23,11.145478,225,0,0,1,0,0,10.656789,529,20,6
156,1,8,26250,15600,15,30,10.175422,225,0,0,0,0,1,9.655026,900,8,-6
157,0,16,35700,17250,15,3,10.482906,225,0,1,0,0,0,9.755568,9,0,0
158,0,12,28500,16500,15,12,10.257659,225,1,0,0,0,0,9.711116,144,0,0
159,0,12,17100,10200,15,13,9.746834,225,1,0,0,0,0,9.230143,169,0,0
160,1,12,25200,13050,15,5,10.1346,225,1,0,0,0,0,9.476543,25,12,-2
161,0,12,24000,12750,15,10,10.085809,225,1,0,0,0,0,9.453286,100,0,0
162,0,12,27450,10200,15,18,10.220121,225,1,0,0,0,0,9.230143,324,0,0
163,0,12,18450,10200,15,40,9.82282,225,1,0,0,0,0,9.230143,1600,0,0
164,1,15,39300,15750,15,13,10.5789795,225,0,0,0,1,0,9.664596,169,15,1
165,1,15,38850,15000,15,9,10.567463,225,0,0,0,1,0,9.615806,81,15,1
166,1,15,37500,20400,15,6,10.532096,225,0,0,0,1,0,9.92329,36,15,1
167,1,16,58750,21750,15,2,10.981047,225,0,1,0,0,0,9.987369,4,16,2
168,0,12,34500,18750,15,36,10.448714,225,1,0,0,0,0,9.838949,1296,0,0
169,0,8,29100,16500,15,6,10.278494,225,0,0,0,0,1,9.711116,36,0,0
170,1,12,19650,12750,15,31,9.885833,225,1,0,0,0,0,9.453286,961,12,-2
171,0,12,24750,12000,15,7,10.116581,225,1,0,0,0,0,9.392662,49,0,0
172,0,15,27150,15750,15,40,10.209132,225,0,0,0,1,0,9.664596,1600,0,0
173,0,12,26400,12750,15,6,10.181119,225,1,0,0,0,0,9.453286,36,0,0
174,0,16,23100,12000,15,37,10.047588,225,0,1,0,0,0,9.392662,1369,0,0
175,1,15,54900,25500,14,9,10.913269,196,0,0,0,1,0,10.146434,81,15,1
176,1,19,70875,43500,14,27,11.1686735,196,0,0,1,0,0,10.680516,729,19,5
177,1,16,51250,27480,14,12,10.844471,196,0,1,0,0,0,10.221213,144,16,2
178,1,17,67500,34980,14,2,11.119883,196,0,0,1,0,0,10.462532,4,17,3
179,1,12,29340,19500,14,26,10.286707,196,1,0,0,0,0,9.87817,676,12,-2
180,1,15,39600,16500,14,8,10.586584,196,0,0,0,1,0,9.711116,64,15,1
181,1,12,29100,15000,14,9,10.278494,196,1,0,0,0,0,9.615806,81,12,-2
182,1,15,33150,16500,14,12,10.408798,196,0,0,0,1,0,9.711116,144,15,1
183,1,15,27300,17250,14,16,10.214642,196,0,0,0,1,0,9.755568,256,15,1
184,0,12,24000,11250,14,3,10.085809,196,1,0,0,0,0,9.328123,9,0,0
185,0,8,19800,10200,14,13,9.893437,196,0,0,0,0,1,9.230143,169,0,0
186,1,15,30600,16500,14,38,10.328755,196,0,0,0,1,0,9.711116,1444,15,1
187,1,15,28950,15000,14,19,10.273326,196,0,0,0,1,0,9.615806,361,15,1
188,1,15,38400,16500,14,11,10.555813,196,0,0,0,1,0,9.711116,121,15,1
189,0,12,20400,10950,14,2,9.92329,196,1,0,0,0,0,9.301095,4,0,0
190,0,12,19200,11100,14,1,9.862665,196,1,0,0,0,0,9.3147,1,0,0
191,1,15,30150,15750,14,13,10.31394,196,0,0,0,1,0,9.664596,169,15,1
192,1,16,34620,27750,14,26,10.452187,196,0,1,0,0,0,10.230991,676,16,2
193,1,15,80000,15750,14,6,11.289782,196,0,0,0,1,0,9.664596,36,15,1
194,1,12,25350,15000,14,6,10.140534,196,1,0,0,0,0,9.615806,36,12,-2
195,1,12,29850,15750,14,15,10.30394,196,1,0,0,0,0,9.664596,225,12,-2
196,0,12,24000,13800,14,17,10.085809,196,1,0,0,0,0,9.532424,289,0,0
197,0,8,22350,10200,14,8,10.014582,196,0,0,0,0,1,9.230143,64,0,0
198,0,12,16200,10200,14,0,9.692766,196,1,0,0,0,0,9.230143,0,0,0
199,0,15,21900,12750,14,0,9.994242,196,0,0,0,1,0,9.453286,0,0,0
200,0,16,23250,15750,14,1,10.05406,196,0,1,0,0,0,9.664596,1,0,0
201,0,12,33900,12000,14,2,10.43117,196,1,0,0,0,0,9.392662,4,0,0
202,0,15,25650,14250,14,9,10.152299,196,0,0,0,1,0,9.564512,81,0,0
203,1,16,40200,21000,14,1,10.601623,196,0,1,0,0,0,9.952278,1,16,2
204,1,19,55500,33750,14,11,10.924138,196,0,0,1,0,0,10.426736,121,19,5
205,1,15,26550,15000,14,9,10.186785,196,0,0,0,1,0,9.615806,81,15,1
206,1,15,50550,19500,14,8,10.830718,196,0,0,0,1,0,9.87817,64,15,1
207,1,19,75000,31500,14,2,11.225244,196,0,0,1,0,0,10.357743,4,19,5
208,0,8,27450,12000,14,2,10.220121,196,0,0,0,0,1,9.392662,4,0,0
209,0,12,22650,11250,14,0,10.027915,196,1,0,0,0,0,9.328123,0,0,0
210,0,12,27300,11250,14,1,10.214642,196,1,0,0,0,0,9.328123,1,0,0
211,0,12,27750,11225,14,1,10.230991,196,1,0,0,0,0,9.325899,1,0,0
212,0,16,54375,18750,14,14,10.90366,196,0,1,0,0,0,9.838949,196,0,0
213,0,12,40800,18000,14,1,10.616437,196,1,0,0,0,0,9.798127,1,0,0
214,0,12,23100,10950,14,0,10.047588,196,1,0,0,0,0,9.301095,0,0,0
215,0,8,22500,10950,14,1,10.021271,196,0,0,0,0,1,9.301095,1,0,0
216,0,12,26700,11550,14,3,10.192419,196,1,0,0,0,0,9.354441,9,0,0
217,0,12,24900,11250,14,0,10.122623,196,1,0,0,0,0,9.328123,0,0,0
218,0,12,19650,10950,14,2,9.885833,196,1,0,0,0,0,9.301095,4,0,0
219,0,12,22050,10950,14,2,10.001068,196,1,0,0,0,0,9.301095,4,0,0
220,0,12,25500,12000,14,2,10.146434,196,1,0,0,0,0,9.392662,4,0,0
221,0,15,28200,12750,14,3,10.247077,196,0,0,0,1,0,9.453286,9,0,0
222,0,12,23100,11250,14,2,10.047588,196,1,0,0,0,0,9.328123,4,0,0
223,1,12,25500,11400,14,2,10.146434,196,1,0,0,0,0,9.341369,4,12,-2
224,0,8,17100,10200,14,0,9.746834,196,0,0,0,0,1,9.230143,0,0,0
225,1,18,68125,32490,14,5,11.1291,196,0,0,1,0,0,10.388688,25,18,4
226,1,19,52125,27480,14,38,10.8614,196,0,0,1,0,0,10.221213,1444,19,5
227,1,19,61875,36750,14,35,11.032871,196,0,0,1,0,0,10.511893,1225,19,5
228,1,8,21300,11550,14,4,9.966462,196,0,0,0,0,1,9.354441,16,8,-6
229,0,12,19650,11250,14,1,9.885833,196,1,0,0,0,0,9.328123,1,0,0
230,0,12,22350,11250,14,1,10.014582,196,1,0,0,0,0,9.328123,1,0,0
231,0,12,23400,11250,14,3,10.060492,196,1,0,0,0,0,9.328123,9,0,0
232,0,12,24300,10950,14,1,10.098231,196,1,0,0,0,0,9.301095,1,0,0
233,0,12,28500,11250,14,1,10.257659,196,1,0,0,0,0,9.328123,1,0,0
234,0,12,19950,11250,14,1,9.900985,196,1,0,0,0,0,9.328123,1,0,0
235,0,12,23400,11250,14,0,10.060492,196,1,0,0,0,0,9.328123,0,0,0
236,0,16,34500,17250,14,1,10.448714,196,0,1,0,0,0,9.755568,1,0,0
237,0,12,18150,10950,14,0,9.806426,196,1,0,0,0,0,9.301095,0,0,0
238,1,15,40200,17250,14,7,10.601623,196,0,0,0,1,0,9.755568,49,15,1
239,1,15,27750,16500,14,10,10.230991,196,0,0,0,1,0,9.711116,100,15,1
240,1,18,66875,31980,14,5,11.11058,196,0,0,1,0,0,10.372866,25,18,4
241,1,16,83750,21750,14,2,11.335591,196,0,1,0,0,0,9.987369,4,16,2
242,1,12,33900,16500,14,16,10.43117,196,1,0,0,0,0,9.711116,256,12,-2
243,1,16,56500,21000,14,2,10.941996,196,0,1,0,0,0,9.952278,4,16,2
244,0,16,43000,17490,14,3,10.668956,196,0,1,0,0,0,9.769384,9,0,0
245,0,8,20850,12000,14,12,9.945109,196,0,0,0,0,1,9.392662,144,0,0
246,0,12,24450,12000,14,1,10.104385,196,1,0,0,0,0,9.392662,1,0,0
247,0,12,24750,10950,14,1,10.116581,196,1,0,0,0,0,9.301095,1,0,0
248,1,14,27900,15000,14,8,10.236382,196,0,0,0,1,0,9.615806,64,14,0
249,1,19,68125,32010,14,6,11.1291,196,0,0,1,0,0,10.373804,36,19,5
250,1,19,73500,33000,14,8,11.205041,196,0,0,1,0,0,10.404263,64,19,5
251,1,15,40050,25500,14,23,10.597884,196,0,0,0,1,0,10.146434,529,15,1
252,1,16,40350,19500,14,3,10.605347,196,0,1,0,0,0,9.87817,9,16,2
253,1,15,38700,23730,14,31,10.563595,196,0,0,0,1,0,10.074495,961,15,1
254,1,17,65000,30750,14,5,11.082143,196,0,0,1,0,0,10.333645,25,17,3
255,1,18,51450,36240,14,26,10.848366,196,0,0,1,0,0,10.497919,676,18,4
256,1,14,25950,15000,14,9,10.163927,196,0,0,0,1,0,9.615806,81,14,0
257,1,15,25050,14250,14,4,10.128629,196,0,0,0,1,0,9.564512,16,15,1
258,1,12,26700,12750,14,4,10.192419,196,1,0,0,0,0,9.453286,16,12,-2
259,1,12,26850,15000,14,8,10.198021,196,1,0,0,0,0,9.615806,64,12,-2
260,0,12,23400,15300,14,36,10.060492,196,1,0,0,0,0,9.635608,1296,0,0
261,0,12,24600,13500,14,8,10.110501,196,1,0,0,0,0,9.510445,64,0,0
262,0,15,32550,18000,14,1,10.3905325,196,0,0,0,1,0,9.798127,1,0,0
263,1,16,26550,15000,14,18,10.186785,196,0,1,0,0,0,9.615806,324,16,2
264,1,12,31500,13500,14,1,10.357743,196,1,0,0,0,0,9.510445,1,12,-2
265,0,15,25800,13500,14,9,10.15813,196,0,0,0,1,0,9.510445,81,0,0
266,1,15,30750,16500,13,7,10.333645,169,0,0,0,1,0,9.711116,49,15,1
267,1,15,34500,18000,13,11,10.448714,169,0,0,0,1,0,9.798127,121,15,1
268,1,15,26250,15750,13,7,10.175422,169,0,0,0,1,0,9.664596,49,15,1
269,1,16,44875,21240,13,4,10.711637,169,0,1,0,0,0,9.963641,16,16,2
270,0,12,22500,12000,13,11,10.021271,169,1,0,0,0,0,9.392662,121,0,0
271,0,12,25650,14250,13,11,10.152299,169,1,0,0,0,0,9.564512,121,0,0
272,0,12,21300,11250,13,0,9.966462,169,1,0,0,0,0,9.328123,0,0,0
273,0,12,29850,13500,13,7,10.30394,169,1,0,0,0,0,9.510445,49,0,0
274,0,12,34500,12150,13,1,10.448714,169,1,0,0,0,0,9.405085,1,0,0
275,1,15,27750,15000,13,9,10.230991,169,0,0,0,1,0,9.615806,81,15,1
276,1,12,27750,11550,13,2,10.230991,169,1,0,0,0,0,9.354441,4,12,-2
277,1,16,48750,21990,13,11,10.79446,169,0,1,0,0,0,9.998343,121,16,2
278,1,15,43410,15750,13,2,10.678445,169,0,0,0,1,0,9.664596,4,15,1
279,0,12,22050,12000,13,1,10.001068,169,1,0,0,0,0,9.392662,1,0,0
280,0,12,22500,14250,13,16,10.021271,169,1,0,0,0,0,9.564512,256,0,0
281,0,15,25500,12000,13,1,10.146434,169,0,0,0,1,0,9.392662,1,0,0
282,0,12,29160,15000,13,4,10.280553,169,1,0,0,0,0,9.615806,16,0,0
283,0,8,16800,10200,13,13,9.729135,169,0,0,0,0,1,9.230143,169,0,0
284,1,8,29550,15750,13,25,10.293839,169,0,0,0,0,1,9.664596,625,8,-6
285,1,12,26700,15750,13,3,10.192419,169,1,0,0,0,0,9.664596,9,12,-2
286,1,18,55000,32490,13,22,10.915089,169,0,0,1,0,0,10.388688,484,18,4
287,1,18,62500,34980,13,13,11.042922,169,0,0,1,0,0,10.462532,169,18,4
288,1,15,27300,17250,13,23,10.214642,169,0,0,0,1,0,9.755568,529,15,1
289,0,12,24450,12000,13,25,10.104385,169,1,0,0,0,0,9.392662,625,0,0
290,0,16,33000,18000,13,5,10.404263,169,0,1,0,0,0,9.798127,25,0,0
291,0,15,37050,18000,13,1,10.520023,169,0,0,0,1,0,9.798127,1,0,0
292,0,12,24450,10950,13,6,10.104385,169,1,0,0,0,0,9.301095,36,0,0
293,1,16,47250,21240,13,8,10.763208,169,0,1,0,0,0,9.963641,64,16,2
294,0,12,26100,11550,13,0,10.16969,169,1,0,0,0,0,9.354441,0,0,0
295,0,8,15900,10200,13,7,9.674074,169,0,0,0,0,1,9.230143,49,0,0
296,0,12,24450,14250,13,20,10.104385,169,1,0,0,0,0,9.564512,400,0,0
297,1,16,103500,60000,13,26,11.547327,169,0,1,0,0,0,11.0021,676,16,2
298,1,12,35700,16500,13,13,10.482906,169,1,0,0,0,0,9.711116,169,12,-2
299,0,12,22200,16500,13,1,10.007848,169,1,0,0,0,0,9.711116,1,0,0
300,0,15,22950,13950,13,4,10.041073,169,0,0,0,1,0,9.543235,16,0,0
301,0,12,23100,12000,13,40,10.047588,169,1,0,0,0,0,9.392662,1600,0,0
302,0,16,56750,30000,13,3,10.946411,169,0,1,0,0,0,10.308952,9,0,0
303,0,12,37650,15750,13,23,10.536088,169,1,0,0,0,0,9.664596,529,0,0
304,0,12,27900,13500,13,6,10.236382,169,1,0,0,0,0,9.510445,36,0,0
305,0,8,21150,12000,13,28,9.959395,169,0,0,0,0,1,9.392662,784,0,0
306,1,12,31200,15750,13,27,10.348173,169,1,0,0,0,0,9.664596,729,12,-2
307,0,12,20550,11250,13,27,9.930616,169,1,0,0,0,0,9.328123,729,0,0
308,1,15,25950,17250,13,14,10.163927,169,0,0,0,1,0,9.755568,196,15,1
309,1,15,28350,15000,13,8,10.252382,169,0,0,0,1,0,9.615806,64,15,1
310,0,8,17700,10200,13,32,9.78132,169,0,0,0,0,1,9.230143,1024,0,0
311,0,15,23550,13500,13,9,10.066881,169,0,0,0,1,0,9.510445,81,0,0
312,0,12,19950,10200,13,10,9.900985,169,1,0,0,0,0,9.230143,100,0,0
