,chnimp,bchlimp,befile6,affile6,afdec6,befile12,affile12,afdec12,chempi,gas,rtwex,spr,sum,fall,lchnimp,lgas,lrtwex,lchempi,t,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,percchn
11,433.9755,10527.06,0,0,0,0,0,0,112.5,9530000000.0,81.29,0,0,0,6.072988,22.97771,4.398023,4.7229533,12,0,0,0,0,0,0,0,0,0,0,0,4.122476
12,213.7855,9238.292,0,0,0,0,0,0,113.7,8200000000.0,82.23,0,0,0,5.364973,22.8274,4.40952,4.7335634,13,1,0,0,0,0,0,0,0,0,0,0,2.3141236
13,788.644,11740.39,0,0,0,0,0,0,113.0,8710000000.0,82.53,1,0,0,6.670315,22.887737,4.4131618,4.727388,14,0,1,0,0,0,0,0,0,0,0,0,6.7173576
14,287.0395,13699.07,0,0,0,0,0,0,113.2,8580000000.0,83.76,1,0,0,5.65962,22.8727,4.4279556,4.729156,15,0,0,1,0,0,0,0,0,0,0,0,2.095321
15,278.9545,17716.33,0,0,0,0,0,0,114.3,8900000000.0,85.05,1,0,0,5.6310487,22.909317,4.443239,4.7388268,16,0,0,0,1,0,0,0,0,0,0,0,1.5745615
16,429.897,15868.76,0,0,0,0,0,0,113.2,8880000000.0,84.78,0,1,0,6.0635457,22.907068,4.4400597,4.729156,17,0,0,0,0,1,0,0,0,0,0,0,2.7090776
17,344.882,15512.32,0,0,0,0,0,0,114.7,9200000000.0,82.17,0,1,0,5.843202,22.942469,4.40879,4.74232,18,0,0,0,0,0,1,0,0,0,0,0,2.2232778
18,538.915,13831.56,0,0,0,0,0,0,116.1,9050000000.0,83.0,0,1,0,6.289558,22.926031,4.4188404,4.7544518,19,0,0,0,0,0,0,1,0,0,0,0,3.8962705
19,535.718,13669.76,0,0,0,0,0,0,115.5,8430000000.0,82.64,0,0,1,6.283608,22.855062,4.414494,4.7492704,20,0,0,0,0,0,0,0,1,0,0,0,3.9190009
20,445.329,16691.21,0,0,0,0,0,0,115.2,8520000000.0,83.43,0,0,1,6.0988135,22.865683,4.424008,4.74667,21,0,0,0,0,0,0,0,0,1,0,0,2.668045
21,649.255,16617.33,0,0,0,0,0,0,117.2,8450000000.0,84.19,0,0,1,6.475826,22.857431,4.4330764,4.7638817,22,0,0,0,0,0,0,0,0,0,1,0,3.907096
22,639.335,15912.76,0,0,0,0,0,0,117.7,9120000000.0,82.84,0,0,0,6.4604287,22.933735,4.416911,4.768139,23,0,0,0,0,0,0,0,0,0,0,1,4.0177507
23,209.437,9401.297,0,0,0,0,0,0,118.8,9130000000.0,82.08,0,0,0,5.344423,22.934832,4.4076943,4.7774415,24,0,0,0,0,0,0,0,0,0,0,0,2.2277458
24,512.5915,9195.309,0,0,0,0,0,0,118.5,8410000000.0,83.18,0,0,0,6.239479,22.852688,4.421007,4.774913,25,1,0,0,0,0,0,0,0,0,0,0,5.574489
25,605.3425,11727.52,0,0,0,0,0,0,116.4,8550000000.0,87.58,1,0,0,6.4057946,22.869198,4.472553,4.7570324,26,0,1,0,0,0,0,0,0,0,0,0,5.161727
26,144.236,20584.26,0,0,0,0,0,0,114.0,7960000000.0,88.28,1,0,0,4.971451,22.797695,4.4805136,4.7361984,27,0,0,1,0,0,0,0,0,0,0,0,0.7007101
27,405.536,8929.146,0,0,0,0,0,0,108.6,8260000000.0,84.49,1,0,0,6.0052094,22.83469,4.436633,4.687671,28,0,0,0,1,0,0,0,0,0,0,0,4.541711
28,621.1075,10912.11,0,0,0,0,0,0,104.1,8320000000.0,83.34,0,1,0,6.4315042,22.841928,4.422929,4.645352,29,0,0,0,0,1,0,0,0,0,0,0,5.69191
29,893.7185,13581.91,0,0,0,0,0,0,103.7,8470000000.0,82.12,0,1,0,6.795391,22.859797,4.4081817,4.641502,30,0,0,0,0,0,1,0,0,0,0,0,6.580212
30,140.23,9218.409,0,0,0,0,0,0,107.8,8460000000.0,83.73,0,1,0,4.943284,22.858616,4.4275975,4.680278,31,0,0,0,0,0,0,1,0,0,0,0,1.5211952
31,243.4765,20751.77,0,0,0,0,0,0,112.7,8080000000.0,83.13,0,0,1,5.4950204,22.812658,4.4204054,4.7247295,32,0,0,0,0,0,0,0,1,0,0,0,1.1732807
32,330.575,12935.29,0,0,0,0,0,0,114.0,8030000000.0,84.46,0,0,1,5.8008337,22.80645,4.436278,4.7361984,33,0,0,0,0,0,0,0,0,1,0,0,2.5556056
33,46.586,26984.2,0,0,0,0,0,0,115.5,8190000000.0,87.13,0,0,1,3.8413,22.82618,4.467401,4.7492704,34,0,0,0,0,0,0,0,0,0,1,0,0.17264177
34,215.196,18886.38,0,0,0,0,0,0,119.2,8690000000.0,89.13,0,0,0,5.371549,22.885439,4.490096,4.7808027,35,0,0,0,0,0,0,0,0,0,0,1,1.1394242
35,214.8385,25679.51,0,0,0,0,0,0,119.3,8740000000.0,89.28,0,0,0,5.3698864,22.891176,4.4917774,4.7816415,36,0,0,0,0,0,0,0,0,0,0,0,0.8366145
36,238.2085,15502.94,0,0,0,0,0,0,119.8,7420000000.0,93.97,0,0,0,5.4731464,22.727446,4.5429754,4.785824,37,1,0,0,0,0,0,0,0,0,0,0,1.5365375
37,265.6545,18247.14,0,0,0,0,0,0,119.1,8120000000.0,93.96,1,0,0,5.5821967,22.817596,4.542869,4.7799635,38,0,1,0,0,0,0,0,0,0,0,0,1.4558692
38,315.2515,12060.01,0,0,0,0,0,0,119.8,7740000000.0,96.16,1,0,0,5.753371,22.769667,4.5660133,4.785824,39,0,0,1,0,0,0,0,0,0,0,0,2.6140234
39,426.5905,17777.61,0,0,0,0,0,0,120.2,8020000000.0,100.89,1,0,0,6.0558248,22.805204,4.614031,4.789157,40,0,0,0,1,0,0,0,0,0,0,0,2.3995943
40,124.786,14406.15,0,0,0,0,0,0,119.0,7890000000.0,104.34,0,1,0,4.8266,22.788862,4.6476545,4.7791233,41,0,0,0,0,1,0,0,0,0,0,0,0.8661995
41,387.899,20570.36,0,0,0,0,0,0,120.7,8410000000.0,107.63,0,1,0,5.960745,22.852688,4.6786995,4.7933083,42,0,0,0,0,0,1,0,0,0,0,0,1.8857181
42,400.54,14210.78,0,0,0,0,0,0,119.5,8660000000.0,110.35,0,1,0,5.9928136,22.88198,4.703657,4.783316,43,0,0,0,0,0,0,1,0,0,0,0,2.8185644
43,876.834,15190.78,0,0,0,0,0,0,117.9,8320000000.0,106.16,0,0,1,6.7763176,22.841928,4.6649475,4.769837,44,0,0,0,0,0,0,0,1,0,0,0,5.7721457
44,535.993,14593.67,0,0,0,0,0,0,113.8,8440000000.0,103.99,0,0,1,6.284121,22.856249,4.6442947,4.7344427,45,0,0,0,0,0,0,0,0,1,0,0,3.6727772
45,815.9555,14044.22,0,0,0,0,0,0,111.5,8330000000.0,101.81,0,0,1,6.70436,22.84313,4.6231084,4.7140245,46,0,0,0,0,0,0,0,0,0,1,0,5.8099027
46,771.813,10431.43,0,0,0,0,0,0,107.9,8650000000.0,102.38,0,0,0,6.648742,22.880825,4.628691,4.681205,47,0,0,0,0,0,0,0,0,0,0,1,7.3989186
47,352.873,13228.84,0,0,0,0,0,0,107.2,8080000000.0,103.62,0,0,0,5.866108,22.812658,4.6407304,4.6746964,48,0,0,0,0,0,0,0,0,0,0,0,2.6674523
48,431.934,12801.71,0,0,0,0,0,0,109.7,6980000000.0,106.68,0,0,0,6.0682726,22.666315,4.6698337,4.697749,49,1,0,0,0,0,0,0,0,0,0,0,3.3740335
49,1211.452,16403.34,0,0,0,0,0,0,109.2,7850000000.0,107.97,1,0,0,7.099575,22.78378,4.6818533,4.693181,50,0,1,0,0,0,0,0,0,0,0,0,7.3853984
50,575.9175,13591.7,0,0,0,0,0,0,108.2,7720000000.0,109.05,1,0,0,6.355964,22.76708,4.6918063,4.6839814,51,0,0,1,0,0,0,0,0,0,0,0,4.237273
51,1491.622,16239.28,0,0,0,0,0,0,105.5,8270000000.0,106.35,1,0,0,7.3076196,22.835901,4.6667356,4.658711,52,0,0,0,1,0,0,0,0,0,0,0,9.185271
52,380.292,20010.46,0,0,0,0,0,0,105.3,8560000000.0,112.72,0,1,0,5.9409394,22.870365,4.724907,4.6568136,53,0,0,0,0,1,0,0,0,0,0,0,1.900466
53,391.5965,16873.13,0,0,0,0,0,0,105.8,8870000000.0,114.8,0,1,0,5.970232,22.905941,4.7431917,4.6615505,54,0,0,0,0,0,1,0,0,0,0,0,2.320829
54,505.512,15379.57,0,0,0,0,0,0,106.6,8440000000.0,115.27,0,1,0,6.2255716,22.856249,4.7472773,4.6690836,55,0,0,0,0,0,0,1,0,0,0,0,3.2869058
55,341.022,10551.65,0,0,0,0,0,0,107.0,8260000000.0,115.99,0,0,1,5.831947,22.83469,4.753504,4.6728287,56,0,0,0,0,0,0,0,1,0,0,0,3.2319305
56,372.5765,20755.38,0,0,0,1,0,0,105.8,8170000000.0,117.74,0,0,1,5.9204426,22.823734,4.768479,4.6615505,57,0,0,0,0,0,0,0,0,1,0,0,1.7950839
57,483.359,18066.2,0,0,0,1,0,0,105.1,7930000000.0,118.18,0,0,1,6.1807594,22.793919,4.7722087,4.6549125,58,0,0,0,0,0,0,0,0,0,1,0,2.675488
58,224.047,17886.76,0,0,0,1,0,0,106.8,8530000000.0,112.71,0,0,0,5.4118557,22.866856,4.724818,4.670958,59,0,0,0,0,0,0,0,0,0,0,1,1.2525858
59,532.394,19134.02,0,0,0,1,0,0,107.7,7870000000.0,110.89,0,0,0,6.277384,22.786324,4.7085385,4.6793494,60,0,0,0,0,0,0,0,0,0,0,0,2.782447
60,239.1405,17455.14,0,0,0,1,0,0,110.3,6900000000.0,112.52,0,0,0,5.4770513,22.654787,4.723131,4.703204,61,1,0,0,0,0,0,0,0,0,0,0,1.3700291
61,689.4535,18215.72,0,0,0,1,0,0,112.1,7700000000.0,112.97,1,0,0,6.535899,22.764486,4.7271223,4.7193913,62,0,1,0,0,0,0,0,0,0,0,0,3.7849367
62,318.012,20764.83,1,0,0,1,0,0,113.6,7840000000.0,114.12,1,0,0,5.7620893,22.782505,4.7372503,4.7326837,63,0,0,1,0,0,0,0,0,0,0,0,1.5314933
63,1048.036,28414.79,1,0,0,1,0,0,115.0,8350000000.0,114.46,1,0,0,6.9546733,22.845528,4.7402253,4.744932,64,0,0,0,1,0,0,0,0,0,0,0,3.6883469
64,945.7295,18819.39,1,0,0,1,0,0,117.0,8410000000.0,117.35,0,1,0,6.8519564,22.852688,4.765161,4.762174,65,0,0,0,0,1,0,0,0,0,0,0,5.025293
65,295.372,11737.22,1,0,0,1,0,0,119.0,8770000000.0,118.63,0,1,0,5.6882358,22.894602,4.7760096,4.7791233,66,0,0,0,0,0,1,0,0,0,0,0,2.5165415
66,319.458,12520.28,1,0,0,1,0,0,120.0,8560000000.0,121.49,0,1,0,5.766626,22.870365,4.799832,4.787492,67,0,0,0,0,0,0,1,0,0,0,0,2.5515244
67,855.137,16988.23,1,0,0,1,0,0,122.1,8330000000.0,121.35,0,0,1,6.7512617,22.84313,4.798679,4.8048406,68,0,0,0,0,0,0,0,1,0,0,0,5.033703
68,671.807,15835.78,0,0,0,0,0,0,124.5,8090000000.0,118.99,0,0,1,6.509971,22.813894,4.7790394,4.8243055,69,0,0,0,0,0,0,0,0,1,0,0,4.242336
69,657.9315,17282.95,0,1,0,0,1,0,123.0,8390000000.0,121.41,0,0,1,6.489101,22.850306,4.7991734,4.8121843,70,0,0,0,0,0,0,0,0,0,1,0,3.8068244
70,847.9595,26960.51,0,1,0,0,1,0,121.1,8240000000.0,123.72,0,0,0,6.7428327,22.832266,4.818021,4.7966166,71,0,0,0,0,0,0,0,0,0,0,1,3.1451907
71,849.8735,25137.69,0,1,0,0,1,0,120.7,7880000000.0,125.86,0,0,0,6.7450876,22.787594,4.8351703,4.7933083,72,0,0,0,0,0,0,0,0,0,0,0,3.3808734
72,852.9305,19807.49,0,1,0,0,1,0,122.5,7730000000.0,122.65,0,0,0,6.748678,22.768375,4.8093348,4.808111,73,1,0,0,0,0,0,0,0,0,0,0,4.306101
73,435.837,32134.6,0,1,0,0,1,0,122.6,8320000000.0,119.03,1,0,0,6.077268,22.841928,4.7793756,4.808927,74,0,1,0,0,0,0,0,0,0,0,0,1.3562858
74,204.7075,22954.55,0,1,0,0,1,0,124.4,8250000000.0,120.83,1,0,0,5.3215823,22.833479,4.7943845,4.823502,75,0,0,1,0,0,0,0,0,0,0,0,0.89179486
75,241.5675,24438.79,0,0,0,0,1,0,124.2,8690000000.0,124.5,1,0,0,5.487149,22.885439,4.8243055,4.821893,76,0,0,0,1,0,0,0,0,0,0,0,0.9884594
76,244.138,19057.44,0,0,0,0,1,0,125.9,8380000000.0,125.01,0,1,0,5.4977336,22.849113,4.828394,4.835488,77,0,0,0,0,1,0,0,0,0,0,0,1.281064
77,656.4015,26784.34,0,0,0,0,1,0,126.4,8480000000.0,129.89,0,1,0,6.4867725,22.860977,4.866688,4.8394513,78,0,0,0,0,0,1,0,0,0,0,0,2.4506912
78,588.0975,37244.38,0,0,0,0,1,0,126.2,8420000000.0,131.04,0,1,0,6.3768926,22.853876,4.8755026,4.8378677,79,0,0,0,0,0,0,1,0,0,0,0,1.5790235
79,1128.444,28129.36,0,0,0,0,1,0,125.8,8270000000.0,136.21,0,0,1,7.028595,22.835901,4.914198,4.8346934,80,0,0,0,0,0,0,0,1,0,0,0,4.0116234
80,1328.967,37253.47,0,0,0,0,1,0,124.3,8360000000.0,137.5,0,0,1,7.1921573,22.846724,4.923624,4.822698,81,0,0,0,0,0,0,0,0,1,0,0,3.5673645
81,227.0635,18289.36,0,0,1,0,0,1,125.5,8480000000.0,134.71,0,0,1,5.4252295,22.860977,4.9031243,4.832306,82,0,0,0,0,0,0,0,0,0,1,0,1.2415061
82,583.261,14795.91,0,0,1,0,0,1,124.9,8500000000.0,138.48,0,0,0,6.3686347,22.863333,4.930726,4.827513,83,0,0,0,0,0,0,0,0,0,0,1,3.9420419
83,499.8935,25700.26,0,0,1,0,0,1,125.7,7690000000.0,141.3,0,0,0,6.214395,22.763187,4.9508853,4.833898,84,0,0,0,0,0,0,0,0,0,0,0,1.9450912
84,165.346,25240.31,0,0,1,0,0,1,125.8,6960000000.0,146.45,0,0,0,5.1080403,22.663445,4.986684,4.8346934,85,1,0,0,0,0,0,0,0,0,0,0,0.655087
85,1057.972,24854.94,0,0,1,0,0,1,126.5,7890000000.0,145.85,1,0,0,6.9641094,22.788862,4.9825788,4.8402424,86,0,1,0,0,0,0,0,0,0,0,0,4.2565866
86,465.8225,24119.29,0,0,1,0,0,1,125.8,8000000000.0,137.72,1,0,0,6.1438046,22.802708,4.925223,4.8346934,87,0,0,1,0,0,0,0,0,0,0,0,1.9313277
87,349.404,27244.98,0,0,0,0,0,1,126.7,8530000000.0,138.2,1,0,0,5.856229,22.866856,4.928702,4.841822,88,0,0,0,1,0,0,0,0,0,0,0,1.2824527
88,466.824,30912.42,0,0,0,0,0,1,126.4,8560000000.0,136.33,0,1,0,6.145952,22.870365,4.9150786,4.8394513,89,0,0,0,0,1,0,0,0,0,0,0,1.5101503
89,717.047,23173.53,0,0,0,0,0,1,126.4,8850000000.0,130.14,0,1,0,6.5751414,22.903683,4.868611,4.8394513,90,0,0,0,0,0,1,0,0,0,0,0,3.0942502
90,826.758,29031.44,0,0,0,0,0,1,128.2,8910000000.0,127.31,0,1,0,6.717512,22.91044,4.846625,4.8535914,91,0,0,0,0,0,0,1,0,0,0,0,2.8478024
91,1571.736,19400.51,0,0,0,0,0,1,129.0,7990000000.0,128.87,0,0,1,7.3599358,22.801456,4.858804,4.8598123,92,0,0,0,0,0,0,0,1,0,0,0,8.101519
92,542.9925,29887.71,0,0,0,0,0,1,127.9,8300000000.0,121.05,0,0,1,6.2970953,22.839521,4.7962036,4.8512487,93,0,0,0,0,0,0,0,0,1,0,0,1.8167751
93,670.7935,20670.63,0,0,0,0,0,0,128.0,8190000000.0,118.75,0,0,1,6.5084615,22.82618,4.7770205,4.8520303,94,0,0,0,0,0,0,0,0,0,1,0,3.2451527
94,430.2755,34375.25,0,0,0,0,0,0,128.3,8680000000.0,116.77,0,0,0,6.064426,22.884287,4.760206,4.854371,95,0,0,0,0,0,0,0,0,0,0,1,1.2517015
95,524.8625,19555.82,0,0,0,0,0,0,131.7,8520000000.0,114.76,0,0,0,6.2631364,22.865683,4.742843,4.8805265,96,0,0,0,0,0,0,0,0,0,0,0,2.6839197
96,317.75,27362.23,0,0,0,0,0,0,132.0,7440000000.0,109.82,0,0,0,5.761265,22.730137,4.6988425,4.882802,97,1,0,0,0,0,0,0,0,0,0,0,1.1612723
97,442.8195,31952.5,0,0,0,0,0,0,130.2,7920000000.0,106.77,1,0,0,6.093162,22.792658,4.670677,4.8690715,98,0,1,0,0,0,0,0,0,0,0,0,1.3858681
98,322.6325,19578.16,0,0,0,0,0,0,132.8,8220000000.0,105.93,1,0,0,5.776514,22.829836,4.6627784,4.8888445,99,0,0,1,0,0,0,0,0,0,0,0,1.6479205
99,742.0795,26605.79,0,0,0,0,0,0,131.5,9270000000.0,103.87,1,0,0,6.6094565,22.950048,4.6431403,4.879007,100,0,0,0,1,0,0,0,0,0,0,0,2.7891657
100,665.366,20034.42,0,0,0,0,0,0,134.2,8990000000.0,104.91,0,1,0,6.500337,22.919378,4.653103,4.899331,101,0,0,0,0,1,0,0,0,0,0,0,3.3211145
101,737.267,33408.49,0,0,0,0,0,0,134.1,9130000000.0,101.91,0,1,0,6.60295,22.934832,4.62409,4.898586,102,0,0,0,0,0,1,0,0,0,0,0,2.2068255
102,1065.211,20967.31,0,0,0,0,0,0,134.4,9310000000.0,99.42,0,1,0,6.970928,22.954355,4.5993533,4.9008203,103,0,0,0,0,0,0,1,0,0,0,0,5.080342
103,547.3285,26526.84,0,0,0,0,0,0,133.9,8740000000.0,99.21,0,0,1,6.305049,22.891176,4.597239,4.8970933,104,0,0,0,0,0,0,0,1,0,0,0,2.0633008
104,1258.407,28304.02,0,0,0,0,0,0,133.9,8680000000.0,98.64,0,0,1,7.137602,22.884287,4.591477,4.8970933,105,0,0,0,0,0,0,0,0,1,0,0,4.4460363
105,976.5165,17168.15,0,0,0,0,0,0,132.3,8700000000.0,99.83,0,0,1,6.8839917,22.88659,4.603469,4.885072,106,0,0,0,0,0,0,0,0,0,1,0,5.687954
106,1192.684,12874.3,0,0,0,0,0,0,134.2,9070000000.0,98.56,0,0,0,7.0839615,22.928238,4.5906653,4.899331,107,0,0,0,0,0,0,0,0,0,0,1,9.264069
107,1047.239,16153.36,0,0,0,0,0,0,136.4,8740000000.0,93.85,0,0,0,6.9539123,22.891176,4.541698,4.9155917,108,0,0,0,0,0,0,0,0,0,0,0,6.4831033
108,944.7875,15638.68,0,0,0,0,0,0,135.7,7520000000.0,92.46,0,0,0,6.85096,22.740831,4.5267763,4.9104466,109,1,0,0,0,0,0,0,0,0,0,0,6.041351
109,840.0295,18391.83,0,0,0,0,0,0,135.3,8570000000.0,92.25,1,0,0,6.733437,22.871534,4.5245023,4.9074945,110,0,1,0,0,0,0,0,0,0,0,0,4.5674057
110,578.9175,18786.79,0,0,0,0,0,0,137.3,8670000000.0,90.51,1,0,0,6.36116,22.883135,4.5054603,4.9221683,111,0,0,1,0,0,0,0,0,0,0,0,3.0815136
111,828.1195,17661.71,0,0,0,0,0,0,138.1,8920000000.0,89.74,1,0,0,6.7191577,22.911562,4.496917,4.927978,112,0,0,0,1,0,0,0,0,0,0,0,4.688784
112,1010.057,17623.77,0,0,0,0,0,0,139.3,8980000000.0,91.58,0,1,0,6.9177623,22.918266,4.517213,4.93663,113,0,0,0,0,1,0,0,0,0,0,0,5.7312202
113,1546.483,18482.4,0,0,0,0,0,0,140.8,9200000000.0,93.19,0,1,0,7.3437386,22.942469,4.5346403,4.9473405,114,0,0,0,0,0,1,0,0,0,0,0,8.367328
114,1160.158,21132.42,0,0,0,0,0,0,142.3,9060000000.0,93.6,0,1,0,7.0563116,22.927135,4.5390306,4.9579377,115,0,0,0,0,0,0,1,0,0,0,0,5.4899435
115,862.68,16421.52,0,0,0,0,0,0,142.4,8770000000.0,91.81,0,0,1,6.7600436,22.894602,4.519721,4.95864,116,0,0,0,0,0,0,0,1,0,0,0,5.2533507
116,692.297,16128.66,0,0,0,0,0,0,141.5,8710000000.0,91.24,0,0,1,6.540015,22.887737,4.5134935,4.9522996,117,0,0,0,0,0,0,0,0,1,0,0,4.2923403
117,451.384,14769.44,0,0,0,0,0,0,144.4,8730000000.0,86.36,0,0,1,6.1123185,22.890032,4.4585247,4.972587,118,0,0,0,0,0,0,0,0,0,1,0,3.0562024
118,766.4015,34192.18,0,0,0,0,0,0,147.1,9160000000.0,83.7,0,0,0,6.641706,22.938112,4.427239,4.9911127,119,0,0,0,0,0,0,0,0,0,0,1,2.2414525
119,1794.516,17537.23,0,0,0,0,0,0,147.9,8780000000.0,84.38,0,0,0,7.492491,22.895742,4.4353304,4.9965363,120,0,0,0,0,0,0,0,0,0,0,0,10.232608
120,972.801,25518.91,0,0,0,0,0,0,145.4,8220000000.0,86.1,0,0,0,6.8801794,22.829836,4.455509,4.9794884,121,1,0,0,0,0,0,0,0,0,0,0,3.812079
121,738.5085,36649.19,0,0,0,0,0,0,146.4,8740000000.0,84.92,1,0,0,6.6046324,22.891176,4.4417095,4.9863424,122,0,1,0,0,0,0,0,0,0,0,0,2.0150745
122,786.1805,18668.0,0,0,0,0,0,0,148.9,8730000000.0,84.18,1,0,0,6.6671863,22.890032,4.432957,5.003275,123,0,0,1,0,0,0,0,0,0,0,0,4.2113805
123,849.065,19710.66,0,0,0,0,0,0,149.1,8950000000.0,85.03,1,0,0,6.744136,22.914919,4.443004,5.004617,124,0,0,0,1,0,0,0,0,0,0,0,4.307644
124,895.4205,38521.53,0,0,0,0,0,0,150.5,8830000000.0,87.96,0,1,0,6.797293,22.90142,4.476882,5.013963,125,0,0,0,0,1,0,0,0,0,0,0,2.3244674
125,814.3615,19679.38,0,0,0,0,0,0,153.4,9360000000.0,91.96,0,1,0,6.7024045,22.959711,4.5213537,5.0330486,126,0,0,0,0,0,1,0,0,0,0,0,4.138146
126,589.422,31686.86,0,0,0,0,0,0,154.8,9420000000.0,93.76,0,1,0,6.3791423,22.9661,4.5407386,5.042134,127,0,0,0,0,0,0,1,0,0,0,0,1.8601465
127,529.7335,16370.34,0,0,0,0,0,0,155.3,8790000000.0,93.7,0,0,1,6.272374,22.896881,4.540098,5.0453587,128,0,0,0,0,0,0,0,1,0,0,0,3.2359347
128,968.0375,15653.96,0,0,0,0,0,0,156.7,8990000000.0,90.93,0,0,1,6.875271,22.919378,4.51009,5.054333,129,0,0,0,0,0,0,0,0,1,0,0,6.183978
129,794.06,45716.61,0,0,0,0,0,0,157.5,8920000000.0,87.76,0,0,1,6.677159,22.911562,4.474606,5.0594254,130,0,0,0,0,0,0,0,0,0,1,0,1.736918
130,1087.806,29580.5,0,0,0,0,0,0,159.0,9540000000.0,87.78,0,0,0,6.991918,22.97876,4.4748335,5.0689044,131,0,0,0,0,0,0,0,0,0,0,1,3.677443
