,id,pyears,prftshr,choice,female,married,age,educ,finc25,finc35,finc50,finc75,finc100,finc101,wealth89,black,stckin89,irain89,pctstck
106,2681,4.0,0,1,1,0,58,18,0,1,0,0,0,0,89.0,0,1,1,0
107,2772,2.0,0,1,1,1,55,11,0,0,1,0,0,0,70.3,1,0,0,50
108,2809,1.0,1,1,1,1,61,16,0,0,0,0,0,0,810.0,0,1,1,100
109,2829,1.0,0,1,0,1,64,18,0,0,0,0,1,0,341.0,0,1,1,100
110,2840,24.0,0,0,0,1,56,12,0,1,0,0,0,0,50.0,0,0,0,0
111,2871,12.0,0,0,1,1,64,12,0,1,0,0,0,0,152.0,0,1,1,0
112,2943,1.0,1,1,1,0,62,12,1,0,0,0,0,0,31.2,0,0,1,0
113,3006,1.0,0,1,1,1,60,16,0,0,0,1,0,0,584.2,0,1,0,50
114,3018,3.0,0,1,1,1,58,13,0,0,0,1,0,0,633.0,0,1,1,50
115,3087,7.0,0,1,1,1,57,14,0,0,1,0,0,0,79.8,0,0,1,100
116,3193,20.0,1,1,0,1,69,12,0,0,0,1,0,0,166.5,0,1,0,100
117,3259,20.0,0,0,1,1,58,9,0,1,0,0,0,0,7.9,1,0,0,100
118,3334,4.0,1,0,1,0,58,16,0,0,1,0,0,0,65.1,0,0,1,0
119,3352,10.0,0,1,1,0,56,12,1,0,0,0,0,0,-1.1,1,0,0,100
120,3365,2.0,0,0,1,1,59,16,1,0,0,0,0,0,194.95,0,1,0,0
121,3381,9.0,1,1,1,1,62,12,0,0,1,0,0,0,140.0,0,1,1,50
122,3381,10.0,0,1,0,1,65,12,0,0,1,0,0,0,140.0,0,1,1,50
123,3383,2.0,1,0,1,0,55,16,0,0,0,0,0,0,-2.3,1,0,0,0
124,3504,9.0,1,0,0,1,68,13,0,1,0,0,0,0,243.2,0,0,1,100
125,3584,20.0,0,1,0,1,57,12,0,0,0,1,0,0,595.0,0,1,1,100
126,3585,10.0,0,1,0,1,60,17,0,0,1,0,0,0,225.0,0,0,1,50
127,3600,9.0,1,0,1,1,55,12,0,0,1,0,0,0,691.0,0,1,1,0
128,3606,5.0,0,0,0,1,59,12,0,0,1,0,0,0,70.4,0,0,0,50
129,3617,8.0,0,1,0,1,58,17,0,0,0,1,0,0,390.1,0,1,1,100
130,3633,0.0,0,1,1,1,63,13,0,0,0,0,1,0,289.5,0,0,0,50
131,3641,7.0,0,1,1,0,57,15,0,0,1,0,0,0,1.0,1,0,0,50
132,3646,0.0,0,1,1,1,56,12,0,0,0,0,1,0,990.0,0,1,1,100
133,3669,5.0,0,0,0,1,58,12,0,0,0,1,0,0,50.6,0,0,0,0
134,3683,3.0,0,0,1,0,61,14,1,0,0,0,0,0,-2.81,0,1,0,0
135,3724,10.0,0,0,1,1,55,18,0,0,1,0,0,0,30.5,1,0,1,50
136,3726,10.0,0,1,0,1,58,12,0,0,0,1,0,0,244.5,0,0,1,100
137,3733,4.0,0,1,0,1,64,18,0,0,0,1,0,0,360.0,0,1,1,100
138,3802,15.0,0,1,0,1,63,12,0,0,0,0,1,0,240.0,0,0,1,0
139,3805,34.0,0,0,1,0,66,14,0,0,1,0,0,0,98.5,0,0,0,50
140,3824,25.0,0,1,0,1,65,17,1,0,0,0,0,0,662.0,0,1,1,50
141,3829,1.0,0,0,1,1,56,12,0,0,1,0,0,0,226.0,0,0,1,50
142,3829,15.0,0,1,1,1,56,12,0,0,1,0,0,0,226.0,0,0,1,50
143,3846,5.0,0,1,1,1,59,12,0,0,0,1,0,0,295.4,0,0,0,50
144,3846,6.0,0,1,0,1,61,17,0,0,0,1,0,0,295.4,0,0,0,50
145,3848,14.0,0,1,1,1,64,18,0,0,0,1,0,0,199.0,0,1,1,0
146,3855,20.0,1,1,0,1,54,16,0,0,0,1,0,0,113.0,0,0,0,50
147,3878,3.0,0,0,1,1,68,12,0,0,0,0,0,1,1396.997,0,0,1,0
148,3884,7.0,0,0,1,0,55,12,1,0,0,0,0,0,18.0,0,0,1,50
149,3898,4.0,0,1,1,0,60,12,1,0,0,0,0,0,81.2,0,1,1,50
150,3906,2.0,0,1,1,1,57,16,0,0,0,1,0,0,445.5,0,1,1,0
151,3917,7.0,1,0,1,1,62,16,0,0,0,0,1,0,751.997,0,1,1,0
152,3917,7.0,1,0,0,1,64,12,0,0,0,0,1,0,751.997,0,1,1,0
153,3923,20.0,0,1,1,1,60,18,0,0,0,0,0,1,252.0,0,0,1,50
154,3931,1.0,0,1,1,1,60,16,0,0,1,0,0,0,118.325,0,1,1,100
155,3931,2.0,0,0,0,1,59,10,0,0,1,0,0,0,118.325,0,1,1,100
156,3938,1.0,0,0,1,1,55,13,0,0,0,0,0,1,3.1,0,0,0,0
157,3961,11.0,0,1,1,0,62,18,0,0,0,1,0,0,1103.0,0,0,1,0
158,3973,1.0,0,1,1,0,55,14,0,0,1,0,0,0,20.0,0,0,1,100
159,3979,30.0,0,1,0,1,58,18,0,0,0,1,0,0,114.5,0,0,0,50
160,4001,8.0,0,1,1,0,57,12,0,1,0,0,0,0,25.0,1,0,1,100
161,4017,3.0,0,1,1,1,57,13,0,1,0,0,0,0,-4.285,0,0,0,0
162,4070,10.0,0,1,1,1,57,16,0,0,0,0,0,1,895.0,0,0,0,50
163,4072,11.0,0,1,0,1,70,18,0,1,0,0,0,0,555.5,0,1,0,100
164,4110,4.0,0,1,0,1,65,17,0,0,0,1,0,0,846.4,0,0,1,100
165,4124,25.0,1,0,1,1,67,12,0,1,0,0,0,0,122.7,0,0,1,0
166,4125,11.0,0,1,0,1,59,14,0,0,0,0,1,0,172.1,0,1,1,0
167,4127,25.0,0,1,0,1,61,12,0,1,0,0,0,0,143.0,0,0,1,0
168,4134,15.0,0,1,1,1,61,16,0,0,1,0,0,0,2.0,0,0,0,0
169,4143,7.0,0,1,1,0,65,12,0,0,1,0,0,0,31.95,0,0,0,100
170,4154,4.0,0,1,1,0,62,17,0,1,0,0,0,0,151.616,0,0,1,50
171,4206,1.0,1,0,1,1,55,12,1,0,0,0,0,0,88.5,0,0,0,100
172,4230,,0,1,0,1,59,18,0,0,0,0,0,1,216.0,0,0,1,50
173,4237,14.0,1,0,1,0,55,15,1,0,0,0,0,0,101.08,0,1,0,100
174,4248,16.0,0,0,0,1,63,12,0,0,1,0,0,0,1484.997,0,1,1,0
175,4318,7.0,0,0,1,0,62,12,0,0,0,0,0,0,11.0,0,0,0,0
176,4324,6.0,0,1,0,1,58,12,0,0,1,0,0,0,242.15,0,1,1,0
177,4389,16.0,0,1,1,0,65,11,1,0,0,0,0,0,166.0,0,1,1,0
178,4401,10.0,0,0,1,1,61,9,0,1,0,0,0,0,57.0,0,0,1,0
179,4419,6.0,0,1,1,0,55,12,0,0,0,0,0,0,58.9,1,0,0,50
180,4485,10.0,1,0,1,1,63,12,1,0,0,0,0,0,66.5,0,0,0,0
181,4485,27.0,0,0,0,1,66,12,1,0,0,0,0,0,66.5,0,0,0,0
182,4544,5.0,0,1,0,1,64,8,0,0,1,0,0,0,101.75,0,0,1,50
183,4580,8.0,0,0,0,1,70,12,0,1,0,0,0,0,329.0,0,0,1,0
184,4592,2.0,0,1,1,1,55,16,0,0,0,0,0,1,-2.0,0,0,0,50
185,4593,28.0,0,1,0,1,59,16,0,0,1,0,0,0,180.0,0,0,0,0
186,4601,4.0,0,0,0,1,60,8,1,0,0,0,0,0,10.0,1,0,0,0
187,4729,3.0,1,0,0,1,57,18,0,0,1,0,0,0,84.72,0,0,1,100
188,4828,36.0,1,1,0,1,58,12,0,0,0,1,0,0,81.0,0,0,0,0
189,4935,3.0,0,1,1,1,57,17,0,0,0,0,1,0,116.0,0,0,0,100
190,4936,2.0,1,0,1,1,60,9,1,0,0,0,0,0,163.8,0,0,0,100
191,4964,24.0,0,1,0,1,61,16,0,0,0,0,1,0,246.0,0,1,1,50
192,5014,29.0,1,0,1,1,58,17,1,0,0,0,0,0,213.0,0,0,0,100
193,5014,30.0,1,0,0,1,59,16,1,0,0,0,0,0,213.0,0,0,0,100
