,favscr,undscr,spread,favhome,neutral,fav25,und25,fregion,uregion,scrdiff,sprdcvr,favwin
66,96,80.0,15.0,1,0,0,0,1,1,16,1,1
67,86,56.0,13.5,1,0,0,0,2,2,30,1,1
68,85,66.0,14.0,1,0,0,0,1,1,19,1,1
69,86,51.0,21.0,1,0,0,0,3,4,35,1,1
70,84,63.0,5.0,0,1,0,0,3,3,21,1,1
71,89,56.0,19.0,0,0,0,0,4,4,33,1,1
72,83,71.0,7.0,0,0,1,0,3,3,12,1,1
73,61,68.0,1.0,1,0,0,0,3,2,-7,0,0
74,56,57.0,12.0,0,0,0,0,3,3,-1,0,0
75,105,85.0,11.0,0,0,0,0,4,4,20,1,1
76,74,76.0,2.0,1,0,0,0,4,4,-2,0,0
77,64,58.0,2.0,0,0,0,0,3,3,6,1,1
78,120,,3.0,1,0,0,0,2,3,15,1,1
79,85,74.0,4.5,0,0,0,0,3,3,11,1,1
80,76,90.0,7.5,0,0,0,0,3,1,-14,0,0
81,75,66.0,12.5,1,0,1,1,4,4,9,0,1
82,53,49.0,8.0,0,0,1,0,4,4,4,0,1
83,59,83.0,3.5,1,0,0,0,3,3,-24,0,0
84,78,66.0,26.0,1,0,1,0,2,2,12,0,1
85,81,67.0,23.0,1,0,1,0,1,2,14,0,1
86,66,57.0,1.0,1,0,0,0,3,3,9,1,1
87,56,66.0,8.0,1,0,0,0,1,1,-10,0,0
88,74,65.0,10.0,1,0,1,0,2,2,9,0,1
89,75,60.0,2.5,0,1,0,0,4,3,15,1,1
90,81,64.0,23.0,1,0,0,0,3,3,17,0,1
91,91,75.0,18.0,0,1,0,0,4,4,16,0,1
92,85,76.0,15.0,1,0,0,0,2,3,9,0,1
93,79,62.0,25.0,1,0,0,0,3,3,17,0,1
94,69,62.0,17.0,0,1,0,0,3,3,7,0,1
95,71,53.0,25.0,1,0,0,0,3,3,18,0,1
96,92,84.0,9.0,0,1,0,0,4,3,8,0,1
97,69,72.0,20.0,1,0,1,0,3,4,-3,0,0
98,82,67.0,20.0,1,0,0,0,1,1,15,0,1
99,98,84.0,14.0,1,0,0,0,4,2,14,1,1
100,76,70.0,9.0,1,0,0,0,4,3,6,0,1
101,83,56.0,23.0,1,0,0,0,2,2,27,1,1
102,85,74.0,2.5,0,1,1,1,4,4,11,1,1
103,96,91.0,2.5,1,0,0,1,2,3,5,1,1
104,67,50.0,8.0,0,0,1,0,4,2,17,1,1
105,61,48.0,11.0,1,0,0,0,3,3,13,1,1
106,80,84.0,3.0,1,0,0,0,4,4,-4,0,0
107,91,73.0,9.0,1,0,1,0,3,2,18,1,1
108,63,76.0,6.0,1,0,0,0,2,2,-13,0,0
109,76,59.0,8.0,1,0,0,0,3,1,17,1,1
110,81,74.0,3.0,1,0,0,0,3,2,7,1,1
111,76,92.0,5.5,0,0,1,0,3,3,-16,0,0
112,63,61.0,9.0,1,0,0,0,4,1,2,0,1
113,96,91.0,9.0,0,0,1,0,2,4,5,0,1
114,70,71.0,12.0,1,0,0,0,3,2,-1,0,0
115,73,68.0,13.0,1,0,0,0,3,3,5,0,1
116,83,80.0,5.0,0,1,1,0,4,3,3,0,1
117,89,95.0,5.0,1,0,0,0,2,1,-6,0,0
118,69,59.0,10.0,1,0,1,1,4,3,10,1,1
119,64,79.0,2.5,1,0,0,0,2,3,-15,0,0
120,65,71.0,2.5,1,0,0,0,1,1,-6,0,0
121,78,51.0,14.0,1,0,0,0,3,3,27,1,1
122,79,59.0,19.0,1,0,0,0,0,3,20,1,1
123,77,85.0,1.0,1,0,0,0,0,3,-8,0,0
124,72,75.0,5.0,1,0,0,0,3,3,-3,0,0
125,94,74.0,23.0,1,0,0,0,4,4,20,0,1
126,94,69.0,29.0,1,0,1,0,2,3,25,0,1
127,89,75.0,24.0,1,0,0,0,3,3,14,0,1
128,75,68.0,5.0,0,0,0,0,3,3,7,1,1
129,78,68.0,3.5,1,0,0,0,4,4,10,1,1
130,50,49.0,7.5,1,0,0,0,3,4,1,0,1
131,75,71.0,2.5,0,0,0,0,2,3,4,1,1
132,74,53.0,13.5,1,0,0,0,1,1,21,1,1
133,71,54.0,13.5,1,0,0,0,1,1,17,1,1
134,95,77.0,16.5,1,0,0,0,1,1,18,1,1
135,70,73.0,2.0,1,0,0,0,1,1,-3,0,0
136,82,55.0,19.0,1,0,0,0,1,1,27,1,1
137,85,75.0,2.5,1,0,0,0,1,1,10,1,1
138,73,63.0,1.0,1,0,0,0,1,1,10,1,1
139,79,72.0,6.5,0,0,0,0,3,1,7,1,1
140,74,72.0,9.0,0,0,0,0,3,2,2,0,1
141,86,66.0,8.5,0,1,0,0,1,3,20,1,1
142,48,53.0,9.0,0,1,0,0,3,3,-5,0,0
143,90,65.0,19.0,1,0,0,0,3,2,25,1,1
144,63,62.0,6.5,1,0,0,0,2,1,1,0,1
145,71,62.0,8.0,0,1,0,0,2,3,9,1,1
146,50,46.0,5.0,0,0,0,0,3,3,4,0,1
147,84,49.0,14.0,1,0,0,0,3,3,35,1,1
148,80,61.0,1.5,1,0,0,1,3,2,19,1,1
149,87,86.0,11.0,1,0,0,0,3,4,1,0,1
150,81,80.0,9.0,0,0,1,0,3,1,1,0,1
151,91,92.0,11.0,1,0,0,0,2,1,-1,0,0
152,71,65.0,7.5,0,1,1,0,3,3,6,0,1
153,73,83.0,2.0,1,0,0,0,4,4,-10,0,0
154,72,77.0,10.0,1,0,1,0,3,3,-5,0,0
155,83,68.0,8.0,0,1,1,0,3,2,15,1,1
156,67,65.0,20.0,1,0,1,0,4,4,2,0,1
157,93,76.0,15.0,0,0,0,0,2,2,17,1,1
158,66,61.0,3.0,0,0,0,0,2,2,5,1,1
159,69,62.0,2.0,1,0,0,0,3,3,7,1,1
160,87,58.0,17.0,1,0,1,0,1,1,29,1,1
161,92,72.0,5.5,0,0,1,0,1,2,20,1,1
162,89,96.0,1.5,1,0,0,1,2,2,-7,0,0
163,75,61.0,5.5,0,0,1,0,1,2,14,1,1
164,75,82.0,4.0,0,0,1,0,2,1,-7,0,0
165,71,90.0,2.0,0,0,1,0,3,3,-19,0,0
166,84,96.0,3.0,0,0,0,0,4,4,-12,0,0
167,91,72.0,17.0,1,0,1,0,4,3,19,1,1
168,67,71.0,1.5,1,0,0,0,3,3,-4,0,0
169,55,66.0,4.5,0,0,0,0,4,4,-11,0,0
170,73,71.0,4.5,1,0,0,0,4,4,2,0,1
171,83,63.0,3.0,1,0,0,0,4,4,20,1,1
172,129,89.0,39.0,1,0,1,0,4,4,40,1,1
173,92,66.0,14.0,1,0,0,0,4,4,26,1,1
174,80,63.0,12.0,0,0,1,0,3,3,17,1,1
175,77,72.0,7.0,0,0,0,0,3,3,5,0,1
176,70,65.0,6.0,1,0,0,0,3,3,5,0,1
177,75,60.0,15.0,1,0,0,0,3,3,15,1,1
178,58,64.0,7.0,0,0,0,0,2,2,-6,0,0
179,73,79.0,8.0,0,0,0,0,2,2,-6,0,0
180,82,72.0,27.0,1,0,0,0,2,2,10,0,1
181,76,68.0,19.0,1,0,0,0,3,2,8,0,1
182,86,64.0,14.0,1,0,0,0,2,3,22,1,1
183,78,90.0,2.0,0,0,0,0,2,1,-12,0,0
184,80,71.0,9.0,1,0,0,0,1,3,9,1,1
185,74,64.0,14.0,1,0,0,0,1,1,10,0,1
186,71,97.0,13.0,1,0,0,0,4,1,-26,0,0
187,93,69.0,21.5,0,0,0,0,2,2,24,1,1
188,94,73.0,25.0,1,0,0,0,3,3,21,0,1
189,87,76.0,10.0,1,0,0,0,4,3,11,1,1
190,83,74.0,4.0,1,0,0,0,3,3,9,1,1
191,100,73.0,37.0,1,0,1,0,4,4,27,0,1
192,84,70.0,15.0,1,0,0,0,3,4,14,0,1
193,75,55.0,11.0,1,0,0,0,3,3,20,1,1
194,67,64.0,3.5,1,0,0,0,4,2,3,0,1
195,70,52.0,8.5,0,0,0,0,4,2,18,1,1
196,79,68.0,22.0,1,0,1,0,3,3,11,0,1
197,111,67.0,11.0,1,0,0,0,2,2,44,1,1
198,89,73.0,2.5,1,0,0,0,1,1,16,1,1
199,81,58.0,25.0,1,0,1,0,4,3,23,0,1
200,92,68.0,22.0,1,0,0,0,4,4,24,1,1
201,80,75.0,20.0,1,0,1,0,2,1,5,0,1
202,73,60.0,4.5,0,0,0,0,3,1,13,1,1
203,85,60.0,27.0,1,0,0,0,2,4,25,0,1
204,65,67.0,13.0,1,0,0,0,3,3,-2,0,0
205,61,63.0,4.0,0,0,0,0,3,2,-2,0,0
206,80,61.0,1.0,1,0,0,0,1,1,19,1,1
207,79,54.0,6.0,1,0,0,0,1,1,25,1,1
208,88,77.0,1.0,1,0,0,0,1,1,11,1,1
209,76,89.0,11.0,1,0,1,1,3,1,-13,0,0
210,67,68.0,21.0,1,0,1,0,3,3,-1,0,0
211,76,61.0,1.5,1,0,0,0,3,3,15,1,1
212,76,67.0,4.0,1,0,0,0,4,3,9,1,1
213,89,66.0,20.0,1,0,0,0,3,3,23,1,1
214,70,49.0,2.5,1,0,0,0,3,2,21,1,1
215,100,78.0,6.5,0,0,0,0,2,3,22,1,1
216,81,78.0,20.0,1,0,0,0,3,3,3,0,1
217,70,61.0,15.0,1,0,0,0,1,1,9,0,1
218,76,54.0,16.5,1,0,0,0,1,1,22,1,1
219,74,86.0,9.0,0,0,0,0,1,1,-12,0,0
220,89,78.0,2.0,1,0,0,0,1,4,11,1,1
221,79,69.0,12.0,1,0,0,0,1,1,10,0,1
222,88,80.0,14.5,1,0,0,0,3,3,8,0,1
223,89,72.0,11.0,1,0,0,0,3,1,17,1,1
224,56,66.0,1.5,1,0,0,0,4,2,-10,0,0
225,80,45.0,23.0,1,0,0,0,4,3,35,1,1
226,84,94.0,1.0,0,0,1,1,1,4,-10,0,0
227,101,70.0,20.0,1,0,0,0,4,4,31,1,1
228,60,64.0,9.5,1,0,1,0,4,1,-4,0,0
229,86,64.0,3.5,0,0,0,0,2,2,22,1,1
230,71,57.0,20.0,1,0,1,0,2,2,14,0,1
231,57,54.0,6.0,1,0,0,0,3,4,3,0,1
232,59,50.0,3.0,0,0,0,0,3,3,9,1,1
233,95,88.0,11.5,0,0,0,0,2,2,7,0,1
234,72,69.0,3.5,1,0,1,0,1,2,3,0,1
235,68,72.0,1.5,0,0,0,0,3,2,-4,0,0
236,61,71.0,2.5,0,0,0,0,4,1,-10,0,0
237,137,100.0,29.0,1,0,1,0,1,4,37,1,1
238,88,76.0,6.5,0,0,1,0,4,1,12,1,1
239,82,50.0,21.0,1,0,0,0,3,2,32,1,1
240,115,68.0,22.0,1,0,1,0,2,1,47,1,1
241,82,63.0,19.0,1,0,1,0,2,2,19,1,1
242,58,74.0,2.5,1,0,0,0,2,3,-16,0,0
243,71,75.0,2.5,1,0,0,0,1,1,-4,0,0
244,75,86.0,1.0,0,0,0,0,1,1,-11,0,0
245,60,77.0,5.0,1,0,0,0,2,3,-17,0,0
246,86,69.0,14.0,1,0,0,0,3,3,17,1,1
247,85,68.0,26.0,0,1,1,0,4,4,17,0,1
248,95,68.0,8.5,0,0,0,0,3,3,27,1,1
249,58,56.0,9.0,1,0,0,0,1,1,2,0,1
250,69,66.0,5.0,1,0,0,0,1,1,3,0,1
251,71,56.0,7.0,1,0,1,0,4,3,15,1,1
252,95,78.0,3.0,1,0,0,1,1,3,17,1,1
253,84,70.0,12.0,1,0,0,0,3,3,14,1,1
254,116,75.0,26.0,1,0,1,0,3,4,41,1,1
255,96,80.0,12.5,1,0,1,0,4,4,16,1,1
256,93,58.0,15.0,0,1,0,0,4,4,35,1,1
257,69,72.0,2.0,1,0,0,0,1,3,-3,0,0
258,71,81.0,5.0,0,1,1,0,4,2,-10,0,0
259,71,66.0,5.0,0,1,0,0,4,2,5,1,1
260,74,68.0,2.0,0,0,0,0,2,4,6,1,1
261,56,55.0,4.0,0,0,0,0,1,3,1,0,1
262,87,75.0,13.0,1,0,0,0,3,2,12,0,1
263,73,64.0,4.0,0,0,0,0,4,3,9,1,1
264,61,63.0,4.0,1,0,0,0,3,3,-2,0,0
265,63,60.0,6.0,0,0,0,0,3,4,3,0,1
266,89,75.0,14.0,1,0,0,0,3,1,14,1,1
267,79,86.0,3.0,0,0,0,0,4,3,-7,0,0
268,82,72.0,1.5,1,0,0,0,3,1,10,1,1
269,71,60.0,9.0,0,0,0,0,3,3,11,1,1
270,71,54.0,22.0,1,0,0,0,2,3,17,0,1
271,43,56.0,10.0,1,0,0,0,3,3,-13,0,0
272,78,54.0,8.0,1,0,0,0,3,3,24,1,1
273,91,72.0,7.0,1,0,0,0,1,1,19,1,1
274,90,59.0,22.0,1,0,0,0,4,4,31,1,1
275,93,64.0,11.0,1,0,0,0,3,3,29,1,1
276,65,60.0,20.0,1,0,1,0,1,1,5,0,1
277,67,61.0,3.0,1,0,0,0,2,4,6,1,1
278,95,68.0,27.0,1,0,1,0,1,4,27,1,1
279,69,66.0,2.5,0,1,1,1,3,3,3,1,1
280,86,84.0,15.0,0,1,1,0,2,2,2,0,1
281,92,49.0,28.0,1,0,1,0,3,3,43,1,1
282,78,63.0,8.0,0,0,0,0,4,1,15,1,1
283,75,78.0,6.0,0,0,1,0,4,4,-3,0,0
284,69,72.0,10.5,0,0,0,0,4,3,-3,0,0
285,74,64.0,3.5,1,0,0,0,4,2,10,1,1
286,52,56.0,1.0,1,0,0,0,3,2,-4,0,0
287,107,88.0,14.0,1,0,0,0,2,2,19,1,1
288,91,100.0,1.5,0,0,1,1,4,3,-9,0,0
289,94,67.0,14.0,1,0,0,0,2,2,27,1,1
290,71,54.0,13.5,1,0,0,0,3,3,17,1,1
291,52,78.0,10.5,1,0,1,0,3,3,-26,0,0
292,83,62.0,1.5,1,0,0,1,3,2,21,1,1
293,88,67.0,18.0,0,0,0,0,3,3,21,1,1
294,88,56.0,16.0,1,0,0,0,2,2,32,1,1
295,65,68.0,8.5,1,0,0,0,3,2,-3,0,0
296,91,71.0,11.0,1,0,1,1,2,2,20,1,1
297,91,65.0,22.0,1,0,1,0,1,1,26,1,1
298,44,51.0,3.0,0,0,0,0,4,3,-7,0,0
299,76,63.0,10.0,1,0,1,0,4,3,13,1,1
300,95,83.0,15.0,0,0,0,0,4,4,12,0,1
301,61,67.0,10.0,0,0,1,0,4,3,-6,0,0
302,80,58.0,10.0,1,0,0,0,2,3,22,1,1
303,82,63.0,18.0,1,0,1,0,4,4,19,1,1
304,67,58.0,15.0,0,0,1,0,3,3,9,0,1
305,99,82.0,7.0,0,0,1,0,4,4,17,1,1
306,73,60.0,1.0,1,0,0,0,3,3,13,1,1
307,95,82.0,15.0,1,0,1,0,1,1,13,0,1
308,94,83.0,14.0,1,0,0,0,3,3,11,0,1
309,72,65.0,13.5,1,0,0,0,3,3,7,0,1
310,70,55.0,9.0,1,0,0,0,2,2,15,1,1
311,82,83.0,3.5,1,0,0,0,2,3,-1,0,0
312,77,71.0,8.0,1,0,1,1,3,4,6,0,1
313,52,59.0,13.5,1,0,1,0,3,3,-7,0,0
314,71,59.0,4.0,1,0,0,1,2,2,12,1,1
315,51,53.0,3.5,1,0,0,0,4,3,-2,0,0
316,87,60.0,10.0,1,0,1,0,1,1,27,1,1
317,92,55.0,18.5,1,0,1,0,1,3,37,1,1
318,85,71.0,13.5,1,0,0,0,3,3,14,1,1
319,90,61.0,18.5,1,0,1,0,4,4,29,1,1
320,70,76.0,1.5,0,0,0,0,3,3,-6,0,0
321,79,69.0,2.0,1,0,1,1,2,2,10,1,1
322,69,78.0,7.5,1,0,1,1,3,3,-9,0,0
323,65,60.0,8.0,1,0,1,0,3,3,5,0,1
324,86,73.0,1.0,1,0,1,1,4,4,13,1,1
325,52,69.0,4.5,0,0,0,0,4,4,-17,0,0
326,67,50.0,7.5,1,0,0,0,4,4,17,1,1
327,96,73.0,24.0,1,0,0,0,3,3,23,0,1
328,67,78.0,6.5,0,0,1,0,4,4,-11,0,0
329,75,57.0,13.0,0,0,0,0,3,3,18,1,1
330,65,55.0,10.5,1,0,1,0,3,4,10,0,1
331,67,58.0,5.5,1,0,0,0,3,4,9,1,1
332,54,64.0,4.0,1,0,0,0,3,2,-10,0,0
333,67,61.0,4.5,0,0,1,0,3,2,6,1,1
334,72,58.0,15.0,1,0,0,0,3,3,14,0,1
335,100,76.0,11.0,1,0,1,0,4,4,24,1,1
336,68,48.0,14.0,0,0,1,0,3,3,20,1,1
337,79,64.0,9.0,1,0,0,0,2,4,15,1,1
338,72,73.0,2.0,0,0,0,0,3,3,-1,0,0
339,111,99.0,18.0,1,0,0,0,2,2,12,0,1
340,100,86.0,1.0,0,0,0,0,2,2,14,1,1
341,69,67.0,1.0,1,0,0,1,3,4,2,1,1
342,56,59.0,1.0,0,0,1,1,2,2,-3,0,0
343,79,64.0,1.5,0,0,0,0,3,3,15,1,1
344,116,77.0,27.0,1,0,0,0,2,3,39,1,1
345,77,70.0,4.0,1,0,0,1,4,3,7,1,1
346,88,87.0,11.0,1,0,1,0,2,3,1,0,1
347,84,73.0,12.5,1,0,1,0,1,1,11,0,1
348,100,81.0,6.0,1,0,1,0,1,1,19,1,1
349,84,77.0,1.5,0,0,0,0,3,4,7,1,1
350,54,50.0,1.0,0,0,0,0,2,2,4,1,1
351,101,71.0,28.0,1,0,0,0,4,2,30,1,1
352,83,63.0,12.0,1,0,0,0,4,4,20,1,1
353,53,68.0,2.0,1,0,0,1,4,3,-15,0,0
354,62,44.0,1.0,0,0,1,0,4,3,18,1,1
355,74,48.0,10.0,1,0,0,0,3,3,26,1,1
356,63,76.0,3.0,1,0,0,0,2,4,-13,0,0
357,80,65.0,14.5,1,0,1,0,4,3,15,1,1
358,93,76.0,14.0,1,0,1,0,2,2,17,1,1
359,72,69.0,8.0,1,0,1,0,2,2,3,0,1
360,104,97.0,2.5,1,0,0,0,3,2,7,1,1
361,88,78.0,15.0,1,0,0,0,3,3,10,0,1
362,98,88.0,6.0,0,0,0,0,2,2,10,1,1
363,97,94.0,4.0,0,0,1,0,2,3,3,0,1
364,79,81.0,1.0,0,0,1,1,2,2,-2,0,0
365,79,70.0,4.0,1,0,0,0,1,1,9,1,1
366,61,62.0,4.0,1,0,0,1,4,4,-1,0,0
367,71,56.0,14.5,1,0,0,0,3,3,15,1,1
368,70,65.0,1.0,1,0,0,0,3,3,5,1,1
369,98,83.0,5.0,0,0,1,0,1,1,15,1,1
370,107,86.0,12.5,1,0,1,0,1,1,21,1,1
371,66,68.0,2.0,0,0,0,0,4,3,-2,0,0
372,71,70.0,5.5,1,0,0,0,4,4,1,0,1
373,83,74.0,3.0,0,0,0,0,1,4,9,1,1
374,74,66.0,3.0,0,0,1,0,3,2,8,1,1
375,70,66.0,11.0,1,0,0,0,3,3,4,0,1
376,62,60.0,4.5,1,0,0,0,2,2,2,0,1
377,70,59.0,2.5,1,0,0,0,3,3,11,1,1
378,76,55.0,7.5,1,0,0,0,3,3,21,1,1
379,94,63.0,18.5,0,0,1,0,4,2,31,1,1
380,88,56.0,3.5,0,0,0,0,2,2,32,1,1
381,69,67.0,7.5,1,0,0,0,4,4,2,0,1
382,75,79.0,6.0,1,0,0,0,1,1,-4,0,0
383,84,54.0,19.5,1,0,0,0,3,3,30,1,1
384,61,47.0,14.0,1,0,0,0,3,3,14,1,1
385,89,62.0,9.5,1,0,0,0,3,3,27,1,1
386,64,58.0,2.5,1,0,1,0,4,4,6,1,1
387,65,43.0,4.5,1,0,0,0,3,3,22,1,1
388,73,64.0,7.5,1,0,0,0,3,3,9,1,1
389,86,77.0,1.0,1,0,0,0,4,3,9,1,1
390,73,87.0,1.0,0,0,0,0,4,4,-14,0,0
391,80,78.0,1.0,0,0,0,0,3,3,2,1,1
392,86,62.0,5.0,1,0,0,0,4,4,24,1,1
393,80,86.0,2.0,1,0,1,1,3,2,-6,0,0
394,70,48.0,15.0,1,0,0,0,3,3,22,1,1
395,69,71.0,2.5,1,0,1,1,2,2,-2,0,0
396,68,58.0,8.0,1,0,1,0,3,3,10,1,1
397,70,74.0,8.5,1,0,1,0,2,2,-4,0,0
398,102,90.0,1.0,1,0,0,0,3,2,12,1,1
399,70,56.0,16.0,0,0,0,0,3,3,14,0,1
400,71,51.0,8.5,1,0,1,0,3,4,20,1,1
401,69,75.0,4.0,1,0,0,0,2,2,-6,0,0
402,98,72.0,19.0,1,0,0,0,2,2,26,1,1
403,78,82.0,1.0,0,0,0,0,3,2,-4,0,0
404,83,77.0,1.5,1,0,0,0,3,3,6,1,1
405,91,65.0,24.0,1,0,0,0,2,2,26,1,1
406,84,75.0,7.5,1,0,0,0,4,4,9,1,1
407,63,54.0,1.0,1,0,1,1,4,4,9,1,1
408,76,60.0,2.0,1,0,0,0,3,3,16,1,1
409,94,84.0,18.5,1,0,0,0,3,3,10,0,1
410,63,65.0,4.5,1,0,0,0,4,4,-2,0,0
411,70,68.0,2.5,1,0,0,0,4,4,2,0,1
412,64,54.0,12.0,0,0,0,0,4,4,10,0,1
413,72,65.0,3.0,0,0,0,0,4,4,7,1,1
414,88,81.0,9.0,1,0,0,0,4,4,7,0,1
415,83,69.0,20.5,1,0,1,0,1,1,14,0,1
416,72,73.0,9.0,1,0,1,0,1,1,-1,0,0
417,93,90.0,11.0,1,0,0,0,3,3,3,0,1
418,53,55.0,3.0,1,0,0,0,3,3,-2,0,0
419,77,76.0,9.5,1,0,0,0,1,1,1,0,1
420,72,67.0,4.0,0,0,0,0,3,3,5,1,1
421,58,63.0,3.0,1,0,0,0,4,4,-5,0,0
422,74,72.0,7.5,0,0,0,0,3,2,2,0,1
423,70,59.0,20.5,1,0,0,0,3,3,11,0,1
424,63,72.0,2.5,0,0,1,0,4,4,-9,0,0
425,57,63.0,3.5,0,0,0,0,4,4,-6,0,0
426,90,78.0,14.0,1,0,1,0,1,1,12,0,1
427,90,70.0,4.0,1,0,0,0,2,2,20,1,1
428,73,67.0,5.5,1,0,0,0,2,3,6,1,1
429,96,87.0,4.0,1,0,0,0,2,2,9,1,1
430,64,97.0,1.0,0,0,0,0,2,3,-33,0,0
431,104,88.0,3.0,0,0,1,0,1,1,16,1,1
432,81,50.0,14.0,1,0,0,0,3,2,31,1,1
433,47,50.0,13.5,1,0,0,0,2,2,-3,0,0
434,103,,4.0,1,0,0,0,4,4,2,0,1
435,97,76.0,9.5,1,0,1,0,1,1,21,1,1
436,82,44.0,17.0,1,0,1,0,1,1,38,1,1
437,96,79.0,11.5,1,0,0,0,3,3,17,1,1
438,63,89.0,1.0,1,0,0,0,1,1,-26,0,0
439,71,77.0,4.5,1,0,0,0,4,3,-6,0,0
440,72,53.0,18.0,1,0,0,0,3,3,19,1,1
441,61,87.0,17.0,1,0,0,0,1,2,-26,0,0
442,64,61.0,10.0,1,0,0,0,4,4,3,0,1
443,95,74.0,12.5,1,0,0,0,1,1,21,1,1
444,76,61.0,16.0,1,0,1,0,4,4,15,0,1
445,82,81.0,5.0,1,0,0,0,3,3,1,0,1
446,76,68.0,8.0,0,0,0,0,3,3,8,1,1
447,82,71.0,8.0,1,0,0,0,2,2,11,1,1
448,60,71.0,4.5,1,0,0,0,3,3,-11,0,0
449,73,61.0,1.0,1,0,0,0,1,1,12,1,1
450,72,76.0,1.5,0,0,0,0,3,4,-4,0,0
451,66,69.0,2.0,1,0,0,1,3,3,-3,0,0
452,66,56.0,12.5,1,0,0,0,3,3,10,0,1
453,73,60.0,7.5,1,0,0,0,3,4,13,1,1
454,67,73.0,5.0,0,0,0,0,4,4,-6,0,0
455,88,69.0,15.0,1,0,1,1,2,2,19,1,1
456,71,60.0,8.5,0,0,1,0,3,3,11,1,1
457,67,66.0,1.0,1,0,0,0,2,3,1,1,1
458,80,51.0,18.5,1,0,0,0,4,3,29,1,1
