,year,i3,inf,rec,out,def,i3_1,inf_1,def_1,ci3,cinf,cdef,y77
29,1977,5.27,6.5,18.0,20.7,2.7000008,4.99,5.8,4.299999,0.2800002,0.6999998,-1.5999985,1
30,1978,7.22,7.6,18.0,20.7,2.7000008,5.27,6.5,2.7000008,1.9499998,1.0999999,0.0,1
31,1979,10.04,11.3,18.5,20.1,1.6000004,7.22,7.6,2.7000008,2.8200002,3.7000003,-1.1000004,1
32,1980,11.51,13.5,19.0,21.7,2.7000008,10.04,11.3,1.6000004,1.4700003,2.1999998,1.1000004,1
33,1981,14.03,10.3,19.6,22.2,2.6000004,11.51,13.5,2.7000008,2.5199995,-3.1999998,-0.10000038,1
34,1982,10.69,6.2,19.2,23.1,3.8999996,14.03,10.3,2.6000004,-3.3400002,-4.1000004,1.2999992,1
35,1983,8.63,3.2,17.4,23.5,6.1000004,10.69,6.2,3.8999996,-2.0599995,-2.9999998,2.2000008,1
36,1984,9.58,4.3,17.3,22.1,4.800001,8.63,3.2,6.1000004,0.9499998,1.1000001,-1.2999992,1
37,1985,7.48,3.6,17.7,22.8,5.0999985,9.58,4.3,4.800001,-2.1,-0.7000003,0.29999733,1
38,1986,5.98,1.9,17.5,22.5,5.0,7.48,3.6,5.0999985,-1.5,-1.6999999,-0.099998474,1
39,1987,5.82,3.6,18.4,21.6,3.2000008,5.98,1.9,5.0,-0.15999985,1.6999999,-1.7999992,1
40,1988,6.69,4.1,18.1,21.2,3.1000004,5.82,3.6,3.2000008,0.8699999,0.5,-0.10000038,1
41,1989,8.12,4.8,18.3,21.2,2.9000015,6.69,4.1,3.1000004,1.4299998,0.7000003,-0.19999886,1
42,1990,7.51,5.4,18.0,21.8,3.7999992,8.12,4.8,2.9000015,-0.60999966,0.5999999,0.8999977,1
43,1991,5.42,4.2,17.8,22.3,4.5,7.51,5.4,3.7999992,-2.0900002,-1.2000003,0.70000076,1
44,1992,3.45,3.0,17.5,22.1,4.6000004,5.42,4.2,4.5,-1.97,-1.1999998,0.10000038,1
45,1993,3.02,3.0,17.5,21.4,3.8999996,3.45,3.0,4.6000004,-0.43000007,0.0,-0.70000076,1
46,1994,4.29,2.6,18.1,21.0,2.8999996,3.02,3.0,3.8999996,1.27,-0.4000001,-1.0,1
47,1995,5.51,2.8,18.5,20.7,2.2000008,4.29,2.6,2.8999996,1.2200003,0.20000005,-0.69999886,1
48,1996,5.02,3.0,18.9,20.3,1.3999996,5.51,2.8,2.2000008,-0.49000025,0.20000005,-0.80000114,1
49,1997,5.07,2.3,19.3,19.6,0.30000114,5.02,3.0,1.3999996,0.05000019,-0.70000005,-1.0999985,1
50,1998,4.81,1.6,20.0,19.2,-0.79999924,5.07,2.3,0.30000114,-0.26000023,-0.6999999,-1.1000004,1
51,1999,4.66,2.2,20.0,18.6,-1.3999996,4.81,1.6,-0.79999924,-0.1500001,0.6,-0.6000004,1
52,2000,5.85,3.4,20.9,18.4,-2.5,4.66,2.2,-1.3999996,1.19,1.2,-1.1000004,1
53,2001,3.45,2.8,19.8,18.6,-1.1999989,5.85,3.4,-2.5,-2.3999999,-0.60000014,1.3000011,1
54,2002,1.62,1.6,17.9,19.4,1.5,3.45,2.8,-1.1999989,-1.83,-1.1999999,2.6999989,1
55,2003,1.02,2.3,16.5,19.9,3.3999996,1.62,1.6,1.5,-0.6,0.6999999,1.8999996,1
