,salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility,lsalary,lsales
28,476,6,611.3,16.2,-15.7,40,1,0,0,0,6.1654177,6.415588
29,1492,10,12431.7,18.4,-23.3,58,1,0,0,0,7.307873,9.428005
30,1024,-3,8169.0,14.2,-36.2,-10,1,0,0,0,6.931472,9.008101
31,1593,18,20659.0,14.9,410.3,16,1,0,0,0,7.3733745,9.935906
32,427,27,3072.1,12.4,-17.7,61,1,0,0,0,6.056784,8.030117
33,829,5,1669.1,17.1,-39.3,64,1,0,0,0,6.72022,7.4200397
34,797,-3,2401.2,16.9,6.0,39,1,0,0,0,6.680855,7.783724
35,577,23,3043.6,18.1,-13.5,1,1,0,0,0,6.3578424,8.020797
36,1342,7,6222.2,10.9,-6.0,59,1,0,0,0,7.201916,8.735879
37,1774,0,7727.9,19.3,15.3,19,1,0,0,0,7.4809923,8.952593
38,709,11,719.5,18.3,4.6,65,1,0,0,0,6.5638556,6.5785565
39,860,28,3921.3,18.4,34.7,45,1,0,0,0,6.7569323,8.2741785
40,1336,20,5155.1,13.8,1.7,7,1,0,0,0,7.1974354,8.547742
41,516,-2,649.2,13.7,-10.3,27,1,0,0,0,6.2461066,6.475741
42,931,20,10885.0,12.7,14.5,10,1,0,0,0,6.8362594,9.295141
43,815,12,1651.9,15.1,-2.4,33,1,0,0,0,6.703188,7.4096813
44,1681,20,12915.0,16.5,-66.7,29,1,0,0,0,7.427144,9.466145
45,568,-36,11436.0,10.2,-48.3,-19,1,0,0,0,6.3421216,9.3445215
46,775,7,2210.3,19.6,18.9,34,1,0,0,0,6.652863,7.7008834
47,1188,9,3737.8,12.8,32.5,15,1,0,0,0,7.0800266,8.226253
48,782,-1,1976.7,15.9,-0.6,24,1,0,0,0,6.6618547,7.589184
49,1170,0,2576.0,17.3,-39.1,93,1,0,0,0,7.0647593,7.853993
50,1469,8,6309.1,8.5,93.9,79,1,0,0,0,7.292337,8.749748
51,916,-1,2940.5,16.4,25.8,105,1,0,0,0,6.8200164,7.986335
52,1070,-9,1072.6,19.5,34.8,269,1,0,0,0,6.975414,6.977841
53,894,1,1534.0,19.2,-3.7,74,1,0,0,0,6.795706,7.3356338
54,829,-4,2158.8,15.9,-27.6,-18,1,0,0,0,6.72022,7.6773076
55,780,17,1736.0,19.9,50.7,23,1,0,0,0,6.659294,7.4593387
56,2327,10,3598.8,28.1,-28.3,104,1,0,0,0,7.752335,8.188355
57,717,20,1413.6,25.0,-15.8,56,1,0,0,0,6.5750756,7.253895
58,1368,9,13538.0,15.0,-8.8,-43,1,0,0,0,7.221105,9.513256
59,2028,185,69018.0,12.6,2.3,10,1,0,0,0,7.614805,11.142122
60,1195,2,6285.0,20.3,6.3,49,1,0,0,0,7.0859013,8.745921
61,256,19,526.3,22.7,24.7,175,1,0,0,0,5.5451775,6.2658715
62,775,-10,3195.6,14.8,-32.6,12,1,0,0,0,6.652863,8.0695305
63,1407,80,2762.8,13.2,-17.4,28,1,0,0,0,7.249215,7.924
64,543,14,1873.1,10.3,-45.0,-58,1,0,0,0,6.297109,7.53535
65,874,-10,4648.1,17.7,-13.9,-6,1,0,0,0,6.7730803,8.444214
66,1287,-3,16951.0,10.0,-1.0,-21,1,0,0,0,7.160069,9.738082
67,1248,16,3506.9,15.6,5.0,54,0,1,0,0,7.1292977,8.162488
68,875,-19,5333.1,6.8,27.6,-8,0,1,0,0,6.774224,8.581688
69,925,-3,3296.2,12.4,-56.9,-21,0,1,0,0,6.829794,8.100526
70,798,-6,2584.0,13.1,-50.5,10,0,1,0,0,6.6821084,7.857094
71,760,14,834.4,15.8,3.0,55,0,1,0,0,6.6333184,6.7267127
72,600,-41,4068.7,12.8,-32.0,-6,0,1,0,0,6.3969297,8.311079
73,991,18,2518.6,15.3,13.3,65,0,1,0,0,6.8987145,7.8314586
74,1570,14,10465.0,0.5,977.0,36,0,1,0,0,7.358831,9.255792
75,911,1,2682.4,16.5,31.5,23,0,1,0,0,6.814543,7.8944674
76,1360,12,2688.2,15.1,23.0,67,0,1,0,0,7.21524,7.896627
77,700,-53,6682.3,13.0,5.8,53,0,1,0,0,6.55108,8.807218
78,741,-50,4879.9,11.1,-77.7,-26,0,1,0,0,6.6080008,8.49288
79,1097,143,2772.1,8.9,595.6,20,0,1,0,0,7.0003343,7.9273605
80,953,15,1320.4,17.5,-4.3,83,0,1,0,0,6.859615,7.18569
81,441,-7,3408.5,15.9,-10.0,37,0,1,0,0,6.089045,8.1340275
82,595,18,1919.7,14.2,31.4,61,0,1,0,0,6.3885612,7.559924
83,1067,1,19020.5,9.3,-37.8,4,0,1,0,0,6.972606,9.853272
84,1298,3,4778.3,9.5,-26.7,-2,0,1,0,0,7.16858,8.47184
85,1798,-31,24332.0,15.5,-59.5,2,0,1,0,0,7.49443,10.099547
86,4143,-10,2678.4,14.4,-12.8,42,0,1,0,0,8.329175,7.892975
87,1336,8,4481.0,11.1,10.8,15,0,1,0,0,7.1974354,8.407601
88,1750,11,14932.1,15.9,-7.8,62,0,1,0,0,7.467371,9.611268
89,912,15,2626.4,16.4,0.3,70,0,1,0,0,6.81564,7.873369
90,1892,-16,2659.5,8.6,-1.4,126,0,1,0,0,7.5453897,7.8858933
91,833,19,1073.2,24.6,14.4,51,0,1,0,0,6.7250338,6.9784
92,1142,-12,2577.3,15.4,-22.4,56,0,1,0,0,7.0405364,7.8544974
93,1159,13,4293.8,16.9,2.6,107,0,1,0,0,7.0553126,8.364927
94,1283,16,18164.0,7.2,-47.3,14,0,1,0,0,7.156956,9.807197
95,2109,42,9944.4,11.6,-42.2,23,0,1,0,0,7.6539693,9.204765
96,1039,-21,12719.0,26.4,43.4,264,0,1,0,0,6.946014,9.450852
97,992,42,1931.6,21.4,-9.2,52,0,1,0,0,6.899723,7.566104
98,1253,4,2993.2,19.2,1.9,74,0,1,0,0,7.133296,8.004098
99,721,9,2127.2,15.1,-22.3,101,0,1,0,0,6.5806394,7.662562
100,1351,4,4211.9,9.0,-18.0,-4,0,1,0,0,7.2086005,8.345669
101,1391,25,8489.6,9.4,-27.3,26,0,1,0,0,7.237778,9.0465975
102,1245,25,12222.8,19.0,-20.9,52,0,1,0,0,7.1268907,9.411058
103,1550,0,11213.4,3.5,-55.4,6,0,1,0,0,7.34601,9.324864
104,2150,-61,5869.6,22.1,-38.0,68,0,1,0,0,7.673223,8.677542
105,1846,20,6193.8,10.9,-14.7,6,0,1,0,0,7.5207763,8.731304
106,573,8,3053.2,15.1,-3.8,31,0,1,0,0,6.350886,8.023946
107,6640,4,8946.0,10.2,87.6,34,0,1,0,0,8.800867,9.098962
108,959,49,4045.2,17.3,-7.8,51,0,1,0,0,6.865891,8.305286
109,612,39,3618.9,33.3,-10.5,68,0,1,0,0,6.4167323,8.193925
110,1820,69,1796.1,22.8,12.7,115,0,1,0,0,7.506592,7.493373
111,1411,2,6703.1,11.1,-37.2,28,0,1,0,0,7.2520537,8.810326
112,1026,6,2170.3,12.4,134.6,162,0,1,0,0,6.933423,7.6826205
113,1287,-12,4674.0,20.9,84.2,-47,0,0,0,1,7.160069,8.449771
114,800,162,3372.0,6.7,29.0,60,0,0,0,1,6.684612,8.123261
115,1115,-9,8205.0,7.1,13.9,23,0,0,0,1,7.0166097,9.012499
116,1631,33,4617.0,11.8,227.0,75,0,0,0,1,7.396949,8.4375
117,1910,23,6964.0,14.0,2.7,43,0,0,0,1,7.5548587,8.848509
118,996,-3,6623.0,10.1,-63.6,10,0,0,1,0,6.903747,8.798304
119,918,-35,29797.0,6.4,-95.0,-28,0,0,1,0,6.8221974,10.302163
120,1261,21,5225.5,12.4,-54.9,1,0,0,1,0,7.1396604,8.561306
121,1053,-8,3639.0,17.6,-22.3,5,0,0,1,0,6.9593987,8.199464
122,1221,-43,97649.9,15.1,-85.2,-7,0,0,1,0,7.1074257,11.489144
123,1738,19,10743.6,23.6,11.5,36,0,0,1,0,7.46049,9.282065
124,3142,15,10236.3,35.7,27.2,155,0,0,1,0,8.052615,9.233695
125,1900,26,17802.7,23.2,-7.8,142,0,0,1,0,7.549609,9.787106
126,427,21,6158.7,12.4,-17.7,95,0,0,1,0,6.056784,8.725621
127,1700,8,6775.2,44.4,37.7,61,0,0,1,0,7.4383836,8.821024
128,360,103,298.7,2.1,23.1,302,0,0,1,0,5.886104,5.69944
129,459,9,785.3,18.4,-43.1,5,0,0,1,0,6.1290503,6.6660657
130,1340,5,1368.6,16.1,12.6,115,0,0,1,0,7.2004247,7.221544
131,729,25,2066.1,15.1,-8.4,52,0,0,1,0,6.591674,7.633418
132,223,-6,181.5,22.7,32.6,295,0,0,1,0,5.4071717,5.201256
133,2101,25,10300.0,23.4,46.9,76,0,0,1,0,7.650169,9.2399
134,1082,28,11232.0,25.7,-2.4,101,0,0,1,0,6.9865665,9.326522
135,1781,31,5191.6,27.0,141.0,98,0,0,1,0,7.4849305,8.554797
136,791,18,976.7,19.9,-13.2,89,0,0,1,0,6.673298,6.8841796
137,2092,-11,7671.5,43.7,8.5,80,0,0,1,0,7.645876,8.945268
138,1573,10,6406.0,16.4,-11.5,87,0,0,1,0,7.3607397,8.764991
139,1045,9,2917.4,11.6,-98.9,203,0,0,1,0,6.951772,7.978448
140,1694,12,3322.9,24.8,23.9,100,0,0,1,0,7.434848,8.108593
141,453,20,175.2,26.2,35.6,418,0,0,1,0,6.115892,5.1659284
142,1130,1,1686.3,44.5,3.4,99,0,0,1,0,7.029973,7.430292
143,1334,13,514.1,22.3,62.4,358,0,0,1,0,7.195937,6.242418
144,1344,13,3032.7,22.3,62.4,36,0,0,1,0,7.2034054,8.017208
145,1585,5,4686.9,35.1,2.2,111,0,0,1,0,7.3683395,8.452527
146,1946,45,8388.1,13.1,5.9,88,0,0,1,0,7.573531,9.03457
147,1619,9,7632.8,11.0,22.6,32,0,0,1,0,7.389564,8.94021
148,1620,12,17453.8,19.4,-12.8,128,0,0,1,0,7.3901815,9.767313
149,967,-27,5781.1,28.5,-11.0,119,0,0,1,0,6.8741984,8.66235
150,1431,0,6896.2,43.9,3.5,110,0,0,1,0,7.266129,8.838726
151,1231,9,6503.1,26.8,19.8,84,0,0,1,0,7.115582,8.780034
152,770,-4,2715.6,15.7,-2.5,63,0,0,1,0,6.6463904,7.9067683
153,1594,53,2761.9,15.0,27.8,85,0,0,1,0,7.374002,7.923674
154,1568,47,5181.4,28.2,-19.1,55,0,0,1,0,7.3575563,8.552831
155,995,15,1323.0,15.4,74.6,195,0,0,1,0,6.902743,7.1876574
156,1077,-16,5296.0,20.0,27.5,36,0,0,1,0,6.9819345,8.574707
157,1161,9,7177.0,42.2,-2.8,68,0,0,1,0,7.057037,8.878636
158,1401,1,12183.5,19.6,-2.1,93,0,0,1,0,7.2449417,9.407838
159,1127,4,7863.5,16.2,26.0,152,0,0,1,0,7.0273147,8.969987
160,3068,-14,3825.6,21.5,-27.6,142,0,0,1,0,8.028781,8.249471
161,730,7,1110.6,29.5,20.5,60,0,0,1,0,6.5930448,7.0126557
162,729,-10,1391.3,22.6,-17.2,32,0,0,1,0,6.591674,7.2379937
163,11233,17,6047.9,22.9,9.9,74,0,0,1,0,9.3266115,8.707466
164,949,-11,18908.0,13.0,-46.7,-3,0,0,1,0,6.8554087,9.847341
165,3646,-11,3921.5,7.8,-64.2,29,0,0,1,0,8.2013855,8.274229
166,1502,212,3453.8,48.1,35.1,28,0,0,1,0,7.314553,8.14723
167,807,10,1558.5,18.0,-1.0,49,0,0,1,0,6.6933236,7.351479
168,713,8,962.8,18.0,7.6,81,0,0,1,0,6.5694814,6.869846
169,1489,0,25848.0,21.7,380.6,114,0,0,1,0,7.30586,10.159988
170,736,73,631.5,21.3,60.8,71,0,0,1,0,6.60123,6.4480977
171,1226,53,1728.9,26.9,-7.1,84,0,0,1,0,7.111512,7.4552407
172,543,112,2669.3,30.5,24.9,323,0,0,1,0,6.297109,7.8895717
173,14822,1,2159.2,19.4,-37.3,17,0,0,1,0,9.603868,7.677493
174,890,-18,2612.6,15.6,-49.0,-14,0,0,1,0,6.7912216,7.868101
175,1627,6,8270.3,19.4,-3.7,104,0,0,1,0,7.394493,9.020426
176,2408,28,44323.0,29.1,9.8,160,0,0,1,0,7.786552,10.699259
177,2248,6,764.7,40.8,44.4,191,0,0,1,0,7.7177963,6.6394835
178,787,20,5167.5,13.7,-4.0,34,0,0,0,1,6.668228,8.550144
179,474,-5,2159.3,11.1,-58.2,16,0,0,0,1,6.161207,7.6775393
180,439,7,2617.1,10.8,-16.1,65,0,0,0,1,6.0844994,7.869822
181,465,11,2367.7,5.1,-25.0,43,0,0,0,1,6.1420374,7.7696743
182,594,33,2744.0,12.3,-12.2,76,0,0,0,1,6.3868794,7.917172
183,688,-6,2357.9,7.4,-9.7,33,0,0,0,1,6.5337887,7.765527
184,607,12,5262.0,6.2,-94.8,59,0,0,0,1,6.408529,8.568267
185,634,44,5738.9,12.7,-7.0,38,0,0,0,1,6.452049,8.655023
186,532,2,2714.9,10.6,-21.2,35,0,0,0,1,6.2766433,7.9065104
187,441,39,3306.7,7.4,13.0,150,0,0,0,1,6.089045,8.103706
188,694,18,3532.5,12.6,-13.8,37,0,0,0,1,6.542472,8.169761
189,520,-6,3681.5,12.8,-7.7,64,0,0,0,1,6.253829,8.211076
190,757,12,3982.1,2.9,45.4,197,0,0,0,1,6.629363,8.289565
191,668,30,2996.0,13.5,-3.3,81,0,0,0,1,6.504288,8.0050335
192,803,18,4178.6,10.7,-29.9,52,0,0,0,1,6.6883545,8.337731
193,500,3,2616.3,11.9,-1.3,25,0,0,0,1,6.214608,7.8695164
194,552,-5,2064.5,12.9,-16.8,37,0,0,0,1,6.313548,7.632643
195,412,-5,2225.5,10.1,-27.4,13,0,0,0,1,6.0210233,7.707737
196,1100,58,9470.1,7.3,76.6,82,0,0,0,1,7.0030656,9.155894
197,959,26,3783.2,14.6,5.0,65,0,0,0,1,6.865891,8.238325
198,333,34,2388.7,13.8,6.5,59,0,0,0,1,5.8081427,7.7785044
199,503,-19,3705.2,8.9,-96.8,29,0,0,0,1,6.22059,8.217492
200,448,-8,1411.7,14.0,-33.5,14,0,0,0,1,6.104793,7.25255
201,732,7,4800.1,12.9,-11.2,36,0,0,0,1,6.5957804,8.476392
202,720,8,1771.9,14.5,13.6,78,0,0,0,1,6.5792513,7.479808
203,808,-16,7198.5,14.7,7.4,49,0,0,0,1,6.694562,8.881628
204,930,10,1509.1,9.0,20.5,131,0,0,0,1,6.8351846,7.3192687
205,525,3,1097.1,15.5,20.1,72,0,0,0,1,6.263398,7.000426
206,658,32,4542.6,12.1,-7.8,68,0,0,0,1,6.489205,8.421255
207,555,6,2023.0,13.7,-14.6,60,0,0,0,1,6.3189683,7.6123366
208,626,0,1442.5,14.4,-10.2,62,0,0,0,1,6.4393506,7.274133
