,year,totacc,fatacc,injacc,pdoacc,ntotacc,nfatacc,ninjacc,npdoacc,rtotacc,rfatacc,rinjacc,rpdoacc,ushigh,cntyrds,strtes,t,tsq,unem,spdlaw,beltlaw,wkends,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ltotacc,lfatacc,prcfat,prcrfat,lrtotacc,lrfatacc,lntotacc,lnfatacc,prcnfat,lushigh,lcntyrds,lstrtes,spdt,beltt,prcfat_1
12,1982,36672.0,278,14253,22141,34560.0,251,13446,20863,209,8,87,114,1089,6063,3182,13.0,169,9.4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10.5097685,5.627621,0.75807154,3.8277512,5.3423343,2.0794415,10.450452,5.525453,0.7262731,6.9930153,8.70996,8.065266,0.0,0.0,0.9009916
13,1982,32699.0,269,13268,19162,30759.0,237,12492,18030,181,15,76,90,914,5334,2826,14.0,196,9.6,0,0,12,1,0,0,0,0,0,0,0,0,0,0,10.3951,5.5947113,0.8226551,8.2872925,5.198497,2.7080503,10.333938,5.46806,0.7705062,6.8178306,8.581857,7.9466176,0.0,0.0,0.75807154
14,1982,41283.0,347,16372,24564,38602.0,322,15311,22969,256,12,115,129,1223,6531,3710,15.0,225,9.7,0,0,12,0,1,0,0,0,0,0,0,0,0,0,10.628206,5.8493247,0.8405397,4.6875,5.5451775,2.4849067,10.561059,5.7745514,0.83415365,7.109062,8.784315,8.218787,0.0,0.0,0.8226551
15,1982,36455.0,338,14893,21224,34200.0,306,13967,19927,258,10,115,133,1045,5868,3119,16.0,256,9.4,0,0,13,0,0,1,0,0,0,0,0,0,0,0,10.503834,5.8230457,0.92717046,3.875969,5.5529594,2.3025851,10.4399805,5.723585,0.8947368,6.951772,8.677269,8.045268,0.0,0.0,0.8405397
16,1982,36690.0,331,15484,20875,34590.0,294,14591,19705,268,14,120,134,940,6429,3181,17.0,289,9.0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,10.51026,5.8021183,0.9021532,5.223881,5.590987,2.6390574,10.45132,5.68358,0.84995663,6.84588,8.768575,8.064951,0.0,0.0,0.92717046
17,1982,35837.0,361,15244,20232,33708.0,327,14344,19037,255,12,129,114,1006,6092,3177,18.0,324,9.4,0,0,12,0,0,0,0,1,0,0,0,0,0,0,10.486736,5.888878,1.0073388,4.7058825,5.5412636,2.4849067,10.42549,5.7899604,0.9700961,6.9137373,8.714732,8.063693,0.0,0.0,0.9021532
18,1982,36850.0,360,15860,20630,34570.0,319,14886,19365,330,12,165,153,994,6135,3449,19.0,361,10.7,0,0,14,0,0,0,0,0,1,0,0,0,0,0,10.514611,5.886104,0.97693354,3.6363637,5.799093,2.4849067,10.450742,5.765191,0.9227654,6.901737,8.7217655,8.14584,0.0,0.0,1.0073388
19,1982,36284.0,371,15511,20402,33947.0,337,14568,19042,302,11,146,145,1010,6012,3485,20.0,400,10.2,0,0,13,0,0,0,0,0,0,1,0,0,0,0,10.499132,5.916202,1.0224893,3.642384,5.710427,2.3978953,10.432556,5.820083,0.99272394,6.9177055,8.701512,8.156223,0.0,0.0,0.97693354
20,1982,36791.0,394,15572,20825,34494.0,358,14633,19503,262,11,124,127,1095,6074,3252,21.0,441,9.7,0,0,12,0,0,0,0,0,0,0,1,0,0,0,10.513008,5.976351,1.070914,4.1984735,5.5683446,2.3978953,10.448541,5.880533,1.0378617,6.9985094,8.711773,8.087026,0.0,0.0,1.0224893
21,1982,38366.0,388,16360,21618,36110.0,355,15441,20314,242,18,109,115,1185,6389,3511,22.0,484,10.3,0,0,15,0,0,0,0,0,0,0,0,1,0,0,10.554927,5.961005,1.0113121,7.4380164,5.488938,2.8903718,10.494325,5.872118,0.98310715,7.077498,8.762333,8.163656,0.0,0.0,1.070914
22,1982,37741.0,325,15326,22090,35246.0,292,14373,20581,260,14,113,133,1163,6304,3388,23.0,529,11.0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,10.538503,5.7838254,0.86113244,5.3846154,5.560682,2.6390574,10.470107,5.676754,0.8284628,7.0587583,8.7489395,8.1279955,0.0,0.0,1.0113121
23,1982,38331.0,328,15296,22707,35876.0,290,14350,21236,259,7,105,147,1170,6300,3393,24.0,576,11.0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,10.554014,5.7930136,0.8557043,2.7027028,5.556828,1.9459101,10.4878235,5.669881,0.80833983,7.0647593,8.748305,8.12947,0.0,0.0,0.86113244
24,1983,37201.0,272,14919,22010,34795.0,246,13959,20590,235,8,93,134,1064,5880,3228,25.0,625,11.7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10.524091,5.605802,0.73116314,3.4042554,5.4595857,2.0794415,10.457229,5.5053315,0.7069981,6.9697905,8.679312,8.079618,0.0,0.0,0.8557043
25,1983,35901.0,266,14401,21234,33544.0,238,13435,19871,193,6,71,116,998,5790,3255,26.0,676,11.9,0,0,12,1,0,0,0,0,0,0,0,0,0,0,10.488521,5.583496,0.74092644,3.1088083,5.26269,1.7917595,10.420613,5.4722705,0.70951587,6.905753,8.663888,8.087948,0.0,0.0,0.73116314
26,1983,40354.0,308,16148,23898,37749.0,281,15085,22383,267,6,114,147,1152,6482,3595,27.0,729,10.9,0,0,12,0,1,0,0,0,0,0,0,0,0,0,10.605446,5.7300997,0.7632453,2.247191,5.587249,1.7917595,10.538714,5.638355,0.7443906,7.049255,8.776784,8.1873,0.0,0.0,0.74092644
27,1983,38276.0,333,15871,22072,35571.0,300,14764,20507,237,6,102,129,1084,6146,3485,28.0,784,9.9,0,0,14,0,0,1,0,0,0,0,0,0,0,0,10.552578,5.8081427,0.86999685,2.5316455,5.46806,1.7917595,10.479286,5.7037826,0.84338367,6.9884133,8.7235565,8.156223,0.0,0.0,0.7632453
28,1983,36544.0,361,15844,20339,34186.0,325,14835,19026,293,13,144,136,978,6217,3303,29.0,841,9.9,0,0,13,0,0,0,1,0,0,0,0,0,0,0,10.506272,5.888878,0.98785025,4.43686,5.6801724,2.5649493,10.439571,5.7838254,0.95068157,6.8855095,8.735043,8.102587,0.0,0.0,0.86999685
29,1983,36127.0,335,15765,20027,33879.0,297,14807,18775,292,16,122,154,972,6153,3155,30.0,900,10.1,0,0,12,0,0,0,0,1,0,0,0,0,0,0,10.494796,5.8141303,0.92728424,5.479452,5.676754,2.7725887,10.430551,5.6937323,0.87664926,6.879356,8.724695,8.056744,0.0,0.0,0.98785025
30,1983,37446.0,375,16463,20608,35042.0,340,15394,19308,292,13,145,134,1092,6177,3514,31.0,961,9.5,0,0,15,0,0,0,0,0,1,0,0,0,0,0,10.530655,5.926926,1.0014421,4.452055,5.676754,2.5649493,10.464303,5.8289456,0.97026426,6.995766,8.728588,8.164511,0.0,0.0,0.92728424
31,1983,38977.0,401,17018,21558,36186.0,361,15847,19978,325,10,147,168,1125,6403,3828,32.0,1024,9.5,0,0,14,0,0,0,0,0,0,1,0,0,0,0,10.570727,5.9939613,1.0288118,3.0769231,5.7838254,2.3025851,10.496428,5.888878,0.9976234,7.0255384,8.764522,8.250098,0.0,0.0,1.0014421
32,1983,39443.0,397,17060,21986,36635.0,367,15838,20430,332,6,152,174,1206,6412,3692,33.0,1089,8.3,0,0,13,0,0,0,0,0,0,0,1,0,0,0,10.582612,5.9839363,1.0065157,1.8072289,5.805135,1.7917595,10.5087595,5.9053617,1.0017743,7.095064,8.765926,8.213923,0.0,0.0,1.0288118
33,1983,40098.0,353,17139,22606,37463.0,326,16063,21074,263,10,118,135,1226,6582,3585,34.0,1156,8.1,0,0,14,0,0,0,0,0,0,0,0,1,0,0,10.599082,5.866468,0.8803432,3.8022814,5.572154,2.3025851,10.531109,5.786897,0.87019193,7.111512,8.792094,8.184514,0.0,0.0,1.0065157
34,1983,41483.0,327,16735,24421,38551.0,299,15548,22704,241,8,104,129,1375,6491,3952,35.0,1225,8.2,0,0,12,0,0,0,0,0,0,0,0,0,1,0,10.6330385,5.7899604,0.7882747,3.319502,5.484797,2.0794415,10.559737,5.7004437,0.77559596,7.226209,8.778172,8.281977,0.0,0.0,0.8803432
35,1983,43493.0,348,17464,25681,40629.0,322,16297,24010,305,6,125,174,1318,7060,3923,36.0,1296,8.0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,10.680355,5.8522024,0.80012876,1.9672132,5.7203116,1.7917595,10.612237,5.7745514,0.79253733,7.183871,8.862201,8.274611,0.0,0.0,0.7882747
36,1984,35242.0,320,14625,20297,32943.0,297,13702,18944,216,10,90,116,951,5525,3198,37.0,1369,9.2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,10.469994,5.768321,0.9080075,4.6296296,5.3752785,2.3025851,10.4025345,5.6937323,0.9015572,6.857514,8.617039,8.070281,0.0,0.0,0.80012876
37,1984,35215.0,310,14692,20213,32884.0,286,13712,18886,201,7,88,106,1037,5646,3139,38.0,1444,8.8,0,0,12,1,0,0,0,0,0,0,0,0,0,0,10.469228,5.7365723,0.88030666,3.482587,5.3033047,1.9459101,10.400742,5.655992,0.86972386,6.944087,8.638702,8.05166,0.0,0.0,0.9080075
38,1984,39151.0,353,16919,21879,36522.0,325,15899,20298,246,10,115,121,1136,6156,3381,39.0,1521,8.6,0,0,14,0,1,0,0,0,0,0,0,0,0,0,10.575181,5.866468,0.9016372,4.0650406,5.5053315,2.3025851,10.505671,5.7838254,0.8898746,7.035269,8.725183,8.125927,0.0,0.0,0.88030666
39,1984,37808.0,346,16322,21140,35252.0,306,15278,19668,240,16,115,109,1011,6045,3344,40.0,1600,7.7,0,0,13,0,0,1,0,0,0,0,0,0,0,0,10.540276,5.846439,0.9151502,6.6666665,5.480639,2.7725887,10.470278,5.723585,0.86803585,6.9186954,8.706986,8.114923,0.0,0.0,0.9016372
40,1984,39706.0,375,17515,21816,37149.0,336,16485,20328,308,11,132,165,1154,6252,3707,41.0,1681,7.2,0,0,12,0,0,0,1,0,0,0,0,0,0,0,10.589257,5.926926,0.9444417,3.5714285,5.7300997,2.3978953,10.522692,5.817111,0.9044658,7.0509896,8.740657,8.2179785,0.0,0.0,0.9151502
41,1984,38857.0,390,17058,21409,36063.0,339,15866,19858,371,13,180,178,1177,5936,3645,42.0,1764,7.4,0,0,14,0,0,0,0,1,0,0,0,0,0,0,10.567643,5.966147,1.0036802,3.504043,5.916202,2.5649493,10.493023,5.826,0.94002163,7.070724,8.68879,8.201112,0.0,0.0,0.9444417
42,1984,40083.0,421,17317,22345,37282.0,380,16090,20812,360,16,159,185,1162,6088,3847,43.0,1849,8.4,0,0,13,0,0,0,0,0,1,0,0,0,0,0,10.598707,6.042633,1.0503205,4.4444447,5.886104,2.7725887,10.526266,5.9401712,1.0192586,7.057898,8.714075,8.255049,0.0,0.0,1.0036802
43,1984,41797.0,407,18135,23255,38694.0,366,16848,21480,403,15,192,196,1314,6680,3986,44.0,1936,7.5,0,0,13,0,0,0,0,0,0,1,0,0,0,0,10.64058,6.0088134,0.9737541,3.7220843,5.9989367,2.7080503,10.563439,5.902633,0.9458831,7.1808314,8.806873,8.290544,0.0,0.0,1.0503205
44,1984,42034.0,434,18218,23382,39147.0,398,16981,21768,328,13,140,175,1187,6699,3912,45.0,2025,7.5,0,0,14,0,0,0,0,0,0,0,1,0,0,0,10.6462345,6.0730443,1.0324975,3.9634147,5.7930136,2.5649493,10.575079,5.986452,1.0166807,7.0791845,8.809713,8.271804,0.0,0.0,0.9737541
45,1984,43836.0,396,18630,24810,40868.0,343,17387,23138,296,14,125,157,1393,6767,3914,46.0,2116,7.0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,10.6882105,5.9814143,0.90336704,4.7297297,5.6903596,2.6390574,10.618103,5.8377304,0.83928746,7.239215,8.819813,8.272315,0.0,0.0,1.0324975
46,1984,44638.0,345,18085,26208,41477.0,312,16902,24263,305,5,128,172,1380,6802,4131,47.0,2209,7.1,0,0,13,0,0,0,0,0,0,0,0,0,1,0,10.706341,5.8435445,0.7728841,1.6393442,5.7203116,1.609438,10.6328945,5.7430034,0.75222415,7.229839,8.824972,8.326275,0.0,0.0,0.90336704
47,1984,45369.0,364,18041,26964,42303.0,320,16812,25171,305,14,112,179,1237,6739,3959,48.0,2304,6.9,0,0,14,0,0,0,0,0,0,0,0,0,0,1,10.722585,5.897154,0.80230993,4.5901637,5.7203116,2.6390574,10.652614,5.768321,0.75644755,7.1204443,8.815667,8.283747,0.0,0.0,0.7728841
48,1985,38642.0,318,15467,22857,36041.0,271,14469,21301,223,15,100,108,1107,5977,3403,49.0,2401,8.0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10.562095,5.7620516,0.8229388,6.7264576,5.4071717,2.7080503,10.492413,5.602119,0.7519214,7.009409,8.695674,8.132413,0.0,0.0,0.80230993
49,1985,38616.0,323,15787,22506,35903.0,291,14703,20909,236,6,98,132,1052,5879,3375,50.0,2500,7.4,0,0,12,1,0,0,0,0,0,0,0,0,0,0,10.561422,5.7776523,0.8364408,2.542373,5.463832,1.7917595,10.488576,5.673323,0.81051725,6.9584484,8.679142,8.12415,0.0,0.0,0.8229388
50,1985,44493.0,364,18370,25759,41424.0,333,17162,23929,234,9,106,119,1224,6782,3985,51.0,2601,7.3,0,0,15,0,1,0,0,0,0,0,0,0,0,0,10.703087,5.897154,0.81810623,3.8461537,5.4553213,2.1972246,10.631616,5.8081427,0.8038818,7.1098795,8.822027,8.290293,0.0,0.0,0.8364408
51,1985,41134.0,365,17458,23311,38385.0,330,16357,21698,269,9,115,145,1148,6485,3500,52.0,2704,7.3,0,0,12,0,0,1,0,0,0,0,0,0,0,0,10.62459,5.8998976,0.8873438,3.3457248,5.5947113,2.1972246,10.555422,5.799093,0.8597108,7.0457764,8.777247,8.160519,0.0,0.0,0.81810623
52,1985,42369.0,367,18072,23930,39536.0,328,16921,22287,311,12,140,159,1150,6718,3581,53.0,2809,6.6,0,0,13,0,0,0,1,0,0,0,0,0,0,0,10.654172,5.9053617,0.8661994,3.858521,5.739793,2.4849067,10.584967,5.7930136,0.82962364,7.0475173,8.812546,8.183397,0.0,0.0,0.8873438
53,1985,42430.0,402,18390,23638,39546.0,359,17164,22023,334,14,185,135,1190,6671,3624,54.0,2916,7.6,0,0,14,0,0,0,0,1,0,0,0,0,0,0,10.655611,5.996452,0.9474428,4.1916165,5.811141,2.6390574,10.585219,5.8833222,0.9078036,7.0817084,8.805525,8.1953335,0.0,0.0,0.8661994
54,1985,41219.0,380,17692,23147,38154.0,343,16433,21378,366,15,162,189,1158,6434,3702,55.0,3025,7.7,0,0,12,0,0,0,0,0,1,0,0,0,0,0,10.626655,5.9401712,0.9219049,4.0983605,5.902633,2.7080503,10.549386,5.8377304,0.8989883,7.0544496,8.769352,8.216628,0.0,0.0,0.9474428
55,1985,43359.0,401,18748,24210,40024.0,358,17375,22291,309,13,135,161,1238,6641,3863,56.0,3136,7.3,0,0,14,0,0,0,0,0,0,1,0,0,0,0,10.67727,5.9939613,0.9248369,4.20712,5.733341,2.5649493,10.597235,5.880533,0.8944633,7.1212525,8.801018,8.259199,0.0,0.0,0.9219049
56,1985,41422.0,344,17826,23252,38346.0,312,16577,21457,284,10,126,148,1224,6409,3523,57.0,3249,7.0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,10.631567,5.8406415,0.8304765,3.5211267,5.6489744,2.3025851,10.554405,5.7430034,0.8136442,7.1098795,8.765458,8.1670685,0.0,0.0,0.9248369
57,1985,43961.0,381,18634,24946,40878.0,353,17437,23088,225,8,97,120,1335,6521,3741,58.0,3364,7.2,0,0,12,0,0,0,0,0,0,0,0,1,0,0,10.691058,5.9427996,0.8666772,3.5555556,5.4161005,2.0794415,10.618347,5.866468,0.8635452,7.1966867,8.782783,8.227108,0.0,0.0,0.8304765
58,1985,45906.0,335,18531,27040,42219.0,306,17096,24817,277,5,124,148,1418,6588,3893,59.0,3481,6.6,0,0,14,0,0,0,0,0,0,0,0,0,1,0,10.734351,5.8141303,0.7297521,1.8050542,5.6240177,1.609438,10.650625,5.723585,0.7247922,7.257003,8.793005,8.266935,0.0,0.0,0.8666772
59,1985,44165.0,346,17715,26104,40993.0,303,16494,24196,287,8,123,156,1291,6842,3802,60.0,3600,6.3,0,0,13,0,0,0,0,0,0,0,0,0,0,1,10.695688,5.846439,0.78342575,2.7874565,5.659482,2.0794415,10.621157,5.7137327,0.7391506,7.1631722,8.830835,8.243282,0.0,0.0,0.7297521
60,1986,43522.0,339,16895,26288,39900.0,305,15577,24018,246,8,102,136,1060,6398,3258,61.0,3721,6.6,0,1,13,0,0,0,0,0,0,0,0,0,0,0,10.681022,5.826,0.7789164,3.2520325,5.5053315,2.0794415,10.594131,5.7203116,0.76441103,6.9660244,8.763741,8.088869,0.0,61.0,0.78342575
61,1986,42104.0,302,16584,25218,38728.0,275,15369,23084,239,6,104,129,1043,6292,3183,62.0,3844,7.7,0,1,12,1,0,0,0,0,0,0,0,0,0,0,10.647898,5.710427,0.71727157,2.5104601,5.4764633,1.7917595,10.564318,5.616771,0.71008056,6.9498563,8.747034,8.065579,0.0,62.0,0.7789164
62,1986,47128.0,338,18901,27889,43180.0,301,17456,25423,357,14,154,189,1140,6915,3671,63.0,3969,7.1,0,1,14,0,1,0,0,0,0,0,0,0,0,0,10.760623,5.8230457,0.71719575,3.9215686,5.8777356,2.6390574,10.673133,5.7071104,0.697082,7.0387836,8.841448,8.20822,0.0,63.0,0.71727157
63,1986,44892.0,315,18623,25954,41389.0,284,17303,23802,296,10,131,155,1129,6774,3343,64.0,4096,6.7,0,1,12,0,0,1,0,0,0,0,0,0,0,0,10.712015,5.7525725,0.70168406,3.3783784,5.6903596,2.3025851,10.630771,5.6489744,0.68617266,7.0290875,8.820847,8.114624,0.0,64.0,0.71719575
64,1986,46833.0,388,19533,26912,43169.0,345,18098,24726,320,17,146,157,1176,7359,3512,65.0,4225,6.1,0,1,14,0,0,0,1,0,0,0,0,0,0,0,10.754343,5.961005,0.8284757,5.3125,5.768321,2.8332133,10.672878,5.8435445,0.7991846,7.0698743,8.903679,8.163941,0.0,65.0,0.70168406
65,1986,46349.0,405,19619,26325,42639.0,364,18179,24096,350,13,159,178,1142,7192,3564,66.0,4356,6.5,0,1,13,0,0,0,0,1,0,0,0,0,0,0,10.743955,6.003887,0.8738053,3.7142856,5.857933,2.5649493,10.660524,5.897154,0.8536786,7.0405364,8.880725,8.178638,0.0,66.0,0.8284757
66,1986,48098.0,407,20463,27228,44050.0,363,18947,24740,379,10,178,191,1254,7349,3925,67.0,4489,7.5,0,1,12,0,0,0,0,0,1,0,0,0,0,0,10.780996,6.0088134,0.8461891,2.6385224,5.9375362,2.3025851,10.693081,5.894403,0.82406354,7.1340938,8.90232,8.275122,0.0,67.0,0.8738053
67,1986,49329.0,467,20847,28015,45151.0,411,19260,25480,472,19,205,248,1387,7787,4102,68.0,4624,6.7,0,1,15,0,0,0,0,0,0,1,0,0,0,0,10.806268,6.1463294,0.94670475,4.0254235,6.156979,2.944439,10.717768,6.0185933,0.91027886,7.2348986,8.960211,8.31923,0.0,68.0,0.8461891
68,1986,48899.0,441,20166,28292,44818.0,400,18666,25752,375,15,161,199,1271,7474,3854,69.0,4761,6.2,0,1,12,0,0,0,0,0,0,0,1,0,0,0,10.797512,6.089045,0.901859,4.0,5.926926,2.7080503,10.710365,5.9914646,0.89249855,7.147559,8.919186,8.256866,0.0,69.0,0.94670475
69,1986,49025.0,459,20538,28028,44959.0,409,19044,25506,324,13,128,183,1251,7407,3690,70.0,4900,6.2,0,1,13,0,0,0,0,0,0,0,0,1,0,0,10.800086,6.1290503,0.936257,4.012346,5.7807436,2.5649493,10.713507,6.0137153,0.90971774,7.1316986,8.910181,8.213382,0.0,70.0,0.901859
70,1986,46975.0,396,19498,27081,42977.0,354,18041,24582,335,11,156,168,1267,7017,3543,71.0,5041,6.5,0,1,14,0,0,0,0,0,0,0,0,0,1,0,10.757371,5.9814143,0.8430016,3.283582,5.8141303,2.3978953,10.668421,5.869297,0.8236964,7.1444073,8.8560915,8.1727295,0.0,71.0,0.936257
71,1986,50266.0,368,19838,30060,46066.0,324,18323,27419,331,16,143,172,1232,7572,3787,72.0,5184,6.3,0,1,12,0,0,0,0,0,0,0,0,0,0,1,10.825084,5.908083,0.7321052,4.833837,5.8021183,2.7725887,10.73783,5.7807436,0.7033387,7.116394,8.932213,8.239329,0.0,72.0,0.8430016
72,1987,45158.0,355,17992,26811,41358.0,310,16570,24478,286,9,121,156,1239,6832,3463,73.0,5329,6.9,0,1,14,0,0,0,0,0,0,0,0,0,0,0,10.717923,5.872118,0.78612876,3.1468532,5.655992,2.1972246,10.630021,5.7365723,0.74955267,7.12206,8.829372,8.149891,0.0,73.0,0.7321052
73,1987,44303.0,326,17889,26088,40492.0,288,16455,23749,311,6,137,168,1200,6353,3340,74.0,5476,6.7,0,1,12,1,0,0,0,0,0,0,0,0,0,0,10.698808,5.786897,0.7358418,1.9292605,5.739793,1.7917595,10.60886,5.6629605,0.7112516,7.090077,8.756682,8.113726,0.0,74.0,0.78612876
74,1987,47529.0,368,19357,27804,43532.0,315,17861,25356,313,18,123,172,1235,7077,3711,75.0,5625,6.3,0,1,13,0,1,0,0,0,0,0,0,0,0,0,10.769095,5.908083,0.77426416,5.7507987,5.7462034,2.8903718,10.681252,5.7525725,0.72360563,7.1188264,8.864605,8.219057,0.0,75.0,0.7358418
75,1987,45364.0,398,19275,25691,41688.0,356,17926,23406,323,15,141,167,1133,7025,3503,76.0,5776,5.8,0,1,12,0,0,1,0,0,0,0,0,0,0,0,10.722474,5.986452,0.8773477,4.643963,5.7776523,2.7080503,10.637969,5.874931,0.8539628,7.0326242,8.85723,8.161375,0.0,76.0,0.77426416
76,1987,47072.0,421,20406,26245,43381.0,368,18967,24046,375,18,174,183,1248,7306,3704,77.0,5929,5.6,1,1,15,0,0,0,1,0,0,0,0,0,0,0,10.759434,6.042633,0.8943746,4.8,5.926926,2.8903718,10.677777,5.908083,0.84829766,7.1292977,8.896451,8.217169,77.0,77.0,0.8773477
77,1987,47090.0,404,20239,26447,42979.0,352,18659,23968,418,18,203,197,1299,7353,3780,78.0,6084,5.4,1,1,12,0,0,0,0,1,0,0,0,0,0,0,10.759816,6.001415,0.8579317,4.30622,6.0354815,2.8903718,10.668467,5.8636312,0.81900465,7.16935,8.9028635,8.237479,78.0,78.0,0.8943746
78,1987,48880.0,430,20840,27610,44645.0,369,19283,24993,431,13,197,221,1426,7384,4073,79.0,6241,6.0,1,1,13,0,0,0,0,0,1,0,0,0,0,0,10.797124,6.063785,0.8797054,3.0162413,6.066108,2.5649493,10.706497,5.9107966,0.8265203,7.2626286,8.907071,8.312135,79.0,79.0,0.8579317
79,1987,48357.0,500,20443,27414,44119.0,434,18845,24840,428,23,198,207,1376,7340,4226,80.0,6400,5.4,1,1,14,0,0,0,0,0,0,1,0,0,0,0,10.786366,6.214608,1.0339764,5.3738317,6.059123,3.1354942,10.694646,6.0730443,0.9837032,7.226936,8.901094,8.349011,80.0,80.0,0.8797054
80,1987,46768.0,467,19611,26690,42662.0,410,18068,24184,412,19,178,215,1290,7214,3632,81.0,6561,5.5,1,1,12,0,0,0,0,0,0,0,1,0,0,0,10.7529545,6.1463294,0.998546,4.6116505,6.0210233,2.944439,10.661064,6.016157,0.96104264,7.1623974,8.883779,8.197538,81.0,81.0,1.0339764
