,month,uclms,ez,year,y81,y82,y83,y84,y85,y86,y87,y88,luclms,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
86,MAR,5303.0,1,1987,0,0,0,0,0,0,1,0,8.576028,0,0,1,0,0,0,0,0,0,0,0,0
87,APR,3561.0,1,1987,0,0,0,0,0,0,1,0,8.177796,0,0,0,1,0,0,0,0,0,0,0,0
88,MAY,3052.0,1,1987,0,0,0,0,0,0,1,0,8.023552,0,0,0,0,1,0,0,0,0,0,0,0
89,JUNE,3282.0,1,1987,0,0,0,0,0,0,1,0,8.096209,0,0,0,0,0,1,0,0,0,0,0,0
90,JULY,3743.0,1,1987,0,0,0,0,0,0,1,0,8.227643,0,0,0,0,0,0,1,0,0,0,0,0
91,AUG,6782.0,1,1987,0,0,0,0,0,0,1,0,8.822027,0,0,0,0,0,0,0,1,0,0,0,0
92,SEPT,2381.0,1,1987,0,0,0,0,0,0,1,0,7.7752757,0,0,0,0,0,0,0,0,1,0,0,0
93,OCT,2090.0,1,1987,0,0,0,0,0,0,1,0,7.6449194,0,0,0,0,0,0,0,0,0,1,0,0
94,NOV,2301.0,1,1987,0,0,0,0,0,0,1,0,7.741099,0,0,0,0,0,0,0,0,0,0,1,0
95,DEC,3551.0,1,1987,0,0,0,0,0,0,1,0,8.174985,0,0,0,0,0,0,0,0,0,0,0,1
96,JAN,5143.0,1,1988,0,0,0,0,0,0,0,1,8.545392,1,0,0,0,0,0,0,0,0,0,0,0
97,FEB,5966.0,1,1988,0,0,0,0,0,0,0,1,8.693832,0,1,0,0,0,0,0,0,0,0,0,0
98,MAR,5155.0,1,1988,0,0,0,0,0,0,0,1,8.547723,0,0,1,0,0,0,0,0,0,0,0,0
99,APR,2664.0,1,1988,0,0,0,0,0,0,0,1,7.887584,0,0,0,1,0,0,0,0,0,0,0,0
100,MAY,2251.0,1,1988,0,0,0,0,0,0,0,1,7.71913,0,0,0,0,1,0,0,0,0,0,0,0
101,JUNE,2484.0,1,1988,0,0,0,0,0,0,0,1,7.8176255,0,0,0,0,0,1,0,0,0,0,0,0
102,JULY,3430.0,1,1988,0,0,0,0,0,0,0,1,8.140316,0,0,0,0,0,0,1,0,0,0,0,0
103,AUG,5156.0,1,1988,0,0,0,0,0,0,0,1,8.547916,0,0,0,0,0,0,0,1,0,0,0,0
104,SEPT,1993.0,1,1988,0,0,0,0,0,0,0,1,7.5973964,0,0,0,0,0,0,0,0,1,0,0,0
105,OCT,1729.0,1,1988,0,0,0,0,0,0,0,1,7.4552984,0,0,0,0,0,0,0,0,0,1,0,0
106,NOV,1982.0,1,1988,0,0,0,0,0,0,0,1,7.5918617,0,0,0,0,0,0,0,0,0,0,1,0
107,DEC,,1,1988,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,1
