,r3,r6,r12,p3,p6,hy6,hy3,spr63,hy3_1,hy6_1,spr63_1,hy6hy3_1,cr3,r3_1,chy6,chy3,chy6_1,chy3_1,cr6,cr6_1,cr3_1,r6_1,cspr63
37,5.8,5.87,5.9,9857.458,9715.628,1.1796497,1.4460274,0.069999695,1.2789863,1.4548501,0.17000008,-0.099336624,0.6700001,5.13,-0.27520037,0.16704106,0.28532588,0.019945145,0.5699997,-0.21999979,0.07999992,5.3,-0.10000038
38,5.32,5.32,5.34,9869.101,9741.584,1.5796473,1.3263562,0.0,1.4460274,1.1796497,0.069999695,0.1336199,-0.48000002,5.8,0.3999976,-0.119671226,-0.27520037,0.16704106,-0.5499997,0.5699997,0.6700001,5.87,-0.069999695
39,5.64,5.63,5.61,9861.336,9726.937,1.2292863,1.406137,-0.009999752,1.3263562,1.5796473,0.0,-0.09706986,0.3199997,5.32,-0.350361,0.07978082,0.3999976,-0.119671226,0.30999994,-0.5499997,-0.48000002,5.32,-0.009999752
40,6.34,6.37,6.37,9844.394,9692.15,1.207544,1.5806576,0.029999733,1.406137,1.2292863,-0.009999752,-0.19859302,0.7000003,5.64,-0.021742344,0.17452061,-0.350361,0.07978082,0.7399998,0.30999994,0.3199997,5.63,0.039999485
41,6.22,6.53,6.59,9847.294,9684.662,1.6007135,1.5507396,0.31000042,1.5806576,1.207544,0.029999733,0.02005589,-0.12000036,6.34,0.39316952,-0.029917955,-0.021742344,0.17452061,0.16000032,0.7399998,0.7000003,6.37,0.2800007
42,7.07,7.37,7.6,9826.787,9645.536,1.4675267,1.7626575,0.2999997,1.5507396,1.6007135,0.31000042,-0.08321297,0.8500004,6.22,-0.13318682,0.21191788,0.39316952,-0.029917955,0.8399997,0.16000032,-0.12000036,6.53,-0.010000706
43,7.7,7.97,7.9,9811.644,9617.781,1.7221171,1.919726,0.26999998,1.7626575,1.4675267,0.2999997,-0.040540457,0.62999964,7.07,0.2545904,0.15706849,-0.13318682,0.21191788,0.5999999,0.8399997,0.8500004,7.37,-0.029999733
44,7.02,7.05,7.05,9827.991,9660.403,2.185639,1.7501918,0.03000021,1.919726,1.7221171,0.26999998,0.2659129,-0.6799998,7.7,0.46352184,-0.1695342,0.2545904,0.15706849,-0.9199996,0.5999999,0.62999964,7.97,-0.23999977
45,7.07,7.33,7.56,9826.787,9647.392,1.7223276,1.7626575,0.25999975,1.7501918,2.185639,0.03000021,-0.027864218,0.05000019,7.02,-0.4633113,0.012465715,0.46352184,-0.1695342,0.27999973,-0.9199996,-0.6799998,7.05,0.22999954
46,6.4,6.7,6.86,9842.944,9676.718,2.0270011,1.5956165,0.2999997,1.7626575,1.7223276,0.25999975,0.26434362,-0.6700001,7.07,0.30467355,-0.16704106,-0.4633113,0.012465715,-0.6300001,0.27999973,0.05000019,7.33,0.03999996
47,5.21,5.21,5.2,9871.772,9746.792,2.0157113,1.2989315,0.0,1.5956165,2.0270011,0.2999997,0.42009485,-1.19,6.4,-0.011289835,-0.29668498,0.30467355,-0.16704106,-1.4899998,-0.6300001,-0.6700001,6.7,-0.2999997
48,3.41,3.59,3.76,9915.7,9824.14,1.732962,0.8501644,0.17999983,1.2989315,2.0157113,0.0,0.43403053,-1.8,5.21,-0.2827493,-0.44876707,-0.011289835,-0.29668498,-1.6200001,-1.4899998,-1.19,5.21,0.17999983
49,4.36,4.65,5.07,9892.468,9773.392,0.69551253,1.0870137,0.28999996,0.8501644,1.732962,0.17999983,-0.15465188,0.95000005,3.41,-1.0374495,0.23684931,-0.2827493,-0.44876707,1.0600002,-1.6200001,-1.8,3.59,0.11000013
50,4.35,4.88,5.29,9892.712,9762.449,1.2208691,1.0845206,0.5300002,1.0870137,0.69551253,0.28999996,0.13385534,-0.010000229,4.36,0.52535653,-0.002493143,-1.0374495,0.23684931,0.23000002,1.0600002,0.95000005,4.65,0.24000025
51,4.37,4.52,4.7,9892.224,9779.587,1.3293223,1.0895069,0.1500001,1.0845206,1.2208691,0.5300002,0.24480176,0.01999998,4.35,0.108453274,0.004986286,0.52535653,-0.002493143,-0.36000013,0.23000002,-0.010000229,4.88,-0.3800001
52,3.46,3.8,4.29,9914.475,9814.044,1.3792781,0.8626301,0.3399999,1.0895069,1.3293223,0.1500001,0.2897712,-0.90999985,4.37,0.049955726,-0.22687674,0.108453274,0.004986286,-0.72,-0.36000013,0.01999998,4.52,0.18999982
53,3.82,4.2,4.55,9905.66,9794.871,0.9335215,0.9523835,0.37999988,0.8626301,1.3792781,0.3399999,0.07089138,0.3599999,3.46,-0.44575655,0.08975339,0.049955726,-0.22687674,0.39999986,-0.72,-0.90999985,3.8,0.03999996
54,4.55,4.88,5.4,9887.834,9762.449,0.94909763,1.1343836,0.32999992,0.9523835,0.9335215,0.37999988,-0.0032858849,0.73000026,3.82,0.015576124,0.18200004,-0.44575655,0.08975339,0.6800003,0.39999986,0.3599999,4.2,-0.049999952
55,4.92,5.29,5.42,9878.823,9743.004,1.1920576,1.2266302,0.3699999,1.1343836,0.94909763,0.32999992,0.05767405,0.3699999,4.55,0.24295998,0.09224665,0.015576124,0.18200004,0.40999985,0.6800003,0.73000026,4.88,0.03999996
56,5.92,6.05,6.4,9854.552,9707.163,1.1449021,1.4759452,0.13000011,1.2266302,1.1920576,0.3699999,-0.0817281,1.0,4.92,-0.0471555,0.24931502,0.24295998,0.09224665,0.7600002,0.40999985,0.3699999,5.29,-0.23999977
57,7.03,7.22,7.1,9827.751,9652.499,1.2422568,1.752685,0.18999958,1.4759452,1.1449021,0.13000011,-0.23368847,1.1100001,5.92,0.09735465,0.27673972,-0.0471555,0.24931502,1.1699996,0.7600002,1.0,6.05,0.059999466
58,8.77,8.98,8.6,9786.029,9571.421,1.3833752,2.1864932,0.20999908,1.752685,1.2422568,0.18999958,-0.36930978,1.7400002,7.03,0.1411184,0.4338082,0.09735465,0.27673972,1.7599998,1.1699996,1.1100001,7.22,0.019999504
59,7.43,8.11,7.65,9818.128,9611.328,2.5775383,1.8524109,0.6799998,2.1864932,1.3833752,0.20999908,0.3910451,-1.3400006,8.77,1.1941631,-0.33408225,0.1411184,0.4338082,-0.8699999,1.7599998,1.7400002,8.98,0.47000074
60,7.59,7.62,7.15,9814.284,9633.952,2.1116338,1.8923014,0.029999733,1.8524109,2.5775383,0.6799998,0.25922287,0.16000032,7.43,-0.46590447,0.039890528,1.1941631,-0.33408225,-0.48999977,-0.8699999,-1.3400006,8.11,-0.6500001
61,8.27,8.69,8.92,9797.981,9584.687,1.7026169,2.0618358,0.41999912,1.8923014,2.1116338,0.029999733,-0.18968451,0.6800003,7.59,-0.40901685,0.16953433,-0.46590447,0.039890528,1.0699997,-0.48999977,0.16000032,7.62,0.3899994
62,9.33,9.92,10.07,9772.677,9528.673,1.9613603,2.3261096,0.59000015,2.0618358,1.7026169,0.41999912,-0.10047543,1.0599995,8.27,0.2587434,0.26427388,-0.40901685,0.16953433,1.2300005,1.0699997,0.6800003,8.69,0.17000103
63,7.6,7.74,7.34,9814.044,9628.401,2.994867,1.8947945,0.13999987,2.3261096,1.9613603,0.59000015,0.66875744,-1.73,9.33,1.0335068,-0.43131518,0.2587434,0.26427388,-2.1800003,1.2300005,1.0599995,9.92,-0.4500003
64,5.46,5.75,5.86,9865.702,9721.279,2.4645917,1.3612603,0.28999996,1.8947945,2.994867,0.13999987,0.5697973,-2.1399999,7.6,-0.53027534,-0.53353417,1.0335068,-0.43131518,-1.9899998,-2.1800003,-1.73,7.74,0.1500001
65,5.26,5.6,6.04,9870.558,9728.353,1.5355831,1.3113973,0.33999968,1.3612603,2.4645917,0.28999996,0.17432284,-0.19999981,5.46,-0.9290086,-0.04986298,-0.53027534,-0.53353417,-0.1500001,-1.9899998,-2.1399999,5.75,0.049999714
66,6.54,7.19,7.55,9839.563,9653.894,1.1431631,1.6305206,0.6500001,1.3113973,1.5355831,0.33999968,-0.16823423,1.2799997,5.26,-0.39242005,0.31912327,-0.9290086,-0.04986298,1.5900002,-0.1500001,-0.19999981,5.6,0.31000042
67,5.6,6.22,6.52,9862.306,9699.182,2.15884,1.3961644,0.6199999,1.6305206,1.1431631,0.6500001,0.52831936,-0.94000006,6.54,1.0156769,-0.23435616,-0.39242005,0.31912327,-0.97000027,1.5900002,1.2799997,7.19,-0.03000021
68,5.05,5.65,6.05,9875.661,9725.993,1.8195298,1.2590412,0.5999999,1.3961644,2.15884,0.6199999,0.42336535,-0.5499997,5.6,-0.33931017,-0.13712323,1.0156769,-0.23435616,-0.5699997,-0.97000027,-0.94000006,6.22,-0.01999998
69,5.61,6.13,6.69,9862.063,9703.405,1.3990377,1.3986576,0.52,1.2590412,1.8195298,0.5999999,0.13999653,0.55999994,5.05,-0.42049205,0.13961637,-0.33931017,-0.13712323,0.48000002,-0.5699997,-0.5499997,5.65,-0.07999992
70,5.2,5.54,5.85,9872.016,9731.185,1.737641,1.2964383,0.34000015,1.3986576,1.3990377,0.52,0.33898342,-0.41000032,5.61,0.33860326,-0.102219224,-0.42049205,0.13961637,-0.59000015,0.48000002,0.55999994,6.13,-0.17999983
71,4.51,4.71,4.91,9888.81,9770.534,1.6197926,1.124411,0.19999981,1.2964383,1.737641,0.34000015,0.32335424,-0.6899996,5.2,-0.1178484,-0.17202735,0.33860326,-0.102219224,-0.8299999,-0.59000015,-0.41000032,5.54,-0.14000034
72,4.8,5.1,5.52,9881.744,9752.005,1.1382178,1.1967124,0.2999997,1.124411,1.6197926,0.19999981,0.01380682,0.28999996,4.51,-0.48157477,0.07230139,-0.1178484,-0.17202735,0.38999987,-0.8299999,-0.6899996,4.71,0.099999905
73,5.13,5.42,5.71,9873.717,9736.8545,1.2480707,1.2789863,0.28999996,1.1967124,1.1382178,0.2999997,0.051358342,0.32999992,4.8,0.10985291,0.08227396,-0.48157477,0.07230139,0.32000017,0.38999987,0.28999996,5.1,-0.009999752
74,5.7,6.1,6.33,9859.882,9704.814,1.2635225,1.4210958,0.4000001,1.2789863,1.2480707,0.28999996,-0.015463829,0.5699997,5.13,0.015451789,0.14210951,0.10985291,0.08227396,0.6799998,0.32000017,0.32999992,5.42,0.11000013
75,6.2,6.65,6.9,9847.777,9679.053,1.4731131,1.5457534,0.4500003,1.4210958,1.2635225,0.4000001,0.052017212,0.5,5.7,0.20959055,0.12465751,0.015451789,0.14210951,0.5500002,0.6799998,0.5699997,6.1,0.05000019
76,6.6,7.02,7.28,9838.116,9661.8,1.6433785,1.6454794,0.42000008,1.5457534,1.4731131,0.4500003,0.09762514,0.4000001,6.2,0.17026544,0.09972608,0.20959055,0.12465751,0.3699999,0.5500002,0.5,6.65,-0.03000021
77,6.83,7.5,7.9,9832.569,9639.509,1.7674712,1.7028219,0.6700001,1.6454794,1.6433785,0.42000008,0.12199175,0.23000002,6.6,0.1240927,0.05734241,0.17026544,0.09972608,0.48000002,0.3699999,0.4000001,7.02,0.25
78,7.77,8.08,8.46,9809.964,9612.711,1.7682964,1.9371781,0.30999994,1.7028219,1.7674712,0.6700001,0.06547451,0.94000006,6.83,0.0008251667,0.23435628,0.1240927,0.05734241,0.5799999,0.48000002,0.23000002,7.5,-0.36000013
79,9.31,9.82,10.07,9773.153,9533.202,1.6690649,2.3211234,0.5099993,1.9371781,1.7682964,0.30999994,-0.26811326,1.5400004,7.77,-0.09923148,0.38394523,0.0008251667,0.23435628,1.7399998,0.5799999,0.94000006,8.08,0.19999933
80,9.79,10.09,10.35,9761.736,9520.982,2.3972447,2.4407945,0.3000002,2.3211234,1.6690649,0.5099993,0.07612133,0.47999954,9.31,0.7281798,0.11967111,-0.09923148,0.38394523,0.27000046,1.7399998,1.5400004,9.82,-0.20999908
81,9.89,10.03,9.87,9759.361,9523.695,2.5037217,2.4657261,0.13999939,2.4407945,2.3972447,0.3000002,0.062927246,0.10000038,9.79,0.10647702,0.02493167,0.7281798,0.11967111,-0.06000042,0.27000046,0.47999954,10.09,-0.1600008
82,10.16,10.42,10.35,9752.954,9506.09,2.407246,2.533041,0.26000023,2.4657261,2.5037217,0.13999939,-0.058480024,0.2699995,9.89,-0.0964756,0.06731486,0.10647702,0.02493167,0.39000034,-0.06000042,0.10000038,10.03,0.12000084
83,11.95,12.32,11.98,9710.688,9421.241,2.15229,2.979315,0.3699999,2.533041,2.407246,0.26000023,-0.3807509,1.79,10.16,-0.254956,0.44627404,-0.0964756,0.06731486,1.8999996,0.39000034,0.2699995,10.42,0.10999966
84,14.62,15.17,15.27,9648.32,9296.771,2.4102886,3.6449864,0.5500002,2.979315,2.15229,0.3699999,-0.56902647,2.67,11.95,0.25799847,0.66567135,-0.254956,0.44627404,2.8500004,1.8999996,1.79,12.32,0.1800003
85,7.99,8.43,8.78,9804.6875,9596.611,5.4633594,1.9920273,0.44000053,3.6449864,2.4102886,0.5500002,1.818373,-6.63,14.62,3.0530708,-1.6529591,0.25799847,0.66567135,-6.74,2.8500004,2.67,15.17,-0.10999966
86,10.23,10.91,11.09,9751.294,9484.062,1.6118462,2.550493,0.6800003,1.9920273,5.4633594,0.44000053,-0.38018107,2.2399998,7.99,-3.8515131,0.5584657,3.0530708,-1.6529591,2.4799995,-6.74,-6.63,8.43,0.23999977
87,15.22,15.56,15.04,9634.415,9279.994,1.5853283,3.7945755,0.34000015,2.550493,1.6118462,0.6800003,-0.96516466,4.9900007,10.23,-0.026517868,1.2440825,-3.8515131,0.5584657,4.6500006,2.4799995,2.2399998,10.91,-0.34000015
88,15.11,15.23,14.74,9636.961,9294.187,3.8466275,3.7671506,0.119999886,3.7945755,1.5853283,0.34000015,0.05205202,-0.11000061,15.22,2.2612991,-0.027424812,-0.026517868,1.2440825,-0.33000088,4.6500006,4.9900007,15.56,-0.22000027
89,15.54,14.94,14.46,9627.015,9306.694,3.5810356,3.8743563,-0.6000004,3.7671506,3.8466275,0.119999886,-0.18611503,0.4300003,15.11,-0.26559186,0.10720563,2.2612991,-0.027424812,-0.28999996,-0.33000088,-0.11000061,15.23,-0.72000027
90,16.46,17.35,17.13,9605.804,9203.761,3.2139163,4.103726,0.8900013,3.8743563,3.5810356,-0.6000004,-0.66043997,0.9199991,15.54,-0.3671193,0.22936964,-0.26559186,0.10720563,2.4100008,-0.28999996,0.4300003,14.94,1.4900017
91,10.94,11.79,12.13,9734.491,9444.757,5.7664523,2.7275066,0.8500004,4.103726,3.2139163,0.8900013,1.6627264,-5.5199995,16.46,2.552536,-1.3762193,-0.3671193,0.22936964,-5.5600004,2.4100008,0.9199991,17.35,-0.040000916
92,13.04,14.12,14.29,9685.13,9342.244,2.5450423,3.2510686,1.0799999,2.7275066,5.7664523,0.8500004,-0.18246436,2.1000004,10.94,-3.22141,0.52356195,2.552536,-1.3762193,2.33,-5.5600004,-5.5199995,11.79,0.22999954
93,11.97,12.52,12.93,9710.218,9412.398,3.9388142,2.9843013,0.5500002,3.2510686,2.5450423,1.0799999,0.6877456,-1.0699997,13.04,1.3937719,-0.26676726,-3.22141,0.52356195,-1.5999994,2.33,2.1000004,14.12,-0.52999973
94,8.66,10.2,11.1,9788.656,9516.013,3.9974701,2.1590683,1.54,2.9843013,3.9388142,0.5500002,1.0131688,-3.3100004,11.97,0.058655977,-0.825233,1.3937719,-0.26676726,-2.3200006,-1.5999994,-1.0699997,12.52,0.9899998
95,8.51,9.0,9.31,9792.241,9570.507,2.9027758,2.1216712,0.48999977,2.1590683,3.9974701,1.54,0.7437074,-0.14999962,8.66,-1.0946944,-0.037397146,0.058655977,-0.825233,-1.1999998,-2.3200006,-3.3100004,10.2,-1.0500002
96,8.15,8.38,8.61,9800.8545,9598.907,2.4068491,2.0319178,0.2300005,2.1216712,2.9027758,0.48999977,0.28517795,-0.3600006,8.51,-0.49592662,-0.08975339,-1.0946944,-0.037397146,-0.6199999,-1.1999998,-0.14999962,9.0,-0.25999928
97,8.91,9.23,9.46,9782.6875,9560.014,1.9145958,2.2213972,0.3199997,2.0319178,2.4068491,0.2300005,-0.11732197,0.7600002,8.15,-0.4922533,0.18947935,-0.49592662,-0.08975339,0.8499994,-0.6199999,-0.3600006,8.38,0.0899992
98,9.56,10.1,10.47,9767.203,9520.53,2.1672506,2.3834522,0.53999996,2.2213972,1.9145958,0.3199997,-0.05414653,0.6500006,8.91,0.2526548,0.16205502,-0.4922533,0.18947935,0.87000084,0.8499994,0.7600002,9.23,0.22000027
99,9.17,9.56,9.91,9776.488,9544.999,2.6884847,2.2862191,0.39000034,2.3834522,2.1672506,0.53999996,0.3050325,-0.39000034,9.56,0.52123404,-0.09723306,0.2526548,0.16205502,-0.53999996,0.87000084,0.6500006,10.1,-0.14999962
100,9.47,9.89,10.2,9769.345,9530.031,2.3504004,2.3610137,0.42000008,2.2862191,2.6884847,0.39000034,0.06418133,0.3000002,9.17,-0.33808422,0.07479453,0.52123404,-0.09723306,0.32999992,-0.53999996,-0.39000034,9.56,0.029999733
101,10.08,11.25,12.06,9754.852,9468.837,2.3590722,2.5130959,1.1700001,2.3610137,2.3504004,0.42000008,-0.0019414425,0.60999966,9.47,0.008671761,0.1520822,-0.33808422,0.07479453,1.3599997,0.32999992,0.3000002,9.89,0.75
102,11.01,11.44,11.86,9732.838,9460.351,2.7881036,2.7449589,0.42999935,2.5130959,2.3590722,1.1700001,0.27500772,0.9300003,10.08,0.42903137,0.23186302,0.008671761,0.1520822,0.18999958,1.3599997,0.60999966,11.25,-0.7400007
103,8.68,9.14,9.73,9788.179,9564.117,3.465285,2.1640549,0.46000004,2.7449589,2.7881036,0.42999935,0.7203262,-2.33,11.01,0.6771815,-0.580904,0.42903137,0.23186302,-2.2999992,0.18999958,0.9300003,11.44,0.030000687
104,8.82,9.31,9.69,9784.836,9556.37,2.3077796,2.1989589,0.49000072,2.1640549,3.465285,0.46000004,0.14372468,0.13999939,8.68,-1.1575055,0.034904003,0.6771815,-0.580904,0.17000008,-2.2999992,-2.33,9.14,0.030000687
105,7.3,7.55,7.92,9821.253,9637.192,2.7717931,1.82,0.25,2.1989589,2.3077796,0.49000072,0.57283425,-1.5199995,8.82,0.46401358,-0.37895882,-1.1575055,0.034904003,-1.7600002,0.17000008,0.13999939,9.31,-0.24000072
