,year,apps,top25,ver500,mth500,stufac,bowl,btitle,finfour,lapps,d93,avg500,cfinfour,clapps,cstufac,cbowl,cavg500,cbtitle,lapps_1,school,ctop25,bball,cbball
19,1993,13789,97.0,93.0,98.0,12,0,0,0,9.531627,1,95.5,-1.0,0.10456371,0.0,0.0,-0.5,-1.0,9.427063,duke,0.0,0,-1.0
20,1992,12444,,67.0,94.0,13,1,0,0,9.428994,0,80.5,,,,,,0.0,,florida,,0,
21,1993,12445,85.0,64.0,92.0,12,1,0,0,9.429074,1,78.0,0.0,8.010864e-05,-1.0,0.0,-2.5,0.0,9.428994,florida,,0,0.0
22,1992,12924,,61.0,78.0,19,1,0,0,9.466842,0,69.5,,,,,,0.0,,florida state,,0,
23,1993,11651,,56.0,81.0,19,1,0,0,9.363148,1,68.5,0.0,-0.10369396,0.0,0.0,-1.0,0.0,9.466842,florida state,,0,0.0
24,1992,10116,92.0,87.0,96.0,11,0,1,0,9.221873,0,91.5,,,,,,1.0,,georgetown,,1,
25,1993,11115,92.0,87.0,95.0,7,0,0,0,9.316051,1,91.0,0.0,0.094177246,-4.0,0.0,-0.5,-1.0,9.221873,georgetown,0.0,0,-1.0
26,1992,11913,,45.0,73.0,11,1,0,0,9.3853855,0,59.0,,,,,,0.0,,georgia,,0,
27,1993,11220,79.0,55.0,84.0,16,1,0,0,9.325453,1,69.5,0.0,-0.05993271,5.0,0.0,10.5,0.0,9.3853855,georgia,,0,0.0
28,1992,8286,92.0,81.0,99.0,21,1,0,0,9.022323,0,90.0,,,,,,0.0,,georgia tech,,0,
29,1993,7947,,,,21,0,0,0,8.98055,1,,0.0,-0.041772842,0.0,-1.0,,0.0,9.022323,georgia tech,,0,0.0
30,1992,15269,87.0,64.0,90.0,16,1,0,0,9.63358,0,77.0,,,,,,0.0,,illinois,,0,
31,1993,14939,81.0,,,12,1,0,0,9.611731,1,,0.0,-0.021849632,-4.0,0.0,,0.0,9.63358,illinois,-6.0,0,0.0
32,1992,16151,66.0,36.0,67.0,19,1,0,1,9.689737,0,51.5,,,,,,0.0,,indiana,,1,
33,1993,16587,65.0,38.0,66.0,19,0,1,0,9.716374,1,52.0,-1.0,0.026637077,0.0,-1.0,0.5,1.0,9.689737,indiana,-1.0,1,0.0
34,1992,8870,53.0,,,16,1,0,0,9.09043,0,,,,,,,-1.0,,iowa,,0,
35,1993,9224,52.0,,,16,0,0,0,9.129564,1,,0.0,0.039134026,0.0,-1.0,,0.0,9.09043,iowa,-1.0,0,0.0
36,1992,7799,56.0,35.0,66.0,19,0,0,0,8.961751,0,50.5,,,,,,0.0,,iowa state,,0,
37,1993,8427,59.0,36.0,65.0,19,0,0,0,9.039196,1,50.5,0.0,0.07744503,0.0,0.0,0.0,0.0,8.961751,iowa state,3.0,0,0.0
38,1992,8103,50.0,,,16,0,1,0,8.9999895,0,,,,,,,1.0,,kansas,,1,
39,1993,8103,50.0,,,16,1,1,1,8.9999895,1,,1.0,0.0,0.0,1.0,,0.0,8.9999895,kansas,0.0,1,0.0
40,1992,5679,54.0,,,17,0,0,0,8.64453,0,,,,,,,-1.0,,kansas state,,0,
41,1993,5880,54.0,,,15,0,0,0,8.679312,1,,0.0,0.034781456,-2.0,0.0,,0.0,8.64453,kansas state,0.0,0,0.0
42,1992,6960,,38.0,60.0,16,0,0,0,8.847935,0,49.0,,,,,,0.0,,kentucky,,0,
43,1993,7769,,38.0,60.0,16,0,0,1,8.957897,1,49.0,1.0,0.10996246,0.0,0.0,0.0,0.0,8.847935,kentucky,,1,1.0
44,1992,6707,54.0,,,18,0,0,0,8.810907,0,,,,,,,0.0,,louisiana state,,0,
45,1993,6000,57.0,,,18,0,0,0,8.699514,1,,0.0,-0.111392975,0.0,0.0,,0.0,8.810907,louisiana state,3.0,0,0.0
46,1992,7771,68.0,54.0,76.0,8,1,0,0,8.958154,0,65.0,,,,,,0.0,,miami (fl.),,0,
47,1993,7122,68.0,46.0,72.0,8,1,0,0,8.870944,1,59.0,0.0,-0.0872097,0.0,0.0,-6.0,0.0,8.958154,miami (fl.),0.0,0,0.0
48,1992,18118,92.0,72.0,93.0,7,1,0,1,9.804661,0,82.5,,,,,,0.0,,michigan,,1,
49,1993,19152,92.0,72.0,95.0,12,1,0,1,9.860163,1,83.5,0.0,0.055501938,5.0,0.0,1.0,0.0,9.804661,michigan,0.0,1,0.0
50,1992,18407,,32.0,58.0,10,0,0,0,9.820486,0,45.0,,,,,,0.0,,michigan state,,0,
51,1993,18114,,33.0,61.0,10,0,0,0,9.8044405,1,47.0,0.0,-0.01604557,0.0,0.0,2.0,0.0,9.820486,michigan state,,0,0.0
52,1992,17333,56.0,49.0,75.0,13,0,0,0,9.760367,0,62.0,,,,,,0.0,,minnesota,,0,
53,1993,11054,55.0,45.0,76.0,15,0,0,0,9.310548,1,60.5,0.0,-0.44981956,2.0,0.0,-1.5,0.0,9.760367,minnesota,-1.0,0,0.0
54,1992,3516,48.0,,,23,0,0,0,8.165079,0,,,,,,,0.0,,mississippi,,0,
55,1993,3844,48.0,,,20,1,0,0,8.254269,1,,0.0,0.08918953,-3.0,1.0,,0.0,8.165079,mississippi,0.0,0,0.0
56,1992,4109,,,,17,1,0,0,8.320935,0,,,,,,,0.0,,mississippi state,,0,
57,1993,4255,62.0,,,17,1,0,0,8.35585,1,,0.0,0.03491497,0.0,0.0,,0.0,8.320935,mississippi state,,0,0.0
58,1992,6983,63.0,,,19,0,0,0,8.8512335,0,,,,,,,0.0,,missouri,,0,
59,1993,6574,62.0,,,19,0,0,0,8.790877,1,,0.0,-0.06035614,0.0,0.0,,0.0,8.8512335,missouri,-1.0,0,0.0
60,1992,9318,85.0,47.0,85.0,14,1,0,0,9.139704,0,66.0,,,,,,0.0,,n.c. state,,0,
61,1993,10678,85.0,45.0,84.0,14,1,0,0,9.275941,1,64.5,0.0,0.13623714,0.0,0.0,-1.5,0.0,9.139704,n.c. state,0.0,0,0.0
62,1992,6353,47.0,31.0,55.0,13,1,0,0,8.756682,0,43.0,,,,,,0.0,,nebraska,,0,
63,1993,6277,37.0,36.0,60.0,13,1,0,0,8.744647,1,48.0,0.0,-0.01203537,0.0,0.0,5.0,0.0,8.756682,nebraska,-10.0,0,0.0
64,1992,16580,92.0,64.0,87.0,15,0,0,0,9.715953,0,75.5,,,,,,0.0,,north carolina,,0,
65,1993,15041,96.0,64.0,88.0,15,1,1,1,9.618535,1,76.0,1.0,-0.09741783,0.0,1.0,0.5,1.0,9.715953,north carolina,4.0,1,1.0
66,1992,12631,97.0,87.0,97.0,8,0,0,0,9.44391,0,92.0,,,,,,-1.0,,northwestern,,0,
67,1993,12289,97.0,86.0,95.0,8,0,0,0,9.41646,1,90.5,0.0,-0.027449608,0.0,0.0,-1.5,0.0,9.44391,northwestern,0.0,0,0.0
68,1992,7700,96.0,85.0,96.0,12,1,0,0,8.948976,0,90.5,,,,,,0.0,,notre dame,,0,
69,1993,7700,97.0,87.0,97.0,12,1,0,0,8.948976,1,92.0,0.0,0.0,0.0,0.0,1.5,0.0,8.948976,notre dame,1.0,0,0.0
70,1992,16158,61.0,37.0,63.0,14,1,1,0,9.69017,0,50.0,,,,,,1.0,,ohio state,,1,
71,1993,15076,52.0,36.0,62.0,14,1,0,0,9.620859,1,49.0,0.0,-0.06931114,0.0,0.0,-1.0,-1.0,9.69017,ohio state,-9.0,0,-1.0
72,1992,4859,60.0,,,18,1,0,0,8.488588,0,,,,,,,0.0,,oklahoma,,0,
73,1993,4743,63.0,,,20,0,0,0,8.464425,1,,0.0,-0.024163246,2.0,-1.0,,0.0,8.488588,oklahoma,3.0,0,0.0
74,1992,4892,63.0,,,22,0,0,0,8.495357,0,,,,,,,0.0,,oklahoma state,,0,
75,1993,4102,57.0,,,24,0,0,0,8.31923,1,,0.0,-0.17612648,2.0,0.0,,0.0,8.495357,oklahoma state,-6.0,0,0.0
76,1992,7159,,41.0,62.0,19,0,0,0,8.876125,0,51.5,,,,,,0.0,,oregon,,0,
77,1993,8631,54.0,40.0,65.0,19,1,0,0,9.063116,1,52.5,0.0,0.18699074,0.0,1.0,1.0,0.0,8.876125,oregon,,0,0.0
78,1992,4675,,29.0,59.0,7,0,0,0,8.449985,0,44.0,,,,,,0.0,,oregon state,,0,
79,1993,4675,,29.0,59.0,7,0,0,0,8.449985,1,44.0,0.0,0.0,0.0,0.0,0.0,0.0,8.449985,oregon state,,0,0.0
80,1992,22930,90.0,51.0,83.0,19,1,0,0,10.040201,0,67.0,,,,,,0.0,,penn state,,0,
81,1993,19315,93.0,54.0,86.0,19,1,0,0,9.868637,1,70.0,0.0,-0.1715641,0.0,0.0,3.0,0.0,10.040201,penn state,3.0,0,0.0
82,1992,8622,56.0,,,16,0,0,0,9.062073,0,,,,,,,0.0,,pittsburgh,,0,
83,1993,8707,59.0,40.0,68.0,14,0,0,0,9.071882,1,54.0,0.0,0.009809494,-2.0,0.0,,0.0,9.062073,pittsburgh,3.0,0,0.0
84,1992,5106,56.0,44.0,74.0,14,0,0,0,8.538172,0,59.0,,,,,,0.0,,providence,,0,
85,1993,5138,55.0,46.0,75.0,14,0,0,0,8.544419,1,60.5,0.0,0.0062475204,0.0,0.0,1.5,0.0,8.538172,providence,-1.0,0,0.0
86,1992,21764,73.0,31.0,68.0,18,0,0,0,9.988012,0,49.5,,,,,,0.0,,purdue,,0,
87,1993,21804,41.0,31.0,69.0,17,0,0,0,9.989849,1,50.0,0.0,0.0018367767,-1.0,0.0,0.5,0.0,9.988012,purdue,-32.0,0,0.0
88,1992,4645,44.0,22.0,50.0,17,0,1,0,8.443546,0,36.0,,,,,,1.0,,seton hall,,1,
89,1993,4697,36.0,24.0,48.0,17,0,1,0,8.4546795,1,36.0,0.0,0.011133194,0.0,0.0,0.0,0.0,8.443546,seton hall,-8.0,1,0.0
90,1992,7321,64.0,27.0,50.0,16,0,0,0,8.898502,0,38.5,,,,,,-1.0,,south carolina,,0,
91,1993,7693,66.0,35.0,60.0,16,0,0,0,8.948066,1,47.5,0.0,0.049563408,0.0,0.0,9.0,0.0,8.898502,south carolina,2.0,0,0.0
92,1992,13362,74.0,,,13,0,0,0,9.50017,0,,,,,,,0.0,,southern cal,,0,
93,1993,12229,71.0,,,14,1,0,0,9.411566,1,,0.0,-0.08860397,1.0,1.0,,0.0,9.50017,southern cal,-3.0,0,0.0
94,1992,7653,,,,20,0,1,0,8.942853,0,,,,,,,1.0,,st. johns,,1,
95,1993,7775,,23.0,53.0,20,0,0,0,8.958669,1,38.0,0.0,0.015815735,0.0,0.0,,-1.0,8.942853,st. johns,,0,-1.0
96,1992,13206,,94.0,97.0,10,1,0,0,9.488426,0,95.5,,,,,,0.0,,stanford,,0,
97,1993,13608,,94.0,99.0,10,1,0,0,9.518414,1,96.5,0.0,0.029987335,0.0,0.0,1.0,0.0,9.488426,stanford,,0,0.0
98,1992,10441,67.0,68.0,87.0,10,1,0,0,9.253495,0,77.5,,,,,,0.0,,syracuse,,0,
99,1993,10447,67.0,68.0,87.0,11,1,0,0,9.25407,1,77.5,0.0,0.0005750656,1.0,0.0,0.0,0.0,9.253495,syracuse,0.0,0,0.0
100,1992,7583,53.0,37.0,39.0,17,1,0,0,8.933664,0,38.0,,,,,,0.0,,tennessee,,0,
101,1993,7473,53.0,37.0,62.0,17,1,0,0,8.919052,1,49.5,0.0,-0.014612198,0.0,0.0,11.5,0.0,8.933664,tennessee,0.0,0,0.0
102,1992,23342,,64.0,89.0,17,1,1,0,10.058009,0,76.5,,,,,,1.0,,ucla,,1,
103,1993,22165,,62.0,88.0,17,0,0,0,10.006269,1,75.0,0.0,-0.051739693,0.0,-1.0,-1.5,-1.0,10.058009,ucla,,0,-1.0
104,1992,7553,82.0,88.0,98.0,8,0,0,0,8.9297,0,93.0,,,,,,0.0,,vanderbilt,,0,
105,1993,7791,92.0,80.0,96.0,8,0,1,0,8.960725,1,88.0,0.0,0.031024933,0.0,0.0,-5.0,1.0,8.9297,vanderbilt,10.0,1,1.0
106,1992,6611,69.0,70.0,92.0,12,0,0,0,8.796491,0,81.0,,,,,,-1.0,,villanova,,0,
107,1993,7759,67.0,64.0,92.0,12,0,0,0,8.956609,1,78.0,0.0,0.1601181,0.0,0.0,-3.0,0.0,8.796491,villanova,-2.0,0,0.0
108,1992,15087,95.0,84.0,95.0,11,1,0,0,9.621589,0,89.5,,,,,,0.0,,virginia,,0,
109,1993,15849,95.0,83.0,95.0,11,0,0,0,9.670861,1,89.0,0.0,0.049272537,0.0,-1.0,-0.5,0.0,9.621589,virginia,0.0,0,0.0
110,1992,5557,92.0,82.0,96.0,13,0,0,0,8.622813,0,89.0,,,,,,0.0,,wake forest,,0,
111,1993,5661,,83.0,95.0,13,1,0,0,8.6413555,1,89.0,0.0,0.01854229,0.0,1.0,0.0,0.0,8.622813,wake forest,,0,0.0
112,1992,12516,91.0,40.0,75.0,9,1,0,0,9.434763,0,57.5,,,,,,0.0,,washington,,0,
113,1993,12749,80.0,42.0,75.0,9,1,0,0,9.453208,1,58.5,0.0,0.018445015,0.0,0.0,1.0,0.0,9.434763,washington,-11.0,0,0.0
114,1992,5727,,20.0,44.0,16,0,0,0,8.652947,0,32.0,,,,,,0.0,,washington state,,0,
115,1993,6540,,23.0,50.0,17,1,0,0,8.785692,1,36.5,0.0,0.13274479,1.0,1.0,4.5,0.0,8.652947,washington state,,0,0.0
116,1992,15286,72.0,57.0,88.0,12,0,0,0,9.634692,0,72.5,,,,,,0.0,,wisconsin,,0,
117,1993,15398,83.0,57.0,86.0,12,0,0,0,9.641993,1,71.5,0.0,0.007300377,0.0,0.0,-1.0,0.0,9.634692,wisconsin,11.0,0,0.0
