,state,district,democ,vote90,vote88,inexp90,chexp90,inexp88,chexp88,prtystr,rptchall,tenure,lawyer,linexp90,lchexp90,linexp88,lchexp88,incshr90,incshr88,cvote,clinexp,clchexp,cincshr,win88,win90,cwin
29,CA,34,1,61,63,217810.0,75123.0,227098.0,149886.0,50,0,8.0,0.0,12.291378,11.226882,12.333137,11.91763,74.35489,60.240753,-2,-0.041758537,-0.6907482,14.114136,1,1,0
30,CA,36,1,53,54,822686.0,538156.0,532897.0,218696.0,47,0,18.0,0.0,13.62033,13.195904,13.186084,12.295438,60.45419,70.902336,-1,0.43424606,0.90046597,-10.448147,1,1,0
31,CA,37,0,50,64,602444.0,624560.0,122839.0,13558.0,68,0,8.0,0.0,13.30875,13.344803,11.71863,9.514732,49.09878,90.0599,-14,1.5901203,3.8300705,-40.961117,1,1,0
32,CA,40,0,68,67,682365.0,36124.0,1110126.0,47746.0,68,0,2.0,1.0,13.43332,10.494713,13.919984,10.77365,94.97223,95.8764,1,-0.48666382,-0.27893734,-0.9041748,1,1,0
33,CA,42,0,59,64,398963.0,28350.0,494487.0,11889.0,65,1,2.0,0.0,12.896624,10.252382,13.111276,9.3833685,93.36552,97.65214,-5,-0.21465206,0.8690138,-4.286621,1,1,0
34,CO,1,1,64,70,521500.0,161266.0,217503.0,26040.0,61,0,18.0,1.0,13.164465,11.99081,12.289968,10.167389,76.380486,89.307846,-6,0.8744974,1.8234215,-12.927361,1,1,0
35,CO,2,1,61,63,396017.0,49080.0,721647.0,85095.0,50,0,4.0,1.0,12.889213,10.801207,13.489291,11.351523,88.97319,89.45202,-2,-0.6000786,-0.5503168,-0.47882843,1,1,0
36,CO,3,1,70,78,335760.0,26917.0,482789.0,17936.0,46,0,4.0,0.0,12.724152,10.200513,13.087335,9.794565,92.57825,96.41799,-8,-0.36318302,0.4059477,-3.8397446,1,1,0
37,CO,5,0,66,75,111435.0,15288.0,183229.0,930.0,67,0,4.0,0.0,11.621197,9.634824,12.118492,6.8351846,87.93589,99.495,-9,-0.49729538,2.7996392,-11.559113,1,1,0
38,CO,6,0,65,63,280103.0,2958.0,636204.0,489303.0,57,0,7.0,0.0,12.5429125,7.9922686,13.363275,13.100738,98.954994,56.525993,2,-0.8203621,-5.108469,42.429,1,1,0
39,CT,2,1,60,64,464500.0,112881.0,727919.0,246903.0,49,0,10.0,0.0,13.048717,11.634089,13.497945,12.416751,80.44948,74.67199,-4,-0.4492283,-0.78266144,5.7774887,1,1,0
40,CT,4,0,75,72,397417.0,90634.0,372680.0,44410.0,57,0,3.0,0.0,12.892741,11.414585,12.828475,10.70122,81.4294,89.35242,3,0.064266205,0.71336555,-7.9230194,1,1,0
41,CT,6,0,74,26,556718.0,22211.0,399370.0,128853.0,53,0,8.0,0.0,13.229815,10.008343,12.897644,11.766427,96.16343,75.60632,48,0.3321705,-1.7580843,20.557106,1,1,0
42,DE,1,1,66,68,521336.0,49770.0,371747.0,184712.0,43,0,8.0,0.0,13.16415,10.815167,12.825969,12.126554,91.28533,66.80582,-2,0.3381815,-1.3113861,24.479515,1,1,0
43,FL,1,1,52,67,158280.0,182229.0,210940.0,23912.0,27,0,12.0,0.0,11.972121,12.113019,12.259329,10.082136,46.483353,89.81827,-15,-0.2872076,2.0308828,-43.334915,1,1,0
44,FL,4,0,56,50,634891.0,1067366.0,313415.0,1069699.0,36,0,2.0,1.0,13.361209,13.880705,12.655284,13.882888,37.297012,22.660099,6,0.705925,-0.0021829605,14.636913,1,1,0
45,FL,6,0,59,54,462925.0,26443.0,408292.0,503654.0,61,0,2.0,0.0,13.0453205,10.182747,12.919738,13.129644,94.5965,44.77151,5,0.1255827,-2.9468975,49.824986,1,1,0
46,FL,14,1,66,55,469101.0,213139.0,971883.0,777988.0,47,0,2.0,1.0,13.058574,12.2697,13.786991,13.564466,68.75894,55.540264,11,-0.7284174,-1.2947664,13.2186775,1,1,0
47,FL,18,0,60,53,560847.0,112071.0,1059283.0,886568.0,58,0,1.0,0.0,13.237204,11.626888,13.873103,13.695113,83.34552,54.438034,7,-0.63589954,-2.068225,28.907486,1,1,0
48,FL,19,1,62,72,500117.0,160220.0,337596.0,4907.0,41,0,36.0,1.0,13.122598,11.984303,12.729605,8.498418,75.73663,98.567314,-10,0.39299297,3.4858856,-22.83068,1,1,0
49,GA,1,1,71,67,399035.0,19130.0,337048.0,40461.0,39,1,8.0,0.0,12.896805,9.859013,12.727981,10.608094,95.42525,89.28211,4,0.1688242,-0.7490816,6.143135,1,1,0
50,GA,4,1,52,60,711015.0,696859.0,516737.0,696301.0,41,0,2.0,0.0,13.474449,13.454338,13.15529,13.453537,50.502743,42.598583,-8,0.3191595,0.0008010864,7.9041595,1,1,0
51,GA,5,1,76,78,108118.0,7755.0,101540.0,6047.0,68,1,4.0,0.0,11.590979,8.956093,11.528208,8.707317,93.30733,94.37943,-2,0.06277084,0.24877548,-1.0721054,1,1,0
52,GA,6,0,50,59,1538945.0,333873.0,838708.0,358354.0,67,1,12.0,0.0,14.246608,12.718516,13.639618,12.789277,82.17269,70.06387,-9,0.60698986,-0.07076073,12.108818,1,1,0
53,GA,7,1,60,65,404874.0,18692.0,382281.0,60694.0,29,0,7.0,1.0,12.911331,9.835851,12.853911,11.0136,95.58699,86.298546,-5,0.057419777,-1.1777496,9.2884445,1,1,0
54,GA,9,1,56,63,318247.0,134772.0,405040.0,64400.0,29,1,14.0,1.0,12.670583,11.811339,12.911741,11.072869,70.25025,86.281525,-7,-0.24115849,0.7384701,-16.031273,1,1,0
55,GA,10,1,58,64,937464.0,154326.0,193123.0,6760.0,35,0,14.0,1.0,13.750934,11.946822,12.1710825,8.818778,85.86486,96.61802,-6,1.5798512,3.1280441,-10.753159,1,1,0
56,ID,2,1,64,63,406219.0,141681.0,502083.0,206960.0,33,0,6.0,0.0,12.914648,11.861333,13.126521,12.240281,74.14108,70.81136,1,-0.21187305,-0.3789482,3.3297195,1,1,0
57,IL,1,1,94,96,125509.0,42901.0,145905.0,,95,0,7.0,0.0,11.740132,10.666651,11.890711,,74.525856,,-2,-0.1505785,,,1,1,0
58,IL,4,1,59,50,472757.0,642391.0,359942.0,348339.0,44,0,2.0,1.0,13.066337,13.372952,12.793698,12.760931,42.394104,50.819096,9,0.27263832,0.61202145,-8.424992,1,1,0
59,IL,5,1,66,61,171746.0,42218.0,165144.0,48940.0,48,0,8.0,0.0,12.053772,10.650602,12.014573,10.79835,80.26865,77.13982,5,0.039198875,-0.147748,3.12883,1,1,0
60,IL,6,0,67,74,270435.0,1055.0,281229.0,26555.0,68,0,16.0,1.0,12.507787,6.961296,12.546925,10.186974,99.611404,91.37219,-7,-0.03913784,-3.2256775,8.239212,1,1,0
61,IL,9,1,71,66,839106.0,15164.0,122900.0,28324.0,61,1,26.0,1.0,13.640092,9.626679,11.719127,10.251465,98.224915,81.27017,5,1.9209652,-0.6247854,16.954742,1,1,0
62,IL,11,1,54,65,855952.0,407617.0,239158.0,41259.0,46,0,26.0,0.0,13.659969,12.918083,12.38488,10.6276245,67.74082,85.28655,-11,1.2750893,2.2904587,-17.54573,1,1,0
63,IL,17,1,67,65,390401.0,115495.0,471233.0,124133.0,53,0,8.0,1.0,12.874929,11.656982,13.0631075,11.729109,77.17021,79.15014,2,-0.18817806,-0.07212639,-1.9799271,1,1,0
64,IL,19,1,66,64,258093.0,3581.0,193205.0,16241.0,45,1,6.0,1.0,12.461075,8.183397,12.171507,9.695294,98.6315,92.245735,2,0.28956795,-1.5118971,6.385765,1,1,0
65,IL,20,1,66,69,209360.0,44861.0,251634.0,57708.0,49,1,8.0,1.0,12.25181,10.711324,12.435731,10.963151,82.353546,81.34492,-3,-0.18392086,-0.25182724,1.0086288,1,1,0
66,IL,21,1,66,53,380559.0,26230.0,394412.0,69486.0,54,1,2.0,0.0,12.849397,10.174659,12.885151,11.148881,93.55194,85.02128,13,-0.035754204,-0.9742222,8.530663,1,1,0
67,IN,1,1,66,77,299280.0,21355.0,141855.0,,59,0,6.0,1.0,12.609135,9.969041,11.86256,,93.339775,,-11,0.7465744,,,1,1,0
68,IN,2,1,59,53,773178.0,595457.0,444422.0,332880.0,35,1,16.0,0.0,13.558265,13.297085,13.00453,12.715537,56.492638,57.174946,6,0.5537348,0.58154774,-0.6823082,1,1,0
69,IN,3,0,49,54,745145.0,473055.0,1085140.0,584006.0,59,0,,,13.521334,13.066967,13.89722,13.277666,61.167706,65.01169,-5,-0.37588596,-0.21069908,-3.8439827,1,0,-1
70,IN,4,1,61,51,752362.0,575363.0,415975.0,401811.0,33,0,1.0,0.0,13.5309725,13.262756,12.93838,12.903737,56.6655,50.865997,10,0.59259224,0.35901928,5.7995033,1,1,0
71,IN,5,1,53,56,652280.0,781224.0,689086.0,244985.0,35,0,4.0,0.0,13.388229,13.568617,13.443121,12.408953,45.502487,73.77234,-3,-0.054891586,1.1596642,-28.269852,1,1,0
72,IN,6,0,63,73,311727.0,41180.0,333723.0,11743.0,69,0,8.0,0.0,12.649883,10.625708,12.718066,9.371013,88.3312,96.60082,-10,-0.068182945,1.2546949,-8.269623,1,1,0
73,IN,8,1,55,62,446040.0,146961.0,551484.0,130243.0,42,0,8.0,1.0,13.008163,11.8979225,13.220368,11.777157,75.217415,80.89514,-7,-0.21220493,0.120765686,-5.6777267,1,1,0
74,IN,10,1,66,61,14816.0,13201.0,35786.0,24919.0,51,0,16.0,1.0,9.603463,9.488048,10.485312,10.123385,52.88218,58.950665,5,-0.8818493,-0.6353378,-6.0684853,1,1,0
75,IA,5,0,68,64,418134.0,63591.0,420730.0,115701.0,47,0,6.0,0.0,12.943557,11.060227,12.949746,11.658765,86.79932,78.431335,4,-0.0061893463,-0.59853745,8.367981,1,1,0
76,IA,6,0,72,64,322563.0,42597.0,523108.0,175951.0,50,0,4.0,0.0,12.684053,10.659539,13.167543,12.077961,88.3347,74.83031,8,-0.48349,-1.4184217,13.504395,1,1,0
77,KS,2,1,63,73,504861.0,84568.0,388866.0,119263.0,46,0,8.0,1.0,13.132038,11.345311,12.87099,11.689086,85.65256,76.52899,-10,0.26104832,-0.3437748,9.123566,1,1,0
78,KS,3,0,60,74,209986.0,76007.0,234583.0,13483.0,54,0,6.0,0.0,12.254796,11.238581,12.365564,9.509185,73.42348,94.56475,-14,-0.11076832,1.7293959,-21.141273,1,1,0
79,KS,4,1,71,64,355581.0,4317.0,545755.0,149035.0,43,0,14.0,1.0,12.781508,8.370316,13.209926,11.911937,98.80049,78.54964,7,-0.4284172,-3.5416212,20.250854,1,1,0
80,KY,2,1,66,61,6768.0,144315.0,8397.0,84102.0,41,1,37.0,1.0,8.819961,11.879754,9.03563,11.339786,4.4796567,9.077936,5,-0.21566963,0.5399685,-4.5982795,1,1,0
81,KY,3,1,61,70,303488.0,327390.0,371431.0,4931.0,53,0,20.0,1.0,12.623097,12.698908,12.825118,8.503297,48.105656,98.68983,-9,-0.20202065,4.195611,-50.58417,1,1,0
82,KY,4,0,69,74,563409.0,76580.0,468870.0,23636.0,65,0,4.0,0.0,13.241761,11.246091,13.058081,10.070526,88.03417,95.200874,-5,0.18368053,1.1755648,-7.1667023,1,1,0
83,KY,7,1,51,59,344561.0,172257.0,411699.0,432403.0,55,1,6.0,1.0,12.750027,12.056743,12.928048,12.977114,66.6697,48.77361,-8,-0.17802143,-0.92037106,17.896091,1,1,0
84,ME,2,0,51,66,306289.0,228344.0,202317.0,68390.0,55,0,12.0,0.0,12.632284,12.338609,12.217591,11.132982,57.28958,74.73653,-15,0.41469288,1.2056265,-17.446945,1,1,0
85,MD,1,1,43,50,771809.0,264932.0,684204.0,118568.0,36,1,,,13.556493,12.487228,13.436011,11.683242,74.445694,85.23018,-7,0.12048149,0.80398655,-10.784485,1,0,-1
86,MD,3,1,70,73,363847.0,4234.0,354701.0,18893.0,54,0,4.0,1.0,12.804489,8.350903,12.779031,9.846547,98.84971,94.94291,-3,0.025458336,-1.4956446,3.9067993,1,1,0
87,MD,4,1,59,68,560909.0,41129.0,599881.0,,42,0,4.0,0.0,13.237314,10.624469,13.304486,,93.16837,,-9,-0.06717205,,,1,1,0
88,MD,5,1,81,79,716469.0,8709.0,416187.0,,59,0,9.0,1.0,13.48209,9.072112,12.9388895,,98.79906,,2,0.5432005,,,1,1,0
89,MD,6,1,65,75,325997.0,3557.0,213554.0,,34,0,12.0,0.0,12.694643,8.176673,12.271645,,98.92066,,-10,0.42299843,,,1,1,0
90,MA,4,1,66,60,718160.0,31903.0,343097.0,34368.0,57,0,10.0,1.0,13.4844475,10.370456,12.745769,10.444881,95.74662,90.89505,6,0.73867893,-0.0744257,4.85157,1,1,0
91,MA,5,1,52,84,861333.0,236851.0,344930.0,15396.0,47,0,6.0,0.0,13.666237,12.375187,12.751097,9.641863,78.43249,95.7272,-32,0.91514015,2.733324,-17.294716,1,1,0
92,MA,6,1,65,70,333912.0,19771.0,337199.0,63013.0,50,0,12.0,0.0,12.718633,9.891972,12.728429,11.051096,94.409966,84.2551,-5,-0.009796143,-1.1591244,10.154869,1,1,0
93,MA,10,1,53,67,620387.0,271902.0,235946.0,121056.0,51,1,18.0,0.0,13.338099,12.513197,12.371358,11.704008,69.52759,66.09095,-14,0.9667406,0.80918884,3.4366379,1,1,0
94,MI,1,1,89,91,288906.0,545.0,124823.0,,89,0,26.0,1.0,12.573856,6.300786,11.734652,,99.811714,,-2,0.8392048,,,1,1,0
95,MI,2,0,64,54,135801.0,9573.0,876779.0,750493.0,58,0,14.0,0.0,11.818946,9.166702,13.6840105,13.528485,93.41492,53.8803,10,-1.8650646,-4.361783,39.53462,1,1,0
96,MI,3,1,58,57,815244.0,274106.0,600940.0,164856.0,45,0,12.0,0.0,13.611242,12.52127,13.306251,12.012828,74.837654,78.472595,1,0.30499172,0.5084419,-3.634941,1,1,0
97,MI,4,0,58,71,503164.0,78392.0,323829.0,8577.0,63,0,4.0,0.0,13.128672,11.269477,12.687971,9.05684,86.5203,97.41972,-13,0.44070053,2.212637,-10.899422,1,1,0
98,MI,7,1,68,76,222531.0,6382.0,150594.0,1310.0,55,0,14.0,0.0,12.312821,8.761237,11.922342,7.1777825,97.21204,99.13761,-8,0.3904791,1.5834546,-1.9255676,1,1,0
99,MI,8,1,69,72,176815.0,433.0,128400.0,2188.0,50,0,16.0,1.0,12.082859,6.070738,11.762906,7.690743,99.75571,98.3245,-3,0.31995296,-1.6200051,1.4312057,1,1,0
100,MI,9,0,55,70,452960.0,22155.0,450801.0,14866.0,62,0,24.0,1.0,13.02356,10.005818,13.018782,9.606832,95.33692,96.80759,-15,0.0047779083,0.39898682,-1.470665,1,1,0
101,MI,11,0,61,60,325232.0,4072.0,680819.0,415660.0,52,0,12.0,0.0,12.692294,8.31189,13.431052,12.937623,98.76345,62.091385,1,-0.7387581,-4.6257334,36.672066,1,1,0
102,MI,12,1,63,54,1188905.0,295184.0,434200.0,143886.0,39,0,14.0,0.0,13.9885435,12.595354,12.98126,11.876777,80.110085,75.10993,9,1.0072832,0.7185774,5.0001526,1,1,0
103,MI,14,1,64,63,187545.0,1068.0,137560.0,3537.0,44,1,10.0,1.0,12.141774,6.973543,11.831816,8.171034,99.43376,97.49322,1,0.30995846,-1.1974907,1.9405441,1,1,0
104,MI,15,1,61,64,354964.0,42834.0,234435.0,7993.0,45,1,26.0,1.0,12.779772,10.665088,12.364934,8.986321,89.23222,96.70294,-3,0.41483784,1.6787663,-7.4707184,1,1,0
105,MI,16,1,67,97,602952.0,3774.0,462180.0,,46,0,35.0,1.0,13.309593,8.23589,13.04371,,99.377975,,-30,0.26588345,,,1,1,0
106,MI,18,0,66,77,78205.0,78205.0,77103.0,9459.0,70,0,34.0,0.0,11.267089,11.267089,11.252897,9.154722,50.0,89.07257,-11,0.0141916275,2.1123667,-39.07257,1,1,0
107,MN,2,0,62,38,670606.0,17778.0,623776.0,152295.0,51,0,10.0,0.0,13.415937,9.785717,13.343547,11.933575,97.41743,80.37615,24,0.07239056,-2.1478577,17.041275,1,1,0
108,MN,4,1,65,72,266699.0,57415.0,216172.0,35789.0,61,1,14.0,0.0,12.4938755,10.958061,12.28383,10.485395,82.28555,85.795815,-7,0.21004581,0.4726658,-3.5102615,1,1,0
109,MN,5,1,73,72,321644.0,9497.0,281455.0,16915.0,65,1,12.0,0.0,12.681201,9.158731,12.547728,9.735956,97.132034,94.330864,1,0.1334734,-0.57722473,2.8011703,1,1,0
110,MN,6,1,65,65,378087.0,16219.0,320219.0,100941.0,51,0,8.0,1.0,12.842879,9.693938,12.676761,11.522291,95.886696,76.03262,0,0.16611862,-1.8283529,19.854073,1,1,0
111,MN,7,0,55,46,487224.0,242364.0,288782.0,320437.0,51,0,,,13.096479,12.398196,12.573427,12.677441,66.7807,47.402,9,0.5230522,-0.27924442,19.3787,1,1,0
112,MN,8,1,73,75,229262.0,16681.0,157802.0,7743.0,60,1,16.0,0.0,12.342621,9.722026,11.969096,8.954544,93.21754,95.32272,-2,0.37352467,0.7674818,-2.1051865,1,1,0
113,MS,1,1,65,78,96254.0,14750.0,58370.0,,40,0,49.0,1.0,11.474746,9.598998,10.974557,,86.71219,,-13,0.5001888,,,1,1,0
114,MO,1,1,61,72,196909.0,12666.0,134200.0,,72,0,22.0,0.0,12.190497,9.446676,11.807087,,93.95634,,-11,0.38341045,,,1,1,0
115,MO,2,0,50,66,670758.0,340390.0,693066.0,254492.0,61,0,,,13.416163,12.737847,13.44888,12.447024,66.33628,73.14233,-16,-0.03271675,0.29082298,-6.8060455,1,1,0
116,MO,3,1,57,63,1455794.0,82077.0,512206.0,202524.0,47,0,14.0,1.0,14.191062,11.315413,13.146482,12.218614,94.66295,71.66427,-6,1.0445795,-0.90320015,22.99868,1,1,0
117,MO,4,1,62,72,306485.0,7137.0,273316.0,,40,1,14.0,1.0,12.632924,8.873048,12.518384,,97.72433,,-10,0.1145401,,,1,1,0
118,MO,6,0,52,59,315922.0,22428.0,341344.0,198617.0,50,0,14.0,1.0,12.663251,10.018065,12.740646,12.199134,93.37136,63.21642,-7,-0.07739544,-2.1810684,30.154942,1,1,0
119,MO,7,0,52,53,182474.0,203265.0,338125.0,215064.0,61,0,2.0,0.0,12.114363,12.222266,12.731171,12.278691,47.305042,61.12287,-1,-0.61680794,-0.056425095,-13.817829,1,1,0
120,MO,8,0,57,58,704447.0,246595.0,768792.0,516239.0,55,0,10.0,1.0,13.465168,12.415503,13.552576,13.1543255,74.07107,59.82673,-1,-0.087408066,-0.73882294,14.244339,1,1,0
121,MO,9,1,57,68,238679.0,36045.0,210841.0,9565.0,45,0,14.0,1.0,12.3828745,10.492523,12.25886,9.165866,86.87956,95.66028,-11,0.124014854,1.3266573,-8.780716,1,1,0
122,MT,1,1,61,61,345258.0,90238.0,250276.0,58204.0,48,0,12.0,0.0,12.752048,11.410206,12.43032,10.971709,79.27926,81.132,0,0.32172775,0.4384966,-1.852745,1,1,0
123,MT,2,0,63,55,310981.0,33883.0,380928.0,394102.0,54,0,14.0,0.0,12.647487,10.430669,12.850366,12.884365,90.174965,49.150097,8,-0.20287895,-2.4536963,41.024868,1,1,0
124,NE,1,0,65,67,223898.0,65064.0,221530.0,96278.0,56,0,12.0,0.0,12.318946,11.083127,12.308313,11.474995,77.48354,69.70561,-2,0.010632515,-0.39186764,7.777931,1,1,0
125,NE,2,1,58,51,929247.0,625716.0,858762.0,1158294.0,42,0,2.0,1.0,13.74213,13.346652,13.663247,13.962459,59.76007,42.57502,7,0.07888317,-0.6158066,17.185051,1,1,0
126,NV,1,1,61,64,705037.0,149778.0,652199.0,147891.0,42,0,4.0,1.0,13.466005,11.916909,13.388105,11.904231,82.47832,81.5157,-3,0.07789993,0.012678146,0.96261597,1,1,0
127,NH,2,0,47,57,540605.0,465160.0,730803.0,519336.0,61,0,,,13.200444,13.050137,13.501899,13.160306,53.75063,58.45774,-10,-0.30145454,-0.11016941,-4.7071114,1,0,-1
128,NJ,3,1,49,52,634109.0,115202.0,678647.0,981865.0,37,0,2.0,1.0,13.359976,11.654443,13.427856,13.797209,84.62561,40.869743,-3,-0.06788063,-2.142766,43.755867,1,0,-1
129,NJ,4,0,63,66,292826.0,55772.0,252823.0,53964.0,55,0,10.0,0.0,12.587334,10.929028,12.440445,10.896072,84.00105,82.40994,-3,0.14688873,0.03295517,1.5911102,1,1,0
130,NJ,6,1,51,62,147925.0,8887.0,123632.0,38919.0,46,0,10.0,0.0,11.904461,9.092345,11.725064,10.569238,94.3327,76.05736,-11,0.17939663,-1.4768925,18.275345,1,1,0
131,NJ,9,1,53,68,495219.0,34513.0,403059.0,57260.0,46,0,8.0,1.0,13.112756,10.449091,12.906838,10.955358,93.48482,87.5608,-15,0.20591736,-0.5062666,5.924019,1,1,0
132,NJ,11,0,65,70,694735.0,105031.0,490751.0,,64,0,6.0,0.0,13.451285,11.562011,13.103692,,86.86729,,-5,0.3475933,,,1,1,0
133,NJ,13,0,58,69,730989.0,203147.0,411620.0,,61,0,6.0,0.0,13.502153,12.221685,12.9278555,,78.25295,,-11,0.5742979,,,1,1,0
134,NM,1,0,70,51,538273.0,123215.0,559134.0,576677.0,54,0,2.0,1.0,13.196121,11.721686,13.234144,13.265038,81.373055,49.227734,19,-0.038022995,-1.5433512,32.14532,1,1,0
135,NM,3,1,74,73,420907.0,20902.0,267633.0,41669.0,54,0,8.0,0.0,12.950168,9.9476,12.497372,10.637513,95.269,86.52805,1,0.45279598,-0.6899128,8.740944,1,1,0
136,NY,3,1,53,57,458759.0,184513.0,364087.0,90892.0,40,1,8.0,0.0,13.036281,12.125475,12.805148,11.417427,71.31649,80.02281,-4,0.2311325,0.70804787,-8.706322,1,1,0
137,NY,5,0,55,65,618882.0,291412.0,337792.0,35627.0,56,0,10.0,0.0,13.3356695,12.582494,12.7301855,10.480859,67.987045,90.45924,-10,0.605484,2.101635,-22.472198,1,1,0
