,wage,abil,educ,ne,nc,west,south,exper,motheduc,fatheduc,brkhme14,sibs,urban,ne18,nc18,south18,west18,urban18,tuit17,tuit18,lwage,expersq,ctuit
47,12.847966,2.3217826,15,1,0,0,0,7,12,12,0,2,1,1,0,0,0,1,14.462974,14.462974,2.5531855,49,0.0
48,16.966759,2.8134353,12,1,0,0,0,12,12,16,0,3,1,1,0,0,0,1,15.082261,15.008257,2.8312562,144,-0.07400417
49,15.027323,4.5591154,15,1,0,0,0,7,12,16,0,3,1,1,0,0,0,1,14.462974,13.934644,2.70987,49,-0.52832985
50,67.07992,2.7576752,15,1,0,0,0,12,12,12,0,2,1,1,0,0,0,1,15.082261,15.082261,4.205885,144,0.0
51,8.413462,0.7897384,15,1,0,0,0,5,12,8,0,2,1,1,0,0,0,1,13.934644,15.172539,2.129833,25,1.237895
52,4.8646364,2.1513286,13,1,0,0,0,10,10,14,0,3,0,1,0,0,0,1,15.008257,14.462974,1.581992,100,-0.5452833
53,5.764967,0.5502259,12,1,0,0,0,8,10,15,0,3,1,1,0,0,0,1,13.934644,15.172539,1.7517995,64,1.237895
54,4.637437,-0.3780224,10,1,0,0,0,13,9,9,0,7,1,1,0,0,0,1,15.082261,15.008257,1.5341618,169,-0.07400417
55,18.26923,3.5266898,14,1,0,0,0,7,12,12,0,3,0,1,0,0,0,1,14.462974,13.934644,2.9052181,49,-0.52832985
56,11.481482,2.1787515,12,1,0,0,0,14,12,12,0,3,1,1,0,0,0,0,15.082261,15.082261,2.4407353,196,0.0
57,16.0,4.1021004,16,0,0,0,1,5,12,12,0,3,1,1,0,0,0,1,13.934644,15.172539,2.7725887,25,1.237895
58,11.07438,2.354122,19,0,0,0,1,7,13,8,1,4,1,1,0,0,0,1,15.082261,15.082261,2.4046342,49,0.0
59,6.134969,-1.8695177,8,1,0,0,0,15,16,8,1,4,1,1,0,0,0,1,15.082261,15.008257,1.814005,225,-0.07400417
60,7.698888,-0.7081801,11,1,0,0,0,9,8,12,1,2,1,1,0,0,0,1,13.934644,15.172539,2.041076,81,1.237895
61,9.163803,2.466771,12,1,0,0,0,14,12,12,0,2,1,1,0,0,0,1,15.082261,15.082261,2.2152612,196,0.0
62,16.346153,5.17607,14,1,0,0,0,10,12,18,0,3,1,1,0,0,0,1,15.082261,15.008257,2.7939925,100,-0.07400417
63,10.176991,4.1892567,16,1,0,0,0,6,12,8,0,3,1,1,0,0,0,1,14.462974,13.934644,2.3201294,36,-0.52832985
64,12.323944,1.497999,12,1,0,0,0,11,12,12,0,4,1,1,0,0,0,1,15.008257,14.462974,2.511544,121,-0.5452833
65,27.450981,3.0384529,15,1,0,0,0,10,12,18,0,0,1,1,0,0,0,1,15.082261,15.082261,3.312402,100,0.0
66,14.423077,2.4981976,13,0,0,0,1,12,12,12,1,6,1,1,0,0,0,1,15.082261,15.082261,2.6688294,144,0.0
67,4.8076925,0.5738209,12,1,0,0,0,13,16,13,0,2,1,1,0,0,0,1,15.082261,15.082261,1.5702173,169,0.0
68,14.957265,2.009659,12,0,0,0,1,10,12,14,0,1,1,1,0,0,0,1,15.008257,14.462974,2.705197,100,-0.5452833
69,17.79514,3.3864782,18,1,0,0,0,5,13,13,0,3,1,1,0,0,0,1,15.082261,15.008257,2.8789253,25,-0.07400417
70,18.69159,0.40107772,12,1,0,0,0,14,12,12,0,5,1,1,0,0,0,1,12.387511,12.387511,2.9280736,196,0.0
71,14.423077,-1.1186994,12,1,0,0,0,12,12,8,0,4,1,1,0,0,0,1,12.387511,12.387511,2.6688294,144,0.0
72,9.615385,1.0476584,11,1,0,0,0,10,11,10,0,3,1,1,0,0,0,1,11.967087,12.391353,2.2633643,100,0.42426586
73,9.134615,-0.9839756,11,1,0,0,0,10,12,12,0,2,1,1,0,0,0,1,12.391353,12.420308,2.212071,100,0.02895546
74,8.576923,3.94461,15,1,0,0,0,10,12,18,0,2,0,1,0,0,0,1,12.387511,12.387511,2.1490753,100,0.0
75,7.804878,-1.0399191,12,1,0,0,0,9,12,12,0,2,1,1,0,0,0,1,11.967087,12.391353,2.054749,81,0.42426586
76,21.226416,2.825982,12,1,0,0,0,13,12,10,0,1,1,1,0,0,0,1,12.387511,12.387511,3.0552464,169,0.0
77,19.711538,5.719028,15,1,0,0,0,7,12,16,0,3,1,1,0,0,0,1,9.8678875,9.769236,2.9812043,49,-0.098651886
78,13.9709835,1.3550527,15,0,0,1,0,8,12,8,0,2,1,1,0,0,0,1,10.205619,9.8678875,2.6369827,64,-0.33773136
79,54.609936,1.0379155,12,1,0,0,0,15,12,12,0,4,1,1,0,0,0,1,11.155029,11.155029,4.000216,225,0.0
80,13.18102,1.2433522,15,1,0,0,0,7,12,12,0,4,1,1,0,0,0,1,10.205619,9.8678875,2.5787778,49,-0.33773136
81,8.774495,2.3709629,12,1,0,0,0,8,12,12,1,4,1,1,0,0,0,1,9.769236,9.343459,2.1718493,64,-0.42577648
82,15.865385,1.7812779,11,1,0,0,0,11,12,12,0,3,1,1,0,0,0,1,10.205619,9.8678875,2.7641397,121,-0.33773136
83,52.1327,0.5180065,15,1,0,0,0,12,12,13,0,3,1,1,0,0,0,1,7.311346,7.311346,3.9537923,144,0.0
84,23.092783,2.95704,15,1,0,0,0,12,12,12,0,3,1,1,0,0,0,1,5.849079,5.849079,3.1395202,144,0.0
85,5.8129373,-2.7411335,12,1,0,0,0,15,12,13,0,3,0,1,0,0,0,1,11.155029,11.155029,1.7600859,225,0.0
86,12.518195,3.80187,15,1,0,0,0,10,14,14,0,8,1,1,0,0,0,1,11.155029,11.155029,2.5271833,100,0.0
87,14.732965,2.3166008,14,1,0,0,0,7,14,14,0,8,1,1,0,0,0,1,9.8678875,9.769236,2.6900876,49,-0.098651886
88,5.249344,-2.226822,11,1,0,0,0,13,4,4,0,2,1,1,0,0,0,1,11.155029,11.155029,1.6581031,169,0.0
89,16.722408,4.5171695,12,1,0,0,0,13,11,12,0,3,1,1,0,0,0,1,15.082261,15.082261,2.8167496,169,0.0
90,12.905604,3.9379861,12,1,0,0,0,10,11,12,0,3,1,1,0,0,0,1,14.462974,13.934644,2.5576618,100,-0.52832985
91,9.202424,-3.7846503,7,1,0,0,0,21,12,10,0,9,1,1,0,0,0,1,15.082261,15.082261,2.219467,441,0.0
92,15.107914,4.534225,12,1,0,0,0,12,12,12,0,5,1,1,0,0,0,1,15.082261,15.008257,2.7152188,144,-0.07400417
93,22.336245,3.591137,16,0,0,0,1,11,16,16,0,6,1,1,0,0,0,1,15.082261,15.082261,3.1062107,121,0.0
94,13.461538,2.8963256,12,1,0,0,0,12,12,12,1,5,0,1,0,0,0,0,15.082261,15.008257,2.5998366,144,-0.07400417
95,15.303984,-0.033011764,12,1,0,0,0,13,14,11,0,7,0,1,0,0,0,1,15.082261,15.082261,2.7281132,169,0.0
96,13.617961,2.0076046,12,1,0,0,0,12,12,16,0,1,1,1,0,0,0,1,15.082261,15.082261,2.6113896,144,0.0
97,18.329939,3.9284778,19,0,0,1,0,8,16,20,0,2,1,0,1,0,0,1,7.311346,7.311346,2.9085357,64,0.0
98,12.311266,5.0006876,19,1,0,0,0,7,16,20,0,2,1,1,0,0,0,1,7.311346,7.311346,2.5105147,49,0.0
99,7.075472,-4.1184654,12,1,0,0,0,14,12,12,0,2,1,1,0,0,0,1,12.387511,12.387511,1.9566342,196,0.0
100,4.5731707,-3.489256,12,1,0,0,0,12,12,11,0,2,1,1,0,0,0,1,12.387511,12.363052,1.5202068,144,-0.024458885
101,13.44086,2.4156144,12,1,0,0,0,9,8,8,0,4,1,1,0,0,0,1,11.967087,12.391353,2.5982993,81,0.42426586
102,11.088252,-0.22203657,12,1,0,0,0,11,7,12,1,5,1,1,0,0,0,1,12.387511,12.363052,2.4058862,121,-0.024458885
103,13.541667,1.9342402,12,1,0,0,0,11,12,12,0,0,1,1,0,0,0,1,12.387511,12.363052,2.6057713,121,-0.024458885
104,13.059702,-2.2727091,12,1,0,0,0,9,12,9,0,1,1,1,0,0,0,1,11.967087,12.391353,2.5695312,81,0.42426586
105,8.653846,4.498102,14,1,0,0,0,9,16,14,0,1,1,1,0,0,0,1,12.363052,11.967087,2.1580038,81,-0.39596558
106,9.620523,4.1428733,15,1,0,0,0,5,14,16,0,1,1,1,0,0,0,1,12.420308,12.813191,2.2638986,25,0.3928833
107,7.6923075,-3.4528763,12,1,0,0,0,9,12,12,1,3,1,1,0,0,0,1,12.391353,12.420308,2.0402207,81,0.02895546
108,10.839161,0.35360512,12,1,0,0,0,8,12,12,0,4,1,1,0,0,0,1,12.420308,12.813191,2.3831656,64,0.3928833
109,22.727272,1.4470198,16,1,0,0,0,10,12,14,0,2,1,1,0,0,0,1,12.387511,12.387511,3.1235657,100,0.0
110,14.746544,2.8296425,15,1,0,0,0,10,15,14,0,2,1,1,0,0,0,1,12.387511,12.387511,2.6910088,100,0.0
111,17.788462,4.421232,15,1,0,0,0,8,12,18,0,2,1,1,0,0,0,1,12.387511,12.363052,2.87855,64,-0.024458885
112,4.977731,2.3132463,12,1,0,0,0,13,12,12,0,1,1,1,0,0,0,1,12.387511,12.387511,1.6049743,169,0.0
113,12.598425,3.349177,13,1,0,0,0,12,12,12,0,3,1,1,0,0,0,1,12.387511,12.387511,2.5335717,144,0.0
114,13.675214,4.052535,15,1,0,0,0,11,12,12,0,3,1,1,0,0,0,1,12.387511,12.387511,2.615585,121,0.0
115,2.625,-2.551893,10,0,1,0,0,13,8,6,1,4,1,0,1,0,0,1,9.417682,8.826549,0.9650809,169,-0.5911331
116,7.620367,2.6375215,12,0,1,0,0,9,12,12,0,1,1,0,1,0,0,1,8.826549,9.349703,2.0308244,81,0.52315426
117,15.384615,1.690285,17,0,1,0,0,10,12,12,0,2,1,0,1,0,0,1,9.692757,9.692757,2.733368,100,0.0
118,44.345898,3.8753533,18,0,0,0,1,9,16,16,0,2,1,0,1,0,0,1,9.692757,9.692757,3.7920203,81,0.0
119,14.084507,3.4355404,17,0,1,0,0,8,16,16,0,2,1,0,1,0,0,1,9.692757,9.692757,2.6450753,64,0.0
120,11.057693,1.31293,12,0,1,0,0,16,12,10,0,4,1,0,1,0,0,1,9.692757,9.692757,2.4031262,256,0.0
121,6.990291,-1.2555829,11,0,1,0,0,12,12,10,0,4,1,0,1,0,0,1,9.692757,9.417682,1.9445223,144,-0.27507496
122,17.123287,1.239603,12,0,0,1,0,9,12,14,0,2,1,0,1,0,0,1,8.826549,9.349703,2.8404393,81,0.52315426
123,15.652951,2.125832,14,0,1,0,0,10,12,18,0,3,1,0,1,0,0,1,9.692757,9.417682,2.7506595,100,-0.27507496
124,14.563107,2.655087,12,0,1,0,0,8,12,12,0,3,1,0,1,0,0,1,9.349703,10.444347,2.6784914,64,1.0946445
125,17.31419,3.7445102,12,0,1,0,0,12,16,12,0,3,1,0,1,0,0,1,9.692757,9.692757,2.8515265,144,0.0
126,8.950086,-0.52818793,12,0,1,0,0,13,12,12,0,3,1,0,1,0,0,1,9.692757,9.692757,2.191663,169,0.0
127,24.398178,-1.0554669,12,0,1,0,0,13,11,11,0,2,1,0,1,0,0,1,9.692757,9.692757,3.1945086,169,0.0
128,1.8292683,1.057115,9,0,1,0,0,11,9,10,0,4,1,0,1,0,0,1,7.3568974,7.748579,0.60391605,121,0.39168167
129,4.8076925,-3.1826077,10,0,1,0,0,11,8,7,0,9,1,0,1,0,0,1,7.305873,7.3568974,1.5702173,121,0.051024437
130,7.2115383,-0.82272637,10,0,0,0,1,12,8,8,1,3,1,0,1,0,0,1,7.305873,7.305873,1.9756823,144,0.0
131,9.384164,-1.1812452,12,0,1,0,0,13,12,12,0,1,1,0,1,0,0,1,8.334936,8.334936,2.2390237,169,0.0
132,10.885341,-0.5111351,11,0,1,0,0,16,9,16,0,5,1,0,1,0,0,1,8.334936,8.334936,2.387417,256,0.0
133,8.0,1.5695326,12,0,1,0,0,11,12,16,0,3,1,0,1,0,0,1,8.334936,7.8230557,2.0794415,121,-0.5118804
134,10.2402525,4.430475,16,0,1,0,0,7,12,16,0,7,1,0,1,0,0,1,8.334936,7.8230557,2.3263264,49,-0.5118804
135,27.403847,3.249971,15,0,1,0,0,12,12,12,0,3,1,0,1,0,0,1,8.334936,8.334936,3.3106835,144,0.0
136,19.11111,4.574099,16,0,1,0,0,8,12,16,0,4,1,0,1,0,0,1,8.334936,8.334936,2.95027,64,0.0
137,4.40367,1.235797,12,0,0,1,0,13,12,18,0,2,1,0,1,0,0,1,8.334936,8.334936,1.4824382,169,0.0
138,9.052925,1.6147116,17,0,0,1,0,6,12,13,0,1,1,0,0,1,0,1,7.8230557,7.305873,2.2030878,36,-0.5171828
139,8.984375,-0.8257855,13,0,1,0,0,13,12,12,0,5,1,0,1,0,0,1,8.334936,8.334936,2.195487,169,0.0
140,17.006804,0.57959074,12,0,1,0,0,12,12,12,0,5,1,0,1,0,0,1,8.334936,8.334936,2.8336134,144,0.0
141,3.7558684,3.7760303,12,0,1,0,0,12,12,12,0,4,1,0,1,0,0,1,8.334936,8.334936,1.3233196,144,0.0
142,5.6910567,5.9947424,12,0,1,0,0,8,12,12,0,4,1,0,1,0,0,1,7.3568974,7.748579,1.7388959,64,0.39168167
143,9.275619,2.3176086,12,0,1,0,0,8,12,16,1,3,1,0,1,0,0,1,7.748579,8.683432,2.2273893,64,0.9348526
144,11.538462,1.4302603,17,0,1,0,0,7,14,16,0,1,1,0,1,0,0,1,8.334936,7.8230557,2.4456859,49,-0.5118804
145,12.980769,3.8779945,18,0,0,1,0,10,12,16,0,4,1,0,1,0,0,1,8.334936,8.334936,2.563469,100,0.0
146,15.294118,3.9737763,12,0,1,0,0,14,12,12,1,1,1,0,1,0,0,1,8.334936,8.334936,2.7274683,196,0.0
147,9.523809,3.0609992,12,0,1,0,0,15,12,15,1,1,1,0,1,0,0,1,8.334936,8.334936,2.253795,225,0.0
148,7.9365077,-1.7296591,13,0,0,0,1,13,6,12,1,7,1,0,1,0,0,1,8.334936,8.334936,2.0714734,169,0.0
149,10.294118,1.9315293,15,0,1,0,0,8,16,16,0,3,1,0,1,0,0,1,8.334936,7.8230557,2.3315728,64,-0.5118804
150,15.696784,2.390199,12,0,1,0,0,10,11,12,0,5,1,0,1,0,0,1,7.305873,7.3568974,2.7534559,100,0.051024437
151,35.294117,2.9145982,12,0,1,0,0,8,11,14,0,5,1,0,1,0,0,1,7.3568974,7.748579,3.5637162,64,0.39168167
152,11.538462,-1.0498585,12,0,1,0,0,9,16,16,0,7,1,0,1,0,0,1,7.3568974,7.748579,2.4456859,81,0.39168167
153,11.25,0.5987233,12,0,1,0,0,10,16,12,1,1,1,0,1,0,0,1,7.305873,7.3568974,2.4203682,100,0.051024437
154,9.072165,-3.4648468,12,0,1,0,0,10,9,9,0,3,1,0,1,0,0,1,7.305873,7.3568974,2.205211,100,0.051024437
155,17.225327,-1.7753702,8,0,1,0,0,15,10,10,1,2,1,0,1,0,0,1,14.070236,13.388583,2.8463807,225,-0.681653
156,7.336757,-1.9981309,8,0,1,0,0,13,10,10,1,2,1,0,1,0,0,1,13.634975,14.255124,1.9928969,169,0.62014866
157,12.019231,-1.9482604,10,0,1,0,0,13,13,14,0,2,1,0,1,0,0,1,14.070236,13.388583,2.486508,169,-0.681653
158,5.6089745,3.4270818,20,0,0,1,0,6,12,14,0,2,1,0,1,0,0,1,18.173916,18.173916,1.7243679,36,0.0
159,23.118958,4.1896467,15,0,0,1,0,8,12,14,0,2,1,0,1,0,0,1,18.173916,14.070236,3.140653,64,-4.1036797
160,14.503144,2.595268,12,0,1,0,0,12,12,18,0,1,1,0,1,0,0,1,18.173916,18.173916,2.6743655,144,0.0
161,21.757322,3.923822,16,0,1,0,0,12,17,17,0,2,1,0,1,0,0,1,18.173916,18.173916,3.0799503,144,0.0
162,14.583333,4.428095,17,0,1,0,0,8,16,13,1,0,1,0,1,0,0,1,18.173916,18.173916,2.6798792,64,0.0
163,15.384615,0.80882084,12,0,1,0,0,14,12,16,0,5,1,0,1,0,0,1,18.173916,18.173916,2.733368,196,0.0
164,12.062257,2.9392922,16,0,1,0,0,6,12,16,0,1,1,0,1,0,0,1,14.070236,13.388583,2.4900813,36,-0.681653
165,9.082338,4.1122274,13,0,1,0,0,8,12,10,0,2,1,0,1,0,0,1,13.634975,14.255124,2.2063317,64,0.62014866
166,8.413462,3.4360065,12,0,1,0,0,12,11,8,0,4,1,0,1,0,0,1,18.173916,14.070236,2.129833,144,-4.1036797
167,23.774038,-0.7396109,12,0,1,0,0,13,12,12,0,2,1,0,1,0,0,1,9.692757,9.692757,3.1685941,169,0.0
168,1.25,0.56514627,12,0,1,0,0,10,12,12,0,2,1,0,1,0,0,1,9.417682,8.826549,0.22314355,100,-0.5911331
169,17.551964,3.3741384,16,0,1,0,0,5,12,12,0,2,1,0,1,0,0,1,8.826549,9.349703,2.865166,25,0.52315426
170,8.888889,3.4991252,12,0,1,0,0,12,10,14,0,2,1,0,1,0,0,1,9.692757,9.692757,2.184802,144,0.0
171,14.423077,-1.7721007,12,0,1,0,0,16,3,12,0,5,1,0,1,0,0,1,9.692757,9.692757,2.6688294,256,0.0
172,3.7790697,-2.458735,9,0,1,0,0,15,12,12,0,2,1,0,1,0,0,1,9.692757,9.692757,1.3294779,225,0.0
173,2.1126761,0.26337507,8,0,1,0,0,16,12,12,0,2,1,0,1,0,0,1,9.692757,9.417682,0.74795544,256,-0.27507496
174,13.888889,0.936336,13,0,1,0,0,10,11,10,0,0,0,0,1,0,0,1,9.417682,8.826549,2.6310892,100,-0.5911331
175,7.4592075,0.35801485,10,0,1,0,0,14,9,9,1,4,1,0,1,0,0,1,9.692757,9.417682,2.0094492,196,-0.27507496
176,7.1146245,2.033818,15,0,1,0,0,11,9,6,1,4,1,0,1,0,0,1,9.692757,9.692757,1.9621525,121,0.0
177,7.075472,0.3190073,12,0,0,0,1,11,8,8,1,4,0,0,1,0,0,1,9.692757,9.417682,1.9566342,121,-0.27507496
178,5.15873,-0.4493136,11,0,1,0,0,9,12,9,0,2,1,0,1,0,0,1,9.349703,10.444347,1.6406904,81,1.0946445
179,5.2941175,0.21147159,10,0,1,0,0,16,12,10,0,3,1,0,1,0,0,0,9.692757,9.692757,1.6665963,256,0.0
180,13.996317,2.2729251,12,0,1,0,0,13,12,12,0,2,1,0,1,0,0,0,9.692757,9.692757,2.6387942,169,0.0
181,8.302583,-2.7671394,12,0,0,0,1,14,8,6,0,5,1,0,1,0,0,1,9.692757,9.692757,2.1165667,196,0.0
182,9.4373865,0.5715318,11,0,1,0,0,15,11,12,1,6,0,0,1,0,0,1,9.692757,9.692757,2.244679,225,0.0
183,35.424355,2.3424375,12,0,0,1,0,14,12,12,0,2,1,0,1,0,0,0,9.692757,9.692757,3.5673995,196,0.0
184,15.865385,2.5842566,14,0,1,0,0,10,12,12,0,3,0,0,1,0,0,1,9.692757,9.692757,2.7641397,100,0.0
185,15.951386,1.6599914,12,0,1,0,0,15,12,12,0,3,0,0,1,0,0,0,9.692757,9.692757,2.7695458,225,0.0
186,20.30457,1.9501661,12,0,1,0,0,13,12,12,0,3,0,0,1,0,0,1,9.692757,9.692757,3.010846,169,0.0
187,7.4074073,0.5693632,11,0,1,0,0,9,12,8,1,6,1,0,1,0,0,1,9.349703,10.444347,2.0024805,81,1.0946445
188,20.338984,-1.3107127,12,0,1,0,0,11,13,14,0,3,0,0,1,0,0,1,9.417682,8.826549,3.0125394,121,-0.5911331
189,21.267397,0.035848048,15,0,0,0,1,6,13,14,0,3,1,0,1,0,0,1,8.826549,9.349703,3.0571752,36,0.52315426
190,9.134615,-2.3094435,9,0,1,0,0,13,12,12,0,3,1,0,1,0,0,1,14.070236,13.388583,2.212071,169,-0.681653
191,9.748427,0.8516435,12,0,1,0,0,12,12,12,0,1,1,0,1,0,0,1,18.173916,18.173916,2.277106,144,0.0
192,10.192196,1.4821378,12,0,1,0,0,13,12,14,0,1,1,0,1,0,0,1,18.173916,18.173916,2.3216224,169,0.0
193,4.895561,0.94114447,14,0,1,0,0,10,10,12,0,4,1,0,1,0,0,1,18.173916,18.173916,1.588329,100,0.0
194,15.2091255,5.2754555,15,0,1,0,0,8,12,13,0,2,1,0,1,0,0,1,18.173916,14.070236,2.7218957,64,-4.1036797
195,12.475784,3.9710429,15,0,1,0,0,7,12,13,0,2,1,0,1,0,0,1,14.070236,13.388583,2.5237894,49,-0.681653
196,10.200364,3.9349906,15,0,1,0,0,5,12,13,0,2,1,0,1,0,0,1,13.634975,14.255124,2.3224235,25,0.62014866
197,13.852612,3.0846925,12,0,1,0,0,9,12,11,0,2,1,0,1,0,0,1,13.634975,14.255124,2.6284738,81,0.62014866
198,18.021978,4.32687,15,0,1,0,0,9,11,12,0,2,1,0,1,0,0,0,18.173916,18.173916,2.891592,81,0.0
199,9.32971,1.4493988,12,0,0,0,1,9,12,12,0,4,1,0,1,0,0,1,13.388583,13.634975,2.233204,81,0.24639225
200,9.448819,-1.1713127,12,0,0,0,1,11,11,6,0,5,0,0,1,0,0,1,14.070236,6.446358,2.2458897,121,-7.623878
