,prca,prcw,qtya,qtyw,mon,tues,wed,thurs,speed2,wave2,speed3,wave3,avgprc,totqty,lavgprc,ltotqty,t,lavgp_1,gavgprc,gavgp_1
37,0.95,1.041667,4190,1870,0,0,0,1,15,4.5,15,6.5,0.9782867,6060,-0.02195252,8.709465,38,0.21924506,-0.24119759,-0.25581062
38,0.515625,0.7333333,7420,2235,0,0,0,0,10,5.0,20,4.5,0.5660215,9655,-0.5691232,9.175231,39,-0.02195252,-0.5471707,-0.24119759
39,0.4083333,0.52,6435,1445,0,1,0,0,10,4.5,20,3.0,0.42881024,7880,-0.8467408,8.972083,40,-0.5691232,-0.27761757,-0.5471707
40,0.2666667,0.35,1430,565,0,0,1,0,10,5.0,25,4.5,0.29026738,1995,-1.2369528,7.598399,41,-0.8467408,-0.390212,-0.27761757
41,0.3571429,0.475,1580,1500,0,0,0,1,12,5.0,15,4.5,0.41454083,3080,-0.8805838,8.032685,42,-1.2369528,0.35636896,-0.390212
42,0.4214286,0.54375,4195,1330,0,0,0,0,12,4.0,18,5.0,0.4508743,5525,-0.79656667,8.617039,43,-0.8805838,0.08401716,0.35636896
43,0.4666667,0.575,1020,1200,1,0,0,0,5,4.0,20,4.0,0.5252252,2220,-0.6439281,7.7052627,44,-0.79656667,0.15263855,0.08401716
44,0.4333333,0.5,1220,300,0,1,0,0,10,5.5,10,3.5,0.4464912,1520,-0.80633557,7.3264656,45,-0.6439281,-0.16240746,0.15263855
45,0.7928572,0.8333333,1570,305,0,0,1,0,15,6.0,15,4.0,0.79944134,1875,-0.22384213,7.536364,46,-0.80633557,0.5824934,-0.16240746
46,1.183333,1.227778,550,875,0,0,0,1,15,8.0,25,5.5,1.2106237,1425,0.19113572,7.261927,47,-0.22384213,0.41497785,0.5824934
47,1.33125,1.216667,1140,1340,0,0,0,0,15,8.0,25,6.0,1.2693383,2480,0.23849571,7.816014,48,0.19113572,0.047359988,0.41497785
48,1.133333,1.1125,1040,1935,1,0,0,0,15,6.0,20,4.0,1.1197828,2975,0.11313474,7.997999,49,0.23849571,-0.12536097,0.047359988
49,1.041667,1.064286,410,1300,0,1,0,0,10,4.5,30,6.0,1.0588627,1710,0.057195395,7.4442487,50,0.11313474,-0.055939347,-0.12536097
50,0.773077,0.7681818,4320,2820,0,0,1,0,10,4.5,15,6.0,0.7711436,7140,-0.25988066,8.873468,51,0.057195395,-0.31707606,-0.055939347
51,0.7833334,0.7818182,3440,3420,0,0,0,1,5,4.0,20,4.5,0.78257805,6860,-0.24516162,8.833463,52,-0.25988066,0.014719039,-0.31707606
52,0.5857143,0.6428571,3620,1153,0,0,0,0,5,3.5,20,4.5,0.5995181,4773,-0.5116291,8.470731,53,-0.24516162,-0.26646748,0.014719039
53,0.4125,0.4483333,2800,6800,1,0,0,0,10,5.5,15,3.5,0.43788192,9600,-0.825806,9.169518,54,-0.5116291,-0.31417692,-0.26646748
54,0.6,0.7071428,5940,1300,0,1,0,0,10,3.5,30,5.5,0.6192384,7240,-0.47926497,8.887377,55,-0.825806,0.34654105,-0.31417692
55,0.7722222,0.87,2320,540,0,0,1,0,10,5.0,15,5.5,0.79068375,2860,-0.2348572,7.9585767,56,-0.47926497,0.24440777,0.34654105
56,0.7166667,0.748,3075,2900,0,0,0,1,20,6.5,15,3.5,0.7318745,5975,-0.3121462,8.695339,57,-0.2348572,-0.077288985,0.24440777
57,0.6833333,0.6944444,1120,950,0,0,0,0,25,6.5,25,5.0,0.6884326,2070,-0.3733379,7.635304,58,-0.3121462,-0.061191708,-0.077288985
58,0.6,0.6388889,1560,2980,1,0,0,0,15,3.5,20,6.5,0.6255262,4540,-0.46916208,8.420682,59,-0.3733379,-0.09582418,-0.061191708
59,0.5083333,0.6214285,3380,2690,0,1,0,0,15,4.0,20,4.0,0.5584529,6070,-0.582585,8.711114,60,-0.46916208,-0.1134229,-0.09582418
60,0.9166667,1.0,630,620,0,0,1,0,15,5.0,20,3.5,0.958,1250,-0.042907495,7.130899,61,-0.582585,0.5396775,-0.1134229
61,1.083333,1.15625,1500,1305,0,0,0,1,10,5.0,15,4.0,1.117257,2805,0.110876575,7.939159,62,-0.042907495,0.15378407,0.5396775
62,0.6,0.5954546,1460,3050,0,0,0,0,10,8.0,25,5.0,0.59692603,4510,-0.51596206,8.414052,63,0.110876575,-0.6268386,0.15378407
63,0.7,1.0,335,950,1,0,0,0,5,3.0,18,8.0,0.9217899,1285,-0.081437975,7.158514,64,-0.51596206,0.4345241,-0.6268386
64,0.74,0.775,1420,410,0,1,0,0,5,7.0,20,3.5,0.74784154,1830,-0.29056418,7.512071,65,-0.081437975,-0.2091262,0.4345241
65,0.62,0.675,1530,950,0,0,1,0,15,7.0,10,3.0,0.6410686,2480,-0.44461885,7.816014,66,-0.29056418,-0.15405467,-0.2091262
66,0.6117647,0.6153846,4440,4225,0,0,0,1,10,4.0,25,7.0,0.61352974,8665,-0.48852652,9.067047,67,-0.44461885,-0.043907672,-0.15405467
67,0.8071429,0.8416667,1530,340,0,0,0,0,10,5.0,20,7.0,0.81341994,1870,-0.20650777,7.533694,68,-0.48852652,0.28201875,-0.043907672
68,1.15,1.216667,660,480,1,0,0,0,25,8.0,35,6.5,1.1780703,1140,0.16387777,7.0387836,69,-0.20650777,0.37038553,0.28201875
69,0.9,1.333333,360,690,0,1,0,0,10,6.5,35,8.0,1.1847616,1050,0.16954161,6.9565454,70,0.16387777,0.005663842,0.37038553
70,0.8,0.8416667,3440,830,0,0,1,0,10,4.0,35,8.0,0.80809915,4270,-0.21307051,8.359369,71,0.16954161,-0.3826121,0.005663842
71,0.63125,0.64375,3270,5320,0,0,0,1,10,4.0,15,6.5,0.6389916,8590,-0.44786397,9.058354,72,-0.21307051,-0.23479345,-0.3826121
72,0.5266666,0.5911765,6190,3270,0,0,0,0,10,4.0,15,4.0,0.54896545,9460,-0.59971976,9.154828,73,-0.44786397,-0.1518558,-0.23479345
73,0.65,0.6916667,1482,2550,1,0,0,0,10,4.0,20,4.0,0.6763517,4032,-0.39104202,8.302018,74,-0.59971976,0.20867774,-0.1518558
74,0.75,0.6166667,200,675,0,1,0,0,10,4.0,15,4.0,0.6471429,875,-0.43518817,6.774224,75,-0.39104202,-0.04414615,0.20867774
75,0.5066667,0.5866667,6660,4280,0,0,1,0,10,3.0,20,4.0,0.5379647,10940,-0.61996233,9.300181,76,-0.43518817,-0.18477416,-0.04414615
76,0.65625,0.723,1400,1725,0,0,0,1,10,3.0,15,4.0,0.693096,3125,-0.36658677,8.04719,77,-0.61996233,0.25337556,-0.18477416
77,0.645,0.7571428,3480,990,0,0,0,0,10,3.0,15,3.0,0.669837,4470,-0.4007209,8.405144,78,-0.36658677,-0.03413412,0.25337556
78,0.68125,0.795,2960,1560,1,0,0,0,15,3.5,15,3.0,0.7205088,4520,-0.32779762,8.416267,79,-0.4007209,0.07292327,-0.03413412
79,0.65,0.7357143,930,680,0,1,0,0,15,4.0,25,3.0,0.6862023,1610,-0.3765828,7.3839893,80,-0.32779762,-0.04878518,0.07292327
80,0.6,0.925,190,180,0,0,1,0,5,4.0,25,3.5,0.75810814,370,-0.27692923,5.913503,81,-0.3765828,0.09965357,-0.04878518
81,0.71875,0.75,4820,2350,0,0,0,1,5,3.0,25,4.0,0.72899234,7170,-0.31609204,8.877661,82,-0.27692923,-0.039162815,0.09965357
82,0.7807692,0.81875,4750,890,0,0,0,0,10,4.0,10,4.0,0.78676265,5640,-0.23982866,8.637639,83,-0.31609204,0.07626338,-0.039162815
83,0.7475,0.7555556,4600,1260,0,1,0,0,10,4.0,15,4.0,0.7492321,5860,-0.28870645,8.675905,84,-0.23982866,-0.04887779,0.07626338
84,0.855,0.9363636,1620,1330,0,0,1,0,10,3.0,15,4.0,0.89168257,2950,-0.11464508,7.9895606,85,-0.28870645,0.17406137,-0.04887779
85,0.8533334,0.8657143,3330,2520,0,0,0,1,10,5.0,15,4.0,0.8586667,5850,-0.15237442,8.674197,86,-0.11464508,-0.037729338,0.17406137
86,0.5807692,0.6692308,9120,1660,0,0,0,0,10,5.0,15,3.0,0.5943913,10780,-0.5202174,9.285448,87,-0.15237442,-0.367843,-0.037729338
87,0.60625,0.66,1620,1440,1,0,0,0,10,3.5,18,3.0,0.6315441,3060,-0.45958748,8.02617,88,-0.5202174,0.060629934,-0.367843
88,0.5333334,0.6055555,1260,1260,0,1,0,0,10,3.0,15,3.5,0.5694444,2520,-0.5630941,7.832014,89,-0.45958748,-0.103506595,0.060629934
89,0.4333333,0.5166667,3420,970,0,0,1,0,10,3.0,15,3.5,0.45174637,4390,-0.7946344,8.387085,90,-0.5630941,-0.23154032,-0.103506595
90,0.38,0.475,4890,2050,0,0,0,1,10,3.0,15,3.0,0.40806195,6940,-0.89633626,8.8450575,91,-0.7946344,-0.101701856,-0.23154032
91,0.3088235,0.3375,5700,900,0,0,0,0,10,3.5,15,3.0,0.31273392,6600,-1.1624025,8.794825,92,-0.89633626,-0.26606625,-0.101701856
92,0.3208333,0.64375,2290,1160,1,0,0,0,15,4.5,15,3.5,0.4294082,3450,-0.8453473,8.14613,93,-1.1624025,0.31705523,-0.26606625
93,0.875,0.9333333,540,690,0,1,0,0,12,4.5,25,4.0,0.90772355,1230,-0.096815415,7.1147695,94,-0.8453473,0.7485319,0.31705523
94,1.235714,1.25,1000,250,0,0,1,0,12,5.0,25,4.5,1.2385712,1250,0.21395843,7.130899,95,-0.096815415,0.31077385,0.7485319
95,1.25,1.25,2500,1480,0,0,0,1,15,6.0,18,4.5,1.25,3980,0.22314355,8.289037,96,0.21395843,0.00918512,0.31077385
96,1.73,1.708333,3040,740,0,0,0,0,15,9.0,20,5.0,1.7257583,3780,0.5456666,8.237479,97,0.22314355,0.32252303,0.00918512
