,distid,intid,lunch,enrol,ptr,found,expp,revpp,avgsal,drop,grad,math4,math7,choice,psa,year,staff,avgben,y92,y93,y94,y95,y96,y97,y98,lexpp,lfound,lexpp_1,lfnd_1,lenrol,lenrolsq,lunchsq,lfndsq,math4_1,cmath4,gexpp,gexpp_1,gfound,gfnd_1,clunch,clnchsq,genrol,genrolsq,expp92,lexpp92,math4_92,cpi,rexpp,lrexpp,lrexpp_1,grexpp,grexpp_1
16,2020.0,52,50.0,78.0,,,7412,,14548.0,0.0,100.0,100.0,71.4,,,1994,333.3,5059.0,0,0,1,0,0,0,0,8.910855,,8.935904,,4.356709,18.980913,2500.0,,37.5,62.5,-0.025048256,0.17513657,,,-9.200001,-1004.64014,0.025975704,0.22566223,6379.0,8.760767,20.0,1.482,8027.166,8.990587,9.040918,-0.050331116,0.14564037
17,2020.0,52,51.22,82.0,9.9,8588.0,8041,9286.0,25158.0,8.7,65.6,57.1,16.7,,0.0,1995,,,0,0,0,1,0,0,0,8.992309,9.058121,8.910855,,4.406719,19.419174,2623.4885,82.04955,100.0,-42.9,0.08145332,-0.025048256,,,1.2200012,123.488525,0.050010204,0.43826103,6379.0,8.760767,20.0,1.524,8468.376,9.044094,8.990587,0.05350685,-0.050331116
18,2020.0,52,62.5,81.0,9.5,8741.0,9102,10033.0,27747.0,0.0,100.0,50.0,33.3,,0.0,1996,,,0,0,0,0,1,0,0,9.116249,9.07578,8.992309,9.058121,4.394449,19.311184,3906.25,82.36978,57.1,-7.0999985,0.12394047,0.08145332,0.017659187,,11.279999,1282.7615,-0.012269974,-0.107990265,6379.0,8.760767,20.0,1.569,9310.841,9.138935,9.044094,0.094841,0.05350685
19,2020.0,52,48.81,84.0,10.0,8896.0,9942,10026.0,31356.0,6.6,81.8,40.0,0.0,0.0,,1997,,,0,0,0,0,0,1,0,9.204523,9.093357,9.116249,9.07578,4.4308167,19.632135,2382.4163,82.68914,50.0,-10.0,0.088274,0.12394047,0.017577171,0.017659187,-13.689999,-1523.8337,0.036367416,0.32095146,6379.0,8.760767,20.0,1.605,9942.0,9.204523,9.138935,0.065588,0.094841
20,2020.0,52,56.41,76.0,10.4,9050.0,10539,10934.0,29059.0,6.0,80.0,50.0,83.0,0.0,,1998,,,0,0,0,0,0,0,1,9.262838,9.11052,9.204523,9.093357,4.3307333,18.75525,3182.0881,83.00158,40.0,10.0,0.058315277,0.088274,0.017163277,0.017577171,7.5999985,799.6719,-0.10008335,-0.87688446,6379.0,8.760767,20.0,1.63,10377.359,9.247382,9.204523,0.042859077,0.065588
21,2070.0,52,23.6,1051.0,,,3631,,28252.0,6.0,78.7,45.2,47.7,,,1992,92.1,6048.0,1,0,0,0,0,0,0,8.197264,,,,6.9574976,48.406773,556.96,,,,,,,,,,,,,,,1.403,4153.7812,8.331775,,,
22,2070.0,52,24.0,1112.0,,,3561,,29101.0,-13.5,166.8,32.9,41.0,,,1993,88.9,6556.0,0,1,0,0,0,0,0,8.177796,,8.197264,,7.0139155,49.19501,576.0,,45.2,-12.299999,-0.019467354,,,,0.39999962,19.039978,0.056417942,0.7882385,3631.0,8.197264,45.2,1.445,3955.2974,8.282811,8.331775,-0.048963547,
23,2070.0,52,25.3,1106.0,,,3776,,25093.0,4.4,84.0,54.2,54.5,,,1994,103.7,7544.0,0,0,1,0,0,0,0,8.236421,,8.177796,,7.0085053,49.11915,640.08997,,32.9,21.3,0.058624268,-0.019467354,,,1.2999992,64.089966,-0.0054101944,-0.075862885,3631.0,8.197264,45.2,1.482,4089.3928,8.316152,8.282811,0.033340454,-0.048963547
24,2070.0,52,28.85,1133.0,21.9,4200.0,4312,5194.0,33146.0,0.0,100.0,63.2,63.0,,0.0,1995,,,0,0,0,1,0,0,0,8.369157,8.34284,8.236421,,7.0326242,49.457806,832.3225,69.60298,54.2,9.0,0.1327362,0.058624268,,,3.5500011,192.23254,0.0241189,0.33865738,3631.0,8.197264,45.2,1.524,4541.181,8.420942,8.316152,0.10479069,0.033340454
25,2070.0,52,24.93,1136.0,20.9,4506.0,4659,5533.0,33439.0,2.93,88.3,73.9,79.6,,0.0,1996,,,0,0,0,0,1,0,0,8.446556,8.413165,8.369157,8.34284,7.035269,49.495007,621.50494,70.78135,63.2,10.700001,0.077399254,0.1327362,0.0703249,,-3.92,-210.81757,0.0026445389,0.037200928,3631.0,8.197264,45.2,1.569,4765.8984,8.469241,8.420942,0.048298836,0.10479069
26,2070.0,52,26.71,1140.0,20.8,4816.0,4863,5825.0,34935.0,1.9,93.0,63.0,80.0,4.0,,1997,,,0,0,0,0,0,1,0,8.48941,8.479699,8.446556,8.413165,7.0387836,49.544476,713.4241,71.9053,73.9,-10.900002,0.04285431,0.077399254,0.06653404,0.0703249,1.7799988,91.91913,0.0035147667,0.049468994,3631.0,8.197264,45.2,1.605,4863.0,8.48941,8.469241,0.020169258,0.048298836
27,2070.0,52,28.13,1102.0,19.3,5170.0,5112,6185.0,34802.0,1.8,92.5,84.0,72.0,6.0,,1998,,,0,0,0,0,0,0,1,8.539346,8.550628,8.48941,8.479699,7.004882,49.06837,791.2969,73.113235,63.0,21.0,0.04993534,0.04285431,0.07092857,0.06653404,1.4200001,77.8728,-0.03390169,-0.47610474,3631.0,8.197264,45.2,1.63,5033.595,8.52389,8.48941,0.03447914,0.020169258
28,2080.0,52,34.2,489.0,,,3992,,23236.0,3.0,89.5,23.1,19.4,,,1992,114.3,5940.0,1,0,0,0,0,0,0,8.2920475,,,,6.1923623,38.345352,1169.64,,,,,,,,,,,,,,,1.403,4566.757,8.4265585,,,
29,2080.0,52,40.8,481.0,,,4520,,25817.0,3.6,85.5,48.6,21.1,,,1993,121.3,6724.0,0,1,0,0,0,0,0,8.416267,,8.2920475,,6.175867,38.141335,1664.6399,,23.1,25.499998,0.124219894,,,,6.5999985,494.99988,-0.016495228,-0.20401764,3992.0,8.2920475,23.1,1.445,5020.4844,8.521281,8.4265585,0.09472275,
30,2080.0,52,40.7,469.0,,,5267,,25518.0,2.4,91.1,31.0,32.4,,,1994,130.4,9919.0,0,0,1,0,0,0,0,8.569216,,8.416267,,6.150603,37.829914,1656.4901,,48.6,-17.599998,0.15294838,0.124219894,,,-0.099998474,-8.14978,-0.025264263,-0.31142044,3992.0,8.2920475,23.1,1.482,5704.1396,8.648948,8.521281,0.12766647,0.09472275
31,2080.0,52,40.17,457.0,17.4,4824.0,6148,6821.0,29545.0,0.61,97.6,50.0,47.7,,0.0,1995,,,0,0,0,1,0,0,0,8.723882,8.481359,8.569216,,6.1246834,37.511745,1613.6288,71.93344,31.0,19.0,0.15466595,0.15294838,,,-0.5300026,-42.86133,-0.025919437,-0.31816864,3992.0,8.2920475,23.1,1.524,6474.7637,8.775667,8.648948,0.12671947,0.12766647
32,2080.0,52,36.63,447.0,19.0,5063.0,6224,6908.0,32930.0,0.0,,57.1,69.7,,0.0,1996,,,0,0,0,0,1,0,0,8.736168,8.529715,8.723882,8.481359,6.1025586,37.241222,1341.757,72.75603,50.0,7.0999985,0.012286186,0.15466595,0.048356056,,-3.539997,-271.87183,-0.022124767,-0.27052307,3992.0,8.2920475,23.1,1.569,6366.8066,8.758853,8.775667,-0.016814232,0.12671947
33,2080.0,52,39.95,432.0,18.2,5300.0,6806,7196.0,34552.0,0.0,100.0,50.0,47.0,11.0,,1997,,,0,0,0,0,0,1,0,8.82556,8.575462,8.736168,8.529715,6.0684257,36.82579,1596.0026,73.53855,57.1,-7.0999985,0.08939171,0.012286186,0.045747757,0.048356056,3.3199997,254.2456,-0.034132957,-0.41543198,3992.0,8.2920475,23.1,1.605,6806.0,8.82556,8.758853,0.06670666,-0.016814232
34,2080.0,52,38.94,434.0,17.7,5462.0,6344,6854.0,34765.0,0.6,97.2,87.0,60.0,15.0,,1998,,,0,0,0,0,0,0,1,8.755265,8.60557,8.82556,8.575462,6.0730443,36.881866,1516.3235,74.05583,50.0,37.0,-0.07029438,0.08939171,0.030107498,0.045747757,-1.0100021,-79.67908,0.0046186447,0.05607605,3992.0,8.2920475,23.1,1.63,6246.699,8.739808,8.82556,-0.08575153,0.06670666
35,3000.0,3,18.7,1830.0,,,3469,,25940.0,5.5,79.5,44.6,25.8,,,1992,99.5,3702.0,1,0,0,0,0,0,0,8.151622,,,,7.512071,56.431213,349.69003,,,,,,,,,,,,,,,1.403,3968.4568,8.286133,,,
36,3000.0,3,19.7,1842.0,,,3706,,26496.0,4.0,85.6,37.5,31.3,,,1993,104.0,4651.0,0,1,0,0,0,0,0,8.217709,,8.151622,,7.518607,56.529453,388.09003,,44.6,-7.0999985,0.06608677,,,,1.0,38.399994,0.006536007,0.0982399,3469.0,8.151622,44.6,1.445,4116.353,8.322722,8.286133,0.036589622,
37,3000.0,3,19.5,1872.0,,,4081,,50709.0,4.7,82.7,55.7,41.6,,,1994,77.0,12631.0,0,0,1,0,0,0,0,8.314097,,8.217709,,7.534763,56.77265,380.25,,37.5,18.2,0.09638882,0.06608677,,,-0.20000076,-7.840027,0.01615572,0.2431984,3469.0,8.151622,44.6,1.482,4419.7065,8.393828,8.322722,0.07110596,0.036589622
38,3000.0,3,21.41,1822.0,22.0,4500.0,4960,5360.0,38881.0,5.82,79.1,58.8,45.7,,0.0,1995,,,0,0,0,1,0,0,0,8.509161,8.411833,8.314097,,7.50769,56.36541,458.3881,70.758934,55.7,3.0999985,0.19506359,0.09638882,,,1.9099998,78.13809,-0.027072906,-0.40724182,3469.0,8.151622,44.6,1.524,5223.622,8.560946,8.393828,0.16711807,0.07110596
39,3000.0,3,21.1,1845.0,22.0,4776.0,5162,5655.0,39429.0,5.47,78.8,65.0,54.5,,0.0,1996,,,0,0,0,0,1,0,0,8.549079,8.471358,8.509161,8.411833,7.5202346,56.55393,445.21002,71.76391,58.8,6.200001,0.039917946,0.19506359,0.05952549,,-0.30999947,-13.17807,0.012544632,0.18851852,3469.0,8.151622,44.6,1.569,5280.44,8.571765,8.560946,0.010818481,0.16711807
40,3000.0,3,20.92,425.0,22.5,0.0,3768,0.0,42015.0,,,62.0,54.0,0.0,0.0,1997,,,0,0,0,0,0,1,0,8.2343,,8.549079,8.471358,6.052089,36.627785,437.6464,,65.0,-3.0,-0.31477928,0.039917946,,0.05952549,-0.1800003,-7.563629,-1.4681454,-19.926144,3469.0,8.151622,44.6,1.605,3768.0,8.2343,8.571765,-0.3374653,0.010818481
41,3000.0,3,21.17,1691.0,21.1,5321.0,5626,6177.0,40934.0,4.4,83.4,75.0,60.0,16.0,58.0,1998,,,0,0,0,0,0,0,1,8.635154,8.579416,8.2343,,7.4330754,55.25061,448.1689,73.606384,62.0,13.0,0.4008541,-0.31477928,,,0.25,10.522522,1.3809862,18.622826,3469.0,8.151622,44.6,1.63,5539.712,8.619698,8.2343,0.3853979,-0.3374653
42,3010.0,3,13.4,2702.0,,,3754,,24700.0,5.5,79.4,36.6,30.8,,,1992,113.8,4225.0,1,0,0,0,0,0,0,8.230577,,,,7.9017477,62.43762,179.55998,,,,,,,,,,,,,,,1.403,4294.49,8.365088,,,
43,3010.0,3,12.9,2656.0,,,4162,,27469.0,0.6,97.3,41.3,40.4,,,1993,113.0,4803.0,0,1,0,0,0,0,0,8.333751,,8.230577,,7.8845763,62.166542,166.40999,,36.6,4.700001,0.103173256,,,,-0.5,-13.149994,-0.017171383,-0.2710762,3754.0,8.230577,36.6,1.445,4622.844,8.438766,8.365088,0.07367706,
44,3010.0,3,13.0,2715.0,,,4460,,30110.0,3.1,89.0,60.5,51.6,,,1994,104.2,8077.0,0,0,1,0,0,0,0,8.4029045,,8.333751,,7.906547,62.513485,169.0,,41.3,19.2,0.069153786,0.103173256,,,0.10000038,2.5900116,0.021970749,0.3469429,3754.0,8.230577,36.6,1.482,4830.162,8.4826355,8.438766,0.043869972,0.07367706
45,3010.0,3,15.96,2551.0,20.3,4794.0,5344,5805.0,40275.0,4.3,82.5,61.9,56.0,,0.0,1995,,,0,0,0,1,0,0,0,8.58373,8.475121,8.4029045,,7.8442407,61.532112,254.7216,71.82767,60.5,1.4000015,0.18082523,0.069153786,,,2.96,85.7216,-0.062306404,-0.98137283,3754.0,8.230577,36.6,1.524,5628.0312,8.635515,8.4826355,0.15287971,0.043869972
46,3010.0,3,16.02,2622.0,21.6,5036.0,5532,6139.0,42989.0,5.2,79.8,70.4,61.5,,0.0,1996,,,0,0,0,0,1,0,0,8.618304,8.524367,8.58373,8.475121,7.8716927,61.963547,256.6404,72.66484,61.9,8.5,0.03457451,0.18082523,0.049246788,,0.06000042,1.918808,0.027451992,0.43143463,3754.0,8.230577,36.6,1.569,5658.929,8.64099,8.635515,0.0054750443,0.15287971
47,3010.0,3,16.19,2702.0,21.5,5277.0,5597,6063.0,42753.0,2.6,89.1,61.0,54.0,0.0,,1997,,,0,0,0,0,0,1,0,8.629986,8.571113,8.618304,8.524367,7.9017477,62.43762,262.11612,73.463974,70.4,-9.400002,0.011681557,0.03457451,0.0467453,0.049246788,0.17000008,5.475708,0.030055046,0.4740715,3754.0,8.230577,36.6,1.605,5597.0,8.629986,8.64099,-0.011004448,0.0054750443
48,3010.0,3,15.77,2746.0,19.5,5462.0,5577,6127.0,39575.0,1.7,92.8,72.0,67.0,19.0,,1998,,,0,0,0,0,0,0,1,8.626407,8.60557,8.629986,8.571113,7.9179006,62.69315,248.69292,74.05583,61.0,11.0,-0.0035791397,0.011681557,0.034457207,0.0467453,-0.42000008,-13.4232025,0.016152859,0.2555313,3754.0,8.230577,36.6,1.63,5491.4634,8.61095,8.629986,-0.01903534,-0.011004448
49,3020.0,3,19.8,2456.0,,,3398,,28958.0,2.8,89.2,46.7,42.7,,,1992,87.2,4534.0,1,0,0,0,0,0,0,8.130942,,,,7.806289,60.938152,392.03998,,,,,,,,,,,,,,,1.403,3887.2346,8.265453,,,
50,3020.0,3,20.1,2403.0,,,3639,,31371.0,0.0,100.9,44.5,41.8,,,1993,88.3,5109.0,0,1,0,0,0,0,0,8.199464,,8.130942,,7.7844734,60.598026,404.01,,46.7,-2.2000008,0.0685215,,,,0.30000114,11.970032,-0.021815777,-0.34012604,3398.0,8.130942,46.7,1.445,4041.934,8.304479,8.265453,0.039025307,
51,3020.0,3,20.3,2459.0,,,3954,,29201.0,8.3,71.9,59.6,53.2,,,1994,97.8,6958.0,0,0,1,0,0,0,0,8.282483,,8.199464,,7.80751,60.95721,412.08997,,44.5,15.099998,0.08301926,0.0685215,,,0.19999886,8.079956,0.02303648,0.35918427,3398.0,8.130942,46.7,1.482,4282.166,8.362214,8.304479,0.057735443,0.039025307
52,3020.0,3,20.26,2434.0,24.8,4274.0,4591,5012.0,40442.0,9.58,68.4,64.6,55.9,,0.0,1995,,,0,0,0,1,0,0,0,8.431853,8.360306,8.282483,,7.7972913,60.797752,410.46762,69.894714,59.6,5.0,0.1493702,0.08301926,,,-0.03999901,-1.622345,-0.01021862,-0.15945816,3398.0,8.130942,46.7,1.524,4835.01,8.483639,8.362214,0.121424675,0.057735443
53,3020.0,3,19.41,2428.0,22.4,4572.0,4777,5616.0,39643.0,1.96,91.2,72.5,60.0,,0.0,1996,,,0,0,0,0,1,0,0,8.471568,8.427706,8.431853,8.360306,7.794823,60.75927,376.7481,71.02622,64.6,7.9000015,0.039714813,0.1493702,0.06739998,,-0.8500004,-33.719513,-0.0024681091,-0.038482666,3398.0,8.130942,46.7,1.569,4886.606,8.494253,8.483639,0.010614395,0.121424675
54,3020.0,3,19.46,2442.0,22.3,4873.0,5157,5829.0,43367.0,3.9,85.7,75.0,70.0,0.0,,1997,,,0,0,0,0,0,1,0,8.54811,8.491465,8.471568,8.427706,7.800573,60.848938,378.69156,72.10497,72.5,2.5,0.0765419,0.039714813,0.06375885,0.06739998,0.049999237,1.9434509,0.0057497025,0.089668274,3398.0,8.130942,46.7,1.605,5157.0,8.54811,8.494253,0.05385685,0.010614395
55,3020.0,3,19.88,2425.0,21.4,5172.0,5305,5973.0,42668.0,3.2,88.3,84.0,65.0,2.0,,1998,,,0,0,0,0,0,0,1,8.576406,8.551015,8.54811,8.491465,7.7935867,60.739994,395.21436,73.11986,75.0,9.0,0.028295517,0.0765419,0.059550285,0.06375885,0.42000008,16.522797,-0.006986141,-0.10894394,3398.0,8.130942,46.7,1.63,5223.635,8.560948,8.54811,0.012838364,0.05385685
56,3030.0,3,21.5,2881.0,,,3497,,27970.0,9.4,65.5,39.2,25.9,,,1992,94.9,4753.0,1,0,0,0,0,0,0,8.15966,,,,7.965893,63.45545,462.25,,,,,,,,,,,,,,,1.403,4000.4883,8.294171,,,
57,3030.0,3,20.9,3016.0,,,3555,,28426.0,7.4,73.6,35.5,20.5,,,1993,94.5,5130.0,0,1,0,0,0,0,0,8.17611,,8.15966,,8.011686,64.18712,436.81,,39.2,-3.7000008,0.016449928,,,,-0.6000004,-25.440002,0.045793533,0.7316704,3497.0,8.15966,39.2,1.445,3948.633,8.281125,8.294171,-0.013046265,
58,3030.0,3,21.8,3031.0,,,3893,,76412.0,3.3,87.6,59.7,34.3,,,1994,37.1,18754.0,0,0,1,0,0,0,0,8.266935,,8.17611,,8.016648,64.26665,475.23996,,35.5,24.2,0.09082508,0.016449928,,,0.8999996,38.429962,0.0049619675,0.07952881,3497.0,8.15966,39.2,1.482,4216.103,8.346666,8.281125,0.06554127,-0.013046265
59,3030.0,3,22.16,2922.0,22.1,4200.0,4599,4993.0,38823.0,6.01,78.5,58.7,38.8,,0.0,1995,,,0,0,0,1,0,0,0,8.433594,8.34284,8.266935,,7.9800234,63.680775,491.06558,69.60298,59.7,-1.0,0.1666584,0.09082508,,,0.3600006,15.825623,-0.03662491,-0.58587265,3497.0,8.15966,39.2,1.524,4843.435,8.485379,8.346666,0.13871288,0.06554127
60,3030.0,3,22.21,2930.0,22.6,4506.0,5041,5340.0,40606.0,11.69,62.1,58.3,57.1,,0.0,1996,,,0,0,0,0,1,0,0,8.52536,8.413165,8.433594,8.34284,7.9827576,63.72442,493.28406,70.78135,58.7,-0.40000153,0.09176636,0.1666584,0.0703249,,0.049999237,2.2184753,0.0027341843,0.04364395,3497.0,8.15966,39.2,1.569,5156.6636,8.548045,8.485379,0.06266594,0.13871288
61,3030.0,3,24.31,2977.0,24.0,4816.0,5223,5702.0,44048.0,6.7,74.6,57.0,52.0,0.0,,1997,,,0,0,0,0,0,1,0,8.560827,8.479699,8.52536,8.413165,7.9986715,63.978745,590.9761,71.9053,58.3,-1.2999992,0.035467148,0.09176636,0.06653404,0.0703249,2.1000004,97.69202,0.015913963,0.25432587,3497.0,8.15966,39.2,1.605,5223.0,8.560827,8.548045,0.012782097,0.06266594
62,3030.0,3,22.73,2999.0,21.9,5170.0,5580,6080.0,42701.0,2.9,89.3,70.0,61.0,26.0,,1998,,,0,0,0,0,0,0,1,8.626944,8.550628,8.560827,8.479699,8.006034,64.09658,516.6529,73.113235,57.0,13.0,0.06611633,0.035467148,0.07092857,0.06653404,-1.5799999,-74.32318,0.0073623657,0.117836,3497.0,8.15966,39.2,1.63,5494.417,8.611487,8.560827,0.050660133,0.012782097
63,3040.0,3,19.5,2719.0,,,3679,,22749.0,1.6,93.7,42.1,26.0,,,1992,116.8,4004.0,1,0,0,0,0,0,0,8.210396,,,,7.9080195,62.536774,380.25,,,,,,,,,,,,,,,1.403,4208.692,8.344907,,,
64,3040.0,3,20.0,2786.0,,,3895,,24346.0,1.6,93.7,45.9,31.1,,,1993,116.5,4326.0,0,1,0,0,0,0,0,8.267449,,8.210396,,7.932362,62.922367,400.0,,42.1,3.800003,0.057053566,,,,0.5,19.75,0.024342537,0.3855934,3679.0,8.210396,42.1,1.445,4326.2803,8.372463,8.344907,0.02755642,
65,3040.0,3,19.9,2849.0,,,4483,,38227.0,2.5,89.3,56.7,43.2,,,1994,81.2,9380.0,0,0,1,0,0,0,0,8.408048,,8.267449,,7.9547234,63.277622,396.00998,,45.9,10.799999,0.1405983,0.057053566,,,-0.10000038,-3.9900208,0.022361279,0.35525513,3679.0,8.210396,42.1,1.482,4855.071,8.487779,8.372463,0.11531544,0.02755642
66,3040.0,3,17.72,2892.0,22.0,4606.0,5109,5452.0,37693.0,7.16,73.1,62.1,45.9,,0.0,1995,,,0,0,0,1,0,0,0,8.538759,8.435115,8.408048,,7.9697037,63.51618,313.99838,71.15116,56.7,5.3999977,0.13071156,0.1405983,,,-2.1800003,-82.0116,0.014980316,0.23855591,3679.0,8.210396,42.1,1.524,5380.541,8.590544,8.487779,0.10276508,0.11531544
67,3040.0,3,18.72,3004.0,22.3,4868.0,5122,5534.0,36614.0,1.14,92.3,78.0,53.7,,0.0,1996,,,0,0,0,0,1,0,0,8.5413,8.490438,8.538759,8.435115,8.0077,64.12326,350.4384,72.08755,62.1,15.900002,0.0025405884,0.13071156,0.0553236,,1.0,36.440002,0.037996292,0.60708237,3679.0,8.210396,42.1,1.569,5239.522,8.563986,8.590544,-0.026557922,0.10276508
