,inlf,hours,kidslt6,kidsge6,age,educ,wage,repwage,hushrs,husage,huseduc,huswage,faminc,mtr,motheduc,fatheduc,unem,city,exper,nwifeinc,lwage,expersq
27,1,1904,0,3,32,12,4.7269,6.07,2000,33,13,8.5,26000.0,0.6615,3,7,11.0,1,9,16.999983,1.5532696,81
28,1,1516,1,0,31,17,7.2559,6.0,2390,30,17,6.2762,26100.0,0.6215,12,12,5.0,0,7,15.100056,1.9818149,49
29,1,346,0,0,42,12,5.8671,6.39,1920,47,10,5.2083,17730.0,0.7215,12,12,9.5,0,7,15.699984,1.7693604,49
30,1,1040,0,0,50,11,1.5385,0.0,1840,53,10,2.7821,6719.0,0.7515,7,7,7.5,1,32,5.11896,0.4308079,1024
31,1,732,0,0,59,16,2.459,2.5,3360,57,17,4.9107,18550.0,0.6915,3,3,14.0,1,11,16.750011,0.8997548,121
32,1,1880,0,2,36,13,5.8511,5.2,2284,35,13,5.8669,24600.0,0.6615,12,10,7.5,0,16,13.599932,1.7666297,256
33,1,1680,0,1,51,12,3.5714,3.29,1875,50,8,7.52,23100.0,0.6915,7,14,5.0,1,14,17.100048,1.2729577,196
34,1,2081,0,3,45,16,3.8068,4.19,2140,47,17,7.5449,24656.0,0.6615,12,12,5.0,1,27,16.734049,1.3367889,729
35,1,690,0,1,42,11,2.4638,0.0,1896,44,8,5.538,15897.0,0.7515,10,3,7.5,0,0,14.196978,0.90170485,0
36,1,4210,0,0,46,12,2.3753,4.63,1040,49,16,6.9231,20320.0,0.6915,3,3,11.0,1,17,10.319987,0.8651237,289
37,1,2205,0,1,46,10,4.5351,4.55,2200,52,12,5.0,21384.0,0.6615,10,3,11.0,0,28,11.384105,1.5118471,784
38,1,1952,0,0,51,14,5.6183,5.6,1952,58,12,7.3064,25561.0,0.6215,7,7,14.0,0,24,14.594078,1.7260292,576
39,1,1302,0,0,30,17,14.631,9.53,1560,30,17,11.218,36550.0,0.58,14,17,5.0,1,11,17.500439,2.6831424,121
40,1,112,1,2,30,12,2.6786,0.0,4030,33,16,3.8462,15810.0,0.7215,12,12,3.0,0,1,15.509996,0.9852943,1
41,1,893,0,0,57,12,3.9194,3.5,2570,58,12,5.8366,25500.0,0.6215,9,9,7.5,1,14,21.999975,1.3659385,196
42,1,583,1,2,31,16,2.5729,9.98,1530,34,16,13.725,24000.0,0.6615,14,16,9.5,1,6,22.5,0.94503367,36
43,1,480,0,2,48,12,4.5375,4.65,3149,48,8,6.3493,22172.0,0.6615,3,3,5.0,0,10,19.994,1.5123762,100
44,1,1900,0,3,30,12,2.0,2.23,2690,32,12,5.2528,17930.0,0.7215,12,7,5.0,0,6,14.13,0.6931472,36
45,1,576,0,2,34,12,3.4722,3.84,3096,33,12,1.3075,7000.0,0.7815,12,7,3.0,0,4,5.000013,1.2447884,16
46,1,2056,0,2,48,16,2.0161,0.0,2552,53,16,2.7998,25300.0,0.7215,14,16,5.0,1,10,21.154898,0.7011649,100
47,1,1984,0,0,45,12,4.5716,4.82,2040,47,11,2.6961,16212.0,0.7215,10,10,11.0,0,22,7.141946,1.5198632,484
48,1,2640,0,0,51,12,2.2727,0.0,2180,50,13,7.5688,22650.0,0.6615,7,7,3.0,0,16,16.650072,0.82096857,256
49,1,240,0,2,30,12,2.6375,0.0,1864,37,12,3.4077,6985.0,0.7815,12,7,14.0,0,6,6.3519998,0.9698315,36
50,1,1173,0,1,46,12,2.2899,2.5,2068,46,12,6.5401,30000.0,0.6915,7,7,11.0,1,12,27.313948,0.8285082,144
51,1,3640,0,0,58,12,1.0989,0.0,2010,58,12,7.2139,18500.0,0.6915,7,3,9.5,1,32,14.500004,0.09430964,1024
52,1,340,0,8,37,12,1.1765,0.0,2152,40,10,6.2732,16658.0,0.7515,12,7,5.0,0,15,16.25799,0.1625439,225
53,1,500,0,0,52,8,1.6,0.0,1496,54,11,5.8824,10300.0,0.7515,7,7,5.0,1,17,9.5,0.47000363,289
54,1,1599,0,0,52,10,1.8762,2.8,2100,47,4,3.8095,11000.0,0.7515,7,3,7.5,0,34,7.999956,0.62924844,1156
55,1,1830,0,0,31,16,4.0437,4.2,1960,35,14,6.3776,19900.0,0.6915,12,12,7.5,1,9,12.500029,1.3971602,81
56,1,1920,0,0,55,14,9.6354,8.75,1985,55,15,6.0453,32500.0,0.64,7,7,14.0,1,37,14.000032,2.2654438,1369
57,1,2052,0,0,34,17,8.0409,8.25,2020,33,17,8.8119,37300.0,0.58,17,17,7.5,1,10,20.800074,2.084541,100
58,1,2312,0,0,55,14,4.599,5.58,2178,56,16,8.8765,30018.0,0.5815,17,7,11.0,1,35,19.385113,1.5258389,1225
59,1,196,0,2,39,12,2.1429,2.5,3684,39,12,3.342,12807.0,0.7515,12,7,14.0,1,6,12.3869915,0.76216006,36
60,1,2500,0,3,40,14,4.4,5.5,5010,42,13,3.1836,39500.0,0.5515,14,3,7.5,0,19,28.5,1.4816046,361
61,1,1980,0,4,43,12,3.5354,3.75,1880,47,12,6.9149,22050.0,0.6915,12,12,9.5,1,10,15.049909,1.2628264,100
62,1,1840,0,0,48,8,2.7174,4.8,1904,56,8,5.5147,15500.0,0.7215,7,7,14.0,1,11,10.499984,0.9996756,121
63,1,320,0,0,47,12,6.25,6.25,2083,47,12,5.2808,13810.0,0.7215,7,7,9.5,1,15,11.81,1.8325815,225
64,1,419,0,4,41,12,11.933,6.3,2125,44,12,3.2,11950.0,0.7515,7,7,5.0,1,12,6.9500732,2.4793077,144
65,1,1880,0,0,36,8,3.5931,3.75,1985,37,12,5.8791,19175.0,0.6915,12,12,7.5,0,12,12.419971,1.2790153,144
66,1,72,0,2,46,17,6.9444,0.0,2640,48,17,6.25,17900.0,0.6915,12,16,7.5,0,14,17.400003,1.9379356,196
67,1,120,0,0,34,12,2.9167,0.0,2070,51,8,7.4879,15850.0,0.7215,12,7,5.0,1,11,15.499996,1.0704528,121
68,1,1885,0,3,41,12,3.0769,2.9,2107,48,8,6.9767,27017.0,0.6915,7,7,5.0,1,9,21.217043,1.1239226,81
69,1,240,0,1,51,12,3.75,0.0,2250,54,10,8.0,18900.0,0.6915,12,7,5.0,0,24,18.0,1.3217559,576
70,1,1729,0,0,33,12,5.7259,4.76,2880,34,16,4.1319,21800.0,0.6915,12,12,7.5,1,12,11.899919,1.7449998,144
71,1,1850,0,0,52,12,3.6757,3.4,1848,53,12,14.476,33552.0,0.5515,10,10,7.5,1,13,26.751955,1.3017436,169
72,1,2033,0,0,58,9,5.1648,4.32,1927,53,7,5.7343,22650.0,0.6615,7,9,7.5,1,29,12.149961,1.6418664,841
73,1,608,2,4,34,10,8.2237,3.0,1304,38,9,3.3742,15200.0,0.7915,0,0,7.5,1,11,10.19999,2.1070201,121
74,1,1153,0,1,31,12,4.3365,4.52,3000,35,12,1.8333,13120.0,0.7215,7,10,7.5,1,13,8.120015,1.4670676,169
75,1,2208,0,1,48,12,4.9819,5.31,1892,52,12,5.6025,21660.0,0.6615,12,14,5.0,1,19,10.659965,1.6058114,361
76,1,252,0,2,32,12,0.3571,0.0,3644,32,12,4.2975,18190.0,0.7215,7,7,3.0,0,2,18.10001,-1.0297394,4
77,1,337,0,0,49,17,2.9674,0.0,1430,47,17,3.9161,9600.0,0.7515,3,3,14.0,1,24,8.599986,1.0876862,576
78,1,90,2,2,32,15,1.0,0.0,2350,31,14,4.8787,13755.0,0.7515,10,12,7.5,1,9,13.665,0.0,81
79,1,1174,0,0,58,12,2.5554,4.87,1948,59,16,9.2402,35350.0,0.6615,7,12,7.5,1,6,32.34996,0.9382087,36
80,1,372,0,0,50,6,0.8602,2.25,1804,42,12,6.6519,12405.0,0.7215,12,7,7.5,1,22,12.085006,-0.15059038,484
81,1,30,0,0,60,14,1.0,0.0,2326,51,12,4.6217,12180.0,0.7515,12,17,9.5,0,30,12.15,0.0,900
82,1,1800,0,1,50,12,2.9261,0.0,1739,55,11,9.9741,22962.0,0.6615,7,3,7.5,1,10,17.69502,1.0736705,100
83,1,282,0,0,56,14,3.5461,2.5,1176,57,17,20.918,25700.0,0.6215,7,7,9.5,1,6,24.7,1.2658484,36
84,1,720,0,0,51,9,1.6264,2.2,1100,55,8,1.94,3305.0,0.7915,7,7,3.0,0,29,2.133992,0.48636898,841
85,1,1440,0,1,54,17,8.3333,6.0,1528,58,17,8.8351,32950.0,0.5815,7,12,5.0,1,29,20.950048,2.1202595,841
86,1,2100,0,0,59,13,3.0952,2.95,2250,52,15,4.6667,17000.0,0.6915,7,7,5.0,1,36,10.50008,1.1298525,1296
87,1,1000,0,2,46,9,2.7,2.35,1927,47,10,5.1894,13250.0,0.7515,7,7,5.0,1,19,10.55,0.9932518,361
88,1,952,0,1,46,15,5.2521,0.0,2414,47,16,18.724,50750.0,0.4415,7,12,5.0,1,8,45.75,1.658628,64
89,1,1413,1,3,39,12,1.4154,2.2,768,49,8,10.417,15632.0,0.7715,10,10,14.0,0,13,13.63204,0.3474122,169
90,1,2100,0,2,44,12,4.7986,4.85,1984,43,14,8.8458,28316.0,0.6215,7,0,11.0,1,16,18.23894,1.5683242,256
91,1,120,2,0,33,12,1.6667,2.37,2246,36,12,7.569,17290.0,0.7215,12,12,9.5,1,11,17.089996,0.5108456,121
92,1,3000,1,2,33,12,1.1217,0.0,3024,30,17,4.4507,33600.0,0.6215,10,10,7.5,1,15,30.2349,0.11484543,225
93,1,1000,0,2,48,12,0.5,0.0,2921,52,12,9.3204,29200.0,0.6215,12,7,9.0,1,6,28.7,-0.6931472,36
94,1,336,0,4,31,12,0.7143,0.0,2045,37,17,9.1687,19870.0,0.6915,7,7,11.0,0,13,19.629995,-0.33645228,169
95,1,1216,0,1,45,12,2.7961,2.9,1928,44,12,6.4834,16225.0,0.7215,7,7,11.0,0,22,12.824943,1.0282255,484
96,1,988,0,1,45,12,4.8583,4.5,1920,44,10,7.8125,28600.0,0.6915,7,3,5.0,1,24,23.8,1.5806886,576
97,1,2581,0,2,32,13,1.7435,2.6,2280,37,17,11.404,30800.0,0.5815,14,12,7.5,1,2,26.300026,0.5558946,4
98,1,2030,0,0,47,12,2.4631,2.8,2300,47,17,5.087,25700.0,0.6915,7,7,3.0,0,6,20.699907,0.9014207,36
99,1,413,0,2,34,13,2.4213,3.0,2480,35,13,6.9758,27000.0,0.6215,12,12,3.0,0,2,26.000004,0.8843046,4
100,1,782,0,1,37,12,1.5345,2.3,1135,34,10,5.2863,12077.0,0.7715,12,7,9.5,1,2,10.877021,0.4282046,4
101,1,1388,0,1,36,12,2.8818,1.87,1384,39,12,11.562,29612.0,0.6615,7,7,11.0,0,14,25.612062,1.058415,196
102,1,1450,1,2,47,12,2.4069,3.0,1848,50,14,8.6061,24479.0,0.6915,7,10,9.5,1,9,20.988995,0.8783396,81
103,1,1720,0,1,48,16,5.2326,4.68,2499,46,17,12.805,79750.0,0.4415,14,14,7.5,1,11,70.74993,1.6549083,121
104,1,800,0,2,42,12,3.75,2.5,2390,43,12,6.6946,20050.0,0.6915,12,7,11.0,0,9,17.05,1.3217559,81
105,1,360,0,3,33,13,1.3889,0.0,2400,44,14,8.3333,21500.0,0.6915,10,12,11.0,1,6,20.999996,0.3285121,36
106,1,2000,0,0,46,11,4.0,4.61,1920,53,8,4.1667,16120.0,0.6915,7,7,5.0,0,19,8.12,1.3862944,361
107,1,1176,0,3,47,12,3.2313,3.35,2301,48,13,5.4759,24686.0,0.7215,7,7,9.5,0,26,20.88599,1.1728846,676
108,1,2058,0,1,44,12,3.4014,3.8,1944,43,10,5.144,24669.0,0.6915,7,10,9.5,1,19,17.668919,1.2241871,361
109,1,900,0,4,36,12,1.3333,2.2,2100,37,17,11.667,26400.0,0.6615,7,7,7.5,1,3,25.20003,0.28765708,9
110,1,215,2,0,31,17,9.3023,9.98,1920,32,16,7.2917,16245.0,0.7215,12,12,7.5,1,7,14.245006,2.2302618,49
111,1,2000,0,0,55,14,4.5,4.37,2880,55,14,4.8611,23300.0,0.6615,7,7,9.5,1,28,14.3,1.5040774,784
112,1,757,0,1,45,16,4.6235,4.5,1932,48,16,12.164,27200.0,0.6215,12,7,9.5,1,13,23.70001,1.531152,169
113,1,1264,0,0,47,17,3.9557,0.0,3234,48,17,10.823,51000.0,0.4615,10,17,9.5,1,9,45.999996,1.3751576,81
114,1,2064,0,3,46,12,5.814,6.0,2805,47,12,12.478,55000.0,0.4615,10,7,14.0,1,15,42.999905,1.7602688,225
115,1,1280,0,0,49,11,0.5,0.0,2272,52,9,6.162,15389.0,0.7215,7,7,7.5,1,20,14.749,-0.6931472,400
116,1,1715,0,0,49,12,4.0816,3.75,2227,52,14,7.1846,23150.0,0.6615,7,7,9.5,1,29,16.150055,1.4064891,841
117,1,2000,0,2,45,12,6.0,4.95,1720,49,6,7.093,29774.0,0.6215,7,10,14.0,1,9,17.774,1.7917595,81
118,1,12,1,3,38,17,3.6667,0.0,2300,38,13,17.826,91044.0,0.4415,12,10,14.0,1,1,91.0,1.2992921,1
119,1,1528,0,0,47,10,3.8613,2.95,3410,50,12,6.393,28200.0,0.5815,7,12,14.0,1,8,22.299934,1.3510039,64
120,1,561,0,3,54,13,2.7629,2.53,2304,57,16,11.719,36150.0,0.5515,7,7,9.5,1,19,34.600014,1.0162809,361
121,1,2058,0,0,41,11,2.931,2.9,1984,42,12,4.7883,15652.0,0.7215,12,12,7.5,0,23,9.620002,1.0753436,529
122,1,1823,0,2,43,12,4.3884,4.2,1890,33,14,4.2328,18900.0,0.7515,14,7,11.0,0,3,10.899946,1.4789647,9
123,1,1680,1,1,31,16,5.4167,4.7,1970,32,12,7.1066,23600.0,0.6615,12,10,7.5,0,13,14.499944,1.6894867,169
124,1,1440,0,0,47,17,9.8611,7.1,2400,46,12,8.3333,36200.0,0.61,7,7,7.5,1,8,22.000015,2.2885978,64
125,1,4950,0,2,35,12,0.1616,2.75,2504,37,12,6.9888,18700.0,0.6915,10,10,7.5,0,17,17.90008,-1.8226311,289
126,1,1176,0,3,45,16,0.3826,3.75,2398,48,17,9.5913,24125.0,0.6615,7,7,11.0,1,4,23.675062,-0.9607652,16
127,1,1100,1,0,33,12,3.6364,3.58,1960,39,12,6.0204,15800.0,0.7215,7,7,7.5,0,15,11.79996,1.2909942,225
128,1,1516,0,1,54,16,2.3747,2.4,2550,55,12,2.9686,19742.0,0.7215,12,7,3.0,0,11,16.141954,0.86487114,121
129,1,900,0,4,35,8,4.6667,3.95,2500,41,12,7.0,22600.0,0.6915,10,7,9.5,0,7,18.399971,1.5404521,49
130,1,1080,1,2,31,12,1.8519,2.25,2164,37,10,7.1627,17500.0,0.7215,7,7,7.5,0,0,15.499948,0.6162121,0
131,1,480,0,0,55,12,5.2,0.0,2640,60,12,4.7364,19820.0,0.6915,7,7,7.5,0,0,17.324,1.6486586,0
132,1,288,0,2,34,12,3.2986,4.62,1936,36,12,8.781,20155.0,0.6915,12,16,11.0,1,10,19.205004,1.1934981,100
133,1,1875,0,1,38,13,8.5333,8.5,2136,41,12,9.8315,37300.0,0.58,10,12,7.5,1,8,21.300062,2.1439762,64
134,1,630,0,1,45,11,2.0635,0.0,1955,51,10,6.6496,24860.0,0.7215,7,7,7.5,1,2,23.559996,0.72440356,4
135,1,234,0,1,47,12,2.5641,2.5,1980,48,10,9.8485,21450.0,0.6615,12,3,7.5,1,4,20.85,0.94160753,16
136,1,1600,0,2,39,12,2.1875,0.0,2550,42,11,9.8039,29650.0,0.6215,7,7,5.0,1,6,26.15,0.78275937,36
137,1,960,1,0,36,14,6.25,0.0,2058,37,13,8.2604,23000.0,0.6615,7,7,11.0,1,18,17.0,1.8325815,324
138,1,120,1,2,33,12,3.3333,0.0,2263,32,14,9.0676,21120.0,0.6915,7,7,9.0,1,3,20.720003,1.2039628,9
139,1,2025,0,0,50,12,4.4444,4.8,1763,54,13,8.5082,26000.0,0.6215,7,12,5.0,1,22,17.00009,1.4916449,484
140,1,1809,0,0,58,12,6.6335,6.45,2096,59,14,7.1565,28000.0,0.6215,3,7,7.5,1,33,15.999998,1.8921326,1089
141,1,3087,0,0,49,17,8.4224,9.98,2059,47,13,7.0423,45500.0,0.52,12,12,11.0,1,28,19.50005,2.130895,784
142,1,910,0,2,41,14,4.3956,0.0,1820,40,17,6.5934,16000.0,0.7215,16,12,14.0,1,23,12.000004,1.480604,529
143,1,1840,0,1,51,12,2.4457,2.5,2832,53,8,4.3457,18232.0,0.6915,7,14,11.0,0,27,13.731912,0.89433134,729
144,1,784,0,0,53,9,1.2245,2.25,1990,60,10,7.2362,28160.0,0.7215,3,7,14.0,1,11,27.199991,0.20253254,121
145,1,400,1,2,36,12,1.625,0.0,2000,40,7,1.74,5965.0,0.8015,12,7,11.0,1,6,5.315,0.48550782,36
146,1,1000,0,2,46,12,3.0,5.5,1885,46,12,6.8966,19000.0,0.7215,7,7,9.5,1,11,16.0,1.0986123,121
147,1,1904,0,2,36,12,4.7269,4.2,2860,37,12,5.0455,36872.0,0.5515,12,12,11.0,1,14,27.871983,1.5532696,196
148,1,1771,0,1,53,14,1.1293,9.98,1913,48,16,17.25,42000.0,0.4915,12,12,14.0,1,17,40.00001,0.12159797,289
149,1,1486,0,3,40,16,7.4024,6.25,1800,54,16,8.3333,26900.0,0.6215,16,14,11.0,1,17,15.900034,2.0018044,289
150,1,740,0,2,42,17,4.4595,1.65,2880,45,16,9.375,30800.0,0.5815,12,10,9.0,0,14,27.49997,1.4950366,196
151,1,1820,1,1,33,15,2.4725,0.0,1993,32,16,8.279,21520.0,0.6915,12,12,11.0,1,11,17.02005,0.9052298,121
152,1,1275,0,3,43,12,1.8824,3.0,2250,47,14,4.5,24795.0,0.6915,7,7,7.5,1,7,22.39494,0.63254756,49
153,1,450,1,0,31,16,4.0,4.0,2286,30,16,4.1995,12900.0,0.7215,14,16,14.0,1,8,11.1,1.3862944,64
154,1,1221,0,0,47,17,8.19,5.99,1880,47,16,16.064,42700.0,0.4915,7,7,7.5,1,6,32.700012,2.1029139,36
155,1,1550,0,0,54,17,7.0968,6.0,2350,58,17,11.277,38800.0,0.5215,10,17,11.0,1,8,27.799961,1.959644,64
156,1,180,1,3,33,12,1.6667,0.0,3640,33,11,0.5494,2500.0,0.9415,7,3,3.0,0,4,2.199994,0.5108456,16
157,1,2090,0,0,43,16,3.445,3.85,1770,47,14,9.548,26921.0,0.6215,14,10,11.0,1,25,19.720951,1.2369239,625
158,1,1960,0,1,46,13,4.2347,4.2,1875,49,13,5.3333,18300.0,0.6915,7,9,3.0,0,24,9.999988,1.4433125,576
159,1,1440,0,3,35,12,2.7778,4.1,2200,38,9,5.4545,17200.0,0.7215,7,7,14.0,1,11,13.199968,1.0216593,121
160,1,794,0,3,37,11,1.8892,3.85,2033,39,12,5.9026,14209.0,0.7515,12,3,9.5,1,19,12.708975,0.63615346,361
161,1,993,0,2,37,16,5.0352,8.3,2739,39,17,9.8576,32300.0,0.5815,12,16,14.0,1,9,27.300047,1.6164533,81
162,1,160,0,3,34,14,1.25,0.0,1626,38,14,11.685,21400.0,0.7215,17,12,7.5,1,19,21.2,0.22314355,361
163,1,105,1,0,43,16,2.8571,0.0,2248,44,17,6.2278,14700.0,0.7215,7,7,9.5,0,14,14.400004,1.0498071,196
164,1,1200,0,0,46,12,4.1167,4.33,2140,48,12,9.1748,25516.0,0.6215,7,7,9.5,1,22,20.57596,1.4150519,484
165,1,450,0,3,35,9,1.7778,2.6,1985,42,12,6.2972,13300.0,0.7515,3,7,5.0,1,6,12.49999,0.57537663,36
166,1,996,0,0,46,17,13.554,9.98,1528,59,17,10.471,31000.0,0.5815,12,12,9.5,1,23,17.500216,2.6066816,529
167,1,1052,0,0,46,14,4.5627,4.9,1920,48,16,14.583,48800.0,0.4915,7,3,11.0,1,15,44.00004,1.5179145,225
168,1,1128,0,2,43,12,2.1277,2.4,1918,46,10,6.2143,15519.0,0.7215,7,7,14.0,1,6,13.118955,0.7550416,36
169,1,1840,0,0,30,12,2.9891,3.75,2112,30,12,6.6288,19500.0,0.6915,7,7,7.5,0,11,14.000056,1.0949724,121
170,1,1910,0,2,41,11,2.5654,2.57,2144,46,9,3.8246,14545.0,0.7215,3,7,5.0,0,2,9.645086,0.94211435,4
171,1,980,0,1,54,12,5.6122,5.0,1920,54,15,7.8125,22897.0,0.6915,7,7,14.0,1,22,17.397045,1.7249428,484
172,1,2317,0,1,31,12,2.8054,3.87,2241,41,9,3.4806,14300.0,0.7215,10,10,7.5,1,10,7.7998886,1.0315461,100
173,1,1089,0,0,44,10,1.607,0.0,880,47,11,5.55,14884.0,0.7515,10,10,9.5,1,14,13.133977,0.47436908,196
174,1,800,0,1,32,12,2.25,0.0,2070,31,16,11.594,27400.0,0.6215,12,7,11.0,1,12,25.6,0.8109302,144
175,1,1230,0,0,47,5,2.0325,2.82,1050,53,5,9.5238,16400.0,0.7215,7,12,14.0,1,9,13.900025,0.7092666,81
176,1,1158,0,1,46,17,5.532,8.1,2635,57,17,7.2805,25704.0,0.6215,14,17,7.5,0,13,19.297943,1.7105495,169
177,1,2272,0,0,37,11,1.5845,3.71,3000,47,8,3.0,12800.0,0.7215,10,10,7.5,0,18,9.200016,0.46026888,324
178,1,528,0,2,51,12,3.7879,0.0,2500,50,11,10.4,40000.0,0.6215,7,7,7.5,0,8,37.99999,1.3318118,64
179,1,1000,0,1,49,12,3.0,0.0,1990,49,12,10.05,47000.0,0.6615,7,7,14.0,1,11,44.0,1.0986123,121
180,1,520,0,4,36,14,8.6538,0.0,2390,37,13,8.7866,25872.0,0.6615,10,12,9.5,1,9,21.372025,2.1579986,81
181,1,760,0,1,39,11,4.2105,3.95,1430,44,12,10.14,26868.0,0.6915,12,7,9.5,1,9,23.66802,1.4375813,81
182,1,1920,0,2,48,12,4.6875,4.3,1800,50,8,5.0,18000.0,0.6915,12,12,9.5,1,14,9.0,1.5448993,196
183,1,1220,0,2,38,14,4.0984,4.84,2103,43,17,11.888,30200.0,0.5815,7,7,5.0,1,9,25.199951,1.4105967,81
184,1,200,0,2,40,12,25.0,3.0,1350,42,12,13.333,26220.0,0.6615,7,7,7.5,1,2,21.22,3.218876,4
185,1,2480,1,5,39,10,2.6331,4.2,2880,36,17,8.6806,40500.0,0.5815,7,7,3.0,0,12,33.969913,0.9681619,144
186,1,2750,0,0,37,16,6.0,9.0,2400,43,17,7.2917,33570.0,0.61,12,7,7.5,1,15,17.07,1.7917595,225
187,1,2014,0,1,49,13,5.4126,4.05,1135,47,12,3.5242,16917.0,0.7215,7,14,14.0,1,11,6.0160236,1.6887295,121
188,1,1355,0,3,33,12,0.6642,1.0,2750,35,17,6.1818,18000.0,0.7215,12,7,9.5,0,7,17.10001,-0.40917197,49
189,1,80,0,0,30,12,1.25,0.0,2085,32,16,2.9755,8337.0,0.7515,12,12,11.0,1,9,8.237,0.22314355,81
190,1,1670,0,0,54,12,2.2754,2.1,2600,56,8,4.5769,17100.0,0.7215,12,7,9.5,0,19,13.300082,0.82215583,361
191,1,520,0,4,39,11,3.4615,3.05,3542,40,12,3.1056,17800.0,0.7515,10,7,11.0,0,11,16.000021,1.241702,121
192,1,288,0,3,43,12,4.1667,3.0,1975,43,12,5.8228,13740.0,0.7515,12,12,14.0,1,8,12.53999,1.4271244,64
193,1,2014,0,3,31,9,4.4687,4.26,2400,32,12,7.5,27000.0,0.6215,10,3,9.5,1,13,18.000038,1.4970975,169
194,1,800,0,3,33,13,1.75,0.0,3000,37,14,8.3333,32600.0,0.6215,12,7,7.5,1,4,31.2,0.5596158,16
195,1,1984,0,3,40,12,3.6694,4.25,1960,39,14,9.2347,28030.0,0.6615,12,12,14.0,1,7,20.74991,1.3000282,49
196,1,1823,0,1,36,12,6.5826,6.0,2000,39,9,5.5,23100.0,0.6615,12,12,3.0,0,19,11.09992,1.8844298,361
