,pop,crimes,unem,officers,pcinc,west,nrtheast,south,year,area,d87,popden,crmrte,offarea,lawexpc,polpc,lpop,loffic,lpcinc,llawexpc,lpopden,lcrimes,larea,lcrmrte,clcrimes,clpop,clcrmrte,lpolpc,clpolpc,cllawexp,cunem,clpopden,lcrmrt_1,ccrmrte
15,767933.0,58000.0,5.1,1870,13575,1,0,0,87,46.4,1,16550.28,75.52742,40.301723,1553.16,2.4351082,13.551457,7.533694,9.5159855,7.348047,9.714158,10.968198,3.8372996,4.324496,-0.16782093,0.08085251,-0.24867344,0.88999116,-0.13345575,0.39150143,-3.2999997,0.08085251,4.573169,-21.32315
16,659903.0,51781.0,8.8,891,8379,1,0,0,82,169.2,0,3900.136,78.46759,5.2659574,586.72,1.3501984,13.399848,6.7923446,9.0334835,6.3745475,8.268766,10.854778,5.1310816,4.3626857,,,,0.30025154,,,,,,
17,730079.0,36518.0,5.0,998,12583,1,0,0,87,169.2,1,4314.8877,50.019245,5.8983455,811.76,1.3669753,13.500908,6.905753,9.440102,6.699205,8.369826,10.505561,5.1310816,3.9124079,-0.3492174,0.10105991,-0.4502778,0.3126005,0.01234895,0.32465744,-3.8000002,0.10105991,4.3626857,-28.448345
18,216145.0,19945.0,9.3,310,6569,1,0,0,82,27.4,0,7888.504,92.276024,11.3138685,834.68,1.4342223,12.283705,5.7365723,8.790117,6.7270484,8.973162,9.900734,3.310543,4.5247846,,,,0.3606228,,,,,,
19,242765.0,20427.0,3.7,359,9395,1,0,0,87,27.4,1,8860.036,84.143105,13.10219,1125.7201,1.4787964,12.399849,5.8833222,9.147933,7.0261784,9.089306,9.924613,3.310543,4.432519,0.023879051,0.11614418,-0.092265606,0.3912285,0.030605704,0.29912996,-5.6000004,0.11614418,4.5247846,-8.132919
20,80648.0,5708.0,6.9,109,8385,1,0,0,82,21.9,0,3682.5571,70.77671,4.977169,377.54,1.3515524,11.29785,4.691348,9.0342,5.9336767,8.211363,8.649624,3.0864866,4.25953,,,,0.30125383,,,,,,
21,77166.0,5596.0,6.2,121,13054,1,0,0,87,21.9,1,3523.5618,72.51898,5.525114,791.64,1.5680481,11.253715,4.7957907,9.47685,6.6741066,8.167228,8.629807,3.0864866,4.2838483,-0.019816399,-0.044135094,0.024318218,0.4498316,0.14857778,0.7404299,-0.7000003,-0.044135094,4.25953,1.7422714
22,517638.0,58972.0,7.0,1388,8555,1,0,0,82,106.8,0,4846.798,113.92517,12.996254,894.33997,2.6814106,13.157031,7.235619,9.054271,6.796086,8.4860735,10.984818,4.670958,4.735542,,,,0.98634297,,,,,,
23,509529.0,46184.0,6.2,1322,12490,1,0,0,87,106.8,1,4770.8706,90.64057,12.378277,1537.5499,2.594553,13.141242,7.186901,9.432684,7.3379455,8.470284,10.740389,4.670958,4.5069017,-0.24442959,-0.015789032,-0.22864008,0.95341426,-0.032928705,0.5418596,-0.8000002,-0.015789032,4.735542,-23.2846
24,138865.0,23512.0,9.1,439,5559,0,1,0,82,17.8,0,7801.405,169.31552,24.662922,747.36005,3.1613438,11.841257,6.0844994,8.623174,6.616547,8.962059,10.065267,2.8791983,5.131764,,,,1.1509972,,,,,,
25,138945.0,22854.0,2.4,494,8677,0,1,0,87,17.8,1,7805.8994,164.48236,27.75281,1278.4401,3.5553637,11.841833,6.2025356,9.068431,7.153396,8.962635,10.036881,2.8791983,5.102803,-0.028385162,0.0005760193,-0.028960705,1.2684573,0.11746013,0.536849,-6.7000003,0.0005760193,5.131764,-4.8331604
26,94989.0,7207.0,5.9,180,8223,0,0,1,82,24.2,0,3925.1653,75.87195,7.4380164,641.55005,1.8949562,11.461516,5.192957,9.01469,6.463887,8.275164,8.882808,3.1863527,4.329047,,,,0.63919574,,,,,,
27,100428.0,8511.0,5.5,209,13213,0,0,1,87,24.2,1,4149.917,84.747284,8.636363,952.0,2.0810928,11.517197,5.3423343,9.488956,6.858565,8.330844,9.049115,3.1863527,4.439674,0.16630745,0.055680275,0.1106267,0.73289317,0.09369743,0.39467764,-0.4000001,0.055680275,4.329047,8.875336
28,127198.0,13122.0,7.0,290,8727,0,0,1,82,25.3,0,5027.589,103.161995,11.462451,880.46,2.27991,11.7535,5.669881,9.074177,6.7804446,8.522696,9.482045,3.2308044,4.6363006,,,,0.824136,,,,,,
29,124515.0,13188.0,4.6,284,13350,0,0,1,87,25.3,1,4921.5415,105.91495,11.225297,1312.27,2.2808497,11.732182,5.6489744,9.499271,7.179514,8.501377,9.487062,3.2308044,4.6626363,0.0050172806,-0.021318436,0.026335716,0.82454807,0.0004120469,0.3990693,-2.4,-0.021318436,4.6363006,2.7529526
30,365506.0,52901.0,12.3,979,6084,0,0,1,82,34.3,0,10656.151,144.73361,28.542274,714.0,2.6784787,12.809038,6.886532,8.713418,6.570883,9.273892,10.876178,3.5351453,4.974895,,,,0.985249,,,,,,
31,385089.0,58791.0,5.8,1043,8904,0,0,1,87,34.3,1,11227.085,152.66861,30.408163,1371.08,2.7084649,12.86123,6.9498563,9.094255,7.223354,9.326084,10.981744,3.5351453,5.02827,0.105566025,0.052191734,0.053374767,0.996382,0.011133015,0.65247107,-6.5,0.052191734,4.974895,7.9349976
32,56168.0,6533.0,5.3,149,10204,0,0,1,82,20.8,0,2700.3848,116.31178,7.1634617,1048.11,2.652756,10.936103,5.0039463,9.2305355,6.954744,7.9011497,8.784621,3.0349529,4.756274,,,,0.9755991,,,,,,
33,68730.0,11648.0,4.6,181,14474,0,0,1,87,20.8,1,3304.3271,169.47475,8.701923,1352.56,2.6334934,11.137941,5.198497,9.58011,7.2097545,8.102988,9.36289,3.0349529,5.132704,0.578269,0.2018385,0.37642956,0.96831125,-0.00728786,0.2550106,-0.7000003,0.2018385,4.756274,53.162964
34,254253.0,19563.0,7.6,401,6966,0,0,1,82,55.9,0,4548.354,76.94305,7.173524,660.14996,1.5771692,12.446085,5.9939613,8.848797,6.492467,8.422521,9.881395,4.0235643,4.3430653,,,,0.45563158,,,,,,
35,246548.0,26500.0,5.5,486,11109,0,0,1,87,55.9,1,4410.5186,107.48414,8.694097,953.09,1.9712186,12.415312,6.1862087,9.315511,6.8597093,8.391747,10.1849,4.0235643,4.6773434,0.30350494,-0.030773163,0.3342781,0.6786519,0.22302034,0.36724234,-2.1,-0.030773163,4.3430653,30.541092
36,292551.0,38532.0,8.5,660,6441,0,0,1,82,104.2,0,2807.5913,131.71037,6.3339734,777.2,2.256017,12.586394,6.49224,8.770439,6.655698,7.940082,10.559244,4.646312,4.880605,,,,0.81360084,,,,,,
37,285856.0,49350.0,5.5,716,9902,0,0,1,87,104.2,1,2743.3398,172.63937,6.8714013,1234.37,2.5047576,12.563244,6.5736804,9.200492,7.118316,7.916931,10.806693,4.646312,5.151205,0.24744892,-0.023150444,0.27059984,0.91819197,0.10459113,0.46261835,-3.0,-0.02315092,4.880605,40.929
38,441103.0,56964.0,8.9,1340,6539,0,0,1,82,131.2,0,3362.0657,129.1399,10.213415,768.33997,3.0378392,12.997034,7.2004247,8.78554,6.6442323,8.120311,10.950174,4.876723,4.860896,,,,1.1111465,,,,,,
39,429953.0,66891.0,5.0,1346,10341,0,0,1,87,131.2,1,3277.0808,155.57747,10.259147,910.8,3.1305747,12.971431,7.2048926,9.243872,6.8143234,8.094708,11.11082,4.876723,5.047144,0.16064548,-0.025603294,0.18624783,1.1412166,0.030070186,0.17009115,-3.8999996,-0.02560234,4.860896,26.437576
40,462657.0,34736.0,10.4,937,7585,0,0,0,82,352.0,0,1314.3665,75.079384,2.6619318,582.56,2.0252585,13.044742,6.8426833,8.933928,6.367432,7.18111,10.455532,5.8636312,4.318546,,,,0.70569736,,,,,,
41,478693.0,30358.0,6.1,976,10836,0,0,0,87,352.0,1,1359.9233,63.418514,2.7727273,660.3,2.038885,13.0788145,6.8834624,9.290629,6.4926944,7.2151837,10.320815,5.8636312,4.149756,-0.13471699,0.034072876,-0.16878986,0.7124031,0.006705761,0.12526226,-4.2999997,0.03407383,4.318546,-11.66087
42,300404.0,22734.0,10.9,682,6281,0,0,1,82,61.1,0,4916.5957,75.678085,11.162029,787.44,2.270276,12.612884,6.5250297,8.745284,6.668787,8.500372,10.031617,4.1125116,4.3264885,,,,0.81990147,,,,,,
43,286516.0,19438.0,6.6,651,9129,0,0,1,87,61.1,1,4689.2964,67.842636,10.654665,984.96,2.2721245,12.56555,6.4785094,9.119211,6.892601,8.453038,9.874985,4.1125116,4.2171907,-0.15663242,-0.047333717,-0.10929775,0.8207153,0.0008138418,0.22381401,-4.2999997,-0.047333717,4.3264885,-7.835449
44,579338.0,49483.0,9.2,1355,6463,0,0,1,82,199.4,0,2905.4062,85.41301,6.7953863,702.96,2.3388765,13.269641,7.211557,8.773849,6.5553,7.9743285,10.809384,5.295313,4.4474983,,,,0.8496707,,,,,,
45,549536.0,51001.0,10.4,1333,8975,0,0,1,87,199.4,1,2755.948,92.80739,6.6850553,1044.48,2.4256828,13.216829,7.195187,9.102199,6.9512744,7.921517,10.839601,5.295313,4.530526,0.030216217,-0.052811623,0.08302784,0.88611305,0.03644234,0.39597416,1.1999998,-0.052811623,4.4474983,7.3943787
46,1181868.0,152962.0,20.3,4092,6251,0,0,0,82,135.6,0,8715.84,129.42393,30.17699,1483.52,3.4623156,13.982607,8.316789,8.740497,7.302173,9.072897,11.937944,4.9097095,4.8630934,,,,1.2419376,,,,,,
47,1091523.0,138411.0,8.4,5042,8852,0,0,0,87,135.6,1,8049.579,126.8054,37.182888,1718.0199,4.619234,13.903085,8.525558,9.088399,7.448928,8.993375,11.837983,4.9097095,4.8426538,-0.09996128,-0.07952213,-0.020439625,1.5302289,0.28829122,0.14675474,-11.9,-0.07952213,4.8630934,-2.618538
48,376704.0,37259.0,6.5,690,7940,0,0,0,82,55.1,0,6836.7334,98.9079,12.522686,668.1,1.8316768,12.839215,6.5366917,8.979669,6.504438,8.830066,10.525649,4.0091496,4.594189,,,,0.6052319,,,,,,
49,359371.0,45356.0,5.0,729,12302,0,0,0,87,55.1,1,6522.1597,126.20941,13.230491,1024.32,2.0285444,12.79211,6.591674,9.417517,6.931784,8.782961,10.722298,4.0091496,4.8379426,0.1966486,-0.047104836,0.24375343,0.7073185,0.1020866,0.42734623,-1.5,-0.047104836,4.594189,27.301514
50,273187.0,24413.0,6.8,482,7694,0,0,0,82,52.9,0,5164.2153,89.36369,9.111531,655.17993,1.7643592,12.517912,6.177944,8.948196,6.48491,8.549508,10.102871,3.9684033,4.4927144,,,,0.5677876,,,,,,
51,265550.0,21360.0,5.0,510,11557,0,0,0,87,52.9,1,5019.8486,80.43683,9.640832,882.64,1.9205422,12.489558,6.234411,9.355046,6.7829175,8.521155,9.969275,3.9684033,4.387472,-0.13359547,-0.028353691,-0.10524225,0.65260756,0.08481997,0.2980075,-1.8000002,-0.028352737,4.4927144,-8.926865
52,451397.0,45503.0,10.4,1145,7480,0,0,0,82,316.4,0,1426.6656,100.80483,3.6188369,1054.1699,2.5365698,13.0201025,7.04316,8.919988,6.960509,7.2630954,10.7255335,5.757007,4.6131864,,,,0.9308127,,,,,,
53,444382.0,52777.0,6.0,1113,11153,0,0,0,87,316.4,1,1404.4944,118.76494,3.5176992,1346.28,2.504602,13.00444,7.0148144,9.319464,7.2051005,7.2474327,10.873831,5.757007,4.7771463,0.14829731,-0.015662193,0.16395998,0.9181298,-0.012682915,0.24459171,-4.3999996,-0.01566267,4.6131864,17.960106
54,334414.0,36172.0,15.4,1166,4525,0,1,0,82,24.1,0,13876.1,108.16533,48.38174,1139.3201,3.4866962,12.720135,7.061334,8.417373,7.038187,9.537923,10.49604,3.1822119,4.683661,,,,1.2489547,,,,,,
55,318402.0,40185.0,4.4,1081,6494,0,1,0,87,24.1,1,13211.701,126.20838,44.85477,1295.85,3.3950791,12.67107,6.985642,8.778634,7.166922,9.488858,10.601249,3.1822119,4.8379345,0.1052084,-0.049064636,0.15427351,1.2223271,-0.02662754,0.12873507,-11.0,-0.049064636,4.683661,18.043053
56,360493.0,28592.0,16.9,1034,5929,0,1,0,82,41.8,0,8624.234,79.31361,24.736843,749.44,2.8682942,12.795228,6.9411902,8.687611,6.619326,9.062331,10.260882,3.7328963,4.3734097,,,,1.0537175,,,,,,
57,325787.0,25053.0,7.7,970,8840,0,1,0,87,41.8,1,7793.9478,76.89994,23.205742,979.80005,2.9774055,12.693999,6.877296,9.087042,6.8873487,8.9611025,10.128749,3.7328963,4.342505,-0.13213348,-0.101228714,-0.03090477,1.0910523,0.0373348,0.26802254,-9.2,-0.101228714,4.3734097,-2.4136658
58,71965.0,5276.0,14.9,160,6443,0,1,0,82,13.0,0,5535.769,73.313416,12.307693,556.8,2.223303,11.183935,5.075174,8.770749,6.322206,8.618986,8.570924,2.5649493,4.2947435,,,,0.79899395,,,,,,
59,64742.0,4124.0,7.7,138,9333,0,1,0,87,13.0,1,4980.154,63.698994,10.615385,731.64,2.1315374,11.078165,4.9272537,9.141312,6.5952888,8.513216,8.324579,2.5649493,4.1541686,-0.24634457,-0.10577011,-0.14057493,0.7568435,-0.042150438,0.27308273,-7.2,-0.10577011,4.2947435,-9.614422
60,243640.0,26821.0,10.1,603,6492,0,1,0,82,34.2,0,7123.9766,110.08455,17.631578,842.24,2.474963,12.403447,6.401917,8.778326,6.736065,8.871222,10.19694,3.5322256,4.7012486,,,,0.90622544,,,,,,
61,236672.0,23187.0,5.1,601,9967,0,1,0,87,34.2,1,6920.234,97.97103,17.5731,1045.84,2.5393794,12.374431,6.398595,9.207035,6.9525757,8.842205,10.051347,3.5322256,4.584672,-0.14559364,-0.029016495,-0.11657667,0.9319197,0.025694251,0.21651077,-5.0000005,-0.029016495,4.7012486,-12.113518
62,383975.0,33684.0,13.2,991,6875,0,0,0,82,78.0,0,4922.7563,87.724464,12.705129,966.24005,2.580897,12.858333,6.8987145,8.835647,6.873412,8.501624,10.424778,4.356709,4.4742007,,,,0.94813704,,,,,,
63,371585.0,27197.0,5.9,886,10247,0,0,0,87,78.0,1,4763.91,73.191864,11.358974,1226.72,2.3843803,12.825533,6.786717,9.23474,7.112099,8.468824,10.210862,4.356709,4.293084,-0.21391582,-0.03279972,-0.18111658,0.8689393,-0.079197764,0.23868704,-7.2999997,-0.03279972,4.4742007,-14.5326
64,573944.0,54925.0,15.7,1947,5770,0,0,0,82,79.0,0,7265.114,95.697495,24.645569,1231.8999,3.392317,13.260287,7.574045,8.660427,7.116313,8.89084,10.913724,4.3694477,4.561192,,,,1.2215132,,,,,,
65,548171.0,45408.0,7.3,1717,8018,0,0,0,87,79.0,1,6938.8735,82.835464,21.734177,1742.1599,3.1322343,13.214342,7.4483337,8.989445,7.462881,8.844894,10.723444,4.3694477,4.4168563,-0.19027996,-0.045945168,-0.14433575,1.1417466,-0.07976651,0.3465681,-8.4,-0.045945168,4.561192,-12.86203
66,563680.0,49286.0,10.0,1216,6783,0,0,0,82,186.8,0,3017.5588,87.436134,6.509636,794.88,2.1572523,13.242242,7.103322,8.822175,6.678191,8.012203,10.805395,5.2300386,4.4709086,,,,0.7688353,,,,,,
67,567800.0,51941.0,4.8,1281,9909,0,0,0,87,186.8,1,3039.6145,91.47763,6.8576016,1054.3099,2.256076,13.249524,7.1553965,9.201199,6.960642,8.019486,10.857863,5.2300386,4.5160947,0.0524683,0.007282257,0.045186043,0.81362706,0.044791758,0.28245068,-5.2,0.0072832108,4.4709086,4.0414963
68,193757.0,24477.0,17.0,468,5771,0,0,0,82,54.4,0,3561.7095,126.32833,8.602941,870.16003,2.4153967,12.17436,6.1484685,8.660601,6.768677,8.177996,10.105489,3.996364,4.8388844,,,,0.88186353,,,,,,
69,181698.0,19683.0,4.9,472,8621,0,0,0,87,54.4,1,3340.0366,108.3281,8.676471,1012.44006,2.597717,12.110102,6.156979,9.061956,6.920119,8.113737,9.88751,3.996364,4.6851645,-0.21797848,-0.064258575,-0.1537199,0.954633,0.07276946,0.15144157,-12.1,-0.064258575,4.8388844,-18.000229
70,425093.0,38195.0,4.7,767,7991,0,0,1,82,604.0,0,703.7964,89.85092,1.2698675,570.0,1.804311,12.960063,6.6424866,8.986072,6.3456364,6.556489,10.55046,6.403574,4.498152,,,,0.59017885,,,,,,
71,441408.0,56057.0,6.4,767,11527,0,0,1,87,604.0,1,730.8079,126.99589,1.2698675,671.56,1.7376214,12.997725,6.6424866,9.3524475,6.5096035,6.5941505,10.934124,6.403574,4.844155,0.38366413,0.037661552,0.34600306,0.5525172,-0.03766167,0.16396713,1.7000003,0.037661552,4.498152,37.144966
72,369769.0,48092.0,10.7,699,8092,1,0,0,82,113.9,0,3246.4355,130.05959,6.136962,854.22,1.8903694,12.820634,6.5496507,8.9986315,6.750189,8.085313,10.780871,4.735321,4.867993,,,,0.6367723,,,,,,
73,390845.0,64802.0,4.9,769,10770,1,0,0,87,113.9,1,3431.4749,165.79974,6.7515364,1242.6799,1.9675319,12.876066,6.645091,9.28452,7.1250257,8.140745,11.079092,4.735321,5.1107807,0.29822063,0.05543232,0.24278784,0.6767799,0.04000765,0.37483692,-5.7999997,0.05543232,4.867993,35.740158
74,425814.0,29913.0,10.2,1278,6845,0,1,0,82,55.4,0,7686.173,70.248985,23.068592,815.04,3.0013103,12.961758,7.153052,8.831274,6.703237,8.947178,10.306048,4.01458,4.2520456,,,,1.099049,,,,,,
75,389015.0,30836.0,7.7,1036,9998,0,1,0,87,55.4,1,7021.931,79.26687,18.700361,1224.5,2.6631365,12.871373,6.9431224,9.21014,7.1102877,8.856793,10.336438,4.01458,4.3728204,0.030389786,-0.09038448,0.120774746,0.9795046,-0.11954439,0.4070506,-2.5,-0.09038448,4.2520456,9.017883
76,158533.0,15233.0,11.3,408,6169,0,1,0,82,18.9,0,8387.989,96.08725,21.587301,661.5,2.5735967,11.973718,6.011267,8.727292,6.49451,9.034556,9.63122,2.939162,4.5652566,,,,0.9453044,,,,,,
77,158978.0,19082.0,3.9,423,9501,0,1,0,87,18.9,1,8411.534,120.02919,22.380953,787.44,2.6607456,11.9765215,6.0473723,9.159152,6.668787,9.037359,9.856501,2.939162,4.787735,0.22528076,0.0028038025,0.22247839,0.9786064,0.03330201,0.17427683,-7.4,0.0028028488,4.5652566,23.94194
78,659913.0,55931.0,10.4,1200,6466,0,0,1,82,264.1,0,2498.7239,84.75511,4.543733,747.84,1.8184215,13.399863,7.090077,8.774313,6.617189,7.8235354,10.931874,5.576328,4.439766,,,,0.5979688,,,,,,
79,659720.0,63824.0,10.2,1231,9362,0,0,1,87,264.1,1,2497.9932,96.74407,4.6611133,815.1,1.8659431,13.39957,7.115582,9.144414,6.703311,7.823243,11.063885,5.576328,4.572069,0.13201046,-0.00029277802,0.13230324,0.6237666,0.025797784,0.086122036,-0.19999981,-0.00029230118,4.439766,11.98896
80,970624.0,115864.0,6.2,1996,8612,0,0,1,82,331.4,0,2928.8594,119.37063,6.022933,726.45,2.0564091,13.785694,7.5989003,9.060912,6.5881696,7.9823685,11.660172,5.803326,4.782233,,,,0.72096133,,,,,,
81,1009947.0,164452.0,6.9,2400,12816,0,0,1,87,331.4,1,3047.5166,162.8323,7.242004,1119.36,2.3763623,13.825408,7.783224,9.458449,7.0205126,8.022082,12.010374,5.803326,5.092721,0.3502016,0.03971386,0.31048775,0.8655709,0.14460957,0.432343,0.7000003,0.03971386,4.782233,43.461678
82,412661.0,47128.0,8.3,719,7336,0,0,1,82,258.5,0,1596.3676,114.205124,2.7814314,554.7,1.7423502,12.930382,6.5778613,8.900549,6.3184276,7.375486,10.760623,5.554896,4.737996,,,,0.5552349,,,,,,
83,432305.0,77563.0,6.9,952,10515,0,0,1,87,258.5,1,1672.3597,179.41731,3.6827853,710.52,2.202149,12.976887,6.858565,9.260558,6.565997,7.421991,11.258845,5.554896,5.1897144,0.49822235,0.046504974,0.45171833,0.78943366,0.23419875,0.24756956,-1.4000001,0.046504974,4.737996,65.21219
84,173630.0,18915.0,8.7,366,7409,1,0,0,82,100.5,0,1727.6617,108.938545,3.641791,827.16003,2.1079307,12.064682,5.902633,8.910451,6.717998,7.454524,9.847711,4.6101575,4.690784,,,,0.74570674,,,,,,
85,159839.0,20873.0,5.9,317,10248,1,0,0,87,100.5,1,1590.4379,130.58765,3.154229,1232.99,1.9832456,11.981922,5.7589016,9.234838,7.1171975,7.3717647,9.946212,4.6101575,4.8720446,0.098501205,-0.08275986,0.18126059,0.6847347,-0.060972035,0.3991995,-2.7999997,-0.08275938,4.690784,21.649101
86,271076.0,20934.0,7.0,590,6113,0,0,1,82,53.0,0,5114.6416,77.22557,11.132075,672.75,2.1765113,12.510155,6.3801227,8.718173,6.511374,8.539863,9.94913,3.9702919,4.3467307,,,,0.77772325,,,,,,
87,280370.0,20775.0,6.3,623,9340,0,0,1,87,53.0,1,5290.0,74.09851,11.754717,779.98004,2.2220638,12.543865,6.4345465,9.142061,6.6592684,8.573573,9.941505,3.9702919,4.3053956,-0.007624626,0.03371048,-0.041335106,0.7984364,0.02071315,0.14789438,-0.6999998,0.03371048,4.3467307,-3.12706
88,268887.0,14537.0,5.5,400,7704,0,0,1,82,255.9,0,1050.7504,54.063602,1.5631106,570.63,1.4876138,12.502047,5.9914646,8.949495,6.346741,6.9572597,9.584453,5.544787,3.9901612,,,,0.39717335,,,,,,
89,340158.0,18703.0,6.3,504,12039,0,0,1,87,255.9,1,1329.2615,54.983273,1.9695194,635.69995,1.4816644,12.737165,6.222576,9.395906,6.4547267,7.192379,9.836439,5.544787,4.007029,0.2519865,0.23511887,0.016867876,0.39316607,-0.00400728,0.1079855,0.8000002,0.23511934,3.9901612,0.9196701
90,645231.0,45851.0,13.1,2087,7028,0,0,0,82,95.8,0,6735.1875,71.06137,21.784967,952.27997,3.2345004,13.377363,7.6434827,8.857657,6.858859,8.815101,10.733152,4.5622625,4.263544,,,,1.1738745,,,,,,
91,607885.0,50398.0,5.9,1944,9765,0,0,0,87,95.8,1,6345.3545,82.90713,20.292274,1366.44,3.1979733,13.317741,7.572503,9.18656,7.219964,8.755478,10.827706,4.5622625,4.4177213,0.09455395,-0.05962181,0.15417719,1.1625173,-0.011357188,0.36110497,-7.2000003,-0.059622765,4.263544,11.845757
