,distid,schid,lunch,enroll,staff,exppp,avgsal,avgben,math4,story4,bs,lavgsal,lenroll,lstaff,bsbar,lunchbar,lenrollbar,lstaffbar
12,3030.0,4469,35.2,283,71.8,2682,28539.0,8818,55.8,78.8,0.3089807,10.259027,5.645447,4.2738843,0.31333091109991074,31.700000286102295,5.850588440895081,4.293529510498047
13,3030.0,5954,33.3,509,61.7,2664,33717.0,10671,55.7,72.2,0.31648722,10.425757,6.232448,4.122284,0.31333091109991074,31.700000286102295,5.850588440895081,4.293529510498047
14,3040.0,936,21.6,485,81.0,2511,24393.0,9089,75.0,75.0,0.3726069,10.102052,6.184149,4.394449,0.36708101630210876,23.100000381469727,6.102586030960083,4.4526543617248535
15,3040.0,3224,24.6,412,91.0,2262,19831.0,7170,54.8,61.5,0.36155513,9.895001,6.0210233,4.5108595,0.36708101630210876,23.100000381469727,6.102586030960083,4.4526543617248535
16,3050.0,107,43.2,368,68.2,3227,36526.0,11494,45.7,56.9,0.31467995,10.505779,5.908083,4.2224445,0.31467995047569275,43.20000076293945,5.908082962036133,4.222444534301758
17,3060.0,6034,39.5,505,71.2,3018,31373.0,10822,49.4,72.7,0.3449463,10.353703,6.2245584,4.265493,0.3449462950229645,39.5,6.224558353424072,4.265492916107178
18,3070.0,1756,28.5,442,69.0,2623,29639.0,9282,51.9,77.8,0.31316847,10.296846,6.09131,4.2341065,0.31120234727859497,29.899999618530273,5.647658348083496,4.3585546016693115
19,3070.0,6025,31.3,182,88.5,3488,28150.0,8705,68.3,80.5,0.30923623,10.245302,5.2040067,4.4830027,0.31120234727859497,29.899999618530273,5.647658348083496,4.3585546016693115
20,3080.0,941,27.5,416,78.6,3046,30085.0,10167,65.4,78.8,0.3379425,10.311782,6.0306854,4.364372,0.337942510843277,27.5,6.0306854248046875,4.3643717765808105
21,3100.0,1545,16.0,444,65.1,2749,33245.0,10637,62.1,75.9,0.31995788,10.411659,6.0958247,4.1759243,0.32492248713970184,19.625000476837158,5.637776136398315,4.225014805793762
22,3100.0,1548,21.7,359,64.9,2896,34413.0,11111,76.9,73.1,0.32287216,10.44619,5.8833222,4.1728477,0.32492248713970184,19.625000476837158,5.637776136398315,4.225014805793762
23,3100.0,3403,19.7,175,67.1,2731,29179.0,9150,64.3,71.4,0.31358168,10.281204,5.164786,4.206184,0.32492248713970184,19.625000476837158,5.637776136398315,4.225014805793762
24,3100.0,4975,21.1,223,77.1,3026,30736.0,10551,51.7,55.2,0.34327823,10.33319,5.4071717,4.3451033,0.32492248713970184,19.625000476837158,5.637776136398315,4.225014805793762
25,3440.0,1415,0.0,31,135.5,5569,27632.0,5396,60.0,60.0,0.19528084,10.226729,3.4339871,4.908972,0.19528083503246307,0.0,3.4339871406555176,4.908971786499023
26,4010.0,106,39.1,527,71.2,2910,31464.0,10445,65.2,69.6,0.3319667,10.356599,6.2672005,4.265493,0.347346736325158,43.011110093858505,5.603103160858154,4.374431716071235
27,4010.0,1110,35.6,523,63.2,2899,34258.0,11206,63.4,71.8,0.3271061,10.441675,6.2595816,4.146304,0.347346736325158,43.011110093858505,5.603103160858154,4.374431716071235
28,4010.0,1688,37.1,278,87.8,3178,27510.0,9837,64.1,69.2,0.35757905,10.222305,5.627621,4.4750614,0.347346736325158,43.011110093858505,5.603103160858154,4.374431716071235
29,4010.0,2185,71.7,272,91.6,3272,28944.0,10448,60.0,51.4,0.3609729,10.273118,5.605802,4.5174313,0.347346736325158,43.011110093858505,5.603103160858154,4.374431716071235
30,4010.0,2251,44.6,193,74.3,2522,25574.0,9659,51.9,59.3,0.3776883,10.149331,5.26269,4.308111,0.347346736325158,43.011110093858505,5.603103160858154,4.374431716071235
31,4010.0,2353,36.5,159,93.8,3326,26667.0,8981,45.8,75.0,0.3367833,10.191182,5.0689044,4.541165,0.347346736325158,43.011110093858505,5.603103160858154,4.374431716071235
32,4010.0,2859,54.1,157,85.7,3212,29352.0,11042,38.9,61.1,0.37619242,10.287116,5.056246,4.450853,0.347346736325158,43.011110093858505,5.603103160858154,4.374431716071235
33,4010.0,3392,29.0,276,78.9,3052,29679.0,9554,67.6,78.4,0.32191113,10.298195,5.620401,4.368181,0.347346736325158,43.011110093858505,5.603103160858154,4.374431716071235
34,4010.0,5499,39.4,287,73.5,2928,30790.0,10343,71.4,79.6,0.33592075,10.334946,5.659482,4.2972856,0.347346736325158,43.011110093858505,5.603103160858154,4.374431716071235
35,5010.0,40,0.0,112,87.5,2125,17177.0,6843,27.3,45.5,0.39838156,9.751327,4.7184987,4.4716387,0.3983815610408783,0.0,4.718498706817627,4.4716386795043945
36,5035.0,5858,37.7,282,81.6,3566,31169.0,10466,48.8,53.7,0.33578235,10.347179,5.641907,4.4018292,0.33578234910964966,37.70000076293945,5.641907215118408,4.401829242706299
37,5040.0,5894,25.5,266,74.8,3542,35378.0,12317,79.7,83.1,0.34815422,10.4738455,5.583496,4.314818,0.348154217004776,25.5,5.58349609375,4.314817905426025
38,5060.0,2090,36.6,385,77.4,3584,35957.0,12087,82.5,83.9,0.3361515,10.490079,5.9532433,4.3489866,0.33577561378479004,29.799999237060547,5.753101348876953,4.349632263183594
39,5060.0,7458,23.0,258,77.5,3810,37102.0,12444,82.9,90.2,0.33539972,10.521426,5.5529594,4.350278,0.33577561378479004,29.799999237060547,5.753101348876953,4.349632263183594
40,5065.0,5859,41.7,292,78.8,3367,30571.0,10513,60.9,82.6,0.34388798,10.327807,5.676754,4.366913,0.34388798475265503,41.70000076293945,5.676753997802734,4.366912841796875
41,5070.0,2332,46.3,510,90.2,3288,27685.0,11026,60.3,71.2,0.3982662,10.228646,6.234411,4.5020294,0.3982661962509155,46.29999923706055,6.234410762786865,4.5020294189453125
42,6010.0,6950,49.6,519,69.4,3072,34649.0,11198,44.7,73.7,0.32318392,10.453024,6.251904,4.2398868,0.32318392395973206,49.599998474121094,6.251904010772705,4.23988676071167
43,6020.0,146,35.6,305,82.0,3240,29226.0,12823,60.5,69.8,0.43875316,10.282814,5.7203116,4.406719,0.4387531578540802,35.599998474121094,5.720311641693115,4.406719207763672
44,6050.0,4049,49.2,715,69.7,3005,33252.0,10397,50.0,65.5,0.3126729,10.41187,6.5722823,4.2442,0.3129231929779053,48.80000114440918,6.326107740402222,4.249906539916992
45,6050.0,4068,48.4,437,70.5,2999,32110.0,10056,54.7,67.9,0.31317347,10.376923,6.079933,4.255613,0.3129231929779053,48.80000114440918,6.326107740402222,4.249906539916992
46,7010.0,128,59.5,37,54.1,4177,51357.0,20512,88.9,77.8,0.39940026,10.846557,3.6109178,3.9908342,0.3994002640247345,59.5,3.610917806625366,3.9908342361450195
47,7020.0,2992,50.0,95,63.2,2567,28846.0,10387,59.1,68.2,0.3600846,10.269727,4.553877,4.146304,0.360084593296051,50.0,4.553876876831055,4.146304130554199
48,7040.0,5002,38.0,387,86.4,3095,27616.0,10336,45.8,66.7,0.37427577,10.2261505,5.9584246,4.4589877,0.3742757737636566,38.0,5.9584245681762695,4.458987712860107
49,8010.0,901,40.9,791,78.6,3089,30695.0,10201,67.1,66.3,0.33233425,10.331855,6.673298,4.364372,0.3323342502117157,40.900001525878906,6.673297882080078,4.3643717765808105
50,8030.0,77,28.1,422,77.0,3142,33256.0,11111,78.7,61.7,0.33410513,10.41199,6.0450053,4.3438053,0.33503976464271545,23.424999713897705,5.899293899536133,4.35422956943512
51,8030.0,1606,0.0,586,71.2,3178,33850.0,11343,70.9,68.2,0.335096,10.429694,6.3733196,4.265493,0.33503976464271545,23.424999713897705,5.899293899536133,4.35422956943512
52,8030.0,3075,31.8,200,84.3,3524,29796.0,10026,51.2,60.5,0.33648813,10.30213,5.2983174,4.434382,0.33503976464271545,23.424999713897705,5.899293899536133,4.35422956943512
53,8030.0,3541,33.8,358,79.3,3155,31384.0,10497,68.1,68.1,0.3344698,10.3540535,5.880533,4.373238,0.33503976464271545,23.424999713897705,5.899293899536133,4.35422956943512
54,8050.0,7253,18.7,416,69.5,2858,33755.0,10902,53.4,64.7,0.32297438,10.426884,6.0306854,4.241327,0.32297438383102417,18.700000762939453,6.0306854248046875,4.241326808929443
55,9010.0,150,32.1,412,50.0,2836,44605.0,15998,78.4,70.6,0.35865936,10.705602,6.0210233,3.912023,0.35831118524074557,49.19000034332275,6.035547971725464,4.048376107215882
56,9010.0,804,70.6,284,82.0,2547,24615.0,8795,53.7,53.7,0.35730246,10.111112,5.6489744,4.406719,0.35831118524074557,49.19000034332275,6.035547971725464,4.048376107215882
57,9010.0,1553,32.2,462,52.2,2950,44541.0,15978,80.3,73.7,0.35872567,10.704165,6.135565,3.9550824,0.35831118524074557,49.19000034332275,6.035547971725464,4.048376107215882
58,9010.0,2235,55.3,440,59.8,3139,41251.0,14798,63.9,66.2,0.3587307,10.627431,6.086775,4.091006,0.35831118524074557,49.19000034332275,6.035547971725464,4.048376107215882
59,9010.0,2309,17.1,304,51.0,3336,50979.0,18245,74.5,80.9,0.35789245,10.8391695,5.7170277,3.9318256,0.35831118524074557,49.19000034332275,6.035547971725464,4.048376107215882
60,9010.0,3201,55.9,157,57.3,3162,42629.0,15228,64.3,78.6,0.3572216,10.66029,5.056246,4.0483007,0.35831118524074557,49.19000034332275,6.035547971725464,4.048376107215882
61,9010.0,4361,64.6,624,61.4,2603,33909.0,12133,57.6,70.6,0.35781062,10.431436,6.4361506,4.1174097,0.35831118524074557,49.19000034332275,6.035547971725464,4.048376107215882
62,9010.0,5463,32.4,646,52.5,2928,44057.0,15803,80.0,81.1,0.3586944,10.693239,6.4707994,3.9608133,0.35831118524074557,49.19000034332275,6.035547971725464,4.048376107215882
63,9010.0,6966,64.3,559,54.7,2993,42845.0,15388,60.4,70.8,0.3591551,10.665344,6.3261495,4.001864,0.35831118524074557,49.19000034332275,6.035547971725464,4.048376107215882
64,9010.0,6967,67.4,637,57.9,2905,39722.0,14257,55.6,52.8,0.3589195,10.589661,6.4567695,4.0587173,0.35831118524074557,49.19000034332275,6.035547971725464,4.048376107215882
65,9030.0,186,44.6,368,79.6,2939,32672.0,9562,73.8,69.0,0.2926665,10.394274,5.908083,4.377014,0.3719308227300644,39.47499942779541,5.618268966674805,4.363177299499512
66,9030.0,191,49.6,302,79.3,3129,34024.0,9129,76.1,69.6,0.2683106,10.434821,5.710427,4.373238,0.3719308227300644,39.47499942779541,5.618268966674805,4.363177299499512
67,9030.0,192,40.7,167,85.6,3584,24425.0,16108,67.9,71.4,0.6594882,10.103362,5.117994,4.449685,0.3719308227300644,39.47499942779541,5.618268966674805,4.363177299499512
68,9030.0,194,23.0,310,70.3,2908,33709.0,9009,72.5,78.4,0.267258,10.42552,5.7365723,4.252772,0.3719308227300644,39.47499942779541,5.618268966674805,4.363177299499512
69,9050.0,1789,22.0,246,91.1,3737,31890.0,10527,78.4,86.5,0.3301035,10.370048,5.5053315,4.5119576,0.330419917901357,27.399999618530273,5.514641443888347,4.410704294840495
70,9050.0,4290,35.8,245,75.9,3452,33427.0,11032,77.1,72.9,0.33003262,10.417119,5.5012584,4.3294168,0.330419917901357,27.399999618530273,5.514641443888347,4.410704294840495
71,9050.0,4321,24.4,254,80.7,3613,33489.0,11089,71.4,71.4,0.33112365,10.418972,5.5373344,4.3907385,0.330419917901357,27.399999618530273,5.514641443888347,4.410704294840495
72,9090.0,1368,43.8,202,74.3,3444,38892.0,11727,70.8,79.2,0.3015273,10.568543,5.3082676,4.308111,0.29804927110671997,43.67499923706055,5.6017913818359375,4.213233709335327
73,9090.0,2236,29.7,239,66.9,3832,45829.0,13792,78.6,82.1,0.3009448,10.732673,5.4764633,4.203199,0.29804927110671997,43.67499923706055,5.6017913818359375,4.213233709335327
74,9090.0,2628,50.6,253,71.1,3498,37115.0,10999,68.4,76.3,0.2963492,10.521776,5.5333896,4.264087,0.29804927110671997,43.67499923706055,5.6017913818359375,4.213233709335327
75,9090.0,3041,50.6,441,59.0,3029,41152.0,12073,50.0,81.0,0.2933758,10.625028,6.089045,4.0775375,0.29804927110671997,43.67499923706055,5.6017913818359375,4.213233709335327
76,10015.0,848,49.5,392,64.0,2986,34033.0,12010,61.2,69.4,0.3528928,10.435086,5.971262,4.158883,0.3449828823407491,53.50000127156576,5.773355801900228,4.221429030100505
77,10015.0,3067,40.7,442,62.0,3033,35002.0,12898,75.8,66.1,0.36849323,10.4631605,6.09131,4.1271343,0.3449828823407491,53.50000127156576,5.773355801900228,4.221429030100505
78,10015.0,5591,70.3,192,79.7,3534,33349.0,10457,78.3,69.6,0.31356263,10.4147835,5.2574954,4.3782697,0.3449828823407491,53.50000127156576,5.773355801900228,4.221429030100505
79,10025.0,1298,38.1,317,77.9,4055,38028.0,14977,63.4,70.7,0.3938414,10.546078,5.7589016,4.355426,0.39384138584136963,38.099998474121094,5.758901596069336,4.355425834655762
80,11010.0,202,97.7,169,71.0,3518,33880.0,12150,52.9,41.2,0.35861865,10.43058,5.1298985,4.26268,0.3581055769553551,88.87692202054538,5.6157510830805855,4.275678854722243
81,11010.0,373,61.6,253,84.3,3225,26164.0,9383,63.3,73.3,0.35862252,10.17214,5.5333896,4.434382,0.3581055769553551,88.87692202054538,5.6157510830805855,4.275678854722243
82,11010.0,500,93.6,381,82.7,3906,34341.0,12273,7.9,26.3,0.3573862,10.444096,5.9427996,4.41522,0.3581055769553551,88.87692202054538,5.6157510830805855,4.275678854722243
83,11010.0,1181,93.9,337,57.9,3333,41383.0,14831,84.6,79.5,0.35838386,10.630626,5.820083,4.0587173,0.3581055769553551,88.87692202054538,5.6157510830805855,4.275678854722243
84,11010.0,1182,96.2,183,91.1,3344,28995.0,10378,36.4,40.9,0.35792378,10.2748785,5.209486,4.5119576,0.3581055769553551,88.87692202054538,5.6157510830805855,4.275678854722243
85,11010.0,1183,81.5,124,88.7,3785,29186.0,10467,85.2,88.9,0.35863084,10.281445,4.8202815,4.48526,0.3581055769553551,88.87692202054538,5.6157510830805855,4.275678854722243
86,11010.0,1184,92.5,293,62.6,3339,41451.0,14840,33.3,36.1,0.35801306,10.632267,5.6801724,4.1367655,0.3581055769553551,88.87692202054538,5.6157510830805855,4.275678854722243
87,11010.0,1629,93.6,477,58.7,3336,44392.0,15855,37.1,40.0,0.35715896,10.700814,6.1675167,4.0724397,0.3581055769553551,88.87692202054538,5.6157510830805855,4.275678854722243
88,11010.0,1792,95.6,599,69.6,3409,37250.0,13339,41.7,55.0,0.35809395,10.525407,6.395262,4.2427645,0.3581055769553551,88.87692202054538,5.6157510830805855,4.275678854722243
89,11010.0,2068,64.7,156,67.3,3782,38433.0,13784,60.0,80.0,0.35865012,10.556672,5.049856,4.2091603,0.3581055769553551,88.87692202054538,5.6157510830805855,4.275678854722243
90,11010.0,2405,95.3,196,68.9,3234,36915.0,13214,76.5,64.7,0.35795748,10.516374,5.278115,4.232656,0.3581055769553551,88.87692202054538,5.6157510830805855,4.275678854722243
91,11010.0,3502,90.2,314,78.0,3318,32259.0,11553,73.5,49.0,0.3581326,10.381553,5.749393,4.356709,0.3581055769553551,88.87692202054538,5.6157510830805855,4.275678854722243
92,11010.0,4070,99.0,507,64.4,3419,39645.0,14185,55.9,58.8,0.35780048,10.58772,6.228511,4.1651134,0.3581055769553551,88.87692202054538,5.6157510830805855,4.275678854722243
93,11020.0,422,7.1,294,79.2,3540,35056.0,11917,69.2,98.1,0.3399418,10.464702,5.68358,4.3719764,0.33957021435101825,10.366666396458944,5.853716214497884,4.262839317321777
94,11020.0,992,2.7,384,68.4,3260,36899.0,12521,74.4,84.1,0.3393317,10.51594,5.9506426,4.225373,0.33957021435101825,10.366666396458944,5.853716214497884,4.262839317321777
95,11020.0,2211,21.3,375,66.1,3146,37026.0,12568,82.4,92.6,0.33943716,10.519376,5.926926,4.191169,0.33957021435101825,10.366666396458944,5.853716214497884,4.262839317321777
96,11030.0,1700,20.2,455,63.7,2660,33016.0,10600,62.9,75.7,0.32105646,10.404748,6.1202974,4.1541843,0.3189809521039327,16.3000005086263,6.138528029123942,4.1593678792317705
97,11030.0,2098,11.5,487,64.8,2463,29662.0,9391,76.8,82.9,0.31660035,10.297622,6.188264,4.1713057,0.3189809521039327,16.3000005086263,6.138528029123942,4.1593678792317705
98,11030.0,2099,17.2,449,63.6,2580,31038.0,9910,73.0,86.5,0.31928605,10.342968,6.107023,4.1526136,0.3189809521039327,16.3000005086263,6.138528029123942,4.1593678792317705
99,11033.0,670,15.8,273,74.0,3291,35730.0,12418,93.8,78.1,0.34755108,10.483746,5.609472,4.304065,0.351899395386378,27.60000006357829,5.452513217926025,4.492611726125081
100,11033.0,4180,32.2,260,84.2,3450,34005.0,11949,66.7,78.8,0.3513895,10.434263,5.560682,4.433195,0.351899395386378,27.60000006357829,5.452513217926025,4.492611726125081
101,11033.0,6685,34.8,179,114.5,4673,31705.0,11311,76.9,92.3,0.3567576,10.364229,5.187386,4.740575,0.351899395386378,27.60000006357829,5.452513217926025,4.492611726125081
102,11160.0,1354,27.1,298,83.6,2716,25053.0,8600,40.0,62.5,0.34327227,10.128749,5.6970935,4.4260435,0.34327226877212524,27.100000381469727,5.697093486785889,4.426043510437012
103,11200.0,2678,39.4,299,111.2,4496,32498.0,11537,83.3,81.0,0.35500646,10.388934,5.7004437,4.7113304,0.35500645637512207,39.400001525878906,5.700443744659424,4.711330413818359
104,11210.0,386,30.1,861,58.2,2818,40518.0,13570,74.0,77.9,0.33491287,10.609502,6.7580943,4.063885,0.33491286635398865,30.100000381469727,6.758094310760498,4.06388521194458
105,11240.0,299,55.2,366,132.7,3178,23815.0,8089,75.8,85.7,0.33965987,10.078071,5.902633,4.888091,0.3396598696708679,55.20000076293945,5.902633190155029,4.888091087341309
106,11250.0,2288,65.1,444,70.9,3683,38529.0,13366,59.6,63.8,0.34690753,10.559167,6.0958247,4.2612705,0.34690752625465393,65.0999984741211,6.095824718475342,4.261270523071289
107,11300.0,184,48.3,792,51.8,2419,37750.0,13472,84.3,75.3,0.35687417,10.538741,6.6745615,3.94739,0.3569297343492508,51.124999046325684,6.158385276794434,4.129849433898926
108,11300.0,1056,50.1,392,65.8,2848,37751.0,13488,63.3,61.2,0.35728854,10.538767,5.971262,4.1866198,0.3569297343492508,51.124999046325684,6.158385276794434,4.129849433898926
109,11300.0,1771,44.6,512,68.8,2842,37222.0,13341,62.1,69.5,0.35841706,10.524655,6.2383246,4.2312036,0.3569297343492508,51.124999046325684,6.158385276794434,4.129849433898926
110,11300.0,2796,61.5,314,63.7,2859,36611.0,13002,82.1,84.6,0.35513917,10.508104,5.749393,4.1541843,0.3569297343492508,51.124999046325684,6.158385276794434,4.129849433898926
111,11310.0,1528,31.9,218,75.6,3098,33765.0,11014,45.5,65.9,0.32619578,10.42718,5.3844953,4.325456,0.3593416710694631,33.23333295186361,5.6044332186381025,4.360513528188069
112,11310.0,2583,42.3,326,88.8,3319,29855.0,11860,78.0,73.2,0.3972534,10.304108,5.786897,4.486387,0.3593416710694631,33.23333295186361,5.6044332186381025,4.360513528188069
113,11310.0,5325,25.5,282,71.5,2707,30803.0,10922,86.0,83.7,0.35457584,10.335367,5.641907,4.2696977,0.3593416710694631,33.23333295186361,5.6044332186381025,4.360513528188069
114,11320.0,2722,53.4,383,60.7,2627,36371.0,10310,70.6,76.5,0.2834676,10.501527,5.948035,4.1059437,0.2834675908088684,53.400001525878906,5.948034763336182,4.10594367980957
115,11330.0,752,73.2,479,86.3,2788,27253.0,9184,75.3,75.3,0.33699042,10.212919,6.1717005,4.4578295,0.3457602858543396,65.29999923706055,6.142691373825073,4.435919523239136
116,11330.0,4390,57.4,452,82.6,2842,26136.0,9266,64.3,72.9,0.35453016,10.171069,6.1136823,4.4140096,0.3457602858543396,65.29999923706055,6.142691373825073,4.435919523239136
117,11340.0,400,22.0,368,98.9,3788,30728.0,10856,60.8,63.5,0.35329342,10.33293,5.908083,4.594109,0.35329341888427734,22.0,5.908082962036133,4.594109058380127
118,11670.0,3217,0.0,60,83.3,3612,28967.0,9063,66.7,83.3,0.31287327,10.273912,4.0943446,4.4224486,0.3128732740879059,0.0,4.094344615936279,4.422448635101318
119,11830.0,5841,0.0,73,82.2,3049,26681.0,5835,100.0,100.0,0.21869496,10.191707,4.2904596,4.4091554,0.21869495511054993,0.0,4.290459632873535,4.409155368804932
120,12010.0,1080,26.3,364,74.9,3072,31205.0,10746,64.3,69.0,0.3443679,10.348333,5.897154,4.316154,0.33154211938381195,25.6833332379659,5.636623938878377,4.339532772699992
121,12010.0,1406,14.7,143,93.5,4114,31861.0,10162,36.4,63.6,0.31894794,10.369138,4.962845,4.5379615,0.33154211938381195,25.6833332379659,5.636623938878377,4.339532772699992
122,12010.0,1897,24.2,286,77.8,3265,32365.0,10962,64.1,66.7,0.33869922,10.384833,5.655992,4.354141,0.33154211938381195,25.6833332379659,5.636623938878377,4.339532772699992
123,12010.0,2091,22.0,441,63.5,2966,33451.0,11073,53.7,62.7,0.3310215,10.417837,6.089045,4.15104,0.33154211938381195,25.6833332379659,5.636623938878377,4.339532772699992
124,12010.0,2192,38.8,399,71.0,3533,35598.0,11764,74.1,70.7,0.330468,10.480044,5.988961,4.26268,0.33154211938381195,25.6833332379659,5.636623938878377,4.339532772699992
125,12010.0,4385,28.1,186,82.7,3449,29839.0,9720,54.1,73.0,0.32574818,10.303572,5.2257466,4.41522,0.33154211938381195,25.6833332379659,5.636623938878377,4.339532772699992
126,12020.0,3305,45.8,252,70.6,2885,29717.0,9519,44.6,57.0,0.3203217,10.299475,5.529429,4.25703,0.3203217089176178,45.79999923706055,5.529428958892822,4.257030010223389
127,12040.0,1921,38.2,756,64.8,2919,33292.0,10300,56.9,65.1,0.30938363,10.413073,6.6280413,4.1713057,0.3093836307525635,38.20000076293945,6.6280412673950195,4.1713056564331055
128,13010.0,1581,81.4,443,70.7,3346,34066.0,11981,54.2,66.1,0.35169965,10.436055,6.0935698,4.2584457,0.3659686967730522,68.5,5.56448221206665,4.377127289772034
129,13010.0,2724,73.7,245,85.0,3781,35973.0,15221,38.2,44.1,0.42312288,10.490524,5.5012584,4.4426513,0.3659686967730522,68.5,5.56448221206665,4.377127289772034
130,13010.0,3690,76.4,217,86.8,3740,33307.0,11650,57.1,57.1,0.34977633,10.413523,5.379897,4.463607,0.3659686967730522,68.5,5.56448221206665,4.377127289772034
131,13010.0,7821,42.5,197,77.0,3273,32870.0,11152,70.4,70.4,0.33927593,10.400315,5.2832036,4.3438053,0.3659686967730522,68.5,5.56448221206665,4.377127289772034
132,13020.0,104,86.0,299,171.4,4473,34155.0,11846,11.1,33.3,0.34683064,10.438664,5.7004437,5.144,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
133,13020.0,738,63.2,299,70.4,3997,48053.0,16683,37.1,65.7,0.34717914,10.78006,5.7004437,4.2541933,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
134,13020.0,965,53.2,322,76.6,3508,38967.0,13530,27.9,53.5,0.34721687,10.570471,5.7745514,4.338597,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
135,13020.0,1306,89.4,310,75.8,3845,40787.0,14162,48.5,63.6,0.34721848,10.616118,5.7365723,4.3280983,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
136,13020.0,1326,45.6,291,74.7,3879,39487.0,13715,62.5,66.7,0.3473295,10.583727,5.673323,4.31348,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
137,13020.0,2122,56.0,303,77.4,3702,40608.0,14100,69.2,66.7,0.3472222,10.61172,5.7137327,4.3489866,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
138,13020.0,2169,50.6,187,95.5,4181,37182.0,12925,72.2,88.9,0.34761444,10.52358,5.2311087,4.5591264,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
139,13020.0,2221,86.8,215,105.3,4044,36711.0,12752,11.5,30.8,0.34736183,10.510832,5.370638,4.6568136,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
140,13020.0,2483,78.9,256,78.1,4106,41695.0,14483,51.7,65.5,0.3473558,10.638137,5.5451775,4.3579903,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
141,13020.0,3105,80.8,430,68.6,3575,41729.0,14481,66.7,58.3,0.34702486,10.638951,6.063785,4.2282925,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
142,13020.0,3279,82.0,203,82.8,4137,38755.0,13473,25.0,40.0,0.34764546,10.565015,5.313206,4.416428,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
143,13020.0,3570,42.5,412,92.1,3832,36573.0,12688,45.7,45.7,0.3469226,10.507066,6.0210233,4.522875,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
144,13020.0,4266,60.5,438,69.3,3576,41182.0,14291,54.7,52.8,0.34702054,10.625756,6.082219,4.238445,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
145,13020.0,4294,46.6,479,62.2,3252,39987.0,13878,36.9,58.5,0.3470628,10.59631,6.1717005,4.130355,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
146,13020.0,4382,68.0,255,72.4,3567,40837.0,14187,8.8,29.4,0.34740555,10.617344,5.5412636,4.2822065,0.3472293708473444,66.8875002861023,5.70395040512085,4.408595114946365
