,female,phsrank,BA,AA,black,hispanic,id,exper,jc,univ,lwage,stotal,smcity,medcity,submed,lgcity,sublg,vlgcity,subvlg,ne,nc,south,totcoll
32,1,83,0,0,0,0,600.0,113,0.0,0.0,1.8486185,-0.2586991,0,0,1,0,0,0,0,1,0,0,0.0
33,1,85,1,0,0,0,616.0,111,0.0,6.2,2.3513753,0.8853673,0,0,1,0,0,0,0,1,0,0,6.2
34,0,82,1,0,0,0,626.0,143,0.0,4.0,1.4916549,0.4735034,0,0,0,0,0,0,0,1,0,0,4.0
35,1,19,1,0,0,0,635.0,112,2.1333334,1.9333313,2.0589473,0.58791006,0,0,1,0,0,0,0,1,0,0,4.0666647
36,0,42,0,0,0,0,652.0,135,0.0,0.0,2.0215476,-0.48751235,1,0,0,0,0,0,0,0,0,0,0.0
37,0,50,0,0,0,0,655.0,157,0.0,0.0,2.476538,-0.601919,0,0,0,0,0,1,0,0,0,1,0.0
38,1,59,1,0,0,0,671.0,86,0.11111094,4.022218,2.3025851,0.015876854,0,0,0,0,1,0,0,0,0,1,4.1333294
39,1,26,1,0,1,0,712.0,49,2.6444418,2.6666667,2.8156736,-2.2493746,1,0,0,0,0,0,0,0,0,1,5.3111086
40,0,71,0,0,0,0,730.0,143,0.0,0.0,1.9139769,0.08452084,0,0,0,0,0,0,0,0,0,1,0.0
41,1,84,0,0,0,1,743.0,166,0.0,0.0,2.2192032,0.17604615,0,0,0,0,0,0,0,0,0,0,0.0
42,0,54,1,0,0,0,766.0,112,0.0,4.6,2.7154303,0.9997739,0,0,0,0,0,0,1,0,1,0,4.6
43,0,39,1,0,0,0,781.0,129,0.0,4.4166627,2.154665,0.17604615,1,0,0,0,0,0,0,0,0,1,4.4166627
44,1,37,0,0,1,0,784.0,66,0.0,0.0,2.2763002,-0.71632564,0,0,0,0,0,0,0,0,0,1,0.0
45,1,69,1,0,0,0,785.0,79,0.0,2.7,1.798607,-0.35022438,0,0,0,0,0,1,0,1,0,0,2.7
46,0,47,0,0,0,0,796.0,160,1.05,0.0,2.0347054,0.0,0,0,0,0,0,0,0,0,0,0,1.05
47,1,81,0,0,0,0,810.0,132,0.0,0.0,1.9278916,0.0,0,0,0,0,0,0,0,0,0,1,0.0
48,0,16,0,0,0,0,816.0,154,0.0,0.0,2.513656,-0.6248003,0,0,0,0,0,0,0,0,1,0,0.0
49,1,50,0,0,0,0,824.0,137,0.0,0.0,2.4544475,-0.601919,0,1,0,0,0,0,0,0,0,0,0.0
50,1,44,1,0,0,0,829.0,94,0.0,4.1,1.6937791,-0.14429244,1,0,0,0,0,0,0,0,0,0,4.1
51,0,49,0,0,1,0,843.0,118,0.0,1.5,2.0294628,0.3133341,0,0,0,0,0,1,0,1,0,0,1.5
52,1,58,0,0,0,0,850.0,154,0.0,0.0,2.0794415,0.015876854,0,1,0,0,0,0,0,1,0,0,0.0
53,1,35,0,0,0,0,851.0,142,0.0,0.8666667,2.3933392,-0.8536136,0,0,0,0,1,0,0,0,1,0,0.8666667
54,1,50,0,0,0,0,861.0,73,0.0,3.4333334,1.5597236,0.74807936,0,0,0,0,0,0,1,1,0,0,3.4333334
55,0,4,0,0,0,1,871.0,61,0.0,0.0,2.125251,-1.448528,0,0,0,0,0,0,0,0,0,1,0.0
56,1,65,0,0,1,0,874.0,154,0.0,1.399998,2.4849067,-1.0824269,0,0,0,0,1,0,0,0,1,0,1.399998
57,1,98,1,0,1,0,877.0,139,0.0,4.2,2.6567569,-0.55615634,0,1,0,0,0,0,0,0,0,1,4.2
58,1,71,0,0,0,1,880.0,112,0.0,0.0,2.0175312,-0.48751235,1,0,0,0,0,0,0,0,0,0,0.0
59,0,90,0,0,0,0,887.0,158,0.0,0.7555536,0.7657179,1.3201125,0,0,0,0,1,0,0,0,0,1,0.7555536
60,1,32,0,0,0,0,894.0,46,0.0,0.0,1.8809903,-0.6934443,1,0,0,0,0,0,0,1,0,0,0.0
61,1,91,0,0,0,1,939.0,113,0.0,0.2,2.1575587,-0.64768165,0,0,0,0,0,0,0,0,0,0,0.2
62,1,18,0,0,0,0,954.0,122,0.0,0.0,1.6351051,-1.2425961,1,0,0,0,0,0,0,0,0,0,0.0
63,0,49,0,0,0,0,955.0,61,1.3666667,0.0,1.7533083,-0.48751235,1,0,0,0,0,0,0,0,0,1,1.3666667
64,1,50,0,0,0,0,960.0,77,0.0,0.0,1.3862944,-0.5103937,0,1,0,0,0,0,0,0,0,0,0.0
65,0,51,0,1,0,0,967.0,162,2.6,0.0,2.154665,0.33621544,1,0,0,0,0,0,0,1,0,0,2.6
66,0,68,0,0,1,0,973.0,150,0.0,0.0,2.5087855,-0.64768165,0,0,0,0,0,0,0,0,0,1,0.0
67,1,50,1,0,0,0,987.0,108,0.0,2.1,2.7880929,2.0294337,0,0,0,0,0,1,0,1,0,0,2.1
68,0,22,0,0,0,1,991.0,150,0.6,0.0,2.3253245,-1.3570027,1,0,0,0,0,0,0,0,0,0,0.6
69,1,53,0,0,0,0,992.0,54,0.0,0.0,1.931521,1.0455366,0,1,0,0,0,0,0,0,0,0,0.0
70,0,67,0,1,0,0,997.0,124,2.4666667,0.0,2.4890642,0.0,0,0,0,0,0,1,0,0,1,0,2.4666667
71,0,4,0,0,1,0,1001.0,148,0.0,0.0,2.5257287,-2.4095438,0,0,0,0,0,0,0,0,0,1,0.0
72,1,66,0,0,0,0,1007.0,86,0.0,0.0,1.1225178,-0.2586991,0,0,0,0,0,0,0,1,0,0,0.0
73,1,83,0,0,0,0,1009.0,142,0.0,0.0,1.717395,0.15316482,0,0,1,0,0,0,0,1,0,0,0.0
74,0,8,0,0,0,0,1013.0,155,0.0,0.0,2.3321435,-1.929036,0,0,0,0,0,0,0,1,0,0,0.0
75,0,76,1,0,0,1,1022.0,78,0.0,4.5,2.2310889,-0.052767128,0,0,0,0,0,0,0,0,0,0,4.5
76,1,88,1,0,1,0,1059.0,148,0.0,5.0333333,2.3561258,0.0,0,1,0,0,0,0,0,0,0,1,5.0333333
77,0,35,0,0,0,0,1060.0,101,0.0,0.0,1.9490457,0.0,0,0,0,1,0,0,0,0,1,0,0.0
78,0,13,0,0,0,0,1062.0,151,0.3999995,0.0,2.5474901,-0.9680202,0,0,0,1,0,0,0,0,0,0,0.3999995
79,0,91,1,0,0,0,1067.0,130,1.9333333,2.3333333,3.2573857,0.7709606,0,0,0,0,0,0,0,0,0,0,4.2666664
80,1,99,1,0,0,0,1072.0,118,0.0,6.4,2.1972246,0.7709606,1,0,0,0,0,0,0,0,0,1,6.4
81,1,96,1,0,0,0,1083.0,141,0.0,3.188884,2.5649493,1.1141806,0,0,0,0,0,0,0,0,0,1,3.188884
82,0,70,1,0,0,0,1087.0,162,0.0,4.3,2.4849067,1.0226552,0,0,0,0,0,0,0,0,1,0,4.3
83,0,50,0,0,1,0,1118.0,132,0.0,0.0,2.1800578,-2.501069,0,0,0,0,0,0,0,0,0,1,0.0
84,0,29,1,0,0,0,1124.0,124,0.0,4.411104,1.9401066,0.3133341,0,0,0,0,1,0,0,1,0,0,4.411104
85,0,36,0,0,0,0,1128.0,165,0.0,0.17777748,2.8134108,-0.23581775,0,0,0,0,1,0,0,0,1,0,0.17777748
86,1,88,1,0,0,0,1134.0,117,0.0,4.7,2.4880772,0.93112993,0,0,0,0,1,0,0,0,0,1,4.7
87,1,83,1,0,0,0,1149.0,113,0.23333333,4.0,2.2823825,1.137062,0,0,1,0,0,0,0,1,0,0,4.233333
88,0,20,0,0,0,0,1199.0,147,0.0,0.0,2.5257287,0.26757145,0,0,0,0,0,0,0,0,1,0,0.0
89,1,80,1,0,0,0,1211.0,107,0.0,4.1,1.609438,1.2285872,0,0,0,0,0,1,0,0,0,1,4.1
90,0,37,1,0,0,0,1226.0,124,0.0,4.8888836,2.4079456,-0.6248003,0,0,0,1,0,0,0,0,0,1,4.8888836
91,1,49,0,0,0,0,1240.0,127,0.0,0.0,2.296479,-0.4417497,0,0,0,0,0,0,0,0,1,0,0.0
92,0,3,0,0,0,0,1247.0,154,0.0,0.0,2.1459308,-0.41886836,0,0,0,0,0,0,0,0,1,0,0.0
93,1,81,1,0,0,0,1276.0,49,0.0,4.4,1.8245488,0.79384196,1,0,0,0,0,0,0,0,0,1,4.4
94,1,81,0,0,0,0,1282.0,116,0.0,7.2888794,1.8458267,0.6107914,0,0,0,1,0,0,0,0,0,1,7.2888794
95,0,18,0,0,0,0,1314.0,148,0.0,0.0,2.5496342,-0.16717376,0,0,0,0,1,0,0,0,0,1,0.0
96,1,70,0,0,0,0,1327.0,135,0.0,0.0,1.7491999,0.9082486,0,1,0,0,0,0,0,1,0,0,0.0
97,1,87,0,0,0,0,1332.0,144,0.0,0.0,2.014903,-0.670563,1,0,0,0,0,0,0,0,0,0,0.0
98,0,1,0,0,0,0,1340.0,110,0.0,0.0,1.6601307,-2.5468318,0,1,0,0,0,0,0,0,1,0,0.0
99,1,98,1,0,0,0,1352.0,109,0.0,6.599996,2.207275,0.4735034,1,0,0,0,0,0,0,0,0,1,6.599996
100,1,26,0,0,0,0,1377.0,142,0.0,0.0,1.9851309,-0.8307323,0,0,0,0,1,0,0,1,0,0,0.0
101,1,79,0,0,0,0,1380.0,46,0.0,3.5333333,2.069286,0.17604615,0,0,0,1,0,0,0,1,0,0,3.5333333
102,0,38,0,0,0,0,1381.0,138,0.0,2.5333333,1.3480728,0.8396046,0,0,0,1,0,0,0,0,1,0,2.5333333
103,1,68,0,0,0,0,1388.0,101,0.0,0.0,1.3862944,0.10740216,0,1,0,0,0,0,0,0,0,0,0.0
104,0,57,0,0,0,0,1399.0,155,0.0,0.0,2.2310889,-0.46463102,0,0,1,0,0,0,0,0,0,1,0.0
105,0,55,1,0,0,0,1403.0,138,0.0,4.555548,2.2512918,0.93112993,0,0,0,0,0,0,1,0,1,0,4.555548
106,1,75,0,0,0,0,1407.0,119,1.7111084,0.0,1.5040774,0.45062208,0,0,0,0,0,0,1,0,1,0,1.7111084
107,1,78,0,0,0,0,1412.0,155,2.2,0.0,1.8328974,0.17604615,0,0,0,0,0,0,0,0,0,1,2.2
108,1,82,0,0,0,0,1416.0,151,0.0,1.2666667,1.3350009,1.0455366,1,0,0,0,0,0,0,0,1,0,1.2666667
109,0,70,1,0,0,0,1436.0,145,0.0,4.266667,2.7999878,1.4345192,0,0,0,0,1,0,0,0,0,0,4.266667
110,1,36,0,0,0,0,1439.0,136,0.0,0.0,2.1594844,0.06163951,1,0,0,0,0,0,0,1,0,0,0.0
111,0,36,0,0,0,0,1508.0,97,0.0,0.0,2.4079456,-0.80785096,0,0,0,0,0,0,0,0,1,0,0.0
112,1,88,1,0,0,0,1518.0,146,0.0,6.0,2.5649493,0.9997739,0,0,0,0,0,0,0,0,0,0,6.0
113,0,35,0,0,0,0,1538.0,161,1.3,0.6333333,1.792529,0.6107914,0,1,0,0,0,0,0,0,0,1,1.9333333
114,1,80,0,0,0,1,1539.0,143,0.0,0.0,2.4454446,-1.0137829,0,0,0,0,1,0,0,0,0,0,0.0
115,1,68,0,0,0,0,1541.0,164,0.0,0.0,2.257023,0.03875818,1,0,0,0,0,0,0,0,0,0,0.0
116,1,86,0,0,0,0,1553.0,149,0.0,0.5111104,2.6270812,-0.2586991,0,0,0,0,0,0,0,0,1,0,0.5111104
117,0,27,0,0,0,0,1577.0,166,0.0,0.0,2.5649493,-0.8993762,1,0,0,0,0,0,0,0,1,0,0.0
118,1,44,0,0,0,0,1586.0,60,0.0,0.0,1.2527629,-1.5171721,0,0,0,0,1,0,0,0,1,0,0.0
119,1,92,1,0,1,0,1588.0,84,0.0,4.8,1.7715563,0.51926607,1,0,0,0,0,0,0,0,0,1,4.8
120,1,51,1,0,1,0,1598.0,163,0.0,4.6444383,1.9906102,-1.1053082,0,0,0,1,0,0,0,0,0,1,4.6444383
121,0,37,0,1,0,0,1599.0,111,0.0,4.577775,2.0512707,-0.48751235,1,0,0,0,0,0,0,1,0,0,4.577775
122,0,36,1,0,0,0,1613.0,127,0.0,4.3333335,2.596448,-0.098529786,0,0,1,0,0,0,0,0,0,1,4.3333335
123,0,38,0,0,0,0,1624.0,157,0.0,0.0,2.014903,-0.21293642,0,0,0,1,0,0,0,0,1,0,0.0
124,0,71,0,0,0,0,1629.0,162,0.13333334,0.0,2.1392918,0.0,1,0,0,0,0,0,0,1,0,0,0.13333334
125,0,53,0,0,0,0,1640.0,135,2.3333304,0.89999896,2.3586745,-0.14429244,0,1,0,0,0,0,0,0,1,0,3.2333293
126,1,79,1,0,0,0,1661.0,109,0.0,4.2,2.6498156,0.6107914,1,0,0,0,0,0,0,1,0,0,4.2
127,1,99,0,0,0,0,1667.0,56,0.0,5.8333335,2.1611085,1.5031631,0,0,0,0,1,0,0,0,1,0,5.8333335
128,0,21,0,0,0,0,1676.0,153,0.0,0.0,1.658228,-1.0366642,0,0,0,0,0,0,0,0,0,1,0.0
129,0,65,1,0,0,0,1679.0,118,0.0,4.3,1.8718022,0.5421474,1,0,0,0,0,0,0,0,0,1,4.3
130,0,95,0,0,0,0,1695.0,161,0.0,0.0,2.3754225,0.9082486,1,0,0,0,0,0,0,0,0,0,0.0
131,1,54,0,0,0,0,1710.0,150,0.0,0.0,2.0794415,0.35909677,0,1,0,0,0,0,0,0,1,0,0.0
132,0,40,0,0,1,0,1723.0,146,0.0,0.0,2.2554927,-1.0137829,0,1,0,0,0,0,0,1,0,0,0.0
133,0,40,1,0,0,0,1724.0,109,0.0,4.2,2.0794415,0.8167233,0,1,0,0,0,0,0,1,0,0,4.2
134,0,88,1,0,0,0,1728.0,101,0.56666666,5.266667,2.2353764,1.6404511,1,0,0,0,0,0,0,0,1,0,5.8333335
135,0,25,0,0,0,0,1730.0,85,0.0,0.0,2.028148,1.2057059,0,0,0,0,0,0,0,0,1,0,0.0
136,1,58,0,0,0,0,1735.0,137,0.0,0.4,2.358965,0.15316482,0,0,0,0,0,0,0,1,0,0,0.4
137,0,42,1,0,0,0,1744.0,131,0.0,2.8666625,2.8266559,0.40485942,1,0,0,0,0,0,0,1,0,0,2.8666625
138,0,98,1,0,0,0,1799.0,47,2.6666667,3.777771,2.5417657,1.0226552,0,0,0,0,0,0,1,0,0,0,6.444438
139,0,61,0,0,0,0,1801.0,160,0.0,0.0,2.1352115,-1.860392,1,0,0,0,0,0,0,1,0,0,0.0
140,1,42,0,0,1,0,1813.0,142,0.0,0.0,1.8401206,-1.448528,0,0,0,1,0,0,0,0,1,0,0.0
141,1,40,0,0,0,0,1830.0,159,0.0,0.0,2.944439,0.015876854,0,0,0,0,0,0,1,1,0,0,0.0
142,0,11,0,0,0,0,1847.0,162,0.0,0.0,1.9712989,-0.2815804,0,0,0,1,0,0,0,0,1,0,0.0
143,1,92,0,0,0,0,1848.0,66,0.9555547,1.3666662,2.1459308,0.58791006,0,0,0,0,0,0,0,0,0,0,2.3222208
144,0,98,1,0,0,0,1851.0,122,2.5666666,2.4333334,3.465736,0.8167233,0,0,0,0,1,0,0,0,0,1,5.0
145,1,17,0,0,0,0,1853.0,155,0.0,0.0,1.7533083,-1.3798841,1,0,0,0,0,0,0,0,0,1,0.0
146,1,88,1,0,0,0,1864.0,114,0.0,4.233333,1.7491999,0.7023167,0,0,0,0,0,1,0,1,0,0,4.233333
147,0,74,0,0,0,0,1865.0,137,0.0,2.0333333,2.2905123,0.7023167,0,0,0,0,0,0,0,0,1,0,2.0333333
148,0,10,0,0,0,0,1866.0,152,1.1,0.0,2.5902672,-1.0824269,0,1,0,0,0,0,0,0,0,1,1.1
149,1,90,0,0,0,0,1915.0,161,0.0,0.0,1.7613002,0.86248595,0,1,0,0,0,0,0,0,1,0,0.0
150,1,50,0,1,0,0,1919.0,162,2.1,0.0,2.1068406,0.35909677,0,0,1,0,0,0,0,1,0,0,2.1
151,1,81,1,0,0,0,1923.0,116,0.0,4.177773,2.3978953,0.65655404,1,0,0,0,0,0,0,0,0,1,4.177773
152,0,23,0,0,0,0,1924.0,161,0.0,0.0,1.8718022,-0.48751235,1,0,0,0,0,0,0,0,1,0,0.0
153,1,65,0,0,0,0,1925.0,106,0.0,5.2666626,2.9065366,0.93112993,1,0,0,0,0,0,0,1,0,0,5.2666626
154,0,61,1,0,0,0,1928.0,142,0.0,5.0555544,3.0602708,0.58791006,0,0,0,1,0,0,0,1,0,0,5.0555544
155,1,87,0,1,0,0,1935.0,148,2.6,0.0,2.285778,1.4574004,0,0,0,0,0,0,1,0,1,0,2.6
156,0,73,0,0,0,0,1937.0,165,0.0,2.8888855,1.8586688,0.6794354,0,0,0,0,1,0,0,0,1,0,2.8888855
157,0,19,0,0,0,0,1943.0,161,0.0,0.0,1.5368673,-0.35022438,1,0,0,0,0,0,0,0,1,0,0.0
158,0,44,0,0,0,0,1963.0,163,0.42222163,0.0,2.7170188,-0.32734305,0,0,0,0,0,0,0,0,1,0,0.42222163
159,1,57,0,0,0,0,1966.0,67,0.0,0.0,1.648658,-0.7849696,1,0,0,0,0,0,0,0,1,0,0.0
160,1,32,0,0,0,0,1973.0,87,0.0,0.0,2.1729162,0.3133341,1,0,0,0,0,0,0,1,0,0,0.0
161,0,83,0,0,0,0,1979.0,109,0.0,5.9111085,2.9067848,1.1599432,0,1,0,0,0,0,0,0,1,0,5.9111085
162,1,43,0,0,0,0,1985.0,9,0.8888875,0.0,1.3864194,0.49638474,0,0,0,0,0,0,1,0,1,0,0.8888875
163,1,62,0,0,0,0,1987.0,148,0.0,0.0,1.3225254,-1.5629348,0,0,0,0,0,0,0,0,0,1,0.0
164,1,27,0,0,0,0,1995.0,82,0.0,0.0,1.3143209,-1.723104,0,1,0,0,0,0,0,0,1,0,0.0
165,0,70,0,0,0,0,2004.0,160,1.3333313,5.7666645,2.7472708,0.5650287,0,0,0,0,1,0,0,0,0,1,7.0999956
166,0,99,1,0,0,0,2005.0,128,0.0,5.3666625,2.9927516,1.9607897,1,0,0,0,0,0,0,0,1,0,5.3666625
167,0,8,0,0,0,0,2007.0,101,0.0,0.0,3.204704,-1.791748,0,0,0,1,0,0,0,0,0,1,0.0
168,0,32,0,0,0,0,2015.0,83,0.0,0.0,2.2512918,-0.8993762,0,0,0,0,0,0,1,0,1,0,0.0
169,0,65,1,0,0,0,2028.0,155,0.0,4.5666666,2.9957323,1.4345192,0,0,0,0,0,0,0,1,0,0,4.5666666
170,1,91,0,0,0,0,2051.0,151,0.0,2.8,2.6390574,1.1828245,0,0,0,0,0,0,0,0,0,1,2.8
171,0,50,0,0,0,0,2059.0,151,0.0,0.61111045,1.4552872,0.0,0,0,0,0,0,0,0,0,1,0,0.61111045
172,0,55,0,0,0,0,2060.0,146,0.0,0.0,2.5257287,0.0,0,0,0,1,0,0,0,0,1,0,0.0
173,1,98,1,0,0,0,2081.0,93,0.0,7.005554,2.1814642,1.8463831,1,0,0,0,0,0,0,0,1,0,7.005554
174,1,68,1,0,0,0,2082.0,123,0.0,4.3333273,2.244956,-0.007004474,0,0,0,0,0,0,0,0,0,1,4.3333273
175,0,37,0,0,0,0,2090.0,158,0.0,0.0,1.7361416,0.0,0,1,0,0,0,0,0,0,0,0,0.0
176,1,68,1,0,1,0,2092.0,66,1.4222207,1.6444417,2.3025851,-1.4027654,0,0,0,0,1,0,0,0,0,1,3.0666623
177,0,73,0,0,1,0,2095.0,131,0.0,7.5,2.7370481,0.4735034,0,0,0,1,0,0,0,0,0,1,7.5
178,0,26,0,0,0,0,2102.0,148,0.0,0.0,2.8079686,0.06163951,0,0,0,1,0,0,0,0,1,0,0.0
179,0,83,1,0,0,0,2104.0,104,0.0,4.577771,2.4769385,0.8396046,0,0,0,1,0,0,0,0,0,1,4.577771
180,1,82,0,0,0,0,2130.0,161,0.0,0.0,1.4327004,0.65655404,0,0,0,0,0,0,0,0,1,0,0.0
181,0,85,1,0,0,0,2140.0,142,0.0,4.378882,2.2178438,0.03875818,0,0,0,1,0,0,0,0,1,0,4.378882
182,1,45,0,0,0,0,2144.0,55,0.0,0.0,1.7578578,0.42774075,0,0,0,0,1,0,0,0,1,0,0.0
183,1,72,1,0,1,0,2147.0,146,0.0,4.1,1.5475619,0.5421474,0,0,0,0,1,0,0,0,0,1,4.1
184,1,96,0,0,0,0,2156.0,90,0.0,7.5,2.8903718,1.3658751,1,0,0,0,0,0,0,0,1,0,7.5
185,1,95,1,0,0,0,2171.0,137,0.0,5.0888834,1.7647308,-0.052767128,1,0,0,0,0,0,0,0,0,1,5.0888834
186,0,32,1,0,0,0,2192.0,149,0.0,6.11333,0.5753642,-0.670563,0,0,1,0,0,0,0,1,0,0,6.11333
187,1,76,1,0,0,0,2208.0,83,0.0,4.7,1.446919,1.3658751,0,0,0,0,0,0,0,1,0,0,4.7
188,0,67,0,0,0,0,2223.0,162,0.0,0.0,2.7954502,0.29045278,1,0,0,0,0,0,0,0,0,1,0.0
189,1,20,0,0,0,0,2271.0,132,0.0,1.1,2.10748,0.0,0,0,0,1,0,0,0,0,0,1,1.1
190,1,36,0,0,0,0,2279.0,108,1.8666667,3.4,2.717529,0.72519803,0,0,0,0,1,0,0,1,0,0,5.266667
191,1,83,0,0,0,0,2288.0,103,0.0,0.17777748,2.5257287,0.0,1,0,0,0,0,0,0,0,1,0,0.17777748
192,0,37,0,0,1,0,2291.0,64,1.6666666,0.0,2.1400661,-1.7688667,0,0,0,1,0,0,0,1,0,0,1.6666666
193,1,79,1,0,0,0,2309.0,44,0.0,3.6333334,1.9809285,-0.12141111,0,1,0,0,0,0,0,1,0,0,3.6333334
194,0,60,0,0,0,0,2330.0,119,0.0,0.0,2.461895,-0.07564846,1,0,0,0,0,0,0,0,1,0,0.0
195,1,5,0,0,0,1,2334.0,27,0.0,0.0,1.3456614,-0.8993762,1,0,0,0,0,0,0,0,0,0,0.0
196,1,81,1,0,0,0,2336.0,107,0.0,4.9666667,2.0706728,-0.71632564,1,0,0,0,0,0,0,0,0,0,4.9666667
197,0,31,0,0,1,0,2339.0,93,0.0,0.0,1.6724126,0.0,1,0,0,0,0,0,0,0,0,1,0.0
198,0,75,0,0,0,0,2341.0,122,0.0,0.0,2.9957323,-1.1968335,0,0,0,0,0,0,0,1,0,0,0.0
199,1,24,0,0,0,0,2348.0,160,0.0,0.0,2.6310892,0.40485942,0,1,0,0,0,0,0,1,0,0,0.0
200,0,74,1,0,0,0,2355.0,120,0.0,4.5666666,2.1181815,0.40485942,0,0,1,0,0,0,0,0,0,0,4.5666666
201,1,2,0,0,0,0,2363.0,97,0.0,0.0,1.9254905,0.0,0,0,0,1,0,0,0,1,0,0,0.0
202,0,10,0,0,0,0,2365.0,149,0.0,0.0,2.3859668,-0.55615634,1,0,0,0,0,0,0,1,0,0,0.0
203,1,50,0,1,0,1,2368.0,87,2.9,0.0,1.9147558,-0.8993762,0,1,0,0,0,0,0,0,0,1,2.9
204,0,50,0,0,1,0,2394.0,155,0.0,0.0,2.0693913,-2.4781878,0,0,0,1,0,0,0,0,1,0,0.0
205,0,93,0,0,0,0,2406.0,115,0.0,7.5,1.7429693,1.6175698,0,0,0,0,1,0,0,1,0,0,7.5
206,0,95,1,0,0,0,2408.0,96,0.0,3.9666667,2.3025851,0.72519803,0,0,0,0,1,0,0,0,0,1,3.9666667
207,1,41,0,0,0,0,2433.0,106,0.0,0.0,1.81448,1.0455366,0,0,0,0,0,0,0,0,1,0,0.0
208,1,50,1,0,1,0,2436.0,51,0.0,4.9666667,2.6831656,-0.19005509,0,0,0,0,0,0,0,0,0,1,4.9666667
