,salary,age,college,grad,comten,ceoten,sales,profits,mktval,lsalary,lsales,lmktval,comtensq,ceotensq,profmarg
91,875,58,1,1,32,10,5300.0,308,2200.0,6.774224,8.575462,7.696213,1024,100,5.811321
92,1600,61,1,0,4,1,12300.0,877,9400.0,7.377759,9.417355,9.148465,16,1,7.130081
93,1500,55,1,1,30,4,7900.0,665,4800.0,7.3132205,8.974618,8.476371,900,16,8.417722
94,323,39,1,1,15,3,637.0,63,517.0,5.7776523,6.4567695,6.248043,225,9,9.89011
95,459,59,1,0,33,3,785.0,40,1400.0,6.1290503,6.6656837,7.2442274,1089,9,5.0955415
96,925,56,1,1,26,12,3300.0,67,2200.0,6.829794,8.101678,7.696213,676,144,2.030303
97,375,46,1,1,4,4,599.0,20,501.0,5.926926,6.395262,6.216606,16,16,3.3388982
98,447,53,1,0,4,1,143.0,16,527.0,6.1025586,4.962845,6.2672005,16,1,11.188811
99,1340,55,1,0,13,10,1400.0,131,2900.0,7.2004247,7.2442274,7.972466,169,100,9.357142
100,1749,57,1,1,26,11,8100.0,40,10000.0,7.4667993,8.9996195,9.2103405,676,121,0.49382716
101,491,43,1,1,21,2,561.0,54,521.0,6.196444,6.329721,6.25575,441,4,9.625669
102,5299,64,1,0,42,13,2400.0,119,1500.0,8.5752735,7.783224,7.3132205,1764,169,4.9583335
103,431,58,1,1,33,3,815.0,36,550.0,6.066108,6.703188,6.3099184,1089,9,4.4171777
104,729,50,1,1,15,3,2000.0,182,2600.0,6.591674,7.6009026,7.863267,225,9,9.1
105,1284,54,1,1,32,3,12300.0,1300,19600.0,7.1577353,9.417355,9.883285,1024,9,10.569106
106,1373,57,1,0,36,8,14300.0,1600,23600.0,7.2247534,9.568015,10.069002,1296,64,11.188811
107,989,40,1,0,18,5,439.0,30,582.0,6.896694,6.0844994,6.3664703,324,25,6.833713
108,515,52,1,1,27,1,1100.0,51,889.0,6.244167,7.0030656,6.790097,729,1,4.6363635
109,1301,50,1,1,19,15,1800.0,130,1600.0,7.1708884,7.495542,7.377759,361,225,7.2222223
110,834,58,1,0,35,1,4400.0,63,890.0,6.7262335,8.389359,6.7912216,1225,1,1.4318181
111,849,46,1,1,24,24,538.0,36,473.0,6.744059,6.2878585,6.1590953,576,576,6.6914496
112,100,61,1,1,26,26,2700.0,394,10100.0,4.6051702,7.901007,9.220291,676,676,14.592592
113,679,62,1,0,40,6,4900.0,-463,1400.0,6.5206213,8.49699,7.2442274,1600,36,-9.448979
114,567,56,1,0,31,10,597.0,65,1700.0,6.340359,6.391917,7.4383836,961,100,10.887773
115,559,54,1,0,22,2,2100.0,13,686.0,6.3261495,7.6496925,6.5308776,484,4,0.61904764
116,704,52,1,1,6,6,50.0,8,903.0,6.5567784,3.912023,6.8057227,36,36,16.0
117,308,45,1,1,14,14,210.0,39,1900.0,5.7300997,5.3471074,7.549609,196,196,18.571428
118,1392,48,1,1,6,6,4800.0,51,1100.0,7.238497,8.476371,7.0030656,36,36,1.0625
119,389,55,1,0,29,4,478.0,38,420.0,5.963579,6.1696105,6.0402546,841,16,7.949791
120,790,69,1,0,45,37,1200.0,140,3200.0,6.672033,7.090077,8.070906,2025,1369,11.666667
121,396,80,1,0,58,28,513.0,53,963.0,5.9814143,6.240276,6.8700533,3364,784,10.331384
122,398,54,1,0,4,4,633.0,69,1800.0,5.986452,6.4504704,7.495542,16,16,10.900474
123,707,46,1,1,6,1,130.0,26,1200.0,6.561031,4.8675346,7.090077,36,1,20.0
124,984,60,1,0,7,4,1500.0,135,1700.0,6.891626,7.3132205,7.4383836,49,16,9.0
125,410,55,1,0,36,20,501.0,34,590.0,6.016157,6.216606,6.3801227,1296,400,6.786427
126,1095,60,1,1,33,5,27600.0,1400,17100.0,6.9985094,10.225571,9.746834,1089,25,5.072464
127,694,61,1,1,35,19,4200.0,75,1000.0,6.542472,8.34284,6.9077554,1225,361,1.7857143
128,834,61,1,1,32,0,7600.0,364,5300.0,6.7262335,8.935904,8.575462,1024,0,4.7894735
129,1630,39,1,1,8,8,227.0,27,822.0,7.396335,5.42495,6.7117405,64,64,11.894273
130,493,55,1,1,4,1,1300.0,80,834.0,6.200509,7.17012,6.7262335,16,1,6.1538463
131,625,57,0,0,36,9,1400.0,87,979.0,6.437752,7.2442274,6.886532,1296,81,6.214286
132,483,52,1,1,18,14,1000.0,35,548.0,6.1800165,6.9077554,6.3062754,324,196,3.5
133,733,60,1,0,8,8,347.0,18,778.0,6.5971456,5.8493247,6.6567264,64,64,5.1873198
134,2102,67,1,1,41,20,10300.0,1700,45400.0,7.650645,9.2399,10.723268,1681,400,16.504854
135,853,58,1,0,34,34,818.0,33,411.0,6.7487597,6.7068624,6.0185933,1156,1156,4.0342298
136,345,54,1,1,33,0,994.0,56,781.0,5.8435445,6.901737,6.660575,1089,0,5.633803
137,800,57,1,1,12,9,1800.0,32,479.0,6.684612,7.495542,6.1717005,144,81,1.7777778
138,764,55,1,1,31,16,1100.0,145,2100.0,6.638568,7.0030656,7.6496925,961,256,13.181818
139,806,59,1,1,3,3,3000.0,257,3900.0,6.692084,8.006368,8.268732,9,9,8.566667
140,310,40,1,0,18,1,2400.0,60,1300.0,5.7365723,7.783224,7.17012,324,1,2.5
141,1119,61,1,0,34,9,2500.0,71,1200.0,7.0201907,7.824046,7.090077,1156,81,2.84
142,1287,59,1,1,4,3,4700.0,222,2700.0,7.160069,8.4553175,7.901007,16,9,4.7234044
143,1170,57,1,1,9,3,1900.0,208,5600.0,7.0647593,7.549609,8.630522,81,9,10.947369
144,880,62,1,0,36,12,5300.0,229,4000.0,6.779922,8.575462,8.294049,1296,144,4.3207545
145,1091,33,1,0,9,9,181.0,36,1300.0,6.99485,5.198497,7.17012,81,81,19.889503
146,1100,65,1,0,18,6,563.0,-271,544.0,7.0030656,6.3332796,6.2989492,324,36,-48.13499
147,650,53,1,1,5,4,1482.0,40,557.0,6.4769726,7.301148,6.322565,25,16,2.6990554
148,607,38,1,1,7,3,231.0,38,599.0,6.408529,5.4424176,6.395262,49,9,16.450216
149,1133,63,1,0,9,9,870.0,37,686.0,7.0326242,6.768493,6.5308776,81,81,4.2528734
150,393,58,1,1,36,6,285.0,40,956.0,5.9738097,5.652489,6.8627577,1296,36,14.035088
151,605,53,1,0,16,4,422.0,30,505.0,6.4052286,6.0450053,6.2245584,256,16,7.109005
152,1444,59,1,1,2,2,6204.0,401,10700.0,7.275172,8.732949,9.277999,4,4,6.463572
153,1033,62,1,1,30,1,5400.0,478,7300.0,6.9402223,8.594154,8.89563,900,1,8.851851
154,1142,50,1,1,11,3,2600.0,166,2200.0,7.0405364,7.863267,7.696213,121,9,6.3846154
155,537,46,1,1,20,20,1200.0,17,669.0,6.285998,7.090077,6.505784,400,400,1.4166666
156,693,42,1,0,17,12,1400.0,206,3000.0,6.54103,7.2442274,8.006368,289,144,14.714286
157,439,57,1,1,26,12,2600.0,280,3800.0,6.0844994,7.863267,8.242756,676,144,10.769231
158,358,64,1,0,43,11,584.0,45,423.0,5.880533,6.369901,6.0473723,1849,121,7.7054796
159,1276,64,1,0,41,17,635.0,52,1300.0,7.1514854,6.453625,7.17012,1681,289,8.188976
160,873,41,1,1,2,2,149.0,21,567.0,6.7719355,5.0039463,6.340359,4,4,14.09396
161,537,57,1,1,35,1,11400.0,210,4800.0,6.285998,9.341369,8.476371,1225,1,1.8421053
162,713,57,1,1,12,2,1600.0,55,1300.0,6.5694814,7.377759,7.17012,144,4,3.4375
163,1350,68,1,1,5,5,3300.0,92,2100.0,7.20786,8.101678,7.6496925,25,25,2.7878788
164,1268,47,1,0,20,4,1100.0,47,2500.0,7.145196,7.0030656,7.824046,400,16,4.2727275
165,465,64,1,1,31,3,2400.0,326,2400.0,6.1420374,7.783224,7.783224,961,9,13.583333
166,693,46,1,1,7,3,2200.0,44,533.0,6.54103,7.696213,6.2785215,49,9,2.0
167,369,49,1,1,4,1,65.0,-132,1200.0,5.9107966,4.1743875,7.090077,16,1,-203.07692
168,381,54,1,0,30,2,2700.0,386,4500.0,5.9427996,7.901007,8.411833,900,4,14.296296
169,467,49,1,1,13,0,513.0,49,534.0,6.1463294,6.240276,6.280396,169,0,9.551657
170,559,57,1,1,34,16,605.0,56,653.0,6.3261495,6.4052286,6.481577,1156,256,9.256198
171,218,57,1,1,33,5,504.0,41,421.0,5.3844953,6.222576,6.042633,1089,25,8.134921
172,264,63,1,0,42,3,334.0,43,480.0,5.575949,5.811141,6.173786,1764,9,12.874251
173,185,58,1,0,39,1,766.0,49,560.0,5.220356,6.641182,6.3279366,1521,1,6.396867
174,387,71,1,1,32,13,432.0,28,477.0,5.9584246,6.0684257,6.1675167,1024,169,6.4814816
175,2220,63,1,1,18,18,277.0,-80,540.0,7.7052627,5.6240177,6.291569,324,324,-28.880867
176,445,69,1,0,23,0,249.0,31,828.0,6.0980744,5.5174527,6.719013,529,0,12.4498
