,open,inf,pcinc,land,oil,good,lpcinc,lland,lopen,linf,opendec,linfdec
17,13.9,10.7,487,241313.0,0,0,6.188264,12.39385,2.6318889,2.3702438,0.139,-2.2349265
18,23.1,59.4,4271,292132.0,0,1,8.359603,12.584961,3.1398327,4.0842943,0.231,-0.52087593
19,13.7,21.6,2552,439735.0,0,1,7.8446326,12.993928,2.6173959,3.0726933,0.137,-1.5324769
20,55.0,10.9,981,132046.0,0,0,6.8885727,11.790906,4.0073333,2.3887627,0.55,-2.2164075
21,37.8,20.6,3031,19652.0,0,1,8.016648,9.885935,3.6323092,3.0252912,0.378,-1.579879
22,60.0,8.9,4282,3572.0,0,1,8.362176,8.180881,4.0943446,2.1860511,0.6,-2.419119
23,33.2,8.1,9598,16631.0,0,1,9.16931,9.719024,3.50255,2.091864,0.33200002,-2.5133061
24,21.4,12.1,1868,18704.0,0,1,7.532624,9.836493,3.063391,2.4932055,0.214,-2.1119647
25,25.0,20.4,2607,109484.0,0,1,7.8659554,11.603534,3.218876,3.0155349,0.25,-1.5896353
26,32.9,8.9,995,386900.0,0,0,6.902743,12.865922,3.4934728,2.1860511,0.32900003,-2.419119
27,33.4,13.1,1410,8260.0,0,1,7.251345,9.01918,3.508556,2.5726123,0.33400002,-2.032558
28,18.1,4.4,325,472432.0,0,0,5.7838254,13.065649,2.895912,1.4816046,0.18100001,-3.1235657
29,49.1,9.5,3005,7078.0,0,1,8.008033,8.864747,3.893859,2.2512918,0.491,-2.3538785
30,28.6,9.4,8393,130119.0,0,1,9.035153,11.776205,3.3534067,2.2407095,0.286,-2.3644605
31,21.1,8.9,9688,211208.0,0,1,9.178643,12.260599,3.049273,2.1860511,0.21100001,-2.419119
32,34.3,13.3,2973,103346.0,1,0,7.997327,11.545837,3.5351453,2.587764,0.343,-2.0174062
33,56.5,14.9,556,4093.0,0,0,6.3207684,8.317034,4.0342407,2.7013612,0.565,-1.903809
34,26.6,3.8,9795,96010.0,0,1,9.189628,11.472208,3.2809112,1.3350011,0.266,-3.270169
35,13.1,38.2,421,92100.0,0,0,6.042633,11.430631,2.5726123,3.6428356,0.131,-0.96233463
36,27.6,16.2,4383,50961.0,0,1,8.3854885,10.838816,3.3178158,2.7850113,0.276,-1.8201588
37,21.9,11.7,1952,42042.0,0,1,7.5766096,10.646424,3.0864866,2.4595888,0.219,-2.1455812
38,72.1,11.8,1623,83000.0,0,0,7.3920317,11.326596,4.278054,2.4680996,0.72099996,-2.1370707
39,34.4,6.0,696,10714.0,0,0,6.5453496,9.279306,3.5380566,1.7917595,0.344,-2.8134108
40,35.6,7.1,1075,43277.0,0,1,6.980076,10.675377,3.5723455,1.9600948,0.35599998,-2.6450753
41,81.7,8.3,7268,398.0,0,0,8.891236,5.986452,4.4030538,2.1162555,0.817,-2.4889147
42,39.3,35.1,9285,39709.0,0,1,9.136155,10.589334,3.6712246,3.558201,0.393,-1.046969
43,8.1,7.8,614,1229737.0,0,1,6.419995,14.022311,2.091864,2.0541236,0.081,-2.5510464
44,21.8,14.5,1063,735268.0,0,1,6.9688506,13.50799,3.08191,2.6741486,0.218,-1.9310216
45,18.3,16.2,2944,636293.0,1,0,7.9875245,13.363415,2.9069011,2.7850113,0.183,-1.8201588
46,56.6,11.1,4929,26600.0,0,1,8.502892,10.188666,4.036009,2.4069452,0.566,-2.198225
47,57.5,75.3,6145,8020.0,0,1,8.723394,8.989694,4.051785,4.3214803,0.575,-0.28369
48,22.9,13.8,7164,116500.0,0,1,8.876823,11.665647,3.131137,2.6246686,0.229,-1.9805015
49,37.0,10.6,1110,124502.0,0,0,7.0121155,11.732077,3.6109178,2.3608541,0.37,-2.244316
50,49.3,16.8,1858,4411.0,0,1,7.527256,8.391857,3.897924,2.821379,0.493,-1.7837913
51,12.9,4.3,9447,143574.0,0,1,9.153453,11.874606,2.5572274,1.4586151,0.129,-3.1465552
52,94.6,7.9,1885,37297.0,0,0,7.541683,10.526669,4.5496573,2.0668628,0.946,-2.5383074
53,32.0,10.3,662,224960.0,0,1,6.4952655,12.323678,3.465736,2.332144,0.32,-2.2730262
54,36.3,13.0,2369,38031.0,0,1,7.770223,10.546157,3.5918176,2.5649493,0.363,-2.0402207
55,38.3,9.6,19454,6880.0,1,0,9.875808,8.836374,3.6454499,2.261763,0.383,-2.3434072
56,117.8,10.7,694,11720.0,0,0,6.542472,9.369052,4.768988,2.3702438,1.178,-2.2349265
57,55.7,7.8,680,43000.0,0,0,6.522093,10.668956,4.01998,2.0541236,0.557,-2.5510464
58,76.5,6.1,10173,999.0,0,1,9.227492,6.906755,4.337291,1.8082888,0.765,-2.7968814
59,22.8,13.2,589,226660.0,0,0,6.378426,12.331206,3.1267605,2.580217,0.22799999,-2.0249534
60,33.9,11.1,417,45747.0,0,0,6.0330863,10.730882,3.523415,2.4069452,0.33900002,-2.198225
61,51.7,4.6,3112,128328.0,0,1,8.043021,11.762344,3.9454577,1.5260563,0.517,-3.079114
62,91.6,4.2,4630,122.0,0,1,8.440312,4.804021,4.5174313,1.4350845,0.916,-3.1700857
63,66.7,9.9,576,397953.0,0,0,6.3561077,12.894089,4.200205,2.2925348,0.667,-2.3126354
64,57.1,13.3,1484,787.0,0,0,7.3024964,6.668228,4.044804,2.587764,0.571,-2.0174062
65,10.8,32.8,4333,761600.0,0,1,8.374016,13.543177,2.3795462,3.4904284,0.108,-1.1147417
66,31.4,8.4,1199,172413.0,0,1,7.089243,12.057648,3.4468079,2.1282318,0.314,-2.4769385
67,18.6,9.0,490,54463.0,0,0,6.1944056,10.905277,2.9231615,2.1972246,0.186,-2.4079456
68,50.7,4.6,9036,16041.0,0,1,9.108972,9.682903,3.925926,1.5260563,0.507,-3.079114
69,30.8,11.6,7363,103884.0,0,1,8.9042225,11.55103,3.4275146,2.4510052,0.308,-2.154165
70,31.9,41.5,2012,50180.0,0,0,7.6068845,10.823372,3.462606,3.7256935,0.319,-0.8794768
71,32.5,13.8,441,489206.0,0,0,6.089045,13.100539,3.48124,2.6246686,0.325,-1.9805015
72,17.8,15.1,824,356700.0,0,0,6.7141705,12.784651,2.8791983,2.7146947,0.17799999,-1.8904754
73,42.7,7.7,11094,125049.0,0,1,9.314159,11.736461,3.754199,2.0412202,0.42700002,-2.5639498
74,41.7,10.4,6209,82030.0,1,0,8.733755,11.31484,3.7305012,2.3418057,0.417,-2.2633643
75,20.1,9.7,989,310400.0,0,1,6.896694,12.6456175,3.0007198,2.272126,0.201,-2.3330443
76,43.5,5.4,2810,29761.0,0,1,7.94094,10.300954,3.7727609,1.686399,0.435,-2.9187713
77,49.4,7.1,1528,178704.0,0,0,7.331715,12.093486,3.8999505,1.9600948,0.49400002,-2.6450753
78,21.9,15.7,1979,157047.0,0,1,7.590347,11.9643,3.0864866,2.7536607,0.219,-1.8515095
79,20.4,49.5,2456,496222.0,0,1,7.806289,13.1147785,3.0155349,3.9019728,0.204,-0.70319754
80,22.6,13.1,1551,115830.0,0,1,7.3466554,11.659879,3.11795,2.5726123,0.22600001,-2.032558
81,38.5,18.7,3733,35550.0,0,1,8.224967,10.478696,3.6506581,2.9285235,0.385,-1.6766466
82,18.6,10.1,379,10169.0,0,0,5.9375362,9.227099,2.9231615,2.3125355,0.186,-2.2926347
83,35.3,10.0,11101,865000.0,1,0,9.314791,13.670485,3.5638828,2.3025851,0.353,-2.3025851
84,45.4,10.6,744,75954.0,0,0,6.612041,11.237884,3.8155122,2.3608541,0.45400003,-2.244316
85,26.0,20.1,512,27700.0,0,0,6.2383246,10.229188,3.2580965,3.0007198,0.26,-1.6044503
86,163.8,3.6,5817,220.0,0,0,8.66854,5.3936276,5.098646,1.2809339,1.638,-3.3242364
87,18.4,26.9,415,246199.0,0,0,6.0282784,12.413896,2.9123507,3.2921262,0.184,-1.313044
88,25.5,12.9,4286,471440.0,0,1,8.36311,13.063547,3.2386785,2.5572274,0.255,-2.0479429
89,18.3,13.7,6131,194885.0,0,1,8.721113,12.180165,2.9069011,2.6173959,0.183,-1.9877744
90,38.3,12.4,1119,25332.0,0,1,7.0201907,10.139824,3.6454499,2.5176964,0.383,-2.0874736
91,15.8,21.2,652,967491.0,0,0,6.4800444,13.782461,2.76001,3.0540013,0.158,-1.5511689
92,57.6,9.4,3760,63251.0,0,0,8.232174,11.054866,4.0535226,2.2407095,0.576,-2.3644605
93,77.9,13.6,1079,6704.0,0,0,6.98379,8.81046,4.355426,2.6100698,0.77900004,-1.9951004
94,30.4,8.9,8863,173800.0,0,1,9.089641,12.06566,3.4144425,2.1860511,0.304,-2.419119
95,34.7,3.8,10013,15941.0,0,1,9.211639,9.67665,3.5467398,1.3350011,0.347,-3.270169
96,29.8,13.5,3071,71498.0,0,1,8.029758,11.177424,3.3945084,2.6026897,0.29799998,-2.0024805
97,45.8,6.7,2921,13895.0,0,1,7.9796815,9.539285,3.824284,1.9021075,0.458,-2.7030628
98,23.5,15.9,353,364900.0,0,1,5.866468,12.807379,3.1570003,2.766319,0.235,-1.8388511
99,25.9,6.0,1694,198455.0,0,1,7.434848,12.198318,3.254243,1.7917595,0.259,-2.8134108
100,49.0,8.9,625,21925.0,0,0,6.437752,9.995383,3.8918202,2.1860511,0.49,-2.419119
101,37.1,14.2,7161,1980.0,0,1,8.876405,7.5908523,3.613617,2.6532419,0.371,-1.9519283
102,40.4,8.2,1845,63379.0,0,1,7.5202346,11.056888,3.69883,2.104134,0.404,-2.5010362
103,12.8,32.2,2319,300947.0,0,1,7.7488914,12.61469,2.5494452,3.4719665,0.128,-1.1332037
104,9.2,39.8,257,91343.0,0,0,5.549076,11.422377,2.2192035,3.683867,0.092,-0.9213033
105,33.2,10.2,25646,32000.0,1,0,10.152143,10.373491,3.50255,2.3223877,0.33200002,-2.2827826
106,27.2,10.6,7975,94247.0,0,1,8.984067,11.453674,3.303217,2.3608541,0.272,-2.244316
107,9.3,6.2,11404,3540939.0,0,1,9.34172,15.079903,2.2300143,1.8245493,0.093,-2.7806208
108,19.3,44.0,4502,68040.0,0,0,8.412277,11.1278515,2.960105,3.7841897,0.19299999,-0.82098055
109,24.3,14.0,4424,352143.0,0,0,8.394799,12.771792,3.1904764,2.6390574,0.24299999,-1.9661129
110,46.7,13.0,957,128560.0,0,0,6.8638034,11.764151,3.8437443,2.5649493,0.467,-2.0402207
111,39.6,43.2,224,905365.0,0,0,5.411646,13.716093,3.6788292,3.7658405,0.396,-0.83932966
112,39.6,17.5,716,290586.0,0,0,6.5736804,12.579655,3.6788292,2.862201,0.396,-1.7429693
113,27.7,10.4,930,150699.0,0,1,6.8351846,11.923039,3.3214324,2.3418057,0.277,-2.2633643
