,year,infmort,afdcprt,popul,pcinc,physic,afdcper,d90,lpcinc,lphysic,DC,lpopul
49,1990,10.2,158,6187,19679,213,2.5537417,1,9.887307,5.3612924,0,8.730206
50,1987,9.8,111,1898,11013,164,5.8482614,0,9.306831,5.0998664,0,7.548556
51,1990,9.9,109,1793,13722,166,6.079197,1,9.526755,5.1119876,0,7.4916453
52,1987,11.9,171,6409,13353,179,2.668123,0,9.499496,5.187386,0,8.765458
53,1990,10.6,255,6629,16383,190,3.846734,1,9.7039995,5.247024,0,8.79921
54,1987,12.7,122,3426,12078,156,3.5610042,0,9.399141,5.049856,0,8.139149
55,1990,11.7,118,3487,15043,161,3.3839977,1,9.618668,5.081404,0,8.156797
56,1987,12.7,244,6227,14387,167,3.9184198,0,9.57408,5.117994,0,8.7366495
57,1990,12.4,320,6478,17041,175,4.9397964,1,9.743378,5.164786,0,8.776167
58,1987,10.6,307,12022,15594,203,2.5536516,0,9.654641,5.313206,0,9.394494
59,1990,9.6,420,12938,18606,208,3.2462513,1,9.83124,5.3375382,0,9.467924
60,1987,9.7,155,3723,11996,161,4.163309,0,9.392328,5.081404,0,8.222285
61,1990,8.5,204,3685,14984,168,5.5359564,1,9.614738,5.123964,0,8.212026
62,1987,11.7,181,4855,12977,187,3.7281153,0,9.470934,5.2311087,0,8.487764
63,1990,10.3,230,4877,15869,196,4.716014,1,9.672123,5.278115,0,8.492286
64,1987,12.2,132,4084,12039,151,3.2321253,0,9.395906,5.0172796,0,8.314832
65,1990,10.8,132,4041,14899,158,3.266518,1,9.60905,5.062595,0,8.304248
66,1987,13.7,176,2624,10301,125,6.707317,0,9.239996,4.828314,0,7.872455
67,1990,12.1,176,2573,12700,133,6.8402643,1,9.449357,4.890349,0,7.852828
68,1987,10.3,67,2388,11421,144,2.805695,0,9.343209,4.9698133,0,7.7782116
69,1990,9.2,73,2351,14037,150,3.1050618,1,9.549452,5.0106354,0,7.762596
70,1987,11.8,271,4448,11506,184,6.092626,0,9.350624,5.214936,0,8.400209
71,1990,11.1,279,4220,14300,188,6.6113744,1,9.568015,5.236442,0,8.34759
72,1987,9.6,101,3259,12607,145,3.0991101,0,9.442007,4.9767337,0,8.089175
73,1990,9.2,129,3146,15154,147,4.100445,1,9.6260195,4.9904327,0,8.053887
74,1987,9.1,500,16781,13840,169,2.9795601,0,9.535318,5.1298985,0,9.728003
75,1990,8.1,673,16987,16600,175,3.9618533,1,9.717158,5.164786,0,9.740204
76,1987,10.0,29,909,12304,150,3.190319,0,9.41768,5.0106354,0,6.812345
77,1990,9.0,29,799,14663,158,3.6295369,1,9.593082,5.062595,0,6.683361
78,1987,10.4,18,1000,11797,120,1.8,0,9.375601,4.787492,0,6.9077554
79,1990,8.7,17,1007,15137,125,1.6881827,1,9.624897,4.828314,0,6.914731
80,1987,9.2,13,490,12836,134,2.6530612,0,9.460009,4.89784,0,6.1944056
81,1990,8.6,16,454,16467,139,3.524229,1,9.709114,4.934474,0,6.1180973
82,1987,9.8,94,3293,15680,202,2.8545399,0,9.660141,5.3082676,0,8.099554
83,1990,8.8,109,3294,18795,211,3.3090467,1,9.841346,5.351858,0,8.099858
84,1987,8.1,60,1496,11889,173,4.010695,0,9.3833685,5.1532917,0,7.31055
85,1990,9.0,67,1515,14124,183,4.4224424,1,9.555631,5.209486,0,7.3231707
86,1987,9.5,91,3400,14322,191,2.6764705,0,9.569552,5.2522736,0,8.131531
87,1990,8.8,144,3665,16169,197,3.9290586,1,9.690851,5.2832036,0,8.206584
88,1987,8.8,44,1680,11530,177,2.6190476,0,9.352708,5.17615,0,7.426549
89,1990,7.5,47,1723,14036,185,2.7278004,1,9.54938,5.220356,0,7.4518223
90,1987,9.6,17,1006,16359,158,1.6898608,0,9.702534,5.062595,0,6.9137373
91,1990,8.4,25,1202,19680,159,2.079867,1,9.887358,5.0689044,0,7.091742
92,1987,9.7,208,4542,15634,206,4.57948,0,9.657204,5.327876,0,8.421123
93,1990,7.8,237,4867,18738,213,4.8695292,1,9.838309,5.3612924,0,8.490233
94,1987,10.4,81,2723,13906,196,2.9746604,0,9.540075,5.278115,0,7.9094896
95,1990,8.3,99,2842,17038,205,3.4834623,1,9.743201,5.32301,0,7.9522634
96,1987,9.0,1708,27653,17770,242,6.176545,0,9.785267,5.488938,0,10.227489
97,1990,7.9,2023,29760,20547,244,6.797715,1,9.93047,5.497168,0,10.3009205
98,1987,10.4,19,524,18461,138,3.6259542,0,9.823416,4.9272537,0,6.261492
99,1990,10.5,24,550,20867,146,4.3636365,1,9.945924,4.983607,0,6.3099184
100,1987,8.9,41,1082,15569,225,3.7892792,0,9.653037,5.4161005,0,6.9865665
101,1990,6.7,44,1108,20461,236,3.9711192,1,9.926276,5.463832,0,7.010312
