,roe,rok,dkr,eps,netinc,sp90,sp94,salary,return,lsalary,lsp90,lnetinc
27,13.7,10.2,40.2,43.5,1131,58.875,88.625,3836,50.530785,8.252186,4.0754166,7.0308576
28,17.8,15.7,10.9,13.9,66,34.25,36.0,477,5.109489,6.1675167,3.5336866,4.189655
29,10.7,7.5,69.9,4.3,282,24.625,50.375,2600,104.56853,7.863267,3.2037623,5.641907
30,11.2,6.7,68.1,-54.4,151,23.875,17.375,1182,-27.22513,7.074963,3.1728318,5.0172796
31,18.0,13.0,25.7,8.6,229,69.5,45.125,930,-35.07194,6.8351846,4.241327,5.433722
32,34.7,28.7,4.2,15.7,939,68.0,32.625,1165,-52.02206,7.0604763,4.2195077,6.8448153
33,11.5,9.4,26.7,28.8,24,43.875,18.0,357,-58.974358,5.8777356,3.7813447,3.1780539
34,61.1,33.5,34.1,13.8,1207,107.5,62.75,1704,-41.627907,7.440734,4.6774907,7.0958934
35,17.5,14.1,18.2,15.7,127,65.0,33.875,1336,-47.884617,7.1974354,4.1743875,4.8441873
36,11.0,9.4,10.7,-42.1,217,38.5,30.75,1345,-20.12987,7.2041492,3.6506581,5.379897
37,17.8,16.6,3.8,-1.8,290,44.5,72.75,578,63.483147,6.359574,3.795489,5.669881
38,13.7,11.8,15.2,5.8,522,58.375,58.0,932,-0.6423983,6.8373327,4.066888,6.2576675
39,14.2,13.9,1.5,14.2,64,39.25,34.5,518,-12.101911,6.249975,3.6699514,4.158883
40,19.9,18.7,12.7,4.6,613,39.0,62.375,1769,59.935898,7.47817,3.6635616,6.418365
41,14.3,11.8,15.5,4.2,474,23.125,20.625,1942,-10.810811,7.5714736,3.1409142,6.161207
42,1.6,2.9,28.9,5.0,27,58.625,44.0,1416,-24.946695,7.2555914,4.0711613,3.295837
43,32.9,32.1,0.0,7.9,113,53.625,49.375,729,-7.925408,6.591674,3.9820154,4.727388
44,10.9,7.2,22.9,-30.5,147,57.75,30.75,1081,-46.753246,6.985642,4.0561233,4.9904327
45,19.5,12.5,40.1,20.8,138,31.675,25.75,1123,-18.705603,7.023759,3.4555278,4.9272537
46,12.6,8.3,33.3,-5.7,112,82.5,68.0,1048,-17.575758,6.954639,4.4127984,4.7184987
47,21.1,19.4,2.8,11.9,156,36.0,51.675,773,43.541664,6.650279,3.583519,5.049856
48,14.7,11.6,26.5,0.8,114,39.0,35.75,763,-8.333333,6.637258,3.6635616,4.7361984
49,14.6,11.8,13.8,6.6,204,50.25,31.5,1191,-37.313435,7.0825486,3.9170105,5.31812
50,23.4,14.5,51.3,-2.5,208,19.875,21.25,727,6.918239,6.5889263,2.9894626,5.3375382
51,4.7,4.7,46.6,-65.1,317,41.125,47.75,947,16.109423,6.853299,3.7166162,5.7589016
52,37.2,32.5,17.9,266.6,1383,50.5,55.25,3667,9.405941,8.2071295,3.9219732,7.2320104
53,26.7,20.8,24.5,17.6,824,112.0,46.0,11338,-58.92857,9.335916,4.7184987,6.7141705
54,15.8,12.8,19.0,-61.6,211,59.125,61.875,1017,4.6511626,6.9246125,4.0796537,5.351858
55,15.5,11.4,28.7,-26.3,415,53.675,49.0,1434,-8.709826,7.268223,3.9829473,6.0282784
56,16.2,13.0,21.7,17.9,290,43.0,29.875,918,-30.523256,6.8221974,3.7612002,5.669881
57,19.0,14.5,18.0,6.7,76,43.75,27.75,780,-36.57143,6.659294,3.7784915,4.3307333
58,20.3,15.4,29.3,11.9,178,44.875,43.75,842,-2.5069637,6.7357802,3.803881,5.1817837
59,22.1,20.2,3.6,6.9,1305,79.675,53.375,1275,-33.0091,7.1507015,4.377956,7.1739583
60,22.6,19.5,15.4,29.8,103,22.125,21.0,1064,-5.084746,6.9697905,3.0967083,4.634729
61,21.8,19.4,5.5,17.2,130,36.75,28.75,725,-21.768707,6.5861716,3.6041381,4.8675346
62,23.4,12.7,35.5,-17.5,1525,111.375,101.75,2262,-8.641975,7.7240047,4.712903,7.3297496
63,4.1,4.1,23.8,-49.9,1349,67.75,44.675,1359,-34.05904,7.2145042,4.2158246,7.207119
64,12.6,8.5,13.5,3.0,3940,50.0,60.75,1550,21.5,7.34601,3.912023,8.278936
65,10.1,7.9,16.3,-7.7,1724,62.675,84.25,1872,34.423615,7.534763,4.137963,7.4524026
66,1.1,1.4,22.3,-89.3,8,40.875,28.75,488,-29.663609,6.1903152,3.7105186,2.0794415
67,14.4,10.8,25.6,-49.9,1349,58.875,59.875,1938,1.6985137,7.5694118,4.0754166,7.207119
68,14.6,7.9,51.3,-21.1,337,29.75,27.25,1186,-8.403361,7.0783415,3.3928292,5.820083
69,12.4,6.9,44.9,27.4,249,19.0,16.125,1300,-15.131579,7.17012,2.944439,5.5174527
70,11.3,8.2,44.3,18.1,540,31.25,28.25,1338,-9.6,7.198931,3.4420195,6.291569
71,10.9,9.5,26.3,-31.2,115,13.375,15.375,4206,14.953271,8.344267,2.5933874,4.744932
72,25.4,25.1,1.0,19.9,122,36.0,37.125,832,3.125,6.7238326,3.583519,4.804021
73,16.8,14.3,17.8,16.7,474,95.25,77.375,1147,-18.766405,7.044905,4.556505,6.161207
74,7.2,7.0,12.0,-16.4,395,59.5,63.625,1278,6.932773,7.153052,4.085976,5.9788857
75,18.5,13.8,23.7,-8.9,879,124.25,86.875,1249,-30.080482,7.1300983,4.8222957,6.7787848
76,19.1,14.8,35.1,-10.9,361,64.625,59.0,2146,-8.7040615,7.671361,4.1686015,5.888878
77,14.3,11.6,14.6,-11.2,265,38.625,52.0,574,34.62783,6.352629,3.6538997,5.57973
78,28.8,18.4,33.7,19.3,233,55.75,34.875,1814,-37.443947,7.5032897,4.0208774,5.4510384
79,32.0,25.7,0.0,6.8,475,35.25,39.0,2193,10.638298,7.6930256,3.5624654,6.163315
80,20.8,17.9,6.5,13.9,216,49.0,58.5,778,19.387754,6.6567264,3.8918202,5.3752785
81,30.5,26.5,4.0,11.1,399,79.5,39.5,2332,-50.314465,7.7544813,4.375757,5.988961
82,13.4,12.3,2.1,-13.1,739,47.25,99.875,1366,111.37566,7.219642,3.8554525,6.605298
83,10.8,8.5,20.1,-22.9,4150,94.125,73.5,2011,-21.91235,7.6063876,4.544624,8.330864
84,39.5,42.9,0.0,60.9,317,87.0,61.125,1162,-29.741379,7.057898,4.465908,5.7589016
85,31.2,27.0,14.9,81.3,76,31.0,17.125,267,-44.758064,5.587249,3.4339871,4.3307333
86,2.2,5.3,45.9,-62.4,220,57.25,99.0,1190,72.925766,7.0817084,4.0474277,5.3936276
87,8.8,8.2,8.1,90.2,186,42.75,33.125,1101,-22.51462,7.003974,3.7553692,5.2257466
88,17.9,17.0,9.1,23.9,517,49.125,50.375,1494,2.5445292,7.309212,3.8943682,6.248043
89,17.2,11.6,61.9,-22.4,460,48.5,71.5,1500,47.42268,7.3132205,3.881564,6.1312265
90,14.4,9.8,27.4,-11.7,743,56.5,75.375,1444,33.407078,7.275172,4.0342407,6.610696
91,9.3,6.9,36.1,-29.3,157,36.75,48.625,549,32.312923,6.3080983,3.6041381,5.056246
92,4.8,4.4,50.6,-68.7,206,27.625,37.5,647,35.746605,6.4723463,3.318721,5.327876
93,18.7,12.9,32.7,-5.8,169,55.0,47.5,552,-13.636364,6.313548,4.0073333,5.1298985
94,18.5,16.7,18.3,17.4,147,42.0,58.875,806,40.17857,6.692084,3.7376697,4.9904327
95,47.6,22.9,50.9,10.6,341,49.125,74.875,783,52.4173,6.6631327,3.8943682,5.8318825
96,20.2,15.1,20.2,12.6,1593,70.25,62.0,1439,-11.7437725,7.2717037,4.2520604,7.3733745
97,8.4,6.9,0.0,-68.0,21,70.0,38.625,740,-44.82143,6.6066504,4.248495,3.0445225
98,15.3,11.8,30.6,15.6,502,564.125,85.25,1033,-84.8881,6.9402223,6.3352757,6.2186003
99,12.0,10.3,21.1,16.2,327,186.0,55.25,1356,-70.2957,7.2122946,5.2257466,5.7899604
100,8.8,6.0,29.8,-61.3,123,33.25,31.0,537,-6.766917,6.285998,3.5040548,4.8121843
101,19.4,14.0,27.4,-0.4,387,43.5,53.25,1300,22.413794,7.17012,3.7727609,5.9584246
102,2.6,3.1,35.4,-88.2,23,56.75,66.875,1030,17.84141,6.937314,4.0386558,3.1354942
103,35.9,33.5,1.8,20.2,185,40.25,49.125,1188,22.04969,7.0800266,3.69511,5.220356
104,19.8,16.7,11.9,4.5,184,227.75,242.5,424,6.4763994,6.0497336,5.4282484,5.214936
105,24.1,9.2,46.3,88.5,265,31.5,48.125,1283,52.77778,7.156956,3.4499876,5.57973
106,3.7,3.0,32.2,-50.1,90,47.875,50.5,799,5.483029,6.683361,3.8685935,4.4998097
107,23.8,19.6,13.9,17.4,220,55.5,29.0,694,-47.74775,6.542472,4.016383,5.3936276
108,19.1,18.1,8.9,10.3,152,65.0,51.375,598,-20.961538,6.393591,4.1743875,5.0238805
109,27.5,20.0,44.8,45.4,152,36.625,46.0,1587,25.59727,7.369601,3.6007311,5.0238805
110,30.3,21.7,32.2,20.1,379,34.875,18.125,1836,-48.028675,7.5153446,3.5517702,5.9375362
111,19.5,19.2,2.1,6.7,388,44.625,30.875,1212,-30.812325,7.100027,3.7982943,5.961005
112,13.8,10.4,34.9,-22.5,101,37.25,42.0,300,12.7516775,5.7037826,3.617652,4.6151204
113,15.6,10.4,28.8,-11.7,738,72.75,44.625,997,-38.659794,6.904751,4.287029,6.603944
114,21.2,16.9,12.2,13.2,175,46.75,43.625,917,-6.684492,6.8211074,3.8448143,5.164786
115,15.6,12.1,25.0,3.2,226,51.25,29.5,767,-42.439026,6.6424866,3.9367156,5.420535
116,8.1,5.7,46.2,-15.1,128,45.75,60.25,581,31.693989,6.364751,3.823192,4.8520303
117,21.1,19.8,4.1,5.2,205,42.0,48.0,565,14.285714,6.336826,3.7376697,5.32301
118,17.0,15.8,0.2,10.9,125,64.5,57.75,722,-10.4651165,6.582025,4.166665,4.828314
119,32.8,30.2,2.4,10.4,76,37.75,36.0,439,-4.6357617,6.0844994,3.6309855,4.3307333
120,5.8,8.1,79.5,24.3,130,20.375,22.0,780,7.97546,6.659294,3.0143087,4.8675346
121,23.7,15.3,31.8,20.9,667,35.0,11.375,1571,-67.5,7.3594675,3.5553482,6.50279
122,11.9,8.9,6.0,-30.4,70,60.25,55.375,526,-8.091287,6.265301,4.0985026,4.248495
123,16.8,11.2,38.3,11.6,185,38.875,30.125,752,-22.50804,6.6227365,3.6603513,5.220356
124,15.7,9.2,27.9,7.5,1299,68.0,40.375,1296,-40.625,7.167038,4.2195077,7.16935
125,12.1,7.1,34.1,-13.8,1134,111.25,49.75,1289,-55.2809,7.161622,4.71178,7.0335064
126,25.4,12.4,47.7,19.4,280,64.5,66.125,1264,2.5193799,7.1420364,4.166665,5.6347895
127,14.0,8.4,30.0,2.1,1156,50.375,28.5,960,-43.424316,6.8669333,3.919495,7.052721
128,12.8,8.0,27.5,2.5,1131,63.875,40.375,1380,-36.790607,7.229839,4.156928,7.0308576
129,31.4,29.9,2.2,27.5,191,77.25,37.0,1222,-52.10356,7.108244,4.347047,5.2522736
130,39.1,37.3,2.8,42.3,267,62.5,74.625,545,19.4,6.300786,4.1351666,5.587249
131,20.2,18.6,10.5,16.3,172,19.0,39.5,14336,107.89474,9.570529,2.944439,5.1474943
132,2.1,3.6,37.2,-87.0,4,31.875,48.625,889,52.54902,6.790097,3.461822,1.3862944
133,21.0,16.7,18.8,19.7,65,32.375,23.625,653,-27.027027,6.481577,3.4773865,4.1743875
134,25.3,17.4,32.4,26.1,757,71.0,37.5,1630,-47.183098,7.396335,4.26268,6.629363
135,14.9,7.6,39.8,16.6,365,42.875,19.0,334,-55.68513,5.811141,3.7582889,5.8998976
136,12.6,6.7,47.3,-15.9,187,23.875,18.375,447,-23.03665,6.1025586,3.1728318,5.2311087
137,12.5,7.3,40.4,-3.5,524,29.25,26.5,732,-9.40171,6.5957804,3.3758795,6.261492
138,13.7,8.7,42.5,-5.7,214,39.375,14.625,506,-62.857143,6.2265368,3.673131,5.365976
139,9.1,6.9,47.4,-30.1,621,29.125,20.0,884,-31.330473,6.784457,3.3715968,6.431331
140,13.7,9.5,37.9,12.6,187,32.0,25.875,334,-19.140625,5.811141,3.465736,5.2311087
141,37.0,15.7,53.9,45.1,3523,41.625,57.5,1316,38.138138,7.182352,3.7287009,8.1670685
