,educ,south,nonwhite,female,married,exper,expersq,union,lwage,age,year,y85,y85fem,y85educ,y85union
163,15,0,0,0,0,20,400,1,2.495,40,78,0,0,0,0
164,6,0,0,0,1,51,2601,1,1.8718,62,78,0,0,0,0
165,12,0,0,1,1,12,144,0,1.2238,29,78,0,0,0,0
166,10,0,0,0,1,26,676,0,1.7385,41,78,0,0,0,0
167,9,0,0,1,1,34,1156,1,2.0794,48,78,0,0,0,0
168,13,0,0,1,1,35,1225,0,1.4453,53,78,0,0,0,0
169,12,0,0,1,0,12,144,0,1.4469,29,78,0,0,0,0
170,11,0,0,0,0,5,25,0,1.2879,21,78,0,0,0,0
171,14,0,0,0,0,8,64,0,1.7492,27,78,0,0,0,0
172,12,0,0,0,1,29,841,1,2.0477,46,78,0,0,0,0
173,7,0,0,0,1,38,1444,1,1.8326,50,78,0,0,0,0
174,12,0,0,0,1,33,1089,0,1.3987,50,78,0,0,0,0
175,8,0,0,0,1,42,1764,0,1.8326,55,78,0,0,0,0
176,16,0,0,0,0,1,1,0,1.9315,22,78,0,0,0,0
177,13,0,1,0,0,17,289,1,1.9577,35,78,0,0,0,0
178,16,0,0,1,1,5,25,0,1.8326,26,78,0,0,0,0
179,12,0,0,1,0,13,169,0,1.2528,30,78,0,0,0,0
180,12,0,0,1,1,23,529,0,1.2384,40,78,0,0,0,0
181,16,0,0,1,1,12,144,1,0.6131,33,78,0,0,0,0
182,12,0,1,0,1,20,400,1,2.0149,37,78,0,0,0,0
183,13,0,0,0,1,33,1089,0,2.1691,51,78,0,0,0,0
184,9,0,0,0,1,22,484,0,1.43,36,78,0,0,0,0
185,10,0,0,1,0,27,729,1,1.6405,42,78,0,0,0,0
186,14,0,0,0,1,9,81,1,1.9279,28,78,0,0,0,0
187,16,0,0,0,0,5,25,0,1.981,26,78,0,0,0,0
188,12,0,0,0,1,8,64,0,1.5581,25,78,0,0,0,0
189,12,0,0,0,1,32,1024,1,2.1691,49,78,0,0,0,0
190,11,0,0,0,1,12,144,1,2.0149,28,78,0,0,0,0
191,16,0,0,0,0,2,4,0,1.9772,23,78,0,0,0,0
192,12,0,0,0,1,32,1024,1,1.9033,49,78,0,0,0,0
193,12,0,0,0,1,32,1024,0,1.8326,49,78,0,0,0,0
194,18,0,1,0,1,13,169,1,2.2571,36,78,0,0,0,0
195,8,0,0,0,1,34,1156,1,1.8563,47,78,0,0,0,0
196,9,0,0,1,0,16,256,0,-0.078,30,78,0,0,0,0
197,16,0,0,0,1,8,64,0,1.674,29,78,0,0,0,0
198,10,0,1,0,0,33,1089,0,1.6094,48,78,0,0,0,0
199,12,0,0,0,1,24,576,1,2.0794,41,78,0,0,0,0
200,9,0,1,0,1,34,1156,1,1.8326,48,78,0,0,0,0
201,18,0,0,0,1,30,900,0,2.9208,53,78,0,0,0,0
202,12,0,0,0,0,4,16,1,1.1394,21,78,0,0,0,0
203,16,0,1,1,1,5,25,0,1.8326,26,78,0,0,0,0
204,12,0,0,1,1,5,25,0,1.5841,22,78,0,0,0,0
205,10,0,0,0,1,44,1936,1,2.082,59,78,0,0,0,0
206,11,0,0,0,0,8,64,0,1.7047,24,78,0,0,0,0
207,12,0,0,1,1,26,676,0,1.8245,43,78,0,0,0,0
208,14,0,0,0,1,37,1369,0,1.9924,56,78,0,0,0,0
209,12,0,1,1,0,20,400,0,1.0296,37,78,0,0,0,0
210,16,0,1,0,1,16,256,1,2.2558,37,78,0,0,0,0
211,12,0,0,0,1,14,196,0,2.3026,31,78,0,0,0,0
212,10,0,0,1,0,15,225,1,1.6376,30,78,0,0,0,0
213,12,0,0,0,0,3,9,1,1.5841,20,78,0,0,0,0
214,16,0,0,0,1,11,121,0,2.1768,32,78,0,0,0,0
215,8,0,0,0,1,40,1600,1,1.8326,53,78,0,0,0,0
216,12,0,0,1,0,21,441,0,2.4079,38,78,0,0,0,0
217,13,0,0,0,1,3,9,0,1.9636,21,78,0,0,0,0
218,12,0,0,1,0,17,289,0,1.9741,34,78,0,0,0,0
219,12,0,0,0,0,6,36,0,1.4351,23,78,0,0,0,0
220,11,1,1,0,1,28,784,1,2.0794,44,78,0,0,0,0
221,12,1,0,1,1,6,36,0,1.204,23,78,0,0,0,0
222,14,1,0,1,0,4,16,0,1.2528,23,78,0,0,0,0
223,12,1,0,0,1,41,1681,0,2.1691,58,78,0,0,0,0
224,12,1,0,0,0,16,256,1,2.0149,33,78,0,0,0,0
225,12,1,0,1,1,6,36,0,0.452,23,78,0,0,0,0
226,12,1,0,0,1,39,1521,1,2.0794,56,78,0,0,0,0
227,10,1,0,0,1,15,225,0,1.6928,30,78,0,0,0,0
228,12,1,0,1,1,18,324,0,1.4325,35,78,0,0,0,0
229,15,1,0,0,1,7,49,0,1.4929,27,78,0,0,0,0
230,16,1,0,0,1,36,1296,0,1.1394,57,78,0,0,0,0
231,14,1,0,1,1,6,36,0,1.7237,25,78,0,0,0,0
232,12,1,1,1,0,13,169,0,1.5261,30,78,0,0,0,0
233,13,1,0,0,0,2,4,0,1.0986,20,78,0,0,0,0
234,5,1,0,0,1,50,2500,0,1.1575,60,78,0,0,0,0
235,12,1,0,1,1,21,441,0,1.5581,38,78,0,0,0,0
236,12,1,0,0,1,28,784,0,1.2936,45,78,0,0,0,0
237,12,1,0,0,1,12,144,1,1.4759,29,78,0,0,0,0
238,15,1,1,1,1,29,841,0,1.2809,49,78,0,0,0,0
239,12,1,0,0,1,7,49,0,1.3863,24,78,0,0,0,0
240,12,1,0,0,1,22,484,0,2.1203,39,78,0,0,0,0
241,12,1,1,1,0,11,121,0,1.3481,28,78,0,0,0,0
242,12,0,0,1,0,40,1600,0,1.5217,57,78,0,0,0,0
243,12,0,0,0,1,31,961,0,1.5315,48,78,0,0,0,0
244,12,0,0,1,1,10,100,0,1.4214,27,78,0,0,0,0
245,16,0,0,0,1,9,81,0,1.981,30,78,0,0,0,0
246,12,0,1,1,1,10,100,1,1.4469,27,78,0,0,0,0
247,15,0,0,0,1,42,1764,0,3.1322,62,78,0,0,0,0
248,12,0,0,1,1,45,2025,0,0.8873,62,78,0,0,0,0
249,17,0,0,0,1,8,64,1,2.3514,30,78,0,0,0,0
250,15,0,0,0,1,32,1024,0,2.1691,52,78,0,0,0,0
251,14,0,0,0,0,1,1,0,1.2528,20,78,0,0,0,0
252,12,0,0,1,1,17,289,0,1.4271,34,78,0,0,0,0
253,14,0,0,0,1,10,100,0,1.7405,29,78,0,0,0,0
254,12,0,0,0,1,18,324,1,2.2266,35,78,0,0,0,0
255,12,0,0,1,0,10,100,1,0.9676,27,78,0,0,0,0
256,12,0,0,0,1,29,841,1,1.8326,46,78,0,0,0,0
257,12,0,0,1,0,39,1521,0,1.6094,56,78,0,0,0,0
258,12,0,0,1,1,31,961,0,1.1787,48,78,0,0,0,0
259,10,0,0,0,1,18,324,1,2.2513,33,78,0,0,0,0
260,12,0,1,1,1,14,196,1,2.0149,31,78,0,0,0,0
261,12,0,0,1,1,8,64,0,1.0116,25,78,0,0,0,0
262,12,1,0,0,0,9,81,0,1.6094,26,78,0,0,0,0
263,16,1,0,1,0,3,9,0,1.0296,24,78,0,0,0,0
264,9,1,1,1,1,24,576,0,0.9746,38,78,0,0,0,0
265,7,1,0,1,1,21,441,0,0.8109,33,78,0,0,0,0
266,12,1,0,0,1,15,225,0,1.2879,32,78,0,0,0,0
267,18,1,0,0,0,2,4,0,1.8005,25,78,0,0,0,0
268,16,1,1,1,0,12,144,0,1.0986,33,78,0,0,0,0
269,12,1,1,1,1,7,49,0,1.1939,24,78,0,0,0,0
270,9,1,1,1,0,33,1089,0,1.3218,47,78,0,0,0,0
271,15,1,0,0,0,5,25,0,1.6487,25,78,0,0,0,0
272,18,1,0,1,0,3,9,0,1.3218,26,78,0,0,0,0
273,11,1,0,1,1,8,64,0,0.899,24,78,0,0,0,0
274,13,1,0,1,1,5,25,0,1.3797,23,78,0,0,0,0
275,12,1,0,1,1,1,1,0,1.2264,18,78,0,0,0,0
276,12,0,0,1,1,21,441,0,0.922,38,78,0,0,0,0
277,12,0,0,0,0,1,1,0,0.9773,18,78,0,0,0,0
278,11,0,0,1,1,37,1369,0,1.0159,53,78,0,0,0,0
279,12,0,0,0,1,17,289,1,1.6094,34,78,0,0,0,0
280,12,0,0,1,0,43,1849,0,1.6582,60,78,0,0,0,0
281,12,0,0,0,0,4,16,0,1.7272,21,78,0,0,0,0
282,12,0,0,0,0,6,36,0,1.0986,23,78,0,0,0,0
283,8,0,0,0,1,49,2401,1,1.9459,62,78,0,0,0,0
284,16,0,0,0,1,13,169,0,2.2783,34,78,0,0,0,0
285,18,0,0,0,1,11,121,1,1.5333,34,78,0,0,0,0
286,8,0,0,1,1,18,324,0,1.0473,31,78,0,0,0,0
287,7,1,1,0,1,14,196,0,1.5179,26,78,0,0,0,0
288,15,1,0,1,1,20,400,0,1.6297,40,78,0,0,0,0
289,14,1,0,1,0,38,1444,0,1.8718,57,78,0,0,0,0
290,10,1,0,0,1,46,2116,1,1.6094,61,78,0,0,0,0
291,18,1,0,0,1,20,400,0,2.6872,43,78,0,0,0,0
292,16,1,0,1,0,7,49,0,1.8908,28,78,0,0,0,0
293,12,1,0,1,1,10,100,0,1.1787,27,78,0,0,0,0
294,18,1,0,0,1,12,144,0,2.708,35,78,0,0,0,0
295,12,1,0,1,0,13,169,0,2.1914,30,78,0,0,0,0
296,16,1,0,0,1,20,400,0,2.1203,41,78,0,0,0,0
297,12,1,0,0,0,6,36,0,1.5041,23,78,0,0,0,0
298,9,1,0,1,0,6,36,0,1.1787,20,78,0,0,0,0
299,8,1,0,0,1,40,1600,0,1.1632,53,78,0,0,0,0
300,12,1,0,1,0,1,1,0,0.9445,18,78,0,0,0,0
301,10,1,1,0,0,14,196,1,1.6094,29,78,0,0,0,0
302,12,1,0,0,0,5,25,0,1.0647,22,78,0,0,0,0
303,8,1,0,0,1,17,289,0,1.0647,30,78,0,0,0,0
304,12,1,0,0,1,14,196,0,2.0015,31,78,0,0,0,0
305,12,1,0,1,1,12,144,0,1.1394,29,78,0,0,0,0
306,13,1,0,0,1,30,900,1,1.9913,48,78,0,0,0,0
307,14,1,0,0,1,38,1444,1,2.0149,57,78,0,0,0,0
308,12,1,1,0,1,23,529,0,1.0647,40,78,0,0,0,0
309,9,1,0,0,0,5,25,0,0.9746,19,78,0,0,0,0
310,12,1,0,0,1,36,1296,1,2.1576,53,78,0,0,0,0
311,11,1,1,1,0,34,1156,0,1.1787,50,78,0,0,0,0
312,13,1,0,0,1,5,25,1,1.9936,23,78,0,0,0,0
313,6,0,1,0,1,48,2304,0,1.5738,59,78,0,0,0,0
314,6,0,0,0,1,38,1444,0,2.2225,49,78,0,0,0,0
315,15,0,1,1,0,8,64,0,1.6549,28,78,0,0,0,0
316,12,0,0,1,0,39,1521,1,1.7272,56,78,0,0,0,0
317,16,0,0,1,0,16,256,1,2.0314,37,78,0,0,0,0
318,14,0,0,1,1,25,625,0,0.452,44,78,0,0,0,0
319,13,1,0,0,1,4,16,0,1.3218,22,78,0,0,0,0
320,12,1,0,0,0,6,36,0,1.6094,23,78,0,0,0,0
321,12,1,0,1,0,46,2116,0,2.0215,63,78,0,0,0,0
322,18,1,1,1,0,22,484,0,1.6818,45,78,0,0,0,0
323,11,1,0,0,1,27,729,0,1.8326,43,78,0,0,0,0
324,12,1,0,0,1,4,16,1,1.2528,21,78,0,0,0,0
325,11,1,0,0,1,41,1681,1,1.6341,57,78,0,0,0,0
326,16,1,1,1,0,30,900,1,2.3026,51,78,0,0,0,0
327,14,1,0,1,1,3,9,0,1.743,22,78,0,0,0,0
328,7,1,1,0,1,21,441,1,1.8326,33,78,0,0,0,0
329,12,1,1,1,1,22,484,0,1.0498,39,78,0,0,0,0
330,18,1,0,0,0,9,81,0,2.1576,32,78,0,0,0,0
331,16,1,0,0,1,27,729,0,2.3826,48,78,0,0,0,0
332,16,1,0,1,0,2,4,0,1.5581,23,78,0,0,0,0
333,12,0,0,1,1,8,64,1,1.4231,25,78,0,0,0,0
334,10,0,0,1,1,27,729,0,1.1632,42,78,0,0,0,0
335,12,0,0,0,1,13,169,0,1.6243,30,78,0,0,0,0
336,10,0,0,0,1,43,1849,1,2.0149,58,78,0,0,0,0
337,14,0,0,0,1,16,256,0,1.9867,35,78,0,0,0,0
338,12,0,0,0,1,12,144,0,1.0498,29,78,0,0,0,0
339,15,0,0,1,0,4,16,0,1.3863,24,78,0,0,0,0
340,12,0,0,1,1,4,16,0,1.3218,21,78,0,0,0,0
341,12,0,0,1,0,12,144,1,1.5261,29,78,0,0,0,0
342,16,0,0,0,1,5,25,0,2.1972,26,78,0,0,0,0
343,18,1,0,0,1,36,1296,0,1.8971,59,78,0,0,0,0
344,2,1,1,0,1,55,3025,0,1.1394,62,78,0,0,0,0
345,12,1,0,0,0,17,289,0,1.3545,34,78,0,0,0,0
346,12,1,0,0,1,14,196,0,2.1203,31,78,0,0,0,0
347,18,1,0,0,0,31,961,0,2.492,54,78,0,0,0,0
348,12,1,0,1,0,21,441,0,1.0986,38,78,0,0,0,0
349,12,1,0,0,0,5,25,0,1.5993,22,78,0,0,0,0
350,14,1,0,1,1,22,484,0,2.0949,41,78,0,0,0,0
351,7,1,0,0,1,19,361,1,1.6094,31,78,0,0,0,0
352,11,1,0,0,1,30,900,0,2.5257,46,78,0,0,0,0
353,14,1,0,0,1,9,81,0,1.8326,28,78,0,0,0,0
354,12,1,0,1,1,30,900,0,1.5686,47,78,0,0,0,0
355,12,1,0,0,0,9,81,1,1.7143,26,78,0,0,0,0
356,12,1,0,1,0,7,49,0,1.1787,24,78,0,0,0,0
357,13,1,0,1,0,1,1,0,0.6931,19,78,0,0,0,0
358,12,1,0,0,1,14,196,1,1.5581,31,78,0,0,0,0
359,8,0,0,0,1,37,1369,1,2.3979,50,78,0,0,0,0
360,12,0,0,1,1,28,784,0,1.6094,45,78,0,0,0,0
361,13,0,0,1,1,8,64,1,1.7492,26,78,0,0,0,0
362,12,0,0,0,1,36,1296,1,1.6292,53,78,0,0,0,0
363,12,0,0,1,0,1,1,0,1.2528,18,78,0,0,0,0
364,12,0,0,1,0,17,289,0,1.6094,34,78,0,0,0,0
365,15,0,0,0,0,5,25,0,1.3218,25,78,0,0,0,0
366,12,0,0,1,1,4,16,0,1.2528,21,78,0,0,0,0
367,12,0,0,0,1,15,225,1,1.9021,32,78,0,0,0,0
368,8,1,0,0,1,18,324,0,0.9925,31,78,0,0,0,0
369,16,1,0,0,1,2,4,0,1.3863,23,78,0,0,0,0
370,16,1,0,0,1,6,36,0,1.8971,27,78,0,0,0,0
371,12,1,0,1,1,23,529,0,1.7272,40,78,0,0,0,0
372,12,1,0,1,0,12,144,0,0.9746,29,78,0,0,0,0
373,12,1,0,0,1,20,400,1,2.3026,37,78,0,0,0,0
374,16,1,0,0,1,17,289,0,2.3026,38,78,0,0,0,0
375,16,0,0,1,1,8,64,0,2.0412,29,78,0,0,0,0
376,12,0,0,1,0,4,16,0,1.5315,21,78,0,0,0,0
377,12,0,1,0,0,13,169,0,1.3863,30,78,0,0,0,0
378,16,0,0,0,0,12,144,0,2.0468,33,78,0,0,0,0
379,15,0,0,0,0,17,289,0,2.29,37,78,0,0,0,0
380,17,0,0,1,1,8,64,0,1.8718,30,78,0,0,0,0
381,10,0,0,0,1,42,1764,0,1.8654,57,78,0,0,0,0
382,10,0,0,0,0,5,25,1,1.7309,20,78,0,0,0,0
383,16,0,0,0,0,18,324,1,1.9741,39,78,0,0,0,0
384,12,0,0,1,0,3,9,0,1.4469,20,78,0,0,0,0
385,8,0,0,0,0,22,484,0,1.4271,35,78,0,0,0,0
386,12,0,0,1,1,18,324,0,1.2649,35,78,0,0,0,0
387,12,0,0,0,1,8,64,0,1.9636,25,78,0,0,0,0
388,15,0,0,0,1,1,1,0,1.7272,21,78,0,0,0,0
389,15,0,0,1,0,4,16,0,1.4858,24,78,0,0,0,0
390,12,0,0,0,1,11,121,0,1.3863,28,78,0,0,0,0
391,12,0,0,0,1,45,2025,1,2.1518,62,78,0,0,0,0
392,12,0,0,0,1,35,1225,0,2.1019,52,78,0,0,0,0
393,11,1,1,0,0,22,484,0,1.0116,38,78,0,0,0,0
394,12,1,0,1,1,13,169,0,1.7272,30,78,0,0,0,0
