,year,educ,meduc,feduc,age,kids,black,east,northcen,west,farm,othrural,town,smcity,y74,y76,y78,y80,y82,y84,agesq,y74educ,y76educ,y78educ,y80educ,y82educ,y84educ
31,72,12,9,7,42,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1764,0,0,0,0,0,0
32,72,12,12,12,53,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,0
33,72,12,9,14,45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,0
34,72,12,6,10,51,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2601,0,0,0,0,0,0
35,72,13,0,0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,0
36,72,8,8,8,36,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0
37,72,9,6,6,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0
38,72,8,0,0,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0
39,72,12,6,8,44,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1936,0,0,0,0,0,0
40,72,12,8,8,42,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1764,0,0,0,0,0,0
41,72,16,12,13,42,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1764,0,0,0,0,0,0
42,72,15,10,12,53,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2809,0,0,0,0,0,0
43,72,12,14,12,36,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1296,0,0,0,0,0,0
44,72,11,7,7,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,0,0,0,0,0,0
45,72,16,8,13,40,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1600,0,0,0,0,0,0
46,72,12,7,8,52,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2704,0,0,0,0,0,0
47,72,12,8,6,43,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1849,0,0,0,0,0,0
48,72,14,4,8,36,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1296,0,0,0,0,0,0
49,72,14,7,12,48,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2304,0,0,0,0,0,0
50,72,7,3,6,49,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2401,0,0,0,0,0,0
51,72,12,8,8,41,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1681,0,0,0,0,0,0
52,72,12,8,16,47,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2209,0,0,0,0,0,0
53,72,12,12,12,48,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2304,0,0,0,0,0,0
54,72,12,11,9,47,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2209,0,0,0,0,0,0
55,72,12,12,9,36,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1296,0,0,0,0,0,0
56,72,8,4,8,44,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1936,0,0,0,0,0,0
57,72,9,7,7,46,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,0
58,72,14,8,8,46,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,0
59,72,8,0,0,50,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0
60,72,9,3,8,45,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,0
61,72,12,8,8,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849,0,0,0,0,0,0
62,72,12,8,7,53,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2809,0,0,0,0,0,0
63,72,12,9,11,35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,0,0,0,0,0,0
64,72,14,8,12,51,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,0
65,72,11,6,9,45,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,0
66,72,14,12,12,44,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1936,0,0,0,0,0,0
67,72,14,12,14,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2401,0,0,0,0,0,0
68,72,14,9,12,38,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1444,0,0,0,0,0,0
69,72,16,8,10,51,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,0
70,72,16,12,12,53,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2809,0,0,0,0,0,0
71,72,12,12,12,49,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2401,0,0,0,0,0,0
72,72,12,6,7,46,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2116,0,0,0,0,0,0
73,72,12,8,13,48,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2304,0,0,0,0,0,0
74,72,12,13,8,43,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1849,0,0,0,0,0,0
75,72,13,3,12,49,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2401,0,0,0,0,0,0
76,72,12,5,6,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0
77,72,15,12,9,36,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0
78,72,12,10,10,35,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1225,0,0,0,0,0,0
79,72,15,16,16,42,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1764,0,0,0,0,0,0
80,72,9,8,8,54,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2916,0,0,0,0,0,0
81,72,12,12,8,45,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2025,0,0,0,0,0,0
82,72,8,0,0,53,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2809,0,0,0,0,0,0
83,72,15,16,16,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,0,0,0,0,0,0
84,72,12,8,8,53,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,0
85,72,12,3,2,41,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1681,0,0,0,0,0,0
86,72,12,6,4,51,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,0
87,72,12,8,8,54,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2916,0,0,0,0,0,0
88,72,8,2,2,44,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1936,0,0,0,0,0,0
89,72,12,4,7,35,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1225,0,0,0,0,0,0
90,72,8,0,0,42,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1764,0,0,0,0,0,0
91,72,10,12,9,51,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,0
92,72,12,14,10,38,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1444,0,0,0,0,0,0
93,72,12,6,8,51,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,0
94,72,11,7,7,49,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2401,0,0,0,0,0,0
95,72,12,10,12,39,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1521,0,0,0,0,0,0
96,72,12,12,16,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,0
97,72,12,7,12,50,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2500,0,0,0,0,0,0
98,72,11,8,10,36,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1296,0,0,0,0,0,0
99,72,12,9,12,36,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0
100,72,13,12,12,41,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681,0,0,0,0,0,0
101,72,12,12,12,43,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1849,0,0,0,0,0,0
102,72,12,12,13,43,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1849,0,0,0,0,0,0
103,72,18,10,12,52,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2704,0,0,0,0,0,0
104,72,19,14,8,47,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2209,0,0,0,0,0,0
105,72,16,20,15,44,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1936,0,0,0,0,0,0
106,72,16,16,14,35,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1225,0,0,0,0,0,0
107,72,12,8,4,51,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2601,0,0,0,0,0,0
108,72,12,8,12,46,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,0
109,72,6,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2916,0,0,0,0,0,0
110,72,12,8,8,43,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1849,0,0,0,0,0,0
111,72,13,13,12,47,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2209,0,0,0,0,0,0
112,72,12,8,12,36,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0
113,72,12,8,13,42,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1764,0,0,0,0,0,0
114,72,8,8,8,49,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2401,0,0,0,0,0,0
115,72,11,7,8,54,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2916,0,0,0,0,0,0
116,72,12,4,7,46,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,0
117,72,10,7,7,50,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0
118,72,13,11,14,48,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2304,0,0,0,0,0,0
119,72,14,10,10,53,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,0
120,72,12,5,4,38,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1444,0,0,0,0,0,0
121,72,15,16,12,44,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1936,0,0,0,0,0,0
122,72,8,12,6,48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2304,0,0,0,0,0,0
123,72,9,0,3,37,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1369,0,0,0,0,0,0
124,72,11,5,8,46,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2116,0,0,0,0,0,0
125,72,12,9,7,48,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2304,0,0,0,0,0,0
126,72,13,11,12,41,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1681,0,0,0,0,0,0
127,72,16,6,8,49,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2401,0,0,0,0,0,0
128,72,12,9,6,38,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1444,0,0,0,0,0,0
129,72,12,10,8,44,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1936,0,0,0,0,0,0
130,72,12,8,6,47,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2209,0,0,0,0,0,0
131,72,10,8,8,42,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1764,0,0,0,0,0,0
132,72,12,12,12,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,0
133,72,13,12,13,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,0,0,0,0,0,0
134,72,12,8,6,44,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1936,0,0,0,0,0,0
135,72,15,8,11,37,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1369,0,0,0,0,0,0
136,72,10,0,4,47,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2209,0,0,0,0,0,0
137,72,12,3,7,39,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1521,0,0,0,0,0,0
138,72,10,6,6,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2116,0,0,0,0,0,0
139,72,16,6,6,50,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0
140,72,16,8,16,35,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1225,0,0,0,0,0,0
141,72,12,10,8,48,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2304,0,0,0,0,0,0
142,72,12,0,0,51,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,0
143,72,10,8,8,42,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1764,0,0,0,0,0,0
144,72,11,9,14,42,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1764,0,0,0,0,0,0
145,72,16,12,12,45,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2025,0,0,0,0,0,0
146,72,16,12,6,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0
147,72,12,8,8,41,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681,0,0,0,0,0,0
148,72,12,10,12,39,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1521,0,0,0,0,0,0
149,72,13,12,8,46,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,0
150,72,11,12,9,48,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2304,0,0,0,0,0,0
151,72,12,8,8,38,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1444,0,0,0,0,0,0
152,72,14,12,10,44,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1936,0,0,0,0,0,0
153,72,12,16,13,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2209,0,0,0,0,0,0
154,72,16,12,12,49,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2401,0,0,0,0,0,0
155,72,12,6,6,42,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1764,0,0,0,0,0,0
156,74,12,10,11,54,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2916,12,0,0,0,0,0
157,74,13,6,11,35,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1225,13,0,0,0,0,0
158,74,12,12,9,48,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2304,12,0,0,0,0,0
159,74,12,4,4,50,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2500,12,0,0,0,0,0
160,74,15,17,8,52,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2704,15,0,0,0,0,0
161,74,12,12,11,40,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1600,12,0,0,0,0,0
162,74,8,7,8,52,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2704,8,0,0,0,0,0
163,74,11,3,8,52,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2704,11,0,0,0,0,0
164,74,16,8,12,44,4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1936,16,0,0,0,0,0
165,74,12,6,12,53,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2809,12,0,0,0,0,0
166,74,15,12,11,42,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1764,15,0,0,0,0,0
167,74,15,9,9,43,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1849,15,0,0,0,0,0
168,74,13,3,10,39,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1521,13,0,0,0,0,0
169,74,12,4,5,53,5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2809,12,0,0,0,0,0
170,74,20,8,9,43,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1849,20,0,0,0,0,0
171,74,13,8,12,42,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1764,13,0,0,0,0,0
172,74,13,8,8,54,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2916,13,0,0,0,0,0
173,74,15,18,12,38,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1444,15,0,0,0,0,0
174,74,11,9,9,41,4,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1681,11,0,0,0,0,0
175,74,16,12,13,43,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1849,16,0,0,0,0,0
176,74,14,16,12,46,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2116,14,0,0,0,0,0
177,74,12,8,8,54,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2916,12,0,0,0,0,0
178,74,9,4,8,45,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2025,9,0,0,0,0,0
179,74,13,9,9,38,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1444,13,0,0,0,0,0
180,74,12,7,12,44,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1936,12,0,0,0,0,0
181,74,9,4,4,50,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2500,9,0,0,0,0,0
182,74,12,12,12,39,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1521,12,0,0,0,0,0
183,74,12,8,8,52,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2704,12,0,0,0,0,0
184,74,12,12,16,52,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2704,12,0,0,0,0,0
185,74,12,0,6,49,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2401,12,0,0,0,0,0
186,74,13,14,13,47,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2209,13,0,0,0,0,0
187,74,12,12,10,39,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1521,12,0,0,0,0,0
188,74,12,8,8,42,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1764,12,0,0,0,0,0
189,74,7,5,9,45,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2025,7,0,0,0,0,0
190,74,14,16,12,40,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1600,14,0,0,0,0,0
191,74,10,6,3,54,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2916,10,0,0,0,0,0
192,74,12,9,9,46,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2116,12,0,0,0,0,0
193,74,12,0,0,52,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2704,12,0,0,0,0,0
194,74,18,9,11,44,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1936,18,0,0,0,0,0
195,74,13,7,8,42,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1764,13,0,0,0,0,0
196,74,12,5,12,53,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2809,12,0,0,0,0,0
197,74,12,7,7,39,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1521,12,0,0,0,0,0
198,74,17,14,16,54,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2916,17,0,0,0,0,0
199,74,12,12,12,38,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1444,12,0,0,0,0,0
200,74,14,15,12,51,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2601,14,0,0,0,0,0
201,74,14,12,10,44,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1936,14,0,0,0,0,0
202,74,17,16,10,47,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2209,17,0,0,0,0,0
203,74,12,12,8,53,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2809,12,0,0,0,0,0
204,74,12,8,4,51,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2601,12,0,0,0,0,0
205,74,13,6,8,49,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2401,13,0,0,0,0,0
206,74,14,8,8,54,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2916,14,0,0,0,0,0
207,74,12,12,12,36,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1296,12,0,0,0,0,0
208,74,10,6,6,42,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1764,10,0,0,0,0,0
209,74,11,10,10,40,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1600,11,0,0,0,0,0
210,74,12,12,16,38,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1444,12,0,0,0,0,0
211,74,15,6,6,48,6,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2304,15,0,0,0,0,0
212,74,12,12,10,43,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1849,12,0,0,0,0,0
213,74,12,12,12,51,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2601,12,0,0,0,0,0
214,74,12,14,12,38,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1444,12,0,0,0,0,0
215,74,13,11,12,37,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1369,13,0,0,0,0,0
216,74,16,14,12,40,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1600,16,0,0,0,0,0
217,74,12,6,0,50,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2500,12,0,0,0,0,0
218,74,12,7,7,54,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2916,12,0,0,0,0,0
219,74,13,13,5,51,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2601,13,0,0,0,0,0
220,74,12,12,14,41,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1681,12,0,0,0,0,0
221,74,12,8,8,48,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2304,12,0,0,0,0,0
222,74,15,4,8,40,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1600,15,0,0,0,0,0
223,74,12,4,4,46,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2116,12,0,0,0,0,0
224,74,12,8,8,39,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1521,12,0,0,0,0,0
225,74,8,8,8,35,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1225,8,0,0,0,0,0
226,74,12,12,11,37,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1369,12,0,0,0,0,0
227,74,12,8,8,53,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2809,12,0,0,0,0,0
228,74,12,8,8,40,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1600,12,0,0,0,0,0
229,74,12,11,12,35,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1225,12,0,0,0,0,0
230,74,10,12,8,47,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2209,10,0,0,0,0,0
231,74,10,8,8,44,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1936,10,0,0,0,0,0
232,74,12,5,12,36,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1296,12,0,0,0,0,0
233,74,17,14,13,47,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2209,17,0,0,0,0,0
234,74,8,8,8,51,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2601,8,0,0,0,0,0
235,74,12,8,12,49,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2401,12,0,0,0,0,0
236,74,12,2,3,52,5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2704,12,0,0,0,0,0
237,74,12,6,8,42,6,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1764,12,0,0,0,0,0
238,74,16,11,12,37,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1369,16,0,0,0,0,0
239,74,12,8,8,40,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1600,12,0,0,0,0,0
240,74,12,12,12,48,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2304,12,0,0,0,0,0
241,74,18,18,15,36,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1296,18,0,0,0,0,0
