,age,soph,junior,senior,senior5,male,campus,business,engineer,colGPA,hsGPA,ACT,job19,job20,drive,bike,walk,voluntr,PC,greek,car,siblings,bgfriend,clubs,skipped,alcohol,gradMI,fathcoll,mothcoll
18,20,0,1,0,0,1,0,1,0,2.4,3.0,21,0,0,1,0,0,0,0,0,1,1,0,0,2.0,4.0,0,1,0
19,21,0,0,1,0,1,0,1,0,3.6,3.5,29,0,0,0,1,0,0,1,0,1,1,1,1,1.0,5.0,1,1,1
20,20,0,1,0,0,0,0,1,0,2.6,3.5,25,1,0,1,0,0,0,0,1,1,1,1,1,3.0,2.0,1,1,1
21,22,0,0,1,0,1,0,0,1,2.7,3.0,23,1,0,0,0,1,0,0,0,1,1,0,1,1.0,1.0,1,0,1
22,20,0,1,0,0,0,0,1,0,2.9,3.6,27,0,0,0,1,0,1,1,0,1,1,1,1,1.0,1.0,0,1,0
23,21,0,0,1,0,0,1,0,0,3.0,4.0,25,1,0,0,1,0,1,1,1,1,1,1,1,0.0,0.0,1,0,0
24,20,0,1,0,0,1,0,1,0,3.3,3.6,33,0,0,0,1,0,1,0,1,0,1,1,0,2.0,5.0,1,1,0
25,20,0,1,0,0,0,0,1,0,3.1,3.3,24,1,0,0,0,1,1,0,0,1,1,1,1,1.0,1.0,1,1,0
26,20,0,1,0,0,0,0,1,0,3.0,3.6,27,1,0,0,1,0,0,1,1,0,1,1,0,2.0,1.0,1,0,0
27,20,0,1,0,0,0,0,0,0,3.2,3.1,20,0,0,1,0,0,0,1,1,1,1,0,1,1.0,2.0,1,0,0
28,20,0,1,0,0,0,0,1,0,3.0,3.4,21,0,0,0,1,0,0,1,0,1,0,0,0,0.0,2.0,1,1,1
29,20,0,1,0,0,0,0,1,0,3.4,3.7,24,0,0,0,1,0,0,0,1,0,1,1,0,0.5,2.0,1,1,1
30,21,0,1,0,0,1,0,1,0,2.9,3.7,20,0,0,0,1,0,0,0,0,1,1,0,0,1.0,2.0,1,0,0
31,21,0,0,1,0,0,0,1,0,3.5,3.3,23,0,0,1,0,0,0,1,1,1,1,1,0,1.0,0.0,1,1,1
32,22,0,0,1,0,1,0,1,0,3.7,3.3,22,0,0,0,1,0,0,1,0,1,1,1,1,0.0,1.0,1,1,0
33,20,0,0,1,0,0,0,1,0,3.5,3.5,24,1,0,0,0,1,0,1,0,1,1,0,1,0.0,1.0,1,1,1
34,21,0,0,1,0,1,0,1,0,2.8,3.2,28,0,1,0,1,0,0,0,0,1,1,1,1,1.0,3.0,1,1,1
35,21,0,0,1,0,0,1,1,0,2.5,3.3,25,1,0,0,0,1,0,1,0,1,1,1,1,1.0,1.0,1,1,1
36,21,0,0,1,0,0,0,1,0,3.1,3.4,23,0,0,1,0,0,0,1,1,1,1,1,0,0.5,1.0,1,1,1
37,20,0,1,0,0,1,0,1,0,3.5,3.5,24,1,0,0,1,0,0,0,1,1,1,0,1,1.0,3.0,1,1,0
38,20,0,1,0,0,0,0,1,0,3.4,3.4,26,1,0,0,0,1,0,1,0,0,1,1,0,0.5,0.0,1,1,1
39,21,0,0,1,0,0,0,1,0,3.5,3.7,23,1,0,0,1,0,0,1,1,0,1,0,1,0.0,2.0,1,0,1
40,21,0,0,1,0,1,0,1,0,2.6,2.5,26,0,1,0,0,1,0,1,1,1,1,1,0,1.0,1.0,0,0,0
41,21,0,0,1,0,1,0,1,0,2.8,3.7,23,0,1,0,0,1,1,1,1,0,1,0,1,0.0,2.0,1,1,1
42,21,0,0,1,0,0,0,1,0,2.6,3.0,23,0,0,0,0,1,0,0,0,1,1,0,0,2.0,3.0,1,0,0
43,20,0,1,0,0,1,0,1,0,3.5,3.0,19,0,0,0,0,1,0,1,1,1,1,0,1,1.0,3.0,1,0,1
44,22,0,0,0,1,0,0,1,0,4.0,4.0,26,1,0,0,0,1,0,1,0,1,1,1,1,0.0,0.5,1,1,1
45,20,0,1,0,0,0,0,1,0,3.8,3.8,26,0,0,0,0,1,0,1,0,1,0,1,1,1.0,3.0,1,1,1
46,19,0,1,0,0,1,0,1,0,2.8,3.0,21,0,0,0,0,1,0,1,1,1,1,0,0,4.0,2.0,1,1,1
47,21,0,0,1,0,0,0,1,0,3.5,3.7,24,1,0,0,0,1,1,0,1,1,1,1,1,1.0,2.0,1,0,0
48,21,0,0,1,0,0,0,1,0,3.0,3.4,24,1,0,0,0,1,0,0,1,1,0,0,0,2.0,1.0,1,1,1
49,21,0,0,1,0,1,0,1,0,2.6,2.4,24,1,0,0,1,0,0,0,0,1,1,0,0,1.0,2.0,1,0,0
50,21,0,1,0,0,0,0,1,0,3.0,3.8,21,1,0,0,1,0,0,0,0,1,1,1,0,1.0,2.0,1,0,0
51,22,0,0,0,1,0,0,0,0,3.7,4.0,25,1,0,0,1,0,0,0,1,1,1,0,1,1.0,2.0,1,0,0
52,19,0,1,0,0,0,0,1,0,3.0,3.5,21,1,0,0,0,1,1,0,0,1,1,0,1,0.0,2.0,1,1,1
53,20,0,1,0,0,1,0,1,0,2.9,3.4,27,1,0,0,0,1,0,1,0,1,1,1,1,1.0,3.0,1,1,1
54,20,0,0,1,0,1,1,0,1,2.6,3.6,19,1,0,0,1,0,1,1,0,1,1,0,1,1.0,0.0,1,1,0
55,22,0,0,0,1,1,0,1,0,3.0,3.2,27,0,0,1,0,0,0,0,0,1,1,0,0,2.0,5.0,1,1,1
56,21,0,0,1,0,1,0,1,0,3.3,3.8,28,1,0,0,1,0,0,0,0,0,1,0,1,0.5,1.0,1,0,1
57,22,0,1,0,0,1,0,1,0,2.7,3.3,24,0,0,0,1,0,0,0,1,1,1,1,1,2.0,3.0,1,1,0
58,21,0,0,1,0,1,0,0,0,3.0,3.4,27,1,0,0,0,1,0,0,0,1,1,0,1,0.0,1.0,1,1,1
59,21,0,1,0,0,0,0,1,0,3.2,3.0,24,1,0,0,0,1,0,0,0,1,1,0,0,0.0,0.0,1,1,1
60,20,0,1,0,0,1,0,1,0,2.7,3.6,27,0,0,0,0,1,0,0,0,0,1,0,1,1.0,3.0,1,0,1
61,21,0,0,1,0,0,1,1,0,3.6,3.9,26,1,0,0,0,1,0,1,0,0,1,0,0,1.0,2.0,1,1,0
62,21,0,0,1,0,0,0,1,0,2.4,3.0,19,0,0,1,0,0,0,0,1,1,1,0,1,2.0,3.0,1,0,1
63,21,0,0,1,0,0,0,1,0,2.9,3.0,24,0,0,0,1,0,0,0,0,1,1,1,0,1.0,2.0,1,0,0
64,21,0,0,1,0,0,1,0,0,3.3,3.3,26,1,0,0,1,0,0,1,0,1,1,0,1,1.0,1.0,1,0,0
65,20,0,1,0,0,1,0,1,0,3.5,3.3,28,0,0,0,0,1,1,1,0,1,1,0,1,0.5,1.5,1,1,1
66,21,0,0,1,0,1,0,0,0,3.0,3.2,22,0,0,0,0,1,0,0,0,1,1,0,1,2.0,3.0,1,1,1
67,21,0,0,1,0,1,0,1,0,3.0,3.4,27,0,1,0,1,0,1,0,1,1,1,0,1,0.0,2.0,1,1,1
68,21,0,0,1,0,0,0,0,1,2.8,3.7,26,1,0,0,1,0,1,1,0,0,1,0,1,0.0,1.0,0,0,1
69,21,0,0,1,0,1,1,0,0,2.9,3.4,26,0,0,0,1,0,0,1,0,1,1,0,0,0.0,2.0,1,1,1
70,22,0,0,1,0,1,0,0,1,3.8,3.9,30,0,1,0,1,0,1,1,1,1,1,1,1,2.0,7.0,1,1,1
71,20,0,1,0,0,0,0,1,0,2.5,3.6,24,0,1,0,0,1,0,0,1,1,1,0,0,2.0,1.0,1,0,0
72,21,0,1,0,0,1,0,1,0,3.0,4.0,26,0,0,0,1,0,0,0,1,1,1,0,1,1.0,4.0,1,0,0
73,20,0,1,0,0,0,0,1,0,3.2,3.6,21,0,1,0,1,0,1,0,0,0,1,0,1,1.0,2.0,1,1,1
74,21,0,0,1,0,1,1,1,0,2.2,3.0,24,1,0,1,0,0,1,1,0,1,0,0,0,0.0,1.0,0,1,1
75,30,0,0,1,0,1,0,0,0,3.4,2.8,24,0,1,1,0,0,0,0,0,1,1,1,1,0.0,0.0,1,0,0
76,22,0,1,0,0,1,1,1,0,2.9,3.2,23,0,0,0,0,1,0,0,0,1,1,0,0,0.0,3.0,1,1,0
77,22,0,0,1,0,1,0,1,0,3.7,2.9,26,0,0,0,1,0,0,1,1,1,1,0,1,1.0,5.0,1,1,0
78,20,0,1,0,0,1,1,1,0,2.9,2.9,24,1,0,0,1,0,1,0,1,1,1,1,1,1.0,0.5,0,1,1
79,23,0,0,0,1,1,1,0,0,2.8,3.6,24,1,0,0,0,1,0,0,0,0,1,1,1,0.5,1.0,0,1,1
80,22,0,0,0,1,1,0,0,0,3.2,3.4,27,0,0,0,0,1,0,0,0,0,1,0,1,1.0,2.0,1,1,0
81,21,0,0,1,0,0,0,1,0,3.4,3.6,23,0,0,1,0,0,0,0,1,1,1,1,1,0.5,2.0,0,1,1
82,22,0,0,0,1,0,0,0,0,3.0,3.2,31,1,0,1,0,0,1,1,1,1,0,1,1,2.0,1.0,1,0,1
83,22,0,0,1,0,0,0,1,0,2.5,3.2,24,1,0,0,0,1,0,0,0,0,1,1,1,2.0,1.0,1,0,1
84,21,0,0,1,0,0,0,1,0,3.5,3.2,16,0,0,1,0,0,0,1,1,1,0,0,0,1.0,3.0,1,0,1
85,21,0,0,1,0,1,0,1,0,3.1,3.7,27,0,0,0,1,0,1,0,1,1,1,0,1,1.0,4.0,0,1,1
86,21,0,0,1,0,1,0,1,0,2.8,2.9,22,1,0,0,1,0,0,0,0,1,1,1,0,0.0,7.0,1,1,1
87,21,0,0,1,0,0,0,1,0,2.9,3.3,23,0,1,0,0,1,0,0,0,1,1,0,1,1.0,2.0,1,0,0
88,21,0,0,1,0,1,1,1,0,2.9,3.1,24,0,0,0,0,1,0,0,0,1,1,0,1,2.0,3.0,1,1,0
89,19,0,1,0,0,0,0,1,0,3.4,3.5,24,0,0,0,1,0,1,0,0,1,1,1,1,0.0,1.0,1,0,0
90,20,0,1,0,0,1,1,1,0,3.4,3.5,23,0,1,0,0,1,0,1,0,1,1,1,1,0.0,1.5,1,1,1
91,22,0,0,1,0,1,0,1,0,3.6,3.7,23,0,1,1,0,0,0,0,0,1,1,1,0,3.0,3.0,1,0,0
92,26,0,0,1,0,0,0,1,0,3.2,3.0,23,0,0,1,0,0,1,1,0,1,1,1,0,0.25,0.5,1,1,0
93,20,0,1,0,0,0,0,0,0,3.2,3.8,25,0,0,1,0,0,0,1,0,1,1,1,1,1.0,2.0,0,1,1
94,21,0,0,1,0,0,0,1,0,2.8,3.3,21,0,0,1,0,0,0,1,0,1,1,1,1,0.0,0.5,0,1,1
95,20,0,1,0,0,0,0,0,0,3.1,3.6,22,0,0,0,0,1,0,0,0,1,1,0,0,0.0,1.0,1,0,0
96,20,0,1,0,0,1,1,1,0,2.8,3.2,24,1,0,0,0,1,1,1,1,1,1,0,1,1.0,2.0,1,0,0
97,21,0,0,1,0,1,0,1,0,3.4,3.6,27,0,0,0,0,1,0,1,0,1,1,1,1,3.0,3.0,1,1,0
98,21,0,0,1,0,1,0,0,0,2.7,3.5,29,0,1,0,1,0,0,0,1,1,1,0,0,0.0,3.0,1,1,1
99,20,0,1,0,0,0,0,1,0,3.0,3.7,24,1,0,0,1,0,0,1,0,1,1,0,0,0.0,2.0,1,0,0
100,21,0,0,1,0,1,0,1,0,2.5,2.7,25,0,0,0,1,0,0,1,0,1,1,0,0,0.5,3.0,1,0,1
101,25,0,0,1,0,1,0,0,0,2.5,3.1,23,0,0,1,0,0,0,0,0,1,1,1,0,1.0,1.0,1,0,0
102,21,0,0,1,0,0,0,1,0,2.7,3.4,22,0,0,0,1,0,1,0,0,1,1,1,1,1.0,2.0,1,1,0
103,20,0,1,0,0,1,0,1,0,3.6,3.3,24,0,0,0,0,1,0,1,0,0,1,0,1,0.0,3.0,1,1,1
104,20,0,1,0,0,0,0,1,0,2.9,3.4,23,1,0,0,0,1,0,1,0,1,1,0,1,1.0,0.5,1,1,1
105,21,0,0,1,0,0,0,1,0,2.8,3.5,26,0,0,0,0,1,1,1,1,1,1,1,0,1.0,2.0,1,1,1
106,22,0,0,1,0,1,0,0,0,3.9,3.9,26,1,0,0,1,0,0,1,0,1,1,0,0,0.0,0.5,1,0,0
107,20,0,1,0,0,1,0,1,0,2.8,3.5,22,0,0,0,1,0,0,0,0,1,1,1,1,2.0,2.0,1,0,0
108,21,0,0,1,0,0,0,1,0,3.9,4.0,26,1,0,0,0,1,1,1,0,1,1,0,1,0.0,2.0,1,1,1
109,21,0,1,0,0,1,0,1,0,3.2,2.9,28,1,0,0,1,0,1,0,1,1,1,1,1,1.0,2.5,1,1,0
110,22,0,0,1,0,1,0,1,0,3.3,3.3,24,0,0,0,1,0,0,0,1,1,1,1,0,2.0,4.0,0,1,1
111,20,0,1,0,0,1,0,1,0,3.3,3.5,24,0,0,0,1,0,0,0,0,0,1,0,1,2.0,2.0,1,0,0
112,21,0,0,1,0,0,1,1,0,3.2,3.5,23,1,0,0,0,1,0,0,0,0,1,1,1,0.0,1.0,1,1,0
113,22,0,0,0,1,1,1,0,0,3.1,3.1,16,0,1,0,0,1,1,1,0,1,1,1,1,0.0,0.0,1,1,0
114,20,0,1,0,0,1,0,1,0,3.0,3.1,21,1,0,0,0,1,0,1,1,0,1,0,0,1.0,0.5,1,0,1
115,20,0,1,0,0,1,0,1,0,3.4,3.7,30,1,0,1,0,0,0,0,1,1,1,0,0,5.0,3.0,1,0,0
116,20,0,1,0,0,1,0,1,0,3.1,3.3,23,1,0,0,1,0,0,0,1,0,1,1,1,2.0,1.0,1,1,1
117,21,0,0,1,0,0,0,1,0,3.2,3.7,23,1,0,0,0,1,1,0,0,0,1,0,1,2.0,0.0,1,0,0
118,20,0,0,1,0,1,0,1,0,3.3,3.0,23,1,0,0,0,1,0,1,0,1,1,1,0,0.0,3.0,1,1,1
119,21,0,0,1,0,0,0,0,0,3.0,3.8,22,1,0,1,0,0,0,0,0,1,1,1,0,1.0,3.0,1,1,1
120,21,0,0,1,0,0,0,1,0,2.8,3.5,22,0,0,0,1,0,0,0,1,0,1,0,0,1.0,2.0,1,1,1
121,21,0,0,1,0,1,0,0,0,2.8,3.6,25,1,0,1,0,0,0,0,1,1,1,1,0,3.0,0.0,1,0,0
122,20,0,1,0,0,1,0,1,0,2.7,3.5,27,1,0,0,1,0,0,0,0,1,1,0,0,4.0,3.0,1,0,0
123,21,0,0,1,0,0,1,0,0,2.6,3.0,19,0,1,0,0,1,1,0,0,1,0,1,1,1.0,0.0,1,0,1
124,19,0,1,0,0,1,0,1,0,2.9,3.8,23,1,0,1,0,0,0,0,0,0,1,0,1,1.0,2.0,0,1,1
125,20,0,1,0,0,0,0,1,0,3.0,3.5,26,1,0,0,0,1,0,0,0,0,1,1,0,2.0,1.0,1,0,1
126,22,0,0,0,1,0,0,1,0,3.0,3.6,22,0,0,0,1,0,1,0,1,1,0,0,1,0.0,2.0,1,1,1
127,22,0,0,1,0,0,0,0,0,2.9,3.8,24,0,1,0,0,1,0,0,0,0,1,1,1,2.0,1.0,0,0,0
128,20,0,1,0,0,0,0,1,0,3.3,3.6,26,0,1,0,0,1,0,0,0,1,1,1,1,0.0,0.0,1,0,1
129,21,0,0,1,0,0,0,1,0,2.7,3.3,23,0,0,0,0,1,0,1,0,1,1,1,1,1.0,3.0,1,0,0
130,20,0,1,0,0,1,0,1,0,3.0,3.2,21,1,0,1,0,0,0,1,0,1,1,0,1,1.0,1.0,1,1,1
131,20,0,0,1,0,1,0,1,0,2.9,3.3,22,0,0,0,1,0,1,0,1,1,1,0,0,2.0,1.0,1,1,0
132,20,0,1,0,0,1,1,1,0,3.8,3.6,26,0,0,0,1,0,0,0,0,0,1,1,1,0.0,0.0,1,1,1
133,20,0,1,0,0,1,1,1,0,2.9,3.8,30,0,0,0,0,1,0,1,0,1,1,0,1,0.0,1.0,1,1,0
134,22,0,0,1,0,1,0,1,0,3.0,3.3,22,1,0,0,1,0,0,1,0,1,1,0,1,0.0,3.0,1,1,0
135,21,0,0,1,0,1,0,1,0,3.2,3.2,19,0,0,0,0,1,0,0,1,0,1,1,0,0.0,3.0,1,0,0
136,22,0,0,0,1,0,0,1,0,3.0,3.3,23,0,1,0,0,1,1,0,0,1,1,1,1,0.0,0.0,1,0,0
137,21,0,0,1,0,1,0,1,0,2.3,3.6,25,0,1,0,0,1,0,0,0,1,1,0,0,1.0,1.0,1,0,0
138,20,0,1,0,0,0,0,1,0,2.8,3.4,21,0,1,0,1,0,0,0,0,1,1,1,0,0.0,0.3,1,0,0
139,20,0,1,0,0,1,1,1,0,3.4,3.7,26,0,0,0,0,1,0,0,1,1,1,1,1,3.0,4.0,1,0,1
140,21,0,0,1,0,1,0,0,0,2.8,3.3,28,1,0,0,1,0,0,0,0,0,1,1,1,3.0,2.0,1,1,1
