,distid,schid,lunch,enrol,staff,exppp,avgsal,avgben,math4,story4,bs,lavgsal,lenrol,lstaff
47,7020.0,2992,50.0,95.0,63.2,2567.0,28846.0,10387.0,59.1,68.2,0.3600846,10.269727,4.553877,4.146304
48,7040.0,5002,38.0,387.0,86.4,3095.0,27616.0,10336.0,45.8,66.7,0.37427577,10.2261505,5.9584246,4.4589877
49,8010.0,901,40.9,791.0,78.6,3089.0,30695.0,10201.0,67.1,66.3,0.33233425,10.331855,6.673298,4.364372
50,8030.0,77,28.1,422.0,77.0,3142.0,33256.0,11111.0,78.7,61.7,0.33410513,10.41199,6.0450053,4.3438053
51,8030.0,1606,0.0,586.0,71.2,3178.0,33850.0,11343.0,70.9,68.2,0.335096,10.429694,6.3733196,4.265493
52,8030.0,3075,31.8,200.0,84.3,3524.0,29796.0,10026.0,51.2,60.5,0.33648813,10.30213,5.2983174,4.434382
53,8030.0,3541,33.8,358.0,79.3,3155.0,31384.0,10497.0,68.1,68.1,0.3344698,10.3540535,5.880533,4.373238
54,8050.0,7253,18.7,416.0,69.5,2858.0,33755.0,10902.0,53.4,64.7,0.32297438,10.426884,6.0306854,4.241327
55,9010.0,150,32.1,412.0,50.0,2836.0,44605.0,15998.0,78.4,70.6,0.35865936,10.705602,6.0210233,3.912023
56,9010.0,804,70.6,284.0,82.0,2547.0,24615.0,8795.0,53.7,53.7,0.35730246,10.111112,5.6489744,4.406719
57,9010.0,1553,32.2,462.0,52.2,2950.0,44541.0,15978.0,80.3,73.7,0.35872567,10.704165,6.135565,3.9550824
58,9010.0,2235,55.3,440.0,59.8,3139.0,41251.0,14798.0,63.9,66.2,0.3587307,10.627431,6.086775,4.091006
59,9010.0,2309,17.1,304.0,51.0,3336.0,50979.0,18245.0,74.5,80.9,0.35789245,10.8391695,5.7170277,3.9318256
60,9010.0,3201,55.9,157.0,57.3,3162.0,42629.0,15228.0,64.3,78.6,0.3572216,10.66029,5.056246,4.0483007
61,9010.0,4361,64.6,624.0,61.4,2603.0,33909.0,12133.0,57.6,70.6,0.35781062,10.431436,6.4361506,4.1174097
62,9010.0,5463,32.4,646.0,52.5,2928.0,44057.0,15803.0,80.0,81.1,0.3586944,10.693239,6.4707994,3.9608133
63,9010.0,6966,64.3,559.0,54.7,2993.0,42845.0,15388.0,60.4,70.8,0.3591551,10.665344,6.3261495,4.001864
64,9010.0,6967,67.4,637.0,57.9,2905.0,39722.0,14257.0,55.6,52.8,0.3589195,10.589661,6.4567695,4.0587173
65,9030.0,186,44.6,368.0,79.6,2939.0,32672.0,9562.0,73.8,69.0,0.2926665,10.394274,5.908083,4.377014
66,9030.0,191,49.6,302.0,79.3,3129.0,34024.0,9129.0,76.1,69.6,0.2683106,10.434821,5.710427,4.373238
67,9030.0,192,40.7,167.0,85.6,3584.0,24425.0,16108.0,67.9,71.4,0.6594882,10.103362,5.117994,4.449685
68,9030.0,194,23.0,310.0,70.3,2908.0,33709.0,9009.0,72.5,78.4,0.267258,10.42552,5.7365723,4.252772
69,9050.0,1789,22.0,246.0,91.1,3737.0,31890.0,10527.0,78.4,86.5,0.3301035,10.370048,5.5053315,4.5119576
70,9050.0,4290,35.8,245.0,75.9,3452.0,33427.0,11032.0,77.1,72.9,0.33003262,10.417119,5.5012584,4.3294168
71,9050.0,4321,24.4,254.0,80.7,3613.0,33489.0,11089.0,71.4,71.4,0.33112365,10.418972,5.5373344,4.3907385
72,9090.0,1368,43.8,202.0,74.3,3444.0,38892.0,11727.0,70.8,79.2,0.3015273,10.568543,5.3082676,4.308111
73,9090.0,2236,29.7,239.0,66.9,3832.0,45829.0,13792.0,78.6,82.1,0.3009448,10.732673,5.4764633,4.203199
74,9090.0,2628,50.6,253.0,71.1,3498.0,37115.0,10999.0,68.4,76.3,0.2963492,10.521776,5.5333896,4.264087
75,9090.0,3041,50.6,441.0,59.0,3029.0,41152.0,12073.0,50.0,81.0,0.2933758,10.625028,6.089045,4.0775375
76,10015.0,848,49.5,392.0,64.0,2986.0,34033.0,12010.0,61.2,69.4,0.3528928,10.435086,5.971262,4.158883
77,10015.0,3067,40.7,442.0,62.0,3033.0,35002.0,12898.0,75.8,66.1,0.36849323,10.4631605,6.09131,4.1271343
78,10015.0,5591,70.3,192.0,79.7,3534.0,33349.0,10457.0,78.3,69.6,0.31356263,10.4147835,5.2574954,4.3782697
79,10025.0,1298,38.1,317.0,77.9,4055.0,38028.0,14977.0,63.4,70.7,0.3938414,10.546078,5.7589016,4.355426
80,11010.0,202,97.7,169.0,71.0,3518.0,33880.0,12150.0,52.9,41.2,0.35861865,10.43058,5.1298985,4.26268
81,11010.0,373,61.6,253.0,84.3,3225.0,26164.0,9383.0,63.3,73.3,0.35862252,10.17214,5.5333896,4.434382
82,11010.0,500,93.6,381.0,82.7,3906.0,34341.0,12273.0,7.9,26.3,0.3573862,10.444096,5.9427996,4.41522
83,11010.0,1181,93.9,337.0,57.9,3333.0,41383.0,14831.0,84.6,79.5,0.35838386,10.630626,5.820083,4.0587173
84,11010.0,1182,96.2,183.0,91.1,3344.0,28995.0,10378.0,36.4,40.9,0.35792378,10.2748785,5.209486,4.5119576
85,11010.0,1183,81.5,124.0,88.7,3785.0,29186.0,10467.0,85.2,88.9,0.35863084,10.281445,4.8202815,4.48526
86,11010.0,1184,92.5,293.0,62.6,3339.0,41451.0,14840.0,33.3,36.1,0.35801306,10.632267,5.6801724,4.1367655
87,11010.0,1629,93.6,477.0,58.7,3336.0,44392.0,15855.0,37.1,40.0,0.35715896,10.700814,6.1675167,4.0724397
88,11010.0,1792,95.6,599.0,69.6,3409.0,37250.0,13339.0,41.7,55.0,0.35809395,10.525407,6.395262,4.2427645
89,11010.0,2068,64.7,156.0,67.3,3782.0,38433.0,13784.0,60.0,80.0,0.35865012,10.556672,5.049856,4.2091603
90,11010.0,2405,95.3,196.0,68.9,3234.0,36915.0,13214.0,76.5,64.7,0.35795748,10.516374,5.278115,4.232656
91,11010.0,3502,90.2,314.0,78.0,3318.0,32259.0,11553.0,73.5,49.0,0.3581326,10.381553,5.749393,4.356709
92,11010.0,4070,99.0,507.0,64.4,3419.0,39645.0,14185.0,55.9,58.8,0.35780048,10.58772,6.228511,4.1651134
93,11020.0,422,7.1,294.0,79.2,3540.0,35056.0,11917.0,69.2,98.1,0.3399418,10.464702,5.68358,4.3719764
94,11020.0,992,2.7,384.0,68.4,3260.0,36899.0,12521.0,74.4,84.1,0.3393317,10.51594,5.9506426,4.225373
95,11020.0,2211,21.3,375.0,66.1,3146.0,37026.0,12568.0,82.4,92.6,0.33943716,10.519376,5.926926,4.191169
96,11030.0,1700,20.2,455.0,63.7,2660.0,33016.0,10600.0,62.9,75.7,0.32105646,10.404748,6.1202974,4.1541843
97,11030.0,2098,11.5,487.0,64.8,2463.0,29662.0,9391.0,76.8,82.9,0.31660035,10.297622,6.188264,4.1713057
98,11030.0,2099,17.2,449.0,63.6,2580.0,31038.0,9910.0,73.0,86.5,0.31928605,10.342968,6.107023,4.1526136
99,11033.0,670,15.8,273.0,74.0,3291.0,35730.0,12418.0,93.8,78.1,0.34755108,10.483746,5.609472,4.304065
100,11033.0,4180,32.2,260.0,84.2,3450.0,34005.0,11949.0,66.7,78.8,0.3513895,10.434263,5.560682,4.433195
101,11033.0,6685,34.8,179.0,114.5,4673.0,31705.0,11311.0,76.9,92.3,0.3567576,10.364229,5.187386,4.740575
102,11160.0,1354,27.1,298.0,83.6,2716.0,25053.0,8600.0,40.0,62.5,0.34327227,10.128749,5.6970935,4.4260435
103,11200.0,2678,39.4,299.0,111.2,4496.0,32498.0,11537.0,83.3,81.0,0.35500646,10.388934,5.7004437,4.7113304
104,11210.0,386,30.1,861.0,58.2,2818.0,40518.0,13570.0,74.0,77.9,0.33491287,10.609502,6.7580943,4.063885
105,11240.0,299,55.2,366.0,132.7,3178.0,23815.0,8089.0,75.8,85.7,0.33965987,10.078071,5.902633,4.888091
106,11250.0,2288,65.1,444.0,70.9,3683.0,38529.0,13366.0,59.6,63.8,0.34690753,10.559167,6.0958247,4.2612705
107,11300.0,184,48.3,792.0,51.8,2419.0,37750.0,13472.0,84.3,75.3,0.35687417,10.538741,6.6745615,3.94739
108,11300.0,1056,50.1,392.0,65.8,2848.0,37751.0,13488.0,63.3,61.2,0.35728854,10.538767,5.971262,4.1866198
109,11300.0,1771,44.6,512.0,68.8,2842.0,37222.0,13341.0,62.1,69.5,0.35841706,10.524655,6.2383246,4.2312036
110,11300.0,2796,61.5,314.0,63.7,2859.0,36611.0,13002.0,82.1,84.6,0.35513917,10.508104,5.749393,4.1541843
111,11310.0,1528,31.9,218.0,75.6,3098.0,33765.0,11014.0,45.5,65.9,0.32619578,10.42718,5.3844953,4.325456
112,11310.0,2583,42.3,326.0,88.8,3319.0,29855.0,11860.0,78.0,73.2,0.3972534,10.304108,5.786897,4.486387
113,11310.0,5325,25.5,282.0,71.5,2707.0,30803.0,10922.0,86.0,83.7,0.35457584,10.335367,5.641907,4.2696977
114,11320.0,2722,53.4,383.0,60.7,2627.0,36371.0,10310.0,70.6,76.5,0.2834676,10.501527,5.948035,4.1059437
115,11330.0,752,73.2,479.0,86.3,2788.0,27253.0,9184.0,75.3,75.3,0.33699042,10.212919,6.1717005,4.4578295
116,11330.0,4390,57.4,452.0,82.6,2842.0,26136.0,9266.0,64.3,72.9,0.35453016,10.171069,6.1136823,4.4140096
117,11340.0,400,22.0,368.0,98.9,3788.0,30728.0,10856.0,60.8,63.5,0.35329342,10.33293,5.908083,4.594109
118,11670.0,3217,0.0,60.0,83.3,3612.0,28967.0,9063.0,66.7,83.3,0.31287327,10.273912,4.0943446,4.4224486
119,11830.0,5841,0.0,73.0,82.2,3049.0,26681.0,5835.0,100.0,100.0,0.21869496,10.191707,4.2904596,4.4091554
120,12010.0,1080,26.3,364.0,74.9,3072.0,31205.0,10746.0,64.3,69.0,0.3443679,10.348333,5.897154,4.316154
121,12010.0,1406,14.7,143.0,93.5,4114.0,31861.0,10162.0,36.4,63.6,0.31894794,10.369138,4.962845,4.5379615
122,12010.0,1897,24.2,286.0,77.8,3265.0,32365.0,10962.0,64.1,66.7,0.33869922,10.384833,5.655992,4.354141
123,12010.0,2091,22.0,441.0,63.5,2966.0,33451.0,11073.0,53.7,62.7,0.3310215,10.417837,6.089045,4.15104
124,12010.0,2192,38.8,399.0,71.0,3533.0,35598.0,11764.0,74.1,70.7,0.330468,10.480044,5.988961,4.26268
125,12010.0,4385,28.1,186.0,82.7,3449.0,29839.0,9720.0,54.1,73.0,0.32574818,10.303572,5.2257466,4.41522
126,12020.0,3305,45.8,252.0,70.6,2885.0,29717.0,9519.0,44.6,57.0,0.3203217,10.299475,5.529429,4.25703
127,12040.0,1921,38.2,756.0,64.8,2919.0,33292.0,10300.0,56.9,65.1,0.30938363,10.413073,6.6280413,4.1713057
128,13010.0,1581,81.4,443.0,70.7,3346.0,34066.0,11981.0,54.2,66.1,0.35169965,10.436055,6.0935698,4.2584457
129,13010.0,2724,73.7,245.0,85.0,3781.0,35973.0,15221.0,38.2,44.1,0.42312288,10.490524,5.5012584,4.4426513
130,13010.0,3690,76.4,217.0,86.8,3740.0,33307.0,11650.0,57.1,57.1,0.34977633,10.413523,5.379897,4.463607
131,13010.0,7821,42.5,197.0,77.0,3273.0,32870.0,11152.0,70.4,70.4,0.33927593,10.400315,5.2832036,4.3438053
132,13020.0,104,86.0,299.0,171.4,4473.0,34155.0,11846.0,11.1,33.3,0.34683064,10.438664,5.7004437,5.144
133,13020.0,738,63.2,299.0,70.4,3997.0,48053.0,16683.0,37.1,65.7,0.34717914,10.78006,5.7004437,4.2541933
134,13020.0,965,53.2,322.0,76.6,3508.0,38967.0,13530.0,27.9,53.5,0.34721687,10.570471,5.7745514,4.338597
135,13020.0,1306,89.4,310.0,75.8,3845.0,40787.0,14162.0,48.5,63.6,0.34721848,10.616118,5.7365723,4.3280983
136,13020.0,1326,45.6,291.0,74.7,3879.0,39487.0,13715.0,62.5,66.7,0.3473295,10.583727,5.673323,4.31348
137,13020.0,2122,56.0,303.0,77.4,3702.0,40608.0,14100.0,69.2,66.7,0.3472222,10.61172,5.7137327,4.3489866
138,13020.0,2169,50.6,187.0,95.5,4181.0,37182.0,12925.0,72.2,88.9,0.34761444,10.52358,5.2311087,4.5591264
139,13020.0,2221,86.8,215.0,105.3,4044.0,36711.0,12752.0,11.5,30.8,0.34736183,10.510832,5.370638,4.6568136
140,13020.0,2483,78.9,256.0,78.1,4106.0,41695.0,14483.0,51.7,65.5,0.3473558,10.638137,5.5451775,4.3579903
141,13020.0,3105,80.8,430.0,68.6,3575.0,41729.0,14481.0,66.7,58.3,0.34702486,10.638951,6.063785,4.2282925
142,13020.0,3279,82.0,203.0,82.8,4137.0,38755.0,13473.0,25.0,40.0,0.34764546,10.565015,5.313206,4.416428
143,13020.0,3570,42.5,412.0,92.1,3832.0,36573.0,12688.0,45.7,45.7,0.3469226,10.507066,6.0210233,4.522875
144,13020.0,4266,60.5,438.0,69.3,3576.0,41182.0,14291.0,54.7,52.8,0.34702054,10.625756,6.082219,4.238445
145,13020.0,4294,46.6,479.0,62.2,3252.0,39987.0,13878.0,36.9,58.5,0.3470628,10.59631,6.1717005,4.130355
146,13020.0,4382,68.0,255.0,72.4,3567.0,40837.0,14187.0,8.8,29.4,0.34740555,10.617344,5.5412636,4.2822065
147,13020.0,4556,80.1,277.0,82.9,4035.0,40572.0,14089.0,50.0,50.0,0.3472592,10.610833,5.6240177,4.417635
148,13050.0,1027,38.9,346.0,73.7,3209.0,32654.0,11105.0,59.2,61.8,0.34008086,10.393723,5.846439,4.3000026
149,13070.0,234,33.6,475.0,66.0,3074.0,37207.0,12283.0,67.7,71.0,0.33012605,10.524252,6.163315,4.189655
150,13070.0,3499,25.1,411.0,79.1,2989.0,29888.0,10771.0,74.5,76.5,0.36037874,10.305212,6.0185933,4.3707128
151,13070.0,4400,19.6,484.0,53.9,2950.0,43973.0,14471.0,89.8,76.3,0.3290883,10.691331,6.182085,3.9871304
152,13080.0,2179,37.9,394.0,76.5,3571.0,35267.0,10498.0,77.4,81.0,0.29767203,10.470703,5.976351,4.337291
153,13090.0,2578,12.1,409.0,63.6,3116.0,41341.0,13358.0,64.3,71.4,0.3231175,10.62961,6.0137153,4.1526136
154,13090.0,3117,37.8,411.0,64.5,3133.0,40885.0,13459.0,64.4,75.6,0.32919163,10.618519,6.0185933,4.166665
155,13090.0,3215,10.2,391.0,52.4,3075.0,42379.0,14398.0,59.3,66.7,0.33974373,10.654408,5.9687076,3.9589067
156,13090.0,4483,13.4,396.0,53.0,3248.0,43801.0,15309.0,69.0,69.0,0.34951258,10.687412,5.9814143,3.9702919
157,13095.0,2366,31.0,220.0,75.0,3746.0,37631.0,12514.0,45.8,75.0,0.33254498,10.5355835,5.3936276,4.317488
158,13110.0,7302,0.0,378.0,58.2,3118.0,42902.0,13790.0,77.2,84.4,0.32143024,10.666674,5.934894,4.063885
159,13120.0,2996,21.1,262.0,87.4,3761.0,32089.0,11421.0,59.7,66.4,0.35591635,10.376268,5.5683446,4.470495
160,13130.0,3010,48.2,168.0,60.1,4290.0,55346.0,18650.0,86.2,82.8,0.33697104,10.92136,5.123964,4.0960097
161,13135.0,4248,39.0,422.0,113.5,3446.0,22705.0,7167.0,68.3,56.1,0.31565735,10.03034,6.0450053,4.731803
162,13135.0,6888,59.1,88.0,122.7,3640.0,22602.0,7041.0,52.4,57.1,0.3115211,10.025794,4.477337,4.8097425
163,14010.0,1296,66.0,471.0,86.7,2820.0,26664.0,9440.0,48.8,61.3,0.3540354,10.19107,6.154858,4.462454
164,14020.0,1983,56.1,241.0,90.5,3579.0,32796.0,10768.0,66.0,76.0,0.32833272,10.398062,5.484797,4.5053496
165,14020.0,2464,67.4,226.0,91.2,3225.0,30755.0,9774.0,40.0,47.5,0.31780198,10.333808,5.420535,4.513055
166,14020.0,3484,54.5,348.0,92.8,3169.0,28255.0,8937.0,77.3,77.3,0.316298,10.249025,5.8522024,4.5304465
167,14020.0,5140,35.5,293.0,76.5,3011.0,30514.0,9967.0,53.8,63.5,0.32663694,10.325941,5.6801724,4.337291
168,14020.0,7257,39.1,209.0,72.7,3029.0,30180.0,10000.0,79.2,75.0,0.33134526,10.314935,5.3423343,4.286341
169,14030.0,995,28.1,447.0,58.2,2146.0,29232.0,9666.0,53.1,54.9,0.33066502,10.283019,6.1025586,4.063885
170,14050.0,2369,35.1,469.0,75.1,2593.0,25616.0,8900.0,67.9,78.6,0.3474391,10.150972,6.150603,4.3188205
171,15010.0,241,0.0,83.0,130.1,6891.0,39688.0,13523.0,45.5,63.6,0.34073272,10.588804,4.4188404,4.8683033
172,15020.0,595,31.7,541.0,67.6,3428.0,42236.0,13043.0,73.2,84.5,0.30881238,10.651029,6.2934194,4.213608
173,15030.0,372,41.8,333.0,70.6,4428.0,40816.0,15459.0,39.1,60.9,0.37874854,10.61683,5.8081427,4.25703
174,15050.0,5796,26.0,623.0,72.9,3606.0,36138.0,13382.0,61.1,71.6,0.37030274,10.4951,6.4345465,4.2890887
175,15060.0,1015,40.6,589.0,75.8,2812.0,27469.0,9316.0,46.4,64.9,0.33914596,10.220814,6.378426,4.3280983
176,16015.0,342,44.0,265.0,81.1,3023.0,28211.0,10656.0,39.0,63.4,0.377725,10.247467,5.57973,4.395683
177,16015.0,1007,54.0,345.0,77.7,2769.0,28301.0,10521.0,52.0,68.0,0.37175366,10.250652,5.8435445,4.352855
178,16015.0,1847,68.3,282.0,96.8,2435.0,22007.0,8028.0,64.0,68.0,0.36479303,9.999116,5.641907,4.572647
179,16015.0,4445,68.8,341.0,76.2,2772.0,28071.0,10723.0,48.1,61.5,0.38199565,10.242493,5.8318825,4.3333616
180,16050.0,1841,46.1,475.0,71.2,2553.0,26195.0,9945.0,36.0,62.7,0.37965262,10.173324,6.163315,4.265493
181,16100.0,4577,67.3,305.0,73.8,3179.0,29294.0,12262.0,71.4,61.9,0.41858402,10.285138,5.7203116,4.3013587
182,17010.0,428,43.2,176.0,80.5,3379.0,34399.0,12152.0,67.9,67.9,0.3532661,10.445783,5.170484,4.388257
183,17010.0,1913,48.2,168.0,87.3,3167.0,28748.0,10336.0,25.0,50.0,0.35953805,10.266323,5.123964,4.4693503
184,17010.0,2214,42.0,559.0,68.2,2711.0,33304.0,11823.0,53.1,71.9,0.3550024,10.413433,6.3261495,4.2224445
185,17010.0,2487,35.1,268.0,66.4,2917.0,34196.0,11822.0,73.5,79.6,0.34571296,10.439864,5.590987,4.1956973
186,17010.0,3501,32.5,276.0,84.3,2958.0,31164.0,11021.0,46.9,65.3,0.35364524,10.347019,5.620401,4.434382
187,17010.0,4379,45.1,327.0,71.7,2882.0,33023.0,11706.0,32.6,74.4,0.3544802,10.40496,5.7899604,4.2724905
188,17050.0,934,35.7,84.0,108.0,4898.0,36426.0,11667.0,90.9,81.8,0.3202932,10.503038,4.4308167,4.6821313
189,17050.0,5065,57.6,59.0,92.0,4680.0,35285.0,12305.0,40.0,60.0,0.34873176,10.471213,4.0775375,4.5217886
190,17090.0,3025,27.3,200.0,113.8,2743.0,17222.0,6430.0,40.7,63.0,0.37335965,9.7539425,5.2983174,4.7344427
191,17110.0,5517,43.7,265.0,83.2,3452.0,30778.0,9737.0,40.5,69.0,0.31636235,10.334556,5.57973,4.4212475
192,17110.0,7363,55.1,326.0,76.7,2914.0,27475.0,9157.0,63.6,65.9,0.3332848,10.221032,5.786897,4.3399014
193,17140.0,404,41.3,582.0,87.1,3615.0,31674.0,12888.0,52.6,63.2,0.40689525,10.363252,6.3664703,4.4670568
194,17160.0,4506,40.0,74.0,128.4,5357.0,27671.0,11298.0,77.8,66.7,0.4082975,10.22814,4.304065,4.85515
195,18010.0,696,44.9,577.0,88.9,3183.0,27366.0,9769.0,54.2,66.7,0.35697582,10.217056,6.3578424,4.487512
196,18020.0,1209,60.5,664.0,88.4,2693.0,24090.0,7979.0,42.3,76.2,0.33121628,10.089552,6.498282,4.481872
197,18060.0,477,79.7,336.0,73.5,2535.0,26078.0,9937.0,24.4,35.6,0.38104916,10.168847,5.817111,4.2972856
198,18060.0,1585,65.1,459.0,66.7,2723.0,31457.0,11250.0,42.0,68.1,0.35763106,10.356377,6.1290503,4.200205
199,18060.0,6392,63.4,369.0,71.0,2897.0,30238.0,11389.0,47.1,51.5,0.37664527,10.3168545,5.9107966,4.26268
200,19010.0,3424,6.4,363.0,75.3,2987.0,33895.0,10464.0,76.6,89.2,0.3087181,10.431023,5.894403,4.3214803
201,19070.0,1283,11.7,408.0,59.4,2589.0,32441.0,11307.0,37.5,62.5,0.34854043,10.387178,6.011267,4.0842943
202,19100.0,219,23.5,490.0,73.7,3029.0,30007.0,11982.0,71.1,75.9,0.39930683,10.309186,6.1944056,4.3000026
203,19120.0,985,32.2,359.0,58.6,3107.0,39924.0,16122.0,73.3,82.2,0.40381727,10.594733,5.8833222,4.0707345
204,19120.0,5073,37.3,245.0,72.7,3019.0,32522.0,13117.0,66.7,76.0,0.403327,10.389672,5.5012584,4.286341
205,19125.0,3019,22.4,170.0,106.5,3951.0,29026.0,8957.0,71.4,71.4,0.3085854,10.275948,5.1357985,4.668145
206,19140.0,1010,25.2,139.0,92.1,3335.0,34769.0,10816.0,55.0,65.0,0.3110817,10.456482,4.934474,4.522875
