,educ,cigpric,white,age,income,cigs,restaurn,lincome,agesq,lcigpric
73,13.5,61.629,1,37,20000,60,1,9.903487,1369,4.1211324
74,12.0,61.744,0,40,30000,20,1,10.308952,1600,4.122997
75,6.0,61.437,1,47,20000,3,1,9.903487,2209,4.1180124
76,10.0,61.936,1,78,2500,0,1,7.824046,6084,4.1261015
77,18.0,61.744,1,38,30000,0,1,10.308952,1444,4.122997
78,13.5,62.489,1,25,30000,0,1,10.308952,625,4.1349907
79,12.0,61.322,1,67,8500,0,1,9.047821,4489,4.1161385
80,13.5,60.9,1,50,30000,12,1,10.308952,2500,4.1092334
81,13.5,61.552,1,47,30000,0,1,10.308952,2209,4.119882
82,8.0,62.489,1,76,6500,0,1,8.779557,5776,4.1349907
83,8.0,60.785,1,28,30000,0,1,10.308952,784,4.107343
84,12.0,61.514,0,32,20000,0,1,9.903487,1024,4.1192646
85,12.0,61.897,0,28,20000,0,1,9.903487,784,4.1254716
86,12.0,61.168,1,53,30000,20,1,10.308952,2809,4.113624
87,12.0,60.823,1,57,20000,0,1,9.903487,3249,4.107968
88,18.0,61.59,1,42,30000,0,1,10.308952,1764,4.1204996
89,15.0,61.092,1,49,12500,0,1,9.433484,2401,4.112381
90,18.0,61.782,1,31,20000,25,1,9.903487,961,4.123612
91,12.0,61.437,1,20,8500,0,1,9.047821,400,4.1180124
92,18.0,61.897,1,45,20000,40,1,9.903487,2025,4.1254716
93,18.0,60.555,0,63,30000,0,1,10.308952,3969,4.103552
94,15.0,61.705,1,61,30000,0,1,10.308952,3721,4.122365
95,13.5,61.859,0,35,12500,30,1,9.433484,1225,4.1248574
96,6.0,61.705,1,59,12500,0,1,9.433484,3481,4.122365
97,10.0,62.654,0,17,8500,0,1,9.047821,289,4.1376276
98,18.0,62.736,1,38,30000,0,1,10.308952,1444,4.1389356
99,13.5,61.245,1,41,30000,0,1,10.308952,1681,4.114882
100,12.0,61.897,1,35,30000,0,1,10.308952,1225,4.1254716
101,12.0,61.59,0,40,30000,0,1,10.308952,1600,4.1204996
102,13.5,62.571,1,37,30000,0,1,10.308952,1369,4.136302
103,12.0,62.406,0,27,5500,13,1,8.612503,729,4.1336613
104,12.0,60.862,1,48,20000,0,1,9.903487,2304,4.108609
105,12.0,62.089,0,18,30000,0,1,10.308952,324,4.1285686
106,12.0,60.862,0,43,20000,0,1,9.903487,1849,4.108609
107,10.0,62.012,1,20,3500,0,1,8.160519,400,4.127328
108,8.0,60.823,1,19,12500,1,1,9.433484,361,4.107968
109,13.5,60.708,1,22,12500,0,1,9.433484,484,4.1060753
110,16.0,60.708,1,60,20000,0,1,9.903487,3600,4.1060753
111,13.5,61.744,1,47,30000,0,1,10.308952,2209,4.122997
112,10.0,61.629,0,77,20000,0,1,9.903487,5929,4.1211324
113,13.5,61.36,1,26,20000,0,1,9.903487,676,4.1167583
114,12.0,62.654,0,37,20000,20,1,9.903487,1369,4.1376276
115,13.5,62.159,0,40,30000,15,1,10.308952,1600,4.1296954
116,6.0,61.284,0,44,8500,0,1,9.047821,1936,4.1155186
117,6.0,62.012,1,65,2500,0,1,7.824046,4225,4.127328
118,16.0,60.9,1,26,30000,0,1,10.308952,676,4.1092334
119,8.0,60.862,0,77,20000,0,1,9.903487,5929,4.108609
120,12.0,61.207,0,73,12500,0,1,9.433484,5329,4.1142616
121,10.0,60.938,1,64,30000,0,1,10.308952,4096,4.109857
122,13.5,61.629,1,28,30000,0,1,10.308952,784,4.1211324
123,13.5,60.862,1,26,30000,20,1,10.308952,676,4.108609
124,10.0,61.092,1,64,20000,20,1,9.903487,4096,4.112381
125,12.0,61.667,1,29,6500,0,1,8.779557,841,4.121749
126,12.0,61.974,1,55,20000,40,1,9.903487,3025,4.1267147
127,12.0,62.736,1,54,30000,0,1,10.308952,2916,4.1389356
128,15.0,61.207,1,42,20000,10,1,9.903487,1764,4.1142616
129,13.5,62.736,0,70,12500,0,1,9.433484,4900,4.1389356
130,16.0,61.284,1,71,20000,0,1,9.903487,5041,4.1155186
131,12.0,61.744,1,24,30000,0,1,10.308952,576,4.122997
132,10.0,61.859,1,38,20000,20,1,9.903487,1444,4.1248574
133,15.0,61.936,1,73,6500,0,1,8.779557,5329,4.1261015
134,18.0,60.823,1,29,30000,0,1,10.308952,841,4.107968
135,13.5,60.555,1,24,20000,0,1,9.903487,576,4.103552
136,12.0,61.437,1,25,8500,0,1,9.047821,625,4.1180124
137,15.0,62.089,1,22,20000,0,1,9.903487,484,4.1285686
138,12.0,61.475,1,36,12500,5,1,9.433484,1296,4.1186304
139,12.0,53.624,1,28,20000,0,0,9.903487,784,3.9819968
140,13.5,53.313,1,27,6500,40,0,8.779557,729,3.9761803
141,13.5,55.185,1,28,4500,8,0,8.411833,784,4.010691
142,12.0,53.382,1,53,20000,0,0,9.903487,2809,3.9774735
143,13.5,54.984,1,23,30000,15,0,10.308952,529,4.0070424
144,12.0,53.969,1,19,12500,15,0,9.433484,361,3.9884098
145,15.0,54.314,0,25,20000,0,0,9.903487,625,3.994782
146,13.5,54.648,0,34,12500,20,0,9.433484,1156,4.0009127
147,13.5,54.141,1,20,30000,0,0,10.308952,400,3.9915917
148,10.0,54.314,1,17,20000,0,0,9.903487,289,3.994782
149,16.0,66.587,1,51,30000,20,1,10.308952,2601,4.198509
150,12.0,65.29,1,44,30000,30,1,10.308952,1936,4.1788387
151,12.0,65.29,1,29,20000,60,1,9.903487,841,4.1788387
152,8.0,66.088,1,65,30000,0,1,10.308952,4225,4.190987
153,12.0,65.29,1,53,30000,0,1,10.308952,2809,4.1788387
154,8.0,67.933,0,46,20000,0,1,9.903487,2116,4.218522
155,18.0,65.29,1,51,30000,0,1,10.308952,2601,4.1788387
156,18.0,65.54,1,66,30000,0,1,10.308952,4356,4.1826606
157,8.0,64.991,0,42,20000,0,1,9.903487,1764,4.1742487
158,16.0,65.141,1,32,8500,40,1,9.047821,1024,4.176554
159,13.5,66.437,1,53,30000,25,1,10.308952,2809,4.1962543
160,8.0,66.038,1,70,30000,0,1,10.308952,4900,4.1902304
161,10.0,65.889,1,30,20000,30,1,9.903487,900,4.1879716
162,18.0,65.889,1,42,30000,0,1,10.308952,1764,4.1879716
163,12.0,66.537,1,69,30000,0,1,10.308952,4761,4.197758
164,10.0,66.437,1,18,5500,0,1,8.612503,324,4.1962543
165,12.0,68.184,1,22,12500,10,1,9.433484,484,4.22221
166,6.0,66.687,0,38,20000,40,1,9.903487,1444,4.20001
167,10.0,66.437,1,52,20000,20,1,9.903487,2704,4.1962543
168,10.0,65.141,0,17,30000,0,1,10.308952,289,4.176554
169,12.0,65.041,1,46,20000,0,1,9.903487,2116,4.175018
170,16.0,66.587,1,46,30000,0,1,10.308952,2116,4.198509
171,12.0,66.038,0,35,30000,0,1,10.308952,1225,4.1902304
172,12.0,66.338,1,22,30000,16,1,10.308952,484,4.1947627
173,12.0,61.546,1,54,20000,20,0,9.903487,2916,4.119785
174,12.0,61.184,1,58,12500,40,0,9.433484,3364,4.113886
175,10.0,62.012,1,27,12500,15,0,9.433484,729,4.127328
176,18.0,61.184,1,47,20000,40,0,9.903487,2209,4.113886
177,16.0,62.012,1,53,30000,40,0,10.308952,2809,4.127328
178,12.0,65.082,1,29,8500,10,0,9.047821,841,4.175648
179,13.5,67.82,1,29,8500,0,0,9.047821,841,4.216857
180,13.5,68.2,1,47,30000,0,0,10.308952,2209,4.2224445
181,8.0,69.402,0,67,30000,10,0,10.308952,4489,4.239916
182,18.0,69.402,0,31,30000,0,0,10.308952,961,4.239916
183,12.0,67.124,1,27,8500,0,0,9.047821,729,4.2065415
184,12.0,68.263,1,34,3500,0,0,8.160519,1156,4.2233677
185,10.0,68.516,1,25,20000,0,0,9.903487,625,4.2270675
186,12.0,67.82,1,46,20000,30,0,9.903487,2116,4.216857
187,16.0,67.82,0,50,12500,50,0,9.433484,2500,4.216857
188,6.0,67.757,1,69,8500,0,0,9.047821,4761,4.2159276
189,13.5,67.82,1,32,12500,0,0,9.433484,1024,4.216857
190,12.0,67.693,1,64,8500,0,0,9.047821,4096,4.214983
191,15.0,67.947,1,30,20000,0,0,9.903487,900,4.218728
192,8.0,68.073,1,78,12500,0,0,9.433484,6084,4.2205806
193,13.5,69.149,1,46,12500,0,0,9.433484,2116,4.2362638
194,13.5,69.529,1,49,30000,60,0,10.308952,2401,4.241744
195,12.0,70.014,1,30,12500,0,0,9.433484,900,4.2486954
196,10.0,68.833,0,23,2500,20,0,7.824046,529,4.2316833
197,12.0,69.402,1,27,20000,15,0,9.903487,729,4.239916
198,18.0,68.39,1,28,30000,20,0,10.308952,784,4.2252264
199,10.0,69.592,1,26,5500,30,0,8.612503,676,4.2426496
200,6.0,67.693,1,44,12500,0,0,9.433484,1936,4.214983
201,13.5,69.402,1,54,30000,30,0,10.308952,2916,4.239916
202,12.0,69.841,1,54,8500,0,0,9.047821,2916,4.246221
203,12.0,69.899,1,66,6500,13,0,8.779557,4356,4.2470512
204,18.0,67.883,1,49,30000,0,0,10.308952,2401,4.217786
205,16.0,67.44,0,77,6500,0,0,8.779557,5929,4.2112384
206,12.0,68.896,1,74,12500,0,0,9.433484,5476,4.2325983
207,18.0,69.465,0,69,30000,0,0,10.308952,4761,4.240823
208,13.5,68.643,1,78,30000,0,0,10.308952,6084,4.228919
209,13.5,68.39,1,57,30000,20,0,10.308952,3249,4.2252264
210,8.0,70.129,1,53,8500,0,0,9.047821,2809,4.250336
211,16.0,67.314,1,88,30000,0,0,10.308952,7744,4.209368
212,12.0,67.187,1,79,20000,0,0,9.903487,6241,4.20748
213,12.0,57.473,1,21,8500,0,0,9.047821,441,4.0513153
214,18.0,58.094,1,30,8500,0,0,9.047821,900,4.0620623
215,18.0,57.473,1,39,30000,0,0,10.308952,1521,4.0513153
216,15.0,59.852,1,25,500,9,0,6.214608,625,4.091875
217,10.0,59.13,1,58,20000,0,0,9.903487,3364,4.0797386
218,13.5,59.13,1,23,30000,15,0,10.308952,529,4.0797386
219,16.0,59.233,1,30,20000,28,0,9.903487,900,4.081479
220,10.0,57.939,1,31,8500,40,0,9.047821,961,4.0593905
221,16.0,57.473,1,31,20000,0,0,9.903487,961,4.0513153
222,16.0,58.094,1,50,20000,0,0,9.903487,2500,4.0620623
223,8.0,58.508,1,20,12500,0,0,9.433484,400,4.0691633
224,13.5,57.11,0,24,12500,0,0,9.433484,576,4.044979
225,12.0,61.988,1,33,20000,0,0,9.903487,1089,4.1269407
226,16.0,63.556,1,39,30000,0,0,10.308952,1521,4.1519213
227,13.5,57.466,0,19,30000,0,0,10.308952,361,4.051193
228,12.0,59.43,1,31,20000,20,0,9.903487,961,4.0847993
229,13.5,60.042,1,40,30000,50,0,10.308952,1600,4.095044
230,16.0,59.492,1,39,12500,0,0,9.433484,1521,4.0858417
231,15.0,59.676,1,23,5500,7,0,8.612503,529,4.08893
232,8.0,58.632,0,71,8500,0,0,9.047821,5041,4.0712805
233,6.0,58.08,1,54,6500,0,0,8.779557,2916,4.0618215
234,10.0,58.51,0,33,12500,20,0,9.433484,1089,4.0691977
235,18.0,60.221,1,30,30000,0,0,10.308952,900,4.098021
236,12.0,57.835,1,31,8500,20,0,9.047821,961,4.0575943
237,18.0,60.518,1,46,30000,0,0,10.308952,2116,4.102941
238,12.0,59.921,1,75,20000,0,0,9.903487,5625,4.093027
239,8.0,58.264,1,40,30000,20,0,10.308952,1600,4.0649843
240,12.0,59.43,1,66,12500,0,0,9.433484,4356,4.0847993
241,18.0,59.492,1,45,30000,40,0,10.308952,2025,4.0858417
242,8.0,59.246,1,73,8500,0,0,9.047821,5329,4.0816984
243,12.0,57.712,1,31,20000,30,0,9.903487,961,4.055465
244,13.5,58.264,1,27,30000,0,0,10.308952,729,4.0649843
245,10.0,58.632,0,50,20000,0,0,9.903487,2500,4.0712805
246,12.0,57.712,1,45,30000,0,0,10.308952,2025,4.055465
247,12.0,58.264,0,22,30000,30,0,10.308952,484,4.0649843
248,13.5,59.246,0,44,30000,0,0,10.308952,1936,4.0816984
249,10.0,58.51,1,51,30000,5,0,10.308952,2601,4.0691977
250,6.0,58.816,1,59,3500,0,0,8.160519,3481,4.074414
251,10.0,58.448,1,59,20000,0,0,9.903487,3481,4.0681376
252,12.0,57.65,1,66,8500,0,0,9.047821,4356,4.0543904
253,13.5,59.246,1,35,30000,3,0,10.308952,1225,4.0816984
254,10.0,57.65,0,17,20000,15,0,9.903487,289,4.0543904
255,12.0,59.553,1,35,20000,0,0,9.903487,1225,4.086867
256,16.0,59.614,1,30,30000,0,0,10.308952,900,4.0878906
257,12.0,59.43,1,23,30000,0,0,10.308952,529,4.0847993
258,8.0,58.141,1,60,8500,0,0,9.047821,3600,4.062871
259,18.0,59.246,1,27,20000,0,0,9.903487,729,4.0816984
260,16.0,57.65,1,37,20000,0,0,9.903487,1369,4.0543904
261,15.0,57.957,0,42,20000,0,0,9.903487,1764,4.0597014
262,8.0,59.921,1,87,3500,0,0,8.160519,7569,4.093027
263,13.5,59.614,1,26,20000,20,0,9.903487,676,4.0878906
264,12.0,57.405,1,20,12500,15,0,9.433484,400,4.0501313
265,10.0,58.878,1,65,12500,0,0,9.433484,4225,4.0754676
266,12.0,59.614,1,35,30000,20,0,10.308952,1225,4.0878906
267,18.0,59.001,0,38,30000,0,0,10.308952,1444,4.077554
268,10.0,59.185,1,64,20000,20,0,9.903487,4096,4.080668
269,10.0,58.264,1,62,8500,0,0,9.047821,3844,4.0649843
270,12.0,58.694,1,47,20000,1,0,9.903487,2209,4.0723376
271,10.0,58.08,1,52,30000,20,0,10.308952,2704,4.0618215
272,13.5,58.571,0,32,12500,0,0,9.433484,1024,4.0702395
273,16.0,58.448,1,26,20000,15,0,9.903487,676,4.0681376
274,18.0,59.553,1,35,20000,0,0,9.903487,1225,4.086867
275,16.0,57.712,1,35,30000,0,0,10.308952,1225,4.055465
276,10.0,59.062,1,24,12500,0,0,9.433484,576,4.0785875
277,8.0,59.43,1,77,20000,1,0,9.903487,5929,4.0847993
278,13.5,58.141,1,24,4500,20,0,8.411833,576,4.062871
279,8.0,53.325,1,63,20000,20,0,9.903487,3969,3.9764054
280,18.0,53.049,0,58,20000,0,0,9.903487,3364,3.971216
281,10.0,52.888,1,69,3500,0,0,8.160519,4761,3.9681764
282,13.5,54.381,0,62,12500,50,0,9.433484,3844,3.9960148
283,12.0,53.67,1,27,12500,0,0,9.433484,729,3.9828541
284,13.5,53.049,1,30,20000,20,0,9.903487,900,3.971216
285,10.0,52.796,1,51,30000,0,0,10.308952,2601,3.9664354
286,12.0,53.118,1,32,12500,0,0,9.433484,1024,3.9725158
287,10.0,52.819,1,51,30000,20,0,10.308952,2601,3.966871
288,6.0,53.647,1,53,20000,0,0,9.903487,2809,3.9824255
289,13.5,53.509,0,20,20000,0,0,9.903487,400,3.9798498
290,13.5,53.279,0,22,12500,40,0,9.433484,484,3.9755423
291,16.0,52.819,1,24,30000,0,0,10.308952,576,3.966871
292,12.0,53.256,1,23,6500,0,0,8.779557,529,3.9751105
293,12.0,52.819,1,65,30000,0,0,10.308952,4225,3.966871
294,8.0,53.233,1,21,20000,20,0,9.903487,441,3.9746785
295,8.0,52.98,1,19,1500,0,0,7.3132205,361,3.9699144
296,10.0,53.509,1,24,12500,20,0,9.433484,576,3.9798498
297,12.0,53.325,1,34,20000,30,0,9.903487,1156,3.9764054
298,10.0,52.819,1,54,8500,6,0,9.047821,2916,3.966871
299,18.0,58.142,1,50,20000,15,0,9.903487,2500,4.062888
300,13.5,57.912,1,65,8500,20,0,9.047821,4225,4.0589247
301,12.0,56.9,1,33,20000,20,0,9.903487,1089,4.0412955
302,8.0,57.682,1,69,8500,0,0,9.047821,4761,4.054945
303,15.0,59.235,1,26,12500,30,0,9.433484,676,4.0815125
304,8.0,57.682,1,69,8500,0,0,9.047821,4761,4.054945
305,12.0,56.9,1,59,30000,20,0,10.308952,3481,4.0412955
306,12.0,57.677,1,35,12500,20,0,9.433484,1225,4.0548587
307,6.0,58.378,1,54,8500,0,0,9.047821,2916,4.066939
308,13.5,55.596,0,28,12500,0,0,9.433484,784,4.018111
309,12.0,55.596,0,28,20000,15,0,9.903487,784,4.018111
310,10.0,45.283,1,77,3500,30,0,8.160519,5929,3.8129318
311,12.0,44.059,1,64,20000,0,0,9.903487,4096,3.7855296
312,10.0,45.561,1,52,4500,40,0,8.411833,2704,3.8190522
313,10.0,45.283,1,21,1500,30,0,7.3132205,441,3.8129318
314,10.0,45.839,1,46,30000,0,0,10.308952,2116,3.8251352
315,12.0,45.227,1,24,20000,0,0,9.903487,576,3.8116944
316,12.0,45.839,1,31,8500,30,0,9.047821,961,3.8251352
317,12.0,44.004,1,26,8500,0,0,9.047821,676,3.7842805
318,10.0,45.784,1,79,4500,0,0,8.411833,6241,3.8239348
319,12.0,46.521,1,53,30000,30,0,10.308952,2809,3.8399038
320,12.0,58.149,1,32,12500,40,0,9.433484,1024,4.063009
321,15.0,60.235,1,21,5500,0,0,8.612503,441,4.0982537
322,15.0,58.983,1,18,20000,0,0,9.903487,324,4.0772495
323,13.5,59.428,1,30,12500,0,0,9.433484,900,4.0847654
324,12.0,59.372,1,20,20000,15,0,9.903487,400,4.0838227
325,8.0,56.904,1,69,12500,40,0,9.433484,4761,4.0413656
326,8.0,58.053,1,59,30000,20,0,10.308952,3481,4.0613565
327,12.0,57.069,1,56,30000,30,0,10.308952,3136,4.044261
328,18.0,57.179,1,43,30000,0,0,10.308952,1849,4.046187
329,10.0,57.434,1,40,30000,40,0,10.308952,1600,4.0506363
330,16.0,58.795,1,37,30000,0,0,10.308952,1369,4.0740566
331,10.0,58.255,1,36,12500,0,0,9.433484,1296,4.06483
332,13.5,58.795,1,28,30000,40,0,10.308952,784,4.0740566
333,12.0,57.871,1,33,30000,0,0,10.308952,1089,4.0582166
334,16.0,57.288,1,63,20000,0,0,9.903487,3969,4.048091
335,8.0,57.835,1,51,1500,20,0,7.3132205,2601,4.0575943
336,12.0,58.795,1,33,30000,10,0,10.308952,1089,4.0740566
337,13.5,57.069,1,39,30000,0,0,10.308952,1521,4.044261
338,12.0,57.762,1,21,20000,20,0,9.903487,441,4.056331
339,13.5,58.255,1,37,30000,0,0,10.308952,1369,4.06483
340,18.0,58.885,1,70,30000,0,0,10.308952,4900,4.0755863
341,12.0,57.871,1,20,30000,0,0,10.308952,400,4.0582166
342,16.0,57.069,1,27,12500,0,0,9.433484,729,4.044261
343,16.0,58.885,1,28,20000,4,0,9.903487,784,4.0755863
344,16.0,66.761,1,30,20000,0,0,9.903487,900,4.201119
345,13.5,65.767,1,52,20000,20,0,9.903487,2704,4.186118
346,18.0,65.199,1,24,12500,0,0,9.433484,576,4.177444
347,12.0,65.767,1,71,12500,0,0,9.433484,5041,4.186118
348,12.0,67.115,1,39,20000,50,0,9.903487,1521,4.2064075
349,12.0,68.335,1,19,8500,10,0,9.047821,361,4.224422
350,13.5,66.973,1,21,20000,0,0,9.903487,441,4.2042894
351,16.0,67.399,1,33,3500,0,0,8.160519,1089,4.2106304
352,13.5,66.122,1,51,20000,0,0,9.903487,2601,4.1915016
353,8.0,65.767,1,54,30000,20,0,10.308952,2916,4.186118
354,13.5,67.541,1,44,20000,25,0,9.903487,1936,4.2127347
355,12.0,67.115,1,43,30000,0,0,10.308952,1849,4.2064075
356,6.0,65.767,1,68,5500,0,0,8.612503,4624,4.186118
357,12.0,66.761,1,22,20000,0,0,9.903487,484,4.201119
358,10.0,65.838,1,54,30000,40,0,10.308952,2916,4.187197
359,16.0,67.825,1,37,30000,30,0,10.308952,1369,4.216931
360,13.5,66.548,1,22,30000,15,0,10.308952,484,4.1979237
361,18.0,58.381,1,65,30000,0,1,10.308952,4225,4.0669904
362,12.0,60.224,1,30,30000,30,1,10.308952,900,4.098071
363,12.0,60.224,1,19,30000,2,1,10.308952,361,4.098071
364,15.0,60.349,1,35,30000,0,1,10.308952,1225,4.1001444
365,10.0,59.986,1,59,30000,0,1,10.308952,3481,4.094111
366,12.0,58.202,1,18,1500,0,1,7.3132205,324,4.0639195
367,12.0,58.262,1,44,20000,20,1,9.903487,1936,4.06495
368,16.0,58.856,1,37,20000,0,1,9.903487,1369,4.0750937
369,12.0,60.522,1,37,12500,20,1,9.433484,1369,4.103007
370,12.0,58.202,1,19,500,0,1,6.214608,361,4.0639195
371,12.0,58.975,1,25,20000,0,1,9.903487,625,4.0771136
372,16.0,58.916,0,31,12500,20,1,9.433484,961,4.0761127
373,12.0,59.986,1,19,30000,0,1,10.308952,361,4.094111
374,10.0,58.499,1,18,30000,0,1,10.308952,324,4.06901
375,16.0,59.867,1,28,20000,20,1,9.903487,784,4.0921254
376,18.0,58.381,1,46,30000,0,1,10.308952,2116,4.0669904
377,12.0,58.262,1,27,20000,0,1,9.903487,729,4.06495
378,12.0,57.845,1,58,20000,0,1,9.903487,3364,4.057767
379,12.0,60.522,1,19,30000,0,1,10.308952,361,4.103007
380,13.5,60.283,1,30,20000,3,1,9.903487,900,4.09905
381,13.5,58.737,1,58,30000,30,1,10.308952,3364,4.07307
382,6.0,58.024,1,42,20000,10,1,9.903487,1764,4.060857
383,13.5,58.083,1,45,30000,0,1,10.308952,2025,4.061873
384,10.0,60.436,1,18,12500,14,1,9.433484,324,4.101585
385,12.0,60.551,0,40,30000,20,1,10.308952,1600,4.103486
386,13.5,59.986,1,66,8500,0,1,9.047821,4356,4.094111
387,12.0,60.224,1,64,8500,20,1,9.047821,4096,4.098071
388,12.0,59.986,0,43,30000,20,1,10.308952,1849,4.094111
389,10.0,60.551,1,53,30000,0,1,10.308952,2809,4.103486
390,16.0,58.797,1,36,30000,30,1,10.308952,1296,4.074091
391,13.5,60.493,1,43,20000,20,1,9.903487,1849,4.1025276
392,18.0,59.57,1,25,12500,0,1,9.433484,625,4.087152
393,12.0,60.464,1,35,30000,0,1,10.308952,1225,4.102048
394,16.0,62.102,1,29,30000,0,1,10.308952,841,4.128778
395,12.0,62.465,1,18,3500,0,1,8.160519,324,4.1346064
396,12.0,63.199,1,20,12500,0,1,9.433484,400,4.1462884
397,12.0,62.344,1,19,30000,0,1,10.308952,361,4.1326675
398,10.0,62.948,1,17,30000,0,1,10.308952,289,4.142309
399,18.0,61.498,0,29,30000,20,1,10.308952,841,4.1190047
400,8.0,61.458,1,65,12500,0,1,9.433484,4225,4.118354
401,12.0,61.498,1,42,20000,0,1,9.903487,1764,4.1190047
402,16.0,63.253,1,32,30000,0,1,10.308952,1024,4.1471424
403,18.0,62.948,1,36,30000,0,1,10.308952,1296,4.142309
404,16.0,63.253,1,57,30000,0,1,10.308952,3249,4.1471424
405,12.0,62.465,1,31,12500,0,1,9.433484,961,4.1346064
406,10.0,62.264,1,17,20000,0,1,9.903487,289,4.1313834
