,wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,lwage
26,1188,40,93,40,13,16,5,35,1,0,0,1,2,1.0,12.0,8.0,7.0800266
27,800,40,115,39,18,11,1,35,1,0,1,1,0,1.0,8.0,8.0,6.684612
28,1417,48,125,41,17,9,4,34,1,0,0,1,3,1.0,13.0,12.0,7.256297
29,635,40,128,35,18,8,13,36,0,0,0,1,2,1.0,16.0,16.0,6.453625
30,1000,40,103,40,12,17,2,34,1,0,0,1,1,1.0,8.0,,6.9077554
31,1424,50,98,41,14,15,4,35,1,0,0,1,1,1.0,12.0,12.0,7.261225
32,2668,75,108,41,13,12,2,32,1,0,1,1,1,2.0,12.0,12.0,7.8890843
33,666,75,129,40,18,8,12,38,1,0,0,0,2,1.0,18.0,18.0,6.50129
34,1779,40,132,42,17,8,9,32,1,0,0,1,1,1.0,17.0,14.0,7.4838066
35,782,40,92,24,13,9,10,31,1,0,0,1,3,3.0,8.0,,6.6618547
36,1572,35,108,39,14,7,5,28,1,1,0,1,1,,12.0,8.0,7.360104
37,1274,40,106,35,13,11,12,31,1,0,0,1,0,1.0,15.0,12.0,7.1499166
38,714,35,105,37,16,9,2,29,1,0,0,1,1,2.0,13.0,12.0,6.570883
39,1081,40,123,46,18,11,7,36,1,0,0,0,1,1.0,12.0,12.0,6.985642
40,692,40,108,48,12,21,11,38,1,0,0,1,3,1.0,8.0,7.0,6.539586
41,1318,38,122,47,17,10,9,33,1,0,0,1,1,,12.0,8.0,7.183871
42,1239,45,109,44,12,16,4,38,1,0,0,1,3,3.0,12.0,,7.12206
43,1027,27,100,40,13,12,15,38,1,0,0,1,3,3.0,10.0,9.0,6.934397
44,1748,55,125,50,18,12,12,34,1,0,0,1,1,2.0,14.0,15.0,7.4662275
45,981,40,122,41,14,9,15,35,0,0,0,1,3,2.0,12.0,,6.8885727
46,770,40,105,34,17,7,11,30,1,0,0,1,3,1.0,12.0,12.0,6.6463904
47,1154,50,94,37,16,11,5,33,1,0,0,1,1,,12.0,12.0,7.0509896
48,1155,40,102,36,12,16,5,34,1,0,0,1,1,2.0,12.0,,7.0518556
49,808,60,109,47,13,14,12,38,1,0,0,1,2,2.0,12.0,10.0,6.694562
50,1100,40,105,45,12,22,14,38,1,0,0,1,1,1.0,12.0,12.0,7.0030656
51,1154,40,134,46,18,10,10,37,1,0,1,1,2,1.0,12.0,12.0,7.0509896
52,1749,40,108,32,12,13,9,29,0,0,0,1,7,1.0,12.0,9.0,7.4667993
53,1000,50,104,36,16,11,8,30,1,0,0,1,1,1.0,12.0,11.0,6.9077554
54,462,40,112,35,12,11,1,29,1,0,0,1,8,3.0,12.0,,6.135565
55,769,55,120,49,18,8,12,32,0,0,0,1,1,1.0,11.0,8.0,6.645091
56,875,50,124,40,16,9,3,31,0,0,0,0,2,2.0,17.0,16.0,6.774224
57,1375,40,103,34,12,12,7,29,1,0,0,1,4,2.0,12.0,10.0,7.226209
58,1452,45,115,45,17,1,7,30,1,0,0,1,3,1.0,12.0,14.0,7.2806973
59,800,40,96,33,12,17,12,35,1,0,0,1,1,2.0,6.0,8.0,6.684612
60,1748,55,123,48,17,10,7,36,1,0,0,1,1,1.0,12.0,12.0,7.4662275
61,1151,40,98,34,12,12,12,29,1,0,0,1,3,4.0,12.0,8.0,7.0483866
62,840,50,96,34,12,18,13,35,1,0,0,1,2,1.0,12.0,8.0,6.733402
63,978,45,89,47,12,17,2,38,1,0,0,1,0,1.0,12.0,,6.8855095
64,963,40,109,43,12,15,15,37,0,0,0,0,5,,,7.0,6.8700533
65,619,42,93,20,12,10,10,28,0,0,0,1,8,,9.0,11.0,6.4281054
66,442,60,82,32,12,12,0,33,1,0,0,1,2,3.0,12.0,9.0,6.09131
67,600,40,120,45,15,12,1,38,1,0,0,0,3,4.0,12.0,,6.3969297
68,1366,38,122,38,12,15,15,32,1,0,0,1,1,2.0,12.0,,7.219642
69,1643,48,117,48,18,8,2,33,1,0,0,1,2,2.0,12.0,18.0,7.404279
70,1455,40,109,44,16,8,13,36,1,0,0,1,1,2.0,8.0,8.0,7.282761
71,2310,40,114,55,18,12,7,38,1,0,0,1,2,,12.0,16.0,7.7450027
72,1682,45,126,40,16,10,11,31,1,0,0,1,1,1.0,12.0,16.0,7.4277387
73,1235,40,82,45,12,10,2,33,1,0,0,1,1,1.0,11.0,11.0,7.1188264
74,855,45,119,45,16,11,4,32,1,0,0,1,3,1.0,12.0,9.0,6.7511015
75,1072,42,104,37,16,6,8,35,1,0,0,1,2,2.0,12.0,6.0,6.9772816
76,1040,40,115,49,15,8,15,35,1,0,0,1,3,4.0,,11.0,6.946976
77,1000,50,97,45,12,17,15,36,1,0,0,1,1,2.0,12.0,12.0,6.9077554
78,675,40,105,27,15,8,2,31,1,0,0,0,3,,14.0,12.0,6.514713
79,1100,37,100,32,12,14,1,30,1,0,0,1,1,2.0,7.0,7.0,7.0030656
80,996,50,114,41,12,5,14,31,1,0,0,1,2,1.0,12.0,10.0,6.903747
81,732,40,73,28,10,17,5,36,1,0,0,1,5,6.0,,,6.5957804
82,1200,40,96,48,11,15,3,37,1,0,0,1,4,3.0,8.0,8.0,7.090077
83,1694,30,113,30,15,9,8,29,0,0,0,1,3,1.0,12.0,16.0,7.434848
84,686,55,106,38,10,15,3,36,1,0,1,1,4,5.0,14.0,10.0,6.5308776
85,754,40,104,37,13,9,5,32,1,0,0,1,1,2.0,8.0,,6.6253924
86,857,35,80,39,10,14,15,33,1,0,0,1,2,1.0,,12.0,6.753438
87,832,50,104,30,13,4,2,30,1,0,0,1,1,2.0,12.0,8.0,6.7238326
88,579,44,122,36,13,8,1,30,1,0,0,0,4,1.0,16.0,16.0,6.3613024
89,672,61,96,38,12,13,3,34,1,0,0,1,2,,12.0,13.0,6.510258
90,2500,40,95,51,15,12,9,36,1,0,0,1,3,1.0,16.0,16.0,7.824046
91,1076,45,105,24,12,5,8,31,0,0,0,1,1,1.0,16.0,17.0,6.9810057
92,750,40,94,18,12,16,3,37,1,1,0,1,7,3.0,8.0,8.0,6.6200733
93,1186,30,91,41,17,8,9,33,1,0,0,1,1,1.0,12.0,14.0,7.0783415
94,833,48,96,37,16,9,7,31,1,0,0,1,4,4.0,12.0,14.0,6.7250338
95,650,40,69,37,12,14,11,30,1,1,0,1,3,4.0,10.0,9.0,6.4769726
96,1250,46,110,37,12,5,16,38,1,0,0,0,1,1.0,,12.0,7.130899
97,1122,48,111,44,15,12,9,31,1,0,0,1,3,1.0,9.0,12.0,7.022868
98,865,40,110,35,16,1,11,31,1,0,0,1,3,1.0,9.0,12.0,6.7627296
99,808,40,97,37,16,10,7,29,1,0,0,1,3,3.0,9.0,12.0,6.694562
100,1299,60,125,44,18,6,12,35,0,0,0,1,1,2.0,8.0,8.0,7.16935
101,903,40,91,39,12,6,12,36,1,0,0,1,5,4.0,9.0,10.0,6.8057227
102,900,40,86,28,12,17,15,37,1,0,0,1,5,3.0,8.0,10.0,6.802395
103,625,40,110,32,12,18,0,35,1,0,0,1,4,1.0,9.0,8.0,6.437752
104,1586,40,92,47,14,16,1,36,1,0,1,1,4,4.0,12.0,,7.3689704
105,962,40,85,41,10,15,16,38,1,0,0,1,1,2.0,9.0,12.0,6.8690143
106,1539,45,120,36,17,7,8,34,1,0,0,1,1,1.0,8.0,8.0,7.338888
107,1110,52,106,42,12,11,6,33,1,0,0,0,5,2.0,12.0,12.0,7.0121155
108,1282,45,112,41,16,6,6,31,0,0,1,1,2,2.0,12.0,12.0,7.1561766
109,770,48,91,39,12,13,2,38,1,0,0,1,1,2.0,10.0,8.0,6.6463904
110,1000,45,90,42,12,16,0,38,1,0,0,1,6,3.0,10.0,12.0,6.9077554
111,895,40,86,39,9,17,16,38,1,1,0,0,2,,,12.0,6.7968235
112,1205,40,86,32,10,13,0,32,1,1,0,1,5,5.0,8.0,,7.094235
113,750,40,113,27,12,11,10,29,1,0,0,0,1,,12.0,12.0,6.6200733
114,654,50,111,51,13,5,16,38,1,0,0,1,3,3.0,12.0,9.0,6.4831076
115,601,48,111,30,12,15,3,33,1,0,0,1,0,1.0,12.0,12.0,6.398595
116,600,40,106,32,13,10,11,28,1,0,0,1,6,,8.0,7.0,6.3969297
117,433,40,98,28,12,11,10,30,0,0,0,1,1,1.0,12.0,11.0,6.070738
118,1188,40,105,28,12,11,7,30,1,0,0,1,3,1.0,12.0,10.0,7.0800266
119,635,40,105,29,12,15,15,33,1,0,0,0,2,2.0,10.0,,6.453625
120,1225,40,118,44,13,9,14,32,1,0,0,1,0,1.0,12.0,9.0,7.1106963
121,1151,45,90,38,12,19,19,36,1,0,0,1,1,1.0,12.0,8.0,7.0483866
122,865,40,95,34,12,15,11,32,0,0,0,1,3,1.0,9.0,8.0,6.7627296
123,1031,40,112,24,14,9,5,29,1,0,0,1,4,2.0,12.0,12.0,6.9382844
124,1049,55,120,39,12,9,11,32,1,0,0,1,3,2.0,12.0,10.0,6.9555926
125,1000,45,123,41,12,12,1,29,1,0,0,1,3,3.0,12.0,10.0,6.9077554
126,1105,40,103,32,13,10,11,30,1,0,0,1,1,1.0,16.0,15.0,7.007601
127,1924,50,121,40,18,11,7,35,1,0,0,1,3,1.0,16.0,18.0,7.5621614
128,1346,40,90,44,16,9,16,38,1,0,0,1,1,1.0,12.0,12.0,7.2048926
129,809,65,125,32,12,11,10,29,1,0,0,1,0,1.0,12.0,12.0,6.695799
130,1495,45,109,34,18,10,3,32,1,0,0,1,3,1.0,9.0,8.0,7.3098817
131,1346,50,128,46,16,10,1,33,0,0,0,0,3,1.0,10.0,9.0,7.2048926
132,1200,40,97,35,12,10,4,31,1,0,0,1,3,1.0,12.0,12.0,7.090077
133,500,40,96,35,12,6,0,33,1,0,1,1,4,4.0,12.0,12.0,6.214608
134,1325,45,97,44,12,12,5,28,1,0,0,1,1,2.0,12.0,8.0,7.189168
135,900,40,78,21,12,16,5,33,1,1,0,1,4,1.0,7.0,6.0,6.802395
136,800,40,112,39,12,15,3,34,1,0,0,1,6,4.0,7.0,,6.684612
137,800,40,88,32,12,16,7,38,1,0,0,1,3,2.0,2.0,5.0,6.684612
138,1034,40,97,39,12,15,16,36,1,0,0,1,14,10.0,14.0,11.0,6.9411902
139,980,40,101,41,12,4,12,36,1,0,0,1,1,,6.0,9.0,6.8875527
140,884,40,106,42,10,19,12,34,1,0,0,1,2,1.0,7.0,10.0,6.784457
141,480,40,59,28,10,11,5,34,0,0,0,1,0,1.0,8.0,6.0,6.173786
142,923,40,105,54,18,7,14,34,1,0,0,1,1,1.0,12.0,12.0,6.827629
143,513,45,119,30,17,8,5,31,0,0,0,1,1,1.0,12.0,8.0,6.240276
144,1105,40,93,36,11,17,16,37,0,0,0,1,2,2.0,8.0,8.0,7.007601
145,1193,50,82,38,12,19,10,36,1,0,1,1,0,1.0,12.0,,7.0842266
146,2771,50,134,45,18,6,7,34,1,0,0,1,4,3.0,16.0,16.0,7.9269633
147,779,40,84,29,12,9,6,30,1,0,0,1,0,1.0,8.0,12.0,6.658011
148,950,60,98,36,11,13,6,31,1,0,0,1,2,1.0,12.0,12.0,6.856462
149,1394,40,118,41,16,11,8,30,1,0,0,0,2,1.0,13.0,12.0,7.2399325
150,1495,45,113,50,17,13,9,33,1,0,0,1,3,3.0,12.0,8.0,7.3098817
151,650,40,100,18,12,4,3,28,1,0,0,1,6,2.0,9.0,11.0,6.4769726
152,670,40,93,27,13,9,5,29,1,0,0,1,2,,12.0,12.0,6.5072775
153,1126,40,119,30,16,5,8,32,1,0,0,1,1,1.0,12.0,10.0,7.026427
154,450,64,67,19,12,11,1,33,0,1,0,1,6,1.0,11.0,4.0,6.1092477
155,1028,40,111,28,12,19,12,37,1,1,1,1,3,4.0,12.0,,6.9353704
156,2404,50,106,38,15,8,0,32,1,0,0,1,2,1.0,12.0,12.0,7.784889
157,1899,40,127,49,18,9,14,36,0,0,0,1,0,1.0,10.0,,7.5490828
158,757,40,113,35,16,10,9,33,1,0,0,1,2,1.0,12.0,12.0,6.629363
159,1250,40,115,36,14,9,1,29,1,0,0,1,2,2.0,12.0,12.0,7.130899
160,1162,48,102,40,16,8,11,31,1,0,0,1,3,2.0,12.0,,7.057898
161,1025,40,85,29,15,9,13,29,1,1,0,1,6,1.0,14.0,12.0,6.932448
162,1100,50,117,51,16,11,12,32,1,0,0,0,0,1.0,12.0,10.0,7.0030656
163,714,35,125,34,16,7,5,28,1,0,0,1,4,1.0,10.0,10.0,6.570883
164,1318,35,118,47,16,16,17,37,1,0,0,0,1,1.0,8.0,12.0,7.183871
165,1411,45,121,40,18,14,3,38,1,0,0,1,3,2.0,12.0,16.0,7.2520537
166,2162,40,115,51,17,4,4,38,1,0,0,1,1,1.0,12.0,12.0,7.678789
167,1273,55,120,44,14,11,16,36,1,0,0,0,1,1.0,12.0,,7.149132
168,1140,48,109,43,12,16,15,35,1,0,0,1,2,2.0,11.0,6.0,7.0387836
169,578,40,109,28,13,7,4,30,0,0,0,1,1,,12.0,11.0,6.359574
170,942,40,85,36,12,7,10,38,1,0,0,1,4,5.0,,,6.8480053
171,1058,40,85,50,12,17,8,38,1,0,0,0,4,1.0,12.0,,6.9641356
172,750,40,106,32,14,9,9,29,1,0,0,1,1,2.0,11.0,10.0,6.6200733
173,1000,60,101,30,12,11,6,30,1,0,0,1,3,1.0,10.0,10.0,6.9077554
174,951,60,116,40,12,9,7,30,1,0,0,1,4,5.0,12.0,9.0,6.857514
175,635,47,91,24,12,13,2,31,1,0,0,1,2,2.0,7.0,7.0,6.453625
176,1250,40,91,28,12,13,1,34,1,0,0,1,3,1.0,11.0,5.0,7.130899
177,675,40,110,34,12,6,15,34,1,0,0,1,2,1.0,7.0,,6.514713
178,400,40,75,33,12,11,6,32,1,0,0,1,4,,7.0,12.0,5.9914646
179,577,50,94,17,12,9,8,29,1,0,0,1,2,,12.0,8.0,6.3578424
180,590,40,109,27,13,10,7,29,1,0,0,0,2,2.0,12.0,12.0,6.3801227
181,923,50,122,38,16,10,10,31,1,0,0,0,1,2.0,8.0,8.0,6.827629
182,1250,50,102,26,12,6,2,32,0,0,0,1,4,2.0,11.0,8.0,7.130899
183,1100,40,122,38,14,11,8,33,1,0,0,1,2,3.0,8.0,10.0,7.0030656
184,1130,50,105,38,12,18,2,37,1,0,0,1,4,2.0,10.0,10.0,7.029973
185,652,50,113,37,12,14,4,36,0,0,0,1,1,2.0,9.0,9.0,6.4800444
186,618,42,104,34,12,6,2,30,1,0,0,1,3,2.0,8.0,12.0,6.4264884
187,962,50,124,43,16,7,14,34,1,0,0,1,2,2.0,9.0,11.0,6.8690143
188,529,40,110,31,13,14,11,32,1,0,0,0,1,1.0,12.0,8.0,6.2709885
189,817,40,95,37,12,16,14,33,1,0,0,0,2,1.0,12.0,12.0,6.705639
190,962,40,120,39,16,8,9,32,1,0,0,0,0,1.0,18.0,,6.8690143
191,840,40,105,39,12,19,15,38,1,0,0,0,3,1.0,12.0,8.0,6.733402
192,866,40,121,30,16,7,4,28,1,0,0,0,1,,12.0,12.0,6.763885
193,2404,50,96,42,14,1,1,36,1,0,0,1,5,5.0,8.0,10.0,7.784889
194,1126,40,110,26,12,16,2,32,1,0,0,1,6,1.0,9.0,12.0,7.026427
195,1160,40,92,32,12,8,8,31,1,0,0,0,4,1.0,12.0,11.0,7.056175
196,723,40,98,34,12,15,5,38,1,0,0,1,1,1.0,9.0,,6.5834093
197,1778,40,109,43,16,14,13,36,1,0,0,1,0,1.0,11.0,12.0,7.4832444
198,1903,48,118,44,18,13,5,36,1,0,0,0,0,1.0,11.0,11.0,7.551187
199,1010,40,97,42,18,7,14,34,1,0,0,1,4,5.0,14.0,,6.9177055
200,971,40,95,42,17,5,11,37,1,0,0,1,1,2.0,16.0,8.0,6.8783264
201,525,40,99,40,12,9,2,34,1,0,0,1,2,1.0,10.0,8.0,6.263398
202,525,40,106,31,12,12,13,30,1,0,0,0,1,1.0,10.0,12.0,6.263398
203,670,45,117,33,12,10,3,30,1,0,0,0,5,2.0,12.0,,6.5072775
204,500,45,90,47,12,19,4,37,1,0,0,0,0,1.0,12.0,6.0,6.214608
205,1058,45,98,45,14,14,15,34,1,0,0,0,2,3.0,,,6.9641356
206,550,46,95,44,12,18,15,35,1,0,0,1,1,1.0,12.0,11.0,6.3099184
207,500,45,115,43,12,14,1,32,1,0,0,1,1,2.0,12.0,11.0,6.214608
208,727,55,106,40,15,10,5,31,0,0,0,1,1,,12.0,12.0,6.5889263
209,865,40,114,26,12,6,8,30,1,0,0,0,2,3.0,8.0,8.0,6.7627296
210,1081,40,92,34,13,8,2,30,1,0,1,1,3,4.0,12.0,10.0,6.985642
211,1304,45,119,36,17,9,9,31,1,0,0,0,1,1.0,13.0,12.0,7.1731915
212,575,40,85,32,13,6,1,30,1,0,0,0,1,2.0,13.0,12.0,6.35437
213,623,45,98,34,16,7,1,30,1,0,0,0,3,1.0,12.0,12.0,6.4345465
214,515,45,114,30,13,8,10,28,1,0,0,0,3,2.0,12.0,12.0,6.244167
215,1273,55,84,42,18,14,4,37,1,0,0,1,1,1.0,8.0,12.0,7.149132
216,990,40,108,42,13,13,9,33,1,0,0,0,4,1.0,16.0,16.0,6.897705
217,600,40,107,32,12,16,6,33,1,0,0,0,5,6.0,8.0,4.0,6.3969297
218,1160,40,84,35,12,17,2,38,1,0,0,0,4,2.0,16.0,12.0,7.056175
219,500,55,86,22,12,11,9,29,1,0,0,0,5,5.0,10.0,12.0,6.214608
220,795,45,88,27,12,17,18,35,1,0,0,0,2,2.0,10.0,12.0,6.6783423
221,500,50,97,34,11,20,3,37,1,0,0,0,2,1.0,,,6.214608
222,740,50,84,31,10,23,13,38,1,0,0,0,5,1.0,,9.0,6.6066504
223,1250,40,117,45,16,10,7,33,1,0,0,1,1,1.0,12.0,14.0,7.130899
224,1014,55,110,42,16,13,9,30,0,0,0,1,1,2.0,12.0,14.0,6.921658
225,1250,32,104,32,13,13,3,33,1,0,0,1,3,3.0,9.0,,7.130899
226,913,40,110,26,14,4,13,29,1,0,0,1,3,4.0,9.0,,6.8167357
227,1346,40,99,33,16,9,8,30,1,0,0,1,2,,11.0,12.0,7.2048926
228,445,40,80,31,10,19,0,38,1,0,0,0,5,5.0,,,6.0980744
229,265,40,101,43,12,18,2,37,1,0,0,1,1,2.0,,,5.57973
230,1250,40,117,31,14,7,1,28,1,0,0,1,1,2.0,12.0,12.0,7.130899
231,1607,56,108,41,13,7,9,36,1,0,0,1,2,1.0,,,7.3821244
232,1452,35,69,33,16,12,15,38,1,1,0,1,7,6.0,10.0,10.0,7.2806973
233,1391,50,109,38,12,14,8,32,1,1,1,1,1,2.0,11.0,9.0,7.237778
234,821,45,85,39,16,8,2,32,1,0,0,1,5,6.0,8.0,8.0,6.710523
235,794,40,114,36,16,9,7,29,1,0,0,1,1,2.0,11.0,9.0,6.6770835
236,500,30,90,46,13,10,1,38,1,0,0,0,4,3.0,,,6.214608
237,520,50,107,30,18,6,3,29,1,0,0,0,10,1.0,12.0,14.0,6.253829
238,1730,50,117,41,18,12,12,37,1,0,0,1,1,2.0,12.0,8.0,7.455877
239,1924,50,112,47,18,9,10,38,1,0,0,1,6,1.0,16.0,18.0,7.5621614
240,1155,60,106,46,18,10,2,37,1,0,0,1,3,3.0,14.0,18.0,7.0518556
241,2162,40,116,38,15,9,4,31,1,0,0,1,2,1.0,12.0,17.0,7.678789
242,923,50,123,44,14,8,7,31,1,0,0,1,1,2.0,8.0,,6.827629
243,1115,40,118,40,16,12,13,33,1,0,0,1,1,1.0,8.0,,7.0166097
244,449,36,91,20,12,7,2,30,0,0,0,1,1,,,,6.107023
245,1500,40,103,29,12,10,11,34,1,0,0,1,2,3.0,12.0,7.0,7.3132205
246,826,40,114,40,14,20,3,37,1,0,0,1,4,4.0,8.0,6.0,6.7165947
247,937,40,102,36,12,16,8,35,1,0,0,1,3,2.0,12.0,6.0,6.8426833
248,978,48,104,36,12,19,15,36,1,0,0,1,5,6.0,6.0,,6.8855095
249,1031,40,112,43,14,14,12,33,0,0,0,1,6,6.0,14.0,12.0,6.9382844
250,1272,40,107,39,12,10,1,30,1,0,0,1,4,3.0,12.0,12.0,7.148346
251,1136,50,117,36,14,16,12,34,1,0,1,1,2,3.0,12.0,12.0,7.035269
252,800,45,110,36,12,19,12,36,1,0,0,1,7,8.0,,,6.684612
253,1339,38,96,42,12,8,9,33,1,0,0,1,0,1.0,12.0,11.0,7.1996784
254,1063,40,90,38,12,14,12,32,1,1,0,1,2,2.0,8.0,12.0,6.9688506
255,935,44,97,27,12,10,6,29,1,0,0,1,2,2.0,8.0,7.0,6.8405466
256,808,40,99,40,12,18,13,38,1,1,0,1,0,1.0,9.0,8.0,6.694562
257,375,40,99,29,10,12,2,30,1,0,1,0,3,2.0,8.0,5.0,5.926926
258,537,40,97,32,12,14,8,31,0,1,0,1,2,1.0,11.0,,6.285998
259,1082,55,95,40,12,11,4,29,1,1,0,1,2,2.0,11.0,,6.9865665
260,930,40,126,44,14,10,1,31,0,0,0,1,3,,8.0,,6.8351846
261,1155,40,109,49,17,13,4,38,1,0,0,0,3,3.0,12.0,8.0,7.0518556
262,548,40,86,22,11,7,0,33,1,1,0,1,5,2.0,11.0,,6.3062754
263,622,45,119,48,16,12,1,33,1,0,0,1,0,1.0,12.0,12.0,6.43294
264,841,40,102,38,16,10,1,29,1,0,0,1,3,1.0,12.0,12.0,6.7345915
265,769,55,105,45,18,7,15,38,0,0,0,1,2,3.0,9.0,5.0,6.645091
266,587,38,117,40,17,8,5,29,1,0,0,0,3,3.0,12.0,,6.375025
267,1924,45,112,40,16,17,18,38,1,0,0,1,1,1.0,12.0,12.0,7.5621614
268,1058,40,89,28,12,7,3,29,1,0,0,1,2,,8.0,6.0,6.9641356
269,417,48,131,39,12,7,1,28,0,0,0,1,1,2.0,12.0,6.0,6.0330863
270,1202,48,114,28,16,6,6,28,1,0,0,1,3,3.0,16.0,16.0,7.091742
271,1154,40,98,35,14,18,2,37,1,0,0,1,1,,10.0,14.0,7.0509896
272,1070,40,124,41,13,4,9,32,1,0,0,1,0,1.0,,,6.975414
273,1202,40,125,30,14,10,11,29,1,0,0,1,2,3.0,12.0,12.0,7.091742
274,711,45,100,38,18,13,3,36,1,0,0,1,1,,10.0,16.0,6.5666723
275,1202,40,84,21,14,6,5,31,1,1,0,1,2,1.0,11.0,9.0,7.091742
276,850,43,113,26,12,7,3,28,1,0,0,1,1,2.0,8.0,12.0,6.7452364
277,1000,40,102,46,16,13,11,35,1,0,0,1,6,2.0,10.0,12.0,6.9077554
278,490,49,82,33,18,7,8,31,0,0,0,1,2,,12.0,9.0,6.1944056
279,1000,40,112,47,14,15,4,35,1,0,0,1,4,1.0,12.0,10.0,6.9077554
280,865,40,111,38,16,11,4,31,1,0,1,1,4,5.0,8.0,5.0,6.7627296
281,1375,40,96,24,13,3,3,30,1,0,0,1,3,1.0,11.0,8.0,7.226209
282,1586,40,127,48,16,16,12,37,1,0,0,1,4,4.0,16.0,16.0,7.3689704
283,1602,65,97,47,15,14,14,37,1,0,0,1,1,1.0,8.0,,7.3790083
284,3078,65,120,50,14,12,13,36,1,0,1,1,1,2.0,12.0,,8.032035
285,898,40,101,41,16,7,9,35,0,0,0,1,3,4.0,16.0,14.0,6.80017
286,906,40,120,40,14,16,2,37,1,0,0,1,5,1.0,12.0,12.0,6.809039
287,952,40,99,34,13,10,10,31,1,1,0,1,1,1.0,8.0,10.0,6.858565
288,571,40,78,33,13,10,1,29,0,1,0,1,5,5.0,8.0,9.0,6.347389
289,445,45,110,23,12,15,13,32,0,0,0,1,2,2.0,5.0,11.0,6.0980744
290,289,40,94,35,12,9,0,30,1,0,0,1,2,3.0,5.0,11.0,5.6664267
291,1444,40,120,50,16,12,15,37,1,0,0,1,1,2.0,17.0,13.0,7.275172
292,962,55,108,45,12,19,21,36,1,0,0,1,3,1.0,8.0,8.0,6.8690143
293,1075,40,103,31,12,17,10,33,1,0,0,1,13,3.0,11.0,11.0,6.980076
294,909,55,97,39,11,17,5,35,1,0,0,1,7,3.0,,,6.812345
295,1250,40,106,36,12,14,19,35,1,0,0,1,4,1.0,11.0,13.0,7.130899
296,620,40,99,22,11,10,5,29,1,1,0,1,11,5.0,,,6.4297194
297,1016,40,72,18,10,14,15,37,1,1,0,1,8,9.0,11.0,,6.923629
298,800,40,88,29,10,21,14,37,1,1,0,1,8,1.0,11.0,8.0,6.684612
299,1050,40,119,37,16,7,18,37,0,0,0,1,2,2.0,12.0,13.0,6.9565454
300,1079,50,87,33,12,18,9,36,1,0,0,1,5,5.0,8.0,,6.98379
301,654,50,121,49,17,12,13,34,1,0,0,1,1,2.0,11.0,12.0,6.4831076
302,781,50,112,33,12,8,10,30,1,0,0,1,2,2.0,12.0,8.0,6.660575
303,1038,48,103,36,15,8,2,36,1,0,1,0,2,1.0,12.0,15.0,6.945051
304,1924,50,99,48,16,16,14,37,1,0,0,1,0,1.0,16.0,18.0,7.5621614
305,1202,40,101,40,15,15,17,37,1,0,0,1,3,2.0,12.0,12.0,7.091742
306,666,70,117,34,15,8,2,32,1,0,0,1,0,1.0,,,6.50129
307,905,45,109,41,14,11,14,36,1,0,0,1,3,4.0,8.0,8.0,6.8079348
