,price,return,return_1,t,price_1,price_2,cprice,cprice_1
44,52.9,-2.721588,0.11045908,45,54.38,54.32,-1.4799995,0.060001373
45,53.85,1.7958354,-2.721588,46,52.9,54.38,0.94999695,-1.4799995
46,54.96,2.0612826,1.7958354,47,53.85,52.9,1.1100006,0.94999695
47,55.03,0.1273648,2.0612826,48,54.96,53.85,0.069999695,1.1100006
48,55.93,1.6354743,0.1273648,49,55.03,54.96,0.9000015,0.069999695
49,56.63,1.2515658,1.6354743,50,55.93,55.03,0.70000076,0.9000015
50,56.44,-0.33551553,1.2515658,51,56.63,55.93,-0.19000244,0.70000076
51,57.28,1.4883065,-0.33551553,52,56.44,56.63,0.84000015,-0.19000244
52,56.59,-1.2046065,1.4883065,53,57.28,56.44,-0.6899986,0.84000015
53,55.95,-1.1309408,-1.2046065,54,56.59,57.28,-0.6399994,-0.6899986
54,56.36,0.73279685,-1.1309408,55,55.95,56.59,0.40999985,-0.6399994
55,55.75,-1.0823289,0.73279685,56,56.36,55.95,-0.6100006,0.40999985
56,55.68,-0.12555999,-1.0823289,57,55.75,56.36,-0.069999695,-0.6100006
57,54.86,-1.4727006,-0.12555999,58,55.68,55.75,-0.8199997,-0.069999695
58,55.19,0.6015276,-1.4727006,59,54.86,55.68,0.32999802,-0.8199997
59,54.5,-1.250224,0.6015276,60,55.19,54.86,-0.6899986,0.32999802
60,54.56,0.110094264,-1.250224,61,54.5,55.19,0.060001373,-0.6899986
61,54.42,-0.2566041,0.110094264,62,54.56,54.5,-0.1400032,0.060001373
62,55.5,1.9845679,-0.2566041,63,54.42,54.56,1.0800018,-0.1400032
63,54.52,-1.765765,1.9845679,64,55.5,54.42,-0.97999954,1.0800018
64,53.61,-1.669112,-1.765765,65,54.52,55.5,-0.90999985,-0.97999954
65,53.26,-0.65286756,-1.669112,66,53.61,54.52,-0.3500023,-0.90999985
66,54.45,2.2343268,-0.65286756,67,53.26,53.61,1.1900024,-0.3500023
67,54.7,0.4591368,2.2343268,68,54.45,53.26,0.25,1.1900024
68,53.42,-2.3400412,0.4591368,69,54.7,54.45,-1.2800026,0.25
69,54.49,2.0030017,-2.3400412,70,53.42,54.7,1.0700035,-1.2800026
70,53.98,-0.93595546,2.0030017,71,54.49,53.42,-0.51000214,1.0700035
71,54.77,1.4635067,-0.93595546,72,53.98,54.49,0.7900009,-0.51000214
72,52.95,-3.3229864,1.4635067,73,54.77,53.98,-1.8199997,0.7900009
73,52.97,0.037772346,-3.3229864,74,52.95,54.77,0.020000458,-1.8199997
74,53.65,1.283746,0.037772346,75,52.97,52.95,0.6800003,0.020000458
75,54.42,1.435222,1.283746,76,53.65,52.97,0.76999664,0.6800003
76,54.99,1.0474155,1.435222,77,54.42,53.65,0.5700035,0.76999664
77,54.9,-0.1636664,1.0474155,78,54.99,54.42,-0.09000015,0.5700035
78,54.67,-0.41894963,-0.1636664,79,54.9,54.99,-0.23000336,-0.09000015
79,54.7,0.05487945,-0.41894963,80,54.67,54.9,0.030002594,-0.23000336
80,55.73,1.882996,0.05487945,81,54.7,54.67,1.0299988,0.030002594
81,54.08,-2.9606993,1.882996,82,55.73,54.7,-1.6499977,1.0299988
82,53.82,-0.48077315,-2.9606993,83,54.08,55.73,-0.26000214,-1.6499977
83,54.09,0.5016731,-0.48077315,84,53.82,54.08,0.27000046,-0.26000214
84,53.51,-1.0722903,0.5016731,85,54.09,53.82,-0.58000183,0.27000046
85,53.22,-0.5419494,-1.0722903,86,53.51,54.09,-0.2899971,-0.58000183
86,52.93,-0.54490966,-0.5419494,87,53.22,53.51,-0.29000092,-0.2899971
87,53.59,1.2469296,-0.54490966,88,52.93,53.22,0.65999985,-0.29000092
88,52.79,-1.4928144,1.2469296,89,53.59,52.93,-0.79999924,0.65999985
89,52.08,-1.34495,-1.4928144,90,52.79,53.59,-0.7099991,-0.79999924
90,52.14,0.11520268,-1.34495,91,52.08,52.79,0.05999756,-0.7099991
91,52.43,0.55619663,0.11520268,92,52.14,52.08,0.29000092,0.05999756
92,51.57,-1.6402835,0.55619663,93,52.43,52.14,-0.8600006,0.29000092
93,50.65,-1.7839794,-1.6402835,94,51.57,52.43,-0.91999817,-0.8600006
94,50.41,-0.47384337,-1.7839794,95,50.65,51.57,-0.24000168,-0.91999817
95,49.78,-1.2497542,-0.47384337,96,50.41,50.65,-0.63000107,-0.24000168
96,51.04,2.5311413,-1.2497542,97,49.78,50.41,1.2600021,-0.63000107
97,52.53,2.9192748,2.5311413,98,51.04,49.78,1.4899979,1.2600021
98,53.19,1.2564247,2.9192748,99,52.53,51.04,0.65999985,1.4899979
99,52.36,-1.56044,1.2564247,100,53.19,52.53,-0.829998,0.65999985
100,51.28,-2.0626466,-1.56044,101,52.36,53.19,-1.0800018,-0.829998
101,51.9,1.2090538,-2.0626466,102,51.28,52.36,0.62000275,-1.0800018
102,51.41,-0.94412655,1.2090538,103,51.9,51.28,-0.49000168,0.62000275
103,52.31,1.7506351,-0.94412655,104,51.41,51.9,0.9000015,-0.49000168
104,51.63,-1.2999432,1.7506351,105,52.31,51.41,-0.6800003,0.9000015
105,49.52,-4.0867724,-1.2999432,106,51.63,52.31,-2.1100006,-0.6800003
106,50.04,1.0500817,-4.0867724,107,49.52,51.63,0.52000046,-2.1100006
107,49.47,-1.1390882,1.0500817,108,50.04,49.52,-0.5699997,0.52000046
108,49.79,0.64685607,-1.1390882,109,49.47,50.04,0.3199997,-0.5699997
109,50.35,1.1247189,0.64685607,110,49.79,49.47,0.55999756,0.3199997
110,49.34,-2.005955,1.1247189,111,50.35,49.79,-1.0099983,0.55999756
111,48.69,-1.3173926,-2.005955,112,49.34,50.35,-0.6500015,-1.0099983
112,48.49,-0.4107557,-1.3173926,113,48.69,49.34,-0.19999695,-0.6500015
113,48.87,0.78366107,-0.4107557,114,48.49,48.69,0.37999725,-0.19999695
114,49.65,1.5960766,0.78366107,115,48.87,48.49,0.7800026,0.37999725
115,49.89,0.48337936,1.5960766,116,49.65,48.87,0.23999786,0.7800026
116,50.07,0.36079437,0.48337936,117,49.89,49.65,0.1800003,0.23999786
117,50.09,0.03994499,0.36079437,118,50.07,49.89,0.020000458,0.1800003
118,50.43,0.6787785,0.03994499,119,50.09,50.07,0.34000015,0.020000458
119,52.35,3.8072538,0.6787785,120,50.43,50.09,1.9199982,0.34000015
120,53.88,2.922641,3.8072538,121,52.35,50.43,1.5300026,1.9199982
121,53.72,-0.2969559,2.922641,122,53.88,52.35,-0.15999985,1.5300026
122,53.72,0.0,-0.2969559,123,53.72,53.88,0.0,-0.15999985
123,55.68,3.6485462,0.0,124,53.72,53.72,1.9599991,0.0
124,54.36,-2.3706892,3.6485462,125,55.68,53.72,-1.3199997,1.9599991
125,54.52,0.2943338,-2.3706892,126,54.36,55.68,0.15999985,-1.3199997
126,56.11,2.9163613,0.2943338,127,54.52,54.36,1.5900002,0.15999985
127,55.88,-0.4099083,2.9163613,128,56.11,54.52,-0.22999954,1.5900002
128,53.91,-3.5254138,-0.4099083,129,55.88,56.11,-1.9700012,-0.22999954
129,53.58,-0.61212766,-3.5254138,130,53.91,55.88,-0.32999802,-1.9700012
130,53.0,-1.0824969,-0.61212766,131,53.58,53.91,-0.58000183,-0.32999802
131,54.09,2.0566041,-1.0824969,132,53.0,53.58,1.0900002,-0.58000183
132,55.1,1.8672552,2.0566041,133,54.09,53.0,1.0099983,1.0900002
133,55.61,0.92559373,1.8672552,134,55.1,54.09,0.51000214,1.0099983
134,57.82,3.9741037,0.92559373,135,55.61,55.1,2.209999,0.51000214
135,58.75,1.6084405,3.9741037,136,57.82,55.61,0.9300003,2.209999
136,58.93,0.3063835,1.6084405,137,58.75,57.82,0.1800003,0.9300003
137,59.12,0.3224141,0.3063835,138,58.93,58.75,0.18999863,0.1800003
138,58.38,-1.2516879,0.3224141,139,59.12,58.93,-0.73999786,0.18999863
139,59.44,1.8156861,-1.2516879,140,58.38,59.12,1.0599976,-0.73999786
140,60.06,1.0430733,1.8156861,141,59.44,58.38,0.62000275,1.0599976
141,57.32,-4.562107,1.0430733,142,60.06,59.44,-2.7400017,0.62000275
142,57.31,-0.01744299,-4.562107,143,57.32,60.06,-0.0099983215,-2.7400017
143,58.03,1.2563207,-0.01744299,144,57.31,57.32,0.7199974,-0.0099983215
144,59.29,2.1712945,1.2563207,145,58.03,57.31,1.2600021,0.7199974
145,56.4,-4.8743453,2.1712945,146,59.29,58.03,-2.8899994,1.2600021
146,54.34,-3.6524847,-4.8743453,147,56.4,59.29,-2.0600014,-2.8899994
147,53.79,-1.0121443,-3.6524847,148,54.34,56.4,-0.54999924,-2.0600014
148,52.49,-2.4168046,-1.0121443,149,53.79,54.34,-1.2999992,-0.54999924
149,51.52,-1.8479733,-2.4168046,150,52.49,53.79,-0.9700012,-1.2999992
150,53.24,3.3385117,-1.8479733,151,51.52,52.49,1.7200012,-0.9700012
151,52.38,-1.615328,3.3385117,152,53.24,51.52,-0.8600006,1.7200012
152,54.51,4.0664325,-1.615328,153,52.38,53.24,2.1299973,-0.8600006
153,53.72,-1.4492701,4.0664325,154,54.51,52.38,-0.7899971,2.1299973
154,52.83,-1.6567374,-1.4492701,155,53.72,54.51,-0.8899994,-0.7899971
155,53.9,2.0253637,-1.6567374,156,52.83,53.72,1.0699997,-0.8899994
156,54.57,1.2430393,2.0253637,157,53.9,52.83,0.66999817,1.0699997
157,55.23,1.2094555,1.2430393,158,54.57,53.9,0.65999985,0.66999817
158,55.64,0.7423499,1.2094555,159,55.23,54.57,0.40999985,0.65999985
159,56.07,0.77282584,0.7423499,160,55.64,55.23,0.4300003,0.40999985
160,55.99,-0.14267525,0.77282584,161,56.07,55.64,-0.07999802,0.4300003
161,54.47,-2.7147713,-0.14267525,162,55.99,56.07,-1.5200005,-0.07999802
162,55.42,1.7440736,-2.7147713,163,54.47,55.99,0.94999695,-1.5200005
163,55.58,0.28871107,1.7440736,164,55.42,54.47,0.16000366,0.94999695
164,53.93,-2.9686964,0.28871107,165,55.58,55.42,-1.6500015,0.16000366
165,55.22,2.3919914,-2.9686964,166,53.93,55.58,1.2900009,-1.6500015
166,55.95,1.3219839,2.3919914,167,55.22,53.93,0.72999954,1.2900009
167,56.83,1.5728347,1.3219839,168,55.95,55.22,0.88000107,0.72999954
168,57.35,0.9150037,1.5728347,169,56.83,55.95,0.51999664,0.88000107
169,57.71,0.6277256,0.9150037,170,57.35,56.83,0.3600006,0.51999664
170,57.65,-0.10396389,0.6277256,171,57.71,57.35,-0.05999756,0.3600006
171,57.33,-0.5550732,-0.10396389,172,57.65,57.71,-0.3199997,-0.05999756
172,57.8,0.81981057,-0.5550732,173,57.33,57.65,0.4699974,-0.3199997
173,57.36,-0.7612433,0.81981057,174,57.8,57.33,-0.43999863,0.4699974
174,55.96,-2.440728,-0.7612433,175,57.36,57.8,-1.4000015,-0.43999863
175,55.38,-1.0364511,-2.440728,176,55.96,57.36,-0.579998,-1.4000015
176,56.38,1.805706,-1.0364511,177,55.38,55.96,1.0,-0.579998
177,56.01,-0.656266,1.805706,178,56.38,55.38,-0.37000275,1.0
178,57.23,2.1781847,-0.656266,179,56.01,56.38,1.2200012,-0.37000275
179,57.95,1.2580836,2.1781847,180,57.23,56.01,0.7200012,1.2200012
180,57.65,-0.51768637,1.2580836,181,57.95,57.23,-0.29999924,0.7200012
181,58.01,0.62445235,-0.51768637,182,57.65,57.95,0.3599968,-0.29999924
182,58.16,0.25857875,0.62445235,183,58.01,57.65,0.15000153,0.3599968
183,58.86,1.2035776,0.25857875,184,58.16,58.01,0.70000076,0.15000153
184,57.76,-1.8688452,1.2035776,185,58.86,58.16,-1.1000023,0.70000076
185,58.62,1.4889208,-1.8688452,186,57.76,58.86,0.8600006,-1.1000023
186,59.36,1.2623707,1.4889208,187,58.62,57.76,0.7400017,0.8600006
187,60.36,1.6846361,1.2623707,188,59.36,58.62,1.0,0.7400017
188,61.68,2.1868782,1.6846361,189,60.36,59.36,1.3199997,1.0
189,62.13,0.7295732,2.1868782,190,61.68,60.36,0.45000076,1.3199997
190,62.18,0.08047519,0.7295732,191,62.13,61.68,0.049999237,0.45000076
191,60.66,-2.4445167,0.08047519,192,62.18,62.13,-1.5200005,0.049999237
192,61.48,1.3517964,-2.4445167,193,60.66,62.18,0.8199997,-1.5200005
193,61.76,0.4554307,1.3517964,194,61.48,60.66,0.27999878,0.8199997
194,62.57,1.3115307,0.4554307,195,61.76,61.48,0.8100014,0.27999878
195,62.44,-0.207769,1.3115307,196,62.57,61.76,-0.13000107,0.8100014
196,59.53,-4.660474,-0.207769,197,62.44,62.57,-2.9099998,-0.13000107
197,58.65,-1.4782417,-4.660474,198,59.53,62.44,-0.87999725,-2.9099998
198,56.83,-3.1031537,-1.4782417,199,58.65,59.53,-1.8199997,-0.87999725
199,57.71,1.548473,-3.1031537,200,56.83,58.65,0.87999725,-1.8199997
200,56.75,-1.6634883,1.548473,201,57.71,56.83,-0.9599991,0.87999725
201,58.85,3.7004378,-1.6634883,202,56.75,57.71,2.0999985,-0.9599991
202,59.18,0.5607508,3.7004378,203,58.85,56.75,0.33000183,2.0999985
203,61.0,3.0753627,0.5607508,204,59.18,58.85,1.8199997,0.33000183
204,61.35,0.573768,3.0753627,205,61.0,59.18,0.34999847,1.8199997
205,61.58,0.37490362,0.573768,206,61.35,61.0,0.23000336,0.34999847
206,62.0,0.68203664,0.37490362,207,61.58,61.35,0.41999817,0.23000336
207,61.82,-0.29032308,0.68203664,208,62.0,61.58,-0.1800003,0.41999817
208,60.69,-1.8278892,-0.29032308,209,61.82,62.0,-1.1300011,-0.1800003
209,62.72,3.3448718,-1.8278892,210,60.69,61.82,2.0300026,-1.1300011
210,63.95,1.9610962,3.3448718,211,62.72,60.69,1.2299995,2.0300026
211,65.13,1.845186,1.9610962,212,63.95,62.72,1.1799965,1.2299995
212,66.14,1.550748,1.845186,213,65.13,63.95,1.0100021,1.1799965
213,66.39,0.3779861,1.550748,214,66.14,65.13,0.25,1.0100021
214,67.77,2.078622,0.3779861,215,66.39,66.14,1.3799973,0.25
215,66.61,-1.7116661,2.078622,216,67.77,66.39,-1.159996,1.3799973
216,64.3,-3.4679441,-1.7116661,217,66.61,67.77,-2.3099976,-1.159996
217,63.38,-1.4307961,-3.4679441,218,64.3,66.61,-0.920002,-2.3099976
218,60.86,-3.9760184,-1.4307961,219,63.38,64.3,-2.5200005,-0.920002
219,59.31,-2.5468276,-3.9760184,220,60.86,63.38,-1.5499992,-2.5200005
220,55.98,-5.6145706,-2.5468276,221,59.31,60.86,-3.3300018,-1.5499992
221,58.2,3.9657042,-5.6145706,222,55.98,59.31,2.2200012,-3.3300018
222,58.41,0.36082315,3.9657042,223,58.2,55.98,0.20999908,2.2200012
223,57.71,-1.1984262,0.36082315,224,58.41,58.2,-0.70000076,0.20999908
224,58.95,2.1486773,-1.1984262,225,57.71,58.41,1.2400017,-0.70000076
225,60.36,2.3918571,2.1486773,226,58.95,57.71,1.4099998,1.2400017
226,61.02,1.0934391,2.3918571,227,60.36,58.95,0.65999985,1.4099998
227,60.9,-0.19665508,1.0934391,228,61.02,60.36,-0.11999893,0.65999985
228,61.42,0.8538532,-0.19665508,229,60.9,61.02,0.51999664,-0.11999893
229,63.88,4.0052147,0.8538532,230,61.42,60.9,2.460003,0.51999664
230,64.24,0.56355166,4.0052147,231,63.88,61.42,0.3599968,2.460003
231,66.17,3.0043592,0.56355166,232,64.24,63.88,1.9300003,0.3599968
232,66.36,0.28714287,3.0043592,233,66.17,64.24,0.19000244,1.9300003
233,66.72,0.5424964,0.28714287,234,66.36,66.17,0.3600006,0.19000244
234,66.16,-0.8393249,0.5424964,235,66.72,66.36,-0.55999756,0.3600006
235,67.46,1.9649265,-0.8393249,236,66.16,66.72,1.2999954,-0.55999756
236,68.54,1.6009514,1.9649265,237,67.46,66.16,1.0800018,1.2999954
237,69.76,1.7799842,1.6009514,238,68.54,67.46,1.2200012,1.0800018
238,69.95,0.27235493,1.7799842,239,69.76,68.54,0.18999481,1.2200012
239,69.63,-0.4574692,0.27235493,240,69.95,69.76,-0.3199997,0.18999481
240,70.68,1.5079751,-0.4574692,241,69.63,69.95,1.050003,-0.3199997
241,71.01,0.46689564,1.5079751,242,70.68,69.63,0.33000183,1.050003
242,71.15,0.19715446,0.46689564,243,71.01,70.68,0.13999939,0.33000183
243,72.71,2.1925476,0.19715446,244,71.15,71.01,1.5599976,0.13999939
244,72.12,-0.81143767,2.1925476,245,72.71,71.15,-0.58999634,1.5599976
245,74.57,3.3971117,-0.81143767,246,72.12,72.71,2.449997,-0.58999634
246,75.34,1.0325823,3.3971117,247,74.57,72.12,0.76999664,2.449997
247,73.37,-2.6148045,1.0325823,248,75.34,74.57,-1.9699936,0.76999664
248,76.02,3.611822,-2.6148045,249,73.37,75.34,2.649994,-1.9699936
249,77.24,1.6048425,3.611822,250,76.02,73.37,1.2200012,2.649994
250,76.06,-1.5277063,1.6048425,251,77.24,76.02,-1.1800003,1.2200012
251,73.8,-2.9713314,-1.5277063,252,76.06,77.24,-2.2599945,-1.1800003
252,75.64,2.4932199,-2.9713314,253,73.8,76.06,1.8399963,-2.2599945
253,77.44,2.3796973,2.4932199,254,75.64,73.8,1.800003,1.8399963
254,80.17,3.5253043,2.3796973,255,77.44,75.64,2.7299957,1.800003
255,80.78,0.7608839,3.5253043,256,80.17,77.44,0.6100006,2.7299957
256,78.81,-2.438724,0.7608839,257,80.78,80.17,-1.9700012,0.6100006
257,73.78,-6.382437,-2.438724,258,78.81,80.78,-5.029999,-1.9700012
258,76.13,3.185143,-6.382437,259,73.78,78.81,2.3499985,-5.029999
259,77.95,2.3906472,3.185143,260,76.13,73.78,1.8199997,2.3499985
260,77.86,-0.115453936,2.3906472,261,77.95,76.13,-0.08999634,1.8199997
261,77.29,-0.73208284,-0.115453936,262,77.86,77.95,-0.5699997,-0.08999634
262,76.55,-0.95743024,-0.73208284,263,77.29,77.86,-0.73999786,-0.5699997
263,75.39,-1.5153542,-0.95743024,264,76.55,77.29,-1.1600037,-0.73999786
264,74.78,-0.8091267,-1.5153542,265,75.39,76.55,-0.6100006,-1.1600037
265,73.64,-1.524471,-0.8091267,266,74.78,75.39,-1.1399994,-0.6100006
266,73.47,-0.23085031,-1.524471,267,73.64,74.78,-0.16999817,-1.1399994
267,73.59,0.16332532,-0.23085031,268,73.47,73.64,0.11999512,-0.16999817
268,73.46,-0.17665072,0.16332532,269,73.59,73.47,-0.12999725,0.11999512
269,74.98,2.069159,-0.17665072,270,73.46,73.59,1.5200043,-0.12999725
270,74.53,-0.60016614,2.069159,271,74.98,73.46,-0.45000458,1.5200043
271,76.99,3.300683,-0.60016614,272,74.53,74.98,2.459999,-0.45000458
272,78.82,2.3769345,3.300683,273,76.99,74.53,1.8300018,2.459999
273,78.62,-0.25373882,2.3769345,274,78.82,76.99,-0.19999695,1.8300018
274,77.55,-1.3609765,-0.25373882,275,78.62,78.82,-1.0699997,-0.19999695
275,77.46,-0.11605927,-1.3609765,276,77.55,78.62,-0.09000397,-1.0699997
276,77.41,-0.06454354,-0.11605927,277,77.46,77.55,-0.049995422,-0.09000397
277,76.84,-0.7363484,-0.06454354,278,77.41,77.46,-0.5700073,-0.049995422
278,75.6,-1.6137401,-0.7363484,279,76.84,77.41,-1.2399979,-0.5700073
279,75.56,-0.052911267,-1.6137401,280,75.6,76.84,-0.040000916,-1.2399979
280,76.53,1.2837497,-0.052911267,281,75.56,75.6,0.9700012,-0.040000916
281,77.58,1.372015,1.2837497,282,76.53,75.56,1.050003,0.9700012
282,75.87,-2.204175,1.372015,283,77.58,76.53,-1.7099991,1.050003
283,76.78,1.1994147,-2.204175,284,75.87,77.58,0.90999603,-1.7099991
284,77.34,0.7293534,1.1994147,285,76.78,75.87,0.55999756,0.90999603
285,77.0,-0.43961257,0.7293534,286,77.34,76.78,-0.33999634,0.55999756
286,75.37,-2.1168795,-0.43961257,287,77.0,77.34,-1.6299973,-0.33999634
287,74.5,-1.154309,-2.1168795,288,75.37,77.0,-0.87000275,-1.6299973
288,75.6,1.476508,-1.154309,289,74.5,75.37,1.0999985,-0.87000275
289,73.9,-2.2486732,1.476508,290,75.6,74.5,-1.699997,1.0999985
290,74.95,1.4208328,-2.2486732,291,73.9,75.6,1.0499954,-1.699997
291,76.91,2.6150858,1.4208328,292,74.95,73.9,1.9600067,1.0499954
292,77.42,0.66310555,2.6150858,293,76.91,74.95,0.5099945,1.9600067
293,75.73,-2.1828918,0.66310555,294,77.42,76.91,-1.6899948,0.5099945
294,72.49,-4.278364,-2.1828918,295,75.73,77.42,-3.2400055,-1.6899948
295,71.56,-1.282936,-4.278364,296,72.49,75.73,-0.9300003,-3.2400055
296,68.48,-4.3040724,-1.282936,297,71.56,72.49,-3.0799942,-0.9300003
297,68.82,0.49648994,-4.3040724,298,68.48,71.56,0.33999634,-3.0799942
298,66.74,-3.0223799,0.49648994,299,68.82,68.48,-2.0800018,0.33999634
299,67.0,0.38957468,-3.0223799,300,66.74,68.82,0.26000214,-2.0800018
300,70.13,4.6716375,0.38957468,301,67.0,66.74,3.1299973,0.26000214
301,68.97,-1.6540654,4.6716375,302,70.13,67.0,-1.159996,3.1299973
302,69.66,1.0004385,-1.6540654,303,68.97,70.13,0.69000244,-1.159996
303,69.34,-0.4593846,1.0004385,304,69.66,68.97,-0.32000732,0.69000244
304,72.38,4.3841953,-0.4593846,305,69.34,69.66,3.040001,-0.32000732
305,71.54,-1.1605365,4.3841953,306,72.38,69.34,-0.83999634,3.040001
306,70.03,-2.1107101,-1.1605365,307,71.54,72.38,-1.5100021,-0.83999634
307,72.15,3.027278,-2.1107101,308,70.03,71.54,2.1200027,-1.5100021
308,72.4,0.34650034,3.027278,309,72.15,70.03,0.25,2.1200027
309,72.69,0.40055373,0.34650034,310,72.4,72.15,0.29000092,0.25
310,71.06,-2.242406,0.40055373,311,72.69,72.4,-1.6300049,0.29000092
311,70.97,-0.12664838,-2.242406,312,71.06,72.69,-0.08999634,-1.6300049
312,70.9,-0.09863279,-0.12664838,313,70.97,71.06,-0.069999695,-0.08999634
313,69.18,-2.4259536,-0.09863279,314,70.9,70.97,-1.7200012,-0.069999695
314,66.63,-3.6860409,-2.4259536,315,69.18,70.9,-2.550003,-1.7200012
315,66.8,0.25514904,-3.6860409,316,66.63,69.18,0.1700058,-2.550003
316,66.78,-0.029946513,0.25514904,317,66.8,66.63,-0.020004272,0.1700058
317,67.41,0.94340354,-0.029946513,318,66.78,66.8,0.6300049,-0.020004272
318,66.21,-1.780158,0.94340354,319,67.41,66.78,-1.2000046,0.6300049
319,65.71,-0.75517297,-1.780158,320,66.21,67.41,-0.5,-1.2000046
320,65.45,-0.39568123,-0.75517297,321,65.71,66.21,-0.26000214,-0.5
321,64.14,-2.0015242,-0.39568123,322,65.45,65.71,-1.3099976,-0.26000214
322,63.04,-1.7149961,-2.0015242,323,64.14,65.45,-1.0999985,-1.3099976
323,62.74,-0.47588712,-1.7149961,324,63.04,64.14,-0.29999924,-1.0999985
324,65.0,3.602165,-0.47588712,325,62.74,63.04,2.2599983,-0.29999924
325,64.52,-0.7384667,3.602165,326,65.0,62.74,-0.48000336,2.2599983
326,66.49,3.0533187,-0.7384667,327,64.52,65.0,1.9700012,-0.48000336
327,66.67,0.27071786,3.0533187,328,66.49,64.52,0.1800003,1.9700012
328,66.71,0.059998374,0.27071786,329,66.67,66.49,0.040000916,0.1800003
329,67.55,1.2591875,0.059998374,330,66.71,66.67,0.84000397,0.040000916
330,67.75,0.29607245,1.2591875,331,67.55,66.71,0.19999695,0.84000397
331,68.69,1.3874575,0.29607245,332,67.75,67.55,0.94000244,0.19999695
332,66.32,-3.4502878,1.3874575,333,68.69,67.75,-2.3700027,0.94000244
333,65.18,-1.7189375,-3.4502878,334,66.32,68.69,-1.1399994,-2.3700027
334,64.55,-0.96654993,-1.7189375,335,65.18,66.32,-0.62999725,-1.1399994
335,62.68,-2.8969831,-0.96654993,336,64.55,65.18,-1.8700027,-0.62999725
336,62.67,-0.01595746,-2.8969831,337,62.68,64.55,-0.010002136,-1.8700027
